4039_184265_000002_000000	Fit the Third	Fit the Third
4039_184265_000013_000000	"'But oh, beamish nephew, beware of the day, If your Snark be a Boojum!	"'But oh, beamish nephew, beware of the day, If your Snark be a Boojum!
4039_184265_000014_000000	"It is this, it is this that oppresses my soul, When I think of my uncle's last words: And my heart is like nothing so much as a bowl Brimming over with quivering curds!	"It is this, it is this that oppresses my soul, When I think of my uncle's last words: And my heart is like nothing so much as a bowl Brimming over with quivering curds!
4039_184265_000015_000000	"It is this, it is this--"	"It is this, it is this-"
4039_184265_000015_000001	"We have had that before!" The Bellman indignantly said. And the Baker replied "Let me say it once more. It is this, it is this that I dread!	"We have had that before!" The Bellman indignantly said. And the Baker replied "Let me say it once more. It is this, it is this that I dread!
4039_184265_000017_000000	"But if ever I meet with a Boojum, that day, In a moment (of this I am sure), I shall softly and suddenly vanish away-- And the notion I cannot endure!"	"But if ever I meet with a Boojum, that day, In a moment (of this I am sure), I shall softly and suddenly vanish away- And the notion I cannot endure!"
4039_184265_000018_000000	Fit the fourth	Fit the fourth
4039_184265_000020_000000	The Bellman looked uffish, and wrinkled his brow. "If only you'd spoken before! It's excessively awkward to mention it now, With the Snark, so to speak, at the door!	The Bellman looked uffish, and wrinkled his brow. "If only you'd spoken before! It's excessively awkward to mention it now, With the Snark, so to speak, at the door!
4039_184265_000022_000000	"It's excessively awkward to mention it now-- As I think I've already remarked." And the man they called "Hi!" replied, with a sigh, "I informed you the day we embarked.	"It's excessively awkward to mention it now- As I think I've already remarked." And the man they called "Hi!" replied, with a sigh, "I informed you the day we embarked.
4039_184265_000023_000000	"You may charge me with murder--or want of sense-- (We are all of us weak at times): But the slightest approach to a false pretence Was never among my crimes!	"You may charge me with murder-or want of sense- (We are all of us weak at times): But the slightest approach to a false pretence Was never among my crimes!
4039_184265_000024_000000	"I said it in Hebrew--I said it in Dutch-- I said it in German and Greek: But I wholly forgot (and it vexes me much) That English is what you speak!"	"I said it in Hebrew-I said it in Dutch- I said it in German and Greek: But I wholly forgot (and it vexes me much) That English is what you speak!"
4039_184265_000025_000000	"'Tis a pitiful tale," said the Bellman, whose face Had grown longer at every word: "But, now that you've stated the whole of your case, More debate would be simply absurd.	"'tis a pitiful tale," said the Bellman, whose face Had grown longer at every word: "But, now that you've stated the whole of your case, More debate would be simply absurd.
4039_184265_000027_000000	"To seek it with thimbles, to seek it with care; To pursue it with forks and hope; To threaten its life with a railway-share; To charm it with smiles and soap!	"To seek it with thimbles, to seek it with care; To pursue it with forks and hope; To threaten its life with a railway share; To charm it with smiles and soap!
4039_184265_000028_000000	"For the Snark's a peculiar creature, that won't Be caught in a commonplace way. Do all that you know, and try all that you don't: Not a chance must be wasted to-day!	"For the Snark's a peculiar creature, that won't Be caught in a commonplace way. Do all that you know, and try all that you don't: Not a chance must be wasted to day!
4039_184265_000029_000000	"For England expects--I forbear to proceed: 'Tis a maxim tremendous, but trite: And you'd best be unpacking the things that you need To rig yourselves out for the fight."	"For England expects-I forbear to proceed: 'tis a maxim tremendous, but trite: And you'd best be unpacking the things that you need To rig yourselves out for the fight."
4039_184265_000030_000000	Then the Banker endorsed a blank cheque (which he crossed), And changed his loose silver for notes. The Baker with care combed his whiskers and hair, And shook the dust out of his coats.	Then the Banker endorsed a blank cheque (which he crossed), And changed his loose silver for notes. The Baker with care combed his whiskers and hair, And shook the dust out of his coats.
4039_184265_000031_000000	The Boots and the Broker were sharpening a spade-- Each working the grindstone in turn: But the Beaver went on making lace, and displayed No interest in the concern:	The Boots and the Broker were sharpening a spade- Each working the grindstone in turn: But the Beaver went on making lace, and displayed No interest in the concern:
4039_184265_000033_000000	The maker of Bonnets ferociously planned A novel arrangement of bows: While the Billiard-marker with quivering hand Was chalking the tip of his nose.	The maker of Bonnets ferociously planned A novel arrangement of bows: While the Billiard marker with quivering hand Was chalking the tip of his nose.
4039_184265_000034_000000	But the Butcher turned nervous, and dressed himself fine, With yellow kid gloves and a ruff-- Said he felt it exactly like going to dine, Which the Bellman declared was all "stuff."	But the Butcher turned nervous, and dressed himself fine, With yellow kid gloves and a ruff- Said he felt it exactly like going to dine, Which the Bellman declared was all "stuff."
