225_131276_000001_000000	"But Dr. Carver--aren't you afraid of Dr. Carver?	"But dr Carver-aren't you afraid of dr Carver?
225_131276_000010_000001	Archer reddened to the temples, but dared not move or speak: it was as if her words had been some rare butterfly that the least motion might drive off on startled wings, but that might gather a flock about it if it were left undisturbed.	Archer reddened to the temples, but dared not move or speak: it was as if her words had been some rare butterfly that the least motion might drive off on startled wings, but that might gather a flock about it if it were left undisturbed.
225_131276_000011_000000	"At least," she continued, "it was you who made me understand that under the dullness there are things so fine and sensitive and delicate that even those I most cared for in my other life look cheap in comparison.	"At least," she continued, "it was you who made me understand that under the dullness there are things so fine and sensitive and delicate that even those I most cared for in my other life look cheap in comparison.
225_131276_000012_000000	"Exquisite pleasures--it's something to have had them!" he felt like retorting; but the appeal in her eyes kept him silent.	"Exquisite pleasures-it's something to have had them!" he felt like retorting; but the appeal in her eyes kept him silent.
225_131276_000013_000000	"I want," she went on, "to be perfectly honest with you--and with myself.	"I want," she went on, "to be perfectly honest with you-and with myself.
225_131276_000013_000001	For a long time I've hoped this chance would come: that I might tell you how you've helped me, what you've made of me--"	For a long time I've hoped this chance would come: that I might tell you how you've helped me, what you've made of me-"
225_131276_000014_000000	Archer sat staring beneath frowning brows.	Archer sat staring beneath frowning brows.
225_131276_000014_000001	He interrupted her with a laugh.	He interrupted her with a laugh.
225_131276_000014_000002	"And what do you make out that you've made of me?"	"And what do you make out that you've made of me?"
225_131276_000015_000000	She paled a little.	She paled a little.
225_131276_000015_000001	"Of you?"	"Of you?"
225_131276_000017_000000	Her paleness turned to a fugitive flush.	Her paleness turned to a fugitive flush.
225_131276_000017_000001	"I thought--you promised--you were not to say such things today."	"I thought-you promised-you were not to say such things today."
225_131276_000018_000001	None of you will ever see a bad business through!"	None of you will ever see a bad business through!"
225_131276_000019_000000	She lowered her voice.	She lowered her voice.
225_131276_000020_000000	He stood in the window, drumming against the raised sash, and feeling in every fibre the wistful tenderness with which she had spoken her cousin's name.	He stood in the window, drumming against the raised sash, and feeling in every fibre the wistful tenderness with which she had spoken her cousin's name.
225_131276_000021_000000	"For that's the thing we've always got to think of--haven't we--by your own showing?" she insisted.	"For that's the thing we've always got to think of-haven't we-by your own showing?" she insisted.
225_131276_000022_000000	"My own showing?" he echoed, his blank eyes still on the sea.	"My own showing?" he echoed, his blank eyes still on the sea.
225_131276_000024_000000	He turned around without moving from his place.	He turned around without moving from his place.
225_131276_000024_000001	"And in that case there's no reason on earth why you shouldn't go back?" he concluded for her.	"And in that case there's no reason on earth why you shouldn't go back?" he concluded for her.
225_131276_000025_000000	Her eyes were clinging to him desperately.	Her eyes were clinging to him desperately.
225_131276_000025_000001	"Oh, IS there no reason?"	"Oh, IS there no reason?"
225_131276_000026_000000	"Not if you staked your all on the success of my marriage.	"Not if you staked your all on the success of my marriage.
225_131276_000026_000002	You gave me my first glimpse of a real life, and at the same moment you asked me to go on with a sham one.	You gave me my first glimpse of a real life, and at the same moment you asked me to go on with a sham one.
225_131276_000026_000003	It's beyond human enduring--that's all."	It's beyond human enduring-that's all."
225_131276_000027_000000	"Oh, don't say that; when I'm enduring it!" she burst out, her eyes filling.	"Oh, don't say that; when I'm enduring it!" she burst out, her eyes filling.
225_131276_000029_000000	"You too--oh, all this time, you too?"	"You too-oh, all this time, you too?"
225_131276_000030_000000	For answer, she let the tears on her lids overflow and run slowly downward.	For answer, she let the tears on her lids overflow and run slowly downward.
225_131276_000031_000000	Half the width of the room was still between them, and neither made any show of moving.	Half the width of the room was still between them, and neither made any show of moving.
225_131276_000031_000003	He had known the love that is fed on caresses and feeds them; but this passion that was closer than his bones was not to be superficially satisfied.	He had known the love that is fed on caresses and feeds them; but this passion that was closer than his bones was not to be superficially satisfied.
225_131276_000031_000004	His one terror was to do anything which might efface the sound and impression of her words; his one thought, that he should never again feel quite alone.	His one terror was to do anything which might efface the sound and impression of her words; his one thought, that he should never again feel quite alone.
225_131276_000032_000000	But after a moment the sense of waste and ruin overcame him.	But after a moment the sense of waste and ruin overcame him.
225_131276_000032_000001	There they were, close together and safe and shut in; yet so chained to their separate destinies that they might as well have been half the world apart.	There they were, close together and safe and shut in; yet so chained to their separate destinies that they might as well have been half the world apart.
225_131276_000034_000000	She sat motionless, with lowered lids.	She sat motionless, with lowered lids.
225_131276_000034_000001	"Oh--I shan't go yet!"	"Oh-I shan't go yet!"
225_131276_000035_000000	"Not yet?	"Not yet?
225_131276_000036_000000	At that she raised her clearest eyes.	At that she raised her clearest eyes.
225_131276_000036_000001	"I promise you: not as long as you hold out.	"I promise you: not as long as you hold out.
225_131276_000036_000002	Not as long as we can look straight at each other like this."	Not as long as we can look straight at each other like this."
225_131276_000037_000000	He dropped into his chair.	He dropped into his chair.
225_131276_000037_000001	What her answer really said was: "If you lift a finger you'll drive me back: back to all the abominations you know of, and all the temptations you half guess." He understood it as clearly as if she had uttered the words, and the thought kept him anchored to his side of the table in a kind of moved and sacred submission.	What her answer really said was: "If you lift a finger you'll drive me back: back to all the abominations you know of, and all the temptations you half guess." He understood it as clearly as if she had uttered the words, and the thought kept him anchored to his side of the table in a kind of moved and sacred submission.
225_131276_000038_000000	"What a life for you!--" he groaned.	"What a life for you!--" he groaned.
225_131276_000040_000000	"And mine a part of yours?"	"And mine a part of yours?"
225_131276_000042_000000	"And that's to be all--for either of us?"	"And that's to be all-for either of us?"
225_131276_000043_000000	"Well; it IS all, isn't it?"	"Well; it IS all, isn't it?"
225_131276_000044_000000	At that he sprang up, forgetting everything but the sweetness of her face.	At that he sprang up, forgetting everything but the sweetness of her face.
225_131276_000044_000002	They fell into his, while her arms, extended but not rigid, kept him far enough off to let her surrendered face say the rest.	They fell into his, while her arms, extended but not rigid, kept him far enough off to let her surrendered face say the rest.
225_131276_000045_000000	They may have stood in that way for a long time, or only for a few moments; but it was long enough for her silence to communicate all she had to say, and for him to feel that only one thing mattered.	They may have stood in that way for a long time, or only for a few moments; but it was long enough for her silence to communicate all she had to say, and for him to feel that only one thing mattered.
225_131276_000045_000001	He must do nothing to make this meeting their last; he must leave their future in her care, asking only that she should keep fast hold of it.	He must do nothing to make this meeting their last; he must leave their future in her care, asking only that she should keep fast hold of it.
225_131276_000047_000000	"I won't go back," she said; and turning away she opened the door and led the way into the public dining-room.	"I won't go back," she said; and turning away she opened the door and led the way into the public dining room.
