175_129587_000000_000000	"Ruin the work of a lifetime," I heard Moreau say.	"Ruin the work of a lifetime," I heard Moreau say.	false	0	3.66	20.235086
175_129587_000006_000000	I looked round for some weapon.	I looked round for some weapon.	true	91.19	93.01	24.213423
175_129587_000006_000001	Nothing.	Nothing.	true	93.41	94.18	24.852266
175_129587_000006_000002	Then with an inspiration I turned over the deck chair, put my foot on the side of it, and tore away the side rail.	Then with an inspiration I turned over the deck chair, put my foot on the side of it, and tore away the side rail.	true	94.94	101.38	22.939497
175_129587_000006_000003	It happened that a nail came away with the wood, and projecting, gave a touch of danger to an otherwise petty weapon. I heard a step outside, and incontinently flung open the door and found Montgomery within a yard of it.	It happened that a nail came away with the wood, and projecting, gave a touch of danger to an otherwise petty weapon. I heard a step outside, and incontinently flung open the door and found Montgomery within a yard of it.	false	102.11	115.36	22.538969
175_129587_000006_000004	He meant to lock the outer door! I raised this nailed stick of mine and cut at his face; but he sprang back.	He meant to lock the outer door! I raised this nailed stick of mine and cut at his face; but he sprang back.	true	115.64	123.4	21.969555
175_129587_000006_000005	I hesitated a moment, then turned and fled, round the corner of the house.	I hesitated a moment, then turned and fled, round the corner of the house.	true	124.07	128.32	21.253563
175_129587_000006_000006	"Prendick, man!" I heard his astonished cry, "don't be a silly ass, man!"	"Prendick, man!" I heard his astonished cry, "don't be a silly ass, man!"	true	129.5	134.65	21.129679
175_129587_000007_000000	Another minute, thought I, and he would have had me locked in, and as ready as a hospital rabbit for my fate.	Another minute, thought I, and he would have had me locked in, and as ready as a hospital rabbit for my fate.	true	136.01	141.64	23.75685
175_129587_000007_000001	He emerged behind the corner, for I heard him shout, "Prendick!"	He emerged behind the corner, for I heard him shout, "Prendick!"	true	142.28	145.84	21.255716
175_129587_000007_000002	Then he began to run after me, shouting things as he ran.	Then he began to run after me, shouting things as he ran.	true	146.66	150.01	23.002243
175_129587_000007_000003	This time running blindly, I went northeastward in a direction at right angles to my previous expedition.	This time running blindly, I went northeastward in a direction at right angles to my previous expedition.	true	151.13	156.85	22.190535
175_129587_000007_000004	Once, as I went running headlong up the beach, I glanced over my shoulder and saw his attendant with him. I ran furiously up the slope, over it, then turning eastward along a rocky valley fringed on either side with jungle I ran for perhaps a mile altogether, my chest straining, my heart beating in my ears; and then hearing nothing of Montgomery or his man, and feeling upon the verge of exhaustion, I doubled sharply back towards the beach as I judged, and lay down in the shelter of a canebrake. There I remained for a long time, too fearful to move, and indeed too fearful even to plan a course of action.	Once, as I went running headlong up the beach, I glanced over my shoulder and saw his attendant with him. I ran furiously up the slope, over it, then turning eastward along a rocky valley fringed on either side with jungle I ran for perhaps a mile altogether, my chest straining, my heart beating in my ears; and then hearing nothing of Montgomery or his man, and feeling upon the verge of exhaustion, I doubled sharply back towards the beach as I judged, and lay down in the shelter of a canebrake. There I remained for a long time, too fearful to move, and indeed too fearful even to plan a course of action.	false	157.67	195.73	21.88249
175_129587_000007_000005	The wild scene about me lay sleeping silently under the sun, and the only sound near me was the thin hum of some small gnats that had discovered me.	The wild scene about me lay sleeping silently under the sun, and the only sound near me was the thin hum of some small gnats that had discovered me.	true	196.64	205	20
175_129587_000007_000006	Presently I became aware of a drowsy breathing sound, the soughing of the sea upon the beach.	Presently I became aware of a drowsy breathing sound, the soughing of the sea upon the beach.	false	206.06	212.26	21.710533
175_129587_000008_000000	After about an hour I heard Montgomery shouting my name, far away to the north.	After about an hour I heard Montgomery shouting my name, far away to the north.	true	213.83	218.26	21.401686
175_129587_000008_000001	That set me thinking of my plan of action. As I interpreted it then, this island was inhabited only by these two vivisectors and their animalised victims.	That set me thinking of my plan of action. As I interpreted it then, this island was inhabited only by these two vivisectors and their animalised victims.	true	219.08	228.61	22.97642
175_129587_000008_000002	Some of these no doubt they could press into their service against me if need arose. I knew both Moreau and Montgomery carried revolvers; and, save for a feeble bar of deal spiked with a small nail, the merest mockery of a mace, I was unarmed.	Some of these no doubt they could press into their service against me if need arose. I knew both Moreau and Montgomery carried revolvers; and, save for a feeble bar of deal spiked with a small nail, the merest mockery of a mace, I was unarmed.	true	229.4	245.35	20.635368
175_129587_000009_000000	So I lay still there, until I began to think of food and drink; and at that thought the real hopelessness of my position came home to me. I knew no way of getting anything to eat.	So I lay still there, until I began to think of food and drink; and at that thought the real hopelessness of my position came home to me. I knew no way of getting anything to eat.	false	246.26	258.43	21.003893
175_129587_000009_000001	I was too ignorant of botany to discover any resort of root or fruit that might lie about me; I had no means of trapping the few rabbits upon the island. It grew blanker the more I turned the prospect over.	I was too ignorant of botany to discover any resort of root or fruit that might lie about me; I had no means of trapping the few rabbits upon the island. It grew blanker the more I turned the prospect over.	false	258.56	271.36	23.353704
175_129587_000009_000002	At last in the desperation of my position, my mind turned to the animal men I had encountered.	At last in the desperation of my position, my mind turned to the animal men I had encountered.	true	272.06	277.99	20.618599
175_129587_000009_000003	I tried to find some hope in what I remembered of them. In turn I recalled each one I had seen, and tried to draw some augury of assistance from my memory.	I tried to find some hope in what I remembered of them. In turn I recalled each one I had seen, and tried to draw some augury of assistance from my memory.	true	279.02	287.86	20.588278
175_129587_000010_000000	Then suddenly I heard a staghound bay, and at that realised a new danger. I took little time to think, or they would have caught me then, but snatching up my nailed stick, rushed headlong from my hiding-place towards the sound of the sea.	Then suddenly I heard a staghound bay, and at that realised a new danger. I took little time to think, or they would have caught me then, but snatching up my nailed stick, rushed headlong from my hiding place towards the sound of the sea.	true	289.19	303.79	22.013477
175_129587_000010_000001	I remember a growth of thorny plants, with spines that stabbed like pen-knives.	I remember a growth of thorny plants, with spines that stabbed like pen knives.	true	304.61	308.92	23.434395
175_129587_000010_000002	I emerged bleeding and with torn clothes upon the lip of a long creek opening northward. I went straight into the water without a minute's hesitation, wading up the creek, and presently finding myself kneedeep in a little stream. I scrambled out at last on the westward bank, and with my heart beating loudly in my ears, crept into a tangle of ferns to await the issue. I heard the dog (there was only one) draw nearer, and yelp when it came to the thorns.	I emerged bleeding and with torn clothes upon the lip of a long creek opening northward. I went straight into the water without a minute's hesitation, wading up the creek, and presently finding myself kneedeep in a little stream. I scrambled out at last on the westward bank, and with my heart beating loudly in my ears, crept into a tangle of ferns to await the issue. I heard the dog (there was only one) draw nearer, and yelp when it came to the thorns.	false	309.83	337.99	21.711103
175_129587_000010_000003	Then I heard no more, and presently began to think I had escaped.	Then I heard no more, and presently began to think I had escaped.	true	338.36	342.22	22.427767
175_129587_000011_000000	The minutes passed; the silence lengthened out, and at last after an hour of security my courage began to return to me. By this time I was no longer very much terrified or very miserable. I had, as it were, passed the limit of terror and despair. I felt now that my life was practically lost, and that persuasion made me capable of daring anything.	The minutes passed; the silence lengthened out, and at last after an hour of security my courage began to return to me. By this time I was no longer very much terrified or very miserable. I had, as it were, passed the limit of terror and despair. I felt now that my life was practically lost, and that persuasion made me capable of daring anything.	false	343.82	367	21.396212
175_129587_000011_000001	I had even a certain wish to encounter Moreau face to face; and as I had waded into the water, I remembered that if I were too hard pressed at least one path of escape from torment still lay open to me,--they could not very well prevent my drowning myself.	I had even a certain wish to encounter Moreau face to face; and as I had waded into the water, I remembered that if I were too hard pressed at least one path of escape from torment still lay open to me,--they could not very well prevent my drowning myself.	false	367.79	383.35	20.544579
175_129587_000011_000002	I had half a mind to drown myself then; but an odd wish to see the whole adventure out, a queer, impersonal, spectacular interest in myself, restrained me. I stretched my limbs, sore and painful from the pricks of the spiny plants, and stared around me at the trees; and, so suddenly that it seemed to jump out of the green tracery about it, my eyes lit upon a black face watching me.	I had half a mind to drown myself then; but an odd wish to see the whole adventure out, a queer, impersonal, spectacular interest in myself, restrained me. I stretched my limbs, sore and painful from the pricks of the spiny plants, and stared around me at the trees; and, so suddenly that it seemed to jump out of the green tracery about it, my eyes lit upon a black face watching me.	false	384.44	408.67	20.890736
175_129587_000011_000003	I saw that it was the simian creature who had met the launch upon the beach.	I saw that it was the simian creature who had met the launch upon the beach.	true	410.36	414.34	21.96862
175_129587_000011_000004	He was clinging to the oblique stem of a palm-tree.	He was clinging to the oblique stem of a palm tree.	true	415.13	417.85	23
175_129587_000011_000005	I gripped my stick, and stood up facing him. He began chattering.	I gripped my stick, and stood up facing him. He began chattering.	true	418.64	423.82	20.450285
175_129587_000011_000006	"You, you, you," was all I could distinguish at first.	"You, you, you," was all I could distinguish at first.	true	424.49	427.93	24.544474
175_129587_000011_000007	Suddenly he dropped from the tree, and in another moment was holding the fronds apart and staring curiously at me.	Suddenly he dropped from the tree, and in another moment was holding the fronds apart and staring curiously at me.	true	428.51	434.68	23.221087
175_129587_000012_000000	I did not feel the same repugnance towards this creature which I had experienced in my encounters with the other Beast Men. "You," he said, "in the boat." He was a man, then,--at least as much of a man as Montgomery's attendant,--for he could talk.	I did not feel the same repugnance towards this creature which I had experienced in my encounters with the other Beast Men. "You," he said, "in the boat." He was a man, then,--at least as much of a man as Montgomery's attendant,--for he could talk.	false	436.22	451.48	22.641655
175_129587_000013_000000	"Yes," I said, "I came in the boat.	"Yes," I said, "I came in the boat.	true	452.42	454.78	24.433844
175_129587_000013_000001	From the ship."	From the ship."	true	454.94	456.13	23.81496
175_129587_000014_000000	"Oh!" he said, and his bright, restless eyes travelled over me, to my hands, to the stick I carried, to my feet, to the tattered places in my coat, and the cuts and scratches I had received from the thorns. He seemed puzzled at something.	"Oh!" he said, and his bright, restless eyes travelled over me, to my hands, to the stick I carried, to my feet, to the tattered places in my coat, and the cuts and scratches I had received from the thorns. He seemed puzzled at something.	true	457.22	471.37	21.460062
175_129587_000014_000001	His eyes came back to my hands. He held his own hand out and counted his digits slowly, "One, two, three, four, five--eigh?"	His eyes came back to my hands. He held his own hand out and counted his digits slowly, "One, two, three, four, five-eigh?"	false	472.19	486.66	20.642372
175_129587_000015_000000	I did not grasp his meaning then; afterwards I was to find that a great proportion of these Beast People had malformed hands, lacking sometimes even three digits.	I did not grasp his meaning then; afterwards I was to find that a great proportion of these Beast People had malformed hands, lacking sometimes even three digits.	true	486.66	496.21	21.390488
175_129587_000015_000001	But guessing this was in some way a greeting, I did the same thing by way of reply. He grinned with immense satisfaction.	But guessing this was in some way a greeting, I did the same thing by way of reply. He grinned with immense satisfaction.	true	496.91	504.55	20.680492
175_129587_000015_000002	Then his swift roving glance went round again; he made a swift movement--and vanished. The fern fronds he had stood between came swishing together.	Then his swift roving glance went round again; he made a swift movement-and vanished. The fern fronds he had stood between came swishing together.	false	505.19	515.14	20.29238
175_129587_000016_000000	I pushed out of the brake after him, and was astonished to find him swinging cheerfully by one lank arm from a rope of creepers that looped down from the foliage overhead.	I pushed out of the brake after him, and was astonished to find him swinging cheerfully by one lank arm from a rope of creepers that looped down from the foliage overhead.	true	516.44	525.28	23
175_129587_000016_000001	His back was to me.	His back was to me.	true	525.68	526.92	27.194412
175_129587_000017_000000	"Hullo!" said I.	"Hullo!" said i	false	526.92	529.39	20.614376
175_129587_000018_000000	He came down with a twisting jump, and stood facing me.	He came down with a twisting jump, and stood facing me.	true	530.54	533.53	22.619139
175_129587_000019_000000	"I say," said I, "where can I get something to eat?"	"I say," said I, "where can I get something to eat?"	false	534.92	538.57	23.740026
175_129587_000020_000000	"Eat!" he said.	"Eat!" he said.	true	539.6	540.91	27.90255
175_129587_000020_000001	"Eat Man's food, now." And his eye went back to the swing of ropes.	"Eat Man's food, now." And his eye went back to the swing of ropes.	false	540.98	545.83	21.177425
175_129587_000020_000002	"At the huts."	"At the huts."	true	546.5	547.51	26.490992
175_129587_000021_000000	"But where are the huts?"	"But where are the huts?"	true	548.78	550.39	28.272896
175_129587_000022_000000	"Oh!"	"Oh!"	true	551.15	552.31	21.852764
175_129587_000023_000000	"I'm new, you know."	"I'm new, you know."	true	552.59	553.75	16.315392
175_129587_000024_000000	At that he swung round, and set off at a quick walk. All his motions were curiously rapid.	At that he swung round, and set off at a quick walk. All his motions were curiously rapid.	true	554.9	560.38	24.261404
175_129587_000024_000001	"Come along," said he.	"Come along," said he.	true	561.5	562.99	19.23417
175_129587_000025_000000	I went with him to see the adventure out.	I went with him to see the adventure out.	true	564.86	566.98	21.653198
175_129587_000025_000001	I guessed the huts were some rough shelter where he and some more of these Beast People lived. I might perhaps find them friendly, find some handle in their minds to take hold of.	I guessed the huts were some rough shelter where he and some more of these Beast People lived. I might perhaps find them friendly, find some handle in their minds to take hold of.	true	567.68	577.54	21.910036
175_129587_000025_000002	I did not know how far they had forgotten their human heritage.	I did not know how far they had forgotten their human heritage.	false	578.33	584.175	19.863161
175_129587_000026_000000	My ape-like companion trotted along by my side, with his hands hanging down and his jaw thrust forward.	My ape like companion trotted along by my side, with his hands hanging down and his jaw thrust forward.	true	584.175	589.78	21.093052
175_129587_000026_000001	I wondered what memory he might have in him.	I wondered what memory he might have in him.	true	590.57	593.08	22.230042
175_129587_000026_000002	"How long have you been on this island?" said I.	"How long have you been on this island?" said i	true	594.53	596.95	17.902842
175_129587_000027_000000	"How long?" he asked; and after having the question repeated, he held up three fingers.	"How long?" he asked; and after having the question repeated, he held up three fingers.	true	598.79	605.62	19.95197
175_129587_000028_000000	The creature was little better than an idiot.	The creature was little better than an idiot.	true	606.05	608.23	25
175_129587_000028_000001	I tried to make out what he meant by that, and it seems I bored him. After another question or two he suddenly left my side and went leaping at some fruit that hung from a tree.	I tried to make out what he meant by that, and it seems I bored him. After another question or two he suddenly left my side and went leaping at some fruit that hung from a tree.	false	608.87	618.73	22.079462
175_129587_000028_000002	He pulled down a handful of prickly husks and went on eating the contents. I noted this with satisfaction, for here at least was a hint for feeding. I tried him with some other questions, but his chattering, prompt responses were as often as not quite at cross purposes with my question. Some few were appropriate, others quite parrot-like.	He pulled down a handful of prickly husks and went on eating the contents. I noted this with satisfaction, for here at least was a hint for feeding. I tried him with some other questions, but his chattering, prompt responses were as often as not quite at cross purposes with my question. Some few were appropriate, others quite parrot like.	false	619.22	641.38	22.185637
175_129587_000029_000000	I was so intent upon these peculiarities that I scarcely noticed the path we followed.	I was so intent upon these peculiarities that I scarcely noticed the path we followed.	true	642.38	647.08	21.721205
175_129587_000029_000001	Presently we came to trees, all charred and brown, and so to a bare place covered with a yellow-white incrustation, across which a drifting smoke, pungent in whiffs to nose and eyes, went drifting.	Presently we came to trees, all charred and brown, and so to a bare place covered with a yellow white incrustation, across which a drifting smoke, pungent in whiffs to nose and eyes, went drifting.	false	648.14	660.45	21.872442
175_129587_000029_000002	On our right, over a shoulder of bare rock, I saw the level blue of the sea.	On our right, over a shoulder of bare rock, I saw the level blue of the sea.	true	660.45	664.87	23.266615
175_129587_000029_000003	The path coiled down abruptly into a narrow ravine between two tumbled and knotty masses of blackish scoriae. Into this we plunged.	The path coiled down abruptly into a narrow ravine between two tumbled and knotty masses of blackish scoriae. Into this we plunged.	true	665.75	674.71	22.348682
175_129587_000030_000000	It was extremely dark, this passage, after the blinding sunlight reflected from the sulphurous ground.	It was extremely dark, this passage, after the blinding sunlight reflected from the sulphurous ground.	true	675.62	680.98	21.803602
175_129587_000030_000001	Its walls grew steep, and approached each other.	Its walls grew steep, and approached each other.	false	681.59	685.23	23.748224
175_129587_000030_000002	Blotches of green and crimson drifted across my eyes. My conductor stopped suddenly.	Blotches of green and crimson drifted across my eyes. My conductor stopped suddenly.	true	685.23	690.61	22.683569
175_129587_000030_000003	"Home!" said he, and I stood in a floor of a chasm that was at first absolutely dark to me. I heard some strange noises, and thrust the knuckles of my left hand into my eyes.	"Home!" said he, and I stood in a floor of a chasm that was at first absolutely dark to me. I heard some strange noises, and thrust the knuckles of my left hand into my eyes.	true	691.64	703.3	19.209236
175_129587_000030_000004	I became aware of a disagreeable odor, like that of a monkey's cage ill-cleaned.	I became aware of a disagreeable odor, like that of a monkey's cage ill cleaned.	true	703.97	708.31	21.552073
175_129587_000030_000005	Beyond, the rock opened again upon a gradual slope of sunlit greenery, and on either hand the light smote down through narrow ways into the central gloom.	Beyond, the rock opened again upon a gradual slope of sunlit greenery, and on either hand the light smote down through narrow ways into the central gloom.	false	709.04	727.89	22.241005
