1513_140222_000000_000000	ION	ION	false	0.63	17.535	19.287653
1513_140222_000052_000000	SOCRATES: Then, my dear friend, can I be mistaken in saying that Ion is equally skilled in Homer and in other poets, since he himself acknowledges that the same person will be a good judge of all those who speak of the same things; and that almost all poets do speak of the same things?	SOCRATES: Then, my dear friend, can I be mistaken in saying that Ion is equally skilled in Homer and in other poets, since he himself acknowledges that the same person will be a good judge of all those who speak of the same things; and that almost all poets do speak of the same things?	true	466.73	490.99	19.901154
1513_140222_000053_000000	ION: Why then, Socrates, do I lose attention and go to sleep and have absolutely no ideas of the least value, when any one speaks of any other poet; but when Homer is mentioned, I wake up at once and am all attention and have plenty to say?	ION: Why then, Socrates, do I lose attention and go to sleep and have absolutely no ideas of the least value, when any one speaks of any other poet; but when Homer is mentioned, I wake up at once and am all attention and have plenty to say?	false	491.93	513.04	18.56468
1513_140222_000054_000000	SOCRATES: The reason, my friend, is obvious.	SOCRATES: The reason, my friend, is obvious.	true	513.95	517.78	19.744728
1513_140222_000054_000001	No one can fail to see that you speak of Homer without any art or knowledge.	No one can fail to see that you speak of Homer without any art or knowledge.	true	518.06	523.9	19.991262
1513_140222_000054_000002	If you were able to speak of him by rules of art, you would have been able to speak of all other poets; for poetry is a whole.	If you were able to speak of him by rules of art, you would have been able to speak of all other poets; for poetry is a whole.	false	524.45	533.74	18.066086
1513_140222_000055_000000	ION: Yes.	ION: Yes.	true	533.9	535.66	20.714865
1513_140222_000056_000000	SOCRATES: And when any one acquires any other art as a whole, the same may be said of them.	SOCRATES: And when any one acquires any other art as a whole, the same may be said of them.	true	536.15	544.72	18.985163
1513_140222_000056_000001	Would you like me to explain my meaning, Ion?	Would you like me to explain my meaning, Ion?	true	544.73	548.17	20.25711
1513_140222_000057_000000	ION: Yes, indeed, Socrates; I very much wish that you would: for I love to hear you wise men talk.	ION: Yes, indeed, Socrates; I very much wish that you would: for I love to hear you wise men talk.	true	548.3	556.21	18.765001
1513_140222_000058_000000	SOCRATES: O that we were wise, Ion, and that you could truly call us so; but you rhapsodes and actors, and the poets whose verses you sing, are wise; whereas I am a common man, who only speak the truth.	SOCRATES: O that we were wise, Ion, and that you could truly call us so; but you rhapsodes and actors, and the poets whose verses you sing, are wise; whereas I am a common man, who only speak the truth.	true	556.67	574.45	18.448788
1513_140222_000058_000001	For consider what a very commonplace and trivial thing is this which I have said--a thing which any man might say: that when a man has acquired a knowledge of a whole art, the enquiry into good and bad is one and the same.	For consider what a very commonplace and trivial thing is this which I have said-a thing which any man might say: that when a man has acquired a knowledge of a whole art, the enquiry into good and bad is one and the same.	false	575.03	592.9	18.954712
1513_140222_000058_000002	Let us consider this matter; is not the art of painting a whole?	Let us consider this matter; is not the art of painting a whole?	true	593.18	598.27	20.312288
1513_140222_000059_000000	ION: Yes.	ION: Yes.	true	598.49	600.015	20.618416
1513_140222_000060_000000	SOCRATES: And there are and have been many painters good and bad?	SOCRATES: And there are and have been many painters good and bad?	true	600.015	606.58	20.843945
1513_140222_000061_000000	ION: Yes.	ION: Yes.	true	606.71	608.44	20.26777
1513_140222_000062_000000	SOCRATES: And did you ever know any one who was skilful in pointing out the excellences and defects of Polygnotus the son of Aglaophon, but incapable of criticizing other painters; and when the work of any other painter was produced, went to sleep and was at a loss, and had no ideas; but when he had to give his opinion about Polygnotus, or whoever the painter might be, and about him only, woke up and was attentive and had plenty to say?	SOCRATES: And did you ever know any one who was skilful in pointing out the excellences and defects of Polygnotus the son of Aglaophon, but incapable of criticizing other painters; and when the work of any other painter was produced, went to sleep and was at a loss, and had no ideas; but when he had to give his opinion about Polygnotus, or whoever the painter might be, and about him only, woke up and was attentive and had plenty to say?	true	608.6	642.37	20.852116
1513_140222_000063_000000	ION: No indeed, I have never known such a person.	ION: No indeed, I have never known such a person.	true	642.8	646.96	22.151737
1513_140222_000064_000000	SOCRATES: Or did you ever know of any one in sculpture, who was skilful in expounding the merits of Daedalus the son of Metion, or of Epeius the son of Panopeus, or of Theodorus the Samian, or of any individual sculptor; but when the works of sculptors in general were produced, was at a loss and went to sleep and had nothing to say?	SOCRATES: Or did you ever know of any one in sculpture, who was skilful in expounding the merits of Daedalus the son of Metion, or of Epeius the son of Panopeus, or of Theodorus the Samian, or of any individual sculptor; but when the works of sculptors in general were produced, was at a loss and went to sleep and had nothing to say?	false	647.57	676.18	22.292559
1513_140222_000065_000000	ION: No indeed; no more than the other.	ION: No indeed; no more than the other.	true	676.7	680.41	20.112814
1513_140222_000066_000000	SOCRATES: And if I am not mistaken, you never met with any one among flute-players or harp-players or singers to the harp or rhapsodes who was able to discourse of Olympus or Thamyras or Orpheus, or Phemius the rhapsode of Ithaca, but was at a loss when he came to speak of Ion of Ephesus, and had no notion of his merits or defects?	SOCRATES: And if I am not mistaken, you never met with any one among flute players or harp players or singers to the harp or rhapsodes who was able to discourse of Olympus or Thamyras or Orpheus, or Phemius the rhapsode of Ithaca, but was at a loss when he came to speak of Ion of Ephesus, and had no notion of his merits or defects?	false	681.14	711.28	22.322947
1513_140222_000067_000000	ION: I cannot deny what you say, Socrates.	ION: I cannot deny what you say, Socrates.	true	712.58	716.32	20.389364
1513_140222_000067_000001	Nevertheless I am conscious in my own self, and the world agrees with me in thinking that I do speak better and have more to say about Homer than any other man.	Nevertheless I am conscious in my own self, and the world agrees with me in thinking that I do speak better and have more to say about Homer than any other man.	true	716.63	730.18	21.68279
1513_140222_000067_000002	But I do not speak equally well about others--tell me the reason of this.	But I do not speak equally well about others-tell me the reason of this.	true	731.03	735.82	19.974266
1513_140222_000068_000000	SOCRATES: I perceive, Ion; and I will proceed to explain to you what I imagine to be the reason of this.	SOCRATES: I perceive, Ion; and I will proceed to explain to you what I imagine to be the reason of this.	true	736.49	744.76	19.053625
1513_140222_000068_000001	The gift which you possess of speaking excellently about Homer is not an art, but, as I was just saying, an inspiration; there is a divinity moving you, like that contained in the stone which Euripides calls a magnet, but which is commonly known as the stone of Heraclea.	The gift which you possess of speaking excellently about Homer is not an art, but, as I was just saying, an inspiration; there is a divinity moving you, like that contained in the stone which Euripides calls a magnet, but which is commonly known as the stone of Heraclea.	true	746.3	769.75	20.722033
1513_140222_000068_000002	This stone not only attracts iron rings, but also imparts to them a similar power of attracting other rings; and sometimes you may see a number of pieces of iron and rings suspended from one another so as to form quite a long chain: and all of them derive their power of suspension from the original stone.	This stone not only attracts iron rings, but also imparts to them a similar power of attracting other rings; and sometimes you may see a number of pieces of iron and rings suspended from one another so as to form quite a long chain: and all of them derive their power of suspension from the original stone.	false	770.57	794.92	21.62936
1513_140222_000068_000003	In like manner the Muse first of all inspires men herself; and from these inspired persons a chain of other persons is suspended, who take the inspiration.	In like manner the Muse first of all inspires men herself; and from these inspired persons a chain of other persons is suspended, who take the inspiration.	true	796.25	809.23	22.30671
1513_140222_000068_000004	For all good poets, epic as well as lyric, compose their beautiful poems not by art, but because they are inspired and possessed.	For all good poets, epic as well as lyric, compose their beautiful poems not by art, but because they are inspired and possessed.	true	811.28	822.22	20.973267
1513_140222_000068_000005	And as the Corybantian revellers when they dance are not in their right mind, so the lyric poets are not in their right mind when they are composing their beautiful strains: but when falling under the power of music and metre they are inspired and possessed; like Bacchic maidens who draw milk and honey from the rivers when they are under the influence of Dionysus but not when they are in their right mind.	And as the Corybantian revellers when they dance are not in their right mind, so the lyric poets are not in their right mind when they are composing their beautiful strains: but when falling under the power of music and metre they are inspired and possessed; like Bacchic maidens who draw milk and honey from the rivers when they are under the influence of Dionysus but not when they are in their right mind.	false	823.16	854.8	20.878464
1513_140222_000068_000006	And the soul of the lyric poet does the same, as they themselves say; for they tell us that they bring songs from honeyed fountains, culling them out of the gardens and dells of the Muses; they, like the bees, winging their way from flower to flower.	And the soul of the lyric poet does the same, as they themselves say; for they tell us that they bring songs from honeyed fountains, culling them out of the gardens and dells of the Muses; they, like the bees, winging their way from flower to flower.	false	855.74	875.71	19.734259
1513_140222_000068_000007	And this is true.	And this is true.	true	876.38	878.05	22.72222
1513_140222_000068_000008	For the poet is a light and winged and holy thing, and there is no invention in him until he has been inspired and is out of his senses, and the mind is no longer in him: when he has not attained to this state, he is powerless and is unable to utter his oracles.	For the poet is a light and winged and holy thing, and there is no invention in him until he has been inspired and is out of his senses, and the mind is no longer in him: when he has not attained to this state, he is powerless and is unable to utter his oracles.	true	878.78	902.59	19.876709
1513_140222_000068_000009	Many are the noble words in which poets speak concerning the actions of men; but like yourself when speaking about Homer, they do not speak of them by any rules of art: they are simply inspired to utter that to which the Muse impels them, and that only; and when inspired, one of them will make dithyrambs, another hymns of praise, another choral strains, another epic or iambic verses--and he who is good at one is not good at any other kind of verse: for not by art does the poet sing, but by power divine.	Many are the noble words in which poets speak concerning the actions of men; but like yourself when speaking about Homer, they do not speak of them by any rules of art: they are simply inspired to utter that to which the Muse impels them, and that only; and when inspired, one of them will make dithyrambs, another hymns of praise, another choral strains, another epic or iambic verses-and he who is good at one is not good at any other kind of verse: for not by art does the poet sing, but by power divine.	false	904.19	948.61	19.789232
1513_140222_000068_000010	Had he learned by rules of art, he would have known how to speak not of one theme only, but of all; and therefore God takes away the minds of poets, and uses them as his ministers, as he also uses diviners and holy prophets, in order that we who hear them may know them to be speaking not of themselves who utter these priceless words in a state of unconsciousness, but that God himself is the speaker, and that through them he is conversing with us.	Had he learned by rules of art, he would have known how to speak not of one theme only, but of all; and therefore God takes away the minds of poets, and uses them as his ministers, as he also uses diviners and holy prophets, in order that we who hear them may know them to be speaking not of themselves who utter these priceless words in a state of unconsciousness, but that God himself is the speaker, and that through them he is conversing with us.	false	949.46	986.74	19.791098
1513_140222_000068_000011	And Tynnichus the Chalcidian affords a striking instance of what I am saying: he wrote nothing that any one would care to remember but the famous paean which is in every one's mouth, one of the finest poems ever written, simply an invention of the Muses, as he himself says.	And Tynnichus the Chalcidian affords a striking instance of what I am saying: he wrote nothing that any one would care to remember but the famous paean which is in every one's mouth, one of the finest poems ever written, simply an invention of the Muses, as he himself says.	true	988.76	1011.34	20.795479
1513_140222_000068_000012	For in this way the God would seem to indicate to us and not allow us to doubt that these beautiful poems are not human, or the work of man, but divine and the work of God; and that the poets are only the interpreters of the Gods by whom they are severally possessed.	For in this way the God would seem to indicate to us and not allow us to doubt that these beautiful poems are not human, or the work of man, but divine and the work of God; and that the poets are only the interpreters of the Gods by whom they are severally possessed.	true	1012.94	1035.28	20.592709
1513_140222_000068_000013	Was not this the lesson which the God intended to teach when by the mouth of the worst of poets he sang the best of songs?	Was not this the lesson which the God intended to teach when by the mouth of the worst of poets he sang the best of songs?	false	1036.04	1045.24	21.770105
1513_140222_000068_000014	Am I not right, Ion?	Am I not right, Ion?	true	1045.85	1047.52	17.097918
1513_140222_000069_000000	ION: Yes, indeed, Socrates, I feel that you are; for your words touch my soul, and I am persuaded that good poets by a divine inspiration interpret the things of the Gods to us.	ION: Yes, indeed, Socrates, I feel that you are; for your words touch my soul, and I am persuaded that good poets by a divine inspiration interpret the things of the Gods to us.	true	1048.31	1065.13	20.804388
1513_140222_000070_000000	SOCRATES: And you rhapsodists are the interpreters of the poets?	SOCRATES: And you rhapsodists are the interpreters of the poets?	true	1066.22	1072.09	20.418865
1513_140222_000071_000000	ION: There again you are right.	ION: There again you are right.	true	1072.64	1075.39	18.53871
1513_140222_000072_000000	SOCRATES: Then you are the interpreters of interpreters?	SOCRATES: Then you are the interpreters of interpreters?	false	1075.94	1080.88	19.897554
1513_140222_000073_000000	ION: Precisely.	ION: Precisely.	true	1081.34	1083.34	20.40424
1513_140222_000074_000000	SOCRATES: I wish you would frankly tell me, Ion, what I am going to ask of you: When you produce the greatest effect upon the audience in the recitation of some striking passage, such as the apparition of Odysseus leaping forth on the floor, recognized by the suitors and casting his arrows at his feet, or the description of Achilles rushing at Hector, or the sorrows of Andromache, Hecuba, or Priam,--are you in your right mind?	SOCRATES: I wish you would frankly tell me, Ion, what I am going to ask of you: When you produce the greatest effect upon the audience in the recitation of some striking passage, such as the apparition of Odysseus leaping forth on the floor, recognized by the suitors and casting his arrows at his feet, or the description of Achilles rushing at Hector, or the sorrows of Andromache, Hecuba, or Priam,--are you in your right mind?	true	1083.83	1119.49	20.727686
1513_140222_000074_000001	Are you not carried out of yourself, and does not your soul in an ecstasy seem to be among the persons or places of which you are speaking, whether they are in Ithaca or in Troy or whatever may be the scene of the poem?	Are you not carried out of yourself, and does not your soul in an ecstasy seem to be among the persons or places of which you are speaking, whether they are in Ithaca or in Troy or whatever may be the scene of the poem?	true	1120.37	1137.64	21.26922
1513_140222_000075_000000	ION: That proof strikes home to me, Socrates.	ION: That proof strikes home to me, Socrates.	true	1138.76	1142.83	20.058752
1513_140222_000075_000001	For I must frankly confess that at the tale of pity my eyes are filled with tears, and when I speak of horrors, my hair stands on end and my heart throbs.	For I must frankly confess that at the tale of pity my eyes are filled with tears, and when I speak of horrors, my hair stands on end and my heart throbs.	true	1143.38	1156.33	20.804756
1513_140222_000076_000000	SOCRATES: Well, Ion, and what are we to say of a man who at a sacrifice or festival, when he is dressed in holiday attire, and has golden crowns upon his head, of which nobody has robbed him, appears weeping or panic-stricken in the presence of more than twenty thousand friendly faces, when there is no one despoiling or wronging him;--is he in his right mind or is he not?	SOCRATES: Well, Ion, and what are we to say of a man who at a sacrifice or festival, when he is dressed in holiday attire, and has golden crowns upon his head, of which nobody has robbed him, appears weeping or panic stricken in the presence of more than twenty thousand friendly faces, when there is no one despoiling or wronging him;--is he in his right mind or is he not?	false	1157.36	1188.28	15.943837
1513_140222_000077_000000	ION: No indeed, Socrates, I must say that, strictly speaking, he is not in his right mind.	ION: No indeed, Socrates, I must say that, strictly speaking, he is not in his right mind.	true	1188.74	1195.51	16
1513_140222_000078_000000	SOCRATES: And are you aware that you produce similar effects on most of the spectators?	SOCRATES: And are you aware that you produce similar effects on most of the spectators?	true	1196.45	1203.49	16.497635
1513_140222_000079_000000	ION: Only too well; for I look down upon them from the stage, and behold the various emotions of pity, wonder, sternness, stamped upon their countenances when I am speaking: and I am obliged to give my very best attention to them; for if I make them cry I myself shall laugh, and if I make them laugh I myself shall cry when the time of payment arrives.	ION: Only too well; for I look down upon them from the stage, and behold the various emotions of pity, wonder, sternness, stamped upon their countenances when I am speaking: and I am obliged to give my very best attention to them; for if I make them cry I myself shall laugh, and if I make them laugh I myself shall cry when the time of payment arrives.	true	1203.89	1232.95	15.446928
1513_140222_000080_000000	SOCRATES: Do you know that the spectator is the last of the rings which, as I am saying, receive the power of the original magnet from one another?	SOCRATES: Do you know that the spectator is the last of the rings which, as I am saying, receive the power of the original magnet from one another?	true	1233.71	1245.94	16.762669
1513_140222_000080_000001	The rhapsode like yourself and the actor are intermediate links, and the poet himself is the first of them.	The rhapsode like yourself and the actor are intermediate links, and the poet himself is the first of them.	true	1246.88	1255.81	16.929344
1513_140222_000080_000002	Through all these the God sways the souls of men in any direction which he pleases, and makes one man hang down from another.	Through all these the God sways the souls of men in any direction which he pleases, and makes one man hang down from another.	true	1256.66	1266.94	15.313621
1513_140222_000080_000003	Thus there is a vast chain of dancers and masters and under-masters of choruses, who are suspended, as if from the stone, at the side of the rings which hang down from the Muse.	Thus there is a vast chain of dancers and masters and under masters of choruses, who are suspended, as if from the stone, at the side of the rings which hang down from the Muse.	false	1267.85	1283.26	15.515721
1513_140222_000080_000004	And every poet has some Muse from whom he is suspended, and by whom he is said to be possessed, which is nearly the same thing; for he is taken hold of.	And every poet has some Muse from whom he is suspended, and by whom he is said to be possessed, which is nearly the same thing; for he is taken hold of.	false	1283.81	1296.19	14.983999
1513_140222_000080_000005	And from these first rings, which are the poets, depend others, some deriving their inspiration from Orpheus, others from Musaeus; but the greater number are possessed and held by Homer.	And from these first rings, which are the poets, depend others, some deriving their inspiration from Orpheus, others from Musaeus; but the greater number are possessed and held by Homer.	false	1297.79	1313.26	14.929545
1513_140222_000080_000006	Of whom, Ion, you are one, and are possessed by Homer; and when any one repeats the words of another poet you go to sleep, and know not what to say; but when any one recites a strain of Homer you wake up in a moment, and your soul leaps within you, and you have plenty to say; for not by art or knowledge about Homer do you say what you say, but by divine inspiration and by possession; just as the Corybantian revellers too have a quick perception of that strain only which is appropriated to the God by whom they are possessed, and have plenty of dances and words for that, but take no heed of any other.	Of whom, Ion, you are one, and are possessed by Homer; and when any one repeats the words of another poet you go to sleep, and know not what to say; but when any one recites a strain of Homer you wake up in a moment, and your soul leaps within you, and you have plenty to say; for not by art or knowledge about Homer do you say what you say, but by divine inspiration and by possession; just as the Corybantian revellers too have a quick perception of that strain only which is appropriated to the God by whom they are possessed, and have plenty of dances and words for that, but take no heed of any other.	false	1314.35	1364.44	16.09817
1513_140222_000080_000007	And you, Ion, when the name of Homer is mentioned have plenty to say, and have nothing to say of others.	And you, Ion, when the name of Homer is mentioned have plenty to say, and have nothing to say of others.	true	1365.26	1373.23	15.824324
1513_140222_000080_000008	You ask, 'Why is this?' The answer is that you praise Homer not by art but by divine inspiration.	You ask, 'Why is this?' The answer is that you praise Homer not by art but by divine inspiration.	true	1373.63	1383.49	17.179932
