3972_5791_000001_000000	Chapter XLI.	Chapter forty one.
3972_5791_000012_000007	The cheek of Alexander would have blushed deep as his Tyrian robe; and the face of Charlemagne turned pale as the lilies, at the bare suspicion of being capable of such a deed.	The cheek of Alexander would have blushed deep as his Tyrian robe; and the face of Charlemagne turned pale as the lilies, at the bare suspicion of being capable of such a deed.
3972_5791_000013_000000	"No, Lord Montgomery, it is not our conqueror we are opposing; it is a traitor, who, under the mask of friendship, has attempted to usurp our rights, destroy our liberties, and make a desert of our once happy country.	"No, Lord Montgomery, it is not our conqueror we are opposing; it is a traitor, who, under the mask of friendship, has attempted to usurp our rights, destroy our liberties, and make a desert of our once happy country.
3972_5791_000014_000000	"I will think of this discourse," returned Montgomery, "when I am far distant; and rely on it, noble Wallace that I will assert the privilege of my birth, and counsel my king as becomes an honest man."	"I will think of this discourse," returned Montgomery, "when I am far distant; and rely on it, noble Wallace that I will assert the privilege of my birth, and counsel my king as becomes an honest man."
3972_5791_000015_000000	"Highly would he estimate such counsel," cried Wallace, "had he virtue to feel that he who will be just to his sovereign's enemies must be of an honor that will bind him with double fidelity to his king.	"Highly would he estimate such counsel," cried Wallace, "had he virtue to feel that he who will be just to his sovereign's enemies must be of an honor that will bind him with double fidelity to his king.
3972_5791_000015_000001	Such proof give your sovereign; and, if he have one spark of that greatness of mind which you say he possesses, though he may not adopt your advice, he must respect the adviser."	Such proof give your sovereign; and, if he have one spark of that greatness of mind which you say he possesses, though he may not adopt your advice, he must respect the adviser."
3972_5791_000016_000000	As Wallace pressed the hand of his new friend, to leave him to repose, a messenger entered from Lord Mar, to request the regent's presence in his closet.	As Wallace pressed the hand of his new friend, to leave him to repose, a messenger entered from Lord Mar, to request the regent's presence in his closet.
3972_5791_000016_000001	He found him with Lord de Warenne.	He found him with Lord de Warenne.
3972_5791_000016_000002	The latter presented him with another dispatch from the Prince of Wales.	The latter presented him with another dispatch from the Prince of Wales.
3972_5791_000016_000003	It was to say, that news had reached him of Wallace's design to attack the castles garrisoned by England, on the eastern coast.	It was to say, that news had reached him of Wallace's design to attack the castles garrisoned by England, on the eastern coast.
3972_5791_000017_000001	Both the castles and the fleets are taken; and what punishment must we now expect from this terrible threatener?"	Both the castles and the fleets are taken; and what punishment must we now expect from this terrible threatener?"
3972_5791_000018_000000	"Little from him, or his headlong counselors," replied De Warenne; "but Thomas Earl of Lancaster, the king's nephew, is come from abroad with a numerous army.	"Little from him, or his headlong counselors," replied De Warenne; "but Thomas Earl of Lancaster, the king's nephew, is come from abroad with a numerous army.
3972_5791_000018_000001	He is to conduct the Scottish prisoners to the borders, and then to fall upon Scotland with all his strength, unless you previously surrender, not only Berwick, but Stirling, and the whole of the district between the Forth and the Tweed, into his hands."	He is to conduct the Scottish prisoners to the borders, and then to fall upon Scotland with all his strength, unless you previously surrender, not only Berwick, but Stirling, and the whole of the district between the Forth and the Tweed, into his hands."
3972_5791_000019_000000	"My Lord de Warenne," replied Wallace, "you can expect but one return to these absurd demands.	"My Lord de Warenne," replied Wallace, "you can expect but one return to these absurd demands.
3972_5791_000019_000001	I shall accompany you myself to the Scottish borders, and there made my reply."	I shall accompany you myself to the Scottish borders, and there made my reply."
3972_5791_000021_000002	Is not the greater part of the Lowlands free?	Is not the greater part of the Lowlands free?
3972_5791_000021_000007	Let Edward yield to that, and though he has pierced us with many wounds, we will yet forgive him."	Let Edward yield to that, and though he has pierced us with many wounds, we will yet forgive him."
3972_5791_000022_000000	De Warenne shook his head; "I know my king too well to expect pacific measures.	De Warenne shook his head; "I know my king too well to expect pacific measures.
3972_5791_000022_000001	He may die with the sword in his hand; but he will never grant an hour's repose to this country till it submits to his scepter."	He may die with the sword in his hand; but he will never grant an hour's repose to this country till it submits to his scepter."
3972_5791_000023_000001	If the blood of Abel called for vengeance on his murderer, what must be the vials of wrath which are reserved for thee?"	If the blood of Abel called for vengeance on his murderer, what must be the vials of wrath which are reserved for thee?"
3972_5791_000025_000001	All warfare that is not defensive is criminal; and he who draws his sword to oppress, or merely to aggrandize, is a murderer and a robber.	All warfare that is not defensive is criminal; and he who draws his sword to oppress, or merely to aggrandize, is a murderer and a robber.
3972_5791_000026_000001	I revere your principle, Sir William Wallace; but it is too sublime to be mine.	I revere your principle, Sir William Wallace; but it is too sublime to be mine.
3972_5791_000026_000002	Nay, nor would it be politic for one who holds his possessions in England by the right of conquest to question the virtue of the deed.	Nay, nor would it be politic for one who holds his possessions in England by the right of conquest to question the virtue of the deed.
3972_5791_000026_000003	By the sword my ancestors gained their estates; and with the sword I have no objection to extend my territories."	By the sword my ancestors gained their estates; and with the sword I have no objection to extend my territories."
