8677_291953_000000_000000	A. PHILIPS.	A. PHILIPS.	false	6.96	26.385	22.21882
8677_291953_000015_000000	"Mighty Victor, mighty lord, Low on his funeral couch he lies! No pitying heart, no eye, afford A tear to grace his obsequies. Is the sable warrior fled? Thy son is gone.	"Mighty Victor, mighty lord, Low on his funeral couch he lies! No pitying heart, no eye, afford A tear to grace his obsequies. Is the sable warrior fled? Thy son is gone.	true	291.08	303.81	21.875116
8677_291953_000015_000001	He rests among the dead. The swarm that in thy noon-tide beam were born? --Gone to salute the rising morn. Fair laughs the Morn, and soft the zephyr blows, While proudly riding o'er the azure realm In gallant trim the gilded Vessel goes: Youth on the prow, and Pleasure at the helm: Regardless of the sweeping Whirlwind's sway, That hush'd in grim repose expects his evening prey.	He rests among the dead. The swarm that in thy noon tide beam were born? --Gone to salute the rising morn. Fair laughs the Morn, and soft the zephyr blows, While proudly riding o'er the azure realm In gallant trim the gilded Vessel goes: Youth on the prow, and Pleasure at the helm: Regardless of the sweeping Whirlwind's sway, That hush'd in grim repose expects his evening prey.	true	303.81	328.57	21.581919
8677_291953_000016_000000	"Fill high the sparkling bowl, The rich repast prepare; Reft of a crown, he yet may share the feast. Close by the regal chair Fell Thirst and Famine scowl A baleful smile upon their baffled guest. Heard ye the din of battle bray, Lance to lance, and horse to horse? Long years of havock urge their destined course, And thro' the kindred squadrons mow their way. Ye Towers of Julius!	"Fill high the sparkling bowl, The rich repast prepare; Reft of a crown, he yet may share the feast. Close by the regal chair Fell Thirst and Famine scowl A baleful smile upon their baffled guest. Heard ye the din of battle bray, Lance to lance, and horse to horse? Long years of havock urge their destined course, And thro' the kindred squadrons mow their way. Ye Towers of Julius!	false	328.97	355.47	22.0288
8677_291953_000016_000001	London's lasting shame, With many a foul and midnight murder fed, Revere his Consort's faith, his Father's fame, And spare the meek usurper's holy head! Above, below, the rose of snow, Twined with her blushing foe, we spread: The bristled boar in infant gore Wallows beneath the thorny shade. Now, brothers, bending o'er the accursed loom, Stamp we our vengeance deep, and ratify his doom.	London's lasting shame, With many a foul and midnight murder fed, Revere his Consort's faith, his Father's fame, And spare the meek usurper's holy head! Above, below, the rose of snow, Twined with her blushing foe, we spread: The bristled boar in infant gore Wallows beneath the thorny shade. Now, brothers, bending o'er the accursed loom, Stamp we our vengeance deep, and ratify his doom.	false	355.47	380.53	21.167677
8677_291953_000017_000000	"Edward, lo! to sudden fate (Weave we the woof; the thread is spun;) Half of thy heart we consecrate. (The web is wove; the work is done;) Stay, O stay! nor thus forlorn Leave me unbless'd, unpitied, here to mourn: In yon bright track that fires the western skies They melt, they vanish from my eyes. But O! what solemn scenes on Snowdon's height Descending slow, their glittering skirts unroll? Visions of glory, spare my aching sight, Ye unborn ages, crowd not on my soul! No more our long-lost Arthur we bewail:-- All hail, ye genuine Kings!	"Edward, lo! to sudden fate (Weave we the woof; the thread is spun winking face  Half of thy heart we consecrate. (The web is wove; the work is done winking face  Stay, O stay! nor thus forlorn Leave me unbless'd, unpitied, here to mourn: In yon bright track that fires the western skies They melt, they vanish from my eyes. But O! what solemn scenes on Snowdon's height Descending slow, their glittering skirts unroll? Visions of glory, spare my aching sight, Ye unborn ages, crowd not on my soul! No more our long lost Arthur we bewail:-- All hail, ye genuine Kings!	false	381.11	420.63	20.945536
8677_291953_000017_000001	Britannia's issue, hail!	Britannia's issue, hail!	true	420.63	422.65	21.245167
8677_291953_000018_000000	"Girt with many a baron bold, Sublime their starry fronts they rear; And gorgeous dames, and statesmen old In bearded majesty, appear. In the midst a form divine! Her eye proclaims her of the Briton-Line: Her lion-port, her awe-commanding face Attemper'd sweet to virgin-grace. What strings symphonious tremble in the air, What strains of vocal transport round her play? Hear from the grave, great Taliessin, hear; They breathe a soul to animate thy clay. Bright Rapture calls, and soaring as she sings, Waves in the eye of Heaven her many-colour'd wings.	"Girt with many a baron bold, Sublime their starry fronts they rear; And gorgeous dames, and statesmen old In bearded majesty, appear. In the midst a form divine! Her eye proclaims her of the Briton Line: Her lion port, her awe commanding face Attemper'd sweet to virgin grace. What strings symphonious tremble in the air, What strains of vocal transport round her play? Hear from the grave, great Taliessin, hear; They breathe a soul to animate thy clay. Bright Rapture calls, and soaring as she sings, Waves in the eye of Heaven her many colour'd wings.	true	423.2	459.37	22.014053
8677_291953_000019_000000	"The verse adorn again, Fierce War and faithful Love, And Truth severe, by fairy Fiction drest. In buskin'd measures move Pale Grief, and pleasing Pain, With Horror, tyrant of the throbbing breast. A voice as of the cherub-choir Gales from blooming Eden bear, And distant warblings lessen on my ear That lost in long futurity expire. Fond impious man, think'st thou yon sanguine cloud Raised by thy breath, has quench'd the orb of day? To-morrow he repairs the golden flood And warms the nations with redoubled ray. Enough for me: with joy I see The different doom our fates assign: Be thine Despair and sceptred Care; To triumph and to die are mine." He spoke, and headlong from the mountain's height Deep in the roaring tide he plunged to endless night.	"The verse adorn again, Fierce War and faithful Love, And Truth severe, by fairy Fiction drest. In buskin'd measures move Pale Grief, and pleasing Pain, With Horror, tyrant of the throbbing breast. A voice as of the cherub choir Gales from blooming Eden bear, And distant warblings lessen on my ear That lost in long futurity expire. Fond impious man, think'st thou yon sanguine cloud Raised by thy breath, has quench'd the orb of day? To morrow he repairs the golden flood And warms the nations with redoubled ray. Enough for me: with joy I see The different doom our fates assign: Be thine Despair and sceptred Care; To triumph and to die are mine." He spoke, and headlong from the mountain's height Deep in the roaring tide he plunged to endless night.	false	459.77	511.57	21.091003
8677_291953_000020_000000	T. GRAY.	T. GRAY.	true	512.06	513.64	22.550768
8677_291953_000021_000000	124.	one hundred twenty four.	true	515.18	516.88	23.831032
8677_291953_000021_000001	ODE WRITTEN IN MDCCXLVI.	ODE WRITTEN IN m d c c x l v i.	false	517.25	521.43	22.514496
8677_291953_000022_000000	How sleep the brave, who sink to rest By all their Country's wishes blest! When Spring, with dewy fingers cold, Returns to deck their hallow'd mould, She there shall dress a sweeter sod Than Fancy's feet have ever trod.	How sleep the brave, who sink to rest By all their Country's wishes blest! When Spring, with dewy fingers cold, Returns to deck their hallow'd mould, She there shall dress a sweeter sod Than Fancy's feet have ever trod.	true	521.43	536.23	22.293278
8677_291953_000023_000000	By fairy hands their knell is rung, By forms unseen their dirge is sung: There Honour comes, a pilgrim gray, To bless the turf that wraps their clay, And Freedom shall awhile repair To dwell a weeping hermit, there!	By fairy hands their knell is rung, By forms unseen their dirge is sung: There Honour comes, a pilgrim gray, To bless the turf that wraps their clay, And Freedom shall awhile repair To dwell a weeping hermit, there!	true	536.66	552.52	19.68983
8677_291953_000024_000000	W. COLLINS.	W. COLLINS.	true	553.16	554.74	27.982464
8677_291953_000025_000000	125.	one hundred twenty five.	true	555.62	557.44	23.692675
8677_291953_000025_000001	LAMENT FOR CULLODEN.	LAMENT FOR CULLODEN.	true	557.48	559.51	22.471745
8677_291953_000026_000000	The lovely lass o' Inverness, Nae joy nor pleasure can she see; For e'en and morn she cries, Alas! And aye the saut tear blink's her ee: Drumossie moor--Drumossie day-- A waefu' day it was to me! For there I lost my father dear, My father dear, and brethren three.	The lovely lass o' Inverness, Nae joy nor pleasure can she see; For e'en and morn she cries, Alas! And aye the saut tear blink's her ee: Drumossie moor-Drumossie day- A waefu' day it was to me! For there I lost my father dear, My father dear, and brethren three.	false	560.51	583.33	20.564991
8677_291953_000027_000000	Their winding-sheet the bluidy clay, Their graves are growing green to see: And by them lies the dearest lad That ever blest a woman's ee! Now wae to thee, thou cruel lord, A bluidy man I trow thou be; For mony a heart thou hast made sair That ne'er did wrong to thine or thee.	Their winding sheet the bluidy clay, Their graves are growing green to see: And by them lies the dearest lad That ever blest a woman's ee! Now w a e to thee, thou cruel lord, A bluidy man I trow thou be; For mony a heart thou hast made sair That ne'er did wrong to thine or thee.	false	583.85	604.09	21.306728
8677_291953_000028_000000	R. BURNS.	R. BURNS.	true	604.91	606.52	26.34328
8677_291953_000029_000000	126.	one hundred twenty six.	true	607.49	609.12	27
8677_291953_000029_000001	LAMENT FOR FLODDEN.	LAMENT FOR FLODDEN.	true	609.12	611.05	28.25179
8677_291953_000030_000000	I've heard them lilting at our ewe-milking, Lasses a' lilting before dawn o' day; But now they are moaning on ilka green loaning-- The Flowers of the Forest are a' wede away.	I've heard them lilting at our ewe milking, Lasses a' lilting before dawn o' day; But now they are moaning on ilka green loaning- The Flowers of the Forest are a' wede away.	true	611.9	624.04	20.440596
8677_291953_000031_000000	At bughts, in the morning, nae blythe lads are scorning, Lasses are lonely and dowie and wae; Nae daffin', nae gabbin', but sighing and sabbing, Ilk ane lifts her leglin and hies her away.	At bughts, in the morning, nae blythe lads are scorning, Lasses are lonely and dowie and w a e; Nae daffin', nae gabbin', but sighing and sabbing, Ilk ane lifts her leglin and hies her away.	false	624.77	638.13	21
8677_291953_000032_000000	In har'st, at the shearing, nae youths now are jeering, Bandsters are lyart, and runkled and gray; At fair or at preaching, nae wooing, nae fleeching-- The Flowers of the Forest are a' wede away.	In har'st, at the shearing, nae youths now are jeering, Bandsters are lyart, and runkled and gray; At fair or at preaching, nae wooing, nae fleeching- The Flowers of the Forest are a' wede away.	false	638.13	651.94	19.070383
8677_291953_000033_000000	At e'en, in the gloaming, nae younkers are roaming 'Bout stacks wi' the lasses at bogle to play; But ilk ane sits drearie, lamenting her dearie-- The Flowers of the Forest are weded away.	At e'en, in the gloaming, nae younkers are roaming 'bout stacks wi' the lasses at bogle to play; But ilk ane sits drearie, lamenting her dearie- The Flowers of the Forest are weded away.	false	652.43	665.98	22.141691
8677_291953_000034_000000	Dool and wae for the order, sent out lads to the border! The English, for ance, by guile wan the day; The Flowers of the Forest, that fought aye the foremost, The prime of our land, are cauld in the clay.	Dool and w a e for the order, sent out lads to the border! The English, for ance, by guile wan the day; The Flowers of the Forest, that fought aye the foremost, The prime of our land, are cauld in the clay.	false	666.05	679.42	20.41329
8677_291953_000035_000000	We'll hear nae mair lilting at the ewe-milking; Women and bairns are heartless and wae; Sighing and moaning on ilka green loaning-- The Flowers of the Forest are a' wede away.	We'll hear nae mair lilting at the ewe milking; Women and bairns are heartless and w a e; Sighing and moaning on ilka green loaning- The Flowers of the Forest are a' wede away.	false	679.94	692.83	18.715109
8677_291953_000036_000000	J. ELLIOTT.	J. ELLIOTT.	true	693.53	694.8	27.379887
8677_291953_000037_000000	127.	one hundred twenty seven.	false	694.8	697.53	17.63098
8677_291953_000037_000001	THE BRAES OF YARROW.	THE BRAES OF YARROW.	false	697.53	697.95	24.578629
8677_291953_000038_000000	Thy braes were bonny, Yarrow stream, When first on them I met my lover; Thy braes how dreary, Yarrow stream, When now thy waves his body cover! For ever now, O Yarrow stream! Thou art to me a stream of sorrow; For never on thy banks shall I Behold my Love, the flower of Yarrow!	Thy braes were bonny, Yarrow stream, When first on them I met my lover; Thy braes how dreary, Yarrow stream, When now thy waves his body cover! For ever now, O Yarrow stream! Thou art to me a stream of sorrow; For never on thy banks shall I Behold my Love, the flower of Yarrow!	false	697.95	703.62	-20
