6371_63713_000001_000000	CHAPTER II	CHAPTER two
6371_63713_000060_000000	"Well, I couldn't be sure.	"Well, I couldn't be sure.
6371_63713_000060_000001	It may have been I dreamed it."	It may have been I dreamed it."
6371_63713_000062_000000	"Well, like a cloth brushing my face more than like a hand--or it may have been a hand with a glove on it.	"Well, like a cloth brushing my face more than like a hand-or it may have been a hand with a glove on it.
6371_63713_000062_000002	Then I tried to arouse myself, but I heard the wind blowing and a sprinkle of rain, and, as my window was open, I thought the curtain might have blown across my face.	Then I tried to arouse myself, but I heard the wind blowing and a sprinkle of rain, and, as my window was open, I thought the curtain might have blown across my face.
6371_63713_000062_000003	That would account for it I reasoned, so--"	That would account for it I reasoned, so-"
6371_63713_000063_000001	"But what did you do?"	"But what did you do?"
6371_63713_000064_000000	"Nothing.	"Nothing.
6371_63713_000064_000001	I lay still a little while, and then I went to sleep again. I was only awake maybe two or three minutes."	I lay still a little while, and then I went to sleep again. I was only awake maybe two or three minutes."
6371_63713_000065_000000	"You didn't call Mrs. Darcy?"	"You didn't call mrs Darcy?"
6371_63713_000066_000000	"No."	"no"
6371_63713_000067_000000	"Nor the servant--what's her name?	"Nor the servant-what's her name?
6371_63713_000067_000001	Sallie?"	Sallie?"
6371_63713_000068_000000	"No.	"no
6371_63713_000068_000001	There wasn't any use in that.	There wasn't any use in that.
6371_63713_000068_000002	She's deaf."	She's deaf."
6371_63713_000069_000000	"And you didn't call the janitor?"	"And you didn't call the janitor?"
6371_63713_000070_000000	"No.	"no
6371_63713_000070_000001	I wasn't very wide awake, and I didn't really attach any importance to it until after I saw her--dead."	I wasn't very wide awake, and I didn't really attach any importance to it until after I saw her-dead."
6371_63713_000071_000000	"Um!	"Um!
6371_63713_000071_000001	Yes," murmured Carroll.	Yes," murmured Carroll.
6371_63713_000071_000002	"Well, then you went to sleep again. What did you do next?"	"Well, then you went to sleep again. What did you do next?"
6371_63713_000072_000000	"I awakened with a sudden start just before six o'clock.	"I awakened with a sudden start just before six o'clock.
6371_63713_000072_000001	I had not set an alarm, though I wanted to get up early to do a little repair job I had promised for early this morning.	I had not set an alarm, though I wanted to get up early to do a little repair job I had promised for early this morning.
6371_63713_000072_000004	I was anxious to finish the repair job for a man who was to leave on an early train this morning.	I was anxious to finish the repair job for a man who was to leave on an early train this morning.
6371_63713_000072_000005	He may be in any time now, and I haven't it ready for him."	He may be in any time now, and I haven't it ready for him."
6371_63713_000073_000000	"What sort of a repair job?" asked Carroll.	"What sort of a repair job?" asked Carroll.
6371_63713_000074_000000	"On a watch."	"On a watch."
6371_63713_000075_000000	"Where's the watch now?" and the detective flicked the ashes from a cigar the reporter had given him.	"Where's the watch now?" and the detective flicked the ashes from a cigar the reporter had given him.
6371_63713_000076_000000	"The watch," murmured Darcy.	"The watch," murmured Darcy.
6371_63713_000076_000001	"It--it's in her hand," and he nodded in the direction of the silent figure downstairs.	"It-it's in her hand," and he nodded in the direction of the silent figure downstairs.
6371_63713_000077_000000	"The watch that is still ticking?"	"The watch that is still ticking?"
6371_63713_000078_000000	"Yes, but the funny part of it is that the watch wasn't going last night, when I planned to start work on it.	"Yes, but the funny part of it is that the watch wasn't going last night, when I planned to start work on it.
6371_63713_000078_000001	I forget just why I didn't do it," and Darcy seemed a bit confused, a point not lost sight of by Carroll.	I forget just why I didn't do it," and Darcy seemed a bit confused, a point not lost sight of by Carroll.
6371_63713_000078_000003	Anyhow I didn't do anything to the Indian's watch more than look at it, and I made up my mind to rise early and hurry it through.	Anyhow I didn't do anything to the Indian's watch more than look at it, and I made up my mind to rise early and hurry it through.
6371_63713_000078_000004	So I didn't even wind it.	So I didn't even wind it.
6371_63713_000078_000005	I can't understand what makes it go, unless some one got in and wound it--and they wouldn't do that."	I can't understand what makes it go, unless some one got in and wound it-and they wouldn't do that."
6371_63713_000079_000000	"Whose watch is it?" asked Thong.	"Whose watch is it?" asked Thong.
6371_63713_000081_000000	"Singa Phut!" ejaculated Carroll.	"Singa Phut!" ejaculated Carroll.
6371_63713_000081_000001	"Crimps, what a name!	"Crimps, what a name!
6371_63713_000081_000002	Who belongs to it?"	Who belongs to it?"
6371_63713_000082_000001	"He has a curio store down on Water Street.	"He has a curio store down on Water Street.
6371_63713_000082_000002	We have bought some odd things from him for our customers, queer bead necklaces and the like.	We have bought some odd things from him for our customers, queer bead necklaces and the like.
6371_63713_000082_000003	He left the watch with my cousin, who told me to repair it.	He left the watch with my cousin, who told me to repair it.
6371_63713_000082_000004	It needed a new case-spring and some of the screws were loose."	It needed a new case spring and some of the screws were loose."
6371_63713_000084_000000	"That I couldn't say."	"That I couldn't say."
6371_63713_000086_000001	"He has not lived here very long, but I knew him in New York.	"He has not lived here very long, but I knew him in New York.
6371_63713_000086_000002	He has done business with me for some years."	He has done business with me for some years."
6371_63713_000087_000000	"Is he all right--safe--not one of them gars--you know, the fellows that use a silk cord to strangle you with?" asked Thong, who had some imagination regarding garroters.	"Is he all right-safe-not one of them gars-you know, the fellows that use a silk cord to strangle you with?" asked Thong, who had some imagination regarding garroters.
6371_63713_000089_000000	"Oh," said Carroll and Thong in unison.	"Oh," said Carroll and Thong in unison.
6371_63713_000090_000000	There came another knock on the side door downstairs.	There came another knock on the side door downstairs.
6371_63713_000090_000001	There was less of a crowd about now, and Mulligan did not have to keep back a rush as he opened the portal.	There was less of a crowd about now, and Mulligan did not have to keep back a rush as he opened the portal.
6371_63713_000091_000000	"Dr. Warren," reported the policeman, calling upstairs to Carroll and Thong.	"dr Warren," reported the policeman, calling upstairs to Carroll and Thong.
6371_63713_000092_000000	"The county physician," explained Carroll.	"The county physician," explained Carroll.
6371_63713_000092_000001	"Better come down and meet him, Mr. Darcy.	"Better come down and meet him, mr Darcy.
6371_63713_000092_000002	He'll want to ask you some questions.	He'll want to ask you some questions.
6371_63713_000092_000003	Then we'll have another go at you.	Then we'll have another go at you.
6371_63713_000092_000004	Got to ask a lot of questions in a case like this," he half apologized.	Got to ask a lot of questions in a case like this," he half apologized.
6371_63713_000093_000000	"Oh, sure," assented the jewelry worker.	"Oh, sure," assented the jewelry worker.
6371_63713_000094_000000	"Doc Warren, eh," mused Thong to his partner, as Darcy preceded them downstairs.	"Doc Warren, eh," mused Thong to his partner, as Darcy preceded them downstairs.
6371_63713_000096_000001	Come on!"	Come on!"
6371_63713_000097_000002	"Second time this week you've got me out of bed before my time.	"Second time this week you've got me out of bed before my time.
6371_63713_000097_000003	What's the matter, if they've got to have a murder, with doing it in the afternoon?	What's the matter, if they've got to have a murder, with doing it in the afternoon?
6371_63713_000097_000004	I like my sleep!"	I like my sleep!"
6371_63713_000098_000000	He was smiling and cheerful, was Dr. Warren.	He was smiling and cheerful, was dr Warren.
6371_63713_000098_000001	Murders and autopsies were all in the day's work with him.	Murders and autopsies were all in the day's work with him.
6371_63713_000099_000001	quite an old lady," he mused as he took off his coat, which Carroll held for him.	quite an old lady," he mused as he took off his coat, which Carroll held for him.
6371_63713_000099_000002	The doctor rolled up his shirt sleeves and stooped down.	The doctor rolled up his shirt sleeves and stooped down.
6371_63713_000099_000003	"Head's badly cut--let's see what we have here.	"Head's badly cut-let's see what we have here.
6371_63713_000099_000004	Let's have a light, it's too dark to see."	Let's have a light, it's too dark to see."
6371_63713_000100_000000	One of the clerks switched on more electric lights, and they glinted and sparkled on the silver and cut glass.	One of the clerks switched on more electric lights, and they glinted and sparkled on the silver and cut glass.
6371_63713_000100_000001	They flashed on the white, still face, and the gleams seemed to be swallowed up in that red blotch in the snowy hair.	They flashed on the white, still face, and the gleams seemed to be swallowed up in that red blotch in the snowy hair.
6371_63713_000101_000000	"Um, yes!	"Um, yes!
6371_63713_000101_000001	Depressed fracture.	Depressed fracture.
6371_63713_000101_000002	Bad place, too.	Bad place, too.
6371_63713_000101_000004	Might have been from a black-jack?" and he glanced questioningly at the detectives.	Might have been from a black jack?" and he glanced questioningly at the detectives.
6371_63713_000103_000000	"That'll crack a skull, but it won't draw blood--not if it's used right," and he brought from his hip pocket one of the weapons in question--a short, stout flexible reed, covered with leather, the end forming a pocket in which was a chunk of lead.	"That'll crack a skull, but it won't draw blood-not if it's used right," and he brought from his hip pocket one of the weapons in question-a short, stout flexible reed, covered with leather, the end forming a pocket in which was a chunk of lead.
6371_63713_000105_000000	"Maybe not," assented the doctor.	"Maybe not," assented the doctor.
6371_63713_000105_000001	"Let's look a bit further."	"Let's look a bit further."
6371_63713_000107_000000	It was that of a hunter, standing as though he had just delivered a shot, and was peering to see the effect.	It was that of a hunter, standing as though he had just delivered a shot, and was peering to see the effect.
6371_63713_000107_000001	The butt of his gun projected behind him, and as Dr. Warren moved the statue into the light of the jewelry store chandeliers, they all saw, clinging to the stock of the gun, some straggling, white hairs.	The butt of his gun projected behind him, and as dr Warren moved the statue into the light of the jewelry store chandeliers, they all saw, clinging to the stock of the gun, some straggling, white hairs.
6371_63713_000108_000000	"That's what did it!" exclaimed the county physician.	"That's what did it!" exclaimed the county physician.
6371_63713_000108_000002	The burglar--or whoever it was--swung this statue as a club. It would make a deadly one, using the foot end for a handle," and Dr. Warren waved the ornament in the air over the dead woman's head to illustrate what he meant.	The burglar-or whoever it was-swung this statue as a club. It would make a deadly one, using the foot end for a handle," and dr Warren waved the ornament in the air over the dead woman's head to illustrate what he meant.
6371_63713_000109_000000	"Don't!" muttered Darcy in a strained voice.	"Don't!" muttered Darcy in a strained voice.
6371_63713_000110_000000	"Don't what?" asked the physician sharply.	"Don't what?" asked the physician sharply.
6371_63713_000111_000000	"Use the statue that way."	"Use the statue that way."
6371_63713_000112_000000	"Why not?"	"Why not?"
6371_63713_000113_000001	But now-- Oh, I never want to see it in the house!	But now- Oh, I never want to see it in the house!
6371_63713_000113_000002	I couldn't bear to look at it--nor could she!"	I couldn't bear to look at it-nor could she!"
6371_63713_000114_000000	"She?	"She?
6371_63713_000114_000001	We?	We?
6371_63713_000114_000002	What do you mean?" asked Carroll quickly.	What do you mean?" asked Carroll quickly.
6371_63713_000114_000003	"Say, do you know something about this killing that you're keeping back from us?"	"Say, do you know something about this killing that you're keeping back from us?"
6371_63713_000115_000000	He took a step nearer Darcy--a threatening step it would seem, from the fact that the jewelry worker drew back as if in alarm.	He took a step nearer Darcy-a threatening step it would seem, from the fact that the jewelry worker drew back as if in alarm.
6371_63713_000118_000000	"The house I hope to live in with my wife--Miss Amy Mason," answered Darcy, and he spoke in calm contrast to his former excitement, "We are going to be married in the fall," he went on.	"The house I hope to live in with my wife-Miss Amy Mason," answered Darcy, and he spoke in calm contrast to his former excitement, "We are going to be married in the fall," he went on.
6371_63713_000118_000001	"I had asked Mrs. Darcy to set that statue aside for me.	"I had asked mrs Darcy to set that statue aside for me.
6371_63713_000118_000002	Miss Mason admired it, and I planned to buy it.	Miss Mason admired it, and I planned to buy it.
6371_63713_000118_000003	We had the place all picked out where it would stand. But--now--"	We had the place all picked out where it would stand. But-now-"
6371_63713_000120_000001	"But are you sure it did, Doc?"	"But are you sure it did, Doc?"
6371_63713_000121_000000	"Pretty sure, yes.	"Pretty sure, yes.
6371_63713_000121_000001	I never make a statement, though, until after the autopsy.	I never make a statement, though, until after the autopsy.
6371_63713_000121_000002	No telling what that may develop.	No telling what that may develop.
6371_63713_000121_000003	I'll get at it right away. I guess you remember that Murray case," he went on, to no one in particular.	I'll get at it right away. I guess you remember that Murray case," he went on, to no one in particular.
6371_63713_000122_000000	"That wasn't your case, Doc," observed Carroll.	"That wasn't your case, Doc," observed Carroll.
6371_63713_000123_000000	"No, it was before my time.	"No, it was before my time.
6371_63713_000123_000001	But I remember it.	But I remember it.
6371_63713_000123_000002	That's why I'm saying nothing until I've made an examination.	That's why I'm saying nothing until I've made an examination.
6371_63713_000123_000003	Better 'phone the morgue keeper," he went on, "and have them come for the body."	Better 'phone the morgue keeper," he went on, "and have them come for the body."
6371_63713_000124_000000	"Have you--have you got to take her away?" faltered Darcy.	"Have you-have you got to take her away?" faltered Darcy.
6371_63713_000125_000000	"Yes.	"Yes.
6371_63713_000125_000001	I'm sorry, but it wouldn't do--here," and the doctor motioned to the glittering array of cut glass and plate.	I'm sorry, but it wouldn't do-here," and the doctor motioned to the glittering array of cut glass and plate.
6371_63713_000125_000002	"You won't keep the store open?" he inquired.	"You won't keep the store open?" he inquired.
6371_63713_000126_000000	"No.	"no
6371_63713_000126_000001	I'll put a notice in the door now," and Darcy wrote out one which a clerk affixed to the front door for him.	I'll put a notice in the door now," and Darcy wrote out one which a clerk affixed to the front door for him.
6371_63713_000127_000000	"Well, that's all I can do now," Dr. Warren said, after his very perfunctory examination.	"Well, that's all I can do now," dr Warren said, after his very perfunctory examination.
6371_63713_000127_000001	"The rest will have to be at the morgue.	"The rest will have to be at the morgue.
6371_63713_000127_000002	Got a place where I can wash my hands?" he asked.	Got a place where I can wash my hands?" he asked.
6371_63713_000128_000000	Darcy indicated a little closet near his work bench.	Darcy indicated a little closet near his work bench.
6371_63713_000128_000001	Dr. Warren soon resumed his coat, accepted a cigarette from Daley, slipped into his still damp rain-garment and was soon throbbing down the street in his automobile, having announced that he was going to breakfast and would perform the autopsy immediately afterward.	dr Warren soon resumed his coat, accepted a cigarette from Daley, slipped into his still damp rain garment and was soon throbbing down the street in his automobile, having announced that he was going to breakfast and would perform the autopsy immediately afterward.
6371_63713_000130_000000	More reporters came, and Daley fraternized with them, the newspaper men aside from the police and Jim Holiday, a detective from Prosecutor Bardon's office, being the only people admitted to the shop, when the clerks had been sent home.	More reporters came, and Daley fraternized with them, the newspaper men aside from the police and Jim Holiday, a detective from Prosecutor Bardon's office, being the only people admitted to the shop, when the clerks had been sent home.
6371_63713_000132_000000	"What's up?" asked Thong quickly.	"What's up?" asked Thong quickly.
6371_63713_000132_000001	He had been strolling about the shop, and had come to a stop near Darcy's work table--a sort of bench against the wall, and behind one of the showcases.	He had been strolling about the shop, and had come to a stop near Darcy's work table-a sort of bench against the wall, and behind one of the showcases.
6371_63713_000132_000002	The bench was fitted with a lathe, and on it were parts of watches, like the dead specimens preserved in alcohol in a doctor's office.	The bench was fitted with a lathe, and on it were parts of watches, like the dead specimens preserved in alcohol in a doctor's office.
6371_63713_000132_000003	"What's up, Bill?"	"What's up, Bill?"
6371_63713_000133_000000	"Look!" exclaimed Carroll, pointing.	"Look!" exclaimed Carroll, pointing.
6371_63713_000134_000000	The men from the morgue had the body raised in the air.	The men from the morgue had the body raised in the air.
6371_63713_000134_000001	And then, in the gleam from the electric lights there was revealed underneath and in the left side of the dead woman a clean slit through her light dress--a slit the edges of which were stained with blood.	And then, in the gleam from the electric lights there was revealed underneath and in the left side of the dead woman a clean slit through her light dress-a slit the edges of which were stained with blood.
6371_63713_000135_000000	"Another wound!" exclaimed Daley, his newspaper instincts quickly aroused by this addition of evidence of mystery.	"Another wound!" exclaimed Daley, his newspaper instincts quickly aroused by this addition of evidence of mystery.
6371_63713_000135_000001	"This is getting interesting!"	"This is getting interesting!"
6371_63713_000136_000000	"It's a cut--a deep one, too," murmured Carroll, as he drew nearer to look.	"It's a cut-a deep one, too," murmured Carroll, as he drew nearer to look.
6371_63713_000136_000001	"Wonder what did it?"	"Wonder what did it?"
