2137_131751_000002_000000	XVIII.	eighteen.
2137_131751_000011_000000	"The principle on which the action of this new battery is based is the oxidation and reduction of metals in an electrolyte which does not combine with, and will not dissolve, either the metals or their oxides; and an electrolyte, furthermore, which, although decomposed by the action of the battery, is immediately re-formed in equal quantity; and therefore in effect is a CONSTANT element, not changing in density or in conductivity.	"The principle on which the action of this new battery is based is the oxidation and reduction of metals in an electrolyte which does not combine with, and will not dissolve, either the metals or their oxides; and an electrolyte, furthermore, which, although decomposed by the action of the battery, is immediately re-formed in equal quantity; and therefore in effect is a CONSTANT element, not changing in density or in conductivity.
2137_131751_000012_000002	Again, the active materials of the electrodes being insoluble in, and absolutely unaffected by, the electrolyte, are not liable to any sort of chemical deterioration by action of the electrolyte--no matter how long continued....	Again, the active materials of the electrodes being insoluble in, and absolutely unaffected by, the electrolyte, are not liable to any sort of chemical deterioration by action of the electrolyte-no matter how long continued....
2137_131751_000013_000000	"The electrolyte of the Edison battery is a 21 per cent. solution of potassium hydrate having, in addition, a small amount of lithium hydrate.	"The electrolyte of the Edison battery is a twenty one per cent. solution of potassium hydrate having, in addition, a small amount of lithium hydrate.
2137_131751_000013_000001	The active metals of the electrodes--which will oxidize and reduce in this electrolyte without dissolution or chemical deterioration--are nickel and iron.	The active metals of the electrodes-which will oxidize and reduce in this electrolyte without dissolution or chemical deterioration-are nickel and iron.
2137_131751_000014_000001	4), are all made of nickel-plated steel--a material in which lightness, durability and mechanical strength are most happily combined, and a material beyond suspicion as to corrosion in an alkaline electrolyte....	four), are all made of nickel plated steel-a material in which lightness, durability and mechanical strength are most happily combined, and a material beyond suspicion as to corrosion in an alkaline electrolyte....
2137_131751_000015_000001	It is only when specially prepared iron oxide of exceeding fineness, and nickel hydrate conforming to certain physical, as well as chemical, standards can be made that the alkaline battery is practicable.	It is only when specially prepared iron oxide of exceeding fineness, and nickel hydrate conforming to certain physical, as well as chemical, standards can be made that the alkaline battery is practicable.
2137_131751_000016_000000	The article then treats of Edison's investigations into means for supporting and making electrical connection with the active materials, showing some of the difficulties encountered and the various discoveries made in developing the perfected cell, after which the writer continues his description of the "A" type cell, as follows:	The article then treats of Edison's investigations into means for supporting and making electrical connection with the active materials, showing some of the difficulties encountered and the various discoveries made in developing the perfected cell, after which the writer continues his description of the "A" type cell, as follows:
2137_131751_000017_000000	"It will be seen at once that the construction of the two kinds of plate is radically different.	"It will be seen at once that the construction of the two kinds of plate is radically different.
2137_131751_000017_000002	5) has the familiar flat-pocket construction.	five) has the familiar flat pocket construction.
2137_131751_000017_000003	Each negative contains twenty-four pockets--a pocket being 1/2 inch wide by 3 inches long, and having a maximum thickness of a little more than 1/8 inch.	Each negative contains twenty four pockets-a pocket being one half inch wide by three inches long, and having a maximum thickness of a little more than one eighth inch.
2137_131751_000017_000005	The frame is slit at the inner horizontal edges, and then folded in such a way as to make individual clamping-jaws for each end-flange. The clamping-in is done at great pressure, and the resultant plate has great rigidity and strength.	The frame is slit at the inner horizontal edges, and then folded in such a way as to make individual clamping jaws for each end flange. The clamping in is done at great pressure, and the resultant plate has great rigidity and strength.
2137_131751_000018_000000	"The perforated tubes into which the nickel active material is loaded are made of nickel-plated steel of high quality.	"The perforated tubes into which the nickel active material is loaded are made of nickel plated steel of high quality.
2137_131751_000018_000001	They are put together with a double-lapped spiral seam to give expansion-resisting qualities, and as an additional precaution small metal rings are slipped on the outside.	They are put together with a double lapped spiral seam to give expansion resisting qualities, and as an additional precaution small metal rings are slipped on the outside.
2137_131751_000019_000000	"It will be seen that the 'A' positive plate has been given the theoretically best design to prevent expansion and overcome trouble from that cause.	"It will be seen that the 'A' positive plate has been given the theoretically best design to prevent expansion and overcome trouble from that cause.
2137_131751_000019_000001	Actual tests, long continued under very severe conditions, have shown that the construction is right, and fulfils the most sanguine expectations."	Actual tests, long continued under very severe conditions, have shown that the construction is right, and fulfils the most sanguine expectations."
2137_131751_000021_000000	"An idea of the conditions inside a loaded tube can best be had by microscopic examination.	"An idea of the conditions inside a loaded tube can best be had by microscopic examination.
2137_131751_000021_000002	The vertical bounding walls are edges of the perforated metal containing tube; the dark horizontal lines are layers of nickel flake, while the light-colored thicker layers represent the nickel hydrate.	The vertical bounding walls are edges of the perforated metal containing tube; the dark horizontal lines are layers of nickel flake, while the light colored thicker layers represent the nickel hydrate.
2137_131751_000021_000003	It should be noted that the layers of flake nickel extend practically unbroken across the tube and make contact with the metal wall at both sides.	It should be noted that the layers of flake nickel extend practically unbroken across the tube and make contact with the metal wall at both sides.
2137_131751_000022_000000	In conclusion, the article enumerates the chief characteristics of the Edison storage battery which fit it preeminently for transportation service, as follows: 1.	In conclusion, the article enumerates the chief characteristics of the Edison storage battery which fit it preeminently for transportation service, as follows: one.
2137_131751_000022_000001	No loss of active material, hence no sediment short-circuits. 2.	No loss of active material, hence no sediment short circuits. two.
2137_131751_000022_000002	No jar breakage.	No jar breakage.
2137_131751_000022_000003	3.	three.
2137_131751_000022_000004	Possibility of quick disconnection or replacement of any cell without employment of skilled labor.	Possibility of quick disconnection or replacement of any cell without employment of skilled labor.
2137_131751_000022_000006	Impossibility of "buckling" and harmlessness of a dead short-circuit.	Impossibility of "buckling" and harmlessness of a dead short circuit.
2137_131751_000022_000007	5.	five.
2137_131751_000022_000008	Simplicity of care required.	Simplicity of care required.
2137_131751_000022_000009	6.	six.
2137_131751_000022_000010	Durability of materials and construction. 7.	Durability of materials and construction. seven.
2137_131751_000022_000011	Impossibility of "sulphation." 8.	Impossibility of "sulphation." eight.
2137_131751_000022_000012	Entire absence of corrosive fumes.	Entire absence of corrosive fumes.
2137_131751_000022_000013	9.	nine.
2137_131751_000022_000016	11.	eleven.
