2204_131732_000000_000000	THE title of this chapter might imply that there is an unsocial side to Edison.	THE title of this chapter might imply that there is an unsocial side to Edison.	true	33.24	38.14	17
2204_131732_000001_000006	At last Edison was overpersuaded, and, all dirty and perspiring as he was, received the medal rather than cause the visitor to come again. On one occasion, receiving a medal in New York, Edison forgot it on the ferry-boat and left it behind him.	At last Edison was overpersuaded, and, all dirty and perspiring as he was, received the medal rather than cause the visitor to come again. On one occasion, receiving a medal in New York, Edison forgot it on the ferry boat and left it behind him.	true	158.24	172.3	22.242168
2204_131732_000001_000007	A few years ago, when Edison had received the Albert medal of the Royal Society of Arts, one of the present authors called at the laboratory to see it.	A few years ago, when Edison had received the Albert medal of the Royal Society of Arts, one of the present authors called at the laboratory to see it.	false	172.79	181.2	20.54064
2204_131732_000001_000008	Nobody knew where it was; hours passed before it could be found; and when at last the accompanying letter was produced, it had an office date stamp right over the signature of the royal president.	Nobody knew where it was; hours passed before it could be found; and when at last the accompanying letter was produced, it had an office date stamp right over the signature of the royal president.	true	181.2	190.84	21
2204_131732_000001_000009	A visitor to the laboratory with one of these medallic awards asked Edison if he had any others.	A visitor to the laboratory with one of these medallic awards asked Edison if he had any others.	true	191.54	196.69	17
2204_131732_000001_000010	"Oh yes," he said, "I have a couple of quarts more up at the house!" All this sounds like lack of appreciation, but it is anything else than that.	"Oh yes," he said, "I have a couple of quarts more up at the house!" All this sounds like lack of appreciation, but it is anything else than that.	true	196.91	205.3	20.27276
2204_131732_000001_000011	While in Paris, in 1889, he wore the decoration of the Legion of Honor whenever occasion required, but at all other times turned the badge under his lapel "because he hated to have fellow-Americans think he was showing off." And any one who knows Edison will bear testimony to his utter absence of ostentation.	While in Paris, in eighteen eighty nine, he wore the decoration of the Legion of Honor whenever occasion required, but at all other times turned the badge under his lapel "because he hated to have fellow Americans think he was showing off." And any one who knows Edison will bear testimony to his utter absence of ostentation.	true	205.88	224.08	22.402279
2204_131732_000001_000012	It may be added that, in addition to the two quarts of medals up at the house, there will be found at Glenmont many other signal tokens of esteem and good-will--a beautiful cigar-case from the late Tsar of Russia, bronzes from the Government of Japan, steel trophies from Krupp, and a host of other mementos, to one of which he thus refers: "When the experiments with the light were going on at Menlo Park, Sarah Bernhardt came to America.	It may be added that, in addition to the two quarts of medals up at the house, there will be found at Glenmont many other signal tokens of esteem and good will-a beautiful cigar case from the late Tsar of Russia, bronzes from the Government of Japan, steel trophies from Krupp, and a host of other mementos, to one of which he thus refers: "When the experiments with the light were going on at Menlo Park, Sarah Bernhardt came to America.	false	224.51	250.06	22.774199
2204_131732_000001_000013	One evening, Robert L. Cutting, of New York, brought her out to see the light.	One evening, Robert l Cutting, of New York, brought her out to see the light.	true	250.58	255.34	22.879509
2204_131732_000001_000014	She was a terrific 'rubberneck.' She jumped all over the machinery, and I had one man especially to guard her dress.	She was a terrific 'rubberneck.' She jumped all over the machinery, and I had one man especially to guard her dress.	true	255.56	262.155	23.9471
2204_131732_000001_000015	She wanted to know everything.	She wanted to know everything.	true	262.155	263.86	26
2204_131732_000001_000016	She would speak in French, and Cutting would translate into English.	She would speak in French, and Cutting would translate into English.	true	263.96	267.34	22.95388
2204_131732_000001_000017	She stayed there about an hour and a half.	She stayed there about an hour and a half.	true	267.62	270.24	21.567938
2204_131732_000001_000018	Bernhardt gave me two pictures, painted by herself, which she sent me from Paris."	Bernhardt gave me two pictures, painted by herself, which she sent me from Paris."	true	270.24	275.2	22.107487
2204_131732_000002_000000	Reference has already been made to the callers upon Edison; and to give simply the names of persons of distinction would fill many pages of this record.	Reference has already been made to the callers upon Edison; and to give simply the names of persons of distinction would fill many pages of this record.	true	275.84	284.71	20.940907
2204_131732_000002_000001	Some were mere consumers of time; others were gladly welcomed, like Lord Kelvin, the greatest physicist of the last century, with whom Edison was always in friendly communication.	Some were mere consumers of time; others were gladly welcomed, like Lord Kelvin, the greatest physicist of the last century, with whom Edison was always in friendly communication.	true	285.14	296.32	23.11375
2204_131732_000002_000002	"The first time I saw Lord Kelvin, he came to my laboratory at Menlo Park in 1876." (He reported most favorably on Edison's automatic telegraph system at the Philadelphia Exposition of 1876.) "I was then experimenting with sending eight messages simultaneously over a wire by means of synchronizing tuning-forks.	"The first time I saw Lord Kelvin, he came to my laboratory at Menlo Park in eighteen seventy six." (He reported most favorably on Edison's automatic telegraph system at the Philadelphia Exposition of eighteen seventy six.) "I was then experimenting with sending eight messages simultaneously over a wire by means of synchronizing tuning forks.	true	297.14	319.12	22.001759
2204_131732_000002_000003	I would take a wire with similar apparatus at both ends, and would throw it over on one set of instruments, take it away, and get it back so quickly that you would not miss it, thereby taking advantage of the rapidity of electricity to perform operations.	I would take a wire with similar apparatus at both ends, and would throw it over on one set of instruments, take it away, and get it back so quickly that you would not miss it, thereby taking advantage of the rapidity of electricity to perform operations.	true	319.67	333.55	21.326025
2204_131732_000002_000004	On my local wire I got it to work very nicely.	On my local wire I got it to work very nicely.	true	334.04	337.51	19.786007
2204_131732_000002_000005	When Sir William Thomson (Kelvin) came in the room, he was introduced to me, and had a number of friends with him. He said: 'What have you here?' I told him briefly what it was.	When Sir William Thomson (Kelvin) came in the room, he was introduced to me, and had a number of friends with him. He said: 'What have you here?' I told him briefly what it was.	true	338.51	350.8	21.403128
2204_131732_000002_000006	He then turned around, and to my great surprise explained the whole thing to his friends.	He then turned around, and to my great surprise explained the whole thing to his friends.	true	351.08	355.39	21.81519
2204_131732_000002_000007	Quite a different exhibition was given two weeks later by another well-known Englishman, also an electrician, who came in with his friends, and I was trying for two hours to explain it to him and failed."	Quite a different exhibition was given two weeks later by another well-known Englishman, also an electrician, who came in with his friends, and I was trying for two hours to explain it to him and failed."	true	355.73	366.43	20.484472
2204_131732_000003_000000	After the introduction of the electric light, Edison was more than ever in demand socially, but he shunned functions like the plague, not only because of the serious interference with work, but because of his deafness.	After the introduction of the electric light, Edison was more than ever in demand socially, but he shunned functions like the plague, not only because of the serious interference with work, but because of his deafness.	false	367.64	380.62	22.238142
2204_131732_000003_000001	Some dinners he had to attend, but a man who ate little and heard less could derive practically no pleasure from them.	Some dinners he had to attend, but a man who ate little and heard less could derive practically no pleasure from them.	true	381.47	389.29	23.254257
2204_131732_000003_000002	"George Washington Childs was very anxious I should go down to Philadelphia to dine with him.	"George Washington Childs was very anxious I should go down to Philadelphia to dine with him.	false	390.11	395.14	21.38224
2204_131732_000003_000003	I seldom went to dinners.	I seldom went to dinners.	true	395.81	397.42	20.412912
2204_131732_000003_000004	He insisted I should go--that a special car would leave New York.	He insisted I should go-that a special car would leave New York.	true	398	402.28	22.563646
2204_131732_000003_000005	It was for me to meet Mr. Joseph Chamberlain.	It was for me to meet mr Joseph Chamberlain.	true	402.53	405.13	26.651625
2204_131732_000003_000006	We had the private car of Mr. Roberts, President of the Pennsylvania Railroad.	We had the private car of mr Roberts, President of the Pennsylvania Railroad.	true	405.56	410.11	23.20775
2204_131732_000003_000007	We had one of those celebrated dinners that only Mr. Childs could give, and I heard speeches from Charles Francis Adams and different people.	We had one of those celebrated dinners that only mr Childs could give, and I heard speeches from Charles Francis Adams and different people.	true	410.3	418.06	21.06509
2204_131732_000003_000008	When I came back to the depot, Mr. Roberts was there, and insisted on carrying my satchel for me.	When I came back to the depot, mr Roberts was there, and insisted on carrying my satchel for me.	true	418.52	423.91	20
2204_131732_000003_000009	I never could understand that."	I never could understand that."	true	424.04	425.8	24.093618
2204_131732_000004_000000	Among the more distinguished visitors of the electric-lighting period was President Diaz, with whom Edison became quite intimate.	Among the more distinguished visitors of the electric lighting period was President Diaz, with whom Edison became quite intimate.	true	426.98	435.07	24.062796
2204_131732_000004_000001	"President Diaz, of Mexico, visited this country with Mrs. Diaz, a highly educated and beautiful woman.	"President Diaz, of Mexico, visited this country with mrs Diaz, a highly educated and beautiful woman.	true	435.65	441.85	20.998331
2204_131732_000004_000002	She spoke very good English.	She spoke very good English.	true	442.19	444.25	20.796309
2204_131732_000004_000003	They both took a deep interest in all they saw.	They both took a deep interest in all they saw.	true	444.47	447.37	23.520185
2204_131732_000004_000004	I don't know how it ever came about, as it is not in my line, but I seemed to be delegated to show them around.	I don't know how it ever came about, as it is not in my line, but I seemed to be delegated to show them around.	false	447.62	454.72	22.78738
2204_131732_000004_000005	I took them to railroad buildings, electric-light plants, fire departments, and showed them a great variety of things.	I took them to railroad buildings, electric light plants, fire departments, and showed them a great variety of things.	true	455.18	462.07	23.961765
2204_131732_000004_000006	It lasted two days." Of another visit Edison says: "Sitting Bull and fifteen Sioux Indians came to Washington to see the Great Father, and then to New York, and went to the Goerck Street works.	It lasted two days." Of another visit Edison says: "Sitting Bull and fifteen Sioux Indians came to Washington to see the Great Father, and then to New York, and went to the Goerck Street works.	false	462.41	474.76	21.55795
2204_131732_000004_000007	We could make some very good pyrotechnics there, so we determined to give the Indians a scare.	We could make some very good pyrotechnics there, so we determined to give the Indians a scare.	true	475.19	480.195	21
2204_131732_000004_000008	But it didn't work. We had an arc there of a most terrifying character, but they never moved a muscle." Another episode at Goerck Street did not find the visitors quite so stoical.	But it didn't work. We had an arc there of a most terrifying character, but they never moved a muscle." Another episode at Goerck Street did not find the visitors quite so stoical.	true	480.195	491.67	24.08488
2204_131732_000004_000009	"In testing dynamos at Goerck Street we had a long flat belt running parallel with the floor, about four inches above it, and travelling four thousand feet a minute.	"In testing dynamos at Goerck Street we had a long flat belt running parallel with the floor, about four inches above it, and travelling four thousand feet a minute.	false	491.67	501.79	22.88562
2204_131732_000004_000010	One day one of the directors brought in three or four ladies to the works to see the new electric-light system.	One day one of the directors brought in three or four ladies to the works to see the new electric light system.	true	502.16	507.73	21.485725
2204_131732_000004_000011	One of the ladies had a little poodle led by a string.	One of the ladies had a little poodle led by a string.	true	508.61	511.63	20.722816
2204_131732_000004_000012	The belt was running so smoothly and evenly, the poodle did not notice the difference between it and the floor, and got into the belt before we could do anything.	The belt was running so smoothly and evenly, the poodle did not notice the difference between it and the floor, and got into the belt before we could do anything.	true	511.94	520	23
2204_131732_000004_000013	The dog was whirled around forty or fifty times, and a little flat piece of leather came out--and the ladies fainted."	The dog was whirled around forty or fifty times, and a little flat piece of leather came out-and the ladies fainted."	true	520.37	527.895	23.674719
2204_131732_000005_000000	A very interesting period, on the social side, was the visit paid by Edison and his family to Europe in 1889, when he had made a splendid exhibit of his inventions and apparatus at the great Paris Centennial Exposition of that year, to the extreme delight of the French, who welcomed him with open arms.	A very interesting period, on the social side, was the visit paid by Edison and his family to Europe in eighteen eighty nine, when he had made a splendid exhibit of his inventions and apparatus at the great Paris Centennial Exposition of that year, to the extreme delight of the French, who welcomed him with open arms.	true	527.895	546.34	21
2204_131732_000005_000001	The political sentiments that the Exposition celebrated were not such as to find general sympathy in monarchical Europe, so that the "crowned heads" were conspicuous by their absence.	The political sentiments that the Exposition celebrated were not such as to find general sympathy in monarchical Europe, so that the "crowned heads" were conspicuous by their absence.	false	546.62	558.04	20.4736
2204_131732_000005_000002	It was not, of course, by way of theatrical antithesis that Edison appeared in Paris at such a time.	It was not, of course, by way of theatrical antithesis that Edison appeared in Paris at such a time.	true	559.01	565.12	22.790024
2204_131732_000005_000003	But the contrast was none the less striking and effective.	But the contrast was none the less striking and effective.	true	565.67	568.69	21.651316
2204_131732_000005_000004	It was felt that, after all, that which the great exposition exemplified at its best--the triumph of genius over matter, over ignorance, over superstition--met with its due recognition when Edison came to participate, and to felicitate a noble nation that could show so much in the victories of civilization and the arts, despite its long trials and its long struggle for liberty.	It was felt that, after all, that which the great exposition exemplified at its best-the triumph of genius over matter, over ignorance, over superstition-met with its due recognition when Edison came to participate, and to felicitate a noble nation that could show so much in the victories of civilization and the arts, despite its long trials and its long struggle for liberty.	true	568.76	589.96	23.885239
2204_131732_000005_000005	It is no exaggeration to say that Edison was greeted with the enthusiastic homage of the whole French people.	It is no exaggeration to say that Edison was greeted with the enthusiastic homage of the whole French people.	true	590.6	596.41	21
2204_131732_000005_000006	They could find no praise warm enough for the man who had "organized the echoes" and "tamed the lightning," and whose career was so picturesque with eventful and romantic development.	They could find no praise warm enough for the man who had "organized the echoes" and "tamed the lightning," and whose career was so picturesque with eventful and romantic development.	true	596.84	608.23	21.703236
2204_131732_000005_000007	In fact, for weeks together it seemed as though no Parisian paper was considered complete and up to date without an article on Edison.	In fact, for weeks together it seemed as though no Parisian paper was considered complete and up to date without an article on Edison.	true	608.54	615.94	22.429678
2204_131732_000005_000008	The exuberant wit and fancy of the feuilletonists seized upon his various inventions evolving from them others of the most extraordinary nature with which to bedazzle and bewilder the reader.	The exuberant wit and fancy of the feuilletonists seized upon his various inventions evolving from them others of the most extraordinary nature with which to bedazzle and bewilder the reader.	true	616.64	627.73	20
2204_131732_000005_000009	At the close of the Exposition Edison was created a Commander of the Legion of Honor.	At the close of the Exposition Edison was created a Commander of the Legion of Honor.	true	628.94	633.37	22
2204_131732_000005_000010	His own exhibit, made at a personal expense of over $100,000, covered several thousand square feet in the vast Machinery Hall, and was centred around a huge Edison lamp built of myriads of smaller lamps of the ordinary size.	His own exhibit, made at a personal expense of over one hundred thousand dollars, covered several thousand square feet in the vast Machinery Hall, and was centred around a huge Edison lamp built of myriads of smaller lamps of the ordinary size.	true	633.71	647.08	21
2204_131732_000005_000011	The great attraction, however, was the display of the perfected phonograph.	The great attraction, however, was the display of the perfected phonograph.	false	647.78	651.85	21.948149
2204_131732_000005_000012	Several instruments were provided, and every day, all day long, while the Exposition lasted, queues of eager visitors from every quarter of the globe were waiting to hear the little machine talk and sing and reproduce their own voices.	Several instruments were provided, and every day, all day long, while the Exposition lasted, queues of eager visitors from every quarter of the globe were waiting to hear the little machine talk and sing and reproduce their own voices.	true	652.07	665.08	20
2204_131732_000005_000013	Never before was such a collection of the languages of the world made.	Never before was such a collection of the languages of the world made.	true	665.45	669.22	19.45302
2204_131732_000005_000014	It was the first linguistic concourse since Babel times.	It was the first linguistic concourse since Babel times.	true	669.41	673.27	24.50932
2204_131732_000005_000015	We must let Edison tell the story of some of his experiences:	We must let Edison tell the story of some of his experiences:	true	673.34	676.96	21
2204_131732_000006_000000	"At the Universal Exposition at Paris, in 1889, I made a personal exhibit covering about an acre.	"At the Universal Exposition at Paris, in eighteen eighty nine, I made a personal exhibit covering about an acre.	false	677.42	684.55	22.3794
2204_131732_000006_000001	As I had no intention of offering to sell anything I was showing, and was pushing no companies, the whole exhibition was made for honor, and without any hope of profit.	As I had no intention of offering to sell anything I was showing, and was pushing no companies, the whole exhibition was made for honor, and without any hope of profit.	true	684.92	695.92	20.518671
2204_131732_000006_000002	But the Paris newspapers came around and wanted pay for notices of it, which we promptly refused; whereupon there was rather a stormy time for a while, but nothing was published about it.	But the Paris newspapers came around and wanted pay for notices of it, which we promptly refused; whereupon there was rather a stormy time for a while, but nothing was published about it.	false	696.68	707.74	22.299793
2204_131732_000007_000000	"While at the Exposition I visited the Opera-House.	"While at the Exposition I visited the Opera House.	true	709.1	712.15	21.898802
2204_131732_000007_000001	The President of France lent me his private box.	The President of France lent me his private box.	true	712.58	715.48	19.145988
2204_131732_000007_000002	The Opera-House was one of the first to be lighted by the incandescent lamp, and the managers took great pleasure in showing me down through the labyrinth containing the wiring, dynamos, etc.	The Opera House was one of the first to be lighted by the incandescent lamp, and the managers took great pleasure in showing me down through the labyrinth containing the wiring, dynamos, etc	false	716.06	725.86	19
2204_131732_000007_000003	When I came into the box, the orchestra played the 'Star-Spangled Banner,' and all the people in the house arose; whereupon I was very much embarrassed.	When I came into the box, the orchestra played the 'Star Spangled Banner,' and all the people in the house arose; whereupon I was very much embarrassed.	true	726.41	734.5	23.988743
2204_131732_000007_000004	After I had been an hour at the play, the manager came around and asked me to go underneath the stage, as they were putting on a ballet of 300 girls, the finest ballet in Europe.	After I had been an hour at the play, the manager came around and asked me to go underneath the stage, as they were putting on a ballet of three hundred girls, the finest ballet in Europe.	true	734.84	744.67	22
2204_131732_000007_000005	It seems there is a little hole on the stage with a hood over it, in which the prompter sits when opera is given.	It seems there is a little hole on the stage with a hood over it, in which the prompter sits when opera is given.	false	745.16	751.24	20.959948
2204_131732_000007_000006	In this instance it was not occupied, and I was given the position in the prompter's seat, and saw the whole ballet at close range.	In this instance it was not occupied, and I was given the position in the prompter's seat, and saw the whole ballet at close range.	true	751.64	759.16	23.107733
2204_131732_000008_000000	"The city of Paris gave me a dinner at the new Hotel de Ville, which was also lighted with the Edison system.	"The city of Paris gave me a dinner at the new Hotel de Ville, which was also lighted with the Edison system.	false	759.59	766.45	23.206547
2204_131732_000008_000001	They had a very fine installation of machinery.	They had a very fine installation of machinery.	true	766.7	769.69	19.686518
2204_131732_000008_000002	As I could not understand or speak a word of French, I went to see our minister, Mr. Whitelaw Reid, and got him to send a deputy to answer for me, which he did, with my grateful thanks.	As I could not understand or speak a word of French, I went to see our minister, mr Whitelaw Reid, and got him to send a deputy to answer for me, which he did, with my grateful thanks.	true	770.18	781.42	21.628263
2204_131732_000008_000003	Then the telephone company gave me a dinner, and the engineers of France; and I attended the dinner celebrating the fiftieth anniversary of the discovery of photography.	Then the telephone company gave me a dinner, and the engineers of France; and I attended the dinner celebrating the fiftieth anniversary of the discovery of photography.	true	782.12	791.11	23.609587
2204_131732_000008_000004	Then they sent to Reid my decoration, and they tried to put a sash on me, but I could not stand for that.	Then they sent to Reid my decoration, and they tried to put a sash on me, but I could not stand for that.	true	791.69	797.95	25.569805
2204_131732_000008_000005	My wife had me wear the little red button, but when I saw Americans coming I would slip it out of my lapel, as I thought they would jolly me for wearing it."	My wife had me wear the little red button, but when I saw Americans coming I would slip it out of my lapel, as I thought they would jolly me for wearing it."	true	798.5	807.01	20.78456
2204_131732_000009_000000	Nor was this all.	Nor was this all.	true	808.1	809.65	19.711632
2204_131732_000009_000001	Edison naturally met many of the celebrities of France: "I visited the Eiffel Tower at the invitation of Eiffel.	Edison naturally met many of the celebrities of France: "I visited the Eiffel Tower at the invitation of Eiffel.	true	810.32	818.44	22.681734
2204_131732_000009_000002	We went to the top, where there was an extension and a small place in which was Eiffel's private office.	We went to the top, where there was an extension and a small place in which was Eiffel's private office.	false	819.05	824.82	23.535383
2204_131732_000009_000003	In this was a piano.	In this was a piano.	false	824.82	827.62	19.854616
2204_131732_000009_000004	When my wife and I arrived at the top, we found that Gounod, the composer, was there.	When my wife and I arrived at the top, we found that Gounod, the composer, was there.	true	828.14	833.05	23.020372
2204_131732_000009_000005	We stayed a couple of hours, and Gounod sang and played for us.	We stayed a couple of hours, and Gounod sang and played for us.	true	833.66	837.01	22
2204_131732_000009_000006	We spent a day at Meudon, an old palace given by the government to Jansen, the astronomer. He occupied three rooms, and there were 300.	We spent a day at Meudon, an old palace given by the government to Jansen, the astronomer. He occupied three rooms, and there were three hundred.	true	837.32	847.18	23.306751
2204_131732_000009_000007	He had the grand dining-room for his laboratory.	He had the grand dining room for his laboratory.	true	848	850.69	22.701994
2204_131732_000009_000008	He showed me a gyroscope he had got up which made the incredible number of 4000 revolutions in a second.	He showed me a gyroscope he had got up which made the incredible number of four thousand revolutions in a second.	true	851.06	857.8	22.964165
2204_131732_000009_000009	A modification of this was afterward used on the French Atlantic lines for making an artificial horizon to take observations for position at sea.	A modification of this was afterward used on the French Atlantic lines for making an artificial horizon to take observations for position at sea.	true	858.47	866.71	20
2204_131732_000009_000010	In connection with this a gentleman came to me a number of years afterward, and I got out a part of some plans for him.	In connection with this a gentleman came to me a number of years afterward, and I got out a part of some plans for him.	true	867.29	873.61	20
2204_131732_000009_000011	He wanted to make a gigantic gyroscope weighing several tons, to be run by an electric motor and put on a sailing ship.	He wanted to make a gigantic gyroscope weighing several tons, to be run by an electric motor and put on a sailing ship.	true	873.98	880.96	24
2204_131732_000009_000012	He wanted this gyroscope to keep a platform perfectly horizontal, no matter how rough the sea was.	He wanted this gyroscope to keep a platform perfectly horizontal, no matter how rough the sea was.	false	881.48	887.14	24.931326
2204_131732_000009_000013	Upon this platform he was going to mount a telescope to observe an eclipse off the Gold Coast of Africa.	Upon this platform he was going to mount a telescope to observe an eclipse off the Gold Coast of Africa.	true	887.84	893.56	22.834728
2204_131732_000009_000014	But for some reason it was never completed.	But for some reason it was never completed.	true	893.69	896.2	19.090117
2204_131732_000010_000000	"Pasteur invited me to come down to the Institute, and I went and had quite a chat with him.	"Pasteur invited me to come down to the Institute, and I went and had quite a chat with him.	false	896.99	902.16	25.867321
2204_131732_000010_000001	I saw a large number of persons being inoculated, and also the whole modus operandi, which was very interesting.	I saw a large number of persons being inoculated, and also the whole modus operandi, which was very interesting.	true	902.16	908.23	19.710878
2204_131732_000010_000002	I saw one beautiful boy about ten, the son of an English lord.	I saw one beautiful boy about ten, the son of an English lord.	false	908.66	912.91	23.132505
2204_131732_000010_000003	His father was with him.	His father was with him.	true	913.1	914.5	22.632431
2204_131732_000010_000004	He had been bitten in the face, and was taking the treatment.	He had been bitten in the face, and was taking the treatment.	true	914.84	917.97	22.074406
2204_131732_000010_000005	I said to Pasteur, 'Will he live?' 'No,' said he, 'the boy will be dead in six days.	I said to Pasteur, 'Will he live?' 'No,' said he, 'the boy will be dead in six days.	false	917.97	923.985	23.99764
2204_131732_000010_000006	He was bitten too near the top of the spinal column, and came too late!'"	He was bitten too near the top of the spinal column, and came too late!'"	true	923.985	927.85	26.682035
2204_131732_000011_000000	Edison has no opinion to offer as an expert on art, but has his own standard of taste: "Of course I visited the Louvre and saw the Old Masters, which I could not enjoy.	Edison has no opinion to offer as an expert on art, but has his own standard of taste: "Of course I visited the Louvre and saw the Old Masters, which I could not enjoy.	true	928.85	939.73	22.543795
2204_131732_000011_000001	And I attended the Luxembourg, with modern masters, which I enjoyed greatly.	And I attended the Luxembourg, with modern masters, which I enjoyed greatly.	true	940.16	944.32	22
2204_131732_000011_000002	To my mind, the Old Masters are not art, and I suspect that many others are of the same opinion; and that their value is in their scarcity and in the variety of men with lots of money." Somewhat akin to this is a shrewd comment on one feature of the Exposition: "I spent several days in the Exposition at Paris.	To my mind, the Old Masters are not art, and I suspect that many others are of the same opinion; and that their value is in their scarcity and in the variety of men with lots of money." Somewhat akin to this is a shrewd comment on one feature of the Exposition: "I spent several days in the Exposition at Paris.	true	944.75	964.42	23.091558
2204_131732_000011_000003	I remember going to the exhibit of the Kimberley diamond mines, and they kindly permitted me to take diamonds from some of the blue earth which they were washing by machinery to exhibit the mine operations.	I remember going to the exhibit of the Kimberley diamond mines, and they kindly permitted me to take diamonds from some of the blue earth which they were washing by machinery to exhibit the mine operations.	true	964.58	975.01	18
2204_131732_000011_000004	I found several beautiful diamonds, but they seemed a little light weight to me when I was picking them out.	I found several beautiful diamonds, but they seemed a little light weight to me when I was picking them out.	true	975.53	981.19	21.873123
2204_131732_000011_000005	They were diamonds for exhibition purposes --probably glass."	They were diamonds for exhibition purposes --probably glass."	true	981.47	985.18	25.829744
2204_131732_000012_000000	This did not altogether complete the European trip of 1889, for Edison wished to see Helmholtz.	This did not altogether complete the European trip of eighteen eighty nine, for Edison wished to see Helmholtz.	true	985.91	992.38	22.040442
2204_131732_000012_000001	"After leaving Paris we went to Berlin.	"After leaving Paris we went to Berlin.	true	993.26	995.56	20.220436
2204_131732_000012_000002	The French papers then came out and attacked me because I went to Germany; and said I was now going over to the enemy.	The French papers then came out and attacked me because I went to Germany; and said I was now going over to the enemy.	true	995.93	1002.22	21.866186
2204_131732_000012_000003	I visited all the things of interest in Berlin; and then on my way home I went with Helmholtz and Siemens in a private compartment to the meeting of the German Association of Science at Heidelberg, and spent two days there.	I visited all the things of interest in Berlin; and then on my way home I went with Helmholtz and Siemens in a private compartment to the meeting of the German Association of Science at Heidelberg, and spent two days there.	false	1002.74	1014.52	20
2204_131732_000012_000004	When I started from Berlin on the trip, I began to tell American stories. Siemens was very fond of these stories and would laugh immensely at them, and could see the points and the humor, by his imagination; but Helmholtz could not see one of them.	When I started from Berlin on the trip, I began to tell American stories. Siemens was very fond of these stories and would laugh immensely at them, and could see the points and the humor, by his imagination; but Helmholtz could not see one of them.	true	1015.34	1029.97	22.103918
2204_131732_000012_000005	Siemens would quickly, in German, explain the point, but Helmholtz could not see it, although he understood English, which Siemens could speak.	Siemens would quickly, in German, explain the point, but Helmholtz could not see it, although he understood English, which Siemens could speak.	true	1030.52	1037.56	23.887377
2204_131732_000012_000006	Still the explanations were made in German.	Still the explanations were made in German.	true	1037.81	1040.23	19
2204_131732_000012_000007	I always wished I could have understood Siemens's explanations of the points of those stories.	I always wished I could have understood Siemens's explanations of the points of those stories.	false	1040.72	1045.51	20.292803
2204_131732_000012_000008	At Heidelberg, my assistant, Mr. Wangemann, an accomplished German-American, showed the phonograph before the Association."	At Heidelberg, my assistant, mr Wangemann, an accomplished German American, showed the phonograph before the Association."	true	1045.85	1053.1	22.401474
