4734_220951_000001_000000	1: NATURE IS GOVERNED BY ONE UNIVERSAL LAW	one: NATURE IS GOVERNED BY ONE UNIVERSAL LAW
4734_220951_000022_000000	If the earth is not cultivated, it becomes a jungle where useless weeds grow; but if a cultivator comes and tills the ground, it produces crops which nourish living creatures.	If the earth is not cultivated, it becomes a jungle where useless weeds grow; but if a cultivator comes and tills the ground, it produces crops which nourish living creatures.
4734_220951_000022_000001	It is evident, therefore, that the soil needs the cultivation of the farmer.	It is evident, therefore, that the soil needs the cultivation of the farmer.
4734_220951_000022_000003	These are rational proofs; in this age the peoples of the world need the arguments of reason.	These are rational proofs; in this age the peoples of the world need the arguments of reason.
4734_220951_000024_000002	If a man be left alone in a wilderness where he sees none of his own kind, he will undoubtedly become a mere brute; it is then clear that an educator is needed.	If a man be left alone in a wilderness where he sees none of his own kind, he will undoubtedly become a mere brute; it is then clear that an educator is needed.
4734_220951_000025_000000	But education is of three kinds: material, human and spiritual.	But education is of three kinds: material, human and spiritual.
4734_220951_000028_000000	Now we need an educator who will be at the same time a material, human and spiritual educator, and whose authority will be effective in all conditions.	Now we need an educator who will be at the same time a material, human and spiritual educator, and whose authority will be effective in all conditions.
4734_220951_000030_000000	He must also impart spiritual education, so that intelligence and comprehension may penetrate the metaphysical world, and may receive benefit from the sanctifying breeze of the Holy Spirit, and may enter into relationship with the Supreme Concourse.	He must also impart spiritual education, so that intelligence and comprehension may penetrate the metaphysical world, and may receive benefit from the sanctifying breeze of the Holy Spirit, and may enter into relationship with the Supreme Concourse.
4734_220951_000031_000001	How can one solitary person without help and without support lay the foundations of such a noble construction?	How can one solitary person without help and without support lay the foundations of such a noble construction?
4734_220951_000031_000003	Certainly nothing short of a divine power could accomplish so great a work.	Certainly nothing short of a divine power could accomplish so great a work.
4734_220951_000031_000004	We ought to consider this with justice, for this is the office of justice.	We ought to consider this with justice, for this is the office of justice.
4734_220951_000032_000000	A Cause which all the governments and peoples of the world, with all their powers and armies, cannot promulgate and spread, one Holy Soul can promote without help or support!	A Cause which all the governments and peoples of the world, with all their powers and armies, cannot promulgate and spread, one Holy Soul can promote without help or support!
4734_220951_000032_000001	Can this be done by human power?	Can this be done by human power?
4734_220951_000032_000002	No, in the name of God!	No, in the name of God!
4734_220951_000033_000001	If He does not show forth such a holy power, He will not be able to educate, for if He be imperfect, how can He give a perfect education?	If He does not show forth such a holy power, He will not be able to educate, for if He be imperfect, how can He give a perfect education?
4734_220951_000033_000002	If He be ignorant, how can He make others wise?	If He be ignorant, how can He make others wise?
4734_220951_000033_000003	If He be unjust, how can He make others just?	If He be unjust, how can He make others just?
4734_220951_000033_000004	If He be earthly, how can He make others heavenly?	If He be earthly, how can He make others heavenly?
4734_220951_000035_000000	Therefore, it must be our task to prove to the thoughtful by reasonable arguments the prophethood of Moses, of Christ and of the other Divine Manifestations.	Therefore, it must be our task to prove to the thoughtful by reasonable arguments the prophethood of Moses, of Christ and of the other Divine Manifestations.
