4734_220951_000000_000000	PART ONE: ON THE INFLUENCE OF THE PROPHETS IN THE EVOLUTION OF HUMANITY	PART ONE: ON THE INFLUENCE OF THE PROPHETS IN THE EVOLUTION OF HUMANITY	false	0	16.8	19.665077
4734_220951_000014_000000	It is certain that the whole contingent world is subjected to a law and rule which it can never disobey; even man is forced to submit to death, to sleep and to other conditions--that is to say, man in certain particulars is governed, and necessarily this state of being governed implies the existence of a governor.	It is certain that the whole contingent world is subjected to a law and rule which it can never disobey; even man is forced to submit to death, to sleep and to other conditions-that is to say, man in certain particulars is governed, and necessarily this state of being governed implies the existence of a governor.	false	320.3	339.22	21.294586
4734_220951_000014_000001	Because a characteristic of contingent beings is dependency, and this dependency is an essential necessity, therefore, there must be an independent being whose independence is essential.	Because a characteristic of contingent beings is dependency, and this dependency is an essential necessity, therefore, there must be an independent being whose independence is essential.	true	339.62	351.07	21.990665
4734_220951_000015_000000	In the same way it is understood from the man who is sick that there must be one who is in health; for if there were no health, his sickness could not be proved.	In the same way it is understood from the man who is sick that there must be one who is in health; for if there were no health, his sickness could not be proved.	false	351.77	366.37	20.847036
4734_220951_000016_000000	Therefore, it becomes evident that there is an Eternal Almighty One, Who is the possessor of all perfections, because unless He possessed all perfections He would be like His creation.	Therefore, it becomes evident that there is an Eternal Almighty One, Who is the possessor of all perfections, because unless He possessed all perfections He would be like His creation.	false	366.53	376.95	20.311817
4734_220951_000017_000000	Throughout the world of existence it is the same; the smallest created thing proves that there is a creator.	Throughout the world of existence it is the same; the smallest created thing proves that there is a creator.	true	376.95	382.99	21.71237
4734_220951_000017_000001	For instance, this piece of bread proves that it has a maker.	For instance, this piece of bread proves that it has a maker.	true	383.27	386.89	21.801598
4734_220951_000018_000000	Praise be to God! the least change produced in the form of the smallest thing proves the existence of a creator: then can this great universe, which is endless, be self-created and come into existence from the action of matter and the elements?	Praise be to God! the least change produced in the form of the smallest thing proves the existence of a creator: then can this great universe, which is endless, be self created and come into existence from the action of matter and the elements?	true	387.47	402.09	21.707943
4734_220951_000018_000001	How self-evidently wrong is such a supposition!	How self evidently wrong is such a supposition!	false	402.09	405.61	22.23955
4734_220951_000019_000000	These obvious arguments are adduced for weak souls; but if the inner perception be open, a hundred thousand clear proofs become visible.	These obvious arguments are adduced for weak souls; but if the inner perception be open, a hundred thousand clear proofs become visible.	true	406.55	415.39	20.148891
4734_220951_000019_000001	Thus, when man feels the indwelling spirit, he is in no need of arguments for its existence; but for those who are deprived of the bounty of the spirit, it is necessary to establish external arguments.	Thus, when man feels the indwelling spirit, he is in no need of arguments for its existence; but for those who are deprived of the bounty of the spirit, it is necessary to establish external arguments.	false	415.91	429.99	20.57954
4734_220951_000020_000000	3: THE NEED OF AN EDUCATOR	three: THE NEED OF AN EDUCATOR	true	429.99	432.7	22.10831
4734_220951_000021_000000	When we consider existence, we see that the mineral, vegetable, animal and human worlds are all in need of an educator.	When we consider existence, we see that the mineral, vegetable, animal and human worlds are all in need of an educator.	true	433.76	442.42	21.667212
4734_220951_000022_000000	If the earth is not cultivated, it becomes a jungle where useless weeds grow; but if a cultivator comes and tills the ground, it produces crops which nourish living creatures.	If the earth is not cultivated, it becomes a jungle where useless weeds grow; but if a cultivator comes and tills the ground, it produces crops which nourish living creatures.	true	443.03	453.94	22.99876
4734_220951_000022_000001	It is evident, therefore, that the soil needs the cultivation of the farmer.	It is evident, therefore, that the soil needs the cultivation of the farmer.	true	454.61	458.86	20.838308
4734_220951_000022_000002	Consider the trees: if they remain without a cultivator, they will be fruitless, and without fruit they are useless; but if they receive the care of a gardener, these same barren trees become fruitful, and through cultivation, fertilization and engrafting the trees which had bitter fruits yield sweet fruits.	Consider the trees: if they remain without a cultivator, they will be fruitless, and without fruit they are useless; but if they receive the care of a gardener, these same barren trees become fruitful, and through cultivation, fertilization and engrafting the trees which had bitter fruits yield sweet fruits.	false	459.35	479.68	21.34263
4734_220951_000022_000003	These are rational proofs; in this age the peoples of the world need the arguments of reason.	These are rational proofs; in this age the peoples of the world need the arguments of reason.	true	480.17	485.44	20.777847
4734_220951_000023_000000	The same is true with respect to animals: notice that when the animal is trained it becomes domestic, and also that man, if he is left without education, becomes bestial, and, moreover, if left under the rule of nature, becomes lower than an animal, whereas if he is educated he becomes an angel.	The same is true with respect to animals: notice that when the animal is trained it becomes domestic, and also that man, if he is left without education, becomes bestial, and, moreover, if left under the rule of nature, becomes lower than an animal, whereas if he is educated he becomes an angel.	false	486.38	505.57	20.643755
4734_220951_000023_000001	For the greater number of animals do not devour their own kind, but men, in the Sudan, in the central regions of Africa, kill and eat each other.	For the greater number of animals do not devour their own kind, but men, in the Sudan, in the central regions of Africa, kill and eat each other.	false	506.21	514.33	20.878248
4734_220951_000024_000000	Now reflect that it is education that brings the East and the West under the authority of man; it is education that produces wonderful industries; it is education that spreads great sciences and arts; it is education that makes manifest new discoveries and institutions.	Now reflect that it is education that brings the East and the West under the authority of man; it is education that produces wonderful industries; it is education that spreads great sciences and arts; it is education that makes manifest new discoveries and institutions.	false	515.18	533.61	20.345495
4734_220951_000024_000001	If there were no educator, there would be no such things as comforts, civilization or humanity.	If there were no educator, there would be no such things as comforts, civilization or humanity.	false	533.61	540.58	22.280136
4734_220951_000024_000002	If a man be left alone in a wilderness where he sees none of his own kind, he will undoubtedly become a mere brute; it is then clear that an educator is needed.	If a man be left alone in a wilderness where he sees none of his own kind, he will undoubtedly become a mere brute; it is then clear that an educator is needed.	true	541.07	551.44	20.730694
4734_220951_000025_000000	But education is of three kinds: material, human and spiritual.	But education is of three kinds: material, human and spiritual.	true	551.99	557.17	21.886072
4734_220951_000025_000001	Material education is concerned with the progress and development of the body, through gaining its sustenance, its material comfort and ease.	Material education is concerned with the progress and development of the body, through gaining its sustenance, its material comfort and ease.	false	557.66	564.91	21.10713
4734_220951_000025_000002	This education is common to animals and man.	This education is common to animals and man.	false	565.49	569.04	20.366644
4734_220951_000026_000000	Human education signifies civilization and progress--that is to say, government, administration, charitable works, trades, arts and handicrafts, sciences, great inventions and discoveries and elaborate institutions, which are the activities essential to man as distinguished from the animal.	Human education signifies civilization and progress-that is to say, government, administration, charitable works, trades, arts and handicrafts, sciences, great inventions and discoveries and elaborate institutions, which are the activities essential to man as distinguished from the animal.	false	569.04	587.23	20.505266
4734_220951_000027_000000	Divine education is that of the Kingdom of God: it consists in acquiring divine perfections, and this is true education; for in this state man becomes the focus of divine blessings, the manifestation of the words, "Let Us make man in Our image, and after Our likeness."(2) This is the goal of the world of humanity.	Divine education is that of the Kingdom of God: it consists in acquiring divine perfections, and this is true education; for in this state man becomes the focus of divine blessings, the manifestation of the words, "Let Us make man in Our image, and after Our likeness."(two) This is the goal of the world of humanity.	false	587.99	609.22	20.685287
4734_220951_000028_000000	Now we need an educator who will be at the same time a material, human and spiritual educator, and whose authority will be effective in all conditions.	Now we need an educator who will be at the same time a material, human and spiritual educator, and whose authority will be effective in all conditions.	true	609.65	619.3	21.369293
4734_220951_000028_000001	So if anyone should say, "I possess perfect comprehension and intelligence, and I have no need of such an educator," he would be denying that which is clear and evident, as though a child should say, "I have no need of education; I will act according to my reason and intelligence, and so I shall attain the perfections of existence"; or as though the blind should say, "I am in no need of sight, because many other blind people exist without difficulty."	So if anyone should say, "I possess perfect comprehension and intelligence, and I have no need of such an educator," he would be denying that which is clear and evident, as though a child should say, "I have no need of education; I will act according to my reason and intelligence, and so I shall attain the perfections of existence"; or as though the blind should say, "I am in no need of sight, because many other blind people exist without difficulty."	true	619.79	646.51	21.93798
4734_220951_000029_000000	Then it is plain and evident that man needs an educator, and this educator must be unquestionably and indubitably perfect in all respects and distinguished above all men.	Then it is plain and evident that man needs an educator, and this educator must be unquestionably and indubitably perfect in all respects and distinguished above all men.	false	647.39	659.67	21.067032
4734_220951_000029_000001	Otherwise, if he should be like the rest of humanity, he could not be their educator, more particularly because he must be at the same time their material and human as well as their spiritual educator--that is to say, he must teach men to organize and carry out physical matters, and to form a social order in order to establish cooperation and mutual aid in living so that material affairs may be organized and regulated for any circumstances that may occur.	Otherwise, if he should be like the rest of humanity, he could not be their educator, more particularly because he must be at the same time their material and human as well as their spiritual educator-that is to say, he must teach men to organize and carry out physical matters, and to form a social order in order to establish cooperation and mutual aid in living so that material affairs may be organized and regulated for any circumstances that may occur.	false	659.67	685.81	21.727093
4734_220951_000029_000002	In the same way he must establish human education--that is to say, he must educate intelligence and thought in such a way that they may attain complete development, so that knowledge and science may increase, and the reality of things, the mysteries of beings and the properties of existence may be discovered; that, day by day, instructions, inventions and institutions may be improved; and from things perceptible to the senses conclusions as to intellectual things may be deduced.	In the same way he must establish human education-that is to say, he must educate intelligence and thought in such a way that they may attain complete development, so that knowledge and science may increase, and the reality of things, the mysteries of beings and the properties of existence may be discovered; that, day by day, instructions, inventions and institutions may be improved; and from things perceptible to the senses conclusions as to intellectual things may be deduced.	false	686.66	715.09	21.079117
4734_220951_000030_000000	He must also impart spiritual education, so that intelligence and comprehension may penetrate the metaphysical world, and may receive benefit from the sanctifying breeze of the Holy Spirit, and may enter into relationship with the Supreme Concourse.	He must also impart spiritual education, so that intelligence and comprehension may penetrate the metaphysical world, and may receive benefit from the sanctifying breeze of the Holy Spirit, and may enter into relationship with the Supreme Concourse.	true	715.88	730.72	21.100657
4734_220951_000030_000001	He must so educate the human reality that it may become the center of the divine appearance, to such a degree that the attributes and the names of God shall be resplendent in the mirror of the reality of man, and the holy verse "We will make man in Our image and likeness" shall be realized.(3)	He must so educate the human reality that it may become the center of the divine appearance, to such a degree that the attributes and the names of God shall be resplendent in the mirror of the reality of man, and the holy verse "We will make man in Our image and likeness" shall be realized.(three)	false	731.33	748.695	20.494602
4734_220951_000031_000000	It is clear that human power is not able to fill such a great office, and that reason alone could not undertake the responsibility of so great a mission.	It is clear that human power is not able to fill such a great office, and that reason alone could not undertake the responsibility of so great a mission.	false	748.695	757.42	18.540148
4734_220951_000031_000001	How can one solitary person without help and without support lay the foundations of such a noble construction?	How can one solitary person without help and without support lay the foundations of such a noble construction?	true	758.15	764.8	21.842627
4734_220951_000031_000002	He must depend on the help of the spiritual and divine power to be able to undertake this mission. One Holy Soul gives life to the world of humanity, changes the aspect of the terrestrial globe, causes intelligence to progress, vivifies souls, lays the basis of a new life, establishes new foundations, organizes the world, brings nations and religions under the shadow of one standard, delivers man from the world of imperfections and vices, and inspires him with the desire and need of natural and acquired perfections.	He must depend on the help of the spiritual and divine power to be able to undertake this mission. One Holy Soul gives life to the world of humanity, changes the aspect of the terrestrial globe, causes intelligence to progress, vivifies souls, lays the basis of a new life, establishes new foundations, organizes the world, brings nations and religions under the shadow of one standard, delivers man from the world of imperfections and vices, and inspires him with the desire and need of natural and acquired perfections.	false	765.47	800.02	19.722584
4734_220951_000031_000003	Certainly nothing short of a divine power could accomplish so great a work.	Certainly nothing short of a divine power could accomplish so great a work.	true	800.69	806.08	21.22664
4734_220951_000031_000004	We ought to consider this with justice, for this is the office of justice.	We ought to consider this with justice, for this is the office of justice.	true	806.63	810.97	21.130625
4734_220951_000032_000000	A Cause which all the governments and peoples of the world, with all their powers and armies, cannot promulgate and spread, one Holy Soul can promote without help or support!	A Cause which all the governments and peoples of the world, with all their powers and armies, cannot promulgate and spread, one Holy Soul can promote without help or support!	true	811.88	821.77	21.785141
4734_220951_000032_000001	Can this be done by human power?	Can this be done by human power?	true	822.2	824.32	22.741003
4734_220951_000032_000002	No, in the name of God!	No, in the name of God!	true	824.57	826.9	23.297804
4734_220951_000032_000003	For example, Christ, alone and solitary, upraised the standard of peace and righteousness, a work which all the victorious governments with all their hosts are unable to accomplish.	For example, Christ, alone and solitary, upraised the standard of peace and righteousness, a work which all the victorious governments with all their hosts are unable to accomplish.	false	827.27	838.99	21.391125
4734_220951_000032_000004	Consider what was the fate of so many and diverse empires and peoples: the Roman Empire, France, Germany, Russia, England, etc.; all were gathered together under the same tent--that is to say, the appearance of Christ brought about a union among these diverse nations, some of whom, under the influence of Christianity, became so united that they sacrificed their lives and property for one another. After the time of Constantine, who was the protagonist of Christianity, divisions broke out among them.	Consider what was the fate of so many and diverse empires and peoples: the Roman Empire, France, Germany, Russia, England, etc; all were gathered together under the same tent-that is to say, the appearance of Christ brought about a union among these diverse nations, some of whom, under the influence of Christianity, became so united that they sacrificed their lives and property for one another. After the time of Constantine, who was the protagonist of Christianity, divisions broke out among them.	false	839.69	873.34	20.45576
4734_220951_000032_000005	The point is this, that Christ united these nations but after a while governments became the cause of discord. What I mean is that Christ sustained a Cause that all the kings of the earth could not establish!	The point is this, that Christ united these nations but after a while governments became the cause of discord. What I mean is that Christ sustained a Cause that all the kings of the earth could not establish!	false	873.62	879.22	21.0415
4734_220951_000032_000006	He united the various religions and modified ancient customs.	He united the various religions and modified ancient customs.	true	879.71	883.6	19.038889
4734_220951_000032_000007	Consider what great differences existed between Romans, Greeks, Syrians, Egyptians, Phoenicians, Israelites and other peoples of Europe.	Consider what great differences existed between romans, Greeks, Syrians, Egyptians, Phoenicians, Israelites and other peoples of Europe.	false	883.73	893.77	21.991331
4734_220951_000032_000008	Christ removed these differences and became the cause of love between these communities.	Christ removed these differences and became the cause of love between these communities.	false	894.08	898.84	20.988367
4734_220951_000032_000009	Although after some time governments destroyed this union, the work of Christ was accomplished.	Although after some time governments destroyed this union, the work of Christ was accomplished.	false	899.36	904.48	22.590723
4734_220951_000033_000000	Therefore, the Universal Educator must be at the same time a physical, human and spiritual educator; and He must possess a supernatural power, so that He may hold the position of a divine teacher.	Therefore, the Universal Educator must be at the same time a physical, human and spiritual educator; and He must possess a supernatural power, so that He may hold the position of a divine teacher.	false	905.09	918.07	22.348228
4734_220951_000033_000001	If He does not show forth such a holy power, He will not be able to educate, for if He be imperfect, how can He give a perfect education?	If He does not show forth such a holy power, He will not be able to educate, for if He be imperfect, how can He give a perfect education?	true	918.35	926.74	22.575289
4734_220951_000033_000002	If He be ignorant, how can He make others wise?	If He be ignorant, how can He make others wise?	true	926.99	930.495	20.386541
4734_220951_000033_000003	If He be unjust, how can He make others just?	If He be unjust, how can He make others just?	true	930.495	933.7	20.508749
4734_220951_000033_000004	If He be earthly, how can He make others heavenly?	If He be earthly, how can He make others heavenly?	true	934.07	937.27	20.861526
4734_220951_000034_000000	Now we must consider justly: did these Divine Manifestations Who have appeared possess all these qualifications or not?(4) If They had not these qualifications and these perfections, They were not real Educators.	Now we must consider justly: did these Divine Manifestations Who have appeared possess all these qualifications or not?(four) If They had not these qualifications and these perfections, They were not real Educators.	false	938.06	951.4	22.375303
4734_220951_000035_000000	Therefore, it must be our task to prove to the thoughtful by reasonable arguments the prophethood of Moses, of Christ and of the other Divine Manifestations.	Therefore, it must be our task to prove to the thoughtful by reasonable arguments the prophethood of Moses, of Christ and of the other Divine Manifestations.	true	952.25	961.33	21.695148
4734_220951_000035_000001	And the proofs and evidences which we give are not based on traditional but on rational arguments.	And the proofs and evidences which we give are not based on traditional but on rational arguments.	false	961.55	967.45	21.00506
4734_220951_000036_000000	It has now been proved by rational arguments that the world of existence is in the utmost need of an educator, and that its education must be achieved by divine power.	It has now been proved by rational arguments that the world of existence is in the utmost need of an educator, and that its education must be achieved by divine power.	false	968.06	977.95	20.855373
4734_220951_000036_000001	There is no doubt that this holy power is revelation, and that the world must be educated through this power which is above human power.	There is no doubt that this holy power is revelation, and that the world must be educated through this power which is above human power.	false	978.47	987	21.362408
4734_220951_000037_000000	4: ABRAHAM	four: ABRAHAM	false	987	987.3	-20
4734_220951_000038_000000	One of those Who possessed this power and was assisted by it was Abraham. And the proof of it was that He was born in Mesopotamia, and of a family who were ignorant of the Oneness of God.	One of those Who possessed this power and was assisted by it was Abraham. And the proof of it was that He was born in Mesopotamia, and of a family who were ignorant of the Oneness of God.	false	987.3	988.83	14.261061
4734_220951_000038_000001	He opposed His own nation and people, and even His own family, by rejecting all their gods.	He opposed His own nation and people, and even His own family, by rejecting all their gods.	false	988.83	988.83	
4734_220951_000038_000002	Alone and without help He resisted a powerful tribe, a task which is neither simple nor easy.	Alone and without help He resisted a powerful tribe, a task which is neither simple nor easy.	false	988.83	988.83	
4734_220951_000038_000003	It is as if in this day someone were to go to a Christian people who are attached to the Bible, and deny Christ; or in the Papal Court--God forbid!--if such a one were in the most powerful manner to blaspheme against Christ and oppose the people.	It is as if in this day someone were to go to a Christian people who are attached to the Bible, and deny Christ; or in the Papal Court-God forbid!--if such a one were in the most powerful manner to blaspheme against Christ and oppose the people.	false	988.83	990.24	20.661667
