8619_291384_000000_000000	XXXIX	thirty nine	true	18.705	19.96	26.284071
8619_291384_000002_000005	No maiden fair shall wreathe her neck with noble ring: nay, sad in spirit and shorn of her gold, oft shall she pass o'er paths of exile now our lord all laughter has laid aside, all mirth and revel.	No maiden fair shall wreathe her neck with noble ring: nay, sad in spirit and shorn of her gold, oft shall she pass o'er paths of exile now our lord all laughter has laid aside, all mirth and revel.	false	236.87	250.99	18
8619_291384_000002_000006	Many a spear morning-cold shall be clasped amain, lifted aloft; nor shall lilt of harp those warriors wake; but the wan-hued raven, fain o'er the fallen, his feast shall praise and boast to the eagle how bravely he ate when he and the wolf were wasting the slain."	Many a spear morning cold shall be clasped amain, lifted aloft; nor shall lilt of harp those warriors wake; but the wan hued raven, fain o'er the fallen, his feast shall praise and boast to the eagle how bravely he ate when he and the wolf were wasting the slain."	false	251.03	273.285	22.487007
8619_291384_000003_000000	So he told his sorrowful tidings, and little {39d} he lied, the loyal man of word or of work.	So he told his sorrowful tidings, and little {thirty nine d} he lied, the loyal man of word or of work.	false	273.285	279.73	15
8619_291384_000003_000001	The warriors rose; sad, they climbed to the Cliff-of-Eagles, went, welling with tears, the wonder to view. Found on the sand there, stretched at rest, their lifeless lord, who had lavished rings of old upon them.	The warriors rose; sad, they climbed to the Cliff of Eagles, went, welling with tears, the wonder to view. Found on the sand there, stretched at rest, their lifeless lord, who had lavished rings of old upon them.	false	279.92	295.09	20.852365
8619_291384_000003_000002	Ending-day had dawned on the doughty-one; death had seized in woful slaughter the Weders' king. There saw they, besides, the strangest being, loathsome, lying their leader near, prone on the field.	Ending day had dawned on the doughty one; death had seized in woful slaughter the Weders' king. There saw they, besides, the strangest being, loathsome, lying their leader near, prone on the field.	false	295.16	309.82	19
8619_291384_000003_000003	The fiery dragon, fearful fiend, with flame was scorched. Reckoned by feet, it was fifty measures in length as it lay.	The fiery dragon, fearful fiend, with flame was scorched. Reckoned by feet, it was fifty measures in length as it lay.	true	310.19	320.47	22.711306
8619_291384_000003_000004	Aloft erewhile it had revelled by night, and anon come back, seeking its den; now in death's sure clutch it had come to the end of its earth-hall joys. By it there stood the stoups and jars; dishes lay there, and dear-decked swords eaten with rust, as, on earth's lap resting, a thousand winters they waited there. For all that heritage huge, that gold of bygone men, was bound by a spell, {39e} so the treasure-hall could be touched by none of human kind, -- save that Heaven's King, God himself, might give whom he would, Helper of Heroes, the hoard to open, -- even such a man as seemed to him meet.	Aloft erewhile it had revelled by night, and anon come back, seeking its den; now in death's sure clutch it had come to the end of its earth hall joys. By it there stood the stoups and jars; dishes lay there, and dear decked swords eaten with rust, as, on earth's lap resting, a thousand winters they waited there. For all that heritage huge, that gold of bygone men, was bound by a spell, {thirty nine e} so the treasure hall could be touched by none of human kind, -- save that Heaven's King, God himself, might give whom he would, Helper of Heroes, the hoard to open, -- even such a man as seemed to him meet.	false	320.75	364.32	22.953793
8619_291384_000004_000000	XL	x l	false	364.32	366.9	19.027908
8619_291384_000005_000000	A PERILOUS path, it proved, he {40a} trod who heinously hid, that hall within, wealth under wall!	A PERILOUS path, it proved, he {forty a} trod who heinously hid, that hall within, wealth under wall!	false	366.9	373.24	20
8619_291384_000005_000001	Its watcher had killed one of a few, {40b} and the feud was avenged in woful fashion.	Its watcher had killed one of a few, {forty b} and the feud was avenged in woful fashion.	false	373.61	379.965	19.71342
8619_291384_000005_000002	Wondrous seems it, what manner a man of might and valor oft ends his life, when the earl no longer in mead-hall may live with loving friends. So Beowulf, when that barrow's warden he sought, and the struggle; himself knew not in what wise he should wend from the world at last. For {40c} princes potent, who placed the gold, with a curse to doomsday covered it deep, so that marked with sin the man should be, hedged with horrors, in hell-bonds fast, racked with plagues, who should rob their hoard. Yet no greed for gold, but the grace of heaven, ever the king had kept in view.	Wondrous seems it, what manner a man of might and valor oft ends his life, when the earl no longer in mead hall may live with loving friends. So Beowulf, when that barrow's warden he sought, and the struggle; himself knew not in what wise he should wend from the world at last. For {forty c} princes potent, who placed the gold, with a curse to doomsday covered it deep, so that marked with sin the man should be, hedged with horrors, in hell bonds fast, racked with plagues, who should rob their hoard. Yet no greed for gold, but the grace of heaven, ever the king had kept in view.	false	379.965	420.78	21.13398
8619_291384_000005_000003	{40d} Wiglaf spake, the son of Weohstan: -- "At the mandate of one, oft warriors many sorrow must suffer; and so must we. The people's-shepherd showed not aught of care for our counsel, king beloved! That guardian of gold he should grapple not, urged we, but let him lie where he long had been in his earth-hall waiting the end of the world, the hest of heaven.	{forty d} Wiglaf spake, the son of Weohstan: -- "At the mandate of one, oft warriors many sorrow must suffer; and so must we. The people's shepherd showed not aught of care for our counsel, king beloved! That guardian of gold he should grapple not, urged we, but let him lie where he long had been in his earth hall waiting the end of the world, the hest of heaven.	false	420.78	446.55	22.264109
8619_291384_000005_000004	-- This hoard is ours but grievously gotten; too grim the fate which thither carried our king and lord. I was within there, and all I viewed, the chambered treasure, when chance allowed me (and my path was made in no pleasant wise) under the earth-wall.	-- This hoard is ours but grievously gotten; too grim the fate which thither carried our king and lord. I was within there, and all I viewed, the chambered treasure, when chance allowed me (and my path was made in no pleasant wise) under the earth wall.	false	446.55	464.77	21.473946
8619_291384_000005_000005	Eager, I seized such heap from the hoard as hands could bear and hurriedly carried it hither back to my liege and lord.	Eager, I seized such heap from the hoard as hands could bear and hurriedly carried it hither back to my liege and lord.	true	464.96	474.19	19.440447
8619_291384_000005_000006	Alive was he still, still wielding his wits.	Alive was he still, still wielding his wits.	true	474.2	477.825	21
8619_291384_000005_000007	The wise old man spake much in his sorrow, and sent you greetings and bade that ye build, when he breathed no more, on the place of his balefire a barrow high, memorial mighty.	The wise old man spake much in his sorrow, and sent you greetings and bade that ye build, when he breathed no more, on the place of his balefire a barrow high, memorial mighty.	true	477.825	490.12	20
8619_291384_000005_000008	Of men was he worthiest warrior wide earth o'er the while he had joy of his jewels and burg. Let us set out in haste now, the second time to see and search this store of treasure, these wall-hid wonders, -- the way I show you, -- where, gathered near, ye may gaze your fill at broad-gold and rings.	Of men was he worthiest warrior wide earth o'er the while he had joy of his jewels and burg. Let us set out in haste now, the second time to see and search this store of treasure, these wall hid wonders, -- the way I show you, -- where, gathered near, ye may gaze your fill at broad gold and rings.	false	490.64	512.98	18.586676
8619_291384_000005_000009	Let the bier, soon made, be all in order when out we come, our king and captain to carry thither -- man beloved -- where long he shall bide safe in the shelter of sovran God." Then the bairn of Weohstan bade command, hardy chief, to heroes many that owned their homesteads, hither to bring firewood from far -- o'er the folk they ruled -- for the famed-one's funeral.	Let the bier, soon made, be all in order when out we come, our king and captain to carry thither -- man beloved -- where long he shall bide safe in the shelter of sovran God." Then the bairn of Weohstan bade command, hardy chief, to heroes many that owned their homesteads, hither to bring firewood from far -- o'er the folk they ruled -- for the famed one's funeral.	false	513.17	541.96	21.87759
8619_291384_000005_000010	" Fire shall devour and wan flames feed on the fearless warrior who oft stood stout in the iron-shower, when, sped from the string, a storm of arrows shot o'er the shield-wall: the shaft held firm, featly feathered, followed the barb." And now the sage young son of Weohstan seven chose of the chieftain's thanes, the best he found that band within, and went with these warriors, one of eight, under hostile roof.	" Fire shall devour and wan flames feed on the fearless warrior who oft stood stout in the iron shower, when, sped from the string, a storm of arrows shot o'er the shield wall: the shaft held firm, featly feathered, followed the barb." And now the sage young son of Weohstan seven chose of the chieftain's thanes, the best he found that band within, and went with these warriors, one of eight, under hostile roof.	false	542.24	571.23	19
8619_291384_000005_000011	In hand one bore a lighted torch and led the way. No lots they cast for keeping the hoard when once the warriors saw it in hall, altogether without a guardian, lying there lost.	In hand one bore a lighted torch and led the way. No lots they cast for keeping the hoard when once the warriors saw it in hall, altogether without a guardian, lying there lost.	false	571.23	584.02	20.513453
8619_291384_000005_000012	And little they mourned when they had hastily haled it out, dear-bought treasure!	And little they mourned when they had hastily haled it out, dear bought treasure!	true	584.33	589.78	19.915224
8619_291384_000005_000013	The dragon they cast, the worm, o'er the wall for the wave to take, and surges swallowed that shepherd of gems. Then the woven gold on a wain was laden -- countless quite!	The dragon they cast, the worm, o'er the wall for the wave to take, and surges swallowed that shepherd of gems. Then the woven gold on a wain was laden -- countless quite!	true	590.12	603.76	21.026165
8619_291384_000005_000014	-- and the king was borne, hoary hero, to Hrones-Ness.	-- and the king was borne, hoary hero, to Hrones Ness.	true	604.22	609.15	21.802696
8619_291384_000006_000000	XLI	x l i	false	609.15	612.345	16.406282
8619_291384_000007_000000	THEN fashioned for him the folk of Geats firm on the earth a funeral-pile, and hung it with helmets and harness of war and breastplates bright, as the boon he asked; and they laid amid it the mighty chieftain, heroes mourning their master dear. Then on the hill that hugest of balefires the warriors wakened.	THEN fashioned for him the folk of Geats firm on the earth a funeral pile, and hung it with helmets and harness of war and breastplates bright, as the boon he asked; and they laid amid it the mighty chieftain, heroes mourning their master dear. Then on the hill that hugest of balefires the warriors wakened.	false	612.345	632.62	21.738874
8619_291384_000007_000001	Wood-smoke rose black over blaze, and blent was the roar of flame with weeping (the wind was still), till the fire had broken the frame of bones, hot at the heart.	Wood smoke rose black over blaze, and blent was the roar of flame with weeping (the wind was still), till the fire had broken the frame of bones, hot at the heart.	true	632.93	646.17	20.9568
8619_291384_000007_000002	In heavy mood their misery moaned they, their master's death. Wailing her woe, the widow {41a} old, her hair upbound, for Beowulf's death sung in her sorrow, and said full oft she dreaded the doleful days to come, deaths enow, and doom of battle, and shame.	In heavy mood their misery moaned they, their master's death. Wailing her woe, the widow {forty one a} old, her hair upbound, for Beowulf's death sung in her sorrow, and said full oft she dreaded the doleful days to come, deaths enow, and doom of battle, and shame.	false	646.17	666.67	20.01378
8619_291384_000007_000003	-- The smoke by the sky was devoured. The folk of the Weders fashioned there on the headland a barrow broad and high, by ocean-farers far descried: in ten days' time their toil had raised it, the battle-brave's beacon.	-- The smoke by the sky was devoured. The folk of the Weders fashioned there on the headland a barrow broad and high, by ocean farers far descried: in ten days' time their toil had raised it, the battle brave's beacon.	false	666.89	683.35	21
8619_291384_000007_000004	Round brands of the pyre a wall they built, the worthiest ever that wit could prompt in their wisest men. They placed in the barrow that precious booty, the rounds and the rings they had reft erewhile, hardy heroes, from hoard in cave, -- trusting the ground with treasure of earls, gold in the earth, where ever it lies useless to men as of yore it was. Then about that barrow the battle-keen rode, atheling-born, a band of twelve, lament to make, to mourn their king, chant their dirge, and their chieftain honor. They praised his earlship, his acts of prowess worthily witnessed: and well it is that men their master-friend mightily laud, heartily love, when hence he goes from life in the body forlorn away.	Round brands of the pyre a wall they built, the worthiest ever that wit could prompt in their wisest men. They placed in the barrow that precious booty, the rounds and the rings they had reft erewhile, hardy heroes, from hoard in cave, -- trusting the ground with treasure of earls, gold in the earth, where ever it lies useless to men as of yore it was. Then about that barrow the battle keen rode, atheling born, a band of twelve, lament to make, to mourn their king, chant their dirge, and their chieftain honor. They praised his earlship, his acts of prowess worthily witnessed: and well it is that men their master friend mightily laud, heartily love, when hence he goes from life in the body forlorn away.	false	683.63	737.23	21.569195
8619_291384_000008_000000	Thus made their mourning the men of Geatland, for their hero's passing his hearth-companions: quoth that of all the kings of earth, of men he was mildest and most beloved, to his kin the kindest, keenest for praise.	Thus made their mourning the men of Geatland, for their hero's passing his hearth companions: quoth that of all the kings of earth, of men he was mildest and most beloved, to his kin the kindest, keenest for praise.	false	737.81	756.18	19.757742
8619_291384_000009_000000	Footnotes:	Footnotes:	false	756.18	756.48	-7
8619_291384_000010_000000	{0a} Not, of course, Beowulf the Great, hero of the epic.	{zero a} Not, of course, Beowulf the Great, hero of the epic.	false	756.48	757.77	15.922051
8619_291384_000011_000000	{0b} Kenning for king or chieftain of a comitatus: he breaks off gold from the spiral rings -- often worn on the arm -- and so rewards his followers.	{zero b} Kenning for king or chieftain of a comitatus: he breaks off gold from the spiral rings -- often worn on the arm -- and so rewards his followers.	false	757.77	762.78	20.72318
