4800_38660_000000_000000	She smiled again; my utter bewilderment seemed to amuse her.	She smiled again; my utter bewilderment seemed to amuse her.	false	0	5.46	23.104628
4800_38660_000014_000008	I was just in time to catch the special mail which left this morning.	I was just in time to catch the special mail which left this morning.	true	511.55	516.49	21.099844
4800_38660_000014_000009	Don't blame me, David.	Don't blame me, David.	true	516.71	518.65	20.562218
4800_38660_000014_000010	I could not feel absolutely sure of the new medicine; and, with time of such terrible importance, and London so far off, I was really afraid to miss a post."	I could not feel absolutely sure of the new medicine; and, with time of such terrible importance, and London so far off, I was really afraid to miss a post."	true	518.84	532.39	20.561584
4800_38660_000015_000000	I was far from blaming him--and I said so.	I was far from blaming him-and I said so.	true	533.24	536.38	22.107462
4800_38660_000015_000001	In his place I should have done what he did.	In his place I should have done what he did.	true	536.84	539.56	21.837381
4800_38660_000015_000002	We arranged that I should write to Fritz by that night's mail, on the chance that my announcement of the better news might reach him before he left London.	We arranged that I should write to Fritz by that night's mail, on the chance that my announcement of the better news might reach him before he left London.	true	539.93	549.01	21
4800_38660_000016_000000	"My letter despatched," Mr. Engelman continued, "I begged both the doctors to speak with me before they went away, in my private room.	"My letter despatched," mr Engelman continued, "I begged both the doctors to speak with me before they went away, in my private room.	true	549.71	559.66	23.503202
4800_38660_000016_000001	There I told them, in the plainest words I could find, exactly what I have told you.	There I told them, in the plainest words I could find, exactly what I have told you.	true	560.48	567.1	24.755213
4800_38660_000016_000002	Doctor Dormann behaved like a gentleman.	Doctor Dormann behaved like a gentleman.	true	567.71	571	21.903948
4800_38660_000016_000003	He said, 'Let me see the lady, and speak to her myself, before the new remedy is tried.' As for the other, what do you think he did?	He said, 'Let me see the lady, and speak to her myself, before the new remedy is tried.' As for the other, what do you think he did?	true	571.55	583.96	22.036955
4800_38660_000016_000004	Walked out of the house (the old brute!) and declined any further attendance on the patient.	Walked out of the house (the old brute!) and declined any further attendance on the patient.	true	584.48	592.23	21.642447
4800_38660_000016_000005	And who do you think followed him out of the house, David, when I sent for Madame Fontaine?	And who do you think followed him out of the house, David, when I sent for Madame Fontaine?	false	592.23	598.54	19.876255
4800_38660_000016_000006	Another old brute--Mother Barbara!"	Another old brute-Mother Barbara!"	true	598.97	602.95	19.371115
4800_38660_000017_000000	After what I had seen myself of the housekeeper's temper on the previous evening, this last piece of news failed to surprise me.	After what I had seen myself of the housekeeper's temper on the previous evening, this last piece of news failed to surprise me.	true	603.68	611.86	22.699
4800_38660_000017_000001	To be stripped of her authority as nurse in favor of a stranger, and that stranger a handsome lady, was an aggravation of the wrong which Mother Barbara had contemplated, when she threatened us with the alternative of leaving the house.	To be stripped of her authority as nurse in favor of a stranger, and that stranger a handsome lady, was an aggravation of the wrong which Mother Barbara had contemplated, when she threatened us with the alternative of leaving the house.	false	612.44	627.34	21.227024
4800_38660_000018_000000	"Well," Mr. Engelman resumed, "Doctor Dormann asked his questions, and smelt and tasted the medicine, and with Madame Fontaine's full approval took away a little of it to be analyzed.	"Well," mr Engelman resumed, "Doctor Dormann asked his questions, and smelt and tasted the medicine, and with Madame Fontaine's full approval took away a little of it to be analyzed.	true	628.4	644.68	21.93488
4800_38660_000018_000001	That came to nothing!	That came to nothing!	true	645.44	647.26	24.978647
4800_38660_000018_000002	The medicine kept its own secret.	The medicine kept its own secret.	true	648.05	651.04	22.68334
4800_38660_000018_000003	All the ingredients but two set analysis at defiance!	All the ingredients but two set analysis at defiance!	true	651.98	656.47	19.279072
4800_38660_000018_000004	In the meantime we gave the first dose.	In the meantime we gave the first dose.	true	657.44	661.18	18.36285
4800_38660_000018_000005	Half an hour since we tried the second.	Half an hour since we tried the second.	true	661.79	665.5	22.501513
4800_38660_000018_000006	You have seen the result with your own eyes.	You have seen the result with your own eyes.	true	666.62	669.55	14
4800_38660_000018_000007	She has saved his life, David, and we have you to thank for it.	She has saved his life, David, and we have you to thank for it.	true	670.13	676.45	19.050816
4800_38660_000018_000008	But for you we might never have known Madame Fontaine."	But for you we might never have known Madame Fontaine."	true	677.03	681.67	20.319273
4800_38660_000019_000000	The door opened as he spoke, and I found myself confronted by a second surprise.	The door opened as he spoke, and I found myself confronted by a second surprise.	true	682.88	688.57	23.527422
4800_38660_000019_000001	Minna came in, wearing a cook's apron, and asked if her mother had rung for her yet.	Minna came in, wearing a cook's apron, and asked if her mother had rung for her yet.	true	689.12	694.93	26.563591
4800_38660_000019_000002	Under the widow's instructions, she was preparing the peculiar vegetable diet which had been prescribed by Doctor Fontaine as part of the cure.	Under the widow's instructions, she was preparing the peculiar vegetable diet which had been prescribed by Doctor Fontaine as part of the cure.	true	695.78	704.71	21.566158
4800_38660_000019_000003	The good girl was eager to make herself useful to us in any domestic capacity.	The good girl was eager to make herself useful to us in any domestic capacity.	true	705.2	710.41	23.80338
4800_38660_000019_000004	What a charming substitute for the crabbed old housekeeper who had just left us!	What a charming substitute for the crabbed old housekeeper who had just left us!	true	710.99	716.35	23
4800_38660_000020_000000	So here were Madame Fontaine and Minna actually established as inmates under the same roof with Mr. Keller!	So here were Madame Fontaine and Minna actually established as inmates under the same roof with mr Keller!	true	717.2	724.81	19.869434
4800_38660_000020_000001	What would Fritz think, when he knew of it?	What would Fritz think, when he knew of it?	true	725.36	727.84	28.595125
4800_38660_000020_000002	What would Mr. Keller say when he recognized his nurse, and when he heard that she had saved his life?	What would mr Keller say when he recognized his nurse, and when he heard that she had saved his life?	true	728.54	734.35	20.747728
4800_38660_000020_000003	"All's well that ends well" is a good proverb.	"All's well that ends well" is a good proverb.	true	735.62	739.95	21.024944
4800_38660_000020_000004	But we had not got as far as that yet.	But we had not got as far as that yet.	true	739.95	742.93	26.163368
4800_38660_000020_000005	The question in our case was, _How_ will it end?	The question in our case was, underscore How underscore will it end?	false	743.15	758.01	24.148968
