1212_75242_000000_000000	All this time Polly had been screeching, "Help!	All this time Polly had been screeching, "Help!	false	0	1.23	36.498043
1212_75242_000009_000006	He tried to bite it off, but instead of coming off, it only stuck to his teeth and he found himself sticking to the pan with his mouth as well as his feet.	He tried to bite it off, but instead of coming off, it only stuck to his teeth and he found himself sticking to the pan with his mouth as well as his feet.	true	118.7	128.23	24.606794
1212_75242_000009_000007	Indeed, he was held securely by the sticky, stringy candy.	Indeed, he was held securely by the sticky, stringy candy.	true	128.48	132.37	21.734146
1212_75242_000009_000008	Just then he thought he heard the children coming to see if their sweets were cool.	Just then he thought he heard the children coming to see if their sweets were cool.	true	132.83	137.07	23.764515
1212_75242_000010_000000	[Illustration]	[Illustration]	false	137.07	137.7	-20
1212_75242_000011_000000	Yes, they were surely coming!	Yes, they were surely coming!	true	137.7	139.81	26.724094
1212_75242_000011_000001	He could not stand it to have these children he saw every day find him in such a fix.	He could not stand it to have these children he saw every day find him in such a fix.	true	140.24	145.36	26.63358
1212_75242_000011_000002	He would never hear the last of it.	He would never hear the last of it.	true	145.49	147.7	20.957947
1212_75242_000011_000003	So he made a frantic effort to loosen himself.	So he made a frantic effort to loosen himself.	true	147.98	151.15	25.551455
1212_75242_000011_000004	In doing this he pulled backwards so far that his feet slipped somehow, and he sat down in the candy.	In doing this he pulled backwards so far that his feet slipped somehow, and he sat down in the candy.	true	151.4	158.59	25.102232
1212_75242_000011_000005	And now he _was_ caught!	And now he underscore was underscore caught!	false	158.87	160.9	22.04861
1212_75242_000011_000006	For his four feet, mouth, one ear and tail were all sticking to the pan of candy.	For his four feet, mouth, one ear and tail were all sticking to the pan of candy.	true	161.09	167.56	24.206478
1212_75242_000011_000007	As the children began to come down the back steps, he gave one yelp, doubled himself up and began to roll, so that what the children saw was a big ball of molasses candy rolling down the sloping walk.	As the children began to come down the back steps, he gave one yelp, doubled himself up and began to roll, so that what the children saw was a big ball of molasses candy rolling down the sloping walk.	true	168.05	182.41	22.033144
1212_75242_000011_000008	All they could see in the semi-darkness was the candy, for Zip was too balled up to show a bit of dog sticking out of the soft mess.	All they could see in the semi darkness was the candy, for Zip was too balled up to show a bit of dog sticking out of the soft mess.	true	182.54	190.6	22.615406
1212_75242_000012_000000	The children ran after it, screaming with laughter, but when they caught up to the rolling ball and discovered their well-known, mischievous Zip rolled up so tight he was helpless, they clapped their hands with delight. He looked so crestfallen and funny that they forgave him on the spot for the loss of their candy.	The children ran after it, screaming with laughter, but when they caught up to the rolling ball and discovered their well-known, mischievous Zip rolled up so tight he was helpless, they clapped their hands with delight. He looked so crestfallen and funny that they forgave him on the spot for the loss of their candy.	true	191.54	210.55	25.184774
1212_75242_000012_000001	How they did shout with laughter as they were trying to get the candy off him!	How they did shout with laughter as they were trying to get the candy off him!	false	211.01	215.88	22.50558
1212_75242_000013_000000	"I know the best way to get the sticky stuff off," said Helen Hardway, the little girl who was giving the party.	"I know the best way to get the sticky stuff off," said Helen Hardway, the little girl who was giving the party.	true	215.88	222.76	21.225279
1212_75242_000013_000001	"Let's put him in the bath tub and soak it off."	"Let's put him in the bath tub and soak it off."	true	223.16	226.06	24.45242
1212_75242_000014_000000	"Just the very thing!" one of the boys replied.	"Just the very thing!" one of the boys replied.	true	226.97	230.47	24.808556
1212_75242_000014_000001	"Wait till I get something to wrap him in so I won't get all stuck up with the candy."	"Wait till I get something to wrap him in so I won't get all stuck up with the candy."	true	230.63	235.24	25.18666
1212_75242_000015_000000	On hearing this, Zip began to struggle and squirm, for he had visions of hot water and soapsuds in his eyes, with each one of the children feeling it was their duty to give him an extra scrub.	On hearing this, Zip began to struggle and squirm, for he had visions of hot water and soapsuds in his eyes, with each one of the children feeling it was their duty to give him an extra scrub.	true	236.21	249.76	20.742638
1212_75242_000016_000000	"Here, you Zip, keep still, or you'll slip out of the apron you're wrapped in and get my best suit all sticky," called the little boy who held him in his arms and was carrying him up to the bathroom.	"Here, you Zip, keep still, or you'll slip out of the apron you're wrapped in and get my best suit all sticky," called the little boy who held him in his arms and was carrying him up to the bathroom.	true	250.04	262.36	22.47363
1212_75242_000017_000000	By squeezing him tightly, the boy managed to get him to the room and was just about to drop him in the tub from the apron when he discovered that the apron was sticking to the candy.	By squeezing him tightly, the boy managed to get him to the room and was just about to drop him in the tub from the apron when he discovered that the apron was sticking to the candy.	false	262.91	272.95	26.952549
1212_75242_000017_000001	One of the boys gave it a jerk to loosen it, but sad to relate, he gave too vigorous a pull and Zip dropped from the boy's arms, not into the tub, but at one side and by a mighty effort he gave himself two rolls which brought him to the head of the stairs.	One of the boys gave it a jerk to loosen it, but sad to relate, he gave too vigorous a pull and Zip dropped from the boy's arms, not into the tub, but at one side and by a mighty effort he gave himself two rolls which brought him to the head of the stairs.	true	273.41	291.34	23.154587
1212_75242_000017_000002	Another roll sent him tumbling bumpety-bump down the long flight that led to the kitchen.	Another roll sent him tumbling bumpety bump down the long flight that led to the kitchen.	true	291.59	296.89	22.906782
1212_75242_000017_000003	On the way he hit a hamper of clothes on the landing, and it joined him and went bumpety-bump, bangety-bang to the bottom and out into the kitchen, hitting the waitress who was carrying a tray of glasses filled with fruit lemonade to the little guests in the parlors who had not joined in the dog hunt.	On the way he hit a hamper of clothes on the landing, and it joined him and went bumpety bump, bangety bang to the bottom and out into the kitchen, hitting the waitress who was carrying a tray of glasses filled with fruit lemonade to the little guests in the parlors who had not joined in the dog hunt.	false	297.38	314.23	22.208319
1212_75242_000018_000000	The sudden appearance of a hamper apparently on legs coming toward her, surprised her, but nothing like the queer thing that was rolling about her feet, and which she could not see for the big tray in her hands.	The sudden appearance of a hamper apparently on legs coming toward her, surprised her, but nothing like the queer thing that was rolling about her feet, and which she could not see for the big tray in her hands.	true	314.81	327.67	22.25149
1212_75242_000018_000001	She could not seem to escape it, and finally she stumbled and fell, sending the glasses of delicious lemonade flying in all directions.	She could not seem to escape it, and finally she stumbled and fell, sending the glasses of delicious lemonade flying in all directions.	true	327.86	336.79	23.292952
1212_75242_000019_000000	Hearing a noise on the back stairs, as if the house was falling, Mrs. Hardway went to see what the trouble was, and opened the kitchen door just in time to receive a full glass of lemonade squarely on the chest.	Hearing a noise on the back stairs, as if the house was falling, mrs Hardway went to see what the trouble was, and opened the kitchen door just in time to receive a full glass of lemonade squarely on the chest.	true	337.52	350.8	23.402868
1212_75242_000020_000000	When the waitress stumbled, she fell on Zip, pinning him under her.	When the waitress stumbled, she fell on Zip, pinning him under her.	true	352.1	356.89	25.564234
1212_75242_000020_000001	In his roll down the stairs, he had lost some of the candy, so that now his mouth and nose were free, though he was minus a tooth and several of his long smeller whiskers.	In his roll down the stairs, he had lost some of the candy, so that now his mouth and nose were free, though he was minus a tooth and several of his long smeller whiskers.	true	357.17	367.9	20.350552
1212_75242_000020_000002	Now he began to howl as if being killed.	Now he began to howl as if being killed.	true	368.39	371.41	22.05954
1212_75242_000020_000003	This brought more of the guests to the spot, and you would have laughed could you have seen their faces when first they peered into the kitchen, which looked as if a cyclone had struck it.	This brought more of the guests to the spot, and you would have laughed could you have seen their faces when first they peered into the kitchen, which looked as if a cyclone had struck it.	true	371.6	381.52	27.07992
1212_75242_000021_000000	A few feet from the door was the maid, sitting with limbs outspread, too dazed to move, while from under the corner of her skirt rolled a big, sticky ball of some kind that howled as it rolled.	A few feet from the door was the maid, sitting with limbs outspread, too dazed to move, while from under the corner of her skirt rolled a big, sticky ball of some kind that howled as it rolled.	true	382.31	394.87	25.631516
1212_75242_000021_000001	Beyond him was an overturned hamper of soiled clothes, with stockings, collars, sheets and petticoats spilling out of it.	Beyond him was an overturned hamper of soiled clothes, with stockings, collars, sheets and petticoats spilling out of it.	true	395.18	403.3	23.021936
1212_75242_000021_000002	At the other end of the room stood Mrs. Hardway, wiping the lemonade off her dress, while all over the place were slices of lemon and pieces of fruit and Maraschino cherries.	At the other end of the room stood mrs Hardway, wiping the lemonade off her dress, while all over the place were slices of lemon and pieces of fruit and Maraschino cherries.	true	403.58	414.61	20.875586
1212_75242_000021_000003	When all the children came from upstairs, they told Mrs. Hardway how it had all come about from Zip getting in their candy and their trying to wash it off his coat.	When all the children came from upstairs, they told mrs Hardway how it had all come about from Zip getting in their candy and their trying to wash it off his coat.	false	414.95	424.17	24.540909
1212_75242_000022_000000	As Zip was still in a ball and could not extricate himself, the same boy who had carried him to the bathroom before, put the apron around him again and took him back upstairs.	As Zip was still in a ball and could not extricate himself, the same boy who had carried him to the bathroom before, put the apron around him again and took him back upstairs.	false	424.17	435.67	26.382374
1212_75242_000023_000000	This time they got him in the tub safely and began to turn the water in. The tub was slippery, and so was the candy, and as the water crept up to where Zip was tied, not hand and foot, but worse still, head, nose, ears and all four legs as well as tail, he howled and howled until one could have heard him a block away.	This time they got him in the tub safely and began to turn the water in. The tub was slippery, and so was the candy, and as the water crept up to where Zip was tied, not hand and foot, but worse still, head, nose, ears and all four legs as well as tail, he howled and howled until one could have heard him a block away.	false	436.01	457.99	22.688791
1212_75242_000023_000001	He was so afraid of being drowned before the water would soak off the candy and when the children tried to pull it off it nearly killed him with pain, for it took all the little fine hairs of his coat with it.	He was so afraid of being drowned before the water would soak off the candy and when the children tried to pull it off it nearly killed him with pain, for it took all the little fine hairs of his coat with it.	true	458.3	469.81	25.460073
1212_75242_000024_000000	The window of the bathroom was open and the doctor, coming out on his front porch to look at the sky before retiring, heard Zip howling somewhere across the street.	The window of the bathroom was open and the doctor, coming out on his front porch to look at the sky before retiring, heard Zip howling somewhere across the street.	true	470.21	480.55	25.17032
1212_75242_000024_000001	He was crying in such a pitiful, frightened manner that the doctor knew he must be fast somewhere or hurt so he could not get home.	He was crying in such a pitiful, frightened manner that the doctor knew he must be fast somewhere or hurt so he could not get home.	true	480.65	488.89	26.700026
1212_75242_000024_000002	Consequently he hurried across the street to see where his pet was, with the worried Tabby close at his heels.	Consequently he hurried across the street to see where his pet was, with the worried Tabby close at his heels.	true	489.2	495.88	22.296413
1212_75242_000025_000000	The doctor made the circuit of the house and stable yard but could find no Zip.	The doctor made the circuit of the house and stable yard but could find no Zip.	true	496.67	501.34	23.324886
1212_75242_000025_000001	The howls seemed to come from up in the air somewhere as from the top of the house, so finally the doctor rapped on the Hardway kitchen door to ask the maid if Zip had not slipped in the house and gotten up on the roof.	The howls seemed to come from up in the air somewhere as from the top of the house, so finally the doctor rapped on the Hardway kitchen door to ask the maid if Zip had not slipped in the house and gotten up on the roof.	false	501.65	514.87	24.85275
1212_75242_000025_000002	He knocked repeatedly but no one answered.	He knocked repeatedly but no one answered.	true	515.09	517.78	23.17886
1212_75242_000025_000003	As he still heard Zip howling and several people were talking all at once, he made bold to open the door and step in.	As he still heard Zip howling and several people were talking all at once, he made bold to open the door and step in.	true	518.06	526.12	22.576714
1212_75242_000025_000004	What he saw you already know.	What he saw you already know.	true	526.7	529	20.51167
1212_75242_000025_000005	As by this time the children had started to bathe Zip, the doctor was told to go right upstairs.	As by this time the children had started to bathe Zip, the doctor was told to go right upstairs.	true	529.4	535.69	22.550797
1212_75242_000025_000006	When he appeared in the door all the children stopped laughing and stepped back to give him a chance to see Zip.	When he appeared in the door all the children stopped laughing and stepped back to give him a chance to see Zip.	true	536.03	542.29	25.070425
1212_75242_000026_000000	And this is what he saw.	And this is what he saw.	true	542.69	544.78	20.94918
1212_75242_000027_000000	Just one of Zip's eyes stuck out of a hole where the candy had dropped off, and his poor little tail stuck out like a handle on the other side of the ball.	Just one of Zip's eyes stuck out of a hole where the candy had dropped off, and his poor little tail stuck out like a handle on the other side of the ball.	true	545.27	554.26	22.932646
1212_75242_000027_000001	That was all that could be seen of Zip at that moment, for in his numerous rolls, the candy had spread all over him until he was no longer a dog with legs but just one round ball of molasses candy.	That was all that could be seen of Zip at that moment, for in his numerous rolls, the candy had spread all over him until he was no longer a dog with legs but just one round ball of molasses candy.	true	554.51	568.12	21.059792
1212_75242_000028_000000	Seeing the water was fast climbing up to where it would reach Zip's mouth, and knowing it would drown him, the doctor turned off the spigot.	Seeing the water was fast climbing up to where it would reach Zip's mouth, and knowing it would drown him, the doctor turned off the spigot.	false	569.18	577.51	20.900566
1212_75242_000028_000001	The children had never thought that the poor dog could not move his head to keep out of the water.	The children had never thought that the poor dog could not move his head to keep out of the water.	true	577.76	582.64	23.635788
1212_75242_000028_000002	Now the doctor hurriedly took off his coat, rolled up his sleeves, and in a jiffy had Zip and the molasses ball in his hands and was holding it so that the water could not get to Zip's head.	Now the doctor hurriedly took off his coat, rolled up his sleeves, and in a jiffy had Zip and the molasses ball in his hands and was holding it so that the water could not get to Zip's head.	true	582.95	595.3	25.14737
1212_75242_000028_000003	Then with one hand he gently threw the water upon the candy until it began to loosen and fall off.	Then with one hand he gently threw the water upon the candy until it began to loosen and fall off.	true	595.85	602.5	23.595686
1212_75242_000028_000004	First he released the little dog's head, which had been bent down between his fore legs.	First he released the little dog's head, which had been bent down between his fore legs.	true	602.75	608.53	23.503664
1212_75242_000028_000005	As the candy began to loosen and drop off, first one black ear stood up and then the other, and last the little legs began to shoot out.	As the candy began to loosen and drop off, first one black ear stood up and then the other, and last the little legs began to shoot out.	true	608.9	618.37	22.631838
1212_75242_000028_000006	All this made the children laugh to see what appeared to be a big ball of candy develop into a little dog.	All this made the children laugh to see what appeared to be a big ball of candy develop into a little dog.	true	618.68	625.42	20.908396
1212_75242_000028_000007	At last when Zip was entirely clean and had been wrapped in a big bath towel to dry, Doctor Elsworth apologized to Helen for his little dog spoiling her candy pull.	At last when Zip was entirely clean and had been wrapped in a big bath towel to dry, Doctor Elsworth apologized to Helen for his little dog spoiling her candy pull.	true	625.82	636.76	24.997341
1212_75242_000028_000008	But she declared that he had given them more fun than if he had not come over, and the molasses had cooled and they had had a regular candy pull.	But she declared that he had given them more fun than if he had not come over, and the molasses had cooled and they had had a regular candy pull.	true	636.98	645.63	22.04182
1212_75242_000029_000000	[Illustration]	[Illustration]	false	645.63	646.68	-9
1212_75242_000030_000000	But when it came to apologizing to Mrs. Hardway for the mess Zip had caused in the kitchen, the doctor did not know what to say, he felt so badly about it.	But when it came to apologizing to mrs Hardway for the mess Zip had caused in the kitchen, the doctor did not know what to say, he felt so badly about it.	false	646.68	656.29	22.86496
1212_75242_000030_000001	But he could have saved himself all the worry, for Mrs. Hardway was a sensible woman and knew that accidents will happen, and she met with the doctor smilingly.	But he could have saved himself all the worry, for mrs Hardway was a sensible woman and knew that accidents will happen, and she met with the doctor smilingly.	false	656.69	667.2	23.998352
1212_75242_000030_000002	Besides, the doctor had been her family physician for years, and they were all very, very fond of him as well as of Zip.	Besides, the doctor had been her family physician for years, and they were all very, very fond of him as well as of Zip.	true	667.2	675.61	21.1801
1212_75242_000030_000003	It was hard to think of the doctor without Zip, as they were always together.	It was hard to think of the doctor without Zip, as they were always together.	true	676.07	680.47	25.493963
1212_75242_000030_000004	So when the doctor began to apologize, Mrs. Hardway stopped him short, and told him to drink Zip's health in a glass of freshly made lemonade, and say no more about it.	So when the doctor began to apologize, mrs Hardway stopped him short, and told him to drink Zip's health in a glass of freshly made lemonade, and say no more about it.	false	680.72	691.9	22.342564
1212_75242_000030_000005	The doctor, thanking her from the bottom of his heart, drank not to Zip's health, but to hers, and thus the exciting evening ended peacefully and everyone was happy, including Zip, as the doctor gave him all the Maraschino cherries in his glass, something he dearly loved, though you may think it was a queer thing for a little dog to like.	The doctor, thanking her from the bottom of his heart, drank not to Zip's health, but to hers, and thus the exciting evening ended peacefully and everyone was happy, including Zip, as the doctor gave him all the Maraschino cherries in his glass, something he dearly loved, though you may think it was a queer thing for a little dog to like.	false	692.3	724.98	22.870106
