1212_75242_000006_000000	ZIP AT THE CANDY PULL	ZIP AT THE CANDY PULL
1212_75242_000017_000001	One of the boys gave it a jerk to loosen it, but sad to relate, he gave too vigorous a pull and Zip dropped from the boy's arms, not into the tub, but at one side and by a mighty effort he gave himself two rolls which brought him to the head of the stairs.	One of the boys gave it a jerk to loosen it, but sad to relate, he gave too vigorous a pull and Zip dropped from the boy's arms, not into the tub, but at one side and by a mighty effort he gave himself two rolls which brought him to the head of the stairs.
1212_75242_000017_000002	Another roll sent him tumbling bumpety-bump down the long flight that led to the kitchen.	Another roll sent him tumbling bumpety bump down the long flight that led to the kitchen.
1212_75242_000018_000000	The sudden appearance of a hamper apparently on legs coming toward her, surprised her, but nothing like the queer thing that was rolling about her feet, and which she could not see for the big tray in her hands.	The sudden appearance of a hamper apparently on legs coming toward her, surprised her, but nothing like the queer thing that was rolling about her feet, and which she could not see for the big tray in her hands.
1212_75242_000018_000001	She could not seem to escape it, and finally she stumbled and fell, sending the glasses of delicious lemonade flying in all directions.	She could not seem to escape it, and finally she stumbled and fell, sending the glasses of delicious lemonade flying in all directions.
1212_75242_000019_000000	Hearing a noise on the back stairs, as if the house was falling, Mrs. Hardway went to see what the trouble was, and opened the kitchen door just in time to receive a full glass of lemonade squarely on the chest.	Hearing a noise on the back stairs, as if the house was falling, mrs Hardway went to see what the trouble was, and opened the kitchen door just in time to receive a full glass of lemonade squarely on the chest.
1212_75242_000020_000000	When the waitress stumbled, she fell on Zip, pinning him under her.	When the waitress stumbled, she fell on Zip, pinning him under her.
1212_75242_000020_000001	In his roll down the stairs, he had lost some of the candy, so that now his mouth and nose were free, though he was minus a tooth and several of his long smeller whiskers.	In his roll down the stairs, he had lost some of the candy, so that now his mouth and nose were free, though he was minus a tooth and several of his long smeller whiskers.
1212_75242_000020_000002	Now he began to howl as if being killed.	Now he began to howl as if being killed.
1212_75242_000020_000003	This brought more of the guests to the spot, and you would have laughed could you have seen their faces when first they peered into the kitchen, which looked as if a cyclone had struck it.	This brought more of the guests to the spot, and you would have laughed could you have seen their faces when first they peered into the kitchen, which looked as if a cyclone had struck it.
1212_75242_000021_000000	A few feet from the door was the maid, sitting with limbs outspread, too dazed to move, while from under the corner of her skirt rolled a big, sticky ball of some kind that howled as it rolled.	A few feet from the door was the maid, sitting with limbs outspread, too dazed to move, while from under the corner of her skirt rolled a big, sticky ball of some kind that howled as it rolled.
1212_75242_000021_000001	Beyond him was an overturned hamper of soiled clothes, with stockings, collars, sheets and petticoats spilling out of it.	Beyond him was an overturned hamper of soiled clothes, with stockings, collars, sheets and petticoats spilling out of it.
1212_75242_000021_000002	At the other end of the room stood Mrs. Hardway, wiping the lemonade off her dress, while all over the place were slices of lemon and pieces of fruit and Maraschino cherries.	At the other end of the room stood mrs Hardway, wiping the lemonade off her dress, while all over the place were slices of lemon and pieces of fruit and Maraschino cherries.
1212_75242_000023_000001	He was so afraid of being drowned before the water would soak off the candy and when the children tried to pull it off it nearly killed him with pain, for it took all the little fine hairs of his coat with it.	He was so afraid of being drowned before the water would soak off the candy and when the children tried to pull it off it nearly killed him with pain, for it took all the little fine hairs of his coat with it.
1212_75242_000024_000000	The window of the bathroom was open and the doctor, coming out on his front porch to look at the sky before retiring, heard Zip howling somewhere across the street.	The window of the bathroom was open and the doctor, coming out on his front porch to look at the sky before retiring, heard Zip howling somewhere across the street.
1212_75242_000024_000001	He was crying in such a pitiful, frightened manner that the doctor knew he must be fast somewhere or hurt so he could not get home.	He was crying in such a pitiful, frightened manner that the doctor knew he must be fast somewhere or hurt so he could not get home.
1212_75242_000024_000002	Consequently he hurried across the street to see where his pet was, with the worried Tabby close at his heels.	Consequently he hurried across the street to see where his pet was, with the worried Tabby close at his heels.
1212_75242_000025_000000	The doctor made the circuit of the house and stable yard but could find no Zip.	The doctor made the circuit of the house and stable yard but could find no Zip.
1212_75242_000025_000002	He knocked repeatedly but no one answered.	He knocked repeatedly but no one answered.
1212_75242_000025_000003	As he still heard Zip howling and several people were talking all at once, he made bold to open the door and step in.	As he still heard Zip howling and several people were talking all at once, he made bold to open the door and step in.
1212_75242_000025_000004	What he saw you already know.	What he saw you already know.
1212_75242_000025_000005	As by this time the children had started to bathe Zip, the doctor was told to go right upstairs.	As by this time the children had started to bathe Zip, the doctor was told to go right upstairs.
1212_75242_000025_000006	When he appeared in the door all the children stopped laughing and stepped back to give him a chance to see Zip.	When he appeared in the door all the children stopped laughing and stepped back to give him a chance to see Zip.
1212_75242_000026_000000	And this is what he saw.	And this is what he saw.
1212_75242_000027_000000	Just one of Zip's eyes stuck out of a hole where the candy had dropped off, and his poor little tail stuck out like a handle on the other side of the ball.	Just one of Zip's eyes stuck out of a hole where the candy had dropped off, and his poor little tail stuck out like a handle on the other side of the ball.
1212_75242_000027_000001	That was all that could be seen of Zip at that moment, for in his numerous rolls, the candy had spread all over him until he was no longer a dog with legs but just one round ball of molasses candy.	That was all that could be seen of Zip at that moment, for in his numerous rolls, the candy had spread all over him until he was no longer a dog with legs but just one round ball of molasses candy.
1212_75242_000028_000001	The children had never thought that the poor dog could not move his head to keep out of the water.	The children had never thought that the poor dog could not move his head to keep out of the water.
1212_75242_000028_000002	Now the doctor hurriedly took off his coat, rolled up his sleeves, and in a jiffy had Zip and the molasses ball in his hands and was holding it so that the water could not get to Zip's head.	Now the doctor hurriedly took off his coat, rolled up his sleeves, and in a jiffy had Zip and the molasses ball in his hands and was holding it so that the water could not get to Zip's head.
1212_75242_000028_000003	Then with one hand he gently threw the water upon the candy until it began to loosen and fall off.	Then with one hand he gently threw the water upon the candy until it began to loosen and fall off.
1212_75242_000028_000004	First he released the little dog's head, which had been bent down between his fore legs.	First he released the little dog's head, which had been bent down between his fore legs.
1212_75242_000028_000005	As the candy began to loosen and drop off, first one black ear stood up and then the other, and last the little legs began to shoot out.	As the candy began to loosen and drop off, first one black ear stood up and then the other, and last the little legs began to shoot out.
1212_75242_000028_000006	All this made the children laugh to see what appeared to be a big ball of candy develop into a little dog.	All this made the children laugh to see what appeared to be a big ball of candy develop into a little dog.
1212_75242_000028_000007	At last when Zip was entirely clean and had been wrapped in a big bath towel to dry, Doctor Elsworth apologized to Helen for his little dog spoiling her candy pull.	At last when Zip was entirely clean and had been wrapped in a big bath towel to dry, Doctor Elsworth apologized to Helen for his little dog spoiling her candy pull.
1212_75242_000028_000008	But she declared that he had given them more fun than if he had not come over, and the molasses had cooled and they had had a regular candy pull.	But she declared that he had given them more fun than if he had not come over, and the molasses had cooled and they had had a regular candy pull.
1212_75242_000030_000002	Besides, the doctor had been her family physician for years, and they were all very, very fond of him as well as of Zip.	Besides, the doctor had been her family physician for years, and they were all very, very fond of him as well as of Zip.
1212_75242_000030_000003	It was hard to think of the doctor without Zip, as they were always together.	It was hard to think of the doctor without Zip, as they were always together.
