2149_8912_000002_000000	CHAPTER XXXII.	CHAPTER thirty two.
2149_8912_000011_000000	"What! haven't you told her before?" said Melbury.	"What! haven't you told her before?" said Melbury.
2149_8912_000012_000000	"Oh no," said the other.	"Oh no," said the other.
2149_8912_000012_000001	"You see you came so very early."	"You see you came so very early."
2149_8912_000013_000000	At last the bell rang: Mrs. Charmond could see him.	At last the bell rang: mrs Charmond could see him.
2149_8912_000013_000001	She was not in her private sitting-room when he reached it, but in a minute he heard her coming from the front staircase, and she entered where he stood.	She was not in her private sitting room when he reached it, but in a minute he heard her coming from the front staircase, and she entered where he stood.
2149_8912_000015_000000	"Do sit down, Mr. Melbury.	"Do sit down, mr Melbury.
2149_8912_000015_000001	You have felled all the trees that were to be purchased by you this season, except the oaks, I believe."	You have felled all the trees that were to be purchased by you this season, except the oaks, I believe."
2149_8912_000016_000000	"Yes," said Melbury.	"Yes," said Melbury.
2149_8912_000017_000001	It must be so charming to work in the woods just now!"	It must be so charming to work in the woods just now!"
2149_8912_000018_000001	Hence her words "very nice," "so charming," were uttered with a perfunctoriness that made them sound absurdly unreal.	Hence her words "very nice," "so charming," were uttered with a perfunctoriness that made them sound absurdly unreal.
2149_8912_000019_000000	"Yes, yes," said Melbury, in a reverie.	"Yes, yes," said Melbury, in a reverie.
2149_8912_000019_000001	He did not take a chair, and she also remained standing.	He did not take a chair, and she also remained standing.
2149_8912_000019_000002	Resting upon his stick, he began: "Mrs. Charmond, I have called upon a more serious matter--at least to me--than tree-throwing.	Resting upon his stick, he began: "mrs Charmond, I have called upon a more serious matter-at least to me-than tree throwing.
2149_8912_000019_000003	And whatever mistakes I make in my manner of speaking upon it to you, madam, do me the justice to set 'em down to my want of practice, and not to my want of care."	And whatever mistakes I make in my manner of speaking upon it to you, madam, do me the justice to set 'em down to my want of practice, and not to my want of care."
2149_8912_000020_000001	She might have begun to guess his meaning; but apart from that, she had such dread of contact with anything painful, harsh, or even earnest, that his preliminaries alone were enough to distress her.	She might have begun to guess his meaning; but apart from that, she had such dread of contact with anything painful, harsh, or even earnest, that his preliminaries alone were enough to distress her.
2149_8912_000020_000002	"Yes, what is it?" she said.	"Yes, what is it?" she said.
2149_8912_000021_000000	"I am an old man," said Melbury, "whom, somewhat late in life, God thought fit to bless with one child, and she a daughter.	"I am an old man," said Melbury, "whom, somewhat late in life, God thought fit to bless with one child, and she a daughter.
2149_8912_000021_000001	Her mother was a very dear wife to me, but she was taken away from us when the child was young, and the child became precious as the apple of my eye to me, for she was all I had left to love.	Her mother was a very dear wife to me, but she was taken away from us when the child was young, and the child became precious as the apple of my eye to me, for she was all I had left to love.
2149_8912_000021_000004	But I saw it was the law of nature that this should be, and that it was for the maid's happiness that she should have a home when I was gone; and I made up my mind without a murmur to help it on for her sake.	But I saw it was the law of nature that this should be, and that it was for the maid's happiness that she should have a home when I was gone; and I made up my mind without a murmur to help it on for her sake.
2149_8912_000021_000006	Things came about which made me doubt if it would be for my daughter's happiness to do this, inasmuch as the young man was poor, and she was delicately reared.	Things came about which made me doubt if it would be for my daughter's happiness to do this, inasmuch as the young man was poor, and she was delicately reared.
2149_8912_000021_000007	Another man came and paid court to her--one her equal in breeding and accomplishments; in every way it seemed to me that he only could give her the home which her training had made a necessity almost. I urged her on, and she married him.	Another man came and paid court to her-one her equal in breeding and accomplishments; in every way it seemed to me that he only could give her the home which her training had made a necessity almost. I urged her on, and she married him.
2149_8912_000021_000008	But, ma'am, a fatal mistake was at the root of my reckoning.	But, ma'am, a fatal mistake was at the root of my reckoning.
2149_8912_000022_000002	Some monstrous calumnies are afloat--of which I have known nothing until now!"	Some monstrous calumnies are afloat-of which I have known nothing until now!"
2149_8912_000023_000000	Melbury started, and looked at her simply.	Melbury started, and looked at her simply.
2149_8912_000023_000001	"But surely, ma'am, you know the truth better than I?"	"But surely, ma'am, you know the truth better than I?"
2149_8912_000024_000000	Her features became a little pinched, and the touches of powder on her handsome face for the first time showed themselves as an extrinsic film.	Her features became a little pinched, and the touches of powder on her handsome face for the first time showed themselves as an extrinsic film.
2149_8912_000024_000001	"Will you leave me to myself?" she said, with a faintness which suggested a guilty conscience.	"Will you leave me to myself?" she said, with a faintness which suggested a guilty conscience.
2149_8912_000024_000002	"This is so utterly unexpected--you obtain admission to my presence by misrepresentation--"	"This is so utterly unexpected-you obtain admission to my presence by misrepresentation-"
2149_8912_000025_000002	This gossip--"	This gossip-"
2149_8912_000026_000001	Tell me of it, I say."	Tell me of it, I say."
2149_8912_000027_000000	"Tell you, ma'am--not I. What the gossip is, no matter.	"Tell you, ma'am-not i What the gossip is, no matter.
2149_8912_000027_000003	She loved you once, ma'am; you began by liking her.	She loved you once, ma'am; you began by liking her.
2149_8912_000028_000000	"Certainly I would do her no harm--I--" Melbury's eye met hers.	"Certainly I would do her no harm-I-" Melbury's eye met hers.
2149_8912_000028_000002	"Oh, Melbury," she burst out, "you have made me so unhappy!	"Oh, Melbury," she burst out, "you have made me so unhappy!
2149_8912_000028_000003	How could you come to me like this!	How could you come to me like this!
2149_8912_000028_000004	It is too dreadful!	It is too dreadful!
2149_8912_000028_000005	Now go away--go, go!"	Now go away-go, go!"
2149_8912_000029_000000	"I will," he said, in a husky tone.	"I will," he said, in a husky tone.
2149_8912_000031_000001	She had never so clearly perceived till now that her soul was being slowly invaded by a delirium which had brought about all this; that she was losing judgment and dignity under it, becoming an animated impulse only, a passion incarnate.	She had never so clearly perceived till now that her soul was being slowly invaded by a delirium which had brought about all this; that she was losing judgment and dignity under it, becoming an animated impulse only, a passion incarnate.
2149_8912_000032_000000	While she sat, or rather crouched, unhinged by the interview, lunch-time came, and then the early afternoon, almost without her consciousness.	While she sat, or rather crouched, unhinged by the interview, lunch time came, and then the early afternoon, almost without her consciousness.
2149_8912_000032_000001	Then "a strange gentleman who says it is not necessary to give his name," was suddenly announced.	Then "a strange gentleman who says it is not necessary to give his name," was suddenly announced.
2149_8912_000033_000000	"I cannot see him, whoever he may be.	"I cannot see him, whoever he may be.
2149_8912_000033_000001	I am not at home to anybody."	I am not at home to anybody."
2149_8912_000034_000001	She disliked the woods, but they had the advantage of being a place in which she could walk comparatively unobserved.	She disliked the woods, but they had the advantage of being a place in which she could walk comparatively unobserved.
