2149_8912_000000_000000	"She is said to be generous," he answered.	"She is said to be generous," he answered.	false	0	2.82	20.241692
2149_8912_000009_000001	Through this vision the incidents of the moment but gleamed confusedly here and there, as an outer landscape through the high-colored scenes of a stained window.	Through this vision the incidents of the moment but gleamed confusedly here and there, as an outer landscape through the high colored scenes of a stained window.	true	182.12	190.78	16
2149_8912_000009_000002	He waited thus an hour, an hour and a half, two hours. He began to look pale and ill, whereupon the butler, who came in, asked him to have a glass of wine.	He waited thus an hour, an hour and a half, two hours. He began to look pale and ill, whereupon the butler, who came in, asked him to have a glass of wine.	true	190.97	202.36	21.891012
2149_8912_000009_000003	Melbury roused himself and said, "No, no. Is she almost ready?"	Melbury roused himself and said, "No, no Is she almost ready?"	true	202.52	207.43	21.182634
2149_8912_000010_000000	"She is just finishing breakfast," said the butler.	"She is just finishing breakfast," said the butler.	false	207.86	210.78	23.52565
2149_8912_000010_000001	"She will soon see you now.	"She will soon see you now.	true	210.78	212.32	15
2149_8912_000010_000002	I am just going up to tell her you are here."	I am just going up to tell her you are here."	true	212.42	214.81	21.451523
2149_8912_000011_000000	"What! haven't you told her before?" said Melbury.	"What! haven't you told her before?" said Melbury.	true	215.15	218.74	21.55802
2149_8912_000012_000000	"Oh no," said the other.	"Oh no," said the other.	true	219.08	220.69	20.548391
2149_8912_000012_000001	"You see you came so very early."	"You see you came so very early."	true	220.7	222.88	20.949846
2149_8912_000013_000000	At last the bell rang: Mrs. Charmond could see him.	At last the bell rang: mrs Charmond could see him.	true	223.22	226.78	21.19753
2149_8912_000013_000001	She was not in her private sitting-room when he reached it, but in a minute he heard her coming from the front staircase, and she entered where he stood.	She was not in her private sitting room when he reached it, but in a minute he heard her coming from the front staircase, and she entered where he stood.	true	226.79	234.4	21.656853
2149_8912_000014_000000	At this time of the morning Mrs. Charmond looked her full age and more. She might almost have been taken for the typical femme de trente ans, though she was really not more than seven or eight and twenty.	At this time of the morning mrs Charmond looked her full age and more. She might almost have been taken for the typical femme de trente a n s, though she was really not more than seven or eight and twenty.	false	234.77	246.25	20.748219
2149_8912_000014_000001	There being no fire in the room, she came in with a shawl thrown loosely round her shoulders, and obviously without the least suspicion that Melbury had called upon any other errand than timber.	There being no fire in the room, she came in with a shawl thrown loosely round her shoulders, and obviously without the least suspicion that Melbury had called upon any other errand than timber.	true	246.5	256.84	15
2149_8912_000014_000002	Felice was, indeed, the only woman in the parish who had not heard the rumor of her own weaknesses; she was at this moment living in a fool's paradise in respect of that rumor, though not in respect of the weaknesses themselves, which, if the truth be told, caused her grave misgivings.	Felice was, indeed, the only woman in the parish who had not heard the rumor of her own weaknesses; she was at this moment living in a fool's paradise in respect of that rumor, though not in respect of the weaknesses themselves, which, if the truth be told, caused her grave misgivings.	false	257.12	273.64	21
2149_8912_000015_000000	"Do sit down, Mr. Melbury.	"Do sit down, mr Melbury.	true	274.25	276.25	22.367977
2149_8912_000015_000001	You have felled all the trees that were to be purchased by you this season, except the oaks, I believe."	You have felled all the trees that were to be purchased by you this season, except the oaks, I believe."	true	276.29	282.01	21.313227
2149_8912_000016_000000	"Yes," said Melbury.	"Yes," said Melbury.	true	282.14	283.96	23.667105
2149_8912_000017_000000	"How very nice!	"How very nice!	true	284.18	285.465	19.127335
2149_8912_000017_000001	It must be so charming to work in the woods just now!"	It must be so charming to work in the woods just now!"	true	285.465	288.52	21
2149_8912_000018_000000	She was too careless to affect an interest in an extraneous person's affairs so consummately as to deceive in the manner of the perfect social machine.	She was too careless to affect an interest in an extraneous person's affairs so consummately as to deceive in the manner of the perfect social machine.	true	288.62	297.1	18
2149_8912_000018_000001	Hence her words "very nice," "so charming," were uttered with a perfunctoriness that made them sound absurdly unreal.	Hence her words "very nice," "so charming," were uttered with a perfunctoriness that made them sound absurdly unreal.	true	297.35	305.08	20.836609
2149_8912_000019_000000	"Yes, yes," said Melbury, in a reverie.	"Yes, yes," said Melbury, in a reverie.	true	305.54	308.23	24
2149_8912_000019_000001	He did not take a chair, and she also remained standing.	He did not take a chair, and she also remained standing.	true	308.54	312.13	22.320976
2149_8912_000019_000002	Resting upon his stick, he began: "Mrs. Charmond, I have called upon a more serious matter--at least to me--than tree-throwing.	Resting upon his stick, he began: "mrs Charmond, I have called upon a more serious matter-at least to me-than tree throwing.	true	312.35	320.98	21.204893
2149_8912_000019_000003	And whatever mistakes I make in my manner of speaking upon it to you, madam, do me the justice to set 'em down to my want of practice, and not to my want of care."	And whatever mistakes I make in my manner of speaking upon it to you, madam, do me the justice to set 'em down to my want of practice, and not to my want of care."	true	321.14	330.43	20
2149_8912_000020_000000	Mrs. Charmond looked ill at ease.	mrs Charmond looked ill at ease.	true	330.89	333.13	18.642092
2149_8912_000020_000001	She might have begun to guess his meaning; but apart from that, she had such dread of contact with anything painful, harsh, or even earnest, that his preliminaries alone were enough to distress her.	She might have begun to guess his meaning; but apart from that, she had such dread of contact with anything painful, harsh, or even earnest, that his preliminaries alone were enough to distress her.	true	333.2	343.81	22.7404
2149_8912_000020_000002	"Yes, what is it?" she said.	"Yes, what is it?" she said.	true	344.21	346.54	26.35022
2149_8912_000021_000000	"I am an old man," said Melbury, "whom, somewhat late in life, God thought fit to bless with one child, and she a daughter.	"I am an old man," said Melbury, "whom, somewhat late in life, God thought fit to bless with one child, and she a daughter.	true	347.15	354.85	23
2149_8912_000021_000001	Her mother was a very dear wife to me, but she was taken away from us when the child was young, and the child became precious as the apple of my eye to me, for she was all I had left to love.	Her mother was a very dear wife to me, but she was taken away from us when the child was young, and the child became precious as the apple of my eye to me, for she was all I had left to love.	true	355.04	366.22	20
2149_8912_000021_000002	For her sake entirely I married as second wife a homespun woman who had been kind as a mother to her.	For her sake entirely I married as second wife a homespun woman who had been kind as a mother to her.	true	366.41	372.34	17
2149_8912_000021_000003	In due time the question of her education came on, and I said, 'I will educate the maid well, if I live upon bread to do it.' Of her possible marriage I could not bear to think, for it seemed like a death that she should cleave to another man, and grow to think his house her home rather than mine.	In due time the question of her education came on, and I said, 'I will educate the maid well, if I live upon bread to do it.' Of her possible marriage I could not bear to think, for it seemed like a death that she should cleave to another man, and grow to think his house her home rather than mine.	false	372.56	389.53	21.63458
2149_8912_000021_000004	But I saw it was the law of nature that this should be, and that it was for the maid's happiness that she should have a home when I was gone; and I made up my mind without a murmur to help it on for her sake.	But I saw it was the law of nature that this should be, and that it was for the maid's happiness that she should have a home when I was gone; and I made up my mind without a murmur to help it on for her sake.	true	389.96	401.35	20.14882
2149_8912_000021_000005	In my youth I had wronged my dead friend, and to make amends I determined to give her, my most precious possession, to my friend's son, seeing that they liked each other well.	In my youth I had wronged my dead friend, and to make amends I determined to give her, my most precious possession, to my friend's son, seeing that they liked each other well.	false	401.57	411.97	18
2149_8912_000021_000006	Things came about which made me doubt if it would be for my daughter's happiness to do this, inasmuch as the young man was poor, and she was delicately reared.	Things came about which made me doubt if it would be for my daughter's happiness to do this, inasmuch as the young man was poor, and she was delicately reared.	true	412.7	421.48	22.50981
2149_8912_000021_000007	Another man came and paid court to her--one her equal in breeding and accomplishments; in every way it seemed to me that he only could give her the home which her training had made a necessity almost. I urged her on, and she married him.	Another man came and paid court to her-one her equal in breeding and accomplishments; in every way it seemed to me that he only could give her the home which her training had made a necessity almost. I urged her on, and she married him.	true	421.58	436	21.7872
2149_8912_000021_000008	But, ma'am, a fatal mistake was at the root of my reckoning.	But, ma'am, a fatal mistake was at the root of my reckoning.	true	436.22	439.51	21
2149_8912_000021_000009	I found that this well-born gentleman I had calculated on so surely was not stanch of heart, and that therein lay a danger of great sorrow for my daughter.	I found that this well born gentleman I had calculated on so surely was not stanch of heart, and that therein lay a danger of great sorrow for my daughter.	true	439.58	447.97	17
2149_8912_000021_000010	Madam, he saw you, and you know the rest....I have come to make no demands--to utter no threats; I have come simply as a father in great grief about this only child, and I beseech you to deal kindly with my daughter, and to do nothing which can turn her husband's heart away from her forever. Forbid him your presence, ma'am, and speak to him on his duty as one with your power over him well can do, and I am hopeful that the rent between them may be patched up.	Madam, he saw you, and you know the rest....I have come to make no demands-to utter no threats; I have come simply as a father in great grief about this only child, and I beseech you to deal kindly with my daughter, and to do nothing which can turn her husband's heart away from her forever. Forbid him your presence, ma'am, and speak to him on his duty as one with your power over him well can do, and I am hopeful that the rent between them may be patched up.	false	448.25	477	21.28074
2149_8912_000021_000011	For it is not as if you would lose by so doing; your course is far higher than the courses of a simple professional man, and the gratitude you would win from me and mine by your kindness is more than I can say."	For it is not as if you would lose by so doing; your course is far higher than the courses of a simple professional man, and the gratitude you would win from me and mine by your kindness is more than I can say."	true	477	489.94	19
2149_8912_000022_000000	Mrs. Charmond had first rushed into a mood of indignation on comprehending Melbury's story; hot and cold by turns, she had murmured, "Leave me, leave me!" But as he seemed to take no notice of this, his words began to influence her, and when he ceased speaking she said, with hurried, hot breath, "What has led you to think this of me?	mrs Charmond had first rushed into a mood of indignation on comprehending Melbury's story; hot and cold by turns, she had murmured, "Leave me, leave me!" But as he seemed to take no notice of this, his words began to influence her, and when he ceased speaking she said, with hurried, hot breath, "What has led you to think this of me?	false	491.06	511.305	22.711445
2149_8912_000022_000001	Who says I have won your daughter's husband away from her?	Who says I have won your daughter's husband away from her?	true	511.305	513.94	19
2149_8912_000022_000002	Some monstrous calumnies are afloat--of which I have known nothing until now!"	Some monstrous calumnies are afloat-of which I have known nothing until now!"	true	513.95	518.38	20.374704
2149_8912_000023_000000	Melbury started, and looked at her simply.	Melbury started, and looked at her simply.	true	518.66	521.11	22.654655
2149_8912_000023_000001	"But surely, ma'am, you know the truth better than I?"	"But surely, ma'am, you know the truth better than I?"	true	521.36	524.32	20.780466
2149_8912_000024_000000	Her features became a little pinched, and the touches of powder on her handsome face for the first time showed themselves as an extrinsic film.	Her features became a little pinched, and the touches of powder on her handsome face for the first time showed themselves as an extrinsic film.	true	524.45	532.75	21
2149_8912_000024_000001	"Will you leave me to myself?" she said, with a faintness which suggested a guilty conscience.	"Will you leave me to myself?" she said, with a faintness which suggested a guilty conscience.	true	533.09	538.75	22.940767
2149_8912_000024_000002	"This is so utterly unexpected--you obtain admission to my presence by misrepresentation--"	"This is so utterly unexpected-you obtain admission to my presence by misrepresentation-"	true	539.03	544.63	22
2149_8912_000025_000000	"As God's in heaven, ma'am, that's not true.	"As God's in heaven, ma'am, that's not true.	true	544.64	547.18	19.971651
2149_8912_000025_000001	I made no pretence; and I thought in reason you would know why I had come.	I made no pretence; and I thought in reason you would know why I had come.	true	547.25	551.65	18
2149_8912_000025_000002	This gossip--"	This gossip-"	true	551.72	552.915	29.671474
2149_8912_000026_000000	"I have heard nothing of it.	"I have heard nothing of it.	true	552.915	554.56	19.330454
2149_8912_000026_000001	Tell me of it, I say."	Tell me of it, I say."	true	554.66	556.12	20.458479
2149_8912_000027_000000	"Tell you, ma'am--not I. What the gossip is, no matter.	"Tell you, ma'am-not i What the gossip is, no matter.	true	556.82	561.01	21.968084
2149_8912_000027_000001	What really is, you know.	What really is, you know.	true	561.14	562.84	19.273958
2149_8912_000027_000002	Set facts right, and the scandal will right of itself. But pardon me--I speak roughly; and I came to speak gently, to coax you, beg you to be my daughter's friend.	Set facts right, and the scandal will right of itself. But pardon me-I speak roughly; and I came to speak gently, to coax you, beg you to be my daughter's friend.	false	563.03	572.86	22.290504
2149_8912_000027_000003	She loved you once, ma'am; you began by liking her.	She loved you once, ma'am; you began by liking her.	true	572.9	576.43	22.429443
2149_8912_000027_000004	Then you dropped her without a reason, and it hurt her warm heart more than I can tell ye.	Then you dropped her without a reason, and it hurt her warm heart more than I can tell ye.	true	576.47	580.69	15
2149_8912_000027_000005	But you were within your right as the superior, no doubt.	But you were within your right as the superior, no doubt.	true	581.18	584.26	19.963964
2149_8912_000027_000006	But if you would consider her position now--surely, surely, you would do her no harm!"	But if you would consider her position now-surely, surely, you would do her no harm!"	true	584.48	589.51	19.733501
2149_8912_000028_000000	"Certainly I would do her no harm--I--" Melbury's eye met hers.	"Certainly I would do her no harm-I-" Melbury's eye met hers.	true	589.97	595.03	22.238203
2149_8912_000028_000001	It was curious, but the allusion to Grace's former love for her seemed to touch her more than all Melbury's other arguments.	It was curious, but the allusion to Grace's former love for her seemed to touch her more than all Melbury's other arguments.	true	595.25	602.29	19
2149_8912_000028_000002	"Oh, Melbury," she burst out, "you have made me so unhappy!	"Oh, Melbury," she burst out, "you have made me so unhappy!	true	602.75	606.4	23.105877
2149_8912_000028_000003	How could you come to me like this!	How could you come to me like this!	true	606.44	608.145	21
2149_8912_000028_000004	It is too dreadful!	It is too dreadful!	true	608.145	609.51	22.99138
2149_8912_000028_000005	Now go away--go, go!"	Now go away-go, go!"	true	609.51	611.98	26.561543
2149_8912_000029_000000	"I will," he said, in a husky tone.	"I will," he said, in a husky tone.	true	612.26	615.43	22.420292
2149_8912_000030_000000	As soon as he was out of the room she went to a corner and there sat and writhed under an emotion in which hurt pride and vexation mingled with better sentiments.	As soon as he was out of the room she went to a corner and there sat and writhed under an emotion in which hurt pride and vexation mingled with better sentiments.	false	616.31	625.06	20
2149_8912_000031_000000	Mrs. Charmond's mobile spirit was subject to these fierce periods of stress and storm.	mrs Charmond's mobile spirit was subject to these fierce periods of stress and storm.	true	625.55	630.43	18
2149_8912_000031_000001	She had never so clearly perceived till now that her soul was being slowly invaded by a delirium which had brought about all this; that she was losing judgment and dignity under it, becoming an animated impulse only, a passion incarnate.	She had never so clearly perceived till now that her soul was being slowly invaded by a delirium which had brought about all this; that she was losing judgment and dignity under it, becoming an animated impulse only, a passion incarnate.	true	630.56	644.23	20
2149_8912_000031_000002	A fascination had led her on; it was as if she had been seized by a hand of velvet; and this was where she found herself--overshadowed with sudden night, as if a tornado had passed by.	A fascination had led her on; it was as if she had been seized by a hand of velvet; and this was where she found herself-overshadowed with sudden night, as if a tornado had passed by.	false	644.51	655.84	19.836489
2149_8912_000032_000000	While she sat, or rather crouched, unhinged by the interview, lunch-time came, and then the early afternoon, almost without her consciousness.	While she sat, or rather crouched, unhinged by the interview, lunch time came, and then the early afternoon, almost without her consciousness.	true	656.45	664.99	23.127474
2149_8912_000032_000001	Then "a strange gentleman who says it is not necessary to give his name," was suddenly announced.	Then "a strange gentleman who says it is not necessary to give his name," was suddenly announced.	true	665.09	671.98	20.993677
2149_8912_000033_000000	"I cannot see him, whoever he may be.	"I cannot see him, whoever he may be.	true	672.32	674.59	20.33922
2149_8912_000033_000001	I am not at home to anybody."	I am not at home to anybody."	true	674.69	676.84	21.164436
2149_8912_000034_000000	She heard no more of her visitor; and shortly after, in an attempt to recover some mental serenity by violent physical exercise, she put on her hat and cloak and went out-of-doors, taking a path which led her up the slopes to the nearest spur of the wood.	She heard no more of her visitor; and shortly after, in an attempt to recover some mental serenity by violent physical exercise, she put on her hat and cloak and went out of doors, taking a path which led her up the slopes to the nearest spur of the wood.	true	677.21	692.11	18
2149_8912_000034_000001	She disliked the woods, but they had the advantage of being a place in which she could walk comparatively unobserved.	She disliked the woods, but they had the advantage of being a place in which she could walk comparatively unobserved.	true	692.24	698.79	20.759914
2149_8912_000035_000000	CHAPTER XXXIII.	CHAPTER thirty three.	false	698.79	699.42	-20
2149_8912_000036_000000	There was agitation to-day in the lives of all whom these matters concerned.	There was agitation to day in the lives of all whom these matters concerned.	false	699.42	702.03	18.980284
2149_8912_000036_000001	It was not till the Hintock dinner-time--one o'clock--that Grace discovered her father's absence from the house after a departure in the morning under somewhat unusual conditions.	It was not till the Hintock dinner time-one o'clock-that Grace discovered her father's absence from the house after a departure in the morning under somewhat unusual conditions.	false	702.03	704.25	19.70115
2149_8912_000036_000002	By a little reasoning and inquiry she was able to come to a conclusion on his destination, and to divine his errand.	By a little reasoning and inquiry she was able to come to a conclusion on his destination, and to divine his errand.	false	704.25	710.7	18.918497
