5883_59268_000000_000000	THE SHOOTING-MATCH	THE SHOOTING MATCH	false	8.595	19.21	22.450588
5883_59268_000016_000000	"With all my heart," returned I; "but you must be as clever as I've been, and give me your name."	"With all my heart," returned I; "but you must be as clever as I've been, and give me your name."	true	136.16	141.94	20
5883_59268_000017_000000	"To be sure I will, my old coon; take it, take it, and welcome.	"To be sure I will, my old coon; take it, take it, and welcome.	true	142.49	146.92	21.814438
5883_59268_000017_000001	Anything else about me you'd like to have?"	Anything else about me you'd like to have?"	true	146.96	149.47	24.495554
5883_59268_000018_000000	"No," said I, "there's nothing else about you worth having."	"No," said I, "there's nothing else about you worth having."	true	149.84	153.43	18.506447
5883_59268_000019_000000	"Oh, yes there is, stranger!	"Oh, yes there is, stranger!	true	153.95	155.83	23.74996
5883_59268_000019_000001	Do you see this?" holding up his ponderous rifle with an ease that astonished me.	Do you see this?" holding up his ponderous rifle with an ease that astonished me.	true	155.93	160.57	19.494095
5883_59268_000019_000002	"If you will go with me to the shooting-match, and see me knock out the _bull's-eye_ with her a few times, you'll agree the old _Soap-stick's_ worth something when Billy Curlew puts his shoulder to her."	"If you will go with me to the shooting match, and see me knock out the underscore bull's eye underscore with her a few times, you'll agree the old underscore Soap stick's underscore worth something when Billy Curlew puts his shoulder to her."	false	160.88	171.34	19
5883_59268_000020_000000	This short sentence was replete with information to me.	This short sentence was replete with information to me.	true	171.89	174.85	19
5883_59268_000020_000001	It taught me that my companion was _Billy Curlew_; that he was going to a _shooting-match_; that he called his rifle the _Soap-stick_, and that he was very confident of winning beef with her; or, which is nearly, but not quite the same thing, _driving the cross with her_.	It taught me that my companion was underscore Billy Curlew underscore; that he was going to a underscore shooting match underscore; that he called his rifle the underscore Soap stick underscore, and that he was very confident of winning beef with her; or, which is nearly, but not quite the same thing, underscore driving the cross with her underscore.	false	175.01	191.31	21.3835
5883_59268_000021_000000	"Well," said I, "if the shooting-match is not too far out of my way, I'll go to it with pleasure."	"Well," said I, "if the shooting match is not too far out of my way, I'll go to it with pleasure."	true	191.31	196.93	23.542591
5883_59268_000022_000000	"Unless your way lies through the woods from here," said Billy, "it'll not be much out of your way; for it's only a mile ahead of us, and there is no other road for you to take till you get there; and as that thing you're riding in ain't well suited to fast traveling among brushy knobs, I reckon you won't lose much by going by.	"Unless your way lies through the woods from here," said Billy, "it'll not be much out of your way; for it's only a mile ahead of us, and there is no other road for you to take till you get there; and as that thing you're riding in ain't well suited to fast traveling among brushy knobs, I reckon you won't lose much by going by.	true	197.45	215.86	20.09024
5883_59268_000022_000001	I reckon you hardly ever was at a shooting-match, stranger, from the cut of your coat?"	I reckon you hardly ever was at a shooting match, stranger, from the cut of your coat?"	true	216.11	220.36	20
5883_59268_000023_000000	"Oh, yes," returned I, "many a time.	"Oh, yes," returned I, "many a time.	true	220.88	224.26	24
5883_59268_000023_000001	I won beef at one when I was hardly old enough to hold a shot-gun off-hand."	I won beef at one when I was hardly old enough to hold a shot gun off hand."	true	224.51	228.57	14
5883_59268_000024_000000	"_Children_ don't go to shooting-matches about here," said he, with a smile of incredulity.	"underscore Children underscore don't go to shooting matches about here," said he, with a smile of incredulity.	false	228.57	234.61	20.1861
5883_59268_000024_000001	"I never heard of but one that did, and he was a little _swinge_ cat.	"I never heard of but one that did, and he was a little underscore swinge underscore cat.	false	235.19	239.41	19
5883_59268_000024_000002	He was born a shooting, and killed squirrels before he was weaned."	He was born a shooting, and killed squirrels before he was weaned."	true	239.57	243.7	20
5883_59268_000025_000000	"Nor did _I_ ever hear of but one," replied I, "and that one was myself."	"Nor did underscore I underscore ever hear of but one," replied I, "and that one was myself."	false	244.28	249.34	17.869688
5883_59268_000026_000000	"And where did you win beef so young, stranger?"	"And where did you win beef so young, stranger?"	true	249.71	252.46	12
5883_59268_000027_000000	"At Berry Adams's."	"At Berry Adams's."	false	252.95	254.76	22.106289
5883_59268_000028_000000	"Why, stop, stranger, let me look at you good!	"Why, stop, stranger, let me look at you good!	true	254.76	257.71	23.542107
5883_59268_000028_000001	Is your name _Lyman_ Hall?"	Is your name underscore Lyman underscore Hall?"	false	257.81	259.6	17
5883_59268_000029_000000	"The very same," said I.	"The very same," said i	true	260.18	262.18	16
5883_59268_000030_000000	"Well, dang my buttons, if you ain't the very boy my daddy used to tell me about.	"Well, dang my buttons, if you ain't the very boy my daddy used to tell me about.	true	262.37	266.62	17
5883_59268_000030_000001	I was too young to recollect you myself; but I've heard daddy talk about you many a time.	I was too young to recollect you myself; but I've heard daddy talk about you many a time.	true	266.9	271.78	23.871964
5883_59268_000030_000002	I believe mammy's got a neck-handkerchief now that daddy won on your shooting at Collen Reid's store, when you were hardly knee high.	I believe mammy's got a neck handkerchief now that daddy won on your shooting at Collen Reid's store, when you were hardly knee high.	true	272.06	278.29	17
5883_59268_000030_000003	Come along, Lyman, and I'll go my death upon you at the shooting-match, with the old Soap-stick at your shoulder."	Come along, Lyman, and I'll go my death upon you at the shooting match, with the old Soap stick at your shoulder."	true	278.72	284.28	23
5883_59268_000031_000000	"Ah, Billy," said I, "the old Soap-stick will do much better at your own shoulder.	"Ah, Billy," said I, "the old Soap stick will do much better at your own shoulder.	false	284.28	289.87	21.699327
5883_59268_000031_000001	It was my mother's notion that sent me to the shooting-match at Berry Adams's; and, to tell the honest truth, it was altogether a chance shot that made me win beef; but that wasn't generally known; and most everybody believed that I was carried there on account of my skill in shooting; and my fame was spread far and wide, I well remember.	It was my mother's notion that sent me to the shooting match at Berry Adams's; and, to tell the honest truth, it was altogether a chance shot that made me win beef; but that wasn't generally known; and most everybody believed that I was carried there on account of my skill in shooting; and my fame was spread far and wide, I well remember.	false	290.03	308.74	18
5883_59268_000031_000002	I remember, too, perfectly well, your father's bet on me at the store. _He_ was at the shooting-match, and nothing could make him believe but that I was a great shot with a rifle as well as a shot-gun.	I remember, too, perfectly well, your father's bet on me at the store. underscore He underscore was at the shooting match, and nothing could make him believe but that I was a great shot with a rifle as well as a shot gun.	false	309.14	320.59	22
5883_59268_000031_000003	Bet he would on me, in spite of all I could say, though I assured him that I had never shot a rifle in my life.	Bet he would on me, in spite of all I could say, though I assured him that I had never shot a rifle in my life.	true	321.02	328.03	16
5883_59268_000031_000004	It so happened, too, that there were but two bullets, or, rather, a bullet and a half; and so confident was your father in my skill, that he made me shoot the half bullet; and, strange to tell, by another chance shot, I like to have drove the cross and won his bet."	It so happened, too, that there were but two bullets, or, rather, a bullet and a half; and so confident was your father in my skill, that he made me shoot the half bullet; and, strange to tell, by another chance shot, I like to have drove the cross and won his bet."	false	328.28	344.62	21
5883_59268_000032_000000	"Now I know you're the very chap, for I heard daddy tell that very thing about the half bullet.	"Now I know you're the very chap, for I heard daddy tell that very thing about the half bullet.	true	345.05	350.62	22
5883_59268_000032_000001	Don't say anything about it, Lyman, and darn my old shoes, if I don't tare the lint off the boys with you at the shooting-match.	Don't say anything about it, Lyman, and darn my old shoes, if I don't tare the lint off the boys with you at the shooting match.	true	350.75	357.67	17
5883_59268_000032_000002	They'll never 'spect such a looking man as you are of knowing anything about a rifle.	They'll never 'spect such a looking man as you are of knowing anything about a rifle.	false	357.86	362.89	21
5883_59268_000032_000003	I'll risk your _chance_ shots."	I'll risk your underscore chance underscore shots."	false	363.08	365.05	25.4396
5883_59268_000033_000000	I soon discovered that the father had eaten sour grapes, and the son's teeth were on edge; for Billy was just as incorrigibly obstinate in his belief of my dexterity with a rifle as his father had been before him.	I soon discovered that the father had eaten sour grapes, and the son's teeth were on edge; for Billy was just as incorrigibly obstinate in his belief of my dexterity with a rifle as his father had been before him.	false	365.51	377.71	19
5883_59268_000034_000000	We soon reached the place appointed for the shooting-match.	We soon reached the place appointed for the shooting match.	true	378.56	381.37	23
5883_59268_000034_000001	It went by the name of Sims's Cross Roads, because here two roads intersected each other; and because, from the time that the first had been laid out, Archibald Sims had resided there.	It went by the name of Sims's Cross Roads, because here two roads intersected each other; and because, from the time that the first had been laid out, Archibald Sims had resided there.	false	381.59	392.95	23
5883_59268_000034_000002	Archibald had been a justice of the peace in his day (and where is the man of his age in Georgia who has not?); consequently, he was called 'Squire Sims.	Archibald had been a justice of the peace in his day (and where is the man of his age in Georgia who has not?); consequently, he was called 'Squire Sims.	true	393.32	402.88	20.422647
5883_59268_000034_000003	It is the custom in this state, when a man has once acquired a title, civil or military, to force it upon him as long as he lives; hence the countless number of titled personages who are introduced in these sketches.	It is the custom in this state, when a man has once acquired a title, civil or military, to force it upon him as long as he lives; hence the countless number of titled personages who are introduced in these sketches.	true	403.1	415.9	20
5883_59268_000035_000000	We stopped at the 'squire's door.	We stopped at the 'squire's door.	true	416.87	419.11	23
5883_59268_000035_000001	Billy hastily dismounted, gave me the shake of the hand which he had been reluctantly reserving for a mile back, and, leading me up to the 'squire, thus introduced me: "Uncle Archy, this is Lyman Hall; and for all you see him in these fine clothes, he's a _swinge_ cat; a darn sight cleverer fellow than he looks to be.	Billy hastily dismounted, gave me the shake of the hand which he had been reluctantly reserving for a mile back, and, leading me up to the 'squire, thus introduced me: "Uncle Archy, this is Lyman Hall; and for all you see him in these fine clothes, he's a underscore swinge underscore cat; a darn sight cleverer fellow than he looks to be.	false	419.21	439.29	22.630836
5883_59268_000035_000002	Wait till you see him lift the old Soap-stick, and draw a bead upon the bull's-eye.	Wait till you see him lift the old Soap stick, and draw a bead upon the bull's eye.	false	439.29	444.34	20.807665
5883_59268_000035_000003	You _gwine_ to see fun here to-day.	You underscore gwine underscore to see fun here to day.	false	444.47	446.98	22.307383
5883_59268_000035_000004	Don't say nothing about it."	Don't say nothing about it."	true	447.08	449.04	20.340963
5883_59268_000036_000000	"Well, Mr. Swinge-cat," said the 'squire, "here's to a better acquaintance with you," offering me his hand.	"Well, mr Swinge cat," said the 'squire, "here's to a better acquaintance with you," offering me his hand.	true	449.04	457.3	21.704107
5883_59268_000037_000000	"How goes it, Uncle Archy?" said I, taking his hand warmly (for I am always free and easy with those who are so with me; and in this course I rarely fail to please).	"How goes it, Uncle Archy?" said I, taking his hand warmly (for I am always free and easy with those who are so with me; and in this course I rarely fail to please).	true	457.7	467.32	23
5883_59268_000037_000001	"How's the old woman?"	"How's the old woman?"	false	467.66	469.83	20.09569
5883_59268_000038_000000	"Egad," said the 'squire, chuckling, "there you're too hard for me; for she died two-and-twenty years ago, and I haven't heard a word from her since."	"Egad," said the 'squire, chuckling, "there you're too hard for me; for she died two and twenty years ago, and I haven't heard a word from her since."	false	469.83	479.86	21.59643
5883_59268_000039_000000	"What! and you never married again?"	"What! and you never married again?"	true	480.35	483.55	17.93497
5883_59268_000040_000000	"Never, as God's my judge!" (a solemn asseveration, truly, upon so light a subject.)	"Never, as God's my judge!" (a solemn asseveration, truly, upon so light a subject.)	true	484.01	491.11	19.60126
5883_59268_000041_000000	"Well, that's not my fault."	"Well, that's not my fault."	true	491.33	493.39	23.125296
5883_59268_000042_000000	"No, nor it's not mine, _ni_ther," said the 'squire.	"No, nor it's not mine, underscore ni underscore ther," said the 'squire.	false	493.58	497.62	20.383902
5883_59268_000043_000000	Here we were interrupted by the cry of another Rancey Sniffle.	Here we were interrupted by the cry of another Rancey Sniffle.	true	497.66	501.61	17.752178
5883_59268_000043_000001	"Hello, here!	"Hello, here!	true	502.4	503.95	17.116535
5883_59268_000043_000002	All you as wish to put in for the shoot'n'-match, come on here! for the putt'n' in's _riddy_ to begin."	All you as wish to put in for the shoot'n'-match, come on here! for the putt'n' in's underscore riddy underscore to begin."	false	503.96	510.91	18.583147
5883_59268_000044_000000	About sixty persons, including mere spectators, had collected; the most of whom were more or less obedient to the call of Mealy Whitecotton, for that was the name of the self-constituted commander-in-chief.	About sixty persons, including mere spectators, had collected; the most of whom were more or less obedient to the call of Mealy Whitecotton, for that was the name of the self constituted commander in chief.	true	511.73	523.54	19.564756
5883_59268_000044_000001	Some hastened and some loitered, as they desired to be first or last on the list; for they shoot in the order in which their names are entered.	Some hastened and some loitered, as they desired to be first or last on the list; for they shoot in the order in which their names are entered.	false	523.58	532.45	21
5883_59268_000045_000000	The beef was not present, nor is it ever upon such occasions; but several of the company had seen it, who all concurred in the opinion that it was a good beef, and well worth the price that was set upon it--eleven dollars.	The beef was not present, nor is it ever upon such occasions; but several of the company had seen it, who all concurred in the opinion that it was a good beef, and well worth the price that was set upon it-eleven dollars.	true	533.03	545.26	21
5883_59268_000045_000001	A general inquiry ran around, in order to form some opinion as to the number of shots that would be taken; for, of course, the price of a shot is cheapened in proportion to the increase of that number.	A general inquiry ran around, in order to form some opinion as to the number of shots that would be taken; for, of course, the price of a shot is cheapened in proportion to the increase of that number.	true	545.93	557.2	21
5883_59268_000045_000002	It was soon ascertained that not more than twenty persons would take chances; but these twenty agreed to take the number of shots, at twenty-five cents each.	It was soon ascertained that not more than twenty persons would take chances; but these twenty agreed to take the number of shots, at twenty five cents each.	true	557.63	566.2	21
5883_59268_000046_000000	The competitors now began to give in their names; some for one, some for two, three, and a few for as many as four shots.	The competitors now began to give in their names; some for one, some for two, three, and a few for as many as four shots.	false	566.78	575.23	22.386593
5883_59268_000047_000000	Billy Curlew hung back to the last; and when the list was offered him, five shots remained undisposed of.	Billy Curlew hung back to the last; and when the list was offered him, five shots remained undisposed of.	false	575.63	582.61	24.952002
5883_59268_000048_000000	"How many shots left?" inquired Billy.	"How many shots left?" inquired Billy.	true	583.16	585.88	24.580946
5883_59268_000049_000000	"Five," was the reply.	"Five," was the reply.	true	586.28	588.28	25.641014
5883_59268_000050_000000	"Well, I take 'em all.	"Well, I take 'em all.	false	588.89	590.83	20.052471
5883_59268_000050_000001	Put down four shots to me, and one to Lyman Hall, paid for by William Curlew."	Put down four shots to me, and one to Lyman Hall, paid for by William Curlew."	true	590.93	596.65	20
5883_59268_000051_000000	I was thunder-struck, not at his proposition to pay for my shot, because I knew that Billy meant it as a token of friendship, and he would have been hurt if I had refused to let him do me this favor; but at the unexpected announcement of my name as a competitor for beef, at least one hundred miles from the place of my residence.	I was thunder struck, not at his proposition to pay for my shot, because I knew that Billy meant it as a token of friendship, and he would have been hurt if I had refused to let him do me this favor; but at the unexpected announcement of my name as a competitor for beef, at least one hundred miles from the place of my residence.	true	597.05	614.92	21.127777
5883_59268_000051_000001	I was prepared for a challenge from Billy to some of his neighbors for a _private_ match upon me; but not for this.	I was prepared for a challenge from Billy to some of his neighbors for a underscore private underscore match upon me; but not for this.	false	615.44	621.4	17
5883_59268_000052_000000	I therefore protested against his putting in for me, and urged every reason to dissuade him from it that I could, without wounding his feelings.	I therefore protested against his putting in for me, and urged every reason to dissuade him from it that I could, without wounding his feelings.	true	621.68	629.65	21
5883_59268_000053_000000	"Put it down!" said Billy, with the authority of an emperor, and with a look that spoke volumes intelligible to every by-stander.	"Put it down!" said Billy, with the authority of an emperor, and with a look that spoke volumes intelligible to every by stander.	true	630.17	637.18	20
5883_59268_000053_000001	"Reckon I don't know what I'm about?" Then wheeling off, and muttering in an under, self-confident tone, "Dang old Roper," continued he, "if he don't knock that cross to the north corner of creation and back again before a cat can lick her foot."	"Reckon I don't know what I'm about?" Then wheeling off, and muttering in an under, self confident tone, "Dang old Roper," continued he, "if he don't knock that cross to the north corner of creation and back again before a cat can lick her foot."	true	637.52	652.42	23.0291
5883_59268_000054_000000	Had I been king of the cat tribe, they could not have regarded me with more curious attention than did the whole company from this moment. Every inch of me was examined with the nicest scrutiny; and some plainly expressed by their looks that they never would have taken me for such a bite.	Had I been king of the cat tribe, they could not have regarded me with more curious attention than did the whole company from this moment. Every inch of me was examined with the nicest scrutiny; and some plainly expressed by their looks that they never would have taken me for such a bite.	true	653.03	667.93	19
5883_59268_000054_000001	I saw no alternative but to throw myself upon a third chance shot; for though, by the rules of the sport, I would have been allowed to shoot by proxy, by all the rules of good breeding I was bound to shoot in person.	I saw no alternative but to throw myself upon a third chance shot; for though, by the rules of the sport, I would have been allowed to shoot by proxy, by all the rules of good breeding I was bound to shoot in person.	true	668.45	679.96	19
5883_59268_000054_000002	It would have been unpardonable to disappoint the expectations which had been raised on me.	It would have been unpardonable to disappoint the expectations which had been raised on me.	false	680.18	685.09	14
5883_59268_000054_000003	Unfortunately, too, for me, the match differed in one respect from those which I had been in the habit of attending in my younger days.	Unfortunately, too, for me, the match differed in one respect from those which I had been in the habit of attending in my younger days.	true	685.52	692.56	17
5883_59268_000054_000004	In olden times the contest was carried on chiefly with _shot-guns_, a generic term which, in those days, embraced three descriptions of firearms: _Indian-traders_ (a long, cheap, but sometimes excellent kind of gun, that mother Britain used to send hither for traffic with the Indians), _the large musket_, and the _shot-gun_, properly so-called.	In olden times the contest was carried on chiefly with underscore shot guns underscore, a generic term which, in those days, embraced three descriptions of firearms: underscore Indian traders underscore (a long, cheap, but sometimes excellent kind of gun, that mother Britain used to send hither for traffic with the Indians), underscore the large musket underscore, and the underscore shot gun underscore, properly so-called.	false	692.9	715.66	21.195093
5883_59268_000054_000005	Rifles were, however, always permitted to compete with them, under equitable restrictions.	Rifles were, however, always permitted to compete with them, under equitable restrictions.	true	716.42	721.45	19
5883_59268_000054_000006	These were, that they should be fired off-hand, while the shot-guns were allowed a rest, the distance being equal; or that the distance should be one hundred yards for a rifle, to sixty for the shot-gun, the mode of firing being equal.	These were, that they should be fired off hand, while the shot guns were allowed a rest, the distance being equal; or that the distance should be one hundred yards for a rifle, to sixty for the shot gun, the mode of firing being equal.	true	721.91	734.89	21.166634
5883_59268_000055_000000	But this was a match of rifles exclusively; and these are by far the most common at this time.	But this was a match of rifles exclusively; and these are by far the most common at this time.	true	735.62	740.68	15
5883_59268_000056_000000	Most of the competitors fire at the same target; which is usually a board from nine inches to a foot wide, charred on one side as black as it can be made by fire, without impairing materially the uniformity of its surface; on the darkened side of which is _pegged_ a square piece of white paper, which is larger or smaller, according to the distance at which it is to be placed from the marksmen.	Most of the competitors fire at the same target; which is usually a board from nine inches to a foot wide, charred on one side as black as it can be made by fire, without impairing materially the uniformity of its surface; on the darkened side of which is underscore pegged underscore a square piece of white paper, which is larger or smaller, according to the distance at which it is to be placed from the marksmen.	false	740.96	762.88	20
5883_59268_000056_000001	This is almost invariably sixty yards, and for it the paper is reduced to about two and a half inches square.	This is almost invariably sixty yards, and for it the paper is reduced to about two and a half inches square.	false	763.67	770.56	22
5883_59268_000056_000002	Out of the center of it is cut a rhombus of about the width of an inch, measured diagonally; this is the _bull's-eye_, or _diamond_, as the marksmen choose to call it; in the center of this is the cross.	Out of the center of it is cut a rhombus of about the width of an inch, measured diagonally; this is the underscore bull's eye underscore, or underscore diamond underscore, as the marksmen choose to call it; in the center of this is the cross.	false	770.96	781.84	19
5883_59268_000056_000003	But every man is permitted to fix his target to his own taste; and accordingly, some remove one-fourth of the paper, cutting from the center of the square to the two lower corners, so as to leave a large angle opening from the center downward; while others reduce the angle more or less: but it is rarely the case that all are not satisfied with one of these figures.	But every man is permitted to fix his target to his own taste; and accordingly, some remove one fourth of the paper, cutting from the center of the square to the two lower corners, so as to leave a large angle opening from the center downward; while others reduce the angle more or less: but it is rarely the case that all are not satisfied with one of these figures.	true	781.97	802.24	19
5883_59268_000057_000000	The beef is divided into five prizes, or, as they are commonly termed, five _quarters_--the hide and tallow counting as one.	The beef is divided into five prizes, or, as they are commonly termed, five underscore quarters underscore--the hide and tallow counting as one.	false	803.15	811.21	24.95424
5883_59268_000057_000001	For several years after the revolutionary war, a sixth was added: the _lead_ which was shot in the match.	For several years after the revolutionary war, a sixth was added: the underscore lead underscore which was shot in the match.	false	811.64	818.29	20.118275
5883_59268_000057_000002	This was the prize of the sixth best shot; and it used to be carefully extracted from the board or tree in which it was lodged, and afterward remoulded.	This was the prize of the sixth best shot; and it used to be carefully extracted from the board or tree in which it was lodged, and afterward remoulded.	true	818.42	826.9	18
5883_59268_000057_000003	But this grew out of the exigency of the times, and has, I believe, been long since abandoned everywhere.	But this grew out of the exigency of the times, and has, I believe, been long since abandoned everywhere.	false	827.3	833.26	15
5883_59268_000058_000000	The three master shots and rivals were Moses Firmby, Larkin Spivey and Billy Curlew; to whom was added, upon this occasion, by common consent and with awful forebodings, your humble servant.	The three master shots and rivals were Moses Firmby, Larkin Spivey and Billy Curlew; to whom was added, upon this occasion, by common consent and with awful forebodings, your humble servant.	true	833.93	846.01	19
5883_59268_000059_000000	The target was fixed at an elevation of about three feet from the ground; and the judges (Captain Turner and 'Squire Porter) took their stands by it, joined by about half the spectators.	The target was fixed at an elevation of about three feet from the ground; and the judges (Captain Turner and 'Squire Porter) took their stands by it, joined by about half the spectators.	false	846.5	857.26	20.903086
5883_59268_000060_000000	The first name on the catalogue was Mealy Whitecotton.	The first name on the catalogue was Mealy Whitecotton.	true	858.05	861.13	15
5883_59268_000060_000001	Mealy stepped out, rifle in hand, and toed the mark.	Mealy stepped out, rifle in hand, and toed the mark.	true	861.38	864.73	25.154741
5883_59268_000060_000002	His rifle was about three inches longer than himself, and near enough his own thickness to make the remark of Darby Chislom, as he stepped out, tolerably appropriate: "Here comes the corn-stalk and the sucker!" said Darby.	His rifle was about three inches longer than himself, and near enough his own thickness to make the remark of Darby Chislom, as he stepped out, tolerably appropriate: "Here comes the corn stalk and the sucker!" said Darby.	false	864.86	878.08	23
5883_59268_000061_000000	"Kiss my foot!" said Mealy.	"Kiss my foot!" said Mealy.	true	878.75	880.78	25.513798
5883_59268_000061_000001	"The way I'll creep into that bull's-eye's a fact."	"The way I'll creep into that bull's eye's a fact."	true	881	883.74	22.245457
5883_59268_000062_000000	"You'd better creep into your hind sight," said Darby.	"You'd better creep into your hind sight," said Darby.	false	883.74	887.38	22.28786
5883_59268_000062_000001	Mealy raised and fired.	Mealy raised and fired.	true	887.42	889.33	19.337725
5883_59268_000063_000000	"A pretty good shot, Mealy!" said one.	"A pretty good shot, Mealy!" said one.	true	889.88	892.48	25.334194
5883_59268_000064_000000	"Yes, a blamed good shot!" said a second.	"Yes, a blamed good shot!" said a second.	true	892.79	895.33	17.91971
5883_59268_000065_000000	"Well done, Meal!" said a third.	"Well done, Meal!" said a third.	true	895.7	898.06	16.257927
5883_59268_000066_000000	I was rejoiced when one of the company inquired, "Where is it?" for I could hardly believe they were founding these remarks upon the evidence of their senses.	I was rejoiced when one of the company inquired, "Where is it?" for I could hardly believe they were founding these remarks upon the evidence of their senses.	true	898.64	906.4	22.498741
5883_59268_000067_000000	"Just on the right-hand side of the bull's-eye," was the reply.	"Just on the right-hand side of the bull's eye," was the reply.	true	906.8	909.91	17
5883_59268_000068_000000	I looked with all the power of my eyes, but was unable to discover the least change in the surface of the paper.	I looked with all the power of my eyes, but was unable to discover the least change in the surface of the paper.	true	910.22	915.73	22
5883_59268_000068_000001	Their report, however, was true; so much keener is the vision of a practiced than an unpracticed eye.	Their report, however, was true; so much keener is the vision of a practiced than an unpracticed eye.	true	916.16	921.91	20
5883_59268_000069_000000	The next in order was Hiram Baugh.	The next in order was Hiram Baugh.	false	922.4	924.6	23.725666
5883_59268_000069_000001	Hiram was like some race-horses which I have seen; he was too good not to contend for every prize, and too good for nothing ever to win one.	Hiram was like some race horses which I have seen; he was too good not to contend for every prize, and too good for nothing ever to win one.	false	924.6	933.73	22.896341
5883_59268_000070_000000	"Gentlemen," said he, as he came to the mark, "I don't say that I'll win beef; but if my piece don't blow, I'll eat the paper, or be mighty apt to do it, if you'll b'lieve my racket.	"Gentlemen," said he, as he came to the mark, "I don't say that I'll win beef; but if my piece don't blow, I'll eat the paper, or be mighty apt to do it, if you'll b'lieve my racket.	false	934.34	946.03	23.391176
