8152_258974_000002_000000	CHAPTER 22	CHAPTER twenty two
8152_258974_000024_000008	The negro's low measure of industrial virtues is partly the cause of the prejudice against him, but in turn doubtless inherited class feeling is in some measure the cause of his inefficiency.	The negro's low measure of industrial virtues is partly the cause of the prejudice against him, but in turn doubtless inherited class feeling is in some measure the cause of his inefficiency.
8152_258974_000024_000009	To close to a worker all but the menial occupations is to take from him the most powerful motives for effort.	To close to a worker all but the menial occupations is to take from him the most powerful motives for effort.
8152_258974_000024_000010	The thought is paralyzing.	The thought is paralyzing.
8152_258974_000024_000011	The race problem in America is in part one of caste sentiment, whatever can or cannot be done about it.	The race problem in America is in part one of caste sentiment, whatever can or cannot be done about it.
8152_258974_000026_000003	To Western eyes already the young men in the older East seem to be trammeled by social conventions.	To Western eyes already the young men in the older East seem to be trammeled by social conventions.
8152_258974_000026_000004	In an older community there is less of hopeful ambition; one's position depends more on what his fathers achieved; in the new community, more on what he does himself.	In an older community there is less of hopeful ambition; one's position depends more on what his fathers achieved; in the new community, more on what he does himself.
8152_258974_000026_000005	If it is true, as wise students declare, that the frontier has been the nursery of our democratic ideas, we may well ask what effect the closing of the frontier will have on our national sentiment and on our material prosperity.	If it is true, as wise students declare, that the frontier has been the nursery of our democratic ideas, we may well ask what effect the closing of the frontier will have on our national sentiment and on our material prosperity.
8152_258974_000028_000000	4.	four.
8152_258974_000028_000003	The answer is determined by the balance of utility and disutility.	The answer is determined by the balance of utility and disutility.
8152_258974_000028_000005	Does the pain of toil repel more than its fruits attract?	Does the pain of toil repel more than its fruits attract?
8152_258974_000028_000006	The use made of spare time differs according to climate, race, and temperament.	The use made of spare time differs according to climate, race, and temperament.
8152_258974_000028_000007	In the tropics the margin is converted usually into loafing, in the temperate zones largely into objective forms of enjoyment.	In the tropics the margin is converted usually into loafing, in the temperate zones largely into objective forms of enjoyment.
8152_258974_000028_000009	The prudent man, in the old maxims, makes hay while the sun shines and ploughs deep while sluggards sleep.	The prudent man, in the old maxims, makes hay while the sun shines and ploughs deep while sluggards sleep.
8152_258974_000028_000010	In the modern larger organization of industry, working hours are much the same for all workers in the establishment.	In the modern larger organization of industry, working hours are much the same for all workers in the establishment.
8152_258974_000028_000011	Individual preferences are still expressed, however, in irregularity of employment. In the South some manufacturers have found that on an average the negroes will work in a factory not more than five or six hours a day, working ten hours for four days and lying off two days a week.	Individual preferences are still expressed, however, in irregularity of employment. In the South some manufacturers have found that on an average the negroes will work in a factory not more than five or six hours a day, working ten hours for four days and lying off two days a week.
8152_258974_000028_000013	A moderate change in that direction cannot but increase rather than diminish the efficiency of labor.	A moderate change in that direction cannot but increase rather than diminish the efficiency of labor.
8152_258974_000029_000001	III. DIVISION OF LABOR	three. DIVISION OF LABOR
8152_258974_000031_000000	1.	one.
8152_258974_000031_000002	Its full discussion would cover the whole field of political economy, but only its most essential aspects can here be touched upon.	Its full discussion would cover the whole field of political economy, but only its most essential aspects can here be touched upon.
8152_258974_000031_000007	The worker finds division of labor existing as a social institution and, according as he adapts himself to it wisely or foolishly, it increases more or less his efficiency.	The worker finds division of labor existing as a social institution and, according as he adapts himself to it wisely or foolishly, it increases more or less his efficiency.
8152_258974_000033_000000	2.	two.
8152_258974_000033_000004	The natural advantages in another district must be large to enable it to start successfully against these acquired economies, and territorial division of labor thus tends to continue for long periods when once established.	The natural advantages in another district must be large to enable it to start successfully against these acquired economies, and territorial division of labor thus tends to continue for long periods when once established.
8152_258974_000035_000000	3.	three.
8152_258974_000035_000002	It is none too many, as every reason for the modern, as contrasted with the primitive, organization of industry should be included.	It is none too many, as every reason for the modern, as contrasted with the primitive, organization of industry should be included.
8152_258974_000035_000003	The phrase division of labor is but a synonym for specialization, a word that expresses all that is most characteristic of our complex industrial society.	The phrase division of labor is but a synonym for specialization, a word that expresses all that is most characteristic of our complex industrial society.
8152_258974_000035_000004	The headings just given may serve, however, to suggest the leading phases of the subject.	The headings just given may serve, however, to suggest the leading phases of the subject.
8152_258974_000035_000009	In fact this fuller economic use of machinery and plant where a large product is turned out at one place, is a prime factor in the advantages of large production, a subject to be treated elsewhere much more fully than is here possible.	In fact this fuller economic use of machinery and plant where a large product is turned out at one place, is a prime factor in the advantages of large production, a subject to be treated elsewhere much more fully than is here possible.
8152_258974_000035_000012	The most complex machines have been developed gradually by combinations and adaptations of simple tools, and the more a process is subdivided, the greater is the chance of hitting upon a device to repeat mechanically the few simple movements.	The most complex machines have been developed gradually by combinations and adaptations of simple tools, and the more a process is subdivided, the greater is the chance of hitting upon a device to repeat mechanically the few simple movements.
8152_258974_000038_000002	The world is filled with industrial misfits, "round men in square holes," good carpenters spoiled to make poor doctors.	The world is filled with industrial misfits, "round men in square holes," good carpenters spoiled to make poor doctors.
8152_258974_000038_000004	Unreasoning imitation, family traditions, parental wishes, class pride, social prejudice, childish whim, are often decisive of the life career.	Unreasoning imitation, family traditions, parental wishes, class pride, social prejudice, childish whim, are often decisive of the life career.
8152_258974_000038_000005	Happily in some cases, before too late, the man "finds himself," but too often the poverty of the family and the obstacles to education preclude the exercise of intelligent choice.	Happily in some cases, before too late, the man "finds himself," but too often the poverty of the family and the obstacles to education preclude the exercise of intelligent choice.
8152_258974_000038_000006	It is of importance to society as well as to the individual that talent should be discovered in time, that tasks should be fitted to aptitudes, that each member of society should attain to his highest efficiency.	It is of importance to society as well as to the individual that talent should be discovered in time, that tasks should be fitted to aptitudes, that each member of society should attain to his highest efficiency.
