7720_105168_000001_000000	Chapter XIII	Chapter thirteen
7720_105168_000023_000004	At first Tarzan thought of fitting an arrow to his bow and slaying Usanga, but as quickly he abandoned the idea because he knew that the moment the pilot was slain the machine, running wild, would dash the girl to death among the trees.	At first Tarzan thought of fitting an arrow to his bow and slaying Usanga, but as quickly he abandoned the idea because he knew that the moment the pilot was slain the machine, running wild, would dash the girl to death among the trees.
7720_105168_000025_000000	Usanga did not see him, being too intent upon the unaccustomed duties of a pilot, but the blacks across the meadow saw him and they ran forward with loud and savage cries and menacing rifles to intercept him.	Usanga did not see him, being too intent upon the unaccustomed duties of a pilot, but the blacks across the meadow saw him and they ran forward with loud and savage cries and menacing rifles to intercept him.
7720_105168_000025_000001	They saw a giant white man leap from the branches of a tree to the turf and race rapidly toward the plane.	They saw a giant white man leap from the branches of a tree to the turf and race rapidly toward the plane.
7720_105168_000025_000002	They saw him take a long grass rope from about his shoulders as he ran.	They saw him take a long grass rope from about his shoulders as he ran.
7720_105168_000025_000004	They saw the white girl in the machine glance down and discover him.	They saw the white girl in the machine glance down and discover him.
7720_105168_000026_000000	Twenty feet above the running ape-man soared the huge plane.	Twenty feet above the running ape man soared the huge plane.
7720_105168_000026_000002	Simultaneously Tarzan was dragged from his feet and the plane lurched sideways in response to the new strain.	Simultaneously Tarzan was dragged from his feet and the plane lurched sideways in response to the new strain.
7720_105168_000026_000003	Usanga clutched wildly at the control and the machine shot upward at a steep angle.	Usanga clutched wildly at the control and the machine shot upward at a steep angle.
7720_105168_000026_000004	Dangling at the end of the rope the ape-man swung pendulum-like in space.	Dangling at the end of the rope the ape man swung pendulum like in space.
7720_105168_000026_000005	The Englishman, lying bound upon the ground, had been a witness of all these happenings. His heart stood still as he saw Tarzan's body hurtling through the air toward the tree tops among which it seemed he must inevitably crash; but the plane was rising rapidly, so that the beast-man cleared the top-most branches.	The Englishman, lying bound upon the ground, had been a witness of all these happenings. His heart stood still as he saw Tarzan's body hurtling through the air toward the tree tops among which it seemed he must inevitably crash; but the plane was rising rapidly, so that the beast man cleared the top most branches.
7720_105168_000026_000006	Then slowly, hand over hand, he climbed toward the fuselage.	Then slowly, hand over hand, he climbed toward the fuselage.
7720_105168_000026_000007	The girl, clinging desperately to the noose, strained every muscle to hold the great weight dangling at the lower end of the rope.	The girl, clinging desperately to the noose, strained every muscle to hold the great weight dangling at the lower end of the rope.
7720_105168_000027_000000	Usanga, all unconscious of what was going on behind him, drove the plane higher and higher into the air.	Usanga, all unconscious of what was going on behind him, drove the plane higher and higher into the air.
7720_105168_000028_000000	Tarzan glanced downward.	Tarzan glanced downward.
7720_105168_000029_000000	It seemed to Bertha Kircher that the fingers of her hands were dead. The numbness was running up her arms to her elbows.	It seemed to Bertha Kircher that the fingers of her hands were dead. The numbness was running up her arms to her elbows.
7720_105168_000029_000002	It seemed to her that those lifeless fingers must relax at any instant and then, when she had about given up hope, she saw a strong brown hand reach up and grasp the side of the fuselage.	It seemed to her that those lifeless fingers must relax at any instant and then, when she had about given up hope, she saw a strong brown hand reach up and grasp the side of the fuselage.
7720_105168_000029_000003	Instantly the weight upon the rope was removed and a moment later Tarzan of the Apes raised his body above the side and threw a leg over the edge. He glanced forward at Usanga and then, placing his mouth close to the girl's ear he cried: "Have you ever piloted a plane?" The girl nodded a quick affirmative.	Instantly the weight upon the rope was removed and a moment later Tarzan of the Apes raised his body above the side and threw a leg over the edge. He glanced forward at Usanga and then, placing his mouth close to the girl's ear he cried: "Have you ever piloted a plane?" The girl nodded a quick affirmative.
7720_105168_000030_000000	"Have you the courage to climb up there beside the black and seize the control while I take care of him?"	"Have you the courage to climb up there beside the black and seize the control while I take care of him?"
7720_105168_000031_000000	The girl looked toward Usanga and shuddered.	The girl looked toward Usanga and shuddered.
7720_105168_000031_000001	"Yes," she replied, "but my feet are bound."	"Yes," she replied, "but my feet are bound."
7720_105168_000032_000000	Tarzan drew his hunting knife from its sheath and reaching down, severed the thongs that bound her ankles.	Tarzan drew his hunting knife from its sheath and reaching down, severed the thongs that bound her ankles.
7720_105168_000032_000001	Then the girl unsnapped the strap that held her to her seat.	Then the girl unsnapped the strap that held her to her seat.
7720_105168_000032_000002	With one hand Tarzan grasped the girl's arm and steadied her as the two crawled slowly across the few feet which intervened between the two seats.	With one hand Tarzan grasped the girl's arm and steadied her as the two crawled slowly across the few feet which intervened between the two seats.
7720_105168_000032_000003	A single slight tip of the plane would have cast them both into eternity.	A single slight tip of the plane would have cast them both into eternity.
7720_105168_000032_000004	Tarzan realized that only through a miracle of chance could they reach Usanga and effect the change in pilots and yet he knew that that chance must be taken, for in the brief moments since he had first seen the plane, he had realized that the black was almost without experience as a pilot and that death surely awaited them in any event should the black sergeant remain at the control.	Tarzan realized that only through a miracle of chance could they reach Usanga and effect the change in pilots and yet he knew that that chance must be taken, for in the brief moments since he had first seen the plane, he had realized that the black was almost without experience as a pilot and that death surely awaited them in any event should the black sergeant remain at the control.
7720_105168_000033_000000	The first intimation Usanga had that all was not well with him was when the girl slipped suddenly to his side and grasped the control and at the same instant steel-like fingers seized his throat.	The first intimation Usanga had that all was not well with him was when the girl slipped suddenly to his side and grasped the control and at the same instant steel like fingers seized his throat.
7720_105168_000033_000002	Usanga clawed the air and shrieked but he was helpless as a babe.	Usanga clawed the air and shrieked but he was helpless as a babe.
7720_105168_000033_000003	Far below the watchers in the meadow could see the aeroplane careening in the sky, for with the change of control it had taken a sudden dive.	Far below the watchers in the meadow could see the aeroplane careening in the sky, for with the change of control it had taken a sudden dive.
7720_105168_000033_000005	Turning and twisting in mid-air it fell with ever-increasing velocity and the Englishman held his breath as the thing hurtled toward them.	Turning and twisting in mid-air it fell with ever increasing velocity and the Englishman held his breath as the thing hurtled toward them.
7720_105168_000034_000001	Usanga had reaped his reward.	Usanga had reaped his reward.
7720_105168_000035_000000	Again and again the plane circled above the meadow.	Again and again the plane circled above the meadow.
7720_105168_000035_000001	The blacks, at first dismayed at the death of their leader, were now worked to a frenzy of rage and a determination to be avenged.	The blacks, at first dismayed at the death of their leader, were now worked to a frenzy of rage and a determination to be avenged.
7720_105168_000036_000003	Dead and dying they lay strewn for fifty feet along the turf.	Dead and dying they lay strewn for fifty feet along the turf.
7720_105168_000038_000000	"You saved yourself," he insisted, "for had you been unable to pilot the plane, I could not have helped you, and now," he said, "you two have the means of returning to the settlements.	"You saved yourself," he insisted, "for had you been unable to pilot the plane, I could not have helped you, and now," he said, "you two have the means of returning to the settlements.
7720_105168_000038_000001	The day is still young.	The day is still young.
7720_105168_000038_000002	You can easily cover the distance in a few hours if you have sufficient petrol." He looked inquiringly toward the aviator.	You can easily cover the distance in a few hours if you have sufficient petrol." He looked inquiringly toward the aviator.
7720_105168_000039_000000	Smith-Oldwick nodded his head affirmatively.	Smith Oldwick nodded his head affirmatively.
7720_105168_000039_000001	"I have plenty," he replied.	"I have plenty," he replied.
7720_105168_000040_000001	"Neither of you belong in the jungle." A slight smile touched his lips as he spoke.	"Neither of you belong in the jungle." A slight smile touched his lips as he spoke.
7720_105168_000041_000000	The girl and the Englishman smiled too.	The girl and the Englishman smiled too.
7720_105168_000041_000001	"This jungle is no place for us at least," said Smith-Oldwick, "and it is no place for any other white man.	"This jungle is no place for us at least," said Smith Oldwick, "and it is no place for any other white man.
7720_105168_000041_000002	Why don't you come back to civilization with us?"	Why don't you come back to civilization with us?"
7720_105168_000042_000000	Tarzan shook his head.	Tarzan shook his head.
7720_105168_000042_000001	"I prefer the jungle," he said.	"I prefer the jungle," he said.
7720_105168_000043_000000	The aviator dug his toe into the ground and still looking down, blurted something which he evidently hated to say.	The aviator dug his toe into the ground and still looking down, blurted something which he evidently hated to say.
7720_105168_000044_000000	Tarzan laughed.	Tarzan laughed.
7720_105168_000044_000001	"No," he said.	"No," he said.
7720_105168_000044_000002	"I know what you are trying to say. It is not that.	"I know what you are trying to say. It is not that.
7720_105168_000044_000003	I was born in the jungle.	I was born in the jungle.
7720_105168_000044_000004	I have lived all my life in the jungle, and I shall die in the jungle.	I have lived all my life in the jungle, and I shall die in the jungle.
7720_105168_000044_000005	I do not wish to live or die elsewhere."	I do not wish to live or die elsewhere."
7720_105168_000045_000000	The others shook their heads.	The others shook their heads.
7720_105168_000045_000001	They could not understand him.	They could not understand him.
7720_105168_000046_000001	"The quicker you go, the quicker you will reach safety."	"The quicker you go, the quicker you will reach safety."
7720_105168_000047_000000	They walked to the plane together.	They walked to the plane together.
7720_105168_000047_000001	Smith-Oldwick pressed the ape-man's hand and clambered into the pilot's seat.	Smith Oldwick pressed the ape man's hand and clambered into the pilot's seat.
7720_105168_000047_000002	"Good-bye," said the girl as she extended her hand to Tarzan.	"Good bye," said the girl as she extended her hand to Tarzan.
7720_105168_000047_000003	"Before I go won't you tell me you don't hate me any more?" Tarzan's face clouded. Without a word he picked her up and lifted her to her place behind the Englishman.	"Before I go won't you tell me you don't hate me any more?" Tarzan's face clouded. Without a word he picked her up and lifted her to her place behind the Englishman.
7720_105168_000047_000004	An expression of pain crossed Bertha Kircher's face.	An expression of pain crossed Bertha Kircher's face.
