1212_185485_000000_000000	The "humbug" in this transaction, of course consisted solely in the manner of advertising.	The "humbug" in this transaction, of course consisted solely in the manner of advertising.	false	2.37	10.92	16
1212_185485_000014_000003	Suffice it to say, that the only "humbug" which I suspect in connection with the pills was, the very harmless and unobjectionable yet novel method of advertising them; and as the doctor amassed a great fortune by their manufacture, this very fact is _prima facie_ evidence that the pill was a valuable purgative.	Suffice it to say, that the only "humbug" which I suspect in connection with the pills was, the very harmless and unobjectionable yet novel method of advertising them; and as the doctor amassed a great fortune by their manufacture, this very fact is underscore prima facie underscore evidence that the pill was a valuable purgative.	false	377.6	399.1	20.275244
1212_185485_000015_000000	A funny incident occurred to me in connection with this great pill.	A funny incident occurred to me in connection with this great pill.	true	399.23	402.87	14
1212_185485_000015_000001	In the year 1836, while I was travelling through the States of Alabama, Mississippi, and Louisiana, I became convinced by reading Doctor Brandreth's advertisements that I needed his pills.	In the year eighteen thirty six, while I was travelling through the States of Alabama, Mississippi, and Louisiana, I became convinced by reading Doctor Brandreth's advertisements that I needed his pills.	false	402.87	415	17
1212_185485_000015_000002	Indeed, I there read the proof that every symptom that I experienced, either in imagination or in reality, rendered their extensive consumption absolutely necessary to preserve my life.	Indeed, I there read the proof that every symptom that I experienced, either in imagination or in reality, rendered their extensive consumption absolutely necessary to preserve my life.	true	415.34	426.79	14
1212_185485_000015_000003	I purchased a box of Brandreth's Pills in Columbus, Miss.	I purchased a box of Brandreth's Pills in Columbus, Miss.	false	427.07	431.22	17
1212_185485_000015_000004	The effect was miraculous!	The effect was miraculous!	true	431.22	433.09	19
1212_185485_000015_000005	Of course, it was just what the advertisement told me it would be.	Of course, it was just what the advertisement told me it would be.	true	433.46	436.99	18
1212_185485_000015_000006	In Tuscaloosa, Alabama, I purchased half a dozen boxes.	In tuscaloosa alabama, I purchased half a dozen boxes.	true	437.63	441.37	15
1212_185485_000015_000007	They were all used up before my perambulating show reached Vicksburg, Miss., and I was a confirmed disciple of the blood theory.	They were all used up before my perambulating show reached Vicksburg, Miss., and I was a confirmed disciple of the blood theory.	false	441.65	449.23	17
1212_185485_000015_000008	There I laid in a dozen boxes.	There I laid in a dozen boxes.	true	449.48	451.98	13
1212_185485_000015_000009	In Natchez, I made a similar purchase.	In Natchez, I made a similar purchase.	false	451.98	454.96	20
1212_185485_000015_000010	In New Orleans, where I remained several months, I was a profitable customer, and had become thoroughly convinced that the only real "greenhorns" in the world were those who preferred meat or bread to Brandreth's Pills.	In New Orleans, where I remained several months, I was a profitable customer, and had become thoroughly convinced that the only real "greenhorns" in the world were those who preferred meat or bread to Brandreth's Pills.	true	455.12	467.5	14
1212_185485_000015_000011	I took them morning, noon, and night.	I took them morning, noon, and night.	true	467.75	470.08	14
1212_185485_000015_000012	In fact, the advertisements announced that one could not take too many; for if one box was sufficient to purify the blood, eleven extra boxes would have no injurious effect.	In fact, the advertisements announced that one could not take too many; for if one box was sufficient to purify the blood, eleven extra boxes would have no injurious effect.	true	470.15	481.03	16
1212_185485_000016_000000	I arrived in New York in June 1838, and by that time I had become such a firm believer in the efficacy of Brandreth's Pills, that I hardly stopped long enough to speak with my family, before I hastened to the "principal office" of Doctor Brandreth to congratulate him on being the greatest public benefactor of the age.	I arrived in New York in june eighteen thirty eight, and by that time I had become such a firm believer in the efficacy of Brandreth's Pills, that I hardly stopped long enough to speak with my family, before I hastened to the "principal office" of Doctor Brandreth to congratulate him on being the greatest public benefactor of the age.	true	482	501.4	14
1212_185485_000017_000000	I found the doctor "at home," and introduced myself without ceremony.	I found the doctor "at home," and introduced myself without ceremony.	true	502.34	507.13	17
1212_185485_000017_000001	I told him my experiences.	I told him my experiences.	true	507.23	509.35	18
1212_185485_000017_000002	He was delighted.	He was delighted.	true	509.54	511.03	21.453869
1212_185485_000017_000003	I next heartily indorsed every word stated in his advertisements.	I next heartily indorsed every word stated in his advertisements.	true	511.1	515.08	15
1212_185485_000017_000004	He was not surprised, for he knew the effects of his pills were such as I described.	He was not surprised, for he knew the effects of his pills were such as I described.	true	515.45	520.36	17
1212_185485_000017_000005	Still he was elated in having another witness whose extensive experiments with his pills were so eminently satisfactory.	Still he was elated in having another witness whose extensive experiments with his pills were so eminently satisfactory.	true	520.76	527.77	15
1212_185485_000017_000006	The doctor and myself were both happy--he in being able to do so much good to mankind; I in being the recipient of such untold benefits through his valuable discovery.	The doctor and myself were both happy-he in being able to do so much good to mankind; I in being the recipient of such untold benefits through his valuable discovery.	false	528.44	539.08	17
1212_185485_000018_000000	At last, the doctor chanced to say that he wondered how I happened to get his pills in Natchez, "for," said he, "I have no agent there as yet."	At last, the doctor chanced to say that he wondered how I happened to get his pills in Natchez, "for," said he, "I have no agent there as yet."	false	540.08	548.83	17
1212_185485_000019_000000	"Oh!" I replied, "I always bought my pills at the drug stores."	"Oh!" I replied, "I always bought my pills at the drug stores."	true	549.86	554.98	21.225487
1212_185485_000020_000000	"Good Heavens!" exclaimed the doctor, "then they are were all counterfeits! vile impositions! poisonous compounds!	"Good Heavens!" exclaimed the doctor, "then they are were all counterfeits! vile impositions! poisonous compounds!	true	556.19	564.91	19.102163
1212_185485_000020_000001	I never sell a pill to a druggist--I never permit an apothecary to handle one of my pills. But they counterfeit them by the bushel; the unprincipled, heartless, murderous impostors!"	I never sell a pill to a druggist-I never permit an apothecary to handle one of my pills. But they counterfeit them by the bushel; the unprincipled, heartless, murderous impostors!"	true	564.92	575.86	17
1212_185485_000021_000000	I need not say I was surprised.	I need not say I was surprised.	true	577.37	579.64	15.224516
1212_185485_000021_000001	Was it possible, then, that my imagination had done all this business, and that I had been cured by poisons which I supposed were Brandreth's Pill?	Was it possible, then, that my imagination had done all this business, and that I had been cured by poisons which I supposed were Brandreth's Pill?	false	579.74	587.47	13
1212_185485_000021_000002	I confess I laughed heartily; and told the doctor that, after all, it seemed the counterfeits were as good as the real pills, provided the patient had sufficient faith.	I confess I laughed heartily; and told the doctor that, after all, it seemed the counterfeits were as good as the real pills, provided the patient had sufficient faith.	true	587.9	597.46	18
1212_185485_000022_000000	The doctor was puzzled as well as vexed, but an idea struck him that soon enabled him to recover his usual equanimity.	The doctor was puzzled as well as vexed, but an idea struck him that soon enabled him to recover his usual equanimity.	true	598.07	605.23	15
1212_185485_000023_000000	"I'll tell you what it is," said he, "those Southern druggists have undoubtedly obtained the pills from me under false pretences.	"I'll tell you what it is," said he, "those Southern druggists have undoubtedly obtained the pills from me under false pretences.	true	606.44	614.38	18
1212_185485_000023_000001	They have pretended to be planters, and have purchased pills from me in large quantities for use on the plantations, and then they have retailed the pills from their drug-shops."	They have pretended to be planters, and have purchased pills from me in large quantities for use on the plantations, and then they have retailed the pills from their drug shops."	false	614.48	623.53	15
1212_185485_000024_000000	I laughed at this shrewd suggestion, and remarked: "This may be so, but I guess my imagination did the business!"	I laughed at this shrewd suggestion, and remarked: "This may be so, but I guess my imagination did the business!"	true	624.41	632.14	17.523819
1212_185485_000025_000000	The doctor was uneasy, but he asked me as a favor to bring him one of the empty pill boxes which I had brought from the South.	The doctor was uneasy, but he asked me as a favor to bring him one of the empty pill boxes which I had brought from the South.	true	633.02	639.67	15
1212_185485_000025_000001	The next day, I complied with his request, and I will do the doctor justice to say that, on comparison, it proved as he had suspected; the pills were genuine, and although he had advertised that no druggist should sell them, they were so popular that druggists found it necessary to get them "by hook or by crook;" and the consequence was, I had the pleasure of a glorious laugh, and Doctor Brandreth experienced "a great scare."	The next day, I complied with his request, and I will do the doctor justice to say that, on comparison, it proved as he had suspected; the pills were genuine, and although he had advertised that no druggist should sell them, they were so popular that druggists found it necessary to get them "by hook or by crook;" and the consequence was, I had the pleasure of a glorious laugh, and Doctor Brandreth experienced "a great scare."	true	639.95	665.35	18
1212_185485_000026_000000	The doctor "made his pile" long ago, although he still devotes his personal attention to the "entirely vegetable and innocent pills, whose life-giving power no pen can describe."	The doctor "made his pile" long ago, although he still devotes his personal attention to the "entirely vegetable and innocent pills, whose life giving power no pen can describe."	true	666.65	678.13	15
1212_185485_000027_000000	In 1849, the doctor was elected President of the Village of Sing Sing, N. Y. (where he still resides,) and was re-elected to the same office for seven consecutive years.	In eighteen forty nine, the doctor was elected President of the Village of Sing Sing, n y (where he still resides,) and was re-elected to the same office for seven consecutive years.	false	679.01	689.71	16
1212_185485_000027_000001	In the same year, he was elected to the New York State Senate, and in 1859 was again elected.	In the same year, he was elected to the New York State Senate, and in eighteen fifty nine was again elected.	true	690.05	696.52	17
1212_185485_000028_000000	Dr. Brandreth is a liberal man and a pleasant, entertaining, and edifying companion.	dr Brandreth is a liberal man and a pleasant, entertaining, and edifying companion.	true	696.83	702.04	13
1212_185485_000028_000001	He deserves all the success he has ever received. "Long may he wave!"	He deserves all the success he has ever received. "Long may he wave!"	false	702.29	714.66	16.236982
