8118_268287_000001_000000	CHAPTER II.	CHAPTER two.
8118_268287_000010_000003	So I waited, with heavy composure, till she should be brought, who so often had walked there with me.	So I waited, with heavy composure, till she should be brought, who so often had walked there with me.
8118_268287_000010_000004	At length she was coming for good and all, and a space was left for me.	At length she was coming for good and all, and a space was left for me.
8118_268287_000010_000005	But I must not repose there yet; I had still my task before me.	But I must not repose there yet; I had still my task before me.
8118_268287_000011_000000	The bell was tolling faster, and the shadows growing longer, and the children who had been playing at hide-and-seek, where soon themselves shall be sought in vain, had flitted away from sight, perhaps scared at my presence, perhaps gone home to tea, to enjoy the funeral afterwards. The evening wind had ceased from troubling the yews, and the short-lived songs of the birds were done.	The bell was tolling faster, and the shadows growing longer, and the children who had been playing at hide and seek, where soon themselves shall be sought in vain, had flitted away from sight, perhaps scared at my presence, perhaps gone home to tea, to enjoy the funeral afterwards. The evening wind had ceased from troubling the yews, and the short-lived songs of the birds were done.
8118_268287_000012_000000	The sun was setting behind me: suddenly a shadow eclipsed my own upon the red loam across the open grave.	The sun was setting behind me: suddenly a shadow eclipsed my own upon the red loam across the open grave.
8118_268287_000012_000001	Without a start, and dreamily (as I did all things now), I turned to see whence it came.	Without a start, and dreamily (as I did all things now), I turned to see whence it came.
8118_268287_000012_000002	Within a yard of me stood Mr. Edgar Vaughan.	Within a yard of me stood mr Edgar Vaughan.
8118_268287_000012_000003	In a moment the old feeling was at my heart, and my wits were all awake.	In a moment the old feeling was at my heart, and my wits were all awake.
8118_268287_000013_000000	I observed that he was paler than when I had seen him last, and the rigid look was wavering on his face, like steel reflected by water.	I observed that he was paler than when I had seen him last, and the rigid look was wavering on his face, like steel reflected by water.
8118_268287_000013_000001	He lifted his hat to me.	He lifted his hat to me.
8118_268287_000013_000002	I neither rose nor spoke, but turned and watched him.	I neither rose nor spoke, but turned and watched him.
8118_268287_000015_000000	I heard, with some surprise, his allusion to the Great Being, whom he was not wont to recognise; but I made him no reply.	I heard, with some surprise, his allusion to the Great Being, whom he was not wont to recognise; but I made him no reply.
8118_268287_000016_000000	"Very well," he resumed, with the ancient chill hardening over his features; "so then let it be.	"Very well," he resumed, with the ancient chill hardening over his features; "so then let it be.
8118_268287_000016_000001	I am not come to offer you condolence, which you would despise; nor do I mean to be present when you would account the sight of me an insult.	I am not come to offer you condolence, which you would despise; nor do I mean to be present when you would account the sight of me an insult.
8118_268287_000016_000002	And yet I loved your mother, Clara; I loved her very truly."	And yet I loved your mother, Clara; I loved her very truly."
8118_268287_000017_000000	This he said with such emotion, that a new thought broke upon me.	This he said with such emotion, that a new thought broke upon me.
8118_268287_000018_000000	Quick as the thought, he asked, "Would you know who killed your father?"	Quick as the thought, he asked, "Would you know who killed your father?"
8118_268287_000019_000000	"And my mother, too," I answered, "whose coffin I see coming."	"And my mother, too," I answered, "whose coffin I see coming."
8118_268287_000020_000001	He took his hat off, and the perspiration stood upon his forehead.	He took his hat off, and the perspiration stood upon his forehead.
8118_268287_000020_000002	Betwixt suspense and terror, and the wildness of grief, I was obliged to lean on the headstone for support, and a giddiness came over me.	Betwixt suspense and terror, and the wildness of grief, I was obliged to lean on the headstone for support, and a giddiness came over me.
8118_268287_000020_000004	In vain I wiped them hurriedly and looked again.	In vain I wiped them hurriedly and looked again.
8118_268287_000020_000005	Mr. Vaughan was gone; but on the grass at my feet lay a folded letter.	mr Vaughan was gone; but on the grass at my feet lay a folded letter.
8118_268287_000020_000006	I seized it quickly, and broke the seal.	I seized it quickly, and broke the seal.
8118_268287_000020_000007	That moment a white figure appeared between the yew-trees by the porch.	That moment a white figure appeared between the yew trees by the porch.
8118_268287_000020_000008	It was the aged minister leading my mother the last path of all. The book was in his hand, and his form was tall and stately, and his step so slow, that the white hair fell unruffled, while the grand words on his lips called majesty into his gaze.	It was the aged minister leading my mother the last path of all. The book was in his hand, and his form was tall and stately, and his step so slow, that the white hair fell unruffled, while the grand words on his lips called majesty into his gaze.
8118_268287_000020_000009	Thrusting aside the letter, I followed into the Church, and stood behind the old font where I had been baptized; a dark and gloomy nook, fit for such an entrance.	Thrusting aside the letter, I followed into the Church, and stood behind the old font where I had been baptized; a dark and gloomy nook, fit for such an entrance.
8118_268287_000020_000010	She who had carried me there was carried past it now, and the pall waved in the damp cold air, and all the world seemed stone and mould.	She who had carried me there was carried past it now, and the pall waved in the damp cold air, and all the world seemed stone and mould.
