5029_31091_000003_000000	AT THE PLACE OF THE OAKS	AT THE PLACE OF THE OAKS
5029_31091_000018_000002	All men know that, though you see the fire burned down, when you go into the tent you will some time in the night see the walls lit up by a sudden flash or so, now and then, from the fire which was thought to be dead.	All men know that, though you see the fire burned down, when you go into the tent you will some time in the night see the walls lit up by a sudden flash or so, now and then, from the fire which was thought to be dead.
5029_31091_000019_000000	That is the business of the fire, and of the oaks and of the shadows.	That is the business of the fire, and of the oaks and of the shadows.
5029_31091_000019_000001	I know that the shadows dance strangely, and hover and come near at hand, in those late hours of the night; but what then occurs I do not know.	I know that the shadows dance strangely, and hover and come near at hand, in those late hours of the night; but what then occurs I do not know.
5029_31091_000019_000003	They knew it was the secret of the night, and gave the oak its own request, in pay for its protection and consent.	They knew it was the secret of the night, and gave the oak its own request, in pay for its protection and consent.
5029_31091_000019_000004	They gave the oak its union with the sacred Past.	They gave the oak its union with the sacred Past.
5029_31091_000020_000000	In the night I have heard the oak sob.	In the night I have heard the oak sob.
5029_31091_000020_000001	Yet in the morning, when the sun was silvering the wake of all the leaping fishes, the oak was always gentle, and it said, "Wake, wake!	Yet in the morning, when the sun was silvering the wake of all the leaping fishes, the oak was always gentle, and it said, "Wake, wake!
5029_31091_000020_000002	God is wise. Waken, waken!	God is wise. Waken, waken!
5029_31091_000020_000003	God is good!"	God is good!"
5029_31091_000021_000000	As pure shining beads upon a thread of gold I saw this small, dear picture, reiterant and unchanged, year after year, always with the same calm and pure surroundings.	As pure shining beads upon a thread of gold I saw this small, dear picture, reiterant and unchanged, year after year, always with the same calm and pure surroundings.
5029_31091_000021_000001	Only as year added itself to year, slipping forward on the golden string, I saw the gray figure grow more gray, more bowed, more feeble.	Only as year added itself to year, slipping forward on the golden string, I saw the gray figure grow more gray, more bowed, more feeble.
5029_31091_000021_000003	Yet the years came, to the oaks and to the grasses and to the friends.	Yet the years came, to the oaks and to the grasses and to the friends.
5029_31091_000022_000000	The grass dies every year, but it is born again.	The grass dies every year, but it is born again.
5029_31091_000022_000001	The oak dies in centuries, but it is born again.	The oak dies in centuries, but it is born again.
5029_31091_000022_000002	Man dies in three score years and ten; but he, too, is born again.	Man dies in three score years and ten; but he, too, is born again.
5029_31091_000023_000002	Grayer, grayer, more bent, more feeble--is it not so, Singing Mouse?	Grayer, grayer, more bent, more feeble-is it not so, Singing Mouse?
5029_31091_000023_000003	And now, this time, what was this gentle warning that the oak tried to whisper softly down?	And now, this time, what was this gentle warning that the oak tried to whisper softly down?
5029_31091_000023_000004	Perhaps the grayer friend heard it, as he sat musing by the fire.	Perhaps the grayer friend heard it, as he sat musing by the fire.
5029_31091_000023_000005	He rose and looked about him, as one who had dreamed and was content.	He rose and looked about him, as one who had dreamed and was content.
5029_31091_000023_000006	He looked up at the solemn stars unafraid, and so murmured to himself.	He looked up at the solemn stars unafraid, and so murmured to himself.
5029_31091_000025_000001	Here again is the little table, and here is the evening meal.	Here again is the little table, and here is the evening meal.
5029_31091_000025_000002	The table is still spread for two.	The table is still spread for two.
5029_31091_000025_000004	Yet why?	Yet why?
5029_31091_000025_000006	At this table there is but one form now.	At this table there is but one form now.
5029_31091_000025_000007	The younger man is there, although now he has grown gray and stooped.	The younger man is there, although now he has grown gray and stooped.
5029_31091_000027_000001	Hush!	Hush!
5029_31091_000027_000002	The squirrels have grown still, and even the oak is silent.	The squirrels have grown still, and even the oak is silent.
5029_31091_000027_000003	What is that opposite, across the table, at the seat long years held only by the elder of these two?	What is that opposite, across the table, at the seat long years held only by the elder of these two?
5029_31091_000027_000006	It is the shadow of a shadow, the apparition of a soul!	It is the shadow of a shadow, the apparition of a soul!
5029_31091_000028_000000	The one at the table pauses, as was the wont before the beginning of a meal.	The one at the table pauses, as was the wont before the beginning of a meal.
5029_31091_000028_000001	He looks across the table to the shadow, as if the shadow were his friend.	He looks across the table to the shadow, as if the shadow were his friend.
5029_31091_000028_000005	Doubt not those words are heard this day.	Doubt not those words are heard this day.
5029_31091_000029_000001	The glorious day sets on once more.	The glorious day sets on once more.
5029_31091_000029_000002	Doubt not, fear not, sorrow not, ye two.	Doubt not, fear not, sorrow not, ye two.
