8050_110238_000000_000000	"You think that he was waiting for someone?"	"You think that he was waiting for someone?"	false	0	1.83	23.830511
8050_110238_000005_000003	He wore a ruddy-tinted tweed suit and had the weather-beaten appearance of one who has spent most of his time in the open air, and yet there was something in his steady eye and the quiet assurance of his bearing which indicated the gentleman.	He wore a ruddy tinted tweed suit and had the weather beaten appearance of one who has spent most of his time in the open air, and yet there was something in his steady eye and the quiet assurance of his bearing which indicated the gentleman.	false	53.51	68.08	22.124619
8050_110238_000006_000000	"This is Sir Henry Baskerville," said Dr. Mortimer.	"This is Sir Henry Baskerville," said dr Mortimer.	true	69.08	74.11	21.638025
8050_110238_000007_000000	"Why, yes," said he, "and the strange thing is, Mr. Sherlock Holmes, that if my friend here had not proposed coming round to you this morning I should have come on my own account.	"Why, yes," said he, "and the strange thing is, mr Sherlock Holmes, that if my friend here had not proposed coming round to you this morning I should have come on my own account.	false	74.93	87.21	20.5127
8050_110238_000007_000001	I understand that you think out little puzzles, and I've had one this morning which wants more thinking out than I am able to give it."	I understand that you think out little puzzles, and I've had one this morning which wants more thinking out than I am able to give it."	false	87.21	95.59	23.351828
8050_110238_000008_000000	"Pray take a seat, Sir Henry.	"Pray take a seat, Sir Henry.	true	96.59	98.98	27.334702
8050_110238_000008_000001	Do I understand you to say that you have yourself had some remarkable experience since you arrived in London?"	Do I understand you to say that you have yourself had some remarkable experience since you arrived in London?"	true	99.35	106.3	19
8050_110238_000009_000000	"Nothing of much importance, Mr. Holmes.	"Nothing of much importance, mr Holmes.	true	107.12	110.14	24.72188
8050_110238_000009_000001	Only a joke, as like as not. It was this letter, if you can call it a letter, which reached me this morning."	Only a joke, as like as not. It was this letter, if you can call it a letter, which reached me this morning."	false	110.27	118.63	22.80213
8050_110238_000010_000000	He laid an envelope upon the table, and we all bent over it.	He laid an envelope upon the table, and we all bent over it.	true	120.17	124.06	21.861326
8050_110238_000010_000001	It was of common quality, grayish in colour.	It was of common quality, grayish in colour.	true	124.31	127.36	23.702305
8050_110238_000010_000002	The address, "Sir Henry Baskerville, Northumberland Hotel," was printed in rough characters; the post-mark "Charing Cross," and the date of posting the preceding evening.	The address, "Sir Henry Baskerville, Northumberland Hotel," was printed in rough characters; the post mark "Charing Cross," and the date of posting the preceding evening.	true	127.67	140.05	24.79337
8050_110238_000011_000000	"Who knew that you were going to the Northumberland Hotel?" asked Holmes, glancing keenly across at our visitor.	"Who knew that you were going to the Northumberland Hotel?" asked Holmes, glancing keenly across at our visitor.	true	141.5	148.69	18
8050_110238_000012_000000	"No one could have known.	"No one could have known.	true	149.54	151.27	21.095282
8050_110238_000012_000001	We only decided after I met Dr. Mortimer."	We only decided after I met dr Mortimer."	true	151.28	154.3	26.708979
8050_110238_000013_000000	"But Dr. Mortimer was no doubt already stopping there?"	"But dr Mortimer was no doubt already stopping there?"	true	154.88	159.25	24.543316
8050_110238_000014_000000	"No, I had been staying with a friend," said the doctor.	"No, I had been staying with a friend," said the doctor.	true	160.22	164.59	24.18354
8050_110238_000015_000000	"There was no possible indication that we intended to go to this hotel."	"There was no possible indication that we intended to go to this hotel."	true	165.26	170.13	21
8050_110238_000016_000000	"Hum!	"Hum!	false	170.13	172.23	17.139658
8050_110238_000016_000001	Someone seems to be very deeply interested in your movements." Out of the envelope he took a half-sheet of foolscap paper folded into four. This he opened and spread flat upon the table.	Someone seems to be very deeply interested in your movements." Out of the envelope he took a half sheet of foolscap paper folded into four. This he opened and spread flat upon the table.	true	172.23	185.29	22.675678
8050_110238_000016_000002	Across the middle of it a single sentence had been formed by the expedient of pasting printed words upon it.	Across the middle of it a single sentence had been formed by the expedient of pasting printed words upon it.	true	185.66	192.34	25.498465
8050_110238_000016_000003	It ran:	It ran:	true	192.59	193.54	26.151707
8050_110238_000017_000000	As you value your life or your reason keep away from the moor.	As you value your life or your reason keep away from the moor.	true	193.88	199.9	17.264769
8050_110238_000018_000000	The word "moor" only was printed in ink.	The word "moor" only was printed in ink.	true	200.75	204.31	23.086502
8050_110238_000019_000000	"Now," said Sir Henry Baskerville, "perhaps you will tell me, Mr. Holmes, what in thunder is the meaning of that, and who it is that takes so much interest in my affairs?"	"Now," said Sir Henry Baskerville, "perhaps you will tell me, mr Holmes, what in thunder is the meaning of that, and who it is that takes so much interest in my affairs?"	true	205.16	217.93	20.12814
8050_110238_000020_000000	"What do you make of it, Dr. Mortimer?	"What do you make of it, dr Mortimer?	true	219.08	221.29	30.287886
8050_110238_000020_000001	You must allow that there is nothing supernatural about this, at any rate?"	You must allow that there is nothing supernatural about this, at any rate?"	true	221.57	226.27	25.435751
8050_110238_000021_000000	"No, sir, but it might very well come from someone who was convinced that the business is supernatural."	"No, sir, but it might very well come from someone who was convinced that the business is supernatural."	true	227.57	236.23	23.24975
8050_110238_000022_000000	"What business?" asked Sir Henry sharply.	"What business?" asked Sir Henry sharply.	true	237.53	241.21	25.738756
8050_110238_000022_000001	"It seems to me that all you gentlemen know a great deal more than I do about my own affairs."	"It seems to me that all you gentlemen know a great deal more than I do about my own affairs."	true	241.61	248.89	22
8050_110238_000023_000000	"You shall share our knowledge before you leave this room, Sir Henry.	"You shall share our knowledge before you leave this room, Sir Henry.	true	250.01	253.785	22.275621
8050_110238_000023_000001	I promise you that," said Sherlock Holmes.	I promise you that," said Sherlock Holmes.	true	253.785	256.69	24.426619
8050_110238_000023_000002	"We will confine ourselves for the present with your permission to this very interesting document, which must have been put together and posted yesterday evening.	"We will confine ourselves for the present with your permission to this very interesting document, which must have been put together and posted yesterday evening.	true	257.03	266.41	23.858366
8050_110238_000023_000003	Have you yesterday's Times, Watson?"	Have you yesterday's Times, Watson?"	true	267.02	269.61	21.520538
8050_110238_000024_000000	"It is here in the corner."	"It is here in the corner."	false	269.61	272.65	28.907488
8050_110238_000025_000000	"Might I trouble you for it--the inside page, please, with the leading articles?" He glanced swiftly over it, running his eyes up and down the columns.	"Might I trouble you for it-the inside page, please, with the leading articles?" He glanced swiftly over it, running his eyes up and down the columns.	true	273.95	283.42	21.000788
8050_110238_000025_000001	"Capital article this on free trade.	"Capital article this on free trade.	true	283.58	286.35	24.582767
8050_110238_000025_000002	Permit me to give you an extract from it.	Permit me to give you an extract from it.	true	286.35	288.82	21.785875
8050_110238_000026_000000	'You may be cajoled into imagining that your own special trade or your own industry will be encouraged by a protective tariff, but it stands to reason that such legislation must in the long run keep away wealth from the country, diminish the value of our imports, and lower the general conditions of life in this island.'	'You may be cajoled into imagining that your own special trade or your own industry will be encouraged by a protective tariff, but it stands to reason that such legislation must in the long run keep away wealth from the country, diminish the value of our imports, and lower the general conditions of life in this island.'	false	288.95	310.57	21.643318
8050_110238_000027_000000	"What do you think of that, Watson?" cried Holmes in high glee, rubbing his hands together with satisfaction.	"What do you think of that, Watson?" cried Holmes in high glee, rubbing his hands together with satisfaction.	true	311.09	317.32	22.859776
8050_110238_000027_000001	"Don't you think that is an admirable sentiment?"	"Don't you think that is an admirable sentiment?"	true	317.66	320.95	24.067541
8050_110238_000028_000000	Dr. Mortimer looked at Holmes with an air of professional interest, and Sir Henry Baskerville turned a pair of puzzled dark eyes upon me.	dr Mortimer looked at Holmes with an air of professional interest, and Sir Henry Baskerville turned a pair of puzzled dark eyes upon me.	true	321.59	329.86	23.599302
8050_110238_000029_000000	"I don't know much about the tariff and things of that kind," said he, "but it seems to me we've got a bit off the trail so far as that note is concerned."	"I don't know much about the tariff and things of that kind," said he, "but it seems to me we've got a bit off the trail so far as that note is concerned."	true	330.5	341.62	23.56852
8050_110238_000030_000000	"On the contrary, I think we are particularly hot upon the trail, Sir Henry.	"On the contrary, I think we are particularly hot upon the trail, Sir Henry.	true	342.35	346.93	22.466484
8050_110238_000030_000001	Watson here knows more about my methods than you do, but I fear that even he has not quite grasped the significance of this sentence."	Watson here knows more about my methods than you do, but I fear that even he has not quite grasped the significance of this sentence."	false	347.57	355.69	24.194174
8050_110238_000031_000000	"No, I confess that I see no connection."	"No, I confess that I see no connection."	true	356.39	361.36	23.1856
8050_110238_000032_000000	"And yet, my dear Watson, there is so very close a connection that the one is extracted out of the other.	"And yet, my dear Watson, there is so very close a connection that the one is extracted out of the other.	true	362.24	368.83	25.435074
8050_110238_000032_000001	'You,' 'your,' 'your,' 'life,' 'reason,' 'value,' 'keep away,' 'from the.' Don't you see now whence these words have been taken?"	'You,' 'your,' 'your,' 'life,' 'reason,' 'value,' 'keep away,' 'from the.' Don't you see now whence these words have been taken?"	false	369.14	379.59	22.659351
8050_110238_000033_000000	"By thunder, you're right!	"By thunder, you're right!	false	379.59	382.63	19.088104
8050_110238_000033_000001	Well, if that isn't smart!" cried Sir Henry.	Well, if that isn't smart!" cried Sir Henry.	true	382.88	386.17	22.652496
8050_110238_000034_000000	"If any possible doubt remained it is settled by the fact that 'keep away' and 'from the' are cut out in one piece."	"If any possible doubt remained it is settled by the fact that 'keep away' and 'from the' are cut out in one piece."	true	387.11	395.41	24.114513
8050_110238_000035_000000	"Well, now--so it is!"	"Well, now-so it is!"	true	395.6	398.14	18.703508
8050_110238_000036_000000	"Really, Mr. Holmes, this exceeds anything which I could have imagined," said Dr. Mortimer, gazing at my friend in amazement.	"Really, mr Holmes, this exceeds anything which I could have imagined," said dr Mortimer, gazing at my friend in amazement.	true	399.44	407.68	21.027979
8050_110238_000036_000001	"I could understand anyone saying that the words were from a newspaper; but that you should name which, and add that it came from the leading article, is really one of the most remarkable things which I have ever known.	"I could understand anyone saying that the words were from a newspaper; but that you should name which, and add that it came from the leading article, is really one of the most remarkable things which I have ever known.	true	408.2	421.93	19.321304
8050_110238_000036_000002	How did you do it?"	How did you do it?"	true	422.21	423.7	25.456434
8050_110238_000037_000000	"I presume, Doctor, that you could tell the skull of a negro from that of an Esquimau?"	"I presume, Doctor, that you could tell the skull of a negro from that of an Esquimau?"	true	424.43	429.51	26.074394
8050_110238_000038_000000	"Most certainly."	"Most certainly."	false	429.51	432.13	20.508966
8050_110238_000039_000000	"But how?"	"But how?"	true	433.07	434.2	21.283281
8050_110238_000040_000000	"Because that is my special hobby.	"Because that is my special hobby.	true	435.11	438.22	22.511478
8050_110238_000040_000001	The differences are obvious.	The differences are obvious.	true	438.44	440.1	19.298683
8050_110238_000040_000002	The supra-orbital crest, the facial angle, the maxillary curve, the--"	The supra orbital crest, the facial angle, the maxillary curve, the-"	true	440.1	444.7	25.31938
8050_110238_000041_000000	"But this is my special hobby, and the differences are equally obvious. There is as much difference to my eyes between the leaded bourgeois type of a Times article and the slovenly print of an evening half-penny paper as there could be between your negro and your Esquimau.	"But this is my special hobby, and the differences are equally obvious. There is as much difference to my eyes between the leaded bourgeois type of a Times article and the slovenly print of an evening half penny paper as there could be between your negro and your Esquimau.	true	445.25	463.03	23.46005
8050_110238_000041_000001	The detection of types is one of the most elementary branches of knowledge to the special expert in crime, though I confess that once when I was very young I confused the Leeds Mercury with the Western Morning News.	The detection of types is one of the most elementary branches of knowledge to the special expert in crime, though I confess that once when I was very young I confused the Leeds Mercury with the Western Morning News.	true	463.85	477.31	21.747818
8050_110238_000041_000002	But a Times leader is entirely distinctive, and these words could have been taken from nothing else.	But a Times leader is entirely distinctive, and these words could have been taken from nothing else.	false	477.47	483.73	23.426952
8050_110238_000041_000003	As it was done yesterday the strong probability was that we should find the words in yesterday's issue."	As it was done yesterday the strong probability was that we should find the words in yesterday's issue."	true	484.07	490.06	22
8050_110238_000042_000000	"So far as I can follow you, then, Mr. Holmes," said Sir Henry Baskerville, "someone cut out this message with a scissors--"	"So far as I can follow you, then, mr Holmes," said Sir Henry Baskerville, "someone cut out this message with a scissors-"	true	491.69	500.83	23.406553
8050_110238_000043_000000	"Nail-scissors," said Holmes.	"Nail scissors," said Holmes.	true	501.53	503.59	18.503775
8050_110238_000043_000001	"You can see that it was a very short-bladed scissors, since the cutter had to take two snips over 'keep away.'"	"You can see that it was a very short bladed scissors, since the cutter had to take two snips over 'keep away.'"	true	503.99	511	23.66495
8050_110238_000044_000000	"That is so.	"That is so.	true	511.73	513.67	24.844738
8050_110238_000044_000001	Someone, then, cut out the message with a pair of short-bladed scissors, pasted it with paste--"	Someone, then, cut out the message with a pair of short bladed scissors, pasted it with paste-"	false	514.13	520.48	23.870588
8050_110238_000045_000000	"Gum," said Holmes.	"Gum," said Holmes.	true	521	523.24	20.131174
8050_110238_000046_000000	"With gum on to the paper.	"With gum on to the paper.	false	523.94	526.54	26.738497
8050_110238_000046_000001	But I want to know why the word 'moor' should have been written?"	But I want to know why the word 'moor' should have been written?"	true	527	531.76	25.101372
8050_110238_000047_000000	"Because he could not find it in print.	"Because he could not find it in print.	true	532.64	535.3	21.971725
8050_110238_000047_000001	The other words were all simple and might be found in any issue, but 'moor' would be less common."	The other words were all simple and might be found in any issue, but 'moor' would be less common."	true	535.94	541.36	22.826248
8050_110238_000048_000000	"Why, of course, that would explain it.	"Why, of course, that would explain it.	true	541.94	544.99	21.316404
8050_110238_000048_000001	Have you read anything else in this message, Mr. Holmes?"	Have you read anything else in this message, mr Holmes?"	true	545.21	548.74	20.697369
8050_110238_000049_000000	"There are one or two indications, and yet the utmost pains have been taken to remove all clues.	"There are one or two indications, and yet the utmost pains have been taken to remove all clues.	true	549.35	556.69	24.120792
8050_110238_000049_000001	The address, you observe is printed in rough characters.	The address, you observe is printed in rough characters.	true	556.85	560.2	24.363857
8050_110238_000049_000002	But the Times is a paper which is seldom found in any hands but those of the highly educated.	But the Times is a paper which is seldom found in any hands but those of the highly educated.	true	560.48	565.9	24.737797
8050_110238_000049_000003	We may take it, therefore, that the letter was composed by an educated man who wished to pose as an uneducated one, and his effort to conceal his own writing suggests that that writing might be known, or come to be known, by you.	We may take it, therefore, that the letter was composed by an educated man who wished to pose as an uneducated one, and his effort to conceal his own writing suggests that that writing might be known, or come to be known, by you.	false	566.18	581.71	23.715267
8050_110238_000049_000004	Again, you will observe that the words are not gummed on in an accurate line, but that some are much higher than others.	Again, you will observe that the words are not gummed on in an accurate line, but that some are much higher than others.	false	582.23	589.6	21.967524
8050_110238_000049_000005	'Life,' for example is quite out of its proper place.	'Life,' for example is quite out of its proper place.	true	590.06	593.59	25.471199
8050_110238_000049_000006	That may point to carelessness or it may point to agitation and hurry upon the part of the cutter.	That may point to carelessness or it may point to agitation and hurry upon the part of the cutter.	true	593.87	599.77	24.257889
8050_110238_000049_000007	On the whole I incline to the latter view, since the matter was evidently important, and it is unlikely that the composer of such a letter would be careless.	On the whole I incline to the latter view, since the matter was evidently important, and it is unlikely that the composer of such a letter would be careless.	false	600.26	609.76	23.12355
8050_110238_000049_000008	If he were in a hurry it opens up the interesting question why he should be in a hurry, since any letter posted up to early morning would reach Sir Henry before he would leave his hotel.	If he were in a hurry it opens up the interesting question why he should be in a hurry, since any letter posted up to early morning would reach Sir Henry before he would leave his hotel.	false	610.28	622.33	22.036963
8050_110238_000049_000009	Did the composer fear an interruption--and from whom?"	Did the composer fear an interruption-and from whom?"	true	622.7	627.31	21.676275
8050_110238_000050_000000	"We are coming now rather into the region of guesswork," said Dr. Mortimer.	"We are coming now rather into the region of guesswork," said dr Mortimer.	true	627.86	634.03	21.716166
8050_110238_000051_000000	"Say, rather, into the region where we balance probabilities and choose the most likely.	"Say, rather, into the region where we balance probabilities and choose the most likely.	true	634.61	641.17	24.047495
8050_110238_000051_000001	It is the scientific use of the imagination, but we have always some material basis on which to start our speculation.	It is the scientific use of the imagination, but we have always some material basis on which to start our speculation.	true	641.57	649.21	23.551992
8050_110238_000051_000002	Now, you would call it a guess, no doubt, but I am almost certain that this address has been written in a hotel."	Now, you would call it a guess, no doubt, but I am almost certain that this address has been written in a hotel."	false	649.55	655.81	22.349285
8050_110238_000052_000000	"How in the world can you say that?"	"How in the world can you say that?"	true	656.48	660.49	22.391325
8050_110238_000053_000000	"If you examine it carefully you will see that both the pen and the ink have given the writer trouble.	"If you examine it carefully you will see that both the pen and the ink have given the writer trouble.	true	661.88	667.93	24.248528
8050_110238_000053_000001	The pen has spluttered twice in a single word and has run dry three times in a short address, showing that there was very little ink in the bottle.	The pen has spluttered twice in a single word and has run dry three times in a short address, showing that there was very little ink in the bottle.	false	668.24	677.35	21.818314
8050_110238_000053_000002	Now, a private pen or ink-bottle is seldom allowed to be in such a state, and the combination of the two must be quite rare.	Now, a private pen or ink bottle is seldom allowed to be in such a state, and the combination of the two must be quite rare.	true	677.63	685.45	23.425156
8050_110238_000053_000003	But you know the hotel ink and the hotel pen, where it is rare to get anything else.	But you know the hotel ink and the hotel pen, where it is rare to get anything else.	true	685.94	691.96	23.700996
8050_110238_000053_000004	Yes, I have very little hesitation in saying that could we examine the waste-paper baskets of the hotels around Charing Cross until we found the remains of the mutilated Times leader we could lay our hands straight upon the person who sent this singular message.	Yes, I have very little hesitation in saying that could we examine the waste paper baskets of the hotels around Charing Cross until we found the remains of the mutilated Times leader we could lay our hands straight upon the person who sent this singular message.	false	692.27	709.62	21.96558
8050_110238_000053_000005	Halloa!	Halloa!	false	709.62	710.13	6
8050_110238_000053_000006	Halloa!	Halloa!	false	710.13	711.195	35.449078
8050_110238_000053_000007	What's this?"	What's this?"	true	711.195	712.24	23.370495
8050_110238_000054_000000	He was carefully examining the foolscap, upon which the words were pasted, holding it only an inch or two from his eyes.	He was carefully examining the foolscap, upon which the words were pasted, holding it only an inch or two from his eyes.	true	713.48	721.605	23.364653
8050_110238_000055_000000	"Well?"	"Well?"	true	721.605	722.44	8
8050_110238_000056_000000	"Nothing," said he, throwing it down.	"Nothing," said he, throwing it down.	true	723.89	726.73	20.737421
8050_110238_000056_000001	"It is a blank half-sheet of paper, without even a water-mark upon it.	"It is a blank half sheet of paper, without even a water mark upon it.	true	726.98	731.2	23.812641
8050_110238_000056_000002	I think we have drawn as much as we can from this curious letter; and now, Sir Henry, has anything else of interest happened to you since you have been in London?"	I think we have drawn as much as we can from this curious letter; and now, Sir Henry, has anything else of interest happened to you since you have been in London?"	true	731.36	741.37	22.372337
8050_110238_000057_000000	"Why, no, Mr. Holmes.	"Why, no, mr Holmes.	true	742.13	744.49	18.461773
8050_110238_000057_000001	I think not."	I think not."	true	744.5	745.75	22.56098
8050_110238_000058_000000	"You have not observed anyone follow or watch you?"	"You have not observed anyone follow or watch you?"	false	746.84	751.5	26.484264
8050_110238_000059_000000	"I seem to have walked right into the thick of a dime novel," said our visitor.	"I seem to have walked right into the thick of a dime novel," said our visitor.	true	751.5	756.19	22
8050_110238_000059_000001	"Why in thunder should anyone follow or watch me?"	"Why in thunder should anyone follow or watch me?"	true	756.41	760.51	21.152258
8050_110238_000060_000000	"We are coming to that.	"We are coming to that.	true	761.36	762.91	31.93653
8050_110238_000060_000001	You have nothing else to report to us before we go into this matter?"	You have nothing else to report to us before we go into this matter?"	true	763.16	766.78	27
8050_110238_000061_000000	"Well, it depends upon what you think worth reporting."	"Well, it depends upon what you think worth reporting."	true	767.27	771.88	21.660679
8050_110238_000062_000000	"I think anything out of the ordinary routine of life well worth reporting."	"I think anything out of the ordinary routine of life well worth reporting."	true	772.7	779.32	20.489725
8050_110238_000063_000000	Sir Henry smiled.	Sir Henry smiled.	true	779.42	781.09	22.961971
8050_110238_000063_000001	"I don't know much of British life yet, for I have spent nearly all my time in the States and in Canada.	"I don't know much of British life yet, for I have spent nearly all my time in the States and in Canada.	true	781.46	788.77	24.899046
8050_110238_000063_000002	But I hope that to lose one of your boots is not part of the ordinary routine of life over here."	But I hope that to lose one of your boots is not part of the ordinary routine of life over here."	true	789.14	795.67	24.685648
8050_110238_000064_000000	"You have lost one of your boots?"	"You have lost one of your boots?"	true	796.34	798.52	29.830252
8050_110238_000065_000000	"My dear sir," cried Dr. Mortimer, "it is only mislaid.	"My dear sir," cried dr Mortimer, "it is only mislaid.	true	798.59	803.83	24.065132
8050_110238_000065_000001	You will find it when you return to the hotel.	You will find it when you return to the hotel.	true	803.9	806.47	24.898687
8050_110238_000065_000002	What is the use of troubling Mr. Holmes with trifles of this kind?"	What is the use of troubling mr Holmes with trifles of this kind?"	true	806.75	811.93	22.235718
8050_110238_000066_000000	"Well, he asked me for anything outside the ordinary routine."	"Well, he asked me for anything outside the ordinary routine."	true	813.65	818.77	21.527906
8050_110238_000067_000000	"Exactly," said Holmes, "however foolish the incident may seem.	"Exactly," said Holmes, "however foolish the incident may seem.	true	819.05	823.48	26.129145
8050_110238_000067_000001	You have lost one of your boots, you say?"	You have lost one of your boots, you say?"	true	823.61	826	26.933392
8050_110238_000068_000000	"Well, mislaid it, anyhow.	"Well, mislaid it, anyhow.	true	826.64	829.93	25.63833
8050_110238_000068_000001	I put them both outside my door last night, and there was only one in the morning.	I put them both outside my door last night, and there was only one in the morning.	true	830.21	836.02	21.144846
8050_110238_000068_000002	I could get no sense out of the chap who cleans them.	I could get no sense out of the chap who cleans them.	true	836.3	839.5	24.637232
8050_110238_000068_000003	The worst of it is that I only bought the pair last night in the Strand, and I have never had them on."	The worst of it is that I only bought the pair last night in the Strand, and I have never had them on."	true	839.63	846.43	23.748444
8050_110238_000069_000000	"If you have never worn them, why did you put them out to be cleaned?"	"If you have never worn them, why did you put them out to be cleaned?"	true	847.7	853	23.158733
8050_110238_000070_000000	"They were tan boots and had never been varnished.	"They were tan boots and had never been varnished.	false	853.52	857.355	22.772102
8050_110238_000070_000001	That was why I put them out."	That was why I put them out."	true	857.355	859.24	22.234077
8050_110238_000071_000000	"Then I understand that on your arrival in London yesterday you went out at once and bought a pair of boots?"	"Then I understand that on your arrival in London yesterday you went out at once and bought a pair of boots?"	true	860.27	866.5	23
8050_110238_000072_000000	"I did a good deal of shopping.	"I did a good deal of shopping.	true	867.23	869.71	25.698164
8050_110238_000072_000001	Dr. Mortimer here went round with me. You see, if I am to be squire down there I must dress the part, and it may be that I have got a little careless in my ways out West.	dr Mortimer here went round with me. You see, if I am to be squire down there I must dress the part, and it may be that I have got a little careless in my ways out West.	false	869.96	881.56	23.499983
8050_110238_000072_000002	Among other things I bought these brown boots--gave six dollars for them--and had one stolen before ever I had them on my feet."	Among other things I bought these brown boots-gave six dollars for them-and had one stolen before ever I had them on my feet."	true	881.93	890.56	23.958744
8050_110238_000073_000000	"It seems a singularly useless thing to steal," said Sherlock Holmes. "I confess that I share Dr. Mortimer's belief that it will not be long before the missing boot is found."	"It seems a singularly useless thing to steal," said Sherlock Holmes. "I confess that I share dr Mortimer's belief that it will not be long before the missing boot is found."	true	891.08	901.6	21.15042
8050_110238_000074_000000	"And, now, gentlemen," said the baronet with decision, "it seems to me that I have spoken quite enough about the little that I know.	"And, now, gentlemen," said the baronet with decision, "it seems to me that I have spoken quite enough about the little that I know.	true	902.66	912.07	22.645012
8050_110238_000074_000001	It is time that you kept your promise and gave me a full account of what we are all driving at."	It is time that you kept your promise and gave me a full account of what we are all driving at."	true	912.14	918.34	24.901493
8050_110238_000075_000000	"Your request is a very reasonable one," Holmes answered.	"Your request is a very reasonable one," Holmes answered.	true	919.43	923.23	17.006456
8050_110238_000075_000001	"Dr. Mortimer, I think you could not do better than to tell your story as you told it to us."	"dr Mortimer, I think you could not do better than to tell your story as you told it to us."	true	923.48	929.2	23.831686
8050_110238_000076_000000	Thus encouraged, our scientific friend drew his papers from his pocket and presented the whole case as he had done upon the morning before. Sir Henry Baskerville listened with the deepest attention and with an occasional exclamation of surprise.	Thus encouraged, our scientific friend drew his papers from his pocket and presented the whole case as he had done upon the morning before. Sir Henry Baskerville listened with the deepest attention and with an occasional exclamation of surprise.	true	930.41	945.61	25
8050_110238_000077_000000	"Well, I seem to have come into an inheritance with a vengeance," said he when the long narrative was finished.	"Well, I seem to have come into an inheritance with a vengeance," said he when the long narrative was finished.	true	946.25	954.07	18.667467
8050_110238_000077_000001	"Of course, I've heard of the hound ever since I was in the nursery.	"Of course, I've heard of the hound ever since I was in the nursery.	true	954.23	958.96	22.593554
8050_110238_000077_000002	It's the pet story of the family, though I never thought of taking it seriously before.	It's the pet story of the family, though I never thought of taking it seriously before.	true	959	965.35	21.913248
8050_110238_000077_000003	But as to my uncle's death--well, it all seems boiling up in my head, and I can't get it clear yet.	But as to my uncle's death-well, it all seems boiling up in my head, and I can't get it clear yet.	true	965.93	973.51	24.825638
8050_110238_000077_000004	You don't seem quite to have made up your mind whether it's a case for a policeman or a clergyman."	You don't seem quite to have made up your mind whether it's a case for a policeman or a clergyman."	false	973.7	980.02	24.68204
8050_110238_000078_000000	"Precisely."	"Precisely."	true	981.26	982.51	19.733395
8050_110238_000079_000000	"And now there's this affair of the letter to me at the hotel.	"And now there's this affair of the letter to me at the hotel.	true	983.06	986.83	24.119822
8050_110238_000079_000001	I suppose that fits into its place."	I suppose that fits into its place."	true	986.96	989.89	24.869364
8050_110238_000080_000000	"It seems to show that someone knows more than we do about what goes on upon the moor," said Dr. Mortimer.	"It seems to show that someone knows more than we do about what goes on upon the moor," said dr Mortimer.	true	990.59	998.41	23.72753
8050_110238_000081_000000	"And also," said Holmes, "that someone is not ill-disposed towards you, since they warn you of danger."	"And also," said Holmes, "that someone is not ill disposed towards you, since they warn you of danger."	true	998.81	1005.64	21.878927
8050_110238_000082_000000	"Or it may be that they wish, for their own purposes, to scare me away."	"Or it may be that they wish, for their own purposes, to scare me away."	true	1006.13	1011.79	23.738047
