8050_110238_000004_000000	Chapter 4.	Chapter four.
8050_110238_000016_000001	Someone seems to be very deeply interested in your movements." Out of the envelope he took a half-sheet of foolscap paper folded into four. This he opened and spread flat upon the table.	Someone seems to be very deeply interested in your movements." Out of the envelope he took a half sheet of foolscap paper folded into four. This he opened and spread flat upon the table.
8050_110238_000016_000002	Across the middle of it a single sentence had been formed by the expedient of pasting printed words upon it.	Across the middle of it a single sentence had been formed by the expedient of pasting printed words upon it.
8050_110238_000016_000003	It ran:	It ran:
8050_110238_000018_000000	The word "moor" only was printed in ink.	The word "moor" only was printed in ink.
8050_110238_000019_000000	"Now," said Sir Henry Baskerville, "perhaps you will tell me, Mr. Holmes, what in thunder is the meaning of that, and who it is that takes so much interest in my affairs?"	"Now," said Sir Henry Baskerville, "perhaps you will tell me, mr Holmes, what in thunder is the meaning of that, and who it is that takes so much interest in my affairs?"
8050_110238_000020_000000	"What do you make of it, Dr. Mortimer?	"What do you make of it, dr Mortimer?
8050_110238_000020_000001	You must allow that there is nothing supernatural about this, at any rate?"	You must allow that there is nothing supernatural about this, at any rate?"
8050_110238_000021_000000	"No, sir, but it might very well come from someone who was convinced that the business is supernatural."	"No, sir, but it might very well come from someone who was convinced that the business is supernatural."
8050_110238_000022_000000	"What business?" asked Sir Henry sharply.	"What business?" asked Sir Henry sharply.
8050_110238_000022_000001	"It seems to me that all you gentlemen know a great deal more than I do about my own affairs."	"It seems to me that all you gentlemen know a great deal more than I do about my own affairs."
8050_110238_000023_000000	"You shall share our knowledge before you leave this room, Sir Henry.	"You shall share our knowledge before you leave this room, Sir Henry.
8050_110238_000023_000001	I promise you that," said Sherlock Holmes.	I promise you that," said Sherlock Holmes.
8050_110238_000023_000002	"We will confine ourselves for the present with your permission to this very interesting document, which must have been put together and posted yesterday evening.	"We will confine ourselves for the present with your permission to this very interesting document, which must have been put together and posted yesterday evening.
8050_110238_000023_000003	Have you yesterday's Times, Watson?"	Have you yesterday's Times, Watson?"
8050_110238_000025_000000	"Might I trouble you for it--the inside page, please, with the leading articles?" He glanced swiftly over it, running his eyes up and down the columns.	"Might I trouble you for it-the inside page, please, with the leading articles?" He glanced swiftly over it, running his eyes up and down the columns.
8050_110238_000025_000001	"Capital article this on free trade.	"Capital article this on free trade.
8050_110238_000025_000002	Permit me to give you an extract from it.	Permit me to give you an extract from it.
8050_110238_000027_000000	"What do you think of that, Watson?" cried Holmes in high glee, rubbing his hands together with satisfaction.	"What do you think of that, Watson?" cried Holmes in high glee, rubbing his hands together with satisfaction.
8050_110238_000027_000001	"Don't you think that is an admirable sentiment?"	"Don't you think that is an admirable sentiment?"
8050_110238_000028_000000	Dr. Mortimer looked at Holmes with an air of professional interest, and Sir Henry Baskerville turned a pair of puzzled dark eyes upon me.	dr Mortimer looked at Holmes with an air of professional interest, and Sir Henry Baskerville turned a pair of puzzled dark eyes upon me.
8050_110238_000029_000000	"I don't know much about the tariff and things of that kind," said he, "but it seems to me we've got a bit off the trail so far as that note is concerned."	"I don't know much about the tariff and things of that kind," said he, "but it seems to me we've got a bit off the trail so far as that note is concerned."
8050_110238_000030_000000	"On the contrary, I think we are particularly hot upon the trail, Sir Henry.	"On the contrary, I think we are particularly hot upon the trail, Sir Henry.
8050_110238_000031_000000	"No, I confess that I see no connection."	"No, I confess that I see no connection."
8050_110238_000032_000000	"And yet, my dear Watson, there is so very close a connection that the one is extracted out of the other.	"And yet, my dear Watson, there is so very close a connection that the one is extracted out of the other.
8050_110238_000033_000001	Well, if that isn't smart!" cried Sir Henry.	Well, if that isn't smart!" cried Sir Henry.
8050_110238_000034_000000	"If any possible doubt remained it is settled by the fact that 'keep away' and 'from the' are cut out in one piece."	"If any possible doubt remained it is settled by the fact that 'keep away' and 'from the' are cut out in one piece."
8050_110238_000036_000000	"Really, Mr. Holmes, this exceeds anything which I could have imagined," said Dr. Mortimer, gazing at my friend in amazement.	"Really, mr Holmes, this exceeds anything which I could have imagined," said dr Mortimer, gazing at my friend in amazement.
8050_110238_000036_000002	How did you do it?"	How did you do it?"
8050_110238_000037_000000	"I presume, Doctor, that you could tell the skull of a negro from that of an Esquimau?"	"I presume, Doctor, that you could tell the skull of a negro from that of an Esquimau?"
8050_110238_000039_000000	"But how?"	"But how?"
8050_110238_000040_000000	"Because that is my special hobby.	"Because that is my special hobby.
8050_110238_000040_000002	The supra-orbital crest, the facial angle, the maxillary curve, the--"	The supra orbital crest, the facial angle, the maxillary curve, the-"
8050_110238_000041_000000	"But this is my special hobby, and the differences are equally obvious. There is as much difference to my eyes between the leaded bourgeois type of a Times article and the slovenly print of an evening half-penny paper as there could be between your negro and your Esquimau.	"But this is my special hobby, and the differences are equally obvious. There is as much difference to my eyes between the leaded bourgeois type of a Times article and the slovenly print of an evening half penny paper as there could be between your negro and your Esquimau.
8050_110238_000041_000001	The detection of types is one of the most elementary branches of knowledge to the special expert in crime, though I confess that once when I was very young I confused the Leeds Mercury with the Western Morning News.	The detection of types is one of the most elementary branches of knowledge to the special expert in crime, though I confess that once when I was very young I confused the Leeds Mercury with the Western Morning News.
8050_110238_000041_000003	As it was done yesterday the strong probability was that we should find the words in yesterday's issue."	As it was done yesterday the strong probability was that we should find the words in yesterday's issue."
8050_110238_000042_000000	"So far as I can follow you, then, Mr. Holmes," said Sir Henry Baskerville, "someone cut out this message with a scissors--"	"So far as I can follow you, then, mr Holmes," said Sir Henry Baskerville, "someone cut out this message with a scissors-"
8050_110238_000043_000001	"You can see that it was a very short-bladed scissors, since the cutter had to take two snips over 'keep away.'"	"You can see that it was a very short bladed scissors, since the cutter had to take two snips over 'keep away.'"
8050_110238_000044_000000	"That is so.	"That is so.
8050_110238_000045_000000	"Gum," said Holmes.	"Gum," said Holmes.
8050_110238_000046_000001	But I want to know why the word 'moor' should have been written?"	But I want to know why the word 'moor' should have been written?"
8050_110238_000047_000000	"Because he could not find it in print.	"Because he could not find it in print.
8050_110238_000047_000001	The other words were all simple and might be found in any issue, but 'moor' would be less common."	The other words were all simple and might be found in any issue, but 'moor' would be less common."
8050_110238_000048_000000	"Why, of course, that would explain it.	"Why, of course, that would explain it.
8050_110238_000048_000001	Have you read anything else in this message, Mr. Holmes?"	Have you read anything else in this message, mr Holmes?"
8050_110238_000049_000000	"There are one or two indications, and yet the utmost pains have been taken to remove all clues.	"There are one or two indications, and yet the utmost pains have been taken to remove all clues.
8050_110238_000049_000001	The address, you observe is printed in rough characters.	The address, you observe is printed in rough characters.
8050_110238_000049_000002	But the Times is a paper which is seldom found in any hands but those of the highly educated.	But the Times is a paper which is seldom found in any hands but those of the highly educated.
8050_110238_000049_000005	'Life,' for example is quite out of its proper place.	'Life,' for example is quite out of its proper place.
8050_110238_000049_000006	That may point to carelessness or it may point to agitation and hurry upon the part of the cutter.	That may point to carelessness or it may point to agitation and hurry upon the part of the cutter.
8050_110238_000049_000009	Did the composer fear an interruption--and from whom?"	Did the composer fear an interruption-and from whom?"
8050_110238_000050_000000	"We are coming now rather into the region of guesswork," said Dr. Mortimer.	"We are coming now rather into the region of guesswork," said dr Mortimer.
8050_110238_000051_000000	"Say, rather, into the region where we balance probabilities and choose the most likely.	"Say, rather, into the region where we balance probabilities and choose the most likely.
8050_110238_000051_000001	It is the scientific use of the imagination, but we have always some material basis on which to start our speculation.	It is the scientific use of the imagination, but we have always some material basis on which to start our speculation.
8050_110238_000052_000000	"How in the world can you say that?"	"How in the world can you say that?"
8050_110238_000053_000000	"If you examine it carefully you will see that both the pen and the ink have given the writer trouble.	"If you examine it carefully you will see that both the pen and the ink have given the writer trouble.
8050_110238_000053_000002	Now, a private pen or ink-bottle is seldom allowed to be in such a state, and the combination of the two must be quite rare.	Now, a private pen or ink bottle is seldom allowed to be in such a state, and the combination of the two must be quite rare.
8050_110238_000053_000003	But you know the hotel ink and the hotel pen, where it is rare to get anything else.	But you know the hotel ink and the hotel pen, where it is rare to get anything else.
8050_110238_000053_000007	What's this?"	What's this?"
8050_110238_000054_000000	He was carefully examining the foolscap, upon which the words were pasted, holding it only an inch or two from his eyes.	He was carefully examining the foolscap, upon which the words were pasted, holding it only an inch or two from his eyes.
8050_110238_000056_000000	"Nothing," said he, throwing it down.	"Nothing," said he, throwing it down.
8050_110238_000056_000001	"It is a blank half-sheet of paper, without even a water-mark upon it.	"It is a blank half sheet of paper, without even a water mark upon it.
8050_110238_000056_000002	I think we have drawn as much as we can from this curious letter; and now, Sir Henry, has anything else of interest happened to you since you have been in London?"	I think we have drawn as much as we can from this curious letter; and now, Sir Henry, has anything else of interest happened to you since you have been in London?"
8050_110238_000057_000001	I think not."	I think not."
8050_110238_000059_000000	"I seem to have walked right into the thick of a dime novel," said our visitor.	"I seem to have walked right into the thick of a dime novel," said our visitor.
8050_110238_000059_000001	"Why in thunder should anyone follow or watch me?"	"Why in thunder should anyone follow or watch me?"
8050_110238_000060_000000	"We are coming to that.	"We are coming to that.
8050_110238_000060_000001	You have nothing else to report to us before we go into this matter?"	You have nothing else to report to us before we go into this matter?"
8050_110238_000061_000000	"Well, it depends upon what you think worth reporting."	"Well, it depends upon what you think worth reporting."
8050_110238_000062_000000	"I think anything out of the ordinary routine of life well worth reporting."	"I think anything out of the ordinary routine of life well worth reporting."
8050_110238_000063_000000	Sir Henry smiled.	Sir Henry smiled.
8050_110238_000063_000001	"I don't know much of British life yet, for I have spent nearly all my time in the States and in Canada.	"I don't know much of British life yet, for I have spent nearly all my time in the States and in Canada.
8050_110238_000063_000002	But I hope that to lose one of your boots is not part of the ordinary routine of life over here."	But I hope that to lose one of your boots is not part of the ordinary routine of life over here."
8050_110238_000064_000000	"You have lost one of your boots?"	"You have lost one of your boots?"
8050_110238_000065_000000	"My dear sir," cried Dr. Mortimer, "it is only mislaid.	"My dear sir," cried dr Mortimer, "it is only mislaid.
8050_110238_000065_000001	You will find it when you return to the hotel.	You will find it when you return to the hotel.
8050_110238_000065_000002	What is the use of troubling Mr. Holmes with trifles of this kind?"	What is the use of troubling mr Holmes with trifles of this kind?"
8050_110238_000066_000000	"Well, he asked me for anything outside the ordinary routine."	"Well, he asked me for anything outside the ordinary routine."
8050_110238_000067_000000	"Exactly," said Holmes, "however foolish the incident may seem.	"Exactly," said Holmes, "however foolish the incident may seem.
8050_110238_000067_000001	You have lost one of your boots, you say?"	You have lost one of your boots, you say?"
8050_110238_000068_000000	"Well, mislaid it, anyhow.	"Well, mislaid it, anyhow.
8050_110238_000068_000001	I put them both outside my door last night, and there was only one in the morning.	I put them both outside my door last night, and there was only one in the morning.
8050_110238_000068_000002	I could get no sense out of the chap who cleans them.	I could get no sense out of the chap who cleans them.
8050_110238_000068_000003	The worst of it is that I only bought the pair last night in the Strand, and I have never had them on."	The worst of it is that I only bought the pair last night in the Strand, and I have never had them on."
8050_110238_000069_000000	"If you have never worn them, why did you put them out to be cleaned?"	"If you have never worn them, why did you put them out to be cleaned?"
8050_110238_000070_000001	That was why I put them out."	That was why I put them out."
8050_110238_000071_000000	"Then I understand that on your arrival in London yesterday you went out at once and bought a pair of boots?"	"Then I understand that on your arrival in London yesterday you went out at once and bought a pair of boots?"
8050_110238_000072_000000	"I did a good deal of shopping.	"I did a good deal of shopping.
8050_110238_000072_000002	Among other things I bought these brown boots--gave six dollars for them--and had one stolen before ever I had them on my feet."	Among other things I bought these brown boots-gave six dollars for them-and had one stolen before ever I had them on my feet."
8050_110238_000073_000000	"It seems a singularly useless thing to steal," said Sherlock Holmes. "I confess that I share Dr. Mortimer's belief that it will not be long before the missing boot is found."	"It seems a singularly useless thing to steal," said Sherlock Holmes. "I confess that I share dr Mortimer's belief that it will not be long before the missing boot is found."
8050_110238_000074_000000	"And, now, gentlemen," said the baronet with decision, "it seems to me that I have spoken quite enough about the little that I know.	"And, now, gentlemen," said the baronet with decision, "it seems to me that I have spoken quite enough about the little that I know.
8050_110238_000074_000001	It is time that you kept your promise and gave me a full account of what we are all driving at."	It is time that you kept your promise and gave me a full account of what we are all driving at."
8050_110238_000075_000001	"Dr. Mortimer, I think you could not do better than to tell your story as you told it to us."	"dr Mortimer, I think you could not do better than to tell your story as you told it to us."
8050_110238_000076_000000	Thus encouraged, our scientific friend drew his papers from his pocket and presented the whole case as he had done upon the morning before. Sir Henry Baskerville listened with the deepest attention and with an occasional exclamation of surprise.	Thus encouraged, our scientific friend drew his papers from his pocket and presented the whole case as he had done upon the morning before. Sir Henry Baskerville listened with the deepest attention and with an occasional exclamation of surprise.
8050_110238_000077_000001	"Of course, I've heard of the hound ever since I was in the nursery.	"Of course, I've heard of the hound ever since I was in the nursery.
8050_110238_000077_000002	It's the pet story of the family, though I never thought of taking it seriously before.	It's the pet story of the family, though I never thought of taking it seriously before.
8050_110238_000077_000003	But as to my uncle's death--well, it all seems boiling up in my head, and I can't get it clear yet.	But as to my uncle's death-well, it all seems boiling up in my head, and I can't get it clear yet.
8050_110238_000079_000000	"And now there's this affair of the letter to me at the hotel.	"And now there's this affair of the letter to me at the hotel.
8050_110238_000079_000001	I suppose that fits into its place."	I suppose that fits into its place."
8050_110238_000080_000000	"It seems to show that someone knows more than we do about what goes on upon the moor," said Dr. Mortimer.	"It seems to show that someone knows more than we do about what goes on upon the moor," said dr Mortimer.
8050_110238_000081_000000	"And also," said Holmes, "that someone is not ill-disposed towards you, since they warn you of danger."	"And also," said Holmes, "that someone is not ill disposed towards you, since they warn you of danger."
8050_110238_000082_000000	"Or it may be that they wish, for their own purposes, to scare me away."	"Or it may be that they wish, for their own purposes, to scare me away."
8050_110238_000083_000000	"Well, of course, that is possible also.	"Well, of course, that is possible also.
8050_110238_000083_000001	I am very much indebted to you, Dr. Mortimer, for introducing me to a problem which presents several interesting alternatives.	I am very much indebted to you, dr Mortimer, for introducing me to a problem which presents several interesting alternatives.
8050_110238_000083_000002	But the practical point which we now have to decide, Sir Henry, is whether it is or is not advisable for you to go to Baskerville Hall."	But the practical point which we now have to decide, Sir Henry, is whether it is or is not advisable for you to go to Baskerville Hall."
8050_110238_000084_000000	"Why should I not go?"	"Why should I not go?"
8050_110238_000085_000000	"There seems to be danger."	"There seems to be danger."
8050_110238_000086_000000	"Do you mean danger from this family fiend or do you mean danger from human beings?"	"Do you mean danger from this family fiend or do you mean danger from human beings?"
8050_110238_000087_000000	"Well, that is what we have to find out."	"Well, that is what we have to find out."
8050_110238_000088_000000	"Whichever it is, my answer is fixed.	"Whichever it is, my answer is fixed.
8050_110238_000088_000001	There is no devil in hell, Mr. Holmes, and there is no man upon earth who can prevent me from going to the home of my own people, and you may take that to be my final answer." His dark brows knitted and his face flushed to a dusky red as he spoke. It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative.	There is no devil in hell, mr Holmes, and there is no man upon earth who can prevent me from going to the home of my own people, and you may take that to be my final answer." His dark brows knitted and his face flushed to a dusky red as he spoke. It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative.
8050_110238_000088_000002	"Meanwhile," said he, "I have hardly had time to think over all that you have told me.	"Meanwhile," said he, "I have hardly had time to think over all that you have told me.
8050_110238_000088_000003	It's a big thing for a man to have to understand and to decide at one sitting.	It's a big thing for a man to have to understand and to decide at one sitting.
8050_110238_000088_000004	I should like to have a quiet hour by myself to make up my mind.	I should like to have a quiet hour by myself to make up my mind.
8050_110238_000088_000005	Now, look here, Mr. Holmes, it's half-past eleven now and I am going back right away to my hotel.	Now, look here, mr Holmes, it's half past eleven now and I am going back right away to my hotel.
8050_110238_000088_000007	I'll be able to tell you more clearly then how this thing strikes me."	I'll be able to tell you more clearly then how this thing strikes me."
8050_110238_000090_000000	"Perfectly."	"Perfectly."
8050_110238_000091_000000	"Then you may expect us.	"Then you may expect us.
8050_110238_000091_000001	Shall I have a cab called?"	Shall I have a cab called?"
8050_110238_000094_000000	"Then we meet again at two o'clock.	"Then we meet again at two o'clock.
8050_110238_000096_000000	"Your hat and boots, Watson, quick!	"Your hat and boots, Watson, quick!
8050_110238_000096_000001	Not a moment to lose!"	Not a moment to lose!"
8050_110238_000096_000002	He rushed into his room in his dressing-gown and was back again in a few seconds in a frock-coat.	He rushed into his room in his dressing gown and was back again in a few seconds in a frock coat.
8050_110238_000096_000003	We hurried together down the stairs and into the street.	We hurried together down the stairs and into the street.
8050_110238_000096_000004	Dr. Mortimer and Baskerville were still visible about two hundred yards ahead of us in the direction of Oxford Street.	dr Mortimer and Baskerville were still visible about two hundred yards ahead of us in the direction of Oxford Street.
8050_110238_000097_000000	"Shall I run on and stop them?"	"Shall I run on and stop them?"
8050_110238_000098_000000	"Not for the world, my dear Watson.	"Not for the world, my dear Watson.
8050_110238_000098_000001	I am perfectly satisfied with your company if you will tolerate mine.	I am perfectly satisfied with your company if you will tolerate mine.
8050_110238_000098_000002	Our friends are wise, for it is certainly a very fine morning for a walk."	Our friends are wise, for it is certainly a very fine morning for a walk."
8050_110238_000099_000000	He quickened his pace until we had decreased the distance which divided us by about half.	He quickened his pace until we had decreased the distance which divided us by about half.
8050_110238_000099_000002	Once our friends stopped and stared into a shop window, upon which Holmes did the same.	Once our friends stopped and stared into a shop window, upon which Holmes did the same.
8050_110238_000099_000003	An instant afterwards he gave a little cry of satisfaction, and, following the direction of his eager eyes, I saw that a hansom cab with a man inside which had halted on the other side of the street was now proceeding slowly onward again.	An instant afterwards he gave a little cry of satisfaction, and, following the direction of his eager eyes, I saw that a hansom cab with a man inside which had halted on the other side of the street was now proceeding slowly onward again.
8050_110238_000100_000000	"There's our man, Watson!	"There's our man, Watson!
8050_110238_000100_000002	We'll have a good look at him, if we can do no more."	We'll have a good look at him, if we can do no more."
8050_110238_000101_000001	Holmes looked eagerly round for another, but no empty one was in sight.	Holmes looked eagerly round for another, but no empty one was in sight.
8050_110238_000102_000000	"There now!" said Holmes bitterly as he emerged panting and white with vexation from the tide of vehicles.	"There now!" said Holmes bitterly as he emerged panting and white with vexation from the tide of vehicles.
8050_110238_000102_000001	"Was ever such bad luck and such bad management, too?	"Was ever such bad luck and such bad management, too?
8050_110238_000102_000002	Watson, Watson, if you are an honest man you will record this also and set it against my successes!"	Watson, Watson, if you are an honest man you will record this also and set it against my successes!"
8050_110238_000103_000000	"Who was the man?"	"Who was the man?"
8050_110238_000104_000000	"I have not an idea."	"I have not an idea."
8050_110238_000105_000000	"A spy?"	"A spy?"
8050_110238_000106_000000	"Well, it was evident from what we have heard that Baskerville has been very closely shadowed by someone since he has been in town.	"Well, it was evident from what we have heard that Baskerville has been very closely shadowed by someone since he has been in town.
8050_110238_000106_000001	How else could it be known so quickly that it was the Northumberland Hotel which he had chosen?	How else could it be known so quickly that it was the Northumberland Hotel which he had chosen?
8050_110238_000106_000003	You may have observed that I twice strolled over to the window while Dr. Mortimer was reading his legend."	You may have observed that I twice strolled over to the window while dr Mortimer was reading his legend."
8050_110238_000107_000000	"Yes, I remember."	"Yes, I remember."
8050_110238_000108_000000	"I was looking out for loiterers in the street, but I saw none.	"I was looking out for loiterers in the street, but I saw none.
8050_110238_000108_000001	We are dealing with a clever man, Watson.	We are dealing with a clever man, Watson.
8050_110238_000108_000002	This matter cuts very deep, and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us, I am conscious always of power and design.	This matter cuts very deep, and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us, I am conscious always of power and design.
8050_110238_000108_000005	His method had the additional advantage that if they were to take a cab he was all ready to follow them.	His method had the additional advantage that if they were to take a cab he was all ready to follow them.
8050_110238_000108_000006	It has, however, one obvious disadvantage."	It has, however, one obvious disadvantage."
8050_110238_000111_000000	"What a pity we did not get the number!"	"What a pity we did not get the number!"
8050_110238_000112_000000	"My dear Watson, clumsy as I have been, you surely do not seriously imagine that I neglected to get the number?	"My dear Watson, clumsy as I have been, you surely do not seriously imagine that I neglected to get the number?
8050_110238_000112_000002	But that is no use to us for the moment."	But that is no use to us for the moment."
8050_110238_000113_000000	"I fail to see how you could have done more."	"I fail to see how you could have done more."
8050_110238_000114_000001	I should then at my leisure have hired a second cab and followed the first at a respectful distance, or, better still, have driven to the Northumberland Hotel and waited there.	I should then at my leisure have hired a second cab and followed the first at a respectful distance, or, better still, have driven to the Northumberland Hotel and waited there.
8050_110238_000114_000002	When our unknown had followed Baskerville home we should have had the opportunity of playing his own game upon himself and seeing where he made for.	When our unknown had followed Baskerville home we should have had the opportunity of playing his own game upon himself and seeing where he made for.
8050_110238_000114_000003	As it is, by an indiscreet eagerness, which was taken advantage of with extraordinary quickness and energy by our opponent, we have betrayed ourselves and lost our man."	As it is, by an indiscreet eagerness, which was taken advantage of with extraordinary quickness and energy by our opponent, we have betrayed ourselves and lost our man."
8050_110238_000116_000000	"There is no object in our following them," said Holmes.	"There is no object in our following them," said Holmes.
8050_110238_000116_000002	We must see what further cards we have in our hands and play them with decision.	We must see what further cards we have in our hands and play them with decision.
8050_110238_000116_000003	Could you swear to that man's face within the cab?"	Could you swear to that man's face within the cab?"
8050_110238_000117_000000	"I could swear only to the beard."	"I could swear only to the beard."
8050_110238_000118_000000	"And so could I--from which I gather that in all probability it was a false one.	"And so could I-from which I gather that in all probability it was a false one.
8050_110238_000118_000001	A clever man upon so delicate an errand has no use for a beard save to conceal his features.	A clever man upon so delicate an errand has no use for a beard save to conceal his features.
8050_110238_000118_000002	Come in here, Watson!"	Come in here, Watson!"
8050_110238_000119_000000	He turned into one of the district messenger offices, where he was warmly greeted by the manager.	He turned into one of the district messenger offices, where he was warmly greeted by the manager.
8050_110238_000120_000000	"Ah, Wilson, I see you have not forgotten the little case in which I had the good fortune to help you?"	"Ah, Wilson, I see you have not forgotten the little case in which I had the good fortune to help you?"
8050_110238_000121_000000	"No, sir, indeed I have not.	"No, sir, indeed I have not.
8050_110238_000121_000001	You saved my good name, and perhaps my life."	You saved my good name, and perhaps my life."
8050_110238_000122_000000	"My dear fellow, you exaggerate.	"My dear fellow, you exaggerate.
8050_110238_000122_000001	I have some recollection, Wilson, that you had among your boys a lad named Cartwright, who showed some ability during the investigation."	I have some recollection, Wilson, that you had among your boys a lad named Cartwright, who showed some ability during the investigation."
8050_110238_000123_000000	"Yes, sir, he is still with us."	"Yes, sir, he is still with us."
8050_110238_000124_000000	"Could you ring him up?--thank you!	"Could you ring him up?--thank you!
8050_110238_000124_000001	And I should be glad to have change of this five-pound note."	And I should be glad to have change of this five pound note."
8050_110238_000125_000000	A lad of fourteen, with a bright, keen face, had obeyed the summons of the manager.	A lad of fourteen, with a bright, keen face, had obeyed the summons of the manager.
8050_110238_000125_000001	He stood now gazing with great reverence at the famous detective.	He stood now gazing with great reverence at the famous detective.
8050_110238_000126_000000	"Let me have the Hotel Directory," said Holmes.	"Let me have the Hotel Directory," said Holmes.
8050_110238_000126_000001	"Thank you!	"Thank you!
8050_110238_000126_000002	Now, Cartwright, there are the names of twenty-three hotels here, all in the immediate neighbourhood of Charing Cross.	Now, Cartwright, there are the names of twenty three hotels here, all in the immediate neighbourhood of Charing Cross.
8050_110238_000126_000003	Do you see?"	Do you see?"
8050_110238_000127_000000	"Yes, sir."	"Yes, sir."
8050_110238_000128_000000	"You will visit each of these in turn."	"You will visit each of these in turn."
8050_110238_000129_000000	"Yes, sir."	"Yes, sir."
8050_110238_000130_000000	"You will begin in each case by giving the outside porter one shilling. Here are twenty-three shillings."	"You will begin in each case by giving the outside porter one shilling. Here are twenty three shillings."
8050_110238_000131_000000	"Yes, sir."	"Yes, sir."
8050_110238_000132_000000	"You will tell him that you want to see the waste-paper of yesterday. You will say that an important telegram has miscarried and that you are looking for it.	"You will tell him that you want to see the waste paper of yesterday. You will say that an important telegram has miscarried and that you are looking for it.
8050_110238_000132_000001	You understand?"	You understand?"
8050_110238_000133_000000	"Yes, sir."	"Yes, sir."
8050_110238_000134_000000	"But what you are really looking for is the centre page of the Times with some holes cut in it with scissors.	"But what you are really looking for is the centre page of the Times with some holes cut in it with scissors.
8050_110238_000134_000001	Here is a copy of the Times.	Here is a copy of the Times.
8050_110238_000134_000002	It is this page.	It is this page.
8050_110238_000134_000003	You could easily recognize it, could you not?"	You could easily recognize it, could you not?"
8050_110238_000135_000000	"Yes, sir."	"Yes, sir."
8050_110238_000136_000001	Here are twenty-three shillings.	Here are twenty three shillings.
8050_110238_000136_000005	There are ten shillings over in case of emergencies.	There are ten shillings over in case of emergencies.
8050_110238_000136_000006	Let me have a report by wire at Baker Street before evening.	Let me have a report by wire at Baker Street before evening.
