2269_165387_000000_000000	CHAP.	CHAP.	true	0.54	0.81	23.332895
2269_165387_000002_000008	By this means the bashful innocent was frequently punished instead of the guilty.	By this means the bashful innocent was frequently punished instead of the guilty.	false	243.93	249.06	23.030016
2269_165387_000002_000009	But as bad boys are seldom able to conceal their faults long from the eye of justice, young _Filch_ was soon detected in his wickedness, and being considered as a dangerous person, whose bad example might have a pernicious effect upon his play fellows, he was first corrected with all the severity he deserved, and then sent home to his parents.	But as bad boys are seldom able to conceal their faults long from the eye of justice, young underscore Filch underscore was soon detected in his wickedness, and being considered as a dangerous person, whose bad example might have a pernicious effect upon his play fellows, he was first corrected with all the severity he deserved, and then sent home to his parents.	false	249.06	272.25	21.93465
2269_165387_000002_000010	In this disgraceful manner he was dismissed from every school in the country, 'till at last, though he was only thirteen years old, there was not a single academy into which he could be admitted upon any terms whatever.	In this disgraceful manner he was dismissed from every school in the country, 'till at last, though he was only thirteen years old, there was not a single academy into which he could be admitted upon any terms whatever.	false	272.25	284.22	22.119432
2269_165387_000002_000011	But this was not the worst effect of the ill character he had acquired: for as no one is willing to introduce a lad of bad reputation into his house, there was not a tradesman of any credit to be found who would venture to take him as an apprentice, though a large premium was offered for that purpose.	But this was not the worst effect of the ill character he had acquired: for as no one is willing to introduce a lad of bad reputation into his house, there was not a tradesman of any credit to be found who would venture to take him as an apprentice, though a large premium was offered for that purpose.	false	284.22	304.17	20.98097
2269_165387_000002_000012	His parents, therefore, were under the disagreeable necessity of keeping him at home; but having little or nothing for him to do, he soon fell into bad company, who in as short a time gave him a perfect relish for the scandalous and expensive amusement of gaming and tippling.	His parents, therefore, were under the disagreeable necessity of keeping him at home; but having little or nothing for him to do, he soon fell into bad company, who in as short a time gave him a perfect relish for the scandalous and expensive amusement of gaming and tippling.	false	304.17	322.29	22.152756
2269_165387_000002_000013	His finances, though sufficiently plentiful for a youth of his age, were by these destructive means so much encumbered with little debts, that to maintain a worthless credit among his worthless companions, he formed the wicked resolution of taking money from his father and mother without their knowledge.	His finances, though sufficiently plentiful for a youth of his age, were by these destructive means so much encumbered with little debts, that to maintain a worthless credit among his worthless companions, he formed the wicked resolution of taking money from his father and mother without their knowledge.	false	322.29	339.54	21.982409
2269_165387_000002_000014	The success of his first attempt (in which he was not discovered, because he was not suspected to be capable of so much baseness) encouraged him to a second; and the success of his second attempt encouraged him to greater extravagances and more expensive risk than he had ventured upon before.	The success of his first attempt (in which he was not discovered, because he was not suspected to be capable of so much baseness) encouraged him to a second; and the success of his second attempt encouraged him to greater extravagances and more expensive risk than he had ventured upon before.	false	339.54	351.24	20
2269_165387_000002_000015	But his wickedness, which in the former instances had been wrongfully charged upon the servants of the family, being at last detected, and his parents taking him very severely to task on account of such an abandoned and depraved conduct, he left them in a fit of anger and remorse, and became a thoughtless and unhappy wanderer; in this situation falling one evening into a company whose mirth and gaiety greatly delighted him, and whose genteel appearance led him to suppose they were gentlemen, though in reality they were no other than highwaymen, he was prevailed on in an unguarded moment, when heated with liquor, to make an incursion with this infamous banditti, and actually stopped a gentleman and demanded his money; fortunately, however for this unhappy youth, the gentleman was an old school fellow, and making himself known to him, with much intreaty prevailed on him immediately to leave the company of those desperate adventurers, and totally to abandon a mode of life so shockingly wicked in itself, and so dreadfully fatal in its consequences.	But his wickedness, which in the former instances had been wrongfully charged upon the servants of the family, being at last detected, and his parents taking him very severely to task on account of such an abandoned and depraved conduct, he left them in a fit of anger and remorse, and became a thoughtless and unhappy wanderer; in this situation falling one evening into a company whose mirth and gaiety greatly delighted him, and whose genteel appearance led him to suppose they were gentlemen, though in reality they were no other than highwaymen, he was prevailed on in an unguarded moment, when heated with liquor, to make an incursion with this infamous banditti, and actually stopped a gentleman and demanded his money; fortunately, however for this unhappy youth, the gentleman was an old school fellow, and making himself known to him, with much intreaty prevailed on him immediately to leave the company of those desperate adventurers, and totally to abandon a mode of life so shockingly wicked in itself, and so dreadfully fatal in its consequences.	false	351.24	411.33	21.039375
2269_165387_000003_000000	"But from the idle and dissipated manner in which he had spent his time, he had contracted an unconquerable habit of indolence, and a rooted aversion to business; in this frame of mind, the army became his last resource, into which he entered as a common soldier, but after a short time his itch for pilfering returning, he could not refrain from making free with some money with which he was intrusted by his officer; being detected, he was punished with that rigorous severity with which thefts in the army usually are, and being afterwards thrown into the Savoy prison, to prevent a repetition of his crime, he died there in a few days of his wounds in the utmost misery.	"But from the idle and dissipated manner in which he had spent his time, he had contracted an unconquerable habit of indolence, and a rooted aversion to business; in this frame of mind, the army became his last resource, into which he entered as a common soldier, but after a short time his itch for pilfering returning, he could not refrain from making free with some money with which he was intrusted by his officer; being detected, he was punished with that rigorous severity with which thefts in the army usually are, and being afterwards thrown into the Savoy prison, to prevent a repetition of his crime, he died there in a few days of his wounds in the utmost misery.	false	411.33	434.4	21.210806
2269_165387_000003_000001	When the Bramin had finished this melancholy tale, the poor wolf, as if he was conscious how nearly it concerned him, heightened the horrour with which it had filled us by such a mournful and terrifying howl, as made us heartily glad to quit the room."	When the Bramin had finished this melancholy tale, the poor wolf, as if he was conscious how nearly it concerned him, heightened the horrour with which it had filled us by such a mournful and terrifying howl, as made us heartily glad to quit the room."	false	434.4	448.2	21.7533
2269_165387_000004_000000	CHAP.	CHAP.	false	448.2	448.29	9
2269_165387_000004_000001	VII.	seven.	false	448.29	448.38	16
2269_165387_000005_000000	_Of the wonderful Transmigration of Master_ RICHARD RUSTICK _into the Body of a Bear._	underscore Of the wonderful Transmigration of Master underscore RICHARD RUSTICK underscore into the Body of a Bear.underscore	false	448.38	453.96	22
2269_165387_000006_000000	In the next apartment into which Mr. _Wiseman_ conducted us, we saw the cub of a bear, who lay upon the floor to which he was chained, without having the good manners to rise when we entered; but when the Bramin applied his wand to young Bruin's buttocks, he heaved up his shaggy hide with a kind of lazy resentment, and saluted us with a reluctant grin and a savage growl, which plainly intimated that he did not think himself much beholden to us for our company.	In the next apartment into which mr underscore Wiseman underscore conducted us, we saw the cub of a bear, who lay upon the floor to which he was chained, without having the good manners to rise when we entered; but when the Bramin applied his wand to young Bruin's buttocks, he heaved up his shaggy hide with a kind of lazy resentment, and saluted us with a reluctant grin and a savage growl, which plainly intimated that he did not think himself much beholden to us for our company.	false	453.96	488.88	20.923935
2269_165387_000006_000001	"This young brute, said our conductor, is animated by the soul of the late matter _Rustick_, of clownish memory.	"This young brute, said our conductor, is animated by the soul of the late matter underscore Rustick underscore, of clownish memory.	false	488.88	495.6	21.776655
2269_165387_000006_000002	His father was a gentleman of rank and fortune, and greatly beloved and respected by all his acquaintance; and if his son Richard had possessed the same virtues and accomplishments, he might afterwards have enjoyed his title and estate with equal comfort and reputation.	His father was a gentleman of rank and fortune, and greatly beloved and respected by all his acquaintance; and if his son Richard had possessed the same virtues and accomplishments, he might afterwards have enjoyed his title and estate with equal comfort and reputation.	false	495.6	510.18	20.770575
2269_165387_000006_000003	But as merit does not go by inheritance, like house and land, young _Rustick's_ character was entirely the reverse of his father's.	But as merit does not go by inheritance, like house and land, young underscore Rustick's underscore character was entirely the reverse of his father's.	false	510.18	517.53	22.470798
2269_165387_000006_000004	He was of an awkward clumsy make; and the heaviness of his disposition, and the coarseness of his manners perfectly corresponded with the shape of his body.	He was of an awkward clumsy make; and the heaviness of his disposition, and the coarseness of his manners perfectly corresponded with the shape of his body.	false	517.53	527.31	20.581095
2269_165387_000006_000005	Though he was sent to school very early, and put under the care of the best instructors which the country afforded, he was a considerable time before he could tell his letters, and much longer before he could read with tolerable accuracy: and even then he pronounced every thing with such a clownish accent and such a drawling tone, that any stranger would have taken him for a young country bumkin, who had been used to follow the plow tail, and not for the son and heir of a wealthy gentleman.	Though he was sent to school very early, and put under the care of the best instructors which the country afforded, he was a considerable time before he could tell his letters, and much longer before he could read with tolerable accuracy: and even then he pronounced every thing with such a clownish accent and such a drawling tone, that any stranger would have taken him for a young country bumkin, who had been used to follow the plow tail, and not for the son and heir of a wealthy gentleman.	false	527.31	555.255	20.602232
2269_165387_000006_000006	He was equally eminent for his neatness and dexterity in the art of penmanship; for, even when he was twelve years old, if you had seen the letter which he then sent to his mamma without the knowledge of his master, it was wrote so crooked (i.e. not from side to side as it ought to have been, but from corner to corner) and the strokes were all so coarse and uneven, and the whole of the letter so awkwardly spelt, and so unmercifully blotted and bedawbed, that you would have thought it had been the elegant epistle of _Tony Clodhopper_ to his grandmother _Goody Linsey Woolsey_.	He was equally eminent for his neatness and dexterity in the art of penmanship; for, even when he was twelve years old, if you had seen the letter which he then sent to his mamma without the knowledge of his master, it was wrote so crooked (i e not from side to side as it ought to have been, but from corner to corner) and the strokes were all so coarse and uneven, and the whole of the letter so awkwardly spelt, and so unmercifully blotted and bedawbed, that you would have thought it had been the elegant epistle of underscore Tony Clodhopper underscore to his grandmother underscore Goody Linsey Woolsey underscore.	false	555.255	575.34	20.988544
2269_165387_000006_000007	As for his mamma, poor gentlewoman! when she first opened it, she thought it had been sent to her by some impudent shoe black or chimney sweeper; but when she had directed her eyes to the bottom and read (though not, I assure you, without the greatest difficulty)--"_from yr, loven ind respactfle sun, Rickard Rostick_" she was so much oppressed with shame and vexation, that she tore the letter into a thousand pieces, and was ready to burst into tears.	As for his mamma, poor gentlewoman! when she first opened it, she thought it had been sent to her by some impudent shoe black or chimney sweeper; but when she had directed her eyes to the bottom and read (though not, I assure you, without the greatest difficulty)--"underscore from yr, loven ind respactfle sun, Rickard Rostick underscore" she was so much oppressed with shame and vexation, that she tore the letter into a thousand pieces, and was ready to burst into tears.	false	575.34	580.29	17
2269_165387_000006_000008	He was alike remarkable for the politeness of his manners, and his agreeable address; for he had such a treacherous memory, though he had been frequently reminded of the propriety and indeed the necessity of observing those little punctilios of good behaviour, that he seldom remembered when any company entered the room in which he happened to be sitting, either to rise from his chair or take off his hat; and when he was told of it either by his parents or his master, he would bounce up, and snatch of his hat in such an awkward hurry, grinning and leering the whole time, that you would have thought he had just started from a dream; and even then he would generally forget to finish the rude ceremony by making one of his ducking bows.	He was alike remarkable for the politeness of his manners, and his agreeable address; for he had such a treacherous memory, though he had been frequently reminded of the propriety and indeed the necessity of observing those little punctilios of good behaviour, that he seldom remembered when any company entered the room in which he happened to be sitting, either to rise from his chair or take off his hat; and when he was told of it either by his parents or his master, he would bounce up, and snatch of his hat in such an awkward hurry, grinning and leering the whole time, that you would have thought he had just started from a dream; and even then he would generally forget to finish the rude ceremony by making one of his ducking bows.	false	580.29	604.38	21.700521
2269_165387_000006_000009	It is true, indeed, he had been under the hands of a dancing master; but notwithstanding the utmost care and assiduity of his teacher, who was esteemed a very excellent one; he was never able to perform a whit better than he does in his present shape.	It is true, indeed, he had been under the hands of a dancing master; but notwithstanding the utmost care and assiduity of his teacher, who was esteemed a very excellent one; he was never able to perform a whit better than he does in his present shape.	false	604.38	618.63	21.310835
2269_165387_000006_000010	In short, you might as well have kept a hog in training for Newmarket races, or an ox for his majesty to ride upon at a grand review, as have attempted to initiate master _Dicky Rustick_ in the elements of politeness and good breeding.	In short, you might as well have kept a hog in training for Newmarket races, or an ox for his majesty to ride upon at a grand review, as have attempted to initiate master underscore Dicky Rustick underscore in the elements of politeness and good breeding.	false	618.63	622.77	18
2269_165387_000006_000011	With such a delicate disposition, and such amiable talents, you will readily perceive that he must have been a most agreeable play fellow.	With such a delicate disposition, and such amiable talents, you will readily perceive that he must have been a most agreeable play fellow.	false	622.77	627.03	19.146082
2269_165387_000006_000012	His favorite diversion was that which has been distinguished by the vulgar, by the well known name of _Pully Hawly_, in which he so much excelled that whenever he was invited by the young gentlemen and ladies in the neighbourhood to play with them, he generally rewarded their civility by tearing their coats or pulling their clothes off their backs before he returned home; so that at last they bestowed upon him, by general consent, the honourable title of _'Squire Bruin_.	His favorite diversion was that which has been distinguished by the vulgar, by the well known name of underscore Pully Hawly underscore, in which he so much excelled that whenever he was invited by the young gentlemen and ladies in the neighbourhood to play with them, he generally rewarded their civility by tearing their coats or pulling their clothes off their backs before he returned home; so that at last they bestowed upon him, by general consent, the honourable title of underscore'Squire Bruin underscore.	false	627.03	635.52	22.121962
2269_165387_000006_000013	It must, however, be acknowledged that he was a youth of such impartial justice, that he shewed as little favour to his own clothes as to those of _other_ people; for what with climbing up old trees, and rambling over hedges and ditches, to seek for birds nests, he commonly appeared by dinner time, how well soever he had been dressed in the morning, in as ragged a coat as he wears at present.	It must, however, be acknowledged that he was a youth of such impartial justice, that he shewed as little favour to his own clothes as to those of underscore other underscore people; for what with climbing up old trees, and rambling over hedges and ditches, to seek for birds nests, he commonly appeared by dinner time, how well soever he had been dressed in the morning, in as ragged a coat as he wears at present.	false	635.52	639.24	15
2269_165387_000006_000014	It must also be remarked, that if the young gentlemen and ladies soon grew weary, as indeed they did, of such a rough play fellow, he, in _his_ turn, was as willing to leave _their_ company, as they were to be rid of _his_; for his chief delight was to associate with such vulgar boys and girls as were of the same rugged disposition as himself.	It must also be remarked, that if the young gentlemen and ladies soon grew weary, as indeed they did, of such a rough play fellow, he, in underscore his underscore turn, was as willing to leave underscore their underscore company, as they were to be rid of underscore his underscore; for his chief delight was to associate with such vulgar boys and girls as were of the same rugged disposition as himself.	false	639.24	648.75	22.360641
2269_165387_000006_000015	With these he could pull and hawl and romp and tear as long as he pleased; and the more active he became in this raggamuffin species of diversion, the more they relished his company.	With these he could pull and hawl and romp and tear as long as he pleased; and the more active he became in this raggamuffin species of diversion, the more they relished his company.	false	648.75	651	27.584167
2269_165387_000006_000016	But, upon occasion, he could fight as well as play: I mean when he either was provoked to it by his equals, or tempted to it by the hopes of defrauding of their little property those who he knew had neither strength enough nor courage to resist him.	But, upon occasion, he could fight as well as play: I mean when he either was provoked to it by his equals, or tempted to it by the hopes of defrauding of their little property those who he knew had neither strength enough nor courage to resist him.	false	651	660.78	20.990904
2269_165387_000006_000017	But whatever was his motive either for _beginning_ or suffering himself to be _drawn_ into an engagement, he was very far from confining himself to any rules of honour, or to the established laws of war; for instead of boxing fairly, he would kick, pull hair, bite, and scratch most unmercifully, and never fail to take every advantage of his antagonist after he had brought him to the ground.	But whatever was his motive either for underscore beginning underscore or suffering himself to be underscore drawn underscore into an engagement, he was very far from confining himself to any rules of honour, or to the established laws of war; for instead of boxing fairly, he would kick, pull hair, bite, and scratch most unmercifully, and never fail to take every advantage of his antagonist after he had brought him to the ground.	false	660.78	666.18	20.074797
2269_165387_000006_000018	For these reasons he was soon dignified with the nick name of _Dick Bear_, even by the vulgar boys in the streets; and most of them afterwards took care never to engage with him unless when there were several other boys present to see fair play.	For these reasons he was soon dignified with the nick name of underscore Dick Bear underscore, even by the vulgar boys in the streets; and most of them afterwards took care never to engage with him unless when there were several other boys present to see fair play.	false	666.18	666.18	
2269_165387_000006_000019	One would think that such a rough hewn and slovenly mortal as we have been describing would have had little regard for any delicacies in the eating way.	One would think that such a rough hewn and slovenly mortal as we have been describing would have had little regard for any delicacies in the eating way.	false	666.18	666.18	
2269_165387_000006_000020	But whoever draws such a conclusion in favour of our hero, _Dicky Rustick_, is greatly mistaken; for I can assure you that he had as nice and dainty a tooth as any lady in the land.	But whoever draws such a conclusion in favour of our hero, underscore Dicky Rustick underscore, is greatly mistaken; for I can assure you that he had as nice and dainty a tooth as any lady in the land.	false	666.18	666.18	
2269_165387_000006_000021	Though his father always kept a handsome table, it afforded scarcely any thing which was good enough for the palate of Master _Richard_.	Though his father always kept a handsome table, it afforded scarcely any thing which was good enough for the palate of Master underscore Richard underscore.	false	666.18	666.18	
2269_165387_000006_000022	Nothing would go down with him but tarts, custards, and the most costly cakes and puddings; for as to good roast and boiled meat and plain and wholesome pies or dumplings, he would turn up his nose at them as if they were fit only for vagabonds and beggars.	Nothing would go down with him but tarts, custards, and the most costly cakes and puddings; for as to good roast and boiled meat and plain and wholesome pies or dumplings, he would turn up his nose at them as if they were fit only for vagabonds and beggars.	false	666.18	666.18	
2269_165387_000006_000023	Nay, even to this very hour, and in his present clumsy shape, he is almost as dainty as ever; for he is remarkably fond of honey, and if permitted would often expose his shaggy head and his eyes to the resentment of the bees, by disturbing their hives to rob them of their delicious store.	Nay, even to this very hour, and in his present clumsy shape, he is almost as dainty as ever; for he is remarkably fond of honey, and if permitted would often expose his shaggy head and his eyes to the resentment of the bees, by disturbing their hives to rob them of their delicious store.	false	666.18	666.18	
2269_165387_000006_000024	It was his fondness for niceties of every kind which shortened his days, and eased his parents of their apprehensions for a son who, if he had lived, would have been a continual plague and disgrace to them; for on the day when he entered into the fourteenth year of his age, being indulged rather more than common, he devoured such a quantity of the richest tarts, that his stomach could not digest them; so that he soon fell into a violent fever, which in a few days hurried his unworthy soul out of the body of a young country 'squire (for such he would have been) into the carcass of this hairy and awkward young monster which now stands before you.	It was his fondness for niceties of every kind which shortened his days, and eased his parents of their apprehensions for a son who, if he had lived, would have been a continual plague and disgrace to them; for on the day when he entered into the fourteenth year of his age, being indulged rather more than common, he devoured such a quantity of the richest tarts, that his stomach could not digest them; so that he soon fell into a violent fever, which in a few days hurried his unworthy soul out of the body of a young country 'squire (for such he would have been) into the carcass of this hairy and awkward young monster which now stands before you.	false	666.18	666.18	
2269_165387_000006_000025	He so well understands what I have been saying, and is so much vexed at the character I have given of him, which he knows to be a very just one, that if you will promise to quit the room and leave him to himself he will pleasure you with one of his best dances before you go."--Accordingly after thanking the Bramin for the account he had given us, we all promised to leave Mr. _Bruin_ to his own meditation; upon which, after taking two or three sulkey rounds, the young savage reared himself upon his buttocks, and shuffled a saraband which lasted a few minutes.	He so well understands what I have been saying, and is so much vexed at the character I have given of him, which he knows to be a very just one, that if you will promise to quit the room and leave him to himself he will pleasure you with one of his best dances before you go."--Accordingly after thanking the Bramin for the account he had given us, we all promised to leave mr underscore Bruin underscore to his own meditation; upon which, after taking two or three sulkey rounds, the young savage reared himself upon his buttocks, and shuffled a saraband which lasted a few minutes.	false	666.18	675.64	20.95599
2269_165387_000006_000026	When he had finished his dance he swaggered down again upon his fore paws, and by a sullen growl seemed to claim the performance of our promise, an indulgence which we very readily granted him.	When he had finished his dance he swaggered down again upon his fore paws, and by a sullen growl seemed to claim the performance of our promise, an indulgence which we very readily granted him.	false	676.37	702.69	18.613083
