4064_77779_000000_000000	"And why, pray?" asked the Doctor.	"And why, pray?" asked the Doctor.	false	3.18	5.97	23.452854
4064_77779_000009_000000	"You must admit, however," said the Bibliomaniac, "that a man with an honorable name must find it unpleasant to have such outrageous stories told of him."	"You must admit, however," said the Bibliomaniac, "that a man with an honorable name must find it unpleasant to have such outrageous stories told of him."	true	221.72	231.94	24.143751
4064_77779_000010_000000	"Not a bit of it," laughed the Idiot.	"Not a bit of it," laughed the Idiot.	true	232.55	235.39	23.773981
4064_77779_000010_000001	"The more outrageous the better. For instance, when _The Sunday Jigger_ comes out with a four-page revelation of your Republican candidate's past, in which we learn how, in 1873, he put out the eyes of a maiden aunt with a red-hot poker, and stabbed a negro cook in the back with a skewer, because she would not permit him to put rat-poison in his grandfather's coffee, you know perfectly well that that story has been put forth for the purpose of turning the maiden aunt, negro, and grandfather votes against him.	"The more outrageous the better. For instance, when underscore The Sunday Jigger underscore comes out with a four page revelation of your Republican candidate's past, in which we learn how, in eighteen seventy three, he put out the eyes of a maiden aunt with a red hot poker, and stabbed a negro cook in the back with a skewer, because she would not permit him to put rat poison in his grandfather's coffee, you know perfectly well that that story has been put forth for the purpose of turning the maiden aunt, negro, and grandfather votes against him.	false	235.52	271.33	24.013796
4064_77779_000010_000002	You know well enough that he either never did what is charged against him, or at least that the story is greatly exaggerated--he may have stuck a pin into the cook, and played some boyish trick upon some of his relatives--but the story on the face of it is untrue and therefore harmless.	You know well enough that he either never did what is charged against him, or at least that the story is greatly exaggerated-he may have stuck a pin into the cook, and played some boyish trick upon some of his relatives-but the story on the face of it is untrue and therefore harmless.	true	271.55	290.17	23.00775
4064_77779_000010_000003	Similarly with the Democratic candidate.	Similarly with the Democratic candidate.	true	290.66	293.74	25.684675
4064_77779_000010_000004	When the _Daily Flim Flam_ asserts that he believes that the working-man is entitled to four cents a day for sixteen hours' work, and has repeatedly avowed that bread and water is the proper food for motormen, everybody with common-sense realizes at once that even the _Flim Flam_ doesn't believe the story.	When the underscore Daily Flim Flam underscore asserts that he believes that the working man is entitled to four cents a day for sixteen hours' work, and has repeatedly avowed that bread and water is the proper food for motormen, everybody with common sense realizes at once that even the underscore Flim Flam underscore doesn't believe the story.	false	294.11	314.23	21.707384
4064_77779_000010_000005	It hurts no one, therefore, and provokes a great deal of innocent mirth.	It hurts no one, therefore, and provokes a great deal of innocent mirth.	true	314.45	319.51	25.07968
4064_77779_000010_000006	You don't yourself believe that last yarn about the Prohibition candidate, do you?"	You don't yourself believe that last yarn about the Prohibition candidate, do you?"	true	319.82	324.46	22.504557
4064_77779_000011_000000	"I haven't heard any yarn about him," said the Bibliomaniac.	"I haven't heard any yarn about him," said the Bibliomaniac.	true	325.16	328.87	20.128946
4064_77779_000012_000000	"That he is the owner of a brewery up in Rochester, and backs fifteen saloons and a pool-room in New York?" said the Idiot.	"That he is the owner of a brewery up in Rochester, and backs fifteen saloons and a pool room in New York?" said the Idiot.	true	329.45	336.94	21.751478
4064_77779_000013_000000	"Of course I don't," said the Bibliomaniac.	"Of course I don't," said the Bibliomaniac.	true	337.16	339.99	23.751154
4064_77779_000013_000001	"Who does?"	"Who does?"	true	339.99	341.05	27.98939
4064_77779_000014_000000	"Nobody," said the Idiot; "and therefore the story doesn't hurt the man's reputation a bit, or interfere with his chances of election in the least.	"Nobody," said the Idiot; "and therefore the story doesn't hurt the man's reputation a bit, or interfere with his chances of election in the least.	true	341.39	350.8	22.103394
4064_77779_000014_000001	Take that other story published in a New York newspaper that on the 10th of last August Thompson Bondifeller's yacht was seen anchored for six hours off Tom Watson's farm, two hundred miles from the sea, and that the Populist candidate, disguised as a bank president, went off with the trust magnate on a cruise from Atlanta, Georgia, to Oklahoma--you don't believe that, do you?"	Take that other story published in a New York newspaper that on the tenth of last August Thompson Bondifeller's yacht was seen anchored for six hours off Tom Watson's farm, two hundred miles from the sea, and that the Populist candidate, disguised as a bank president, went off with the trust magnate on a cruise from atlanta georgia, to Oklahoma-you don't believe that, do you?"	true	351.35	375.52	23.607492
4064_77779_000015_000000	"It's preposterous on the face of it," said Mr. Bib.	"It's preposterous on the face of it," said mr Bib.	true	375.98	379.54	24.347803
4064_77779_000016_000000	"Well, that's the way the thing works," said the Idiot.	"Well, that's the way the thing works," said the Idiot.	true	379.7	382.48	23.505104
4064_77779_000016_000001	"And that's why I think there's a lot of bully good fun to be had out of a political campaign.	"And that's why I think there's a lot of bully good fun to be had out of a political campaign.	true	382.64	388.36	23.534254
4064_77779_000016_000002	I love anything that arouses the imagination of a people too much given over to the pursuit of the cold, hard dollar.	I love anything that arouses the imagination of a people too much given over to the pursuit of the cold, hard dollar.	true	388.61	396.13	22.702892
4064_77779_000016_000003	If it wasn't for these quadrennial political campaigns to spur the fancy on to glorious flights we should become a dull, hard, prosaic, unimaginative people, and that would be death to progress.	If it wasn't for these quadrennial political campaigns to spur the fancy on to glorious flights we should become a dull, hard, prosaic, unimaginative people, and that would be death to progress.	false	396.44	410.77	23.567995
4064_77779_000016_000004	No people can progress that lacks imagination.	No people can progress that lacks imagination.	true	411.23	414.34	23.793484
4064_77779_000016_000005	Politics is an emery-wheel that keeps our wits polished."	Politics is an emery wheel that keeps our wits polished."	true	414.77	418.66	23.831774
4064_77779_000017_000000	"Well, granting all that you say is true," said the Bibliomaniac, "the intrusion upon a man's private life that politics makes possible--surely you cannot condone that."	"Well, granting all that you say is true," said the Bibliomaniac, "the intrusion upon a man's private life that politics makes possible-surely you cannot condone that."	true	419.18	431.5	22.286726
4064_77779_000018_000000	The Idiot laughed.	The Idiot laughed.	true	432.02	433.78	24.464699
4064_77779_000019_000000	"That's the strangest argument of all," he said.	"That's the strangest argument of all," he said.	true	434.15	437.38	22.40228
4064_77779_000019_000001	"The very idea of a man who deliberately chooses public life as the sphere of his activities seeking to hide behind his private life is preposterous.	"The very idea of a man who deliberately chooses public life as the sphere of his activities seeking to hide behind his private life is preposterous.	true	437.69	447.76	21.997526
4064_77779_000019_000002	The fellow who does that, Mr. Bib, wants to lead a double life, and that is reprehensible.	The fellow who does that, mr Bib, wants to lead a double life, and that is reprehensible.	true	448.16	454.45	22.711437
4064_77779_000019_000003	The man who offers himself to the people hasn't any business to tie a string to any part of him.	The man who offers himself to the people hasn't any business to tie a string to any part of him.	true	454.91	460.75	22.756994
4064_77779_000019_000004	If Jim Jones wants to be President of the United States the people who are asked to put him there have a right to know what kind of a person Jim Jones is in his dressing-gown and slippers.	If Jim Jones wants to be President of the United States the people who are asked to put him there have a right to know what kind of a person Jim Jones is in his dressing gown and slippers.	false	461.06	472.78	24.241112
4064_77779_000019_000005	If he beats his mother-in-law, and eats asparagus with the sugar-tongs, and doesn't pay his grocer, the public have a right to know it.	If he beats his mother in law, and eats asparagus with the sugar tongs, and doesn't pay his grocer, the public have a right to know it.	true	473.03	481.45	25.249947
4064_77779_000019_000006	If he has children, the voters are perfectly justified in asking what kind of children they are, since the voters own the White House furniture, and if the Jim Jones children wipe their feet on plush chairs, and shoot holes in the paintings with their bean-snappers and putty-blowers, Uncle Sam, as a landlord and owner of the premises, ought to be warned beforehand.	If he has children, the voters are perfectly justified in asking what kind of children they are, since the voters own the White House furniture, and if the Jim Jones children wipe their feet on plush chairs, and shoot holes in the paintings with their bean snappers and putty blowers, Uncle Sam, as a landlord and owner of the premises, ought to be warned beforehand.	true	481.7	506.92	23.365614
4064_77779_000019_000007	You wouldn't yourself rent a furnished residence to a man whose children were known to have built bonfires in the parlor of their last known home, would you?"	You wouldn't yourself rent a furnished residence to a man whose children were known to have built bonfires in the parlor of their last known home, would you?"	true	507.29	515.92	21.843807
4064_77779_000020_000000	"I think not," smiled the Bibliomaniac.	"I think not," smiled the Bibliomaniac.	true	516.59	519.76	28.097885
4064_77779_000021_000000	"Then you cannot complain if Uncle Sam is equally solicitous about the personal paraphernalia of the man who asks to occupy his little cottage on the Potomac," said the Idiot.	"Then you cannot complain if Uncle Sam is equally solicitous about the personal paraphernalia of the man who asks to occupy his little cottage on the Potomac," said the Idiot.	true	520.07	532	25.064728
4064_77779_000021_000001	"So it happens that when a man runs for the Presidency the persons who intrude upon his private life, as you put it, are conferring a real service upon their fellow-citizens.	"So it happens that when a man runs for the Presidency the persons who intrude upon his private life, as you put it, are conferring a real service upon their fellow citizens.	true	532.46	544.24	22.33912
4064_77779_000021_000002	When I hear from an authentic source that Mr. So-and-So, the candidate of the Thisorthatic party for the Presidency, is married to an estimable lady who refers to all Frenchmen as parricides, because she believes they have come from Paris, I have a right to consider whether or not I wish to vote to place such a lady at the head of my official table at White House banquets, where she is likely, sooner or later, to encounter the French ambassador, and the man who gives me the necessary information is doing me a service.	When I hear from an authentic source that mr So and So, the candidate of the Thisorthatic party for the Presidency, is married to an estimable lady who refers to all Frenchmen as parricides, because she believes they have come from Paris, I have a right to consider whether or not I wish to vote to place such a lady at the head of my official table at White House banquets, where she is likely, sooner or later, to encounter the French ambassador, and the man who gives me the necessary information is doing me a service.	true	544.64	580.09	23.251005
4064_77779_000021_000003	You may say that the lady is not running for a public office, and that, therefore, she should be protected from public scrutiny, but that is a fallacy.	You may say that the lady is not running for a public office, and that, therefore, she should be protected from public scrutiny, but that is a fallacy.	true	580.73	590.44	24.25775
4064_77779_000021_000004	A man's wife is his better half and his children are a good part of the remainder, and what they do or don't do becomes a matter of legitimate public concern.	A man's wife is his better half and his children are a good part of the remainder, and what they do or don't do becomes a matter of legitimate public concern.	true	590.78	602.2	22.761608
4064_77779_000021_000005	As a matter of fact, a public man _can_ have no private life."	As a matter of fact, a public man underscore can underscore have no private life."	false	602.66	607.21	24.287947
4064_77779_000022_000000	"Then you approve of these stories of candidates' cousins, the prattling anecdotes of their grandchildren, these paragraphs narrating the doings of their uncles-in-law, and all that?" sneered the Bibliomaniac.	"Then you approve of these stories of candidates' cousins, the prattling anecdotes of their grandchildren, these paragraphs narrating the doings of their uncles in law, and all that?" sneered the Bibliomaniac.	true	607.7	620.71	21
4064_77779_000023_000000	"Certainly, I do," said the Idiot.	"Certainly, I do," said the Idiot.	true	620.96	623.08	23.75182
4064_77779_000023_000001	"When I hear that Judge Torkin's grandson, aged four, has come out for his grandfather's opponent I am delighted, and give the judge credit for the independent spirit which heredity accounts for; when it is told to me that Tom Watson's uncle is going to vote for Tom because he knows Tom doesn't believe what he says, I am almost inclined to vote for him as the uncle of his country; when I hear that Debs's son, aged three, has punched his daddy in the eye, on general principles I feel that there's a baby I want in the White House; and when it is told to me that the Prohibition candidate's third cousin has just been cured of delirium tremens, I feel that possibly there is a family average there that may be struck to the advantage of the country."	"When I hear that Judge Torkin's grandson, aged four, has come out for his grandfather's opponent I am delighted, and give the judge credit for the independent spirit which heredity accounts for; when it is told to me that Tom Watson's uncle is going to vote for Tom because he knows Tom doesn't believe what he says, I am almost inclined to vote for him as the uncle of his country; when I hear that Debs's son, aged three, has punched his daddy in the eye, on general principles I feel that there's a baby I want in the White House; and when it is told to me that the Prohibition candidate's third cousin has just been cured of delirium tremens, I feel that possibly there is a family average there that may be struck to the advantage of the country."	true	623.24	672.31	22.399673
4064_77779_000024_000000	"Say, Mr. Idiot," put in the Poet, at this point, "who are you going to vote for, anyhow?"	"Say, mr Idiot," put in the Poet, at this point, "who are you going to vote for, anyhow?"	true	673.19	679.09	22.084942
4064_77779_000025_000000	"Don't ask me," laughed the Idiot.	"Don't ask me," laughed the Idiot.	true	679.46	681.85	27.182802
4064_77779_000025_000001	"I don't know yet.	"I don't know yet.	true	681.89	683.32	21.774237
4064_77779_000025_000002	I admire all the candidates personally very much."	I admire all the candidates personally very much."	true	683.39	687.01	24.769634
4064_77779_000026_000000	"But what are your politics--Republican or Democratic?" asked the Lawyer.	"But what are your politics-Republican or Democratic?" asked the Lawyer.	true	687.47	691.99	28.041452
4064_77779_000027_000000	"Oh, that's different," said the Idiot.	"Oh, that's different," said the Idiot.	true	692.18	694.78	23.049805
4064_77779_000027_000001	"I'm a Sammycrat."	"I'm a Sammycrat."	true	694.82	696.49	24.035942
4064_77779_000028_000000	"A what?" cried the Idiot's fellow-boarders in unison.	"A what?" cried the Idiot's fellow boarders in unison.	true	696.77	700.6	23.139576
4064_77779_000029_000000	"A Sammycrat," said the Idiot.	"A Sammycrat," said the Idiot.	true	700.91	703.12	25.657545
4064_77779_000029_000001	"I'm for Uncle Sam every time.	"I'm for Uncle Sam every time.	true	703.13	705.43	22.404903
4064_77779_000029_000002	He's the best ever."	He's the best ever."	false	705.47	715.08	19.006159
