4064_77779_000002_000000	XIV	fourteen
4064_77779_000016_000004	No people can progress that lacks imagination.	No people can progress that lacks imagination.
4064_77779_000016_000005	Politics is an emery-wheel that keeps our wits polished."	Politics is an emery wheel that keeps our wits polished."
4064_77779_000017_000000	"Well, granting all that you say is true," said the Bibliomaniac, "the intrusion upon a man's private life that politics makes possible--surely you cannot condone that."	"Well, granting all that you say is true," said the Bibliomaniac, "the intrusion upon a man's private life that politics makes possible-surely you cannot condone that."
4064_77779_000018_000000	The Idiot laughed.	The Idiot laughed.
4064_77779_000019_000000	"That's the strangest argument of all," he said.	"That's the strangest argument of all," he said.
4064_77779_000019_000001	"The very idea of a man who deliberately chooses public life as the sphere of his activities seeking to hide behind his private life is preposterous.	"The very idea of a man who deliberately chooses public life as the sphere of his activities seeking to hide behind his private life is preposterous.
4064_77779_000019_000002	The fellow who does that, Mr. Bib, wants to lead a double life, and that is reprehensible.	The fellow who does that, mr Bib, wants to lead a double life, and that is reprehensible.
4064_77779_000019_000003	The man who offers himself to the people hasn't any business to tie a string to any part of him.	The man who offers himself to the people hasn't any business to tie a string to any part of him.
4064_77779_000019_000005	If he beats his mother-in-law, and eats asparagus with the sugar-tongs, and doesn't pay his grocer, the public have a right to know it.	If he beats his mother in law, and eats asparagus with the sugar tongs, and doesn't pay his grocer, the public have a right to know it.
4064_77779_000019_000006	If he has children, the voters are perfectly justified in asking what kind of children they are, since the voters own the White House furniture, and if the Jim Jones children wipe their feet on plush chairs, and shoot holes in the paintings with their bean-snappers and putty-blowers, Uncle Sam, as a landlord and owner of the premises, ought to be warned beforehand.	If he has children, the voters are perfectly justified in asking what kind of children they are, since the voters own the White House furniture, and if the Jim Jones children wipe their feet on plush chairs, and shoot holes in the paintings with their bean snappers and putty blowers, Uncle Sam, as a landlord and owner of the premises, ought to be warned beforehand.
4064_77779_000019_000007	You wouldn't yourself rent a furnished residence to a man whose children were known to have built bonfires in the parlor of their last known home, would you?"	You wouldn't yourself rent a furnished residence to a man whose children were known to have built bonfires in the parlor of their last known home, would you?"
4064_77779_000020_000000	"I think not," smiled the Bibliomaniac.	"I think not," smiled the Bibliomaniac.
4064_77779_000021_000000	"Then you cannot complain if Uncle Sam is equally solicitous about the personal paraphernalia of the man who asks to occupy his little cottage on the Potomac," said the Idiot.	"Then you cannot complain if Uncle Sam is equally solicitous about the personal paraphernalia of the man who asks to occupy his little cottage on the Potomac," said the Idiot.
4064_77779_000021_000001	"So it happens that when a man runs for the Presidency the persons who intrude upon his private life, as you put it, are conferring a real service upon their fellow-citizens.	"So it happens that when a man runs for the Presidency the persons who intrude upon his private life, as you put it, are conferring a real service upon their fellow citizens.
4064_77779_000021_000003	You may say that the lady is not running for a public office, and that, therefore, she should be protected from public scrutiny, but that is a fallacy.	You may say that the lady is not running for a public office, and that, therefore, she should be protected from public scrutiny, but that is a fallacy.
4064_77779_000021_000004	A man's wife is his better half and his children are a good part of the remainder, and what they do or don't do becomes a matter of legitimate public concern.	A man's wife is his better half and his children are a good part of the remainder, and what they do or don't do becomes a matter of legitimate public concern.
4064_77779_000022_000000	"Then you approve of these stories of candidates' cousins, the prattling anecdotes of their grandchildren, these paragraphs narrating the doings of their uncles-in-law, and all that?" sneered the Bibliomaniac.	"Then you approve of these stories of candidates' cousins, the prattling anecdotes of their grandchildren, these paragraphs narrating the doings of their uncles in law, and all that?" sneered the Bibliomaniac.
4064_77779_000023_000000	"Certainly, I do," said the Idiot.	"Certainly, I do," said the Idiot.
4064_77779_000024_000000	"Say, Mr. Idiot," put in the Poet, at this point, "who are you going to vote for, anyhow?"	"Say, mr Idiot," put in the Poet, at this point, "who are you going to vote for, anyhow?"
4064_77779_000025_000000	"Don't ask me," laughed the Idiot.	"Don't ask me," laughed the Idiot.
4064_77779_000025_000001	"I don't know yet.	"I don't know yet.
4064_77779_000025_000002	I admire all the candidates personally very much."	I admire all the candidates personally very much."
4064_77779_000026_000000	"But what are your politics--Republican or Democratic?" asked the Lawyer.	"But what are your politics-Republican or Democratic?" asked the Lawyer.
4064_77779_000027_000000	"Oh, that's different," said the Idiot.	"Oh, that's different," said the Idiot.
4064_77779_000027_000001	"I'm a Sammycrat."	"I'm a Sammycrat."
4064_77779_000028_000000	"A what?" cried the Idiot's fellow-boarders in unison.	"A what?" cried the Idiot's fellow boarders in unison.
4064_77779_000029_000000	"A Sammycrat," said the Idiot.	"A Sammycrat," said the Idiot.
4064_77779_000029_000001	"I'm for Uncle Sam every time.	"I'm for Uncle Sam every time.
