8635_295756_000000_000000	CHAPTER II.	CHAPTER two.
8635_295756_000015_000000	There was a pot half full of water with a piece of deer-skin stretched tight on the top, and a gourd with some shot in it, and a piece of horse's tail tied to it to make it look fine.	There was a pot half full of water with a piece of deer skin stretched tight on the top, and a gourd with some shot in it, and a piece of horse's tail tied to it to make it look fine.
8635_295756_000016_000000	Late in the day of March 26, they came to a place where dwelt a man named Hedge, who was in the pay of King George as justice of the peace.	Late in the day of march twenty sixth, they came to a place where dwelt a man named Hedge, who was in the pay of King George as justice of the peace.
8635_295756_000016_000001	Here they camped, and at the meal that was spread there was not a knife nor a fork to eat with but such as the guests had brought with them.	Here they camped, and at the meal that was spread there was not a knife nor a fork to eat with but such as the guests had brought with them.
8635_295756_000017_000000	On the night of the first of A-pril the wind blew and the rain fell. The straw on which they lay took fire, and George was saved by one of the men, who woke him when it was in a blaze.	On the night of the first of A pril the wind blew and the rain fell. The straw on which they lay took fire, and George was saved by one of the men, who woke him when it was in a blaze.
8635_295756_000021_000000	This rough kind of life, though he did not know it, was to fit him for the toils and ills of war, of which he may have dreamt in those days, as he still kept up his love for war-like things.	This rough kind of life, though he did not know it, was to fit him for the toils and ills of war, of which he may have dreamt in those days, as he still kept up his love for war like things.
8635_295756_000022_000001	He lived on a knoll, in a small house not more than twelve feet square.	He lived on a knoll, in a small house not more than twelve feet square.
8635_295756_000022_000003	Red-men, half breeds, and wood-men thronged the place, where they were sure they would get a good meal.	Red men, half breeds, and wood men thronged the place, where they were sure they would get a good meal.
8635_295756_000022_000004	He had steeds of fine breed, and hounds of keen scent, for he was fond of the chase, and the woods and hills were full of game.	He had steeds of fine breed, and hounds of keen scent, for he was fond of the chase, and the woods and hills were full of game.
8635_295756_000023_000001	This wise friend lent George good books which he took with him to the woods and read with great care, and in this way stored his mind with rich thoughts.	This wise friend lent George good books which he took with him to the woods and read with great care, and in this way stored his mind with rich thoughts.
8635_295756_000025_000000	A Dutch-man, named Van-Bra-am, was one of these men, and he claimed to know a great deal of the art of war.	A Dutch man, named Van Bra am, was one of these men, and he claimed to know a great deal of the art of war.
8635_295756_000027_000002	At sea he kept a log-book, took notes of the course of the winds, and if the days were fair or foul, and learned all he could of the ways of a ship and how to sail one.	At sea he kept a log book, took notes of the course of the winds, and if the days were fair or foul, and learned all he could of the ways of a ship and how to sail one.
8635_295756_000029_000000	They had been but two weeks in Bar-ba-does when George fell ill with small-pox, and this for a time put an end to all their sports.	They had been but two weeks in Bar ba does when George fell ill with small pox, and this for a time put an end to all their sports.
8635_295756_000029_000001	But he had the best of care, and at the end of three weeks was so well that he could go out of doors.	But he had the best of care, and at the end of three weeks was so well that he could go out of doors.
8635_295756_000030_000000	Law-rence soon tired of this place, and longed for a change of scene. They had to ride out by the first dawn of day, for by the time the sun was half an hour high it was as hot as at mid-day.	Law rence soon tired of this place, and longed for a change of scene. They had to ride out by the first dawn of day, for by the time the sun was half an hour high it was as hot as at mid day.
8635_295756_000032_000000	Law-rence did not gain in health, and ere his wife could join him he wrote her that he would start for home--"to his grave." He reached Mount Ver-non in time to die 'neath his own roof, and with kind friends at his bed-side.	Law rence did not gain in health, and ere his wife could join him he wrote her that he would start for home-"to his grave." He reached Mount Ver non in time to die 'neath his own roof, and with kind friends at his bed side.
