8635_295756_000000_000000	CHAPTER II.	CHAPTER two.	true	22.395	24.13	27.625568
8635_295756_000008_000000	Here George had a chance to make friends with those of high rank, and he spent much of his time with George Fair-fax who made his home at _Bel-voir_, near Mount Ver-non.	Here George had a chance to make friends with those of high rank, and he spent much of his time with George Fair fax who made his home at underscore Bel voir underscore, near Mount Ver non.	false	134.45	144.01	23.007936
8635_295756_000008_000001	Lord Fair-fax, a man of wealth and worth was much at Bel-voir at that time.	Lord Fair fax, a man of wealth and worth was much at Bel voir at that time.	false	144.26	149.2	22.818478
8635_295756_000008_000002	He had bought large tracts of land in Vir-gin-i-a, which had not been staked out, or set off in-to lots.	He had bought large tracts of land in Vir gin i a, which had not been staked out, or set off in to lots.	false	149.33	156.34	22.937567
8635_295756_000008_000003	In fact he did not know their size or shape, but he had heard that men had sought out some of the best spots, and had built homes there, and laid out farms for which they paid no rent, and he thought it quite time to put a stop to such things.	In fact he did not know their size or shape, but he had heard that men had sought out some of the best spots, and had built homes there, and laid out farms for which they paid no rent, and he thought it quite time to put a stop to such things.	true	156.59	171.31	22.736736
8635_295756_000009_000000	In March, 1748, George Wash-ing-ton, who had been picked out by Lord Fair-fax for this task, went on his first trip with George Fair-fax to stake off these wild lands.	In March, seventeen forty eight, George Wash ing ton, who had been picked out by Lord Fair fax for this task, went on his first trip with George Fair fax to stake off these wild lands.	false	171.47	181.6	23.076683
8635_295756_000009_000001	He wrote down what was done from day to day, and by these notes we learn that he had quite a rough time of it, and yet found much that was to his taste.	He wrote down what was done from day to day, and by these notes we learn that he had quite a rough time of it, and yet found much that was to his taste.	true	181.76	191.98	25.71344
8635_295756_000009_000002	He and the men with him rode for miles and miles through lands rich in grain, hemp, and to-bac-co, and through fine groves of trees on the bank of a broad stream.	He and the men with him rode for miles and miles through lands rich in grain, hemp, and to b a c co, and through fine groves of trees on the bank of a broad stream.	false	192.11	202.89	20.345924
8635_295756_000010_000000	[Illustration: WASHINGTON'S FIRST SPEECH TO THE INDIANS.--P. 19.]	[Illustration: WASHINGTON'S FIRST SPEECH TO THE INDIANS.--P. nineteen.]	false	202.89	203.055	-20
8635_295756_000011_000000	One night, writes George, when they had been hard at work all day, they came to the house where they were to be fed and lodged.	One night, writes George, when they had been hard at work all day, they came to the house where they were to be fed and lodged.	true	203.055	210.37	21.472446
8635_295756_000011_000001	The wood-men went to bed with their clothes on, but George took his off, and as he turned in he found his bed was of loose straw with not a thing on it but the thread-bare blank-et he was to wrap him-self in. The fleas and bugs soon forced George to get up and put on his clothes and lie as the rest of the men did, and "had we not been so tired," he says "I am sure we should not have slept much that night." He made a vow then that he would sleep out of doors near a fire when on such tramps, and run no more such risks.	The wood men went to bed with their clothes on, but George took his off, and as he turned in he found his bed was of loose straw with not a thing on it but the thread bare blank et he was to wrap him self in. The fleas and bugs soon forced George to get up and put on his clothes and lie as the rest of the men did, and "had we not been so tired," he says "I am sure we should not have slept much that night." He made a vow then that he would sleep out of doors near a fire when on such tramps, and run no more such risks.	false	210.47	241.84	22.465675
8635_295756_000012_000000	On March 18, they reached a point on the Po-to-mac, which they were told they could not ford.	On march eighteenth, they reached a point on the Po to mac, which they were told they could not ford.	false	241.97	248.17	26.212364
8635_295756_000012_000001	There had been a great rain-fall and the stream had not been so high, by six feet, as it was at that time.	There had been a great rain fall and the stream had not been so high, by six feet, as it was at that time.	false	248.33	254.83	24.483242
8635_295756_000012_000002	They made up their minds to stay there for a day or two; went to see the Warm Springs, and at night camped out in the field.	They made up their minds to stay there for a day or two; went to see the Warm Springs, and at night camped out in the field.	true	254.99	262	22.767069
8635_295756_000012_000003	At the end of two days, as the stream was still high, they swam their steeds to the Mar-y-land side.	At the end of two days, as the stream was still high, they swam their steeds to the Mar y land side.	false	262.13	268.81	21.687489
8635_295756_000012_000004	The men crossed in birch-bark boats, and rode all the next day in a rain storm to a place two-score miles from where they had set out that morn.	The men crossed in birch bark boats, and rode all the next day in a rain storm to a place two score miles from where they had set out that morn.	true	268.88	277.74	23.794067
8635_295756_000012_000005	Wash-ing-ton writes that the road was "the worst that had ever been trod by man or beast."	Wash ing ton writes that the road was "the worst that had ever been trod by man or beast."	false	277.74	285.04	22.561977
8635_295756_000013_000000	On March 23, they fell in with a score or two of red-men who had been off to war and brought home but one scalp, and they had a chance to see a war-dance.	On march twenty third, they fell in with a score or two of red men who had been off to war and brought home but one scalp, and they had a chance to see a war dance.	true	285.23	295.9	22.718304
8635_295756_000013_000001	The red-men cleared a large space, and built a fire in the midst of it, round which they all sat.	The red men cleared a large space, and built a fire in the midst of it, round which they all sat	true	296.06	301.51	24.771307
8635_295756_000013_000002	One of the men then made a grand speech in which he told them how they were to dance.	One of the men then made a grand speech in which he told them how they were to dance.	true	301.67	307.18	21.940783
8635_295756_000014_000000	When he had done, the one who could dance the best sprang up as if he had just been roused from sleep, and ran and jumped round the ring in a queer kind of way.	When he had done, the one who could dance the best sprang up as if he had just been roused from sleep, and ran and jumped round the ring in a queer kind of way.	true	307.37	318.22	22.788073
8635_295756_000014_000001	The rest soon joined him, and did just as he did. By this time the band made it-self heard, and I shall have to tell you what a fine band it was.	The rest soon joined him, and did just as he did. By this time the band made it self heard, and I shall have to tell you what a fine band it was.	true	318.5	327.94	24.545267
8635_295756_000015_000000	There was a pot half full of water with a piece of deer-skin stretched tight on the top, and a gourd with some shot in it, and a piece of horse's tail tied to it to make it look fine.	There was a pot half full of water with a piece of deer skin stretched tight on the top, and a gourd with some shot in it, and a piece of horse's tail tied to it to make it look fine.	true	328.25	339.07	23.631489
8635_295756_000015_000001	One man shook the gourd, and one drummed all the while the rest danced, and I doubt if you would care to hear the noise that was made.	One man shook the gourd, and one drummed all the while the rest danced, and I doubt if you would care to hear the noise that was made.	false	339.17	347.32	20.05516
8635_295756_000016_000000	Late in the day of March 26, they came to a place where dwelt a man named Hedge, who was in the pay of King George as justice of the peace.	Late in the day of march twenty sixth, they came to a place where dwelt a man named Hedge, who was in the pay of King George as justice of the peace.	true	347.36	356.8	24.255953
8635_295756_000016_000001	Here they camped, and at the meal that was spread there was not a knife nor a fork to eat with but such as the guests had brought with them.	Here they camped, and at the meal that was spread there was not a knife nor a fork to eat with but such as the guests had brought with them.	true	357.05	365.08	25.825916
8635_295756_000017_000000	On the night of the first of A-pril the wind blew and the rain fell. The straw on which they lay took fire, and George was saved by one of the men, who woke him when it was in a blaze.	On the night of the first of A pril the wind blew and the rain fell. The straw on which they lay took fire, and George was saved by one of the men, who woke him when it was in a blaze.	true	365.24	375.61	21.459818
8635_295756_000018_000000	"I have not slept for four nights in a bed," wrote Wash-ing-ton at this time to one of his young friends at home, "but when I have walked a good deal in the day, I lie down on a heap of straw, or a bear-skin by the fire, with man, wife, young ones, dogs, and cats; and he is in luck who gets the place next the fire."	"I have not slept for four nights in a bed," wrote Wash ing ton at this time to one of his young friends at home, "but when I have walked a good deal in the day, I lie down on a heap of straw, or a bear skin by the fire, with man, wife, young ones, dogs, and cats; and he is in luck who gets the place next the fire."	false	375.83	393.76	22.824963
8635_295756_000019_000000	For three years he kept up this mode of life, but as it was a hard life to lead he could be out but a few weeks at a time.	For three years he kept up this mode of life, but as it was a hard life to lead he could be out but a few weeks at a time.	false	393.92	400.98	22.777359
8635_295756_000019_000001	His pay was a doub-loon a day, and some-times six pis-toles.	His pay was a doub loon a day, and some times six pis toles.	false	400.98	405.3	22.005436
8635_295756_000020_000000	A doub-loon is a gold coin of Spain, worth not quite 16 dol-lars.	A doub loon is a gold coin of Spain, worth not quite sixteen dol lars.	false	405.3	409.83	20.499111
8635_295756_000020_000001	A pis-tole is a small gold coin of Spain, worth not quite four dol-lars.	A pis tole is a small gold coin of Spain, worth not quite four dol lars.	false	409.83	414.84	22.782398
8635_295756_000021_000000	This rough kind of life, though he did not know it, was to fit him for the toils and ills of war, of which he may have dreamt in those days, as he still kept up his love for war-like things.	This rough kind of life, though he did not know it, was to fit him for the toils and ills of war, of which he may have dreamt in those days, as he still kept up his love for war like things.	true	414.84	426.85	22.708986
8635_295756_000022_000000	While at work on the land round the Blue Ridge, he now and then made his way to _Green-way Court_ where Lord Fair-fax dwelt at this time. Here he had a chance to read choice books, for Lord Fair-fax had a fine mind though his tastes were queer.	While at work on the land round the Blue Ridge, he now and then made his way to underscore Green way Court underscore where Lord Fair fax dwelt at this time. Here he had a chance to read choice books, for Lord Fair fax had a fine mind though his tastes were queer.	false	427.01	442.6	21.732672
8635_295756_000022_000001	He lived on a knoll, in a small house not more than twelve feet square.	He lived on a knoll, in a small house not more than twelve feet square.	true	442.73	447.46	22.717546
8635_295756_000022_000002	All round him were the huts for his "help," black and white.	All round him were the huts for his "help," black and white.	false	447.5	451.185	22.132368
8635_295756_000022_000003	Red-men, half breeds, and wood-men thronged the place, where they were sure they would get a good meal.	Red men, half breeds, and wood men thronged the place, where they were sure they would get a good meal.	true	451.185	457.21	20.902088
8635_295756_000022_000004	He had steeds of fine breed, and hounds of keen scent, for he was fond of the chase, and the woods and hills were full of game.	He had steeds of fine breed, and hounds of keen scent, for he was fond of the chase, and the woods and hills were full of game.	true	457.4	465.12	20.587961
8635_295756_000023_000000	Here was a grand chance for George, who had a great taste for field-sports, and his rides, and walks, and talks with Lord Fair-fax were a rich treat to the home-bred youth.	Here was a grand chance for George, who had a great taste for field sports, and his rides, and walks, and talks with Lord Fair fax were a rich treat to the home bred youth.	false	465.12	475.24	24.165564
8635_295756_000023_000001	This wise friend lent George good books which he took with him to the woods and read with great care, and in this way stored his mind with rich thoughts.	This wise friend lent George good books which he took with him to the woods and read with great care, and in this way stored his mind with rich thoughts.	true	475.34	484.48	21.439253
8635_295756_000024_000000	In Vir-gin-i-a there were some few men who had served in the late war 'twixt Eng-land and Spain, and they put George through such a drill with sword and with gun that he learned to use them both with great skill.	In Vir gin i a there were some few men who had served in the late war 'twixt Eng land and Spain, and they put George through such a drill with sword and with gun that he learned to use them both with great skill.	false	484.76	496.93	21.522835
8635_295756_000025_000000	A Dutch-man, named Van-Bra-am, was one of these men, and he claimed to know a great deal of the art of war.	A Dutch man, named Van Bra am, was one of these men, and he claimed to know a great deal of the art of war.	true	497.06	503.4	20.983706
8635_295756_000025_000001	He it was that took George in hand to teach him the use of the sword, and how to fence.	He it was that took George in hand to teach him the use of the sword, and how to fence.	false	503.4	508.27	20.913374
8635_295756_000026_000000	When he was 19 years of age the red-men and the French had made such in-roads on the front, that it was thought best to place men on guard to keep back these foes, and to up-hold the laws of the state of Vir-gin-i-a.	When he was nineteen years of age the red men and the French had made such in roads on the front, that it was thought best to place men on guard to keep back these foes, and to up hold the laws of the state of Vir gin i a.	false	508.43	521.73	21.765808
8635_295756_000026_000001	There was need of some one to take charge of a school-of-arms at one of the chief out-posts where the French sought to get a foot-hold, and the choice fell on George Wash-ing-ton, who set to work at once to fit him-self for the place.	There was need of some one to take charge of a school of arms at one of the chief out posts where the French sought to get a foot hold, and the choice fell on George Wash ing ton, who set to work at once to fit him self for the place.	false	521.73	534.58	21.622858
8635_295756_000027_000000	His broth-er's ill health caused this scheme to be dropped for a time, as Law-rence was forced to go to the West In-dies for change of air, and begged George to go with him.	His broth er's ill health caused this scheme to be dropped for a time, as Law rence was forced to go to the West In dies for change of air, and begged George to go with him.	false	534.83	544.69	23.686356
8635_295756_000027_000001	George gave up all thought of self, and the two set sail for Bar-ba-does, Sep-tem-ber 28, 1751.	George gave up all thought of self, and the two set sail for Bar ba does, Sep tem b e r twenty eight, seventeen fifty one.	false	544.82	551.77	24.632847
8635_295756_000027_000002	At sea he kept a log-book, took notes of the course of the winds, and if the days were fair or foul, and learned all he could of the ways of a ship and how to sail one.	At sea he kept a log book, took notes of the course of the winds, and if the days were fair or foul, and learned all he could of the ways of a ship and how to sail one.	true	551.99	562	21.415504
8635_295756_000028_000000	They reached Bar-ba-does on No-vem-ber 3, and were pleased with the place, and all the strange sights that met their gaze.	They reached Bar ba does on No v e m b e r three, and were pleased with the place, and all the strange sights that met their gaze.	false	562.13	569.62	23.352396
8635_295756_000028_000001	On all sides were fields of corn and sweet cane, and groves of trees rich in leaves and fruit, and all things held out a hope of cure for the sick man, whose lungs were in a weak state.	On all sides were fields of corn and sweet cane, and groves of trees rich in leaves and fruit, and all things held out a hope of cure for the sick man, whose lungs were in a weak state.	false	569.72	581.92	21.772058
8635_295756_000029_000000	They had been but two weeks in Bar-ba-does when George fell ill with small-pox, and this for a time put an end to all their sports.	They had been but two weeks in Bar ba does when George fell ill with small pox, and this for a time put an end to all their sports.	true	582.08	590.62	24.247395
8635_295756_000029_000001	But he had the best of care, and at the end of three weeks was so well that he could go out of doors.	But he had the best of care, and at the end of three weeks was so well that he could go out of doors.	true	590.84	596.68	22.760252
8635_295756_000030_000000	Law-rence soon tired of this place, and longed for a change of scene. They had to ride out by the first dawn of day, for by the time the sun was half an hour high it was as hot as at mid-day.	Law rence soon tired of this place, and longed for a change of scene. They had to ride out by the first dawn of day, for by the time the sun was half an hour high it was as hot as at mid day.	true	596.78	609.07	20.722414
8635_295756_000030_000001	There was no change in the sick man's health, and he made up his mind to go to Ber-mu-da in the spring.	There was no change in the sick man's health, and he made up his mind to go to b e r mu da in the spring.	false	609.29	614.62	22.55832
8635_295756_000030_000002	He was lone-some with-out his wife, so it was planned that George should go back home and bring her out to Ber-mu-da.	He was lone some with out his wife, so it was planned that George should go back home and bring her out to b e r mu da.	false	614.72	621.09	21.101866
8635_295756_000031_000000	George set sail, De-cem-ber 22, and reached Vir-gin-i-a at the end of five weeks.	George set sail, De cem b e r twenty two, and reached Vir gin i a at the end of five weeks.	false	621.09	625.87	23.064327
8635_295756_000031_000001	He must have been glad to step on shore once more, for the cold winds and fierce storms to be met with at sea, at that time of the year, made life on ship-board some-thing of a hard-ship.	He must have been glad to step on shore once more, for the cold winds and fierce storms to be met with at sea, at that time of the year, made life on ship board some thing of a hard ship.	false	626.06	636.465	23.052391
8635_295756_000032_000000	Law-rence did not gain in health, and ere his wife could join him he wrote her that he would start for home--"to his grave." He reached Mount Ver-non in time to die 'neath his own roof, and with kind friends at his bed-side.	Law rence did not gain in health, and ere his wife could join him he wrote her that he would start for home-"to his grave." He reached Mount Ver non in time to die 'neath his own roof, and with kind friends at his bed side.	true	636.465	652.03	21.455338
8635_295756_000032_000001	His death took place on the 26th of Ju-ly, 1752, when he was but 34 years of age.	His death took place on the twenty sixth of Ju ly, seventeen fifty two, when he was but thirty four years of age.	false	652.16	691.56	22.630842
