1195_130164_000000_000000	CHAPTER TWENTY-TWO	CHAPTER TWENTY TWO	false	0.96	21.22	21.468904
1195_130164_000004_000003	The Unquenchables had done their best to be worthy of the name, for like elves they had worked by night and conjured up a comical surprise.	The Unquenchables had done their best to be worthy of the name, for like elves they had worked by night and conjured up a comical surprise.	true	143.24	152.56	21
1195_130164_000004_000004	Out in the garden stood a stately snow maiden, crowned with holly, bearing a basket of fruit and flowers in one hand, a great roll of music in the other, a perfect rainbow of an Afghan round her chilly shoulders, and a Christmas carol issuing from her lips on a pink paper streamer.	Out in the garden stood a stately snow maiden, crowned with holly, bearing a basket of fruit and flowers in one hand, a great roll of music in the other, a perfect rainbow of an Afghan round her chilly shoulders, and a Christmas carol issuing from her lips on a pink paper streamer.	true	152.93	171.46	21.085093
1195_130164_000005_000000	THE JUNGFRAU TO BETH	THE JUNGFRAU TO BETH	true	172.7	174.61	21.515682
1195_130164_000006_000000	God bless you, dear Queen Bess! May nothing you dismay, But health and peace and happiness Be yours, this Christmas day.	God bless you, dear Queen Bess! May nothing you dismay, But health and peace and happiness Be yours, this Christmas day.	true	174.8	182.35	17
1195_130164_000007_000000	Here's fruit to feed our busy bee, And flowers for her nose. Here's music for her pianee, An afghan for her toes,	Here's fruit to feed our busy bee, And flowers for her nose. Here's music for her pianee, An afghan for her toes,	true	182.45	189.58	18
1195_130164_000008_000000	A portrait of Joanna, see, By Raphael No. 2, Who laboured with great industry To make it fair and true.	A portrait of Joanna, see, By Raphael no two, Who laboured with great industry To make it fair and true.	false	189.74	196.39	18
1195_130164_000009_000000	Accept a ribbon red, I beg, For Madam Purrer's tail, And ice cream made by lovely Peg, A Mont Blanc in a pail.	Accept a ribbon red, I beg, For Madam Purrer's tail, And ice cream made by lovely Peg, A Mont Blanc in a pail.	true	196.76	204.28	21
1195_130164_000010_000000	Their dearest love my makers laid Within my breast of snow. Accept it, and the Alpine maid, From Laurie and from Jo.	Their dearest love my makers laid Within my breast of snow. Accept it, and the Alpine maid, From Laurie and from Jo.	true	204.44	212.53	21
1195_130164_000011_000000	How Beth laughed when she saw it, how Laurie ran up and down to bring in the gifts, and what ridiculous speeches Jo made as she presented them.	How Beth laughed when she saw it, how Laurie ran up and down to bring in the gifts, and what ridiculous speeches Jo made as she presented them.	true	214.4	223.54	21.870972
1195_130164_000012_000000	"I'm so full of happiness, that if Father was only here, I couldn't hold one drop more," said Beth, quite sighing with contentment as Jo carried her off to the study to rest after the excitement, and to refresh herself with some of the delicious grapes the 'Jungfrau' had sent her.	"I'm so full of happiness, that if Father was only here, I couldn't hold one drop more," said Beth, quite sighing with contentment as Jo carried her off to the study to rest after the excitement, and to refresh herself with some of the delicious grapes the 'Jungfrau' had sent her.	true	225.86	245.05	21.502275
1195_130164_000013_000000	"So am I," added Jo, slapping the pocket wherein reposed the long-desired _Undine and Sintram_.	"So am I," added Jo, slapping the pocket wherein reposed the long desired underscore Undine and Sintram underscore.	false	246.05	253.23	21.942022
1195_130164_000014_000000	"I'm sure I am," echoed Amy, poring over the engraved copy of the Madonna and Child, which her mother had given her in a pretty frame.	"I'm sure I am," echoed Amy, poring over the engraved copy of the Madonna and Child, which her mother had given her in a pretty frame.	true	253.23	262.03	20.89606
1195_130164_000015_000000	"Of course I am!" cried Meg, smoothing the silvery folds of her first silk dress, for Mr. Laurence had insisted on giving it.	"Of course I am!" cried Meg, smoothing the silvery folds of her first silk dress, for mr Laurence had insisted on giving it.	true	263.24	271.78	20.42257
1195_130164_000015_000001	"How can I be otherwise?" said Mrs. March gratefully, as her eyes went from her husband's letter to Beth's smiling face, and her hand carressed the brooch made of gray and golden, chestnut and dark brown hair, which the girls had just fastened on her breast.	"How can I be otherwise?" said mrs March gratefully, as her eyes went from her husband's letter to Beth's smiling face, and her hand carressed the brooch made of gray and golden, chestnut and dark brown hair, which the girls had just fastened on her breast.	false	272.72	290.44	21.29288
1195_130164_000016_000000	Now and then, in this workaday world, things do happen in the delightful storybook fashion, and what a comfort it is.	Now and then, in this workaday world, things do happen in the delightful storybook fashion, and what a comfort it is.	false	291.59	299.23	18
1195_130164_000016_000001	Half an hour after everyone had said they were so happy they could only hold one drop more, the drop came.	Half an hour after everyone had said they were so happy they could only hold one drop more, the drop came.	true	299.72	306.4	21.192896
1195_130164_000016_000002	Laurie opened the parlor door and popped his head in very quietly.	Laurie opened the parlor door and popped his head in very quietly.	false	306.8	310.63	21.65127
1195_130164_000016_000003	He might just as well have turned a somersault and uttered an Indian war whoop, for his face was so full of suppressed excitement and his voice so treacherously joyful that everyone jumped up, though he only said, in a queer, breathless voice, "Here's another Christmas present for the March family."	He might just as well have turned a somersault and uttered an Indian war whoop, for his face was so full of suppressed excitement and his voice so treacherously joyful that everyone jumped up, though he only said, in a queer, breathless voice, "Here's another Christmas present for the March family."	false	311.54	329.11	21.028004
1195_130164_000017_000000	Before the words were well out of his mouth, he was whisked away somehow, and in his place appeared a tall man, muffled up to the eyes, leaning on the arm of another tall man, who tried to say something and couldn't.	Before the words were well out of his mouth, he was whisked away somehow, and in his place appeared a tall man, muffled up to the eyes, leaning on the arm of another tall man, who tried to say something and couldn't.	true	330.02	342.7	19
1195_130164_000017_000001	Of course there was a general stampede, and for several minutes everybody seemed to lose their wits, for the strangest things were done, and no one said a word.	Of course there was a general stampede, and for several minutes everybody seemed to lose their wits, for the strangest things were done, and no one said a word.	true	343.28	352.99	18.782719
1195_130164_000018_000000	Mr. March became invisible in the embrace of four pairs of loving arms. Jo disgraced herself by nearly fainting away, and had to be doctored by Laurie in the china closet.	mr March became invisible in the embrace of four pairs of loving arms. Jo disgraced herself by nearly fainting away, and had to be doctored by Laurie in the china closet.	true	354.47	364.99	17
1195_130164_000018_000001	Mr. Brooke kissed Meg entirely by mistake, as he somewhat incoherently explained.	mr Brooke kissed Meg entirely by mistake, as he somewhat incoherently explained.	true	365.27	370.39	19
1195_130164_000018_000002	And Amy, the dignified, tumbled over a stool, and never stopping to get up, hugged and cried over her father's boots in the most touching manner.	And Amy, the dignified, tumbled over a stool, and never stopping to get up, hugged and cried over her father's boots in the most touching manner.	true	370.43	379.45	18
1195_130164_000018_000003	Mrs. March was the first to recover herself, and held up her hand with a warning, "Hush! Remember Beth."	mrs March was the first to recover herself, and held up her hand with a warning, "Hush! Remember Beth."	true	380.33	387.37	21.355688
1195_130164_000019_000000	But it was too late.	But it was too late.	true	388.1	389.59	22.449556
1195_130164_000019_000001	The study door flew open, the little red wrapper appeared on the threshold, joy put strength into the feeble limbs, and Beth ran straight into her father's arms.	The study door flew open, the little red wrapper appeared on the threshold, joy put strength into the feeble limbs, and Beth ran straight into her father's arms.	true	390.08	401.05	20.570765
1195_130164_000019_000002	Never mind what happened just after that, for the full hearts overflowed, washing away the bitterness of the past and leaving only the sweetness of the present.	Never mind what happened just after that, for the full hearts overflowed, washing away the bitterness of the past and leaving only the sweetness of the present.	true	401.33	411.28	19.61258
1195_130164_000020_000000	It was not at all romantic, but a hearty laugh set everybody straight again, for Hannah was discovered behind the door, sobbing over the fat turkey, which she had forgotten to put down when she rushed up from the kitchen.	It was not at all romantic, but a hearty laugh set everybody straight again, for Hannah was discovered behind the door, sobbing over the fat turkey, which she had forgotten to put down when she rushed up from the kitchen.	true	412.34	424.6	20.103453
1195_130164_000020_000001	As the laugh subsided, Mrs. March began to thank Mr. Brooke for his faithful care of her husband, at which Mr. Brooke suddenly remembered that Mr. March needed rest, and seizing Laurie, he precipitately retired.	As the laugh subsided, mrs March began to thank mr Brooke for his faithful care of her husband, at which mr Brooke suddenly remembered that mr March needed rest, and seizing Laurie, he precipitately retired.	true	425.42	438.07	20
1195_130164_000020_000002	Then the two invalids were ordered to repose, which they did, by both sitting in one big chair and talking hard.	Then the two invalids were ordered to repose, which they did, by both sitting in one big chair and talking hard.	true	438.89	445.87	22
1195_130164_000021_000000	Mr. March told how he had longed to surprise them, and how, when the fine weather came, he had been allowed by his doctor to take advantage of it, how devoted Brooke had been, and how he was altogether a most estimable and upright young man.	mr March told how he had longed to surprise them, and how, when the fine weather came, he had been allowed by his doctor to take advantage of it, how devoted Brooke had been, and how he was altogether a most estimable and upright young man.	true	447.5	462.13	21.502047
1195_130164_000021_000001	Why Mr. March paused a minute just there, and after a glance at Meg, who was violently poking the fire, looked at his wife with an inquiring lift of the eyebrows, I leave you to imagine.	Why mr March paused a minute just there, and after a glance at Meg, who was violently poking the fire, looked at his wife with an inquiring lift of the eyebrows, I leave you to imagine.	false	462.89	475.15	21.771708
1195_130164_000021_000002	Also why Mrs. March gently nodded her head and asked, rather abruptly, if he wouldn't like to have something to eat.	Also why mrs March gently nodded her head and asked, rather abruptly, if he wouldn't like to have something to eat.	false	475.4	483.1	20.292784
1195_130164_000021_000003	Jo saw and understood the look, and she stalked grimly away to get wine and beef tea, muttering to herself as she slammed the door, "I hate estimable young men with brown eyes!"	Jo saw and understood the look, and she stalked grimly away to get wine and beef tea, muttering to herself as she slammed the door, "I hate estimable young men with brown eyes!"	true	483.71	495.25	20
1195_130164_000022_000000	There never was such a Christmas dinner as they had that day.	There never was such a Christmas dinner as they had that day.	true	496.64	500.14	19.965855
1195_130164_000022_000001	The fat turkey was a sight to behold, when Hannah sent him up, stuffed, browned, and decorated.	The fat turkey was a sight to behold, when Hannah sent him up, stuffed, browned, and decorated.	true	500.54	506.47	22.474833
1195_130164_000022_000002	So was the plum pudding, which melted in one's mouth, likewise the jellies, in which Amy reveled like a fly in a honeypot.	So was the plum pudding, which melted in one's mouth, likewise the jellies, in which Amy reveled like a fly in a honeypot.	false	506.63	514.66	20.708338
1195_130164_000022_000003	Everything turned out well, which was a mercy, Hannah said, "For my mind was that flustered, Mum, that it's a merrycle I didn't roast the pudding, and stuff the turkey with raisins, let alone bilin' of it in a cloth."	Everything turned out well, which was a mercy, Hannah said, "For my mind was that flustered, Mum, that it's a merrycle I didn't roast the pudding, and stuff the turkey with raisins, let alone bilin' of it in a cloth."	false	515	527.02	21.95251
1195_130164_000023_000000	Mr. Laurence and his grandson dined with them, also Mr. Brooke, at whom Jo glowered darkly, to Laurie's infinite amusement.	mr Laurence and his grandson dined with them, also mr Brooke, at whom Jo glowered darkly, to Laurie's infinite amusement.	true	528.59	536.59	20.632114
1195_130164_000023_000001	Two easy chairs stood side by side at the head of the table, in which sat Beth and her father, feasting modestly on chicken and a little fruit.	Two easy chairs stood side by side at the head of the table, in which sat Beth and her father, feasting modestly on chicken and a little fruit.	true	537.11	545.38	21.829197
1195_130164_000023_000002	They drank healths, told stories, sang songs, 'reminisced', as the old folks say, and had a thoroughly good time.	They drank healths, told stories, sang songs, 'reminisced', as the old folks say, and had a thoroughly good time.	false	545.66	553.33	20.38889
1195_130164_000023_000003	A sleigh ride had been planned, but the girls would not leave their father, so the guests departed early, and as twilight gathered, the happy family sat together round the fire.	A sleigh ride had been planned, but the girls would not leave their father, so the guests departed early, and as twilight gathered, the happy family sat together round the fire.	true	554.36	565.57	21.088
1195_130164_000024_000000	"Just a year ago we were groaning over the dismal Christmas we expected to have.	"Just a year ago we were groaning over the dismal Christmas we expected to have.	true	566.21	571.33	20
1195_130164_000024_000001	Do you remember?" asked Jo, breaking a short pause which had followed a long conversation about many things.	Do you remember?" asked Jo, breaking a short pause which had followed a long conversation about many things.	true	571.34	578.35	21.131407
1195_130164_000025_000000	"Rather a pleasant year on the whole!" said Meg, smiling at the fire, and congratulating herself on having treated Mr. Brooke with dignity.	"Rather a pleasant year on the whole!" said Meg, smiling at the fire, and congratulating herself on having treated mr Brooke with dignity.	true	579.35	587.62	20.046265
1195_130164_000026_000000	"I think it's been a pretty hard one," observed Amy, watching the light shine on her ring with thoughtful eyes.	"I think it's been a pretty hard one," observed Amy, watching the light shine on her ring with thoughtful eyes.	true	589.34	595.99	19.721807
1195_130164_000027_000000	"I'm glad it's over, because we've got you back," whispered Beth, who sat on her father's knee.	"I'm glad it's over, because we've got you back," whispered Beth, who sat on her father's knee.	true	597.44	603.91	21.292171
1195_130164_000028_000000	"Rather a rough road for you to travel, my little pilgrims, especially the latter part of it.	"Rather a rough road for you to travel, my little pilgrims, especially the latter part of it.	true	605.48	610.69	19.866179
1195_130164_000028_000001	But you have got on bravely, and I think the burdens are in a fair way to tumble off very soon," said Mr. March, looking with fatherly satisfaction at the four young faces gathered round him.	But you have got on bravely, and I think the burdens are in a fair way to tumble off very soon," said mr March, looking with fatherly satisfaction at the four young faces gathered round him.	true	611.12	623.92	20.69042
1195_130164_000029_000000	"How do you know?	"How do you know?	true	625.85	626.89	21.938198
1195_130164_000029_000001	Did Mother tell you?" asked Jo.	Did Mother tell you?" asked Jo.	true	627.11	629.74	24.528511
1195_130164_000030_000000	"Not much.	"Not much.	true	630.68	631.75	21.367376
1195_130164_000030_000001	Straws show which way the wind blows, and I've made several discoveries today."	Straws show which way the wind blows, and I've made several discoveries today."	true	632.27	637.6	20
1195_130164_000031_000000	"Oh, tell us what they are!" cried Meg, who sat beside him.	"Oh, tell us what they are!" cried Meg, who sat beside him.	false	639.08	643.06	22.789764
1195_130164_000032_000000	"Here is one." And taking up the hand which lay on the arm of his chair, he pointed to the roughened forefinger, a burn on the back, and two or three little hard spots on the palm.	"Here is one." And taking up the hand which lay on the arm of his chair, he pointed to the roughened forefinger, a burn on the back, and two or three little hard spots on the palm.	true	644.3	656.05	19.976677
1195_130164_000032_000001	"I remember a time when this hand was white and smooth, and your first care was to keep it so. It was very pretty then, but to me it is much prettier now, for in this seeming blemishes I read a little history.	"I remember a time when this hand was white and smooth, and your first care was to keep it so. It was very pretty then, but to me it is much prettier now, for in this seeming blemishes I read a little history.	false	656.57	671.38	20.055538
1195_130164_000032_000002	A burnt offering has been made to vanity, this hardened palm has earned something better than blisters, and I'm sure the sewing done by these pricked fingers will last a long time, so much good will went into the stitches.	A burnt offering has been made to vanity, this hardened palm has earned something better than blisters, and I'm sure the sewing done by these pricked fingers will last a long time, so much good will went into the stitches.	true	671.66	685.35	20.875973
1195_130164_000032_000003	Meg, my dear, I value the womanly skill which keeps home happy more than white hands or fashionable accomplishments.	Meg, my dear, I value the womanly skill which keeps home happy more than white hands or fashionable accomplishments.	false	685.35	694.36	19.340363
1195_130164_000032_000004	I'm proud to shake this good, industrious little hand, and hope I shall not soon be asked to give it away."	I'm proud to shake this good, industrious little hand, and hope I shall not soon be asked to give it away."	true	694.94	701.71	21
1195_130164_000033_000000	If Meg had wanted a reward for hours of patient labor, she received it in the hearty pressure of her father's hand and the approving smile he gave her.	If Meg had wanted a reward for hours of patient labor, she received it in the hearty pressure of her father's hand and the approving smile he gave her.	true	703.91	713.44	20.324427
1195_130164_000034_000000	"What about Jo?	"What about Jo?	true	715.19	716.53	20.315546
1195_130164_000034_000001	Please say something nice, for she has tried so hard and been so very, very good to me," said Beth in her father's ear.	Please say something nice, for she has tried so hard and been so very, very good to me," said Beth in her father's ear.	true	717.11	724.96	18.046255
1195_130164_000035_000000	He laughed and looked across at the tall girl who sat opposite, with an unusually mild expression in her face.	He laughed and looked across at the tall girl who sat opposite, with an unusually mild expression in her face.	false	725.96	733.87	20.813696
1195_130164_000036_000000	"In spite of the curly crop, I don't see the 'son Jo' whom I left a year ago," said Mr. March.	"In spite of the curly crop, I don't see the 'son Jo' whom I left a year ago," said mr March.	true	735.35	742.63	18.939905
1195_130164_000036_000001	"I see a young lady who pins her collar straight, laces her boots neatly, and neither whistles, talks slang, nor lies on the rug as she used to do.	"I see a young lady who pins her collar straight, laces her boots neatly, and neither whistles, talks slang, nor lies on the rug as she used to do.	true	743.33	752.08	19.12887
1195_130164_000036_000002	Her face is rather thin and pale just now, with watching and anxiety, but I like to look at it, for it has grown gentler, and her voice is lower.	Her face is rather thin and pale just now, with watching and anxiety, but I like to look at it, for it has grown gentler, and her voice is lower.	true	752.99	763.03	20.388025
1195_130164_000036_000003	She doesn't bounce, but moves quietly, and takes care of a certain little person in a motherly way which delights me.	She doesn't bounce, but moves quietly, and takes care of a certain little person in a motherly way which delights me.	true	763.13	770.38	21.66647
1195_130164_000036_000004	I rather miss my wild girl, but if I get a strong, helpful, tenderhearted woman in her place, I shall feel quite satisfied.	I rather miss my wild girl, but if I get a strong, helpful, tenderhearted woman in her place, I shall feel quite satisfied.	true	771.41	780.31	22.117386
1195_130164_000036_000005	I don't know whether the shearing sobered our black sheep, but I do know that in all Washington I couldn't find anything beautiful enough to be bought with the five-and-twenty dollars my good girl sent me."	I don't know whether the shearing sobered our black sheep, but I do know that in all Washington I couldn't find anything beautiful enough to be bought with the five and twenty dollars my good girl sent me."	false	781.46	794.83	20.533052
1195_130164_000037_000000	Jo's keen eyes were rather dim for a minute, and her thin face grew rosy in the firelight as she received her father's praise, feeling that she did deserve a portion of it.	Jo's keen eyes were rather dim for a minute, and her thin face grew rosy in the firelight as she received her father's praise, feeling that she did deserve a portion of it.	true	797.6	809.05	21.30938
1195_130164_000038_000000	"Now, Beth," said Amy, longing for her turn, but ready to wait.	"Now, Beth," said Amy, longing for her turn, but ready to wait.	true	810.35	814.71	22.658083
1195_130164_000039_000000	"There's so little of her, I'm afraid to say much, for fear she will slip away altogether, though she is not so shy as she used to be," began their father cheerfully.	"There's so little of her, I'm afraid to say much, for fear she will slip away altogether, though she is not so shy as she used to be," began their father cheerfully.	false	814.71	825.76	19.279581
1195_130164_000039_000001	But recollecting how nearly he had lost her, he held her close, saying tenderly, with her cheek against his own, "I've got you safe, my Beth, and I'll keep you so, please God."	But recollecting how nearly he had lost her, he held her close, saying tenderly, with her cheek against his own, "I've got you safe, my Beth, and I'll keep you so, please God."	true	826.64	839.05	20.568657
1195_130164_000040_000000	After a minute's silence, he looked down at Amy, who sat on the cricket at his feet, and said, with a caress of the shining hair...	After a minute's silence, he looked down at Amy, who sat on the cricket at his feet, and said, with a caress of the shining hair...	true	841.34	848.83	19.120499
1195_130164_000041_000000	"I observed that Amy took drumsticks at dinner, ran errands for her mother all the afternoon, gave Meg her place tonight, and has waited on every one with patience and good humor.	"I observed that Amy took drumsticks at dinner, ran errands for her mother all the afternoon, gave Meg her place tonight, and has waited on every one with patience and good humor.	true	850.25	861.79	20.663744
1195_130164_000041_000001	I also observe that she does not fret much nor look in the glass, and has not even mentioned a very pretty ring which she wears, so I conclude that she has learned to think of other people more and of herself less, and has decided to try and mold her character as carefully as she molds her little clay figures.	I also observe that she does not fret much nor look in the glass, and has not even mentioned a very pretty ring which she wears, so I conclude that she has learned to think of other people more and of herself less, and has decided to try and mold her character as carefully as she molds her little clay figures.	false	862.61	883.23	20.634699
1195_130164_000041_000002	I am glad of this, for though I should be very proud of a graceful statue made by her, I shall be infinitely prouder of a lovable daughter with a talent for making life beautiful to herself and others."	I am glad of this, for though I should be very proud of a graceful statue made by her, I shall be infinitely prouder of a lovable daughter with a talent for making life beautiful to herself and others."	false	883.23	898.48	20.9409
1195_130164_000042_000000	"What are you thinking of, Beth?" asked Jo, when Amy had thanked her father and told about her ring.	"What are you thinking of, Beth?" asked Jo, when Amy had thanked her father and told about her ring.	false	901.28	907.57	21.336868
1195_130164_000043_000000	"I read in _Pilgrim's Progress_ today how, after many troubles, Christian and Hopeful came to a pleasant green meadow where lilies bloomed all year round, and there they rested happily, as we do now, before they went on to their journey's end," answered Beth, adding, as she slipped out of her father's arms and went to the instrument, "It's singing time now, and I want to be in my old place.	"I read in underscore Pilgrim's Progress underscore today how, after many troubles, Christian and Hopeful came to a pleasant green meadow where lilies bloomed all year round, and there they rested happily, as we do now, before they went on to their journey's end," answered Beth, adding, as she slipped out of her father's arms and went to the instrument, "It's singing time now, and I want to be in my old place.	false	910.88	940.66	20.103724
1195_130164_000043_000001	I'll try to sing the song of the shepherd boy which the Pilgrims heard.	I'll try to sing the song of the shepherd boy which the Pilgrims heard.	true	941.81	945.37	19.947653
1195_130164_000043_000002	I made the music for Father, because he likes the verses."	I made the music for Father, because he likes the verses."	true	945.83	949.54	20.65654
1195_130164_000044_000000	So, sitting at the dear little piano, Beth softly touched the keys, and in the sweet voice they had never thought to hear again, sang to her own accompaniment the quaint hymn, which was a singularly fitting song for her.	So, sitting at the dear little piano, Beth softly touched the keys, and in the sweet voice they had never thought to hear again, sang to her own accompaniment the quaint hymn, which was a singularly fitting song for her.	false	951.29	967.03	21.395254
1195_130164_000045_000000	He that is down need fear no fall, He that is low no pride. He that is humble ever shall Have God to be his guide.	He that is down need fear no fall, He that is low no pride. He that is humble ever shall Have God to be his guide.	false	967.37	991.83	17
1195_130164_000046_000000	I am content with what I have, Little be it, or much. And, Lord!	I am content with what I have, Little be it, or much. And, Lord!	false	991.83	1004.43	17.330221
1195_130164_000046_000001	Contentment still I crave, Because Thou savest such.	Contentment still I crave, Because Thou savest such.	false	1004.43	1015.21	15
1195_130164_000047_000000	Fulness to them a burden is, That go on pilgrimage. Here little, and hereafter bliss, Is best from age to age!	Fulness to them a burden is, That go on pilgrimage. Here little, and hereafter bliss, Is best from age to age!	false	1015.7	1045.77	16.695084
1195_130164_000048_000000	CHAPTER TWENTY-THREE	CHAPTER TWENTY THREE	false	1045.77	1046.61	20
1195_130164_000049_000000	AUNT MARCH SETTLES THE QUESTION	AUNT MARCH SETTLES THE QUESTION	false	1046.61	1046.79	10
1195_130164_000050_000000	Like bees swarming after their queen, mother and daughters hovered about Mr. March the next day, neglecting everything to look at, wait upon, and listen to the new invalid, who was in a fair way to be killed by kindness.	Like bees swarming after their queen, mother and daughters hovered about mr March the next day, neglecting everything to look at, wait upon, and listen to the new invalid, who was in a fair way to be killed by kindness.	false	1046.79	1048.38	14.671473
1195_130164_000050_000001	As he sat propped up in a big chair by Beth's sofa, with the other three close by, and Hannah popping in her head now and then 'to peek at the dear man', nothing seemed needed to complete their happiness.	As he sat propped up in a big chair by Beth's sofa, with the other three close by, and Hannah popping in her head now and then 'to peek at the dear man', nothing seemed needed to complete their happiness.	false	1048.38	1049.97	-20
1195_130164_000050_000002	But something was needed, and the elder ones felt it, though none confessed the fact.	But something was needed, and the elder ones felt it, though none confessed the fact.	false	1049.97	1050.57	-20
1195_130164_000050_000003	Mr. and Mrs. March looked at one another with an anxious expression, as their eyes followed Meg.	mr and mrs March looked at one another with an anxious expression, as their eyes followed Meg.	false	1050.57	1051.23	-20
1195_130164_000050_000004	Jo had sudden fits of sobriety, and was seen to shake her fist at Mr. Brooke's umbrella, which had been left in the hall.	Jo had sudden fits of sobriety, and was seen to shake her fist at mr Brooke's umbrella, which had been left in the hall.	false	1051.23	1052.19	-20
1195_130164_000050_000005	Meg was absent-minded, shy, and silent, started when the bell rang, and colored when John's name was mentioned.	Meg was absent minded, shy, and silent, started when the bell rang, and colored when John's name was mentioned.	false	1052.19	1052.94	-20
1195_130164_000050_000006	Amy said, "Everyone seemed waiting for something, and couldn't settle down, which was queer, since Father was safe at home," and Beth innocently wondered why their neighbors didn't run over as usual.	Amy said, "Everyone seemed waiting for something, and couldn't settle down, which was queer, since Father was safe at home," and Beth innocently wondered why their neighbors didn't run over as usual.	false	1052.94	1054.2	-20
