1195_130164_000001_000000	PLEASANT MEADOWS	PLEASANT MEADOWS
1195_130164_000015_000000	"Of course I am!" cried Meg, smoothing the silvery folds of her first silk dress, for Mr. Laurence had insisted on giving it.	"Of course I am!" cried Meg, smoothing the silvery folds of her first silk dress, for mr Laurence had insisted on giving it.
1195_130164_000016_000001	Half an hour after everyone had said they were so happy they could only hold one drop more, the drop came.	Half an hour after everyone had said they were so happy they could only hold one drop more, the drop came.
1195_130164_000018_000003	Mrs. March was the first to recover herself, and held up her hand with a warning, "Hush! Remember Beth."	mrs March was the first to recover herself, and held up her hand with a warning, "Hush! Remember Beth."
1195_130164_000019_000000	But it was too late.	But it was too late.
1195_130164_000019_000001	The study door flew open, the little red wrapper appeared on the threshold, joy put strength into the feeble limbs, and Beth ran straight into her father's arms.	The study door flew open, the little red wrapper appeared on the threshold, joy put strength into the feeble limbs, and Beth ran straight into her father's arms.
1195_130164_000020_000000	It was not at all romantic, but a hearty laugh set everybody straight again, for Hannah was discovered behind the door, sobbing over the fat turkey, which she had forgotten to put down when she rushed up from the kitchen.	It was not at all romantic, but a hearty laugh set everybody straight again, for Hannah was discovered behind the door, sobbing over the fat turkey, which she had forgotten to put down when she rushed up from the kitchen.
1195_130164_000020_000001	As the laugh subsided, Mrs. March began to thank Mr. Brooke for his faithful care of her husband, at which Mr. Brooke suddenly remembered that Mr. March needed rest, and seizing Laurie, he precipitately retired.	As the laugh subsided, mrs March began to thank mr Brooke for his faithful care of her husband, at which mr Brooke suddenly remembered that mr March needed rest, and seizing Laurie, he precipitately retired.
1195_130164_000020_000002	Then the two invalids were ordered to repose, which they did, by both sitting in one big chair and talking hard.	Then the two invalids were ordered to repose, which they did, by both sitting in one big chair and talking hard.
1195_130164_000021_000000	Mr. March told how he had longed to surprise them, and how, when the fine weather came, he had been allowed by his doctor to take advantage of it, how devoted Brooke had been, and how he was altogether a most estimable and upright young man.	mr March told how he had longed to surprise them, and how, when the fine weather came, he had been allowed by his doctor to take advantage of it, how devoted Brooke had been, and how he was altogether a most estimable and upright young man.
1195_130164_000021_000003	Jo saw and understood the look, and she stalked grimly away to get wine and beef tea, muttering to herself as she slammed the door, "I hate estimable young men with brown eyes!"	Jo saw and understood the look, and she stalked grimly away to get wine and beef tea, muttering to herself as she slammed the door, "I hate estimable young men with brown eyes!"
1195_130164_000022_000001	The fat turkey was a sight to behold, when Hannah sent him up, stuffed, browned, and decorated.	The fat turkey was a sight to behold, when Hannah sent him up, stuffed, browned, and decorated.
1195_130164_000023_000000	Mr. Laurence and his grandson dined with them, also Mr. Brooke, at whom Jo glowered darkly, to Laurie's infinite amusement.	mr Laurence and his grandson dined with them, also mr Brooke, at whom Jo glowered darkly, to Laurie's infinite amusement.
1195_130164_000023_000001	Two easy chairs stood side by side at the head of the table, in which sat Beth and her father, feasting modestly on chicken and a little fruit.	Two easy chairs stood side by side at the head of the table, in which sat Beth and her father, feasting modestly on chicken and a little fruit.
1195_130164_000023_000003	A sleigh ride had been planned, but the girls would not leave their father, so the guests departed early, and as twilight gathered, the happy family sat together round the fire.	A sleigh ride had been planned, but the girls would not leave their father, so the guests departed early, and as twilight gathered, the happy family sat together round the fire.
1195_130164_000024_000000	"Just a year ago we were groaning over the dismal Christmas we expected to have.	"Just a year ago we were groaning over the dismal Christmas we expected to have.
1195_130164_000024_000001	Do you remember?" asked Jo, breaking a short pause which had followed a long conversation about many things.	Do you remember?" asked Jo, breaking a short pause which had followed a long conversation about many things.
1195_130164_000025_000000	"Rather a pleasant year on the whole!" said Meg, smiling at the fire, and congratulating herself on having treated Mr. Brooke with dignity.	"Rather a pleasant year on the whole!" said Meg, smiling at the fire, and congratulating herself on having treated mr Brooke with dignity.
1195_130164_000027_000000	"I'm glad it's over, because we've got you back," whispered Beth, who sat on her father's knee.	"I'm glad it's over, because we've got you back," whispered Beth, who sat on her father's knee.
1195_130164_000028_000001	But you have got on bravely, and I think the burdens are in a fair way to tumble off very soon," said Mr. March, looking with fatherly satisfaction at the four young faces gathered round him.	But you have got on bravely, and I think the burdens are in a fair way to tumble off very soon," said mr March, looking with fatherly satisfaction at the four young faces gathered round him.
1195_130164_000029_000000	"How do you know?	"How do you know?
1195_130164_000029_000001	Did Mother tell you?" asked Jo.	Did Mother tell you?" asked Jo.
1195_130164_000030_000000	"Not much.	"Not much.
1195_130164_000030_000001	Straws show which way the wind blows, and I've made several discoveries today."	Straws show which way the wind blows, and I've made several discoveries today."
1195_130164_000032_000002	A burnt offering has been made to vanity, this hardened palm has earned something better than blisters, and I'm sure the sewing done by these pricked fingers will last a long time, so much good will went into the stitches.	A burnt offering has been made to vanity, this hardened palm has earned something better than blisters, and I'm sure the sewing done by these pricked fingers will last a long time, so much good will went into the stitches.
1195_130164_000032_000004	I'm proud to shake this good, industrious little hand, and hope I shall not soon be asked to give it away."	I'm proud to shake this good, industrious little hand, and hope I shall not soon be asked to give it away."
1195_130164_000033_000000	If Meg had wanted a reward for hours of patient labor, she received it in the hearty pressure of her father's hand and the approving smile he gave her.	If Meg had wanted a reward for hours of patient labor, she received it in the hearty pressure of her father's hand and the approving smile he gave her.
1195_130164_000034_000000	"What about Jo?	"What about Jo?
1195_130164_000036_000002	Her face is rather thin and pale just now, with watching and anxiety, but I like to look at it, for it has grown gentler, and her voice is lower.	Her face is rather thin and pale just now, with watching and anxiety, but I like to look at it, for it has grown gentler, and her voice is lower.
1195_130164_000036_000003	She doesn't bounce, but moves quietly, and takes care of a certain little person in a motherly way which delights me.	She doesn't bounce, but moves quietly, and takes care of a certain little person in a motherly way which delights me.
1195_130164_000036_000004	I rather miss my wild girl, but if I get a strong, helpful, tenderhearted woman in her place, I shall feel quite satisfied.	I rather miss my wild girl, but if I get a strong, helpful, tenderhearted woman in her place, I shall feel quite satisfied.
1195_130164_000037_000000	Jo's keen eyes were rather dim for a minute, and her thin face grew rosy in the firelight as she received her father's praise, feeling that she did deserve a portion of it.	Jo's keen eyes were rather dim for a minute, and her thin face grew rosy in the firelight as she received her father's praise, feeling that she did deserve a portion of it.
1195_130164_000038_000000	"Now, Beth," said Amy, longing for her turn, but ready to wait.	"Now, Beth," said Amy, longing for her turn, but ready to wait.
1195_130164_000039_000001	But recollecting how nearly he had lost her, he held her close, saying tenderly, with her cheek against his own, "I've got you safe, my Beth, and I'll keep you so, please God."	But recollecting how nearly he had lost her, he held her close, saying tenderly, with her cheek against his own, "I've got you safe, my Beth, and I'll keep you so, please God."
1195_130164_000041_000000	"I observed that Amy took drumsticks at dinner, ran errands for her mother all the afternoon, gave Meg her place tonight, and has waited on every one with patience and good humor.	"I observed that Amy took drumsticks at dinner, ran errands for her mother all the afternoon, gave Meg her place tonight, and has waited on every one with patience and good humor.
1195_130164_000043_000002	I made the music for Father, because he likes the verses."	I made the music for Father, because he likes the verses."
