8011_291458_000000_000000	CHAPTER IX.	CHAPTER nine.	true	32.475	33.76	23.564207
8011_291458_000004_000000	At this early period was instituted that pious ceremony, still religiously observed in all our ancient families of the right breed, of hanging up a stocking in the chimney on St. Nicholas Eve; which stocking is always found in the morning miraculously filled; for the good St. Nicholas has ever been a great giver of gifts, particularly to children.	At this early period was instituted that pious ceremony, still religiously observed in all our ancient families of the right breed, of hanging up a stocking in the chimney on saint Nicholas Eve; which stocking is always found in the morning miraculously filled; for the good saint Nicholas has ever been a great giver of gifts, particularly to children.	true	241.43	262.09	23.295387
8011_291458_000005_000000	I am moreover told that there is a little legendary book somewhere extant, written in Low Dutch, which says that the image of this renowned saint, which whilom graced the bow-sprit of the Goede Vrouw, was elevated in front of this chapel, in the center of what in modern days is called the Bowling Green--on the very spot, in fact, where he appeared in vision to Oloffe the Dreamer.	I am moreover told that there is a little legendary book somewhere extant, written in Low Dutch, which says that the image of this renowned saint, which whilom graced the bow sprit of the Goede v r o u w, was elevated in front of this chapel, in the center of what in modern days is called the Bowling Green-on the very spot, in fact, where he appeared in vision to Oloffe the Dreamer.	false	262.25	285.4	25.20624
8011_291458_000005_000001	And the legend further treats of divers miracles wrought by the mighty pipe which the saint held in his mouth; a whiff of which was a sovereign cure for an indigestion--an invaluable relic in this colony of brave trenchermen.	And the legend further treats of divers miracles wrought by the mighty pipe which the saint held in his mouth; a whiff of which was a sovereign cure for an indigestion-an invaluable relic in this colony of brave trenchermen.	false	285.59	298.72	26.228811
8011_291458_000005_000002	As however, in spite of the most diligent search, I cannot lay my hands upon this little book, I must confess that I entertain considerable doubt on the subject.	As however, in spite of the most diligent search, I cannot lay my hands upon this little book, I must confess that I entertain considerable doubt on the subject.	true	298.88	308.5	26.037216
8011_291458_000006_000000	Thus benignly fostered by the good St. Nicholas, the infant city thrived apace.	Thus benignly fostered by the good saint Nicholas, the infant city thrived apace.	true	308.57	313.84	23.180428
8011_291458_000006_000001	Hordes of painted savages, it is true, still lurked about the unsettled parts of the island.	Hordes of painted savages, it is true, still lurked about the unsettled parts of the island.	true	313.97	319.78	27.31058
8011_291458_000006_000002	The hunter still pitched his bower of skins and bark beside the rills that ran through the cool and shady glens, while here and there might be seen, on some sunny knoll, a group of Indian wigwams whose smoke arose above the neighboring trees, and floated in the transparent atmosphere.	The hunter still pitched his bower of skins and bark beside the rills that ran through the cool and shady glens, while here and there might be seen, on some sunny knoll, a group of Indian wigwams whose smoke arose above the neighboring trees, and floated in the transparent atmosphere.	true	319.94	337.66	24.495382
8011_291458_000006_000003	A mutual good-will, however, existed between these wandering beings and the burghers of New Amsterdam.	A mutual good will, however, existed between these wandering beings and the burghers of New Amsterdam.	true	338.15	345.34	22.92722
8011_291458_000006_000004	Our benevolent forefathers endeavored as much as possible to ameliorate their situation, by giving them gin, rum, and glass beads, in exchange for their peltries; for it seems the kind-hearted Dutchmen had conceived a great friendship for their savage neighbors, on account of their being pleasant men to trade with, and little skilled in the art of making a bargain.	Our benevolent forefathers endeavored as much as possible to ameliorate their situation, by giving them gin, rum, and glass beads, in exchange for their peltries; for it seems the kind hearted Dutchmen had conceived a great friendship for their savage neighbors, on account of their being pleasant men to trade with, and little skilled in the art of making a bargain.	false	345.56	368.28	25.02864
8011_291458_000007_000000	Now and then a crew of these half human sons of the forest would make their appearance in the streets of New Amsterdam, fantastically painted and decorated with beads and flaunting feathers, sauntering about with an air of listless indifference--sometimes in the marketplace, instructing the little Dutch boys in the use of the bow and arrow--at other times, inflamed with liquor, swaggering, and whooping, and yelling about the town like so many fiends, to the great dismay of all the good wives, who would hurry their children into the house, fasten the doors, and throw water upon the enemy from the garret windows.	Now and then a crew of these half human sons of the forest would make their appearance in the streets of New Amsterdam, fantastically painted and decorated with beads and flaunting feathers, sauntering about with an air of listless indifference-sometimes in the marketplace, instructing the little Dutch boys in the use of the bow and arrow-at other times, inflamed with liquor, swaggering, and whooping, and yelling about the town like so many fiends, to the great dismay of all the good wives, who would hurry their children into the house, fasten the doors, and throw water upon the enemy from the garret windows.	true	368.28	403.99	25.529034
8011_291458_000007_000001	It is worthy of mention here that our forefathers were very particular in holding up these wild men as excellent domestic examples--and for reasons that may be gathered from the history of Master Ogilby, who tells us that "for the least offence the bridegroom soundly beats his wife and turns her out of doors, and marries another, insomuch that some of them have every year a new wife." Whether this awful example had any influence or not history does not mention; but it is certain that our grandmothers were miracles of fidelity and obedience.	It is worthy of mention here that our forefathers were very particular in holding up these wild men as excellent domestic examples-and for reasons that may be gathered from the history of Master Ogilby, who tells us that "for the least offence the bridegroom soundly beats his wife and turns her out of doors, and marries another, insomuch that some of them have every year a new wife." Whether this awful example had any influence or not history does not mention; but it is certain that our grandmothers were miracles of fidelity and obedience.	false	404.24	437.8	24.703989
8011_291458_000008_000000	True it is that the good understanding between our ancestors and their savage neighbors was liable to occasional interruptions, and I have heard my grandmother, who was a very wise old woman, and well versed in the history of these parts, tell a long story of a winter's evening, about a battle between the New-Amsterdammers and the Indians, which was known by the name of the Peach War, and which took place near a peach orchard, in a dark glen, which for a long while went by the name of Murderer's Valley.	True it is that the good understanding between our ancestors and their savage neighbors was liable to occasional interruptions, and I have heard my grandmother, who was a very wise old woman, and well versed in the history of these parts, tell a long story of a winter's evening, about a battle between the New Amsterdammers and the Indians, which was known by the name of the Peach War, and which took place near a peach orchard, in a dark glen, which for a long while went by the name of Murderer's Valley.	false	437.96	468.94	24.3016
8011_291458_000009_000000	The legend of this sylvan war was long current among the nurses, old wives, and other ancient chroniclers of the place; but time and improvement have almost obliterated both the tradition and the scene of battle; for what was once the blood-stained valley is now in the center of this populous city, and known by the name of Dey Street.	The legend of this sylvan war was long current among the nurses, old wives, and other ancient chroniclers of the place; but time and improvement have almost obliterated both the tradition and the scene of battle; for what was once the blood stained valley is now in the center of this populous city, and known by the name of Dey Street.	true	469.16	490.42	25.469173
8011_291458_000010_000000	I know not whether it was to this "Peach War," and the acquisitions of Indian land which may have grown out of it, that we may ascribe the first seeds of the spirit of "annexation" which now began to manifest themselves.	I know not whether it was to this "Peach War," and the acquisitions of Indian land which may have grown out of it, that we may ascribe the first seeds of the spirit of "annexation" which now began to manifest themselves.	true	490.67	504.37	27.198893
8011_291458_000010_000001	Hitherto the ambition of the worthy burghers had been confined to the lovely island of Manna-hata; and Spiten Devil on the Hudson, and Hell-gate on the Sound, were to them the pillars of Hercules, the _ne plus ultra_ of human enterprise.	Hitherto the ambition of the worthy burghers had been confined to the lovely island of Manna hata; and Spiten Devil on the Hudson, and Hell gate on the Sound, were to them the pillars of Hercules, the underscore ne plus ultra underscore of human enterprise.	false	504.59	521.11	24.84654
8011_291458_000010_000002	Shortly after the Peach War however, a restless spirit was observed among the New Amsterdammers, who began to cast wistful looks upon the wild lands of their Indian neighbors; for somehow or other wild Indian land always looks greener in the eyes of settlers than the land they occupy.	Shortly after the Peach War however, a restless spirit was observed among the New Amsterdammers, who began to cast wistful looks upon the wild lands of their Indian neighbors; for somehow or other wild Indian land always looks greener in the eyes of settlers than the land they occupy.	true	521.12	539.74	23.474173
8011_291458_000010_000003	It is hinted that Oloffe the Dreamer encouraged these notions; having, as has been shown, the inherent spirit of a land speculator, which had been wonderfully quickened and expanded since he had become a landholder.	It is hinted that Oloffe the Dreamer encouraged these notions; having, as has been shown, the inherent spirit of a land speculator, which had been wonderfully quickened and expanded since he had become a landholder.	true	539.87	553.54	25.510088
8011_291458_000010_000004	Many of the common people, who had never before owned a foot of land, now began to be discontented with the town lots which had fallen to their shares; others who had snug farms and tobacco plantations found they had not sufficient elbow-room, and began to question the rights of the Indians to the vast regions they pretended to hold--while the good Oloffe indulged in magnificent dreams of foreign conquest and great patroonships in the wilderness.	Many of the common people, who had never before owned a foot of land, now began to be discontented with the town lots which had fallen to their shares; others who had snug farms and tobacco plantations found they had not sufficient elbow room, and began to question the rights of the Indians to the vast regions they pretended to hold-while the good Oloffe indulged in magnificent dreams of foreign conquest and great patroonships in the wilderness.	false	553.73	581.35	24.644402
8011_291458_000011_000000	The result of these dreams were certain exploring expeditions sent forth in various directions to "sow the seeds of empire," as it was said.	The result of these dreams were certain exploring expeditions sent forth in various directions to "sow the seeds of empire," as it was said.	true	581.66	590.91	25.37526
8011_291458_000011_000001	The earliest of these were conducted by Hans Reinier Oothout, an old navigator famous for the sharpness of his vision, who could see land when it was quite out of sight to ordinary mortals, and who had a spy-glass covered with a bit of tarpaulin, with which he could spy up the crookedest river, quite to its head waters.	The earliest of these were conducted by Hans Reinier Oothout, an old navigator famous for the sharpness of his vision, who could see land when it was quite out of sight to ordinary mortals, and who had a spy glass covered with a bit of tarpaulin, with which he could spy up the crookedest river, quite to its head waters.	false	590.91	609.73	26.12766
8011_291458_000011_000002	He was accompanied by Mynheer Ten Breeches, as land measurer, in case of any dispute with the Indians.	He was accompanied by Mynheer Ten Breeches, as land measurer, in case of any dispute with the Indians.	true	609.98	616.78	24.524155
8011_291458_000012_000000	What was the consequence of these exploring expeditions?	What was the consequence of these exploring expeditions?	true	617.24	620.58	25.565397
8011_291458_000012_000001	In a little while we find a frontier post or trading-house called Fort Nassau, established far to the south on Delaware River; another called Fort Goed Hoop (or Good Hope), on the Varsche or Fresh, or Connecticut River; and another called Fort Aurania (now Albany) away up the Hudson River; while the boundaries of the province kept extending on every side, nobody knew whither, far into the regions of Terra Incognita.	In a little while we find a frontier post or trading house called Fort Nassau, established far to the south on Delaware River; another called Fort Goed Hoop (or Good Hope), on the Varsche or Fresh, or Connecticut River; and another called Fort Aurania (now Albany) away up the Hudson River; while the boundaries of the province kept extending on every side, nobody knew whither, far into the regions of Terra Incognita.	false	620.58	648.55	24.335924
8011_291458_000013_000000	Of the boundary feuds and troubles which the ambitious little province brought upon itself by these indefinite expansions of its territory we shall treat at large in the after pages of this eventful history; sufficient for the present is it to say, that the swelling importance of the Nieuw Nederlandts awakened the attention of the mother country, who, finding it likely to yield much revenue and no trouble, began to take that interest in its welfare which knowing people evince for rich relations.	Of the boundary feuds and troubles which the ambitious little province brought upon itself by these indefinite expansions of its territory we shall treat at large in the after pages of this eventful history; sufficient for the present is it to say, that the swelling importance of the Nieuw Nederlandts awakened the attention of the mother country, who, finding it likely to yield much revenue and no trouble, began to take that interest in its welfare which knowing people evince for rich relations.	false	648.89	680.02	25.531609
8011_291458_000014_000000	But as this opens a new era in the fortunes of New Amsterdam I will here put an end to this second book of my history, and will treat of the maternal policy of the mother country in my next.	But as this opens a new era in the fortunes of New Amsterdam I will here put an end to this second book of my history, and will treat of the maternal policy of the mother country in my next.	true	680.33	691.26	24.015793
8011_291458_000015_000000	_BOOK III._	underscore BOOK three.underscore	false	691.26	692.13	-20
8011_291458_000016_000000	IN WHICH IS RECORDED THE GOLDEN REIGN OF WOUTER VAN TWILLER.	IN WHICH IS RECORDED THE GOLDEN REIGN OF WOUTER VAN t w i l l e r.	false	692.13	694.89	21.853167
8011_291458_000017_000000	CHAPTER I.	CHAPTER one	false	694.89	694.89	
8011_291458_000018_000000	Grievous and very much to be commiserated is the task of the feeling historian who writes the history of his native land.	Grievous and very much to be commiserated is the task of the feeling historian who writes the history of his native land.	false	694.89	694.89	
8011_291458_000018_000001	If it fell to his lot to be the recorder of calamity or crime, the mournful page is watered with his tears--nor can he recall the most prosperous and blissful era without a melancholy sigh at the reflection that it has passed away for ever!	If it fell to his lot to be the recorder of calamity or crime, the mournful page is watered with his tears-nor can he recall the most prosperous and blissful era without a melancholy sigh at the reflection that it has passed away for ever!	false	694.89	694.89	
8011_291458_000018_000002	I know not whether it be owing to an immoderate love for the simplicity of former times, or to that certain tenderness of heart incident to all sentimental historians, but I candidly confess that I cannot look back on the happier days of our city, which I now describe, without great dejection of spirits.	I know not whether it be owing to an immoderate love for the simplicity of former times, or to that certain tenderness of heart incident to all sentimental historians, but I candidly confess that I cannot look back on the happier days of our city, which I now describe, without great dejection of spirits.	false	694.89	697.23	23.653763
8011_291458_000018_000003	With faltering hand do I withdraw the curtain of oblivion that veils the modest merit of our venerable ancestors, and as their figures rise to my mental vision, humble myself before their mighty shades.	With faltering hand do I withdraw the curtain of oblivion that veils the modest merit of our venerable ancestors, and as their figures rise to my mental vision, humble myself before their mighty shades.	false	697.23	699.36	25.787619
