6828_64738_000002_000000	There was once a very rich merchant, who had six children, three boys and three girls.	There was once a very rich merchant, who had six children, three boys and three girls.
6828_64738_000005_000013	He went on to a large hall, where he found a good fire, and a table covered with some very nice dishes, and only one plate with a knife and fork.	He went on to a large hall, where he found a good fire, and a table covered with some very nice dishes, and only one plate with a knife and fork.
6828_64738_000005_000014	As the snow and rain had wetted him to the skin, he went up to the fire to dry himself.	As the snow and rain had wetted him to the skin, he went up to the fire to dry himself.
6828_64738_000005_000016	He sat till the clock struck twelve, but did not see a single creature.	He sat till the clock struck twelve, but did not see a single creature.
6828_64738_000006_000001	"To be sure," said he to himself, "this place belongs to some good fairy, who has taken pity on my ill luck." He looked out of the window, and, instead of snow, he saw the most charming arbours covered with all kinds of flowers.	"To be sure," said he to himself, "this place belongs to some good fairy, who has taken pity on my ill luck." He looked out of the window, and, instead of snow, he saw the most charming arbours covered with all kinds of flowers.
6828_64738_000006_000002	He returned to the hall, where he had supped, and found a breakfast table, with some chocolate got ready for him.	He returned to the hall, where he had supped, and found a breakfast table, with some chocolate got ready for him.
6828_64738_000006_000004	At the same moment he heard a most shocking noise, and saw such a frightful beast coming towards him, that he was ready to drop with fear.	At the same moment he heard a most shocking noise, and saw such a frightful beast coming towards him, that he was ready to drop with fear.
6828_64738_000006_000005	"Ungrateful man!" said the beast, in a terrible voice, "I have saved your life by letting you into my palace, and in return you steal my roses, which I value more than any thing else that belongs to me.	"Ungrateful man!" said the beast, in a terrible voice, "I have saved your life by letting you into my palace, and in return you steal my roses, which I value more than any thing else that belongs to me.
6828_64738_000006_000006	But you shall make amends for your fault with your life.	But you shall make amends for your fault with your life.
6828_64738_000006_000007	You shall die in a quarter of an hour." The merchant fell on his knees to the beast, and clasping his hands, said, "My lord, I humbly beg your pardon.	You shall die in a quarter of an hour." The merchant fell on his knees to the beast, and clasping his hands, said, "My lord, I humbly beg your pardon.
6828_64738_000006_000008	I did not think it would offend you to gather a rose for one of my daughters, who wished to have one." "I am not a lord, but a beast," replied the monster; "I do not like false compliments, but that people should say what they think: so do not fancy that you can coax me by any such ways.	I did not think it would offend you to gather a rose for one of my daughters, who wished to have one." "I am not a lord, but a beast," replied the monster; "I do not like false compliments, but that people should say what they think: so do not fancy that you can coax me by any such ways.
6828_64738_000006_000009	You tell me that you have daughters; now I will pardon you, if one of them will agree to come and die instead of you.	You tell me that you have daughters; now I will pardon you, if one of them will agree to come and die instead of you.
6828_64738_000006_000010	Go; and if your daughters should refuse, promise me that you yourself will return in three months."	Go; and if your daughters should refuse, promise me that you yourself will return in three months."
6828_64738_000007_000002	"But," said the beast, "I do not wish you to go back empty-handed.	"But," said the beast, "I do not wish you to go back empty handed.
6828_64738_000007_000004	When the beast had said this, he went away; and the good merchant said to himself, "If I must die, yet I shall now have the comfort of leaving my children some riches," He returned to the room he had slept in, and found a great many pieces of gold.	When the beast had said this, he went away; and the good merchant said to himself, "If I must die, yet I shall now have the comfort of leaving my children some riches," He returned to the room he had slept in, and found a great many pieces of gold.
6828_64738_000007_000006	The horse took a path across the forest of his own accord, and in a few hours they reached the merchant's house.	The horse took a path across the forest of his own accord, and in a few hours they reached the merchant's house.
6828_64738_000007_000007	His children came running round him as he got off his horse; but the merchant, instead of kissing them with joy, could not help crying as he looked at them.	His children came running round him as he got off his horse; but the merchant, instead of kissing them with joy, could not help crying as he looked at them.
6828_64738_000007_000008	He held in his hand the bunch of roses, which he gave to Beauty, saying: "Take these roses, Beauty; but little do you think how dear they have cost your poor father;" and then he gave them an account of all that he had seen or heard in the palace of the beast.	He held in his hand the bunch of roses, which he gave to Beauty, saying: "Take these roses, Beauty; but little do you think how dear they have cost your poor father;" and then he gave them an account of all that he had seen or heard in the palace of the beast.
6828_64738_000007_000009	The two eldest sisters now began to shed tears, and to lay the blame upon Beauty, who they said would be the cause of her father's death "See," said they, "what happens from the pride of the little wretch.	The two eldest sisters now began to shed tears, and to lay the blame upon Beauty, who they said would be the cause of her father's death "See," said they, "what happens from the pride of the little wretch.
6828_64738_000007_000012	I am charmed with the kindness of Beauty, but I will not suffer her life to be lost.	I am charmed with the kindness of Beauty, but I will not suffer her life to be lost.
6828_64738_000007_000013	I myself am old, and cannot expect to live much longer; so I shall but give up a few years of my life, and shall only grieve for the sake of my children." "Never, father," cried Beauty, "shall you go to the palace without me; for you cannot hinder my going after you.	I myself am old, and cannot expect to live much longer; so I shall but give up a few years of my life, and shall only grieve for the sake of my children." "Never, father," cried Beauty, "shall you go to the palace without me; for you cannot hinder my going after you.
6828_64738_000008_000000	The merchant was so grieved at the thoughts of losing his child, that he never once thought of the chest filled with gold; but at night, to his great surprise, he found it standing by his bedside.	The merchant was so grieved at the thoughts of losing his child, that he never once thought of the chest filled with gold; but at night, to his great surprise, he found it standing by his bedside.
6828_64738_000008_000001	He said nothing about his riches to his eldest daughters, for he knew very well it would at once make them want to return to town; but he told Beauty his secret, and she then said, that while he was away, two gentlemen had been on a visit to their cottage, who had fallen in love with her two sisters.	He said nothing about his riches to his eldest daughters, for he knew very well it would at once make them want to return to town; but he told Beauty his secret, and she then said, that while he was away, two gentlemen had been on a visit to their cottage, who had fallen in love with her two sisters.
6828_64738_000008_000003	When the three months were past, the merchant and Beauty got ready to set out for the palace of the beast.	When the three months were past, the merchant and Beauty got ready to set out for the palace of the beast.
6828_64738_000008_000005	There was only Beauty who did not, for she thought that this would only make the matter worse.	There was only Beauty who did not, for she thought that this would only make the matter worse.
6828_64738_000008_000006	They reached the palace in a very few hours, and the horse, without bidding, went into the same stable as before.	They reached the palace in a very few hours, and the horse, without bidding, went into the same stable as before.
6828_64738_000008_000007	The merchant and Beauty walked towards the large hall, where they found a table covered with every dainty, and two plates laid ready.	The merchant and Beauty walked towards the large hall, where they found a table covered with every dainty, and two plates laid ready.
6828_64738_000008_000010	When Beauty first saw his frightful form, she could not help being afraid; but she tried to hide her fear as much as she could.	When Beauty first saw his frightful form, she could not help being afraid; but she tried to hide her fear as much as she could.
6828_64738_000010_000001	She opened it in haste, and her eyes were all at once dazzled at the grandeur of the inside of the room.	She opened it in haste, and her eyes were all at once dazzled at the grandeur of the inside of the room.
6828_64738_000010_000002	What made her wonder more than all the rest was a large library filled with books, a harpsichord, and many other pieces of music.	What made her wonder more than all the rest was a large library filled with books, a harpsichord, and many other pieces of music.
6828_64738_000010_000003	"The beast takes care I shall not be at a loss how to amuse myself," said she.	"The beast takes care I shall not be at a loss how to amuse myself," said she.
6828_64738_000010_000004	She then thought that it was not likely such things would have been got ready for her, if she had but one day to live; and began to hope all would not turn out so bad as she and her father had feared.	She then thought that it was not likely such things would have been got ready for her, if she had but one day to live; and began to hope all would not turn out so bad as she and her father had feared.
6828_64738_000010_000005	She opened the library, and saw these verses written in letters of gold on the back of one of the books:	She opened the library, and saw these verses written in letters of gold on the back of one of the books:
6828_64738_000011_000000	"Beauteous lady, dry your tears, Here's no cause for sighs or fears; Command as freely as you may, Enjoyment still shall mark your sway."	"Beauteous lady, dry your tears, Here's no cause for sighs or fears; Command as freely as you may, Enjoyment still shall mark your sway."
6828_64738_000012_000000	"Alas!" said she, sighing, "there is nothing I so much desire as to see my poor father and to know what he is doing at this moment," She said this to herself; but just then by chance, she cast her eyes on a looking-glass that stood near her, and in the glass she saw her home, and her father riding up to the cottage in the deepest sorrow.	"Alas!" said she, sighing, "there is nothing I so much desire as to see my poor father and to know what he is doing at this moment," She said this to herself; but just then by chance, she cast her eyes on a looking glass that stood near her, and in the glass she saw her home, and her father riding up to the cottage in the deepest sorrow.
6828_64738_000012_000001	Her sisters came out to meet him, but for all they tried to look sorry, it was easy to see that in their hearts they were very glad.	Her sisters came out to meet him, but for all they tried to look sorry, it was easy to see that in their hearts they were very glad.
6828_64738_000012_000004	But at supper, when she was going to seat herself at table, she heard the noise of the beast, and could not help trembling with fear.	But at supper, when she was going to seat herself at table, she heard the noise of the beast, and could not help trembling with fear.
6828_64738_000012_000005	"Beauty," said he, "will you give me leave to see you sup?" "That is as you please," answered she, very much afraid.	"Beauty," said he, "will you give me leave to see you sup?" "That is as you please," answered she, very much afraid.
6828_64738_000012_000006	"Not in the least," said the beast; "you alone command in this place.	"Not in the least," said the beast; "you alone command in this place.
6828_64738_000012_000007	If you should not like my company, you need only to say so, and I will leave you that moment.	If you should not like my company, you need only to say so, and I will leave you that moment.
6828_64738_000012_000008	But tell me, Beauty, do you not think me very ugly?" "Why, yes," said she, "for I cannot tell a story; but then I think you are very good." "You are right," replied the beast; "and, besides being ugly, I am also very stupid: I know very well enough that I am but a beast."	But tell me, Beauty, do you not think me very ugly?" "Why, yes," said she, "for I cannot tell a story; but then I think you are very good." "You are right," replied the beast; "and, besides being ugly, I am also very stupid: I know very well enough that I am but a beast."
6828_64738_000013_000001	At length she said, "No, beast." The beast made no reply, but sighed deeply, and went away.	At length she said, "No, beast." The beast made no reply, but sighed deeply, and went away.
6828_64738_000013_000002	When Beauty found herself alone, she began to feel pity for the poor beast.	When Beauty found herself alone, she began to feel pity for the poor beast.
6828_64738_000013_000003	"Dear!" said she, "what a sad thing it is that he should be so very frightful, since he is so good-tempered!"	"Dear!" said she, "what a sad thing it is that he should be so very frightful, since he is so good tempered!"
6828_64738_000014_000000	Beauty lived three months in this palace, very well pleased.	Beauty lived three months in this palace, very well pleased.
6828_64738_000014_000002	I shall always be your friend; so try to let that make you easy."	I shall always be your friend; so try to let that make you easy."
6828_64738_000014_000004	"I would promise you, with all my heart," said she, "never to leave you quite; but I long so much to see my father, that if you do not give me leave to visit him I shall die with grief."	"I would promise you, with all my heart," said she, "never to leave you quite; but I long so much to see my father, that if you do not give me leave to visit him I shall die with grief."
6828_64738_000014_000005	"I would rather die myself, Beauty," answered the beast, "than make you fret; I will send you to your father's cottage, you shall stay there, and your poor beast shall die of sorrow." "No," said Beauty, crying, "I love you too well to be the cause of your death; I promise to return in a week.	"I would rather die myself, Beauty," answered the beast, "than make you fret; I will send you to your father's cottage, you shall stay there, and your poor beast shall die of sorrow." "No," said Beauty, crying, "I love you too well to be the cause of your death; I promise to return in a week.
6828_64738_000014_000009	Good-bye, Beauty!"	Good bye, Beauty!"
6828_64738_000014_000011	When she awoke in the morning, she found herself in her father's cottage.	When she awoke in the morning, she found herself in her father's cottage.
6828_64738_000015_000001	She then told the servant to put the rest away with a great deal of care, for she intended to give them to her sisters; but as soon as she had spoken these words the chest was gone out of sight in a moment.	She then told the servant to put the rest away with a great deal of care, for she intended to give them to her sisters; but as soon as she had spoken these words the chest was gone out of sight in a moment.
6828_64738_000015_000002	Her father then said, perhaps the beast chose for her to keep them all for herself; and as soon as he had said this, they saw the chest standing again in the same place.	Her father then said, perhaps the beast chose for her to keep them all for herself; and as soon as he had said this, they saw the chest standing again in the same place.
6828_64738_000015_000003	While Beauty was dressing herself, a servant brought word to her that her sisters were come with their husbands to pay her a visit.	While Beauty was dressing herself, a servant brought word to her that her sisters were come with their husbands to pay her a visit.
6828_64738_000015_000005	The husband of the eldest was very handsome; but was so very proud of this, that he thought of nothing else from morning till night, and did not attend to the beauty of his wife.	The husband of the eldest was very handsome; but was so very proud of this, that he thought of nothing else from morning till night, and did not attend to the beauty of his wife.
6828_64738_000015_000006	The second had married a man of great learning; but he made no use of it, only to torment and affront all his friends, and his wife more than any of them.	The second had married a man of great learning; but he made no use of it, only to torment and affront all his friends, and his wife more than any of them.
6828_64738_000015_000007	The two sisters were ready to burst with spite when they saw Beauty dressed like a princess, and look so very charming.	The two sisters were ready to burst with spite when they saw Beauty dressed like a princess, and look so very charming.
6828_64738_000015_000008	All the kindness that she showed them was of no use; for they were vexed more than ever, when she told them how happy she lived at the palace of the beast.	All the kindness that she showed them was of no use; for they were vexed more than ever, when she told them how happy she lived at the palace of the beast.
6828_64738_000015_000009	The spiteful creatures went by themselves into the garden, where they cried to think of her good fortune.	The spiteful creatures went by themselves into the garden, where they cried to think of her good fortune.
6828_64738_000016_000000	When the week was ended, the two sisters began to pretend so much grief at the thoughts of her leaving them, that she agreed to stay a week more; but all that time Beauty could not help fretting for the sorrow that she knew her staying would give her poor beast; for she tenderly loved him, and much wished for his company again.	When the week was ended, the two sisters began to pretend so much grief at the thoughts of her leaving them, that she agreed to stay a week more; but all that time Beauty could not help fretting for the sorrow that she knew her staying would give her poor beast; for she tenderly loved him, and much wished for his company again.
6828_64738_000017_000001	In the morning she with joy found herself in the palace of the beast.	In the morning she with joy found herself in the palace of the beast.
6828_64738_000017_000002	She dressed herself very finely, that she might please him the better, and thought she had never known a day pass away so slow.	She dressed herself very finely, that she might please him the better, and thought she had never known a day pass away so slow.
6828_64738_000017_000003	At last the clock struck nine, but the beast did not come.	At last the clock struck nine, but the beast did not come.
6828_64738_000017_000004	Beauty then thought to be sure she had been the cause of his death in earnest.	Beauty then thought to be sure she had been the cause of his death in earnest.
6828_64738_000017_000005	She ran from room to room all over the palace, calling out his name, but still she saw nothing of him.	She ran from room to room all over the palace, calling out his name, but still she saw nothing of him.
6828_64738_000017_000007	She threw herself upon his body, thinking nothing at all of his ugliness; and finding his heart still beat, she ran and fetched some water from a pond in the garden, and threw it on his face.	She threw herself upon his body, thinking nothing at all of his ugliness; and finding his heart still beat, she ran and fetched some water from a pond in the garden, and threw it on his face.
6828_64738_000017_000008	The beast then opened his eyes, and said: "You have forgot your promise, Beauty.	The beast then opened his eyes, and said: "You have forgot your promise, Beauty.
6828_64738_000017_000009	My grief for the loss of you has made me resolve to starve myself to death; but I shall die content, since I have had the pleasure of seeing you once more." "No, dear beast," replied Beauty, "you shall not die; you shall live to be my husband: from this moment I offer to marry you, and will be only yours. Oh!	My grief for the loss of you has made me resolve to starve myself to death; but I shall die content, since I have had the pleasure of seeing you once more." "No, dear beast," replied Beauty, "you shall not die; you shall live to be my husband: from this moment I offer to marry you, and will be only yours. Oh!
6828_64738_000018_000000	The moment Beauty had spoken these words, the palace was suddenly lighted up, and music, fireworks, and all kinds of rejoicings, appeared round about them.	The moment Beauty had spoken these words, the palace was suddenly lighted up, and music, fireworks, and all kinds of rejoicings, appeared round about them.
6828_64738_000018_000001	Yet Beauty took no notice of all this, but watched over her dear beast with the greatest tenderness.	Yet Beauty took no notice of all this, but watched over her dear beast with the greatest tenderness.
6828_64738_000018_000003	Though this young prince deserved all her notice, she could not help asking him what was become of the beast.	Though this young prince deserved all her notice, she could not help asking him what was become of the beast.
6828_64738_000018_000005	A wicked fairy had condemned me to keep the form of a beast till a beautiful young lady should agree to marry me, and ordered me, on pain of death, not to show that I had any sense.	A wicked fairy had condemned me to keep the form of a beast till a beautiful young lady should agree to marry me, and ordered me, on pain of death, not to show that I had any sense.
6828_64738_000019_000001	You shall become two statues; but under that form you shall still keep your reason, and shall be fixed at the gates of your sister's palace; and I will not pass any worse sentence on you than to see her happy.	You shall become two statues; but under that form you shall still keep your reason, and shall be fixed at the gates of your sister's palace; and I will not pass any worse sentence on you than to see her happy.
6828_64738_000020_000000	At the same moment, the fairy, with a stroke of her wand, removed all who were present to the young prince's country, where he was received with the greatest joy by his subjects.	At the same moment, the fairy, with a stroke of her wand, removed all who were present to the young prince's country, where he was received with the greatest joy by his subjects.
6828_64738_000020_000001	He married Beauty, and passed a long and happy life with her, because they still kept in the same course of goodness from which they had never departed.	He married Beauty, and passed a long and happy life with her, because they still kept in the same course of goodness from which they had never departed.
