1849_138063_000001_000000	CHAPTER LXIX.	CHAPTER sixty nine.
1849_138063_000012_000000	Here Don Quixote, too, broke silence, saying to Sancho, "Have patience, my son, and gratify these noble persons, and give all thanks to heaven that it has infused such virtue into thy person, that by its sufferings thou canst disenchant the enchanted and restore to life the dead."	Here Don Quixote, too, broke silence, saying to Sancho, "Have patience, my son, and gratify these noble persons, and give all thanks to heaven that it has infused such virtue into thy person, that by its sufferings thou canst disenchant the enchanted and restore to life the dead."
1849_138063_000014_000000	"Less politeness and less paint, senora duenna," said Sancho; "by God your hands smell of vinegar-wash."	"Less politeness and less paint, senora duenna," said Sancho; "by God your hands smell of vinegar wash."
1849_138063_000017_000000	Rhadamanthus bade Sancho put away his wrath, as the object they had in view was now attained.	Rhadamanthus bade Sancho put away his wrath, as the object they had in view was now attained.
1849_138063_000018_000000	To which Sancho made answer, "That's trick upon trick, I think, and not honey upon pancakes; a nice thing it would be for a whipping to come now, on the top of pinches, smacks, and pin-proddings!	To which Sancho made answer, "That's trick upon trick, I think, and not honey upon pancakes; a nice thing it would be for a whipping to come now, on the top of pinches, smacks, and pin proddings!
1849_138063_000018_000002	Leave me alone; or else by God I'll fling the whole thing to the dogs, let come what may."	Leave me alone; or else by God I'll fling the whole thing to the dogs, let come what may."
1849_138063_000028_000008	Thereupon the duke seized the opportunity of practising this mystification upon him; so much did he enjoy everything connected with Sancho and Don Quixote.	Thereupon the duke seized the opportunity of practising this mystification upon him; so much did he enjoy everything connected with Sancho and Don Quixote.
1849_138063_000030_000000	O harder thou than marble to my plaint;	O harder thou than marble to my plaint;
1849_138063_000032_000003	For of course that's where one who dies in despair is bound for."	For of course that's where one who dies in despair is bound for."
1849_138063_000035_000002	If it should be good, faithful, and true, it will have ages of life; but if it should be bad, from its birth to its burial will not be a very long journey."	If it should be good, faithful, and true, it will have ages of life; but if it should be bad, from its birth to its burial will not be a very long journey."
1849_138063_000037_000001	Don Stockfish, soul of a mortar, stone of a date, more obstinate and obdurate than a clown asked a favour when he has his mind made up, if I fall upon you I'll tear your eyes out!	Don Stockfish, soul of a mortar, stone of a date, more obstinate and obdurate than a clown asked a favour when he has his mind made up, if I fall upon you I'll tear your eyes out!
1849_138063_000037_000003	All that you have seen to-night has been make-believe; I'm not the woman to let the black of my nail suffer for such a camel, much less die!"	All that you have seen to night has been make believe; I'm not the woman to let the black of my nail suffer for such a camel, much less die!"
