2156_25563_000002_000000	CHAPTER XXXII.	CHAPTER thirty two.
2156_25563_000021_000001	I'll give you one chance--get away from here as quickly as you can."	I'll give you one chance-get away from here as quickly as you can."
2156_25563_000022_000000	The big fellow curled one corner of his lip in a contemptuous smile, then glanced about him quickly and asked:	The big fellow curled one corner of his lip in a contemptuous smile, then glanced about him quickly and asked:
2156_25563_000023_000000	"Where's the young lady?"	"Where's the young lady?"
2156_25563_000024_000000	"Never mind the young lady," Gladwin flung back at him.	"Never mind the young lady," Gladwin flung back at him.
2156_25563_000024_000001	"It was only on her account that I let you go as far as this.	"It was only on her account that I let you go as far as this.
2156_25563_000024_000002	Now get out and keep away from that young lady--and drop my name."	Now get out and keep away from that young lady-and drop my name."
2156_25563_000026_000000	"Easy, son--easy.	"Easy, son-easy.
2156_25563_000026_000001	I don't like to have little boys talk to me like that," and turning to the doorway behind him he beckoned.	I don't like to have little boys talk to me like that," and turning to the doorway behind him he beckoned.
2156_25563_000026_000002	The obedient Watkins sidled in and stopped with head averted from Gladwin, who started with surprise at seeing him.	The obedient Watkins sidled in and stopped with head averted from Gladwin, who started with surprise at seeing him.
2156_25563_000027_000000	Stepping forward and making sure there could be no mistake, Gladwin turned to the thief and exclaimed:	Stepping forward and making sure there could be no mistake, Gladwin turned to the thief and exclaimed:
2156_25563_000028_000001	This is what I get for not sending this man to jail where he belonged."	This is what I get for not sending this man to jail where he belonged."
2156_25563_000029_000000	"Don't bother with him, Watkins," snarled the big fellow, as he noted his companion's complexion run through three shades of yellow.	"Don't bother with him, Watkins," snarled the big fellow, as he noted his companion's complexion run through three shades of yellow.
2156_25563_000030_000000	"There's no time to bother with him," he went on, and reaching out he caught Travers Gladwin by the shoulder and whirled him half way across the room.	"There's no time to bother with him," he went on, and reaching out he caught Travers Gladwin by the shoulder and whirled him half way across the room.
2156_25563_000031_000000	The young man spun half a dozen times as he reeled across the carpet and he had to use both hands to stop himself against a big onyx table. As he pulled himself up standing he saw that Watkins had lifted the trunk on his shoulders and was headed for the hallway.	The young man spun half a dozen times as he reeled across the carpet and he had to use both hands to stop himself against a big onyx table. As he pulled himself up standing he saw that Watkins had lifted the trunk on his shoulders and was headed for the hallway.
2156_25563_000032_000000	"Phelan!" he gasped out.	"Phelan!" he gasped out.
2156_25563_000032_000001	"Here, quick!"	"Here, quick!"
2156_25563_000034_000000	"Stop that man," cried the thief, pointing to Watkins, "he's trying to get out of here with a trunkful of pictures."	"Stop that man," cried the thief, pointing to Watkins, "he's trying to get out of here with a trunkful of pictures."
2156_25563_000035_000000	The man's hair-trigger mind had thought this out before Phelan was half way round the table.	The man's hair trigger mind had thought this out before Phelan was half way round the table.
2156_25563_000035_000001	One lightning glance at the thickness of the patrolman's neck and the general contour of his rubicund countenance had translated to him the sort of man he had to deal with.	One lightning glance at the thickness of the patrolman's neck and the general contour of his rubicund countenance had translated to him the sort of man he had to deal with.
2156_25563_000036_000001	Watkins dropped the trunk and at a signal from his companion was gone.	Watkins dropped the trunk and at a signal from his companion was gone.
2156_25563_000036_000002	Swiftly and silently as he vanished, he could not have been half way to the door before the thief urged Phelan:	Swiftly and silently as he vanished, he could not have been half way to the door before the thief urged Phelan:
2156_25563_000037_000000	"Quick--go after that man--he's a thief!"	"Quick-go after that man-he's a thief!"
2156_25563_000038_000000	"Stop Phelan!" cried Gladwin, who had begun to see through the pantomime.	"Stop Phelan!" cried Gladwin, who had begun to see through the pantomime.
2156_25563_000038_000001	"They're both thieves!"	"They're both thieves!"
2156_25563_000039_000000	Phelan tried to run four ways at once.	Phelan tried to run four ways at once.
2156_25563_000041_000000	"It's a trick to get you out of the house," said Gladwin with his eyes on the big man, who was calmly smiling and who had fully made up his mind on a magnificent game of bluff.	"It's a trick to get you out of the house," said Gladwin with his eyes on the big man, who was calmly smiling and who had fully made up his mind on a magnificent game of bluff.
2156_25563_000042_000000	"What the blazes kind of a joke is this?" blurted Phelan, looking from one to the other in utter bewilderment.	"What the blazes kind of a joke is this?" blurted Phelan, looking from one to the other in utter bewilderment.
2156_25563_000043_000000	"You'll find it's no joke, officer," said the bogus Gladwin sharply--"not if he gets away."	"You'll find it's no joke, officer," said the bogus Gladwin sharply-"not if he gets away."
2156_25563_000044_000000	"You'll find it's not so funny yourself," cut in the real Gladwin. Then to Phelan, "Arrest this man, Phelan."	"You'll find it's not so funny yourself," cut in the real Gladwin. Then to Phelan, "Arrest this man, Phelan."
2156_25563_000045_000000	"Do you mean it?" asked the astonished Phelan, sizing up the thief as the highest example of aristocratic elegance he had ever seen in the flesh.	"Do you mean it?" asked the astonished Phelan, sizing up the thief as the highest example of aristocratic elegance he had ever seen in the flesh.
2156_25563_000046_000001	"Look out for him--there he goes for the window."	"Look out for him-there he goes for the window."
2156_25563_000047_000000	The thief had started in that direction, but his purpose was not escape.	The thief had started in that direction, but his purpose was not escape.
2156_25563_000047_000001	The idea had flashed upon him that Helen might be concealed there.	The idea had flashed upon him that Helen might be concealed there.
2156_25563_000048_000000	"Now be careful, officer, or you'll get yourself into a lot of trouble."	"Now be careful, officer, or you'll get yourself into a lot of trouble."
2156_25563_000050_000000	"You bet your life I won't," Phelan answered, though he was already bluffed.	"You bet your life I won't," Phelan answered, though he was already bluffed.
2156_25563_000051_000000	He had come close enough for that astute individual to make out that he wore the same uniform young Gladwin had been masquerading in and he made capital of this on the instant.	He had come close enough for that astute individual to make out that he wore the same uniform young Gladwin had been masquerading in and he made capital of this on the instant.
2156_25563_000052_000000	"How do you think it is going to look," he said, impressively, "if I prove that you've tried to help a band of thieves rob this house?"	"How do you think it is going to look," he said, impressively, "if I prove that you've tried to help a band of thieves rob this house?"
2156_25563_000055_000000	"I said a band of thieves," insisted the thief.	"I said a band of thieves," insisted the thief.
2156_25563_000055_000001	"Why he's got his pals hidden all over the house."	"Why he's got his pals hidden all over the house."
2156_25563_000056_000000	"I tell you he's lying to you," Gladwin cut in frantically, seeing that Phelan was falling under the spell of the big man's superb bluff, and at the same time remembering Helen and pressing the button in the wall to warn her that the time had come for her to flee.	"I tell you he's lying to you," Gladwin cut in frantically, seeing that Phelan was falling under the spell of the big man's superb bluff, and at the same time remembering Helen and pressing the button in the wall to warn her that the time had come for her to flee.
2156_25563_000058_000000	"Then they've all escaped," said the thief, easily, thrusting his hands in his pockets to help out his appearance of imperturbability.	"Then they've all escaped," said the thief, easily, thrusting his hands in his pockets to help out his appearance of imperturbability.
2156_25563_000059_000000	"You let one go out, Phelan, and there were two others beside this one."	"You let one go out, Phelan, and there were two others beside this one."
2156_25563_000060_000001	In his seething gray matter there stirred the remembrance that Bateato had told him that women were robbing the house.	In his seething gray matter there stirred the remembrance that Bateato had told him that women were robbing the house.
2156_25563_000061_000000	"You mean the women," he said, ignoring Gladwin and addressing the thief.	"You mean the women," he said, ignoring Gladwin and addressing the thief.
2156_25563_000061_000001	"I remember--when the little Japanaze called me oft me beat, he said there was women crooks here, too."	"I remember-when the little Japanaze called me oft me beat, he said there was women crooks here, too."
2156_25563_000062_000000	"He's lying to you, Phelan," persisted Gladwin, though with less vehemence, a great feeling of relief having visited him in the belief that Helen had made her escape.	"He's lying to you, Phelan," persisted Gladwin, though with less vehemence, a great feeling of relief having visited him in the belief that Helen had made her escape.
2156_25563_000062_000001	"You can have the whole place searched just as soon as you've got this man where he can't get away.	"You can have the whole place searched just as soon as you've got this man where he can't get away.
