119_129514_000001_000000	CHAPTER II	CHAPTER two
119_129514_000009_000001	Bold in his conceptions, he contributed powerfully to the progress of that arm and gave an immense impetus to experimental researches.	Bold in his conceptions, he contributed powerfully to the progress of that arm and gave an immense impetus to experimental researches.
119_129514_000014_000000	The meeting felt that the president was now approaching the critical point, and redoubled their attention accordingly.	The meeting felt that the president was now approaching the critical point, and redoubled their attention accordingly.
119_129514_000015_000000	"For some months past, my brave colleagues," continued Barbicane, "I have been asking myself whether, while confining ourselves to our own particular objects, we could not enter upon some grand experiment worthy of the nineteenth century; and whether the progress of artillery science would not enable us to carry it out to a successful issue.	"For some months past, my brave colleagues," continued Barbicane, "I have been asking myself whether, while confining ourselves to our own particular objects, we could not enter upon some grand experiment worthy of the nineteenth century; and whether the progress of artillery science would not enable us to carry it out to a successful issue.
119_129514_000016_000000	A thrill of excitement ran through the meeting.	A thrill of excitement ran through the meeting.
119_129514_000018_000000	"There is no one among you, my brave colleagues, who has not seen the Moon, or, at least, heard speak of it.	"There is no one among you, my brave colleagues, who has not seen the Moon, or, at least, heard speak of it.
119_129514_000019_000000	"Three cheers for the Moon!" roared the Gun Club, with one voice.	"Three cheers for the Moon!" roared the Gun Club, with one voice.
119_129514_000020_000001	Selenographic charts have been constructed with a perfection which equals, if it does not even surpass, that of our terrestrial maps.	Selenographic charts have been constructed with a perfection which equals, if it does not even surpass, that of our terrestrial maps.
119_129514_000020_000002	Photography has given us proofs of the incomparable beauty of our satellite; all is known regarding the moon which mathematical science, astronomy, geology, and optics can learn about her.	Photography has given us proofs of the incomparable beauty of our satellite; all is known regarding the moon which mathematical science, astronomy, geology, and optics can learn about her.
119_129514_000020_000003	But up to the present moment no direct communication has been established with her."	But up to the present moment no direct communication has been established with her."
119_129514_000022_000000	"Permit me," he continued, "to recount to you briefly how certain ardent spirits, starting on imaginary journeys, have penetrated the secrets of our satellite.	"Permit me," he continued, "to recount to you briefly how certain ardent spirits, starting on imaginary journeys, have penetrated the secrets of our satellite.
119_129514_000022_000005	He then distinctly perceived caverns frequented by hippopotami, green mountains bordered by golden lace-work, sheep with horns of ivory, a white species of deer and inhabitants with membranous wings, like bats.	He then distinctly perceived caverns frequented by hippopotami, green mountains bordered by golden lace work, sheep with horns of ivory, a white species of deer and inhabitants with membranous wings, like bats.
119_129514_000022_000008	This journey, like all previous ones, was purely imaginary; still, it was the work of a popular American author-- I mean Edgar Poe!"	This journey, like all previous ones, was purely imaginary; still, it was the work of a popular American author- I mean Edgar Poe!"
119_129514_000023_000000	"Cheers for Edgar Poe!" roared the assemblage, electrified by their president's words.	"Cheers for Edgar Poe!" roared the assemblage, electrified by their president's words.
119_129514_000024_000000	"I have now enumerated," said Barbicane, "the experiments which I call purely paper ones, and wholly insufficient to establish serious relations with the Queen of the Night.	"I have now enumerated," said Barbicane, "the experiments which I call purely paper ones, and wholly insufficient to establish serious relations with the Queen of the Night.
119_129514_000024_000001	Nevertheless, I am bound to add that some practical geniuses have attempted to establish actual communication with her.	Nevertheless, I am bound to add that some practical geniuses have attempted to establish actual communication with her.
119_129514_000024_000002	Thus, a few days ago, a German geometrician proposed to send a scientific expedition to the steppes of Siberia.	Thus, a few days ago, a German geometrician proposed to send a scientific expedition to the steppes of Siberia.
119_129514_000024_000006	It is reserved for the practical genius of Americans to establish a communication with the sidereal world.	It is reserved for the practical genius of Americans to establish a communication with the sidereal world.
119_129514_000024_000007	The means of arriving thither are simple, easy, certain, infallible-- and that is the purpose of my present proposal."	The means of arriving thither are simple, easy, certain, infallible- and that is the purpose of my present proposal."
119_129514_000025_000001	There was not a single person in the whole audience who was not overcome, carried away, lifted out of himself by the speaker's words!	There was not a single person in the whole audience who was not overcome, carried away, lifted out of himself by the speaker's words!
119_129514_000027_000000	As soon as the excitement had partially subsided, Barbicane resumed his speech in a somewhat graver voice.	As soon as the excitement had partially subsided, Barbicane resumed his speech in a somewhat graver voice.
119_129514_000029_000000	At these words a murmur of amazement escaped from a thousand panting chests; then succeeded a moment of perfect silence, resembling that profound stillness which precedes the bursting of a thunderstorm.	At these words a murmur of amazement escaped from a thousand panting chests; then succeeded a moment of perfect silence, resembling that profound stillness which precedes the bursting of a thunderstorm.
119_129514_000029_000001	In point of fact, a thunderstorm did peal forth, but it was the thunder of applause, or cries, and of uproar which made the very hall tremble.	In point of fact, a thunderstorm did peal forth, but it was the thunder of applause, or cries, and of uproar which made the very hall tremble.
119_129514_000029_000002	The president attempted to speak, but could not.	The president attempted to speak, but could not.
119_129514_000029_000003	It was fully ten minutes before he could make himself heard.	It was fully ten minutes before he could make himself heard.
119_129514_000030_000001	"I have looked at the question in all its bearings, I have resolutely attacked it, and by incontrovertible calculations I find that a projectile endowed with an initial velocity of 12,000 yards per second, and aimed at the moon, must necessarily reach it.	"I have looked at the question in all its bearings, I have resolutely attacked it, and by incontrovertible calculations I find that a projectile endowed with an initial velocity of twelve thousand yards per second, and aimed at the moon, must necessarily reach it.
