5007_31609_000000_000000	CHAPTER IX.	CHAPTER nine.
5007_31609_000007_000001	It was one of the show towns of California, and not only one of the most prosperous cities in the fine county of Sonoma, but one of the most picturesque in the State. Surrounding it there were miles of orchards, vineyards and corn fields. The beautiful drives of the city were adorned with bowers of roses, which everywhere were seen growing about the homes of the people.	It was one of the show towns of California, and not only one of the most prosperous cities in the fine county of Sonoma, but one of the most picturesque in the State. Surrounding it there were miles of orchards, vineyards and corn fields. The beautiful drives of the city were adorned with bowers of roses, which everywhere were seen growing about the homes of the people.
5007_31609_000007_000002	In its vicinity are the famous gardens of Luther Burbank, the "California wizard," but these fortunately escaped injury.	In its vicinity are the famous gardens of Luther Burbank, the "California wizard," but these fortunately escaped injury.
5007_31609_000008_000000	At San Jose, another very beautiful city of over 20,000 population, not a single brick or stone building of two stories or over was left standing.	At San Jose, another very beautiful city of over twenty thousand population, not a single brick or stone building of two stories or over was left standing.
5007_31609_000008_000001	Among those wrecked were the Hall of justice, just completed at a cost of $300,000; the new High School, the Presbyterian Church and St. Patrick's Cathedral.	Among those wrecked were the Hall of justice, just completed at a cost of three hundred thousand dollars; the new High School, the Presbyterian Church and saint Patrick's Cathedral.
5007_31609_000008_000002	Numbers of people were caught in the ruins and maimed or killed.	Numbers of people were caught in the ruins and maimed or killed.
5007_31609_000008_000003	The death list appears to have been small, but the property damage was not less than $5,000,000.	The death list appears to have been small, but the property damage was not less than five million dollars.
5007_31609_000008_000004	The Agnew State Insane Asylum, in the vicinity of San Jose, was entirely destroyed, more than half the inmates being killed or injured.	The Agnew State Insane Asylum, in the vicinity of San Jose, was entirely destroyed, more than half the inmates being killed or injured.
5007_31609_000009_000000	THE STANFORD UNIVERSITY.	THE STANFORD UNIVERSITY.
5007_31609_000010_000000	The Leland Stanford, Jr., University, at Palo Alto (about thirty miles south of San Francisco), felt the full force of the earthquake and was badly wrecked.	The Leland Stanford junior, University, at Palo Alto (about thirty miles south of San Francisco), felt the full force of the earthquake and was badly wrecked.
5007_31609_000010_000001	Only two lives were lost as a result of the earthquake, one of a student, the other of a fireman, but eight students were injured more or less seriously.	Only two lives were lost as a result of the earthquake, one of a student, the other of a fireman, but eight students were injured more or less seriously.
5007_31609_000010_000002	The damage to the buildings is estimated by President Jordan to amount to about $4,000,000.	The damage to the buildings is estimated by President Jordan to amount to about four million dollars.
5007_31609_000011_000000	The memorial church, with its twelve marble figures of the apostles, each weighing two tons, was badly injured by the fall of its Gothic spire, which crashed through the roof and demolished much of the interior; the great entrance archway was split in twain and wrecked; so, too, were the library, the gymnasium and the power house.	The memorial church, with its twelve marble figures of the apostles, each weighing two tons, was badly injured by the fall of its Gothic spire, which crashed through the roof and demolished much of the interior; the great entrance archway was split in twain and wrecked; so, too, were the library, the gymnasium and the power house.
5007_31609_000011_000001	A number of other buildings in the outer quadrangle and some of the small workshops were seriously damaged.	A number of other buildings in the outer quadrangle and some of the small workshops were seriously damaged.
5007_31609_000012_000000	Encina Hall and the inner quadrangle were practically uninjured, and the bulk of the books, collections and apparatus escaped damage.	Encina Hall and the inner quadrangle were practically uninjured, and the bulk of the books, collections and apparatus escaped damage.
5007_31609_000015_000000	THE EARTHQUAKE AT OTHER CITIES.	THE EARTHQUAKE AT OTHER CITIES.
5007_31609_000016_000000	At Alameda, on the bay opposite San Francisco, a score of chimneys were shaken down and other injuries done.	At Alameda, on the bay opposite San Francisco, a score of chimneys were shaken down and other injuries done.
5007_31609_000016_000001	Railroad tracks were twisted, and over 600 feet of track of the Oakland Transit Company's railway sank four feet.	Railroad tracks were twisted, and over six hundred feet of track of the Oakland Transit Company's railway sank four feet.
5007_31609_000016_000002	The total damage done amounted to probably $200,000, but no lives were lost.	The total damage done amounted to probably two hundred thousand dollars, but no lives were lost.
5007_31609_000017_000000	At Los Panos several buildings were wrecked, causing damage to the extent of $75,000, but no lives were lost.	At Los Panos several buildings were wrecked, causing damage to the extent of seventy five thousand dollars, but no lives were lost.
5007_31609_000018_000000	At Loma Prieta the earthquake caused a mine house to slip down the side of a mountain, ten men being buried in the ruins.	At Loma Prieta the earthquake caused a mine house to slip down the side of a mountain, ten men being buried in the ruins.
5007_31609_000019_000000	Fort Bragg, one of the principal lumbering towns in Mendocino County, was practically wiped out by fire following the earthquake, but out of a population of 5,000 only one was killed, though scores were injured.	Fort Bragg, one of the principal lumbering towns in Mendocino County, was practically wiped out by fire following the earthquake, but out of a population of five thousand only one was killed, though scores were injured.
5007_31609_000020_000000	The town of Berkeley, across the bay from San Francisco, suffered considerable damage from twisted structures, fallen walls and broken chimneys, the greatest injury being in the collapse of the town hall and the ruin of the deaf and dumb asylum.	The town of Berkeley, across the bay from San Francisco, suffered considerable damage from twisted structures, fallen walls and broken chimneys, the greatest injury being in the collapse of the town hall and the ruin of the deaf and dumb asylum.
5007_31609_000020_000001	The University of California, situated here, was fortunate in escaping injury, it being reported that not a building was harmed in the slightest degree.	The University of California, situated here, was fortunate in escaping injury, it being reported that not a building was harmed in the slightest degree.
5007_31609_000020_000002	Another public edifice of importance and interest, in a different section of the State, the famous Lick Astronomical Observatory, was equally fortunate, no damage being done to the buildings or the instruments.	Another public edifice of importance and interest, in a different section of the State, the famous Lick Astronomical Observatory, was equally fortunate, no damage being done to the buildings or the instruments.
5007_31609_000021_000000	AT THE STATE UNIVERSITY.	AT THE STATE UNIVERSITY.
5007_31609_000022_000000	Salinas, a town down the coast near Monterey, suffered severely, the place being to a large extent destroyed, with an estimated loss of over $1,000,000.	Salinas, a town down the coast near Monterey, suffered severely, the place being to a large extent destroyed, with an estimated loss of over one million dollars.
5007_31609_000022_000001	The Spreckels' sugar factory and a score of other buildings were reported ruined and a number of lives lost.	The Spreckels' sugar factory and a score of other buildings were reported ruined and a number of lives lost.
5007_31609_000022_000002	During the succeeding week several other shocks of some strength were reported from this town.	During the succeeding week several other shocks of some strength were reported from this town.
5007_31609_000023_000000	Thus the ruinous work of the earthquake stretched over a broad track of prosperous, peaceful and happy country, embracing one of the best sections of California, laying waste not only the towns in its path, but doing much damage to ranch houses and country residences.	Thus the ruinous work of the earthquake stretched over a broad track of prosperous, peaceful and happy country, embracing one of the best sections of California, laying waste not only the towns in its path, but doing much damage to ranch houses and country residences.
5007_31609_000023_000001	Strange manifestations of nature were reported from the interior, where the ground was opened in many places like a ploughed field.	Strange manifestations of nature were reported from the interior, where the ground was opened in many places like a ploughed field.
5007_31609_000023_000002	Great rents in the earth were reported, and for many miles north from Los Angeles miniature geysers are said to have spouted volcano-like streams of hot mud.	Great rents in the earth were reported, and for many miles north from Los Angeles miniature geysers are said to have spouted volcano like streams of hot mud.
5007_31609_000024_000000	Railroad tracks in some localities were badly injured, sinking or lifting, and being put out of service until repaired.	Railroad tracks in some localities were badly injured, sinking or lifting, and being put out of service until repaired.
5007_31609_000024_000001	In fact, the ruinous effects of the earthquake immensely exceeded those of any similar catastrophe ever before known in the United States, and when the destruction done by the succeeding conflagration in San Francisco is taken into account the California earthquake of 1906 takes rank with the most destructive of those recorded in history.	In fact, the ruinous effects of the earthquake immensely exceeded those of any similar catastrophe ever before known in the United States, and when the destruction done by the succeeding conflagration in San Francisco is taken into account the California earthquake of nineteen o six takes rank with the most destructive of those recorded in history.
