5007_31609_000000_000000	CHAPTER IX.	CHAPTER nine.	true	24.075	25.39	24.678501
5007_31609_000013_000000	Sacramento, together with all the smaller cities and towns that dot the great Sacramento Valley for a distance fifty miles south and 150 miles north of the capital, escaped without injury, not a single pane of glass being broken or a brick displaced in Sacramento and no injury done in the other places, they lying eastward of the seat of serious earthquake activity.	Sacramento, together with all the smaller cities and towns that dot the great Sacramento Valley for a distance fifty miles south and one hundred fifty miles north of the capital, escaped without injury, not a single pane of glass being broken or a brick displaced in Sacramento and no injury done in the other places, they lying eastward of the seat of serious earthquake activity.	false	339.62	365.95	23.8875
5007_31609_000014_000000	Los Angeles and Santa Barbara escaped with a slight trembling; Stockton, 103 miles north of San Francisco, felt a severe shock and the Santa Fe bridge over the San Joaquin River at this point settled several inches. The only place in Southern California that suffered was Brawley, a small town lying 120 miles south of Los Angeles, about 100 buildings in the town and the surrounding valley being injured, though none of them were destroyed.	Los Angeles and Santa Barbara escaped with a slight trembling; Stockton, one hundred three miles north of San Francisco, felt a severe shock and the Santa Fe bridge over the San Joaquin River at this point settled several inches. The only place in Southern California that suffered was Brawley, a small town lying one hundred twenty miles south of Los Angeles, about one hundred buildings in the town and the surrounding valley being injured, though none of them were destroyed.	false	366.44	400.24	23.765335
5007_31609_000015_000000	THE EARTHQUAKE AT OTHER CITIES.	THE EARTHQUAKE AT OTHER CITIES.	true	400.94	403.03	27.660246
5007_31609_000016_000000	At Alameda, on the bay opposite San Francisco, a score of chimneys were shaken down and other injuries done.	At Alameda, on the bay opposite San Francisco, a score of chimneys were shaken down and other injuries done.	true	404.51	412.15	22
5007_31609_000016_000001	Railroad tracks were twisted, and over 600 feet of track of the Oakland Transit Company's railway sank four feet.	Railroad tracks were twisted, and over six hundred feet of track of the Oakland Transit Company's railway sank four feet.	true	412.49	420.58	23.599037
5007_31609_000016_000002	The total damage done amounted to probably $200,000, but no lives were lost.	The total damage done amounted to probably two hundred thousand dollars, but no lives were lost.	true	420.89	427	22.932678
5007_31609_000016_000003	Tomales, a place of 350 inhabitants, was left a pile of ruins.	Tomales, a place of three hundred fifty inhabitants, was left a pile of ruins.	false	427.34	433.15	19.187317
5007_31609_000017_000000	At Los Panos several buildings were wrecked, causing damage to the extent of $75,000, but no lives were lost.	At Los Panos several buildings were wrecked, causing damage to the extent of seventy five thousand dollars, but no lives were lost.	true	433.46	442.24	22.97346
5007_31609_000018_000000	At Loma Prieta the earthquake caused a mine house to slip down the side of a mountain, ten men being buried in the ruins.	At Loma Prieta the earthquake caused a mine house to slip down the side of a mountain, ten men being buried in the ruins.	true	442.52	450.76	23.021875
5007_31609_000019_000000	Fort Bragg, one of the principal lumbering towns in Mendocino County, was practically wiped out by fire following the earthquake, but out of a population of 5,000 only one was killed, though scores were injured.	Fort Bragg, one of the principal lumbering towns in Mendocino County, was practically wiped out by fire following the earthquake, but out of a population of five thousand only one was killed, though scores were injured.	true	451.34	465.55	22.39891
5007_31609_000020_000000	The town of Berkeley, across the bay from San Francisco, suffered considerable damage from twisted structures, fallen walls and broken chimneys, the greatest injury being in the collapse of the town hall and the ruin of the deaf and dumb asylum.	The town of Berkeley, across the bay from San Francisco, suffered considerable damage from twisted structures, fallen walls and broken chimneys, the greatest injury being in the collapse of the town hall and the ruin of the deaf and dumb asylum.	true	466.07	482.26	24.182777
5007_31609_000020_000001	The University of California, situated here, was fortunate in escaping injury, it being reported that not a building was harmed in the slightest degree.	The University of California, situated here, was fortunate in escaping injury, it being reported that not a building was harmed in the slightest degree.	true	482.63	492.85	23.709602
5007_31609_000020_000002	Another public edifice of importance and interest, in a different section of the State, the famous Lick Astronomical Observatory, was equally fortunate, no damage being done to the buildings or the instruments.	Another public edifice of importance and interest, in a different section of the State, the famous Lick Astronomical Observatory, was equally fortunate, no damage being done to the buildings or the instruments.	true	493.31	506.53	23.686232
5007_31609_000021_000000	AT THE STATE UNIVERSITY.	AT THE STATE UNIVERSITY.	true	507.98	509.98	36.88044
5007_31609_000022_000000	Salinas, a town down the coast near Monterey, suffered severely, the place being to a large extent destroyed, with an estimated loss of over $1,000,000.	Salinas, a town down the coast near Monterey, suffered severely, the place being to a large extent destroyed, with an estimated loss of over one million dollars.	true	510.41	521.41	23.212824
5007_31609_000022_000001	The Spreckels' sugar factory and a score of other buildings were reported ruined and a number of lives lost.	The Spreckels' sugar factory and a score of other buildings were reported ruined and a number of lives lost.	true	521.78	528.94	24.649574
5007_31609_000022_000002	During the succeeding week several other shocks of some strength were reported from this town.	During the succeeding week several other shocks of some strength were reported from this town.	true	529.22	535.03	27.211838
5007_31609_000023_000000	Thus the ruinous work of the earthquake stretched over a broad track of prosperous, peaceful and happy country, embracing one of the best sections of California, laying waste not only the towns in its path, but doing much damage to ranch houses and country residences.	Thus the ruinous work of the earthquake stretched over a broad track of prosperous, peaceful and happy country, embracing one of the best sections of California, laying waste not only the towns in its path, but doing much damage to ranch houses and country residences.	true	535.64	554.71	24.164316
5007_31609_000023_000001	Strange manifestations of nature were reported from the interior, where the ground was opened in many places like a ploughed field.	Strange manifestations of nature were reported from the interior, where the ground was opened in many places like a ploughed field.	true	555.14	564.04	22.350641
5007_31609_000023_000002	Great rents in the earth were reported, and for many miles north from Los Angeles miniature geysers are said to have spouted volcano-like streams of hot mud.	Great rents in the earth were reported, and for many miles north from Los Angeles miniature geysers are said to have spouted volcano like streams of hot mud.	true	564.23	575.11	23.386759
5007_31609_000024_000000	Railroad tracks in some localities were badly injured, sinking or lifting, and being put out of service until repaired.	Railroad tracks in some localities were badly injured, sinking or lifting, and being put out of service until repaired.	true	575.18	583.21	23.493624
5007_31609_000024_000001	In fact, the ruinous effects of the earthquake immensely exceeded those of any similar catastrophe ever before known in the United States, and when the destruction done by the succeeding conflagration in San Francisco is taken into account the California earthquake of 1906 takes rank with the most destructive of those recorded in history.	In fact, the ruinous effects of the earthquake immensely exceeded those of any similar catastrophe ever before known in the United States, and when the destruction done by the succeeding conflagration in San Francisco is taken into account the California earthquake of nineteen o six takes rank with the most destructive of those recorded in history.	true	583.49	606.81	24
5007_31609_000025_000000	CHAPTER X.	CHAPTER ten	false	606.81	607.5	-20
5007_31609_000026_000000	All America and Canada to the Rescue	All America and Canada to the Rescue	false	607.5	608.49	56.07253
5007_31609_000027_000000	During the first three days after the terrible news had been flashed over the world the relief fund from the nation had leaped beyond the $5,000,000 mark.	During the first three days after the terrible news had been flashed over the world the relief fund from the nation had leaped beyond the five million dollars mark.	false	608.49	608.49	
5007_31609_000027_000001	New York took the lead in the most generous giving that the world has ever seen.	New York took the lead in the most generous giving that the world has ever seen.	false	608.49	608.49	
5007_31609_000027_000002	From every town and country village the people hastened to the Town Halls, the newspaper offices and wherever help was to be found most quickly, to add their savings and to sacrifice all but necessities for their stricken fellow-countrymen.	From every town and country village the people hastened to the Town Halls, the newspaper offices and wherever help was to be found most quickly, to add their savings and to sacrifice all but necessities for their stricken fellow countrymen.	false	608.49	608.49	
5007_31609_000027_000003	Never has there been such a practical illustration of brotherly love.	Never has there been such a practical illustration of brotherly love.	false	608.49	608.82	17
5007_31609_000027_000004	A perfect shower of gold and food was poured out to the sufferers to give them immediate assistance and to help them to a new start in life.	A perfect shower of gold and food was poured out to the sufferers to give them immediate assistance and to help them to a new start in life.	false	608.82	611.61	20.91464
5007_31609_000027_000005	All relief records were broken within two days of the disaster, but still the purses of the rich and poor alike continued to add to the huge contributions.	All relief records were broken within two days of the disaster, but still the purses of the rich and poor alike continued to add to the huge contributions.	false	611.61	614.91	19
5007_31609_000027_000006	Though the relief records were broken, every succeeding dispatch from the West told too plainly the terrible fact that all records of necessity were also broken.	Though the relief records were broken, every succeeding dispatch from the West told too plainly the terrible fact that all records of necessity were also broken.	false	614.91	619.98	-4
