6458_232057_000000_000000	I--THE CURE FOR LOVE	I-THE CURE FOR LOVE	false	21.69	24.16	21.87817
6458_232057_000022_000003	Curious times they were, with their smutty railways and puffing old iron trains, their rum little houses and their horse vehicles.	Curious times they were, with their smutty railways and puffing old iron trains, their rum little houses and their horse vehicles.	true	679.04	686.26	20.737797
6458_232057_000022_000004	I suppose you don't read books?"	I suppose you don't read books?"	true	686.69	688.15	22.126488
6458_232057_000023_000000	"Dear, no!" said Mwres, "I went to a modern school and we had none of that old-fashioned nonsense.	"Dear, no!" said m w r e's, "I went to a modern school and we had none of that old-fashioned nonsense.	false	688.76	693.82	18.143827
6458_232057_000023_000001	Phonographs are good enough for me."	Phonographs are good enough for me."	true	694.07	695.71	23.1491
6458_232057_000024_000000	"Of course," said the hypnotist, "of course"; and surveyed the table for his next choice.	"Of course," said the hypnotist, "of course"; and surveyed the table for his next choice.	true	696.35	700.93	20.977911
6458_232057_000024_000001	"You know," he said, helping himself to a dark blue confection that promised well, "in those days our business was scarcely thought of.	"You know," he said, helping himself to a dark blue confection that promised well, "in those days our business was scarcely thought of.	true	701.69	709.6	21.646563
6458_232057_000024_000002	I daresay if any one had told them that in two hundred years' time a class of men would be entirely occupied in impressing things upon the memory, effacing unpleasant ideas, controlling and overcoming instinctive but undesirable impulses, and so forth, by means of hypnotism, they would have refused to believe the thing possible.	I daresay if any one had told them that in two hundred years' time a class of men would be entirely occupied in impressing things upon the memory, effacing unpleasant ideas, controlling and overcoming instinctive but undesirable impulses, and so forth, by means of hypnotism, they would have refused to believe the thing possible.	true	709.91	727.63	21.48875
6458_232057_000024_000003	Few people knew that an order made during a mesmeric trance, even an order to forget or an order to desire, could be given so as to be obeyed after the trance was over.	Few people knew that an order made during a mesmeric trance, even an order to forget or an order to desire, could be given so as to be obeyed after the trance was over.	false	727.82	736.72	21.285074
6458_232057_000024_000004	Yet there were men alive then who could have told them the thing was as absolutely certain to come about as--well, the transit of Venus."	Yet there were men alive then who could have told them the thing was as absolutely certain to come about as-well, the transit of Venus."	true	736.85	743.49	18.667597
6458_232057_000025_000000	"They knew of hypnotism, then?"	"They knew of hypnotism, then?"	false	743.49	746.52	18.941587
6458_232057_000026_000000	"Oh, dear, yes!	"Oh, dear, yes!	true	746.52	747.585	19
6458_232057_000026_000001	They used it--for painless dentistry and things like that!	They used it-for painless dentistry and things like that!	true	747.585	750.4	25.842787
6458_232057_000026_000002	This blue stuff is confoundedly good: what is it?"	This blue stuff is confoundedly good: what is it?"	false	750.77	754.29	19.040354
6458_232057_000027_000000	"Haven't the faintest idea," said Mwres, "but I admit it's very good. Take some more."	"Haven't the faintest idea," said m w r e's, "but I admit it's very good. Take some more."	false	754.29	757.95	17
6458_232057_000028_000000	The hypnotist repeated his praises, and there was an appreciative pause.	The hypnotist repeated his praises, and there was an appreciative pause.	false	757.95	762.07	21.361252
6458_232057_000029_000000	"Speaking of these historical romances," said Mwres, with an attempt at an easy, off-hand manner, "brings me--ah--to the matter I--ah--had in mind when I asked you--when I expressed a wish to see you." He paused and took a deep breath.	"Speaking of these historical romances," said m w r e's, with an attempt at an easy, off hand manner, "brings me-ah-to the matter I-ah-had in mind when I asked you-when I expressed a wish to see you." He paused and took a deep breath.	false	762.32	775.72	24.234001
6458_232057_000030_000000	The hypnotist turned an attentive eye upon him, and continued eating.	The hypnotist turned an attentive eye upon him, and continued eating.	true	776.21	779.35	23.270279
6458_232057_000031_000000	"The fact is," said Mwres, "I have a--in fact a--daughter.	"The fact is," said m w r e's, "I have a-in fact a-daughter.	false	779.99	784.9	22.561182
6458_232057_000031_000001	Well, you know I have given her--ah--every educational advantage.	Well, you know I have given her-ah-every educational advantage.	true	785.72	789.43	22.182634
6458_232057_000031_000002	Lectures--not a solitary lecturer of ability in the world but she has had a telephone direct, dancing, deportment, conversation, philosophy, art criticism ..." He indicated catholic culture by a gesture of his hand.	Lectures-not a solitary lecturer of ability in the world but she has had a telephone direct, dancing, deportment, conversation, philosophy, art criticism ..." He indicated catholic culture by a gesture of his hand.	false	789.83	802.63	21.809212
6458_232057_000031_000003	"I had intended her to marry a very good friend of mine--Bindon of the Lighting Commission--plain little man, you know, and a bit unpleasant in some of his ways, but an excellent fellow really--an excellent fellow."	"I had intended her to marry a very good friend of mine-Bindon of the Lighting Commission-plain little man, you know, and a bit unpleasant in some of his ways, but an excellent fellow really-an excellent fellow."	true	803.63	813.34	19.584822
6458_232057_000032_000000	"Yes," said the hypnotist, "go on.	"Yes," said the hypnotist, "go on.	true	813.74	815.535	20
6458_232057_000032_000001	How old is she?"	How old is she?"	true	815.535	816.55	21.375208
6458_232057_000033_000000	"Eighteen."	"Eighteen."	false	816.62	818.64	21.330849
6458_232057_000034_000000	"A dangerous age.	"A dangerous age.	true	818.64	819.795	19.729668
6458_232057_000034_000001	Well?"	Well?"	false	819.795	822.78	24.212446
6458_232057_000035_000000	"Well: it seems that she has been indulging in these historical romances--excessively.	"Well: it seems that she has been indulging in these historical romances-excessively.	false	822.78	827.59	21.30858
6458_232057_000035_000001	Excessively.	Excessively.	true	827.78	828.97	20.440626
6458_232057_000035_000002	Even to the neglect of her philosophy.	Even to the neglect of her philosophy.	true	829.55	831.7	23.459263
6458_232057_000035_000003	Filled her mind with unutterable nonsense about soldiers who fight--what is it?--Etruscans?"	Filled her mind with unutterable nonsense about soldiers who fight-what is it?--Etruscans?"	true	831.86	837.34	22.437428
6458_232057_000036_000000	"Egyptians."	"Egyptians."	false	837.98	840.285	19.953964
6458_232057_000037_000000	"Egyptians--very probably.	"Egyptians-very probably.	true	840.285	842.11	23.307793
6458_232057_000037_000001	Hack about with swords and revolvers and things--bloodshed galore--horrible!--and about young men on torpedo catchers who blow up--Spaniards, I fancy--and all sorts of irregular adventurers.	Hack about with swords and revolvers and things-bloodshed galore-horrible!--and about young men on torpedo catchers who blow up-Spaniards, I fancy-and all sorts of irregular adventurers.	true	842.33	853.27	21.42456
6458_232057_000037_000002	And she has got it into her head that she must marry for Love, and that poor little Bindon--"	And she has got it into her head that she must marry for Love, and that poor little Bindon-"	true	853.4	858.37	20.356426
6458_232057_000038_000000	"I've met similar cases," said the hypnotist.	"I've met similar cases," said the hypnotist.	true	859.22	861.3	22.740677
6458_232057_000038_000001	"Who is the other young man?"	"Who is the other young man?"	true	861.3	862.5	21.741293
6458_232057_000039_000000	Mwres maintained an appearance of resigned calm.	m w r e's maintained an appearance of resigned calm.	false	862.5	865.62	20.06454
6458_232057_000039_000001	"You may well ask," he said.	"You may well ask," he said.	false	865.62	867.73	21.533228
6458_232057_000039_000002	"He is"--and his voice sank with shame--"a mere attendant upon the stage on which the flying-machines from Paris alight.	"He is"--and his voice sank with shame-"a mere attendant upon the stage on which the flying machines from Paris alight.	true	867.89	875.86	20.36208
6458_232057_000039_000003	He has--as they say in the romances--good looks.	He has-as they say in the romances-good looks.	true	876.29	879.67	20.491966
6458_232057_000039_000004	He is quite young and very eccentric. Affects the antique--he can read and write!	He is quite young and very eccentric. Affects the antique-he can read and write!	true	880.13	886.24	17.208075
6458_232057_000039_000005	So can she.	So can she.	true	886.55	887.71	19.9871
6458_232057_000039_000006	And instead of communicating by telephone, like sensible people, they write and deliver--what is it?"	And instead of communicating by telephone, like sensible people, they write and deliver-what is it?"	true	888.32	893.62	25.030167
6458_232057_000040_000000	"Notes?"	"Notes?"	true	894.14	895.33	31.716267
6458_232057_000041_000000	"No--not notes....	"No-not notes....	true	895.85	897.495	20.978777
6458_232057_000041_000001	Ah--poems."	Ah-poems."	true	897.495	899.08	24.990788
