597_134789_000001_000000	CHAPTER II--A DOUBLE QUARTETTE	CHAPTER two-A DOUBLE QUARTETTE
597_134789_000010_000000	Goodness and philosophy are two distinct things; the proof of this is that, after making all due allowances for these little irregular households, Favourite, Zephine, and Dahlia were philosophical young women, while Fantine was a good girl.	Goodness and philosophy are two distinct things; the proof of this is that, after making all due allowances for these little irregular households, Favourite, Zephine, and Dahlia were philosophical young women, while Fantine was a good girl.
597_134789_000011_000001	Solomon would reply that love forms a part of wisdom.	Solomon would reply that love forms a part of wisdom.
597_134789_000011_000002	We will confine ourselves to saying that the love of Fantine was a first love, a sole love, a faithful love.	We will confine ourselves to saying that the love of Fantine was a first love, a sole love, a faithful love.
597_134789_000012_000000	She alone, of all the four, was not called "thou" by a single one of them.	She alone, of all the four, was not called "thou" by a single one of them.
597_134789_000013_000001	Though she had emerged from the most unfathomable depths of social shadow, she bore on her brow the sign of the anonymous and the unknown.	Though she had emerged from the most unfathomable depths of social shadow, she bore on her brow the sign of the anonymous and the unknown.
597_134789_000013_000003	Who can say?	Who can say?
597_134789_000013_000004	She had never known father or mother.	She had never known father or mother.
597_134789_000013_000006	Why Fantine?	Why Fantine?
597_134789_000013_000007	She had never borne any other name.	She had never borne any other name.
597_134789_000013_000008	At the epoch of her birth the Directory still existed.	At the epoch of her birth the Directory still existed.
597_134789_000013_000009	She had no family name; she had no family; no baptismal name; the Church no longer existed.	She had no family name; she had no family; no baptismal name; the Church no longer existed.
597_134789_000013_000012	She was called little Fantine.	She was called little Fantine.
597_134789_000013_000013	No one knew more than that.	No one knew more than that.
597_134789_000013_000014	This human creature had entered life in just this way.	This human creature had entered life in just this way.
597_134789_000013_000015	At the age of ten, Fantine quitted the town and went to service with some farmers in the neighborhood.	At the age of ten, Fantine quitted the town and went to service with some farmers in the neighborhood.
597_134789_000013_000016	At fifteen she came to Paris "to seek her fortune." Fantine was beautiful, and remained pure as long as she could.	At fifteen she came to Paris "to seek her fortune." Fantine was beautiful, and remained pure as long as she could.
597_134789_000013_000018	She had gold and pearls for her dowry; but her gold was on her head, and her pearls were in her mouth.	She had gold and pearls for her dowry; but her gold was on her head, and her pearls were in her mouth.
597_134789_000014_000000	She worked for her living; then, still for the sake of her living,--for the heart, also, has its hunger,--she loved.	She worked for her living; then, still for the sake of her living,--for the heart, also, has its hunger,--she loved.
597_134789_000016_000000	An amour for him; passion for her.	An amour for him; passion for her.
597_134789_000016_000001	The streets of the Latin quarter, filled with throngs of students and grisettes, saw the beginning of their dream.	The streets of the Latin quarter, filled with throngs of students and grisettes, saw the beginning of their dream.
597_134789_000016_000004	In short, the eclogue took place.	In short, the eclogue took place.
597_134789_000017_000001	It was he who possessed the wit.	It was he who possessed the wit.
597_134789_000018_000000	Tholomyes was the antique old student; he was rich; he had an income of four thousand francs; four thousand francs! a splendid scandal on Mount Sainte-Genevieve.	Tholomyes was the antique old student; he was rich; he had an income of four thousand francs; four thousand francs! a splendid scandal on Mount Sainte Genevieve.
597_134789_000018_000001	Tholomyes was a fast man of thirty, and badly preserved.	Tholomyes was a fast man of thirty, and badly preserved.
597_134789_000018_000003	His digestion was mediocre, and he had been attacked by a watering in one eye.	His digestion was mediocre, and he had been attacked by a watering in one eye.
597_134789_000018_000004	But in proportion as his youth disappeared, gayety was kindled; he replaced his teeth with buffooneries, his hair with mirth, his health with irony, his weeping eye laughed incessantly. He was dilapidated but still in flower.	But in proportion as his youth disappeared, gayety was kindled; he replaced his teeth with buffooneries, his hair with mirth, his health with irony, his weeping eye laughed incessantly. He was dilapidated but still in flower.
597_134789_000018_000005	His youth, which was packing up for departure long before its time, beat a retreat in good order, bursting with laughter, and no one saw anything but fire.	His youth, which was packing up for departure long before its time, beat a retreat in good order, bursting with laughter, and no one saw anything but fire.
597_134789_000018_000006	He had had a piece rejected at the Vaudeville.	He had had a piece rejected at the Vaudeville.
597_134789_000018_000009	Being thus ironical and bald, he was the leader.	Being thus ironical and bald, he was the leader.
597_134789_000018_000010	Iron is an English word.	Iron is an English word.
597_134789_000018_000011	Is it possible that irony is derived from it?	Is it possible that irony is derived from it?
597_134789_000020_000001	We have promised them solemnly that we would.	We have promised them solemnly that we would.
597_134789_000021_000000	Thereupon, Tholomyes lowered his voice and articulated something so mirthful, that a vast and enthusiastic grin broke out upon the four mouths simultaneously, and Blachevelle exclaimed, "That is an idea."	Thereupon, Tholomyes lowered his voice and articulated something so mirthful, that a vast and enthusiastic grin broke out upon the four mouths simultaneously, and Blachevelle exclaimed, "That is an idea."
597_134789_000022_000000	A smoky tap-room presented itself; they entered, and the remainder of their confidential colloquy was lost in shadow.	A smoky tap room presented itself; they entered, and the remainder of their confidential colloquy was lost in shadow.
597_134789_000023_000000	The result of these shades was a dazzling pleasure party which took place on the following Sunday, the four young men inviting the four young girls.	The result of these shades was a dazzling pleasure party which took place on the following Sunday, the four young men inviting the four young girls.
