511_131226_000000_000000	All would be well.	All would be well.	false	0	2.1	18.368855
511_131226_000019_000000	Then you haven't studied hypnosis.	Then you haven't studied hypnosis.	true	156.35	159.64	24.041592
511_131226_000019_000001	You have never tried to demonstrate to a hypnotic that a table is not a hippopotamus.	You have never tried to demonstrate to a hypnotic that a table is not a hippopotamus.	true	159.74	164.56	23.38187
511_131226_000019_000002	According to our general acceptance, it would be impossible to demonstrate such a thing. Point out a hundred reasons for saying that a hippopotamus is not a table: you'll have to end up agreeing that neither is a table a table--it only seems to be a table.	According to our general acceptance, it would be impossible to demonstrate such a thing. Point out a hundred reasons for saying that a hippopotamus is not a table: you'll have to end up agreeing that neither is a table a table-it only seems to be a table.	false	164.78	179.32	23.570887
511_131226_000019_000003	Well, that's what the hippopotamus seems to be.	Well, that's what the hippopotamus seems to be.	false	179.84	182.41	23
511_131226_000019_000004	So how can you prove that something is not something else, when neither is something else some other thing?	So how can you prove that something is not something else, when neither is something else some other thing?	true	182.45	188.23	17
511_131226_000019_000005	There's nothing to prove.	There's nothing to prove.	true	188.42	190.9	22.464514
511_131226_000020_000000	This is one of the profundities that we advertised in advance.	This is one of the profundities that we advertised in advance.	true	193.16	197.98	23.399368
511_131226_000021_000000	You can oppose an absurdity only with some other absurdity.	You can oppose an absurdity only with some other absurdity.	true	198.71	202.38	22.691517
511_131226_000021_000001	But Science is established preposterousness.	But Science is established preposterousness.	true	202.38	206.05	24.736801
511_131226_000021_000002	We divide all intellection: the obviously preposterousness and the established.	We divide all intellection: the obviously preposterousness and the established.	false	206.18	212.14	21.668825
511_131226_000022_000000	But Krakatoa: that's the explanation that the scientists gave.	But Krakatoa: that's the explanation that the scientists gave.	true	212.57	217.09	23.257069
511_131226_000022_000001	I don't know what whopper the medicine men told.	I don't know what whopper the medicine men told.	true	217.19	220.03	23.029442
511_131226_000023_000000	We see, from the start, the very strong inclination of science to deny, as much as it can, external relations of this earth.	We see, from the start, the very strong inclination of science to deny, as much as it can, external relations of this earth.	false	220.43	229.93	22.733559
511_131226_000024_000000	This book is an assemblage of data of external relations of this earth. We take the position that our data have been damned, upon no consideration for individual merits or demerits, but in conformity with a general attempt to hold out for isolation of this earth.	This book is an assemblage of data of external relations of this earth. We take the position that our data have been damned, upon no consideration for individual merits or demerits, but in conformity with a general attempt to hold out for isolation of this earth.	true	230.3	247.365	22.92103
511_131226_000024_000001	This is attempted positiveness.	This is attempted positiveness.	true	247.365	250.6	24.378513
511_131226_000024_000002	We take the position that science can no more succeed than, in a similar endeavor, could the Chinese, or than could the United States.	We take the position that science can no more succeed than, in a similar endeavor, could the Chinese, or than could the United States.	true	250.85	259.42	18
511_131226_000024_000003	So then, with only pseudo-consideration of the phenomena of 1883, or as an expression of positivism in its aspect of isolation, or unrelatedness, scientists have perpetrated such an enormity as suspension of volcanic dust seven years in the air--disregarding the lapse of several years--rather than to admit the arrival of dust from somewhere beyond this earth.	So then, with only pseudo consideration of the phenomena of eighteen eighty three, or as an expression of positivism in its aspect of isolation, or unrelatedness, scientists have perpetrated such an enormity as suspension of volcanic dust seven years in the air-disregarding the lapse of several years-rather than to admit the arrival of dust from somewhere beyond this earth.	false	259.97	288.4	22.136717
511_131226_000024_000004	Not that scientists themselves have ever achieved positiveness, in its aspect of unitedness, among themselves--because Nordenskiold, before 1883, wrote a great deal upon his theory of cosmic dust, and Prof.	Not that scientists themselves have ever achieved positiveness, in its aspect of unitedness, among themselves-because Nordenskiold, before eighteen eighty three, wrote a great deal upon his theory of cosmic dust, and prof	false	289.22	304.47	21.99388
511_131226_000024_000005	Cleveland Abbe contended against the Krakatoan explanation--but that this is the orthodoxy of the main body of scientists.	Cleveland Abbe contended against the Krakatoan explanation-but that this is the orthodoxy of the main body of scientists.	false	304.47	313.24	22.68435
511_131226_000025_000000	My own chief reason for indignation here:	My own chief reason for indignation here:	true	314.09	316.81	23.34294
511_131226_000026_000000	That this preposterous explanation interferes with some of my own enormities.	That this preposterous explanation interferes with some of my own enormities.	true	316.94	322.87	23.857111
511_131226_000027_000000	It would cost me too much explaining, if I should have to admit that this earth's atmosphere has such sustaining power.	It would cost me too much explaining, if I should have to admit that this earth's atmosphere has such sustaining power.	true	323.09	330.58	26
511_131226_000028_000000	Later, we shall have data of things that have gone up in the air and that have stayed up--somewhere--weeks--months--but not by the sustaining power of this earth's atmosphere.	Later, we shall have data of things that have gone up in the air and that have stayed up-somewhere-weeks-months-but not by the sustaining power of this earth's atmosphere.	false	331.58	342.49	23.434887
511_131226_000028_000001	For instance, the turtle of Vicksburg. It seems to me that it would be ridiculous to think of a good-sized turtle hanging, for three or four months, upheld only by the air, over the town of Vicksburg.	For instance, the turtle of Vicksburg. It seems to me that it would be ridiculous to think of a good sized turtle hanging, for three or four months, upheld only by the air, over the town of Vicksburg.	false	342.68	357.51	24.65654
511_131226_000028_000002	When it comes to the horse and the barn--I think that they'll be classics some day, but I can never accept that a horse and a barn could float several months in this earth's atmosphere.	When it comes to the horse and the barn-I think that they'll be classics some day, but I can never accept that a horse and a barn could float several months in this earth's atmosphere.	false	357.51	368.44	25.836746
511_131226_000029_000000	The orthodox explanation:	The orthodox explanation:	true	369.56	371.595	27.93065
511_131226_000030_000000	See the _Report of the Krakatoa Committee of the Royal Society_.	See the underscore Report of the Krakatoa Committee of the Royal Society underscore.	false	371.595	376.32	23.959578
511_131226_000030_000001	It comes out absolutely for the orthodox explanation--absolutely and beautifully, also expensively.	It comes out absolutely for the orthodox explanation-absolutely and beautifully, also expensively.	false	376.32	384.19	26.8667
511_131226_000030_000002	There are 492 pages in the "Report," and 40 plates, some of them marvelously colored.	There are four hundred ninety two pages in the "Report," and forty plates, some of them marvelously colored.	false	384.74	391.39	24.882374
511_131226_000030_000003	It was issued after an investigation that took five years.	It was issued after an investigation that took five years.	true	391.49	394.935	20.873632
511_131226_000030_000004	You couldn't think of anything done more efficiently, artistically, authoritatively.	You couldn't think of anything done more efficiently, artistically, authoritatively.	true	394.935	399.91	24.163513
511_131226_000030_000005	The mathematical parts are especially impressive: distribution of the dust of Krakatoa; velocity of translation and rates of subsidence; altitudes and persistences--	The mathematical parts are especially impressive: distribution of the dust of Krakatoa; velocity of translation and rates of subsidence; altitudes and persistences-	true	400.01	410.58	21
511_131226_000031_000000	_Annual Register_, 1883-105:	underscore Annual Register underscore, eighteen eighty three to one hundred five:	false	410.58	415.245	19.393393
511_131226_000032_000000	That the atmospheric effects that have been attributed to Krakatoa were seen in Trinidad before the eruption occurred:	That the atmospheric effects that have been attributed to Krakatoa were seen in Trinidad before the eruption occurred:	true	415.245	422.46	24.92337
511_131226_000033_000000	_Knowledge_, 5-418:	underscore Knowledge underscore, five to four hundred eighteen:	false	422.46	425.41	23.777042
511_131226_000034_000000	That they were seen in Natal, South Africa, six months before the eruption.	That they were seen in Natal, South Africa, six months before the eruption.	true	425.51	434.2	24.01754
511_131226_000035_000000	Inertia and its inhospitality.	Inertia and its inhospitality.	true	436.19	439.245	22.445963
511_131226_000036_000000	Or raw meat should not be fed to babies.	Or raw meat should not be fed to babies.	true	439.245	442.96	25.378105
511_131226_000037_000000	We shall have a few data initiatorily.	We shall have a few data initiatorily.	true	443.09	445.69	22.70305
511_131226_000038_000000	I fear me that the horse and the barn were a little extreme for our budding liberalities.	I fear me that the horse and the barn were a little extreme for our budding liberalities.	true	446.03	451.87	21.521984
511_131226_000039_000000	The outrageous is the reasonable, if introduced politely.	The outrageous is the reasonable, if introduced politely.	true	452.3	457.42	21.97412
511_131226_000040_000000	Hailstones, for instance.	Hailstones, for instance.	true	457.94	459.7	22.273308
511_131226_000040_000001	One reads in the newspapers of hailstones the size of hens' eggs.	One reads in the newspapers of hailstones the size of hens' eggs.	true	459.83	464.14	21.108208
511_131226_000040_000002	One smiles.	One smiles.	true	464.3	465.82	18.475613
511_131226_000040_000003	Nevertheless I will engage to list one hundred instances, from the _Monthly Weather Review_, of hailstones the size of hens' eggs.	Nevertheless I will engage to list one hundred instances, from the underscore Monthly Weather Review underscore, of hailstones the size of hens' eggs.	false	465.89	473.895	22.408752
511_131226_000040_000004	There is an account in _Nature_, Nov. 1, 1894, of hailstones that weighed almost two pounds each.	There is an account in underscore Nature underscore, november first eighteen ninety four, of hailstones that weighed almost two pounds each.	false	473.895	482.655	26.011415
511_131226_000040_000005	See Chambers' Encyclopedia for three-pounders.	See Chambers' Encyclopedia for three pounders.	true	482.655	485.16	21.782682
511_131226_000040_000006	_Report of the Smithsonian Institution_, 1870-479--two-pounders authenticated, and six-pounders reported.	underscore Report of the Smithsonian Institution underscore, eighteen seventy to four hundred seventy nine--two pounders authenticated, and six pounders reported.	false	485.16	495.21	24.857471
511_131226_000040_000007	At Seringapatam, India, about the year 1800, fell a hailstone--	At Seringapatam, India, about the year eighteen hundred, fell a hailstone-	true	495.21	501.52	23.946081
511_131226_000041_000000	I fear me, I fear me: this is one of the profoundly damned.	I fear me, I fear me: this is one of the profoundly damned.	true	502.4	506.865	23.321268
511_131226_000041_000001	I blurt out something that should, perhaps, be withheld for several hundred pages--but that damned thing was the size of an elephant.	I blurt out something that should, perhaps, be withheld for several hundred pages-but that damned thing was the size of an elephant.	true	506.865	516.7	24.706299
511_131226_000042_000000	We laugh.	We laugh.	true	517.49	519.07	21.01347
511_131226_000043_000000	Or snowflakes.	Or snowflakes.	true	519.26	520.53	26.938543
511_131226_000043_000001	Size of saucers.	Size of saucers.	true	520.53	522.07	20.103548
511_131226_000043_000002	Said to have fallen at Nashville, Tenn., Jan. 24, 1891.	Said to have fallen at nashville tennessee, january twenty fourth eighteen ninety one.	true	522.08	526.78	23.665209
511_131226_000043_000003	One smiles.	One smiles.	true	527.03	528.73	21.160587
511_131226_000044_000000	"In Montana, in the winter of 1887, fell snowflakes 15 inches across, and 8 inches thick." (_Monthly Weather Review_, 1915-73.)	"In Montana, in the winter of eighteen eighty seven, fell snowflakes fifteen inches across, and eight inches thick." (underscore Monthly Weather Review underscore, nineteen fifteen to seventy three.)	false	528.92	541.6	23.70944
511_131226_000045_000000	In the topography of intellection, I should say that what we call knowledge is ignorance surrounded by laughter.	In the topography of intellection, I should say that what we call knowledge is ignorance surrounded by laughter.	true	541.85	551.26	22.000881
511_131226_000046_000000	Black rains--red rains--the fall of a thousand tons of butter.	Black rains-red rains-the fall of a thousand tons of butter.	true	551.72	558.88	22.52298
511_131226_000047_000000	Jet-black snow--pink snow--blue hailstones--hailstones flavored like oranges.	Jet black snow-pink snow-blue hailstones-hailstones flavored like oranges.	true	559.28	565.69	21.406294
511_131226_000048_000000	Punk and silk and charcoal.	Punk and silk and charcoal.	true	565.7	568.78	24.97482
511_131226_000049_000000	About one hundred years ago, if anyone was so credulous as to think that stones had ever fallen from the sky, he was reasoned with:	About one hundred years ago, if anyone was so credulous as to think that stones had ever fallen from the sky, he was reasoned with:	false	569.33	577.24	21.853146
511_131226_000050_000000	In the first place there are no stones in the sky:	In the first place there are no stones in the sky:	false	577.55	580.77	23.559937
511_131226_000051_000000	Therefore no stones can fall from the sky.	Therefore no stones can fall from the sky.	true	580.77	583.99	27.273466
511_131226_000052_000000	Or nothing more reasonable or scientific or logical than that could be said upon any subject.	Or nothing more reasonable or scientific or logical than that could be said upon any subject.	true	584.21	589.99	21.88247
511_131226_000052_000001	The only trouble is the universal trouble: that the major premise is not real, or is intermediate somewhere between realness and unrealness.	The only trouble is the universal trouble: that the major premise is not real, or is intermediate somewhere between realness and unrealness.	true	590.48	602.53	23.471432
511_131226_000053_000000	In 1772, a committee, of whom Lavoisier was a member, was appointed by the French Academy, to investigate a report that a stone had fallen from the sky at Luce, France.	In seventeen seventy two, a committee, of whom Lavoisier was a member, was appointed by the French Academy, to investigate a report that a stone had fallen from the sky at Luce, France.	true	603.14	613.68	22.462854
511_131226_000053_000001	Of all attempts at positiveness, in its aspect of isolation, I don't know of anything that has been fought harder for than the notion of this earth's unrelatedness.	Of all attempts at positiveness, in its aspect of isolation, I don't know of anything that has been fought harder for than the notion of this earth's unrelatedness.	false	613.68	624.43	24.351318
511_131226_000053_000002	Lavoisier analyzed the stone of Luce.	Lavoisier analyzed the stone of Luce.	true	625.01	628.18	25.02287
511_131226_000053_000003	The exclusionists' explanation at that time was that stones do not fall from the sky: that luminous objects may seem to fall, and that hot stones may be picked up where a luminous object seemingly had landed--only lightning striking a stone, heating, even melting it.	The exclusionists' explanation at that time was that stones do not fall from the sky: that luminous objects may seem to fall, and that hot stones may be picked up where a luminous object seemingly had landed-only lightning striking a stone, heating, even melting it.	true	628.94	651.64	22.51383
511_131226_000054_000000	The stone of Luce showed signs of fusion.	The stone of Luce showed signs of fusion.	true	652.61	655.44	21.475435
511_131226_000055_000000	Lavoisier's analysis "absolutely proved" that this stone had not fallen: that it had been struck by lightning.	Lavoisier's analysis "absolutely proved" that this stone had not fallen: that it had been struck by lightning.	false	655.44	663.19	21.6737
511_131226_000056_000000	So, authoritatively, falling stones were damned.	So, authoritatively, falling stones were damned.	true	663.65	668.355	24.940533
511_131226_000056_000001	The stock means of exclusion remained the explanation of lightning that was seen to strike something--that had been upon the ground in the first place.	The stock means of exclusion remained the explanation of lightning that was seen to strike something-that had been upon the ground in the first place.	true	668.355	676.6	22.624187
511_131226_000057_000000	But positiveness and the fate of every positive statement.	But positiveness and the fate of every positive statement.	true	677.24	681.22	23.908373
511_131226_000057_000001	It is not customary to think of damned stones raising an outcry against a sentence of exclusion, but, subjectively, aerolites did--or data of them bombarded the walls raised against them--	It is not customary to think of damned stones raising an outcry against a sentence of exclusion, but, subjectively, aerolites did-or data of them bombarded the walls raised against them-	true	681.26	694.65	23.727318
511_131226_000058_000000	_Monthly Review_, 1796-426	underscore Monthly Review underscore, seventeen ninety six to four hundred twenty six	false	694.65	699.49	22.409216
511_131226_000059_000000	"The phenomenon which is the subject of the remarks before us will seem to most persons as little worthy of credit as any that could be offered. The falling of large stones from the sky, without any assignable cause of their previous ascent, seems to partake so much of the marvelous as almost entirely to exclude the operation of known and natural agents. Yet a body of evidence is here brought to prove that such events have actually taken place, and we ought not to withhold from it a proper degree of attention."	"The phenomenon which is the subject of the remarks before us will seem to most persons as little worthy of credit as any that could be offered. The falling of large stones from the sky, without any assignable cause of their previous ascent, seems to partake so much of the marvelous as almost entirely to exclude the operation of known and natural agents. Yet a body of evidence is here brought to prove that such events have actually taken place, and we ought not to withhold from it a proper degree of attention."	false	700.4	732.73	23.163847
511_131226_000060_000000	The writer abandons the first, or absolute, exclusion, and modifies it with the explanation that the day before a reported fall of stones in Tuscany, June 16, 1794, there had been an eruption of Vesuvius--	The writer abandons the first, or absolute, exclusion, and modifies it with the explanation that the day before a reported fall of stones in Tuscany, june sixteenth seventeen ninety four, there had been an eruption of Vesuvius-	true	733.16	746.59	21.806488
511_131226_000061_000000	Or that stones do fall from the sky, but that they are stones that have been raised to the sky from some other part of the earth's surface by whirlwinds or by volcanic action.	Or that stones do fall from the sky, but that they are stones that have been raised to the sky from some other part of the earth's surface by whirlwinds or by volcanic action.	false	746.96	756.49	20
511_131226_000062_000000	It's more than one hundred and twenty years later.	It's more than one hundred and twenty years later.	true	757.7	761.05	20.751694
511_131226_000062_000001	I know of no aerolite that has ever been acceptably traced to terrestrial origin.	I know of no aerolite that has ever been acceptably traced to terrestrial origin.	true	761.6	767.77	22.585243
511_131226_000063_000000	Falling stones had to be undamned--though still with a reservation that held out for exclusion of outside forces.	Falling stones had to be undamned-though still with a reservation that held out for exclusion of outside forces.	false	768.86	777.28	21.537762
511_131226_000064_000000	One may have the knowledge of a Lavoisier, and still not be able to analyze, not be able even to see, except conformably with the hypnoses, or the conventional reactions against hypnoses, of one's era.	One may have the knowledge of a Lavoisier, and still not be able to analyze, not be able even to see, except conformably with the hypnoses, or the conventional reactions against hypnoses, of one's era.	false	777.65	793.15	22.664963
511_131226_000065_000000	We believe no more.	We believe no more.	true	793.73	795.91	24.95548
511_131226_000066_000000	We accept.	We accept.	true	796.4	798.28	33.21055
511_131226_000067_000000	Little by little the whirlwind and volcano explanations had to be abandoned, but so powerful was this exclusion-hypnosis, sentence of damnation, or this attempt at positiveness, that far into our own times some scientists, notably Prof.	Little by little the whirlwind and volcano explanations had to be abandoned, but so powerful was this exclusion hypnosis, sentence of damnation, or this attempt at positiveness, that far into our own times some scientists, notably prof	false	798.5	815.43	21.195803
511_131226_000067_000001	Lawrence Smith and Sir Robert Ball, continued to hold out against all external origins, asserting that nothing could fall to this earth, unless it had been cast up or whirled up from some other part of this earth's surface.	Lawrence Smith and Sir Robert Ball, continued to hold out against all external origins, asserting that nothing could fall to this earth, unless it had been cast up or whirled up from some other part of this earth's surface.	false	815.43	829.3	23
511_131226_000068_000000	It's as commendable as anything ever has been--by which I mean it's intermediate to the commendable and the censurable.	It's as commendable as anything ever has been-by which I mean it's intermediate to the commendable and the censurable.	false	830.63	838.87	21.34051
511_131226_000069_000000	It's virginal.	It's virginal.	true	840.47	841.75	21.460213
511_131226_000070_000000	Meteorites, data of which were once of the damned, have been admitted, but the common impression of them is only a retreat of attempted exclusion: that only two kinds of substance fall from the sky: metallic and stony: that the metallic objects are of iron and nickel--	Meteorites, data of which were once of the damned, have been admitted, but the common impression of them is only a retreat of attempted exclusion: that only two kinds of substance fall from the sky: metallic and stony: that the metallic objects are of iron and nickel-	false	842.51	860.29	22.723883
511_131226_000071_000000	Butter and paper and wool and silk and resin.	Butter and paper and wool and silk and resin.	true	861.05	865.33	22.022308
511_131226_000072_000000	We see, to start with, that the virgins of science have fought and wept and screamed against external relations--upon two grounds:	We see, to start with, that the virgins of science have fought and wept and screamed against external relations-upon two grounds:	true	865.76	874.54	21.697876
511_131226_000073_000000	There in the first place;	There in the first place;	true	875.06	876.88	25.444931
511_131226_000074_000000	Or up from one part of this earth's surface and down to another.	Or up from one part of this earth's surface and down to another.	true	877.4	883.66	24.290998
511_131226_000075_000000	As late as November, 1902, in _Nature Notes_, 13-231, a member of the Selborne Society still argued that meteorites do not fall from the sky; that they are masses of iron upon the ground "in the first place," that attract lightning; that the lightning is seen, and is mistaken for a falling, luminous object--	As late as November, nineteen o two, in underscore Nature Notes underscore, thirteen to two hundred thirty one, a member of the Selborne Society still argued that meteorites do not fall from the sky; that they are masses of iron upon the ground "in the first place," that attract lightning; that the lightning is seen, and is mistaken for a falling, luminous object-	false	884.12	924.27	23.006752
