176_122025_000000_000000	VI.	VI.	false	34.14	34.5	13.778715
176_122025_000011_000002	We'll convert him!	We'll convert him!	true	199.245	200.55	24.06347
176_122025_000011_000003	He'll be the most converted Toad that ever was before we've done with him!'	He'll be the most converted Toad that ever was before we've done with him!'	false	200.55	204.67	19
176_122025_000012_000000	They set off up the road on their mission of mercy, Badger leading the way.	They set off up the road on their mission of mercy, Badger leading the way.	true	204.92	208.87	21.953266
176_122025_000012_000001	Animals when in company walk in a proper and sensible manner, in single file, instead of sprawling all across the road and being of no use or support to each other in case of sudden trouble or danger.	Animals when in company walk in a proper and sensible manner, in single file, instead of sprawling all across the road and being of no use or support to each other in case of sudden trouble or danger.	true	209.12	220.81	23.948048
176_122025_000013_000000	They reached the carriage-drive of Toad Hall to find, as the Badger had anticipated, a shiny new motor-car, of great size, painted a bright red (Toad's favourite colour), standing in front of the house.	They reached the carriage drive of Toad Hall to find, as the Badger had anticipated, a shiny new motor car, of great size, painted a bright red (Toad's favourite colour), standing in front of the house.	true	221.18	233.65	24.056236
176_122025_000013_000001	As they neared the door it was flung open, and Mr. Toad, arrayed in goggles, cap, gaiters, and enormous overcoat, came swaggering down the steps, drawing on his gauntleted gloves.	As they neared the door it was flung open, and mr Toad, arrayed in goggles, cap, gaiters, and enormous overcoat, came swaggering down the steps, drawing on his gauntleted gloves.	true	233.81	244.68	22.360714
176_122025_000014_000000	'Hullo! come on, you fellows!' he cried cheerfully on catching sight of them.	'Hullo! come on, you fellows!' he cried cheerfully on catching sight of them.	false	244.68	249.63	22.977018
176_122025_000014_000001	'You're just in time to come with me for a jolly--to come for a jolly--for a--er--jolly----'	'You're just in time to come with me for a jolly-to come for a jolly-for a-er-jolly----'	false	249.63	257.08	24.98665
176_122025_000015_000000	His hearty accents faltered and fell away as he noticed the stern unbending look on the countenances of his silent friends, and his invitation remained unfinished.	His hearty accents faltered and fell away as he noticed the stern unbending look on the countenances of his silent friends, and his invitation remained unfinished.	true	257.36	266.83	23.18132
176_122025_000016_000000	The Badger strode up the steps.	The Badger strode up the steps.	true	267.23	269.17	24.386126
176_122025_000016_000001	'Take him inside,' he said sternly to his companions.	'Take him inside,' he said sternly to his companions.	true	269.27	272.47	20.719893
176_122025_000016_000002	Then, as Toad was hustled through the door, struggling and protesting, he turned to the chauffeur in charge of the new motor-car.	Then, as Toad was hustled through the door, struggling and protesting, he turned to the chauffeur in charge of the new motor car.	true	272.69	279.85	21.890953
176_122025_000017_000000	'I'm afraid you won't be wanted to-day,' he said.	'I'm afraid you won't be wanted to day,' he said.	false	280.13	283.36	18.393686
176_122025_000017_000001	'Mr.	'mr	true	283.43	283.89	30.196314
176_122025_000017_000002	Toad has changed his mind.	Toad has changed his mind.	true	283.89	285.99	21.303228
176_122025_000017_000003	He will not require the car.	He will not require the car.	false	285.99	288.24	24.57387
176_122025_000017_000004	Please understand that this is final.	Please understand that this is final.	true	288.24	290.775	24.070427
176_122025_000017_000005	You needn't wait.' Then he followed the others inside and shut the door.	You needn't wait.' Then he followed the others inside and shut the door.	true	290.775	295.38	21.435366
176_122025_000018_000000	'Now then!' he said to the Toad, when the four of them stood together in the Hall, 'first of all, take those ridiculous things off!'	'Now then!' he said to the Toad, when the four of them stood together in the Hall, 'first of all, take those ridiculous things off!'	false	295.38	303.27	21.657957
176_122025_000019_000000	'Shan't!' replied Toad, with great spirit.	'Shan't!' replied Toad, with great spirit.	false	303.27	306.165	20.43284
176_122025_000019_000001	'What is the meaning of this gross outrage?	'What is the meaning of this gross outrage?	true	306.165	308.445	23.28282
176_122025_000019_000002	I demand an instant explanation.'	I demand an instant explanation.'	true	308.445	310.69	24.787645
176_122025_000020_000000	'Take them off him, then, you two,' ordered the Badger briefly.	'Take them off him, then, you two,' ordered the Badger briefly.	false	310.79	314.59	20
176_122025_000021_000000	They had to lay Toad out on the floor, kicking and calling all sorts of names, before they could get to work properly.	They had to lay Toad out on the floor, kicking and calling all sorts of names, before they could get to work properly.	true	314.96	321.1	24.117937
176_122025_000021_000001	Then the Rat sat on him, and the Mole got his motor-clothes off him bit by bit, and they stood him up on his legs again.	Then the Rat sat on him, and the Mole got his motor clothes off him bit by bit, and they stood him up on his legs again.	false	321.23	327.79	22.70255
176_122025_000021_000002	A good deal of his blustering spirit seemed to have evaporated with the removal of his fine panoply.	A good deal of his blustering spirit seemed to have evaporated with the removal of his fine panoply.	true	327.89	333.4	19.002232
176_122025_000021_000003	Now that he was merely Toad, and no longer the Terror of the Highway, he giggled feebly and looked from one to the other appealingly, seeming quite to understand the situation.	Now that he was merely Toad, and no longer the Terror of the Highway, he giggled feebly and looked from one to the other appealingly, seeming quite to understand the situation.	true	333.71	344.59	22.883846
176_122025_000022_000000	'You knew it must come to this, sooner or later, Toad,' the Badger explained severely.	'You knew it must come to this, sooner or later, Toad,' the Badger explained severely.	true	345.08	349.84	25.45564
176_122025_000023_000000	You've disregarded all the warnings we've given you, you've gone on squandering the money your father left you, and you're getting us animals a bad name in the district by your furious driving and your smashes and your rows with the police.	You've disregarded all the warnings we've given you, you've gone on squandering the money your father left you, and you're getting us animals a bad name in the district by your furious driving and your smashes and your rows with the police.	true	349.94	363.34	19
176_122025_000023_000001	Independence is all very well, but we animals never allow our friends to make fools of themselves beyond a certain limit; and that limit you've reached.	Independence is all very well, but we animals never allow our friends to make fools of themselves beyond a certain limit; and that limit you've reached.	true	363.59	372.555	19.943274
176_122025_000023_000002	Now, you're a good fellow in many respects, and I don't want to be too hard on you. I'll make one more effort to bring you to reason.	Now, you're a good fellow in many respects, and I don't want to be too hard on you. I'll make one more effort to bring you to reason.	true	372.555	380.5	21.71294
176_122025_000023_000003	You will come with me into the smoking-room, and there you will hear some facts about yourself; and we'll see whether you come out of that room the same Toad that you went in.'	You will come with me into the smoking room, and there you will hear some facts about yourself; and we'll see whether you come out of that room the same Toad that you went in.'	false	380.54	390.15	20.148233
176_122025_000024_000000	He took Toad firmly by the arm, led him into the smoking-room, and closed the door behind them.	He took Toad firmly by the arm, led him into the smoking room, and closed the door behind them.	true	390.15	395.53	22.409264
176_122025_000025_000000	'THAT'S no good!' said the Rat contemptuously.	'THAT'S no good!' said the Rat contemptuously.	false	395.72	398.76	19.341763
176_122025_000025_000001	'TALKING to Toad'll never cure him.	'TALKING to Toad'll never cure him.	false	398.76	401.43	26.753202
176_122025_000025_000002	He'll SAY anything.'	He'll SAY anything.'	true	401.43	403	28.620804
176_122025_000026_000000	They made themselves comfortable in armchairs and waited patiently. Through the closed door they could just hear the long continuous drone of the Badger's voice, rising and falling in waves of oratory; and presently they noticed that the sermon began to be punctuated at intervals by long-drawn sobs, evidently proceeding from the bosom of Toad, who was a soft-hearted and affectionate fellow, very easily converted--for the time being--to any point of view.	They made themselves comfortable in armchairs and waited patiently. Through the closed door they could just hear the long continuous drone of the Badger's voice, rising and falling in waves of oratory; and presently they noticed that the sermon began to be punctuated at intervals by long drawn sobs, evidently proceeding from the bosom of Toad, who was a soft hearted and affectionate fellow, very easily converted-for the time being-to any point of view.	true	403.37	430	22.427607
176_122025_000027_000000	After some three-quarters of an hour the door opened, and the Badger reappeared, solemnly leading by the paw a very limp and dejected Toad. His skin hung baggily about him, his legs wobbled, and his cheeks were furrowed by the tears so plentifully called forth by the Badger's moving discourse.	After some three quarters of an hour the door opened, and the Badger reappeared, solemnly leading by the paw a very limp and dejected Toad. His skin hung baggily about him, his legs wobbled, and his cheeks were furrowed by the tears so plentifully called forth by the Badger's moving discourse.	true	430.79	449.47	21.748774
176_122025_000028_000000	'Sit down there, Toad,' said the Badger kindly, pointing to a chair.	'Sit down there, Toad,' said the Badger kindly, pointing to a chair.	true	449.84	454.06	22.991621
176_122025_000028_000001	'My friends,' he went on, 'I am pleased to inform you that Toad has at last seen the error of his ways.	'My friends,' he went on, 'I am pleased to inform you that Toad has at last seen the error of his ways.	false	454.4	461.59	21.643698
176_122025_000028_000002	He is truly sorry for his misguided conduct in the past, and he has undertaken to give up motor-cars entirely and for ever.	He is truly sorry for his misguided conduct in the past, and he has undertaken to give up motor cars entirely and for ever.	false	461.93	470.65	23.504677
176_122025_000028_000003	I have his solemn promise to that effect.'	I have his solemn promise to that effect.'	true	470.78	473.73	19.847666
176_122025_000029_000000	'That is very good news,' said the Mole gravely.	'That is very good news,' said the Mole gravely.	false	473.73	477.13	18.832891
176_122025_000030_000000	'Very good news indeed,' observed the Rat dubiously, 'if only--IF only----'	'Very good news indeed,' observed the Rat dubiously, 'if only-IF only----'	true	477.41	484.06	23.456793
176_122025_000031_000000	He was looking very hard at Toad as he said this, and could not help thinking he perceived something vaguely resembling a twinkle in that animal's still sorrowful eye.	He was looking very hard at Toad as he said this, and could not help thinking he perceived something vaguely resembling a twinkle in that animal's still sorrowful eye.	true	484.34	493.63	22
176_122025_000032_000000	'There's only one thing more to be done,' continued the gratified Badger. 'Toad, I want you solemnly to repeat, before your friends here, what you fully admitted to me in the smoking-room just now.	'There's only one thing more to be done,' continued the gratified Badger. 'Toad, I want you solemnly to repeat, before your friends here, what you fully admitted to me in the smoking room just now.	true	494.27	507.16	20.658085
176_122025_000032_000001	First, you are sorry for what you've done, and you see the folly of it all?'	First, you are sorry for what you've done, and you see the folly of it all?'	true	507.23	511.63	23.500738
176_122025_000033_000000	There was a long, long pause.	There was a long, long pause.	true	512.06	514.48	15.657704
176_122025_000033_000001	Toad looked desperately this way and that, while the other animals waited in grave silence.	Toad looked desperately this way and that, while the other animals waited in grave silence.	false	514.64	519.76	22.20934
176_122025_000033_000002	At last he spoke.	At last he spoke.	true	519.86	521.56	23.280436
176_122025_000034_000000	'No!' he said, a little sullenly, but stoutly; 'I'm NOT sorry.	'No!' he said, a little sullenly, but stoutly; 'I'm NOT sorry.	true	521.57	526.39	21.57348
176_122025_000034_000001	And it wasn't folly at all!	And it wasn't folly at all!	true	526.4	528.09	24.99014
176_122025_000034_000002	It was simply glorious!'	It was simply glorious!'	true	528.09	529.93	19.766926
176_122025_000035_000000	'What?' cried the Badger, greatly scandalised.	'What?' cried the Badger, greatly scandalised.	true	530.09	533.55	21.87627
176_122025_000035_000001	'You backsliding animal, didn't you tell me just now, in there----'	'You backsliding animal, didn't you tell me just now, in there----'	true	533.55	537.465	22.409887
176_122025_000036_000000	'Oh, yes, yes, in THERE,' said Toad impatiently.	'Oh, yes, yes, in THERE,' said Toad impatiently.	false	537.465	541.38	19
176_122025_000036_000001	'I'd have said anything in THERE.	'I'd have said anything in THERE.	false	541.38	543.63	21.812613
176_122025_000036_000002	You're so eloquent, dear Badger, and so moving, and so convincing, and put all your points so frightfully well--you can do what you like with me in THERE, and you know it.	You're so eloquent, dear Badger, and so moving, and so convincing, and put all your points so frightfully well-you can do what you like with me in THERE, and you know it.	false	543.63	552.7	21
176_122025_000036_000003	But I've been searching my mind since, and going over things in it, and I find that I'm not a bit sorry or repentant really, so it's no earthly good saying I am; now, is it?'	But I've been searching my mind since, and going over things in it, and I find that I'm not a bit sorry or repentant really, so it's no earthly good saying I am; now, is it?'	true	552.77	563.16	23.446857
176_122025_000037_000000	'Then you don't promise,' said the Badger, 'never to touch a motor-car again?'	'Then you don't promise,' said the Badger, 'never to touch a motor car again?'	false	563.16	568.24	21.963255
176_122025_000038_000000	'Certainly not!' replied Toad emphatically.	'Certainly not!' replied Toad emphatically.	true	568.28	571.12	26.509014
176_122025_000038_000001	'On the contrary, I faithfully promise that the very first motor-car I see, poop-poop! off I go in it!'	'On the contrary, I faithfully promise that the very first motor car I see, poop poop! off I go in it!'	false	571.16	577.62	25.41308
176_122025_000039_000000	'Told you so, didn't I?' observed the Rat to the Mole.	'Told you so, didn't I?' observed the Rat to the Mole.	false	577.62	581.35	21.409485
176_122025_000040_000000	'Very well, then,' said the Badger firmly, rising to his feet.	'Very well, then,' said the Badger firmly, rising to his feet.	true	581.78	585.76	23.318024
176_122025_000040_000001	'Since you won't yield to persuasion, we'll try what force can do.	'Since you won't yield to persuasion, we'll try what force can do.	true	585.77	589.72	24.95388
176_122025_000040_000002	I feared it would come to this all along.	I feared it would come to this all along.	true	589.91	592.36	18.183758
176_122025_000040_000003	You've often asked us three to come and stay with you, Toad, in this handsome house of yours; well, now we're going to.	You've often asked us three to come and stay with you, Toad, in this handsome house of yours; well, now we're going to.	true	592.52	599.71	20.617561
176_122025_000040_000004	When we've converted you to a proper point of view we may quit, but not before.	When we've converted you to a proper point of view we may quit, but not before.	true	599.93	604.66	22.698921
176_122025_000040_000005	Take him upstairs, you two, and lock him up in his bedroom, while we arrange matters between ourselves.'	Take him upstairs, you two, and lock him up in his bedroom, while we arrange matters between ourselves.'	true	604.91	610.69	21.672386
176_122025_000041_000000	'It's for your own good, Toady, you know,' said the Rat kindly, as Toad, kicking and struggling, was hauled up the stairs by his two faithful friends.	'It's for your own good, Toady, you know,' said the Rat kindly, as Toad, kicking and struggling, was hauled up the stairs by his two faithful friends.	false	610.76	618.58	22.97283
176_122025_000041_000001	'Think what fun we shall all have together, just as we used to, when you've quite got over this--this painful attack of yours!'	'Think what fun we shall all have together, just as we used to, when you've quite got over this-this painful attack of yours!'	false	618.74	626.61	22.298515
176_122025_000042_000000	'We'll take great care of everything for you till you're well, Toad,' said the Mole; 'and we'll see your money isn't wasted, as it has been.'	'We'll take great care of everything for you till you're well, Toad,' said the Mole; 'and we'll see your money isn't wasted, as it has been.'	false	626.61	633.9	24.3982
176_122025_000043_000000	'No more of those regrettable incidents with the police, Toad,' said the Rat, as they thrust him into his bedroom.	'No more of those regrettable incidents with the police, Toad,' said the Rat, as they thrust him into his bedroom.	false	633.9	640.05	22.233519
176_122025_000044_000000	'And no more weeks in hospital, being ordered about by female nurses, Toad,' added the Mole, turning the key on him.	'And no more weeks in hospital, being ordered about by female nurses, Toad,' added the Mole, turning the key on him.	false	640.05	647.32	23.174925
176_122025_000045_000000	They descended the stair, Toad shouting abuse at them through the keyhole; and the three friends then met in conference on the situation.	They descended the stair, Toad shouting abuse at them through the keyhole; and the three friends then met in conference on the situation.	true	647.6	654.91	23.22073
176_122025_000046_000000	'It's going to be a tedious business,' said the Badger, sighing.	'It's going to be a tedious business,' said the Badger, sighing.	false	655.52	659.71	23.421087
176_122025_000046_000001	'I've never seen Toad so determined.	'I've never seen Toad so determined.	true	659.87	662.71	20
176_122025_000046_000002	However, we will see it out.	However, we will see it out.	true	662.87	665.08	20.796078
176_122025_000046_000003	He must never be left an instant unguarded.	He must never be left an instant unguarded.	true	665.21	668.29	23.557795
176_122025_000046_000004	We shall have to take it in turns to be with him, till the poison has worked itself out of his system.'	We shall have to take it in turns to be with him, till the poison has worked itself out of his system.'	false	668.3	673.99	22.063036
176_122025_000047_000000	They arranged watches accordingly.	They arranged watches accordingly.	true	674.39	676.42	21.233555
176_122025_000047_000001	Each animal took it in turns to sleep in Toad's room at night, and they divided the day up between them.	Each animal took it in turns to sleep in Toad's room at night, and they divided the day up between them.	true	676.64	682.42	22.341389
176_122025_000047_000002	At first Toad was undoubtedly very trying to his careful guardians.	At first Toad was undoubtedly very trying to his careful guardians.	true	682.61	686.65	20.453936
176_122025_000047_000003	When his violent paroxysms possessed him he would arrange bedroom chairs in rude resemblance of a motor-car and would crouch on the foremost of them, bent forward and staring fixedly ahead, making uncouth and ghastly noises, till the climax was reached, when, turning a complete somersault, he would lie prostrate amidst the ruins of the chairs, apparently completely satisfied for the moment.	When his violent paroxysms possessed him he would arrange bedroom chairs in rude resemblance of a motor car and would crouch on the foremost of them, bent forward and staring fixedly ahead, making uncouth and ghastly noises, till the climax was reached, when, turning a complete somersault, he would lie prostrate amidst the ruins of the chairs, apparently completely satisfied for the moment.	true	686.81	710.65	22.851547
176_122025_000047_000004	As time passed, however, these painful seizures grew gradually less frequent, and his friends strove to divert his mind into fresh channels.	As time passed, however, these painful seizures grew gradually less frequent, and his friends strove to divert his mind into fresh channels.	true	711.05	719.62	22.521915
176_122025_000047_000005	But his interest in other matters did not seem to revive, and he grew apparently languid and depressed.	But his interest in other matters did not seem to revive, and he grew apparently languid and depressed.	true	719.78	725.83	21.735073
176_122025_000048_000000	One fine morning the Rat, whose turn it was to go on duty, went upstairs to relieve Badger, whom he found fidgeting to be off and stretch his legs in a long ramble round his wood and down his earths and burrows. 'Toad's still in bed,' he told the Rat, outside the door.	One fine morning the Rat, whose turn it was to go on duty, went upstairs to relieve Badger, whom he found fidgeting to be off and stretch his legs in a long ramble round his wood and down his earths and burrows. 'Toad's still in bed,' he told the Rat, outside the door.	true	726.29	742.87	21.583193
176_122025_000048_000001	'Can't get much out of him, except, "O leave him alone, he wants nothing, perhaps he'll be better presently, it may pass off in time, don't be unduly anxious," and so on.	'Can't get much out of him, except, "O leave him alone, he wants nothing, perhaps he'll be better presently, it may pass off in time, don't be unduly anxious," and so on.	true	742.97	754.15	18.576647
176_122025_000048_000002	Now, you look out, Rat!	Now, you look out, Rat!	true	754.49	755.95	22.065672
176_122025_000048_000003	When Toad's quiet and submissive and playing at being the hero of a Sunday-school prize, then he's at his artfullest.	When Toad's quiet and submissive and playing at being the hero of a Sunday school prize, then he's at his artfullest.	false	756.11	763.72	20.879797
176_122025_000048_000004	There's sure to be something up.	There's sure to be something up.	true	763.88	765.81	17.521347
176_122025_000048_000005	I know him. Well, now, I must be off.'	I know him. Well, now, I must be off.'	true	765.81	769.12	22.829159
176_122025_000049_000000	'How are you to-day, old chap?' inquired the Rat cheerfully, as he approached Toad's bedside.	'How are you to day, old chap?' inquired the Rat cheerfully, as he approached Toad's bedside.	false	769.67	775.66	23.398878
176_122025_000050_000000	He had to wait some minutes for an answer.	He had to wait some minutes for an answer.	true	776.06	778.45	27.602894
176_122025_000050_000001	At last a feeble voice replied, 'Thank you so much, dear Ratty!	At last a feeble voice replied, 'Thank you so much, dear Ratty!	true	778.52	783.58	20.716503
176_122025_000050_000002	So good of you to inquire!	So good of you to inquire!	true	783.77	786.13	20.389585
176_122025_000050_000003	But first tell me how you are yourself, and the excellent Mole?'	But first tell me how you are yourself, and the excellent Mole?'	true	786.32	790.5	19.261194
176_122025_000051_000000	'O, WE'RE all right,' replied the Rat. 'Mole,' he added incautiously, 'is going out for a run round with Badger.	'O, WE'RE all right,' replied the Rat. 'Mole,' he added incautiously, 'is going out for a run round with Badger.	false	790.5	799.36	20.057379
176_122025_000051_000001	They'll be out till luncheon time, so you and I will spend a pleasant morning together, and I'll do my best to amuse you.	They'll be out till luncheon time, so you and I will spend a pleasant morning together, and I'll do my best to amuse you.	false	799.4	806.86	20.814434
176_122025_000051_000002	Now jump up, there's a good fellow, and don't lie moping there on a fine morning like this!'	Now jump up, there's a good fellow, and don't lie moping there on a fine morning like this!'	true	806.87	812.71	24.604069
176_122025_000052_000000	'Dear, kind Rat,' murmured Toad, 'how little you realise my condition, and how very far I am from "jumping up" now--if ever!	'Dear, kind Rat,' murmured Toad, 'how little you realise my condition, and how very far I am from "jumping up" now-if ever!	false	813.38	824.77	22.342468
176_122025_000052_000001	But do not trouble about me.	But do not trouble about me.	true	825.08	827.11	24.47303
176_122025_000052_000002	I hate being a burden to my friends, and I do not expect to be one much longer.	I hate being a burden to my friends, and I do not expect to be one much longer.	true	827.33	833.08	21.360632
176_122025_000052_000003	Indeed, I almost hope not.'	Indeed, I almost hope not.'	true	833.3	835.93	22.013737
176_122025_000053_000000	'Well, I hope not, too,' said the Rat heartily.	'Well, I hope not, too,' said the Rat heartily.	false	836.21	839.73	21.645641
176_122025_000053_000001	'You've been a fine bother to us all this time, and I'm glad to hear it's going to stop.	'You've been a fine bother to us all this time, and I'm glad to hear it's going to stop.	false	839.73	845.19	23.598337
176_122025_000053_000002	And in weather like this, and the boating season just beginning!	And in weather like this, and the boating season just beginning!	true	845.19	848.8	22
176_122025_000053_000003	It's too bad of you, Toad!	It's too bad of you, Toad!	false	848.93	850.635	28.469397
176_122025_000053_000004	It isn't the trouble we mind, but you're making us miss such an awful lot.'	It isn't the trouble we mind, but you're making us miss such an awful lot.'	false	850.635	855.57	24.399855
176_122025_000054_000000	'I'm afraid it IS the trouble you mind, though,' replied the Toad languidly.	'I'm afraid it IS the trouble you mind, though,' replied the Toad languidly.	true	855.57	860.29	17
176_122025_000054_000001	'I can quite understand it.	'I can quite understand it.	true	860.3	862.21	24.119219
176_122025_000054_000002	It's natural enough.	It's natural enough.	true	862.49	864.01	23.120104
176_122025_000054_000003	You're tired of bothering about me.	You're tired of bothering about me.	true	864.26	866.44	20.238037
176_122025_000054_000004	I mustn't ask you to do anything further.	I mustn't ask you to do anything further.	true	866.69	869.38	20
176_122025_000054_000005	I'm a nuisance, I know.'	I'm a nuisance, I know.'	true	869.63	871.48	17
176_122025_000055_000000	'You are, indeed,' said the Rat.	'You are, indeed,' said the Rat.	false	871.67	874	25.290295
176_122025_000055_000001	'But I tell you, I'd take any trouble on earth for you, if only you'd be a sensible animal.'	'But I tell you, I'd take any trouble on earth for you, if only you'd be a sensible animal.'	true	874.07	879.73	21.714153
176_122025_000056_000000	'If I thought that, Ratty,' murmured Toad, more feebly than ever, 'then I would beg you--for the last time, probably--to step round to the village as quickly as possible--even now it may be too late--and fetch the doctor.	'If I thought that, Ratty,' murmured Toad, more feebly than ever, 'then I would beg you-for the last time, probably-to step round to the village as quickly as possible-even now it may be too late-and fetch the doctor.	true	879.98	896.26	22.69622
176_122025_000056_000001	But don't you bother.	But don't you bother.	true	896.69	898.63	23.481735
176_122025_000056_000002	It's only a trouble, and perhaps we may as well let things take their course.'	It's only a trouble, and perhaps we may as well let things take their course.'	false	899	905.08	21.180593
176_122025_000057_000000	'Why, what do you want a doctor for?' inquired the Rat, coming closer and examining him.	'Why, what do you want a doctor for?' inquired the Rat, coming closer and examining him.	true	905.87	911.32	22.568224
176_122025_000057_000001	He certainly lay very still and flat, and his voice was weaker and his manner much changed.	He certainly lay very still and flat, and his voice was weaker and his manner much changed.	false	911.51	917.53	21.329943
176_122025_000058_000000	'Surely you have noticed of late----' murmured Toad. 'But, no--why should you?	'Surely you have noticed of late----' murmured Toad. 'But, no-why should you?	true	917.72	924.22	20.414207
176_122025_000058_000001	Noticing things is only a trouble.	Noticing things is only a trouble.	true	924.62	927.58	20.346209
176_122025_000058_000002	To-morrow, indeed, you may be saying to yourself, "O, if only I had noticed sooner!	To morrow, indeed, you may be saying to yourself, "O, if only I had noticed sooner!	true	928.25	935.53	16.731922
176_122025_000058_000003	If only I had done something!" But no; it's a trouble.	If only I had done something!" But no; it's a trouble.	true	935.96	941.62	17.599453
