176_122025_000000_000001	MR.	mr
176_122025_000016_000002	Then, as Toad was hustled through the door, struggling and protesting, he turned to the chauffeur in charge of the new motor-car.	Then, as Toad was hustled through the door, struggling and protesting, he turned to the chauffeur in charge of the new motor car.
176_122025_000017_000001	'Mr.	'mr
176_122025_000017_000002	Toad has changed his mind.	Toad has changed his mind.
176_122025_000017_000004	Please understand that this is final.	Please understand that this is final.
176_122025_000017_000005	You needn't wait.' Then he followed the others inside and shut the door.	You needn't wait.' Then he followed the others inside and shut the door.
176_122025_000019_000001	'What is the meaning of this gross outrage?	'What is the meaning of this gross outrage?
176_122025_000019_000002	I demand an instant explanation.'	I demand an instant explanation.'
176_122025_000021_000000	They had to lay Toad out on the floor, kicking and calling all sorts of names, before they could get to work properly.	They had to lay Toad out on the floor, kicking and calling all sorts of names, before they could get to work properly.
176_122025_000021_000003	Now that he was merely Toad, and no longer the Terror of the Highway, he giggled feebly and looked from one to the other appealingly, seeming quite to understand the situation.	Now that he was merely Toad, and no longer the Terror of the Highway, he giggled feebly and looked from one to the other appealingly, seeming quite to understand the situation.
176_122025_000022_000000	'You knew it must come to this, sooner or later, Toad,' the Badger explained severely.	'You knew it must come to this, sooner or later, Toad,' the Badger explained severely.
176_122025_000023_000002	Now, you're a good fellow in many respects, and I don't want to be too hard on you. I'll make one more effort to bring you to reason.	Now, you're a good fellow in many respects, and I don't want to be too hard on you. I'll make one more effort to bring you to reason.
176_122025_000024_000000	He took Toad firmly by the arm, led him into the smoking-room, and closed the door behind them.	He took Toad firmly by the arm, led him into the smoking room, and closed the door behind them.
176_122025_000025_000002	He'll SAY anything.'	He'll SAY anything.'
176_122025_000027_000000	After some three-quarters of an hour the door opened, and the Badger reappeared, solemnly leading by the paw a very limp and dejected Toad. His skin hung baggily about him, his legs wobbled, and his cheeks were furrowed by the tears so plentifully called forth by the Badger's moving discourse.	After some three quarters of an hour the door opened, and the Badger reappeared, solemnly leading by the paw a very limp and dejected Toad. His skin hung baggily about him, his legs wobbled, and his cheeks were furrowed by the tears so plentifully called forth by the Badger's moving discourse.
176_122025_000028_000000	'Sit down there, Toad,' said the Badger kindly, pointing to a chair.	'Sit down there, Toad,' said the Badger kindly, pointing to a chair.
176_122025_000030_000000	'Very good news indeed,' observed the Rat dubiously, 'if only--IF only----'	'Very good news indeed,' observed the Rat dubiously, 'if only-IF only----'
176_122025_000031_000000	He was looking very hard at Toad as he said this, and could not help thinking he perceived something vaguely resembling a twinkle in that animal's still sorrowful eye.	He was looking very hard at Toad as he said this, and could not help thinking he perceived something vaguely resembling a twinkle in that animal's still sorrowful eye.
176_122025_000032_000000	'There's only one thing more to be done,' continued the gratified Badger. 'Toad, I want you solemnly to repeat, before your friends here, what you fully admitted to me in the smoking-room just now.	'There's only one thing more to be done,' continued the gratified Badger. 'Toad, I want you solemnly to repeat, before your friends here, what you fully admitted to me in the smoking room just now.
176_122025_000032_000001	First, you are sorry for what you've done, and you see the folly of it all?'	First, you are sorry for what you've done, and you see the folly of it all?'
176_122025_000033_000002	At last he spoke.	At last he spoke.
176_122025_000034_000000	'No!' he said, a little sullenly, but stoutly; 'I'm NOT sorry.	'No!' he said, a little sullenly, but stoutly; 'I'm NOT sorry.
176_122025_000034_000001	And it wasn't folly at all!	And it wasn't folly at all!
176_122025_000035_000000	'What?' cried the Badger, greatly scandalised.	'What?' cried the Badger, greatly scandalised.
176_122025_000035_000001	'You backsliding animal, didn't you tell me just now, in there----'	'You backsliding animal, didn't you tell me just now, in there----'
176_122025_000036_000003	But I've been searching my mind since, and going over things in it, and I find that I'm not a bit sorry or repentant really, so it's no earthly good saying I am; now, is it?'	But I've been searching my mind since, and going over things in it, and I find that I'm not a bit sorry or repentant really, so it's no earthly good saying I am; now, is it?'
176_122025_000038_000000	'Certainly not!' replied Toad emphatically.	'Certainly not!' replied Toad emphatically.
176_122025_000040_000000	'Very well, then,' said the Badger firmly, rising to his feet.	'Very well, then,' said the Badger firmly, rising to his feet.
176_122025_000040_000001	'Since you won't yield to persuasion, we'll try what force can do.	'Since you won't yield to persuasion, we'll try what force can do.
176_122025_000040_000003	You've often asked us three to come and stay with you, Toad, in this handsome house of yours; well, now we're going to.	You've often asked us three to come and stay with you, Toad, in this handsome house of yours; well, now we're going to.
176_122025_000040_000004	When we've converted you to a proper point of view we may quit, but not before.	When we've converted you to a proper point of view we may quit, but not before.
176_122025_000040_000005	Take him upstairs, you two, and lock him up in his bedroom, while we arrange matters between ourselves.'	Take him upstairs, you two, and lock him up in his bedroom, while we arrange matters between ourselves.'
176_122025_000045_000000	They descended the stair, Toad shouting abuse at them through the keyhole; and the three friends then met in conference on the situation.	They descended the stair, Toad shouting abuse at them through the keyhole; and the three friends then met in conference on the situation.
176_122025_000046_000001	'I've never seen Toad so determined.	'I've never seen Toad so determined.
176_122025_000046_000002	However, we will see it out.	However, we will see it out.
176_122025_000046_000003	He must never be left an instant unguarded.	He must never be left an instant unguarded.
176_122025_000047_000000	They arranged watches accordingly.	They arranged watches accordingly.
176_122025_000047_000001	Each animal took it in turns to sleep in Toad's room at night, and they divided the day up between them.	Each animal took it in turns to sleep in Toad's room at night, and they divided the day up between them.
176_122025_000047_000002	At first Toad was undoubtedly very trying to his careful guardians.	At first Toad was undoubtedly very trying to his careful guardians.
176_122025_000047_000003	When his violent paroxysms possessed him he would arrange bedroom chairs in rude resemblance of a motor-car and would crouch on the foremost of them, bent forward and staring fixedly ahead, making uncouth and ghastly noises, till the climax was reached, when, turning a complete somersault, he would lie prostrate amidst the ruins of the chairs, apparently completely satisfied for the moment.	When his violent paroxysms possessed him he would arrange bedroom chairs in rude resemblance of a motor car and would crouch on the foremost of them, bent forward and staring fixedly ahead, making uncouth and ghastly noises, till the climax was reached, when, turning a complete somersault, he would lie prostrate amidst the ruins of the chairs, apparently completely satisfied for the moment.
176_122025_000047_000004	As time passed, however, these painful seizures grew gradually less frequent, and his friends strove to divert his mind into fresh channels.	As time passed, however, these painful seizures grew gradually less frequent, and his friends strove to divert his mind into fresh channels.
176_122025_000047_000005	But his interest in other matters did not seem to revive, and he grew apparently languid and depressed.	But his interest in other matters did not seem to revive, and he grew apparently languid and depressed.
176_122025_000048_000000	One fine morning the Rat, whose turn it was to go on duty, went upstairs to relieve Badger, whom he found fidgeting to be off and stretch his legs in a long ramble round his wood and down his earths and burrows. 'Toad's still in bed,' he told the Rat, outside the door.	One fine morning the Rat, whose turn it was to go on duty, went upstairs to relieve Badger, whom he found fidgeting to be off and stretch his legs in a long ramble round his wood and down his earths and burrows. 'Toad's still in bed,' he told the Rat, outside the door.
176_122025_000048_000002	Now, you look out, Rat!	Now, you look out, Rat!
176_122025_000048_000005	I know him. Well, now, I must be off.'	I know him. Well, now, I must be off.'
176_122025_000050_000000	He had to wait some minutes for an answer.	He had to wait some minutes for an answer.
176_122025_000050_000001	At last a feeble voice replied, 'Thank you so much, dear Ratty!	At last a feeble voice replied, 'Thank you so much, dear Ratty!
176_122025_000050_000002	So good of you to inquire!	So good of you to inquire!
176_122025_000051_000002	Now jump up, there's a good fellow, and don't lie moping there on a fine morning like this!'	Now jump up, there's a good fellow, and don't lie moping there on a fine morning like this!'
176_122025_000052_000001	But do not trouble about me.	But do not trouble about me.
176_122025_000052_000002	I hate being a burden to my friends, and I do not expect to be one much longer.	I hate being a burden to my friends, and I do not expect to be one much longer.
176_122025_000052_000003	Indeed, I almost hope not.'	Indeed, I almost hope not.'
176_122025_000053_000002	And in weather like this, and the boating season just beginning!	And in weather like this, and the boating season just beginning!
176_122025_000054_000001	'I can quite understand it.	'I can quite understand it.
176_122025_000054_000002	It's natural enough.	It's natural enough.
176_122025_000054_000003	You're tired of bothering about me.	You're tired of bothering about me.
176_122025_000054_000004	I mustn't ask you to do anything further.	I mustn't ask you to do anything further.
176_122025_000055_000001	'But I tell you, I'd take any trouble on earth for you, if only you'd be a sensible animal.'	'But I tell you, I'd take any trouble on earth for you, if only you'd be a sensible animal.'
176_122025_000056_000000	'If I thought that, Ratty,' murmured Toad, more feebly than ever, 'then I would beg you--for the last time, probably--to step round to the village as quickly as possible--even now it may be too late--and fetch the doctor.	'If I thought that, Ratty,' murmured Toad, more feebly than ever, 'then I would beg you-for the last time, probably-to step round to the village as quickly as possible-even now it may be too late-and fetch the doctor.
176_122025_000056_000001	But don't you bother.	But don't you bother.
176_122025_000057_000000	'Why, what do you want a doctor for?' inquired the Rat, coming closer and examining him.	'Why, what do you want a doctor for?' inquired the Rat, coming closer and examining him.
176_122025_000058_000000	'Surely you have noticed of late----' murmured Toad. 'But, no--why should you?	'Surely you have noticed of late----' murmured Toad. 'But, no-why should you?
176_122025_000058_000001	Noticing things is only a trouble.	Noticing things is only a trouble.
176_122025_000059_000001	But you can hardly be bad enough for that yet.	But you can hardly be bad enough for that yet.
176_122025_000059_000002	Let's talk about something else.'	Let's talk about something else.'
176_122025_000060_000000	'I fear, dear friend,' said Toad, with a sad smile, 'that "talk" can do little in a case like this--or doctors either, for that matter; still, one must grasp at the slightest straw.	'I fear, dear friend,' said Toad, with a sad smile, 'that "talk" can do little in a case like this-or doctors either, for that matter; still, one must grasp at the slightest straw.
176_122025_000060_000001	And, by the way--while you are about it--I HATE to give you additional trouble, but I happen to remember that you will pass the door--would you mind at the same time asking the lawyer to step up?	And, by the way-while you are about it-I HATE to give you additional trouble, but I happen to remember that you will pass the door-would you mind at the same time asking the lawyer to step up?
176_122025_000060_000002	It would be a convenience to me, and there are moments--perhaps I should say there is A moment--when one must face disagreeable tasks, at whatever cost to exhausted nature!'	It would be a convenience to me, and there are moments-perhaps I should say there is A moment-when one must face disagreeable tasks, at whatever cost to exhausted nature!'
176_122025_000062_000000	Outside, he stopped to consider.	Outside, he stopped to consider.
176_122025_000063_000000	'It's best to be on the safe side,' he said, on reflection.	'It's best to be on the safe side,' he said, on reflection.
176_122025_000063_000001	'I've known Toad fancy himself frightfully bad before, without the slightest reason; but I've never heard him ask for a lawyer!	'I've known Toad fancy himself frightfully bad before, without the slightest reason; but I've never heard him ask for a lawyer!
176_122025_000063_000002	If there's nothing really the matter, the doctor will tell him he's an old ass, and cheer him up; and that will be something gained.	If there's nothing really the matter, the doctor will tell him he's an old ass, and cheer him up; and that will be something gained.
176_122025_000064_000000	The Toad, who had hopped lightly out of bed as soon as he heard the key turned in the lock, watched him eagerly from the window till he disappeared down the carriage-drive.	The Toad, who had hopped lightly out of bed as soon as he heard the key turned in the lock, watched him eagerly from the window till he disappeared down the carriage drive.
176_122025_000066_000000	'He did it awfully well,' said the crestfallen Rat.	'He did it awfully well,' said the crestfallen Rat.
176_122025_000067_000001	'However, talking won't mend matters.	'However, talking won't mend matters.
176_122025_000069_000000	Meanwhile, Toad, gay and irresponsible, was walking briskly along the high road, some miles from home.	Meanwhile, Toad, gay and irresponsible, was walking briskly along the high road, some miles from home.
176_122025_000069_000001	At first he had taken by-paths, and crossed many fields, and changed his course several times, in case of pursuit; but now, feeling by this time safe from recapture, and the sun smiling brightly on him, and all Nature joining in a chorus of approval to the song of self-praise that his own heart was singing to him, he almost danced along the road in his satisfaction and conceit.	At first he had taken by paths, and crossed many fields, and changed his course several times, in case of pursuit; but now, feeling by this time safe from recapture, and the sun smiling brightly on him, and all Nature joining in a chorus of approval to the song of self praise that his own heart was singing to him, he almost danced along the road in his satisfaction and conceit.
176_122025_000070_000000	'Smart piece of work that!' he remarked to himself chuckling.	'Smart piece of work that!' he remarked to himself chuckling.
176_122025_000070_000001	'Brain against brute force--and brain came out on the top--as it's bound to do.	'Brain against brute force-and brain came out on the top-as it's bound to do.
176_122025_000070_000003	My! won't he catch it when the Badger gets back! A worthy fellow, Ratty, with many good qualities, but very little intelligence and absolutely no education.	My! won't he catch it when the Badger gets back! A worthy fellow, Ratty, with many good qualities, but very little intelligence and absolutely no education.
176_122025_000071_000000	Filled full of conceited thoughts such as these he strode along, his head in the air, till he reached a little town, where the sign of 'The Red Lion,' swinging across the road halfway down the main street, reminded him that he had not breakfasted that day, and that he was exceedingly hungry after his long walk.	Filled full of conceited thoughts such as these he strode along, his head in the air, till he reached a little town, where the sign of 'The Red Lion,' swinging across the road halfway down the main street, reminded him that he had not breakfasted that day, and that he was exceedingly hungry after his long walk.
176_122025_000071_000001	He marched into the Inn, ordered the best luncheon that could be provided at so short a notice, and sat down to eat it in the coffee-room.	He marched into the Inn, ordered the best luncheon that could be provided at so short a notice, and sat down to eat it in the coffee room.
176_122025_000072_000000	He was about half-way through his meal when an only too familiar sound, approaching down the street, made him start and fall a-trembling all over.	He was about half-way through his meal when an only too familiar sound, approaching down the street, made him start and fall a trembling all over.
176_122025_000072_000003	Toad listened eagerly, all ears, for a time; at last he could stand it no longer.	Toad listened eagerly, all ears, for a time; at last he could stand it no longer.
176_122025_000073_000000	The car stood in the middle of the yard, quite unattended, the stable-helps and other hangers-on being all at their dinner.	The car stood in the middle of the yard, quite unattended, the stable helps and other hangers on being all at their dinner.
176_122025_000073_000001	Toad walked slowly round it, inspecting, criticising, musing deeply.	Toad walked slowly round it, inspecting, criticising, musing deeply.
176_122025_000074_000000	'I wonder,' he said to himself presently, 'I wonder if this sort of car STARTS easily?'	'I wonder,' he said to himself presently, 'I wonder if this sort of car STARTS easily?'
176_122025_000075_000000	Next moment, hardly knowing how it came about, he found he had hold of the handle and was turning it.	Next moment, hardly knowing how it came about, he found he had hold of the handle and was turning it.
176_122025_000076_000001	Let me see: he has been found guilty, on the clearest evidence, first, of stealing a valuable motor-car; secondly, of driving to the public danger; and, thirdly, of gross impertinence to the rural police.	Let me see: he has been found guilty, on the clearest evidence, first, of stealing a valuable motor car; secondly, of driving to the public danger; and, thirdly, of gross impertinence to the rural police.
176_122025_000076_000002	Mr. Clerk, will you tell us, please, what is the very stiffest penalty we can impose for each of these offences?	mr Clerk, will you tell us, please, what is the very stiffest penalty we can impose for each of these offences?
176_122025_000076_000003	Without, of course, giving the prisoner the benefit of any doubt, because there isn't any.'	Without, of course, giving the prisoner the benefit of any doubt, because there isn't any.'
176_122025_000077_000000	The Clerk scratched his nose with his pen.	The Clerk scratched his nose with his pen.
176_122025_000077_000001	'Some people would consider,' he observed, 'that stealing the motor-car was the worst offence; and so it is.	'Some people would consider,' he observed, 'that stealing the motor car was the worst offence; and so it is.
176_122025_000077_000002	But cheeking the police undoubtedly carries the severest penalty; and so it ought.	But cheeking the police undoubtedly carries the severest penalty; and so it ought.
176_122025_000078_000000	'First-rate!' said the Chairman.	'First rate!' said the Chairman.
176_122025_000080_000002	It's going to be twenty years for you this time.	It's going to be twenty years for you this time.
176_122025_000080_000003	And mind, if you appear before us again, upon any charge whatever, we shall have to deal with you very seriously!'	And mind, if you appear before us again, upon any charge whatever, we shall have to deal with you very seriously!'
176_122025_000081_000001	There at last they paused, where an ancient gaoler sat fingering a bunch of mighty keys.	There at last they paused, where an ancient gaoler sat fingering a bunch of mighty keys.
176_122025_000082_000000	'Oddsbodikins!' said the sergeant of police, taking off his helmet and wiping his forehead.	'Oddsbodikins!' said the sergeant of police, taking off his helmet and wiping his forehead.
