4331_57179_000001_000000	MISTLETOE.	MISTLETOE.
4331_57179_000004_000008	His brother's wife had become objectionable to him, but as to the girl, if she wanted a home for a week or two, he thought it to be his duty to give it to her.	His brother's wife had become objectionable to him, but as to the girl, if she wanted a home for a week or two, he thought it to be his duty to give it to her.
4331_57179_000005_000001	There is nothing in England more ugly or perhaps more comfortable.	There is nothing in England more ugly or perhaps more comfortable.
4331_57179_000005_000005	He was a grey-haired comely man of sixty, with a large body and a wonderful appetite.	He was a grey haired comely man of sixty, with a large body and a wonderful appetite.
4331_57179_000005_000006	By many who understood the subject he was supposed to be the best amateur judge of wine in England.	By many who understood the subject he was supposed to be the best amateur judge of wine in England.
4331_57179_000006_000000	During the first evening Arabella did contrive to make herself very agreeable.	During the first evening Arabella did contrive to make herself very agreeable.
4331_57179_000006_000002	After dinner, something having been said of the respectable old game called cat's cradle, she played it to perfection with Sir Jeffrey,--till her aunt thought that she must have been unaware that Sir Jeffrey had a wife and family.	After dinner, something having been said of the respectable old game called cat's cradle, she played it to perfection with Sir Jeffrey,--till her aunt thought that she must have been unaware that Sir Jeffrey had a wife and family.
4331_57179_000006_000003	She was all smiles and all pleasantness, and seemed to want no other happiness than what the present moment gave her.	She was all smiles and all pleasantness, and seemed to want no other happiness than what the present moment gave her.
4331_57179_000007_000001	Such a thing had never happened to her before.	Such a thing had never happened to her before.
4331_57179_000007_000002	She could not recollect that, on any of those annual visits which she had made to Mistletoe for more years than she now liked to think of, she had ever had five minutes' conversation alone with her aunt.	She could not recollect that, on any of those annual visits which she had made to Mistletoe for more years than she now liked to think of, she had ever had five minutes' conversation alone with her aunt.
4331_57179_000007_000003	It had always seemed that she was to be allowed to come and go by reason of her relationship, but that she was to receive no special mark of confidence or affection.	It had always seemed that she was to be allowed to come and go by reason of her relationship, but that she was to receive no special mark of confidence or affection.
4331_57179_000007_000004	The message was whispered into her ear by her aunt's own woman as she was listening with great attention to Lady Drummond's troubles in regard to her nursery arrangements.	The message was whispered into her ear by her aunt's own woman as she was listening with great attention to Lady Drummond's troubles in regard to her nursery arrangements.
4331_57179_000007_000005	She nodded her head, heard a few more words from Lady Drummond, and then, with a pretty apology and a statement made so that all should hear her, that her aunt wanted her, followed the maid up-stairs.	She nodded her head, heard a few more words from Lady Drummond, and then, with a pretty apology and a statement made so that all should hear her, that her aunt wanted her, followed the maid up stairs.
4331_57179_000007_000006	"My dear," said her aunt, when the door was closed, "I want to ask you whether you would like me to ask Mr. Morton to come here while you are with us?" A thunderbolt at her feet could hardly have surprised or annoyed her more.	"My dear," said her aunt, when the door was closed, "I want to ask you whether you would like me to ask mr Morton to come here while you are with us?" A thunderbolt at her feet could hardly have surprised or annoyed her more.
4331_57179_000007_000008	It would utterly subvert everything and rob her of every chance.	It would utterly subvert everything and rob her of every chance.
4331_57179_000007_000009	With a great effort she restrained all emotion and simply shook her head.	With a great effort she restrained all emotion and simply shook her head.
4331_57179_000007_000010	She did it very well, and betrayed nothing.	She did it very well, and betrayed nothing.
4331_57179_000007_000011	"I ask," said the Duchess, "because I have been very glad to hear that you are engaged to marry him.	"I ask," said the Duchess, "because I have been very glad to hear that you are engaged to marry him.
4331_57179_000007_000012	Lord Drummond tells me that he is a most respectable young man."	Lord Drummond tells me that he is a most respectable young man."
4331_57179_000009_000000	"And I thought that if it were so, you would be glad that he should meet you here.	"And I thought that if it were so, you would be glad that he should meet you here.
4331_57179_000009_000001	I could manage it very well, as the Drummonds are here, and Lord Drummond would be glad to meet him."	I could manage it very well, as the Drummonds are here, and Lord Drummond would be glad to meet him."
4331_57179_000011_000000	"You are engaged to him?"	"You are engaged to him?"
4331_57179_000012_000000	"Well; I was going to tell you.	"Well; I was going to tell you.
4331_57179_000013_000000	"But you were engaged to him?"	"But you were engaged to him?"
4331_57179_000014_000001	"Yes," said Arabella; "I was engaged to him."	"Yes," said Arabella; "I was engaged to him."
4331_57179_000017_000000	"I suppose you will go with him?"	"I suppose you will go with him?"
4331_57179_000018_000001	She could not say that she certainly was not going with him.	She could not say that she certainly was not going with him.
4331_57179_000018_000002	And yet she had to remember that her coming campaign with Lord Rufford must be carried on in part beneath her aunt's eyes. When she had come to Mistletoe she had fondly hoped that none of the family there would know anything about Mr. Morton.	And yet she had to remember that her coming campaign with Lord Rufford must be carried on in part beneath her aunt's eyes. When she had come to Mistletoe she had fondly hoped that none of the family there would know anything about mr Morton.
4331_57179_000018_000003	And now she was called upon to answer these horrid questions without a moment's notice!	And now she was called upon to answer these horrid questions without a moment's notice!
4331_57179_000019_000000	"I hope not.	"I hope not.
4331_57179_000019_000001	You should think of it very seriously.	You should think of it very seriously.
4331_57179_000019_000002	As for money, you know, you have none of your own, and I am told that he has a very nice property in Rufford.	As for money, you know, you have none of your own, and I am told that he has a very nice property in Rufford.
4331_57179_000019_000003	There is a neighbour of his coming here to-morrow, and perhaps he knows him."	There is a neighbour of his coming here to morrow, and perhaps he knows him."
4331_57179_000021_000000	"Lord Rufford.	"Lord Rufford.
4331_57179_000021_000001	He is coming to shoot.	He is coming to shoot.
4331_57179_000021_000002	I will ask him about the property."	I will ask him about the property."
4331_57179_000023_000000	"Know Lord Rufford very well!"	"Know Lord Rufford very well!"
4331_57179_000024_000000	"As one does know men that one meets about."	"As one does know men that one meets about."
4331_57179_000025_000000	"I thought it might settle everything if we had Mr. Morton here."	"I thought it might settle everything if we had mr Morton here."
4331_57179_000026_000000	"I couldn't meet him, aunt; I couldn't indeed.	"I couldn't meet him, aunt; I couldn't indeed.
4331_57179_000026_000003	After what Arabella had told her Mr. Morton could not be asked there to meet her niece. But all the slight feeling of kindness to the girl which had been created by the tidings of so respectable an engagement were at once obliterated from the Duchess's bosom.	After what Arabella had told her mr Morton could not be asked there to meet her niece. But all the slight feeling of kindness to the girl which had been created by the tidings of so respectable an engagement were at once obliterated from the Duchess's bosom.
4331_57179_000026_000004	Arabella, with many expressions of thanks and a good-humoured countenance, left the room, cursing the untowardness of her fate which would let nothing run smooth.	Arabella, with many expressions of thanks and a good humoured countenance, left the room, cursing the untowardness of her fate which would let nothing run smooth.
4331_57179_000027_000000	Lord Rufford was to come.	Lord Rufford was to come.
4331_57179_000027_000001	That at any rate was now almost certain. Up to the present she had doubted, knowing the way in which such men will change their engagements at the least caprice.	That at any rate was now almost certain. Up to the present she had doubted, knowing the way in which such men will change their engagements at the least caprice.
4331_57179_000027_000002	But the Duchess expected him on the morrow.	But the Duchess expected him on the morrow.
4331_57179_000028_000000	When she went up to dress for dinner on the day of his expected arrival Lord Rufford had not come.	When she went up to dress for dinner on the day of his expected arrival Lord Rufford had not come.
4331_57179_000028_000002	When she came into the drawing-room, a little late, he was not there.	When she came into the drawing room, a little late, he was not there.
4331_57179_000028_000003	"We won't wait, Duchess," said the Duke to his wife at three minutes past eight.	"We won't wait, Duchess," said the Duke to his wife at three minutes past eight.
4331_57179_000028_000004	The Duke's punctuality at dinner-time was well known, and everybody else was then assembled.	The Duke's punctuality at dinner time was well known, and everybody else was then assembled.
4331_57179_000028_000005	Within two minutes after the Duke's word dinner was announced, and a party numbering about thirty walked away into the dinner-room.	Within two minutes after the Duke's word dinner was announced, and a party numbering about thirty walked away into the dinner room.
4331_57179_000028_000006	Arabella, when they were all settled, found that there was a vacant seat next herself.	Arabella, when they were all settled, found that there was a vacant seat next herself.
4331_57179_000028_000007	If the man were to come, fortune would have favoured her in that.	If the man were to come, fortune would have favoured her in that.
4331_57179_000029_000000	The fish and soup had already disappeared and the Duke was wakening himself to eloquence on the first entree when Lord Rufford entered the room.	The fish and soup had already disappeared and the Duke was wakening himself to eloquence on the first entree when Lord Rufford entered the room.
4331_57179_000029_000001	"There never were trains so late as yours, Duchess," he said, "nor any part of the world in which hired horses travel so slowly.	"There never were trains so late as yours, Duchess," he said, "nor any part of the world in which hired horses travel so slowly.
4331_57179_000029_000002	I beg the Duke's pardon, but I suffer the less because I know his Grace never waits for anybody."	I beg the Duke's pardon, but I suffer the less because I know his Grace never waits for anybody."
4331_57179_000030_000000	"Certainly not," said the Duke, "having some regard for my friends' dinners."	"Certainly not," said the Duke, "having some regard for my friends' dinners."
4331_57179_000031_000000	"And I find myself next to you," said Lord Rufford as he took his seat.	"And I find myself next to you," said Lord Rufford as he took his seat.
