6497_234100_000000_000000	'Save me!' she cried.	'Save me!' she cried.	false	0	2.46	33.056835
6497_234100_000020_000002	But how had she become mad?	But how had she become mad?	true	640.04	642.1	21.01313
6497_234100_000020_000003	Yesterday he had looked back and had seen her walking away and waving her parasol, a slight happy figure on the gold-tinted sky.	Yesterday he had looked back and had seen her walking away and waving her parasol, a slight happy figure on the gold tinted sky.	true	642.17	652.035	18
6497_234100_000020_000004	What had happened?	What had happened?	true	652.035	653.05	22.97883
6497_234100_000020_000005	By what strange alienation of the brain, by what sudden snapping of the sense had madness come?	By what strange alienation of the brain, by what sudden snapping of the sense had madness come?	true	653.27	660.58	20.538473
6497_234100_000020_000006	Something must have happened. Did madness fall like that?	Something must have happened. Did madness fall like that?	true	661.07	664.93	27.602945
6497_234100_000020_000007	like a bolt from the blue.	like a bolt from the blue.	true	665	666.85	24.775023
6497_234100_000020_000008	If so she must have always been mad, and walking home the slight thread of sense half worn through had suddenly snapped.	If so she must have always been mad, and walking home the slight thread of sense half worn through had suddenly snapped.	true	667.13	675.4	19
6497_234100_000020_000009	He knew that she liked him.	He knew that she liked him.	true	675.62	677.77	17.44038
6497_234100_000020_000010	Had she guessed that when it came to the point that he would not, that he might not have been able to marry her?	Had she guessed that when it came to the point that he would not, that he might not have been able to marry her?	true	677.9	684.7	22.791178
6497_234100_000020_000011	If so, he was in a measure responsible.	If so, he was in a measure responsible.	true	684.8	687.9	21.268406
6497_234100_000020_000012	Ah, why had he ventured upon a path which he must have known he was not fitted to walk in?	Ah, why had he ventured upon a path which he must have known he was not fitted to walk in?	false	687.9	694.53	21.739578
6497_234100_000021_000000	XV.	fifteen.	false	694.53	694.92	-20
6497_234100_000022_000000	Next morning John and Mrs. Norton drove to the Rectory, and without asking for Mr. Hare, they went to _her_ room.	Next morning john and mrs Norton drove to the Rectory, and without asking for mr Hare, they went to underscore her underscore room.	false	694.92	697.77	22.551739
6497_234100_000022_000001	The windows were open; Annie and Mary Austin sat by the bedside watching.	The windows were open; Annie and Mary Austin sat by the bedside watching.	false	697.77	698.61	17
6497_234100_000022_000002	The blood had been washed out of the beautiful hair, and she lay very white and fair amid the roses her friends had brought her.	The blood had been washed out of the beautiful hair, and she lay very white and fair amid the roses her friends had brought her.	false	698.61	698.61	
6497_234100_000022_000003	She lay as she had lain in one of her terrible dreams--quite still, the slender body covered by a sheet.	She lay as she had lain in one of her terrible dreams-quite still, the slender body covered by a sheet.	false	698.61	699.51	7
6497_234100_000022_000004	From the feet the linen curved and marked the inflections of the knees; there were long flowing folds, low-lying like the wash of retiring water.	From the feet the linen curved and marked the inflections of the knees; there were long flowing folds, low lying like the wash of retiring water.	false	699.51	700.95	-20
6497_234100_000022_000005	And beautiful indeed were the rounded shoulders, the neck, the calm and bloodless face, the little nose, and the drawing of the nostrils, the extraordinary waxen pallor, the eyelids laid like rose-leaves upon the eyes that death has closed for ever.	And beautiful indeed were the rounded shoulders, the neck, the calm and bloodless face, the little nose, and the drawing of the nostrils, the extraordinary waxen pallor, the eyelids laid like rose leaves upon the eyes that death has closed for ever.	false	700.95	703.26	-20
6497_234100_000022_000006	An Ascension lily lay within the arm, in the pale hand.	An Ascension lily lay within the arm, in the pale hand.	false	703.26	703.89	-20
