8057_284428_000000_000000	"Get off from me!	"Get off from me!	false	0	1.32	19.097164
8057_284428_000024_000005	It gives us the blues--don't it, Trot?--so as soon as we eat a bite o' lunch from our basket we'll sail away again."	It gives us the blues-don't it, Trot?--so as soon as we eat a bite o' lunch from our basket we'll sail away again."	false	356.9	362.71	18
8057_284428_000025_000000	"Sail away?	"Sail away?	true	362.84	363.945	21.152256
8057_284428_000025_000001	How?" asked the Boolooroo.	How?" asked the Boolooroo.	true	363.945	365.64	24.85287
8057_284428_000026_000000	"With the Magic Umbrel," said Cap'n Bill, pointing to the umbrella that Button-Bright was holding underneath his arm.	"With the Magic Umbrel," said Cap'n Bill, pointing to the umbrella that Button Bright was holding underneath his arm.	false	365.64	372.12	16
8057_284428_000027_000000	"Oh, ho!	"Oh, ho!	false	372.12	373.23	24.09136
8057_284428_000027_000001	I see--I see," said the Boolooroo, nodding his funny head.	I see-I see," said the Boolooroo, nodding his funny head.	true	373.23	378.37	17.36114
8057_284428_000027_000002	"Go ahead, then, and eat your lunch."	"Go ahead, then, and eat your lunch."	true	378.5	380.92	21.614912
8057_284428_000028_000000	He retreated a little way to a marble seat beside the fountain, but watched the strangers carefully.	He retreated a little way to a marble seat beside the fountain, but watched the strangers carefully.	true	380.99	386.56	21.810835
8057_284428_000028_000001	Cap'n Bill, feeling sure he had won the argument, whispered to the boy and girl that they must eat and get away as soon as possible, as this might prove a dangerous country for them to remain in.	Cap'n Bill, feeling sure he had won the argument, whispered to the boy and girl that they must eat and get away as soon as possible, as this might prove a dangerous country for them to remain in.	true	386.72	397.875	13
8057_284428_000028_000002	Trot longed to see more of the strange blue island, and especially wanted to explore the magnificent blue palace that adjoined the garden, and which had six hundred tall towers and turrets; but she felt that her old friend was wise in advising them to get away quickly. So she opened the basket and they all three sat in a row on a stone bench and began to eat sandwiches and cake and pickles and cheese and all the good things that were packed in the lunch basket.	Trot longed to see more of the strange blue island, and especially wanted to explore the magnificent blue palace that adjoined the garden, and which had six hundred tall towers and turrets; but she felt that her old friend was wise in advising them to get away quickly. So she opened the basket and they all three sat in a row on a stone bench and began to eat sandwiches and cake and pickles and cheese and all the good things that were packed in the lunch basket.	true	397.875	425.805	16
8057_284428_000029_000000	They were hungry from the long ride, and while they ate they kept their eyes busily employed in examining all the queer things around them.	They were hungry from the long ride, and while they ate they kept their eyes busily employed in examining all the queer things around them.	true	425.805	433.27	16
8057_284428_000029_000001	The Boolooroo seemed quite the queerest of anything, and Trot noticed that when he pulled the long curl that stuck up from the top of his head a bell tinkled somewhere in the palace.	The Boolooroo seemed quite the queerest of anything, and Trot noticed that when he pulled the long curl that stuck up from the top of his head a bell tinkled somewhere in the palace.	true	433.49	443.44	18
8057_284428_000029_000002	He next pulled at the bottom of his right ear, and another far-away bell tinkled; then he touched the end of his nose and still another bell was faintly heard.	He next pulled at the bottom of his right ear, and another far away bell tinkled; then he touched the end of his nose and still another bell was faintly heard.	true	443.48	453.03	19.769556
8057_284428_000029_000003	The Boolooroo said not a word while he was ringing the bells, and Trot wondered if that was the way he amused himself.	The Boolooroo said not a word while he was ringing the bells, and Trot wondered if that was the way he amused himself.	true	453.03	459.73	15
8057_284428_000029_000004	But now the frown died away from his face and was replaced by a look of satisfaction.	But now the frown died away from his face and was replaced by a look of satisfaction.	true	460.01	465.795	19
8057_284428_000030_000000	"Have you nearly finished?" he inquired.	"Have you nearly finished?" he inquired.	true	465.795	468.19	20.384914
8057_284428_000031_000000	"No," said Trot; "we've got to eat our apples yet."	"No," said Trot; "we've got to eat our apples yet."	true	468.35	471.165	21.988808
8057_284428_000032_000000	"Apples--apples?	"Apples-apples?	true	471.165	472.95	20
8057_284428_000032_000001	What are apples?" he asked.	What are apples?" he asked.	true	472.95	475.305	22.265587
8057_284428_000033_000000	Trot took some from the basket.	Trot took some from the basket.	true	475.305	477.045	21.870306
8057_284428_000034_000000	"Have one?" she said.	"Have one?" she said.	true	477.045	478.56	18.572794
8057_284428_000034_000001	"They're awful good."	"They're awful good."	true	478.56	479.83	20.98072
8057_284428_000035_000000	The Boolooroo advanced a step and took the apple, which he regarded with much curiosity.	The Boolooroo advanced a step and took the apple, which he regarded with much curiosity.	false	480.17	485.38	19.90909
8057_284428_000036_000000	"Guess they don't grow anywhere but on the Earth," remarked Cap'n Bill.	"Guess they don't grow anywhere but on the Earth," remarked Cap'n Bill.	true	486.26	489.46	20.463045
8057_284428_000037_000000	"Are they good to eat?" asked the Boolooroo.	"Are they good to eat?" asked the Boolooroo.	true	490.04	492.73	20.386953
8057_284428_000038_000000	"Try it and see," answered Trot, biting into an apple herself.	"Try it and see," answered Trot, biting into an apple herself.	true	492.77	496.485	21.407398
8057_284428_000039_000000	The Blueskin sat down on the end of their bench, next to Button-Bright, and began to eat his apple.	The Blueskin sat down on the end of their bench, next to Button Bright, and began to eat his apple.	true	496.485	501.33	18
8057_284428_000039_000001	He seemed to like it, for he finished it in a hurry, and when it was gone he picked up the Magic Umbrella.	He seemed to like it, for he finished it in a hurry, and when it was gone he picked up the Magic Umbrella.	true	501.33	506.92	19
8057_284428_000040_000000	"Let that alone!" said Button-Bright, making a grab for it.	"Let that alone!" said Button Bright, making a grab for it.	true	507.41	511	16.72918
8057_284428_000040_000001	But the Boolooroo jerked it away in an instant and standing up he held the umbrella behind him and laughed aloud.	But the Boolooroo jerked it away in an instant and standing up he held the umbrella behind him and laughed aloud.	true	511.04	517.74	15
8057_284428_000041_000000	"Now, then," said he, "you can't get away until I'm willing to let you go.	"Now, then," said he, "you can't get away until I'm willing to let you go.	true	517.74	522.91	19
8057_284428_000041_000001	You are my prisoners."	You are my prisoners."	true	522.95	524.92	18.504564
8057_284428_000042_000000	"I guess not," returned Cap'n Bill, and reaching out one of his long arms, the sailorman suddenly grasped the Boolooroo around his long, thin neck and shook him until his whole body fluttered like a flag.	"I guess not," returned Cap'n Bill, and reaching out one of his long arms, the sailorman suddenly grasped the Boolooroo around his long, thin neck and shook him until his whole body fluttered like a flag.	true	525.08	537.525	19
8057_284428_000043_000000	"Drop that umbrel--drop it!" yelled Cap'n Bill, and the Boolooroo quickly obeyed.	"Drop that umbrel-drop it!" yelled Cap'n Bill, and the Boolooroo quickly obeyed.	false	537.525	542.055	21.146791
8057_284428_000043_000001	The Magic Umbrella fell to the ground and Button-Bright promptly seized it.	The Magic Umbrella fell to the ground and Button Bright promptly seized it.	true	542.055	546.105	21
8057_284428_000043_000002	Then the sailor let go his hold and the King staggered to a seat, choking and coughing to get his breath back.	Then the sailor let go his hold and the King staggered to a seat, choking and coughing to get his breath back.	true	546.105	552.55	20.415497
8057_284428_000044_000000	"I told you to let things alone," growled Cap'n Bill.	"I told you to let things alone," growled Cap'n Bill.	true	552.59	555.58	23
8057_284428_000044_000001	"If you don't behave, your Majesty, this Blue Island'll have to get another Boolooroo."	"If you don't behave, your Majesty, this Blue Island'll have to get another Boolooroo."	true	555.59	560.23	20
8057_284428_000045_000000	"Why?" asked the Blueskin.	"Why?" asked the Blueskin.	true	560.72	562.87	25
8057_284428_000046_000000	"Because I'll prob'ly spoil you for a king, an' mebbe for anything else. Anyhow, you'll get badly damaged if you try to interfere with us--an' that's a fact."	"Because I'll prob'ly spoil you for a king, an' mebbe for anything else. Anyhow, you'll get badly damaged if you try to interfere with us-an' that's a fact."	false	563.03	571.32	22.01556
8057_284428_000047_000000	"Don't kill him, Cap'n Bill," said Trot, cheerfully.	"Don't kill him, Cap'n Bill," said Trot, cheerfully.	false	571.32	574.51	20
8057_284428_000048_000000	"Kill me?	"Kill me?	true	574.58	575.505	20.150997
8057_284428_000048_000001	Why, he couldn't do that," observed the King, who was trying to rearrange the ruffle around his neck.	Why, he couldn't do that," observed the King, who was trying to rearrange the ruffle around his neck.	true	575.505	581.38	22.167732
8057_284428_000048_000002	"Nothing can kill me."	"Nothing can kill me."	true	581.42	583.05	20.308695
8057_284428_000049_000000	"Why not?" asked Cap'n Bill.	"Why not?" asked Cap'n Bill.	true	583.05	585.42	20.20907
8057_284428_000050_000000	"Because I haven't lived my six hundred years yet.	"Because I haven't lived my six hundred years yet.	true	585.42	587.895	19.787197
8057_284428_000050_000001	Perhaps you don't know that every Blueskin in Sky Island lives exactly six hundred years from the time he is born."	Perhaps you don't know that every Blueskin in Sky Island lives exactly six hundred years from the time he is born."	true	587.895	595.21	17
8057_284428_000051_000000	"No; I didn't know that," admitted the sailor.	"No; I didn't know that," admitted the sailor.	false	595.25	598.09	17.538622
8057_284428_000052_000000	"It's a fact," said the King.	"It's a fact," said the King.	true	598.34	600.31	22.887686
8057_284428_000052_000001	"Nothing can kill us until we've lived to the last day of our appointed lives.	"Nothing can kill us until we've lived to the last day of our appointed lives.	true	600.38	604.78	15
8057_284428_000052_000002	When the final minute is up, we die; but we're obliged to live all of the six hundred years, whether we want to or not.	When the final minute is up, we die; but we're obliged to live all of the six hundred years, whether we want to or not.	true	604.91	611.29	22.718798
8057_284428_000052_000003	So you needn't think of trying to kill anybody on Sky Island.	So you needn't think of trying to kill anybody on Sky Island.	true	611.33	614.835	18
8057_284428_000052_000004	It can't be done."	It can't be done."	true	614.835	615.76	21.655767
8057_284428_000053_000000	"Never mind," said Cap'n Bill.	"Never mind," said Cap'n Bill.	true	616.01	618.07	18.790401
8057_284428_000053_000001	"I'm no murderer, thank goodness, and I wouldn't kill you if I could--much as you deserve it."	"I'm no murderer, thank goodness, and I wouldn't kill you if I could-much as you deserve it."	true	618.11	623.67	21.587898
8057_284428_000054_000000	"But isn't six hundred years an awful long time to live?" questioned Trot.	"But isn't six hundred years an awful long time to live?" questioned Trot.	false	623.67	627.975	18.559837
8057_284428_000055_000000	"It seems like it, at first," replied the King, "but I notice that whenever any of my subjects get near the end of their six hundred, they grow nervous and say the life is altogether too short."	"It seems like it, at first," replied the King, "but I notice that whenever any of my subjects get near the end of their six hundred, they grow nervous and say the life is altogether too short."	true	627.975	639.37	17
8057_284428_000056_000000	"How long have you lived?" asked Button-Bright.	"How long have you lived?" asked Button Bright.	true	639.89	642.54	20.40133
8057_284428_000057_000000	The King coughed again and turned a bit bluer.	The King coughed again and turned a bit bluer.	true	642.54	645.46	19
8057_284428_000058_000000	"That is considered an impertinent question in Sky Island," he answered; "but I will say that every Boolooroo is elected to reign three hundred years, and I've reigned not quite--ahem!--two hundred."	"That is considered an impertinent question in Sky Island," he answered; "but I will say that every Boolooroo is elected to reign three hundred years, and I've reigned not quite-ahem!--two hundred."	false	646.1	659.22	19
8057_284428_000059_000000	"Are your kings elected, then?" asked Cap'n Bill.	"Are your kings elected, then?" asked Cap'n Bill.	false	659.22	662.55	22.763498
8057_284428_000060_000000	"Yes, of course; this is a Republic, you know.	"Yes, of course; this is a Republic, you know.	true	662.55	665.535	17
8057_284428_000060_000001	The people elect all their officers, from the King down.	The people elect all their officers, from the King down.	true	665.535	669.13	19
8057_284428_000060_000002	Every man and every woman is a voter.	Every man and every woman is a voter.	true	669.17	672.1	14
8057_284428_000060_000003	The Boolooroo tells them whom to vote for, and if they don't obey they are severely punished.	The Boolooroo tells them whom to vote for, and if they don't obey they are severely punished.	true	672.32	678.405	20
8057_284428_000060_000004	It's a fine system of government, and the only thing I object to is electing the Boolooroo for only three hundred years.	It's a fine system of government, and the only thing I object to is electing the Boolooroo for only three hundred years.	true	678.405	685.96	16
8057_284428_000060_000005	It ought to be for life.	It ought to be for life.	true	686.15	687.795	21.09147
8057_284428_000060_000006	My successor has already been elected, but he can't reign for a hundred years to come."	My successor has already been elected, but he can't reign for a hundred years to come."	true	687.795	693.345	19.993626
8057_284428_000061_000000	"I think three hundred years is plenty long enough," said Trot.	"I think three hundred years is plenty long enough," said Trot.	true	693.345	697.81	19.990677
8057_284428_000061_000001	"It gives some one else a chance to rule, an' I wouldn't be s'prised if the next king is a better one.	"It gives some one else a chance to rule, an' I wouldn't be s'prised if the next king is a better one.	false	698	703.96	18
8057_284428_000061_000002	Seems to me you're not much of a Boolooroo."	Seems to me you're not much of a Boolooroo."	true	703.97	706.57	15
8057_284428_000062_000000	"That," replied the King, indignantly, "is a matter of opinion.	"That," replied the King, indignantly, "is a matter of opinion.	true	707.12	711.25	15
8057_284428_000062_000001	I like myself very much, but I can't expect you to like me, because you're deformed and ignorant."	I like myself very much, but I can't expect you to like me, because you're deformed and ignorant."	true	711.47	717.51	13
8057_284428_000063_000000	"I'm not!" cried Trot.	"I'm not!" cried Trot.	true	717.51	719.43	19
8057_284428_000064_000000	"Yes, you are.	"Yes, you are.	true	719.43	720.645	20
8057_284428_000064_000001	Your legs are too short and your neck is nothing at all. Your color is most peculiar, but there isn't a shade of blue about any of you, except the deep blue color of the clothes the old ape that choked me wears.	Your legs are too short and your neck is nothing at all. Your color is most peculiar, but there isn't a shade of blue about any of you, except the deep blue color of the clothes the old ape that choked me wears.	true	720.645	734.59	14
8057_284428_000064_000002	Also, you are ignorant, because you know nothing of Sky Island, which is the Center of the Universe and the only place anyone would care to live."	Also, you are ignorant, because you know nothing of Sky Island, which is the Center of the Universe and the only place anyone would care to live."	false	734.72	744.075	13
8057_284428_000065_000000	"Don't listen to him, Trot," said Button-Bright; "he's an ignorant himself."	"Don't listen to him, Trot," said Button Bright; "he's an ignorant himself."	true	744.075	748.395	17
8057_284428_000066_000000	Cap'n Bill packed up the lunch basket.	Cap'n Bill packed up the lunch basket.	true	748.395	750.87	15
8057_284428_000066_000001	One end of the rope was still tied to the handle of the basket and the other end to his swing seat, which lay on the ground before them.	One end of the rope was still tied to the handle of the basket and the other end to his swing seat, which lay on the ground before them.	true	750.87	758.895	12
8057_284428_000067_000000	"Well," said he, "let's go home.	"Well," said he, "let's go home.	true	758.895	761.64	21.97198
8057_284428_000067_000001	We've seen enough of this Blue Country and its Blue Boolooroo, I guess, an' it's a long journey back again."	We've seen enough of this Blue Country and its Blue Boolooroo, I guess, an' it's a long journey back again."	false	761.64	767.98	17
8057_284428_000068_000000	"All right," agreed Trot, jumping up.	"All right," agreed Trot, jumping up.	true	768.5	771.27	20.049042
8057_284428_000069_000000	Button-Bright stood on the bench and held up the Magic Umbrella, so he could open it, and the sailor had just attached the ropes when a thin blue line shot out from behind them and in a twinkling wound itself around the umbrella.	Button Bright stood on the bench and held up the Magic Umbrella, so he could open it, and the sailor had just attached the ropes when a thin blue line shot out from behind them and in a twinkling wound itself around the umbrella.	false	771.27	786.19	18
8057_284428_000069_000001	At the same instant another blue cord wound itself around the boy's body, and others caught Trot and Cap'n Bill in their coils, so that all had their arms pinned fast to their sides and found themselves absolutely helpless.	At the same instant another blue cord wound itself around the boy's body, and others caught Trot and Cap'n Bill in their coils, so that all had their arms pinned fast to their sides and found themselves absolutely helpless.	false	786.23	805.71	21.289328
