6300_39660_000007_000000	Chapter XLVI.	Chapter forty six.
6300_39660_000030_000000	"To make restitution of a part,--that is to say, his majesty's part; and that, monseigneur, may have its dangers.	"To make restitution of a part,--that is to say, his majesty's part; and that, monseigneur, may have its dangers.
6300_39660_000030_000001	Your eminence is too skillful a politician not to know that, at this moment, the king does not possess a hundred and fifty thousand livres clear in his coffers."	Your eminence is too skillful a politician not to know that, at this moment, the king does not possess a hundred and fifty thousand livres clear in his coffers."
6300_39660_000034_000000	"The legacy of a part would dishonor you and offend the king.	"The legacy of a part would dishonor you and offend the king.
6300_39660_000034_000001	Leaving a part to his majesty, is to avow that that part has inspired you with doubts as to the lawfulness of the means of acquisition."	Leaving a part to his majesty, is to avow that that part has inspired you with doubts as to the lawfulness of the means of acquisition."
6300_39660_000035_000000	"Monsieur Colbert!"	"Monsieur Colbert!"
6300_39660_000036_000000	"I thought your eminence did me the honor to ask my advice?"	"I thought your eminence did me the honor to ask my advice?"
6300_39660_000037_000000	"Yes, but you are ignorant of the principal details of the question."	"Yes, but you are ignorant of the principal details of the question."
6300_39660_000039_000001	"Surely the king would reproach me with nothing, but he would laugh at me, while squandering my millions, and with good reason."	"Surely the king would reproach me with nothing, but he would laugh at me, while squandering my millions, and with good reason."
6300_39660_000040_000000	"Your eminence has misunderstood me.	"Your eminence has misunderstood me.
6300_39660_000041_000000	"You said so, clearly, it seems to me, when you advised me to give it to him."	"You said so, clearly, it seems to me, when you advised me to give it to him."
6300_39660_000042_000000	"Ah," replied Colbert, "that is because your eminence, absorbed as you are by your disease, entirely loses sight of the character of Louis XIV."	"Ah," replied Colbert, "that is because your eminence, absorbed as you are by your disease, entirely loses sight of the character of Louis the fourteenth."
6300_39660_000043_000000	"How so?"	"How so?"
6300_39660_000045_000000	"Go on--that is?"	"Go on-that is?"
6300_39660_000046_000000	"Pride!	"Pride!
6300_39660_000046_000001	Pardon me, my lord, haughtiness, nobleness; kings have no pride, that is a human passion."	Pardon me, my lord, haughtiness, nobleness; kings have no pride, that is a human passion."
6300_39660_000047_000000	"Pride,--yes, you are right.	"Pride,--yes, you are right.
6300_39660_000047_000001	Next?"	Next?"
6300_39660_000048_000000	"Well, my lord, if I have divined rightly, your eminence has but to give all your money to the king, and that immediately."	"Well, my lord, if I have divined rightly, your eminence has but to give all your money to the king, and that immediately."
6300_39660_000049_000000	"But for what?" said Mazarin, quite bewildered.	"But for what?" said Mazarin, quite bewildered.
6300_39660_000050_000000	"Because the king will not accept of the whole."	"Because the king will not accept of the whole."
6300_39660_000052_000000	"Just so."	"Just so."
6300_39660_000054_000000	"My lord!"	"My lord!"
6300_39660_000055_000000	"To inherit, yes, Colbert, yes; he is anxious for my death, in order to inherit.	"To inherit, yes, Colbert, yes; he is anxious for my death, in order to inherit.
6300_39660_000055_000001	Triple fool that I am!	Triple fool that I am!
6300_39660_000055_000002	I would prevent him!"	I would prevent him!"
6300_39660_000056_000000	"Exactly: if the donation were made in a certain form he would refuse it."	"Exactly: if the donation were made in a certain form he would refuse it."
6300_39660_000057_000000	"Well; but how?"	"Well; but how?"
6300_39660_000058_000000	"That is plain enough.	"That is plain enough.
6300_39660_000058_000003	All that does not proceed from himself, I predict, he will disdain."	All that does not proceed from himself, I predict, he will disdain."
6300_39660_000059_000000	"And you will guarantee, that if I give my forty millions to the king--"	"And you will guarantee, that if I give my forty millions to the king-"
6300_39660_000060_000000	"Saying certain things to him at the same time, I guarantee he will refuse them."	"Saying certain things to him at the same time, I guarantee he will refuse them."
6300_39660_000061_000000	"But those things--what are they?"	"But those things-what are they?"
6300_39660_000062_000000	"I will write them, if my lord will have the goodness to dictate them."	"I will write them, if my lord will have the goodness to dictate them."
6300_39660_000063_000000	"Well, but, after all, what advantage will that be to me?"	"Well, but, after all, what advantage will that be to me?"
6300_39660_000067_000000	"But, if he should accept it; if he should even think of accepting it!"	"But, if he should accept it; if he should even think of accepting it!"
6300_39660_000068_000000	"Then there would remain thirteen millions for your family, and that is a good round sum."	"Then there would remain thirteen millions for your family, and that is a good round sum."
6300_39660_000070_000001	You appear to be much afraid that the king will accept; you have a deal more reason to fear that he will not accept."	You appear to be much afraid that the king will accept; you have a deal more reason to fear that he will not accept."
6300_39660_000071_000001	But my pains are returning, I shall faint.	But my pains are returning, I shall faint.
6300_39660_000072_000000	Colbert started.	Colbert started.
6300_39660_000072_000001	The cardinal was indeed very ill; large drops of sweat flowed down upon his bed of agony, and the frightful pallor of a face streaming with water was a spectacle which the most hardened practitioner could not have beheld without much compassion.	The cardinal was indeed very ill; large drops of sweat flowed down upon his bed of agony, and the frightful pallor of a face streaming with water was a spectacle which the most hardened practitioner could not have beheld without much compassion.
6300_39660_000072_000002	Colbert was, without doubt, very much affected, for he quitted the chamber, calling Bernouin to attend to the dying man, and went into the corridor.	Colbert was, without doubt, very much affected, for he quitted the chamber, calling Bernouin to attend to the dying man, and went into the corridor.
6300_39660_000072_000004	Whilst burning-hot napkins, physic, revulsives, and Guenaud, who was recalled, were performing their functions with increased activity, Colbert, holding his great head in both his hands, to compress within it the fever of the projects engendered by the brain, was meditating the tenor of the donation he would make Mazarin write, at the first hour of respite his disease should afford him.	Whilst burning hot napkins, physic, revulsives, and Guenaud, who was recalled, were performing their functions with increased activity, Colbert, holding his great head in both his hands, to compress within it the fever of the projects engendered by the brain, was meditating the tenor of the donation he would make Mazarin write, at the first hour of respite his disease should afford him.
6300_39660_000072_000006	Colbert resumed his place at Mazarin's pillow at the first interval of pain, and persuaded him to dictate a donation thus conceived.	Colbert resumed his place at Mazarin's pillow at the first interval of pain, and persuaded him to dictate a donation thus conceived.
6300_39660_000073_000000	"About to appear before God, the Master of mankind, I beg the king, who was my master on earth, to resume the wealth which his bounty has bestowed upon me, and which my family would be happy to see pass into such illustrious hands.	"About to appear before God, the Master of mankind, I beg the king, who was my master on earth, to resume the wealth which his bounty has bestowed upon me, and which my family would be happy to see pass into such illustrious hands.
6300_39660_000073_000001	The particulars of my property will be found--they are drawn up--at the first requisition of his majesty, or at the last sigh of his most devoted servant,	The particulars of my property will be found-they are drawn up-at the first requisition of his majesty, or at the last sigh of his most devoted servant,
6300_39660_000075_000000	The cardinal sighed heavily as he signed this; Colbert sealed the packet, and carried it immediately to the Louvre, whither the king had returned.	The cardinal sighed heavily as he signed this; Colbert sealed the packet, and carried it immediately to the Louvre, whither the king had returned.
