5039_1188_000003_000000	Chapter Ten	Chapter Ten
5039_1188_000019_000001	"Do you think they are all fast colors, Ojo?" she asked anxiously.	"Do you think they are all fast colors, Ojo?" she asked anxiously.
5039_1188_000021_000000	They were certainly pretty to look upon and the travelers hurried forward to observe them more closely.	They were certainly pretty to look upon and the travelers hurried forward to observe them more closely.
5039_1188_000023_000001	But the most curious thing about the swaying leaves was their color.	But the most curious thing about the swaying leaves was their color.
5039_1188_000024_000000	Suddenly a leaf bent lower than usual and touched the Patchwork Girl. Swiftly it enveloped her in its embrace, covering her completely in its thick folds, and then it swayed back upon its stem.	Suddenly a leaf bent lower than usual and touched the Patchwork Girl. Swiftly it enveloped her in its embrace, covering her completely in its thick folds, and then it swayed back upon its stem.
5039_1188_000025_000001	But, before he could think what he ought to do to save her, another leaf bent down and captured the Glass Cat, rolling around the little creature until she was completely hidden, and then straightening up again upon its stem.	But, before he could think what he ought to do to save her, another leaf bent down and captured the Glass Cat, rolling around the little creature until she was completely hidden, and then straightening up again upon its stem.
5039_1188_000026_000000	"Look out," cried the Woozy.	"Look out," cried the Woozy.
5039_1188_000027_000001	But the last leaf of the row of plants seized the beast even as he ran and instantly he disappeared from sight.	But the last leaf of the row of plants seized the beast even as he ran and instantly he disappeared from sight.
5039_1188_000028_000001	Half a dozen of the great leaves were bending toward him from different directions and as he stood hesitating one of them clutched him in its embrace.	Half a dozen of the great leaves were bending toward him from different directions and as he stood hesitating one of them clutched him in its embrace.
5039_1188_000028_000002	In a flash he was in the dark. Then he felt himself gently lifted until he was swaying in the air, with the folds of the leaf hugging him on all sides.	In a flash he was in the dark. Then he felt himself gently lifted until he was swaying in the air, with the folds of the leaf hugging him on all sides.
5039_1188_000030_000000	Then Ojo quieted himself and tried to think.	Then Ojo quieted himself and tried to think.
5039_1188_000030_000001	Despair fell upon him when he remembered that all his little party had been captured, even as he was, and there was none to save them.	Despair fell upon him when he remembered that all his little party had been captured, even as he was, and there was none to save them.
5039_1188_000031_000000	"I might have expected it," he sobbed, miserably.	"I might have expected it," he sobbed, miserably.
5039_1188_000031_000001	"I'm Ojo the Unlucky, and something dreadful was sure to happen to me."	"I'm Ojo the Unlucky, and something dreadful was sure to happen to me."
5039_1188_000032_000000	He pushed against the leaf that held him and found it to be soft, but thick and firm.	He pushed against the leaf that held him and found it to be soft, but thick and firm.
5039_1188_000032_000001	It was like a great bandage all around him and he found it difficult to move his body or limbs in order to change their position.	It was like a great bandage all around him and he found it difficult to move his body or limbs in order to change their position.
5039_1188_000033_000000	The minutes passed and became hours.	The minutes passed and became hours.
5039_1188_000033_000001	Ojo wondered how long one could live in such a condition and if the leaf would gradually sap his strength and even his life, in order to feed itself.	Ojo wondered how long one could live in such a condition and if the leaf would gradually sap his strength and even his life, in order to feed itself.
5039_1188_000033_000003	His greatest fear at this time was that he would always remain imprisoned in the beautiful leaf and never see the light of day again.	His greatest fear at this time was that he would always remain imprisoned in the beautiful leaf and never see the light of day again.
5039_1188_000034_000003	The sounds were low and sweet and, although they reached Ojo's ears very faintly, they were clear and harmonious.	The sounds were low and sweet and, although they reached Ojo's ears very faintly, they were clear and harmonious.
5039_1188_000035_000000	Could the leaf whistle, Ojo wondered?	Could the leaf whistle, Ojo wondered?
5039_1188_000036_000000	Suddenly the whole leaf toppled and fell, carrying the boy with it, and while he sprawled at full length the folds slowly relaxed and set him free.	Suddenly the whole leaf toppled and fell, carrying the boy with it, and while he sprawled at full length the folds slowly relaxed and set him free.
5039_1188_000036_000001	He scrambled quickly to his feet and found that a strange man was standing before him--a man so curious in appearance that the boy stared with round eyes.	He scrambled quickly to his feet and found that a strange man was standing before him-a man so curious in appearance that the boy stared with round eyes.
5039_1188_000037_000000	He was a big man, with shaggy whiskers, shaggy eyebrows, shaggy hair--but kindly blue eyes that were gentle as those of a cow.	He was a big man, with shaggy whiskers, shaggy eyebrows, shaggy hair-but kindly blue eyes that were gentle as those of a cow.
5039_1188_000037_000002	Rich but shaggy laces were at his throat; a coat with shaggy edges was decorated with diamond buttons; the velvet breeches had jeweled buckles at the knees and shags all around the bottoms.	Rich but shaggy laces were at his throat; a coat with shaggy edges was decorated with diamond buttons; the velvet breeches had jeweled buckles at the knees and shags all around the bottoms.
5039_1188_000037_000003	On his breast hung a medallion bearing a picture of Princess Dorothy of Oz, and in his hand, as he stood looking at Ojo, was a sharp knife shaped like a dagger.	On his breast hung a medallion bearing a picture of Princess Dorothy of Oz, and in his hand, as he stood looking at Ojo, was a sharp knife shaped like a dagger.
5039_1188_000040_000000	"Yes; I can see that," said the boy, nodding.	"Yes; I can see that," said the boy, nodding.
5039_1188_000041_000000	"None other, you may be sure.	"None other, you may be sure.
5039_1188_000041_000001	But take care, or I shall have to rescue you again."	But take care, or I shall have to rescue you again."
5039_1188_000044_000001	"Singing or whistling--it doesn't matter which--makes 'em behave, and nothing else will.	"Singing or whistling-it doesn't matter which-makes 'em behave, and nothing else will.
5039_1188_000044_000002	I always whistle as I go by 'em and so they always let me alone.	I always whistle as I go by 'em and so they always let me alone.
5039_1188_000044_000003	To-day as I went by, whistling, I saw a leaf curled and knew there must be something inside it.	To day as I went by, whistling, I saw a leaf curled and knew there must be something inside it.
5039_1188_000044_000004	I cut down the leaf with my knife and--out you popped.	I cut down the leaf with my knife and-out you popped.
5039_1188_000044_000005	Lucky I passed by, wasn't it?"	Lucky I passed by, wasn't it?"
5039_1188_000045_000000	"You were very kind," said Ojo, "and I thank you.	"You were very kind," said Ojo, "and I thank you.
5039_1188_000045_000001	Will you please rescue my companions, also?"	Will you please rescue my companions, also?"
5039_1188_000046_000000	"What companions?" asked the Shaggy Man.	"What companions?" asked the Shaggy Man.
5039_1188_000047_000000	"The leaves grabbed them all," said the boy.	"The leaves grabbed them all," said the boy.
5039_1188_000047_000001	"There's a Patchwork Girl and--"	"There's a Patchwork Girl and-"
5039_1188_000049_000001	She's alive and her name is Scraps.	She's alive and her name is Scraps.
5039_1188_000049_000002	And there's a Glass Cat--"	And there's a Glass Cat-"
5039_1188_000050_000000	"Glass?" asked the Shaggy Man.	"Glass?" asked the Shaggy Man.
5039_1188_000051_000000	"All glass."	"All glass."
5039_1188_000054_000000	"What's a Woozy?" inquired the Shaggy Man.	"What's a Woozy?" inquired the Shaggy Man.
5039_1188_000055_000000	"Why, I--I--can't describe it," answered the boy, greatly perplexed. "But it's a queer animal with three hairs on the tip of its tail that won't come out and--"	"Why, I-I-can't describe it," answered the boy, greatly perplexed. "But it's a queer animal with three hairs on the tip of its tail that won't come out and-"
5039_1188_000056_000000	"What won't come out?" asked the Shaggy Man; "the tail?"	"What won't come out?" asked the Shaggy Man; "the tail?"
5039_1188_000057_000000	"The hairs won't come out.	"The hairs won't come out.
5039_1188_000058_000000	"Of course," said the Shaggy Man, nodding his shaggy head.	"Of course," said the Shaggy Man, nodding his shaggy head.
5039_1188_000058_000001	And then he walked back among the plants, still whistling, and found the three leaves which were curled around Ojo's traveling companions.	And then he walked back among the plants, still whistling, and found the three leaves which were curled around Ojo's traveling companions.
5039_1188_000058_000002	The first leaf he cut down released Scraps, and on seeing her the Shaggy Man threw back his shaggy head, opened wide his mouth and laughed so shaggily and yet so merrily that Scraps liked him at once.	The first leaf he cut down released Scraps, and on seeing her the Shaggy Man threw back his shaggy head, opened wide his mouth and laughed so shaggily and yet so merrily that Scraps liked him at once.
5039_1188_000059_000000	"My dear, you're a wonder.	"My dear, you're a wonder.
5039_1188_000059_000001	I must introduce you to my friend the Scarecrow."	I must introduce you to my friend the Scarecrow."
5039_1188_000060_000000	When he cut down the second leaf he rescued the Glass Cat, and Bungle was so frightened that she scampered away like a streak and soon had joined Ojo, when she sat beside him panting and trembling.	When he cut down the second leaf he rescued the Glass Cat, and Bungle was so frightened that she scampered away like a streak and soon had joined Ojo, when she sat beside him panting and trembling.
5039_1188_000060_000001	The last plant of all the row had captured the Woozy, and a big bunch in the center of the curled leaf showed plainly where he was.	The last plant of all the row had captured the Woozy, and a big bunch in the center of the curled leaf showed plainly where he was.
