6918_61317_000000_000000	CHAPTER III.	CHAPTER three.	false	0	0.21	-20
6918_61317_000012_000004	A rain god presided over the destinies of one community, and a god of disease and death over another; a third exalted the war god, no doubt because raids were frequent and the city owed its strength and prosperity to its battles and conquests.	A rain god presided over the destinies of one community, and a god of disease and death over another; a third exalted the war god, no doubt because raids were frequent and the city owed its strength and prosperity to its battles and conquests.	true	317.63	332.17	22.856998
6918_61317_000012_000005	The reputation won by a particular god throughout Babylonia would depend greatly on the achievements of his worshippers and the progress of the city civilization over which he presided. Bel-Enlil's fame as a war deity was probably due to the political supremacy of his city of Nippur; and there was probably good reason for attributing to the sun god a pronounced administrative and legal character; he may have controlled the destinies of exceedingly well organized communities in which law and order and authority were held in high esteem.	The reputation won by a particular god throughout Babylonia would depend greatly on the achievements of his worshippers and the progress of the city civilization over which he presided. Bel Enlil's fame as a war deity was probably due to the political supremacy of his city of Nippur; and there was probably good reason for attributing to the sun god a pronounced administrative and legal character; he may have controlled the destinies of exceedingly well organized communities in which law and order and authority were held in high esteem.	false	332.84	365.53	21.407858
6918_61317_000013_000000	In accounting for the rise of distinctive and rival city deities, we should also consider the influence of divergent conceptions regarding the origin of life in mingled communities.	In accounting for the rise of distinctive and rival city deities, we should also consider the influence of divergent conceptions regarding the origin of life in mingled communities.	true	366.62	376.81	20
6918_61317_000013_000001	Each foreign element in a community had its own intellectual life and immemorial tribal traditions, which reflected ancient habits of life and perpetuated the doctrines of eponymous ancestors.	Each foreign element in a community had its own intellectual life and immemorial tribal traditions, which reflected ancient habits of life and perpetuated the doctrines of eponymous ancestors.	true	377.45	388.93	23
6918_61317_000013_000002	Among the agricultural classes, the folk religion which entered so intimately into their customs and labours must have remained essentially Babylonish in character.	Among the agricultural classes, the folk religion which entered so intimately into their customs and labours must have remained essentially Babylonish in character.	false	389.51	399.36	21.098646
6918_61317_000013_000003	In cities, however, where official religions were formulated, foreign ideas were more apt to be imposed, especially when embraced by influential teachers.	In cities, however, where official religions were formulated, foreign ideas were more apt to be imposed, especially when embraced by influential teachers.	true	399.36	408.07	19
6918_61317_000013_000004	It is not surprising, therefore, to find that in Babylonia, as in Egypt, there were differences of opinion regarding the origin of life and the particular natural element which represented the vital principle.	It is not surprising, therefore, to find that in Babylonia, as in Egypt, there were differences of opinion regarding the origin of life and the particular natural element which represented the vital principle.	true	408.32	420.01	21.247072
6918_61317_000014_000000	One section of the people, who were represented by the worshippers of Ea, appear to have believed that the essence of life was contained in water.	One section of the people, who were represented by the worshippers of Ea, appear to have believed that the essence of life was contained in water.	true	421.1	429.34	24.131697
6918_61317_000014_000001	The god of Eridu was the source of the "water of life".	The god of Eridu was the source of the "water of life".	true	429.8	434.08	20.733742
6918_61317_000014_000002	He fertilized parched and sunburnt wastes through rivers and irrigating canals, and conferred upon man the sustaining "food of life".	He fertilized parched and sunburnt wastes through rivers and irrigating canals, and conferred upon man the sustaining "food of life".	true	434.3	443.65	22.080341
6918_61317_000014_000003	When life came to an end--	When life came to an end-	false	444.38	447.12	25.264324
6918_61317_000015_000000	Food of death will be offered thee... Water of death will be offered thee...	Food of death will be offered thee... Water of death will be offered thee...	false	447.12	453.45	20.28353
6918_61317_000016_000000	Offerings of water and food were made to the dead so that the ghosts might be nourished and prevented from troubling the living.	Offerings of water and food were made to the dead so that the ghosts might be nourished and prevented from troubling the living.	true	453.45	460.6	17
6918_61317_000016_000001	Even the gods required water and food; they were immortal because they had drunk ambrosia and eaten from the plant of life.	Even the gods required water and food; they were immortal because they had drunk ambrosia and eaten from the plant of life.	true	461	468.79	22.418867
6918_61317_000016_000002	When the goddess Ishtar was in the Underworld, the land of the dead, the servant of Ea exclaimed--	When the goddess Ishtar was in the Underworld, the land of the dead, the servant of Ea exclaimed-	false	469.01	476.49	23.379478
6918_61317_000017_000000	"Hail! lady, may the well give me of its waters, so that I may drink."	"Hail! lady, may the well give me of its waters, so that I may drink."	false	476.49	483.3	18.103546
6918_61317_000018_000000	The goddess of the dead commanded her servant to "sprinkle the lady Ishtar with the water of life and bid her depart".	The goddess of the dead commanded her servant to "sprinkle the lady Ishtar with the water of life and bid her depart".	false	483.3	492.48	23.198372
6918_61317_000018_000001	The sacred water might also be found at a confluence of rivers.	The sacred water might also be found at a confluence of rivers.	false	492.48	497.67	24.851498
6918_61317_000018_000002	Ea bade his son, Merodach, to "draw water from the mouth of two streams", and "on this water to put his pure spell".	Ea bade his son, Merodach, to "draw water from the mouth of two streams", and "on this water to put his pure spell".	false	497.67	511.32	23.432085
6918_61317_000019_000000	The worship of rivers and wells which prevailed in many countries was connected with the belief that the principle of life was in moisture. In India, water was vitalized by the intoxicating juice of the Soma plant, which inspired priests to utter prophecies and filled their hearts with religious fervour.	The worship of rivers and wells which prevailed in many countries was connected with the belief that the principle of life was in moisture. In India, water was vitalized by the intoxicating juice of the Soma plant, which inspired priests to utter prophecies and filled their hearts with religious fervour.	true	511.32	529.81	20.81811
6918_61317_000019_000001	Drinking customs had originally a religious significance.	Drinking customs had originally a religious significance.	true	530.45	534.28	25.442554
6918_61317_000019_000002	It was believed in India that the sap of plants was influenced by the moon, the source of vitalizing moisture and the hiding-place of the mead of the gods.	It was believed in India that the sap of plants was influenced by the moon, the source of vitalizing moisture and the hiding place of the mead of the gods.	true	534.56	544.27	19
6918_61317_000019_000003	The Teutonic gods also drank this mead, and poets were inspired by it.	The Teutonic gods also drank this mead, and poets were inspired by it.	true	544.97	549.67	20
6918_61317_000019_000004	Similar beliefs obtained among various peoples.	Similar beliefs obtained among various peoples.	true	550.46	553.84	18
6918_61317_000019_000005	Moon and water worship were therefore closely associated; the blood of animals and the sap of plants were vitalized by the water of life and under control of the moon.	Moon and water worship were therefore closely associated; the blood of animals and the sap of plants were vitalized by the water of life and under control of the moon.	true	554.66	564.85	20.225485
6918_61317_000020_000000	The body moisture of gods and demons had vitalizing properties.	The body moisture of gods and demons had vitalizing properties.	true	566	569.835	19
6918_61317_000020_000001	When the Indian creator, Prajapati, wept at the beginning, "that (the tears) which fell into the water became the air.	When the Indian creator, Prajapati, wept at the beginning, "that (the tears) which fell into the water became the air.	false	569.835	579.04	21.880753
6918_61317_000020_000002	That which he wiped away, upwards, became the sky."[50] The ancient Egyptians believed that all men were born from the eyes of Horus except negroes, who came from other parts of his body.[51] The creative tears of Ra, the sun god, fell as shining rays upon the earth.	That which he wiped away, upwards, became the sky."[fifty] The ancient Egyptians believed that all men were born from the eyes of Horus except negroes, who came from other parts of his body.[fifty one] The creative tears of Ra, the sun god, fell as shining rays upon the earth.	false	579.2	599.35	21.455013
6918_61317_000020_000003	When this god grew old saliva dripped from his mouth, and Isis mixed the vitalizing moisture with dust, and thus made the serpent which bit and paralysed the great solar deity.[52]	When this god grew old saliva dripped from his mouth, and Isis mixed the vitalizing moisture with dust, and thus made the serpent which bit and paralysed the great solar deity.[fifty two]	false	599.72	613.56	21.902763
6918_61317_000021_000000	Other Egyptian deities, including Osiris and Isis, wept creative tears.	Other Egyptian deities, including Osiris and Isis, wept creative tears.	true	613.56	618.61	23
6918_61317_000021_000001	Those which fell from the eyes of the evil gods produced poisonous plants and various baneful animals.	Those which fell from the eyes of the evil gods produced poisonous plants and various baneful animals.	true	618.98	625.21	17
6918_61317_000021_000002	Orion, the Greek giant, sprang from the body moisture of deities.	Orion, the Greek giant, sprang from the body moisture of deities.	true	625.76	629.95	18.722225
6918_61317_000021_000003	The weeping ceremonies in connection with agricultural rites were no doubt believed to be of magical potency; they encouraged the god to weep creative tears.	The weeping ceremonies in connection with agricultural rites were no doubt believed to be of magical potency; they encouraged the god to weep creative tears.	true	630.38	639.45	23
6918_61317_000022_000000	Ea, the god of the deep, was also "lord of life" (Enti), "king of the river" (Lugal-ida), and god of creation (Nudimmud).	Ea, the god of the deep, was also "lord of life" (e n t i), "king of the river" (Lugal ida), and god of creation (Nudimmud).	false	639.45	654.21	21.358397
6918_61317_000022_000001	His aid was invoked by means of magical formulae.	His aid was invoked by means of magical formulae.	true	654.21	657.7	17
6918_61317_000022_000002	As the "great magician of the gods" he uttered charms himself, and was the patron of all magicians. One spell runs as follows:	As the "great magician of the gods" he uttered charms himself, and was the patron of all magicians. One spell runs as follows:	false	658.88	668.76	22.754862
6918_61317_000023_000000	I am the sorcerer priest of Ea... To revive the ... sick man The great lord Ea hath sent me; He hath added his pure spell to mine, He hath added his pure voice to mine, He hath added his pure spittle to mine.	I am the sorcerer priest of Ea... To revive the ... sick man The great lord Ea hath sent me; He hath added his pure spell to mine, He hath added his pure voice to mine, He hath added his pure spittle to mine.	false	668.76	684.63	20.559998
6918_61317_000024_000000	_R.C.	underscore r c	false	684.63	686.25	22.826426
6918_61317_000024_000001	Thompson's Translation._	Thompson's Translation.underscore	false	686.25	689.46	20.891237
6918_61317_000025_000000	Saliva, like tears, had creative and therefore curative qualities; it also expelled and injured demons and brought good luck.	Saliva, like tears, had creative and therefore curative qualities; it also expelled and injured demons and brought good luck.	true	689.46	698.08	23.950705
6918_61317_000025_000001	Spitting ceremonies are referred to in the religious literature of Ancient Egypt.	Spitting ceremonies are referred to in the religious literature of Ancient Egypt.	true	698.27	703.12	22.087223
6918_61317_000025_000002	When the Eye of Ra was blinded by Set, Thoth spat in it to restore vision.	When the Eye of Ra was blinded by Set, Thoth spat in it to restore vision.	true	704	709.66	20.951862
6918_61317_000025_000003	The sun god Tum, who was linked with Ra as Ra-Tum, spat on the ground, and his saliva became the gods Shu and Tefnut.	The sun god Tum, who was linked with Ra as Ra Tum, spat on the ground, and his saliva became the gods Shu and Tefnut.	false	710.45	719.23	25.046555
6918_61317_000025_000004	In the Underworld the devil serpent Apep was spat upon to curse it, as was also its waxen image which the priests fashioned.[53]	In the Underworld the devil serpent Apep was spat upon to curse it, as was also its waxen image which the priests fashioned.[fifty three]	false	719.81	729.72	22.63449
6918_61317_000026_000000	Several African tribes spit to make compacts, declare friendship, and to curse.	Several African tribes spit to make compacts, declare friendship, and to curse.	true	729.72	735.97	27.133612
6918_61317_000027_000000	Park, the explorer, refers in his _Travels_ to his carriers spitting on a flat stone to ensure a good journey.	Park, the explorer, refers in his underscore Travels underscore to his carriers spitting on a flat stone to ensure a good journey.	false	737.18	745.18	23.047495
6918_61317_000027_000001	Arabian holy men and descendants of Mohammed spit to cure diseases.	Arabian holy men and descendants of Mohammed spit to cure diseases.	true	745.73	750.22	19.27825
6918_61317_000027_000002	Mohammed spat in the mouth of his grandson Hasen soon after birth.	Mohammed spat in the mouth of his grandson Hasen soon after birth.	false	750.68	755.2	25.838465
6918_61317_000027_000003	Theocritus, Sophocles, and Plutarch testify to the ancient Grecian customs of spitting to cure and to curse, and also to bless when children were named.	Theocritus, Sophocles, and Plutarch testify to the ancient Grecian customs of spitting to cure and to curse, and also to bless when children were named.	true	755.87	766.84	22.298805
6918_61317_000027_000004	Pliny has expressed belief in the efficacy of the fasting spittle for curing disease, and referred to the custom of spitting to avert witchcraft. In England, Scotland, and Ireland spitting customs are not yet obsolete.	Pliny has expressed belief in the efficacy of the fasting spittle for curing disease, and referred to the custom of spitting to avert witchcraft. In England, Scotland, and Ireland spitting customs are not yet obsolete.	true	767	782.08	24.189766
6918_61317_000027_000005	North of England boys used to talk of "spitting their sauls" (souls).	North of England boys used to talk of "spitting their sauls" (souls).	false	782.6	790.18	23.50744
6918_61317_000027_000006	When the Newcastle colliers held their earliest strikes they made compacts by spitting on a stone.	When the Newcastle colliers held their earliest strikes they made compacts by spitting on a stone.	true	790.82	796.33	22.395737
6918_61317_000027_000007	There are still "spitting stones" in the north of Scotland.	There are still "spitting stones" in the north of Scotland.	true	796.97	799.96	22
6918_61317_000027_000008	When bargains are made in rural districts, hands are spat upon before they are shaken.	When bargains are made in rural districts, hands are spat upon before they are shaken.	false	800.75	805.33	18.327862
6918_61317_000027_000009	The first money taken each day by fishwives and other dealers is spat upon to ensure increased drawings.	The first money taken each day by fishwives and other dealers is spat upon to ensure increased drawings.	true	805.7	812.29	20
6918_61317_000027_000010	Brand, who refers to various spitting customs, quotes _Scot's Discovery of Witchcraft_ regarding the saliva cure for king's evil, which is still, by the way, practised in the Hebrides. Like Pliny, Scot recommended ceremonial spitting as a charm against witchcraft.[54] In China spitting to expel demons is a common practice.	Brand, who refers to various spitting customs, quotes underscore Scot's Discovery of Witchcraft underscore regarding the saliva cure for king's evil, which is still, by the way, practised in the Hebrides. Like Pliny, Scot recommended ceremonial spitting as a charm against witchcraft.[fifty four] In China spitting to expel demons is a common practice.	false	812.9	836.89	23.704805
6918_61317_000027_000011	We still call a hasty person a "spitfire", and a calumniator a "spit-poison".	We still call a hasty person a "spitfire", and a calumniator a "spit poison".	true	837.11	842.59	23.418388
6918_61317_000028_000000	The life principle in trees, &c., as we have seen, was believed to have been derived from the tears of deities.	The life principle in trees, and c., as we have seen, was believed to have been derived from the tears of deities.	true	843.77	851.71	23
6918_61317_000028_000001	In India sap was called the "blood of trees", and references to "bleeding trees" are still widespread and common.	In India sap was called the "blood of trees", and references to "bleeding trees" are still widespread and common.	false	852.17	860.61	24.551893
6918_61317_000028_000002	"Among the ancients", wrote Professor Robertson Smith, "blood is generally conceived as the principle or vehicle of life, and so the account often given of sacred waters is that the blood of the deity flows in them.	"Among the ancients", wrote Professor Robertson Smith, "blood is generally conceived as the principle or vehicle of life, and so the account often given of sacred waters is that the blood of the deity flows in them.	true	860.61	875.74	22.89592
6918_61317_000028_000003	Thus as Milton writes:	Thus as Milton writes:	false	876.41	880.02	26.220818
6918_61317_000029_000000	Smooth Adonis from his native rock Ran purple to the sea, supposed with blood Of Thammuz yearly wounded.	Smooth Adonis from his native rock Ran purple to the sea, supposed with blood Of Thammuz yearly wounded.	false	880.02	888.18	24.595568
6918_61317_000030_000000	_Paradise Lost_, i, 450.	underscore Paradise Lost underscore, i, four hundred fifty.	false	888.18	893.83	22.806482
6918_61317_000031_000000	The ruddy colour which the swollen river derived from the soil at a certain season was ascribed to the blood of the god, who received his death wound in Lebanon at that time of the year, and lay buried beside the sacred source."[55]	The ruddy colour which the swollen river derived from the soil at a certain season was ascribed to the blood of the god, who received his death wound in Lebanon at that time of the year, and lay buried beside the sacred source."[fifty five]	false	894.92	909.54	21.340742
6918_61317_000032_000000	In Babylonia the river was regarded as the source of the life blood and the seat of the soul.	In Babylonia the river was regarded as the source of the life blood and the seat of the soul.	true	909.54	914.95	18
6918_61317_000032_000001	No doubt this theory was based on the fact that the human liver contains about a sixth of the blood in the body, the largest proportion required by any single organ.	No doubt this theory was based on the fact that the human liver contains about a sixth of the blood in the body, the largest proportion required by any single organ.	true	915.35	925.9	23.104563
6918_61317_000032_000002	Jeremiah makes "Mother Jerusalem" exclaim: "My liver is poured upon the earth for the destruction of the daughter of my people", meaning that her life is spent with grief.	Jeremiah makes "Mother Jerusalem" exclaim: "My liver is poured upon the earth for the destruction of the daughter of my people", meaning that her life is spent with grief.	false	925.91	938.68	21.517855
6918_61317_000033_000000	Inspiration was derived by drinking blood as well as by drinking intoxicating liquors--the mead of the gods.	Inspiration was derived by drinking blood as well as by drinking intoxicating liquors-the mead of the gods.	true	939.62	946.87	20.518627
6918_61317_000033_000001	Indian magicians who drink the blood of the goat sacrificed to the goddess Kali, are believed to be temporarily possessed by her spirit, and thus enabled to prophesy.[56] Malayan exorcists still expel demons while they suck the blood from a decapitated fowl.[57]	Indian magicians who drink the blood of the goat sacrificed to the goddess Kali, are believed to be temporarily possessed by her spirit, and thus enabled to prophesy.[fifty six] Malayan exorcists still expel demons while they suck the blood from a decapitated fowl.[fifty seven]	false	947.27	964.71	22.694145
6918_61317_000034_000000	Similar customs were prevalent in Ancient Greece.	Similar customs were prevalent in Ancient Greece.	true	964.71	967.3	21
6918_61317_000034_000001	A woman who drank the blood of a sacrificed lamb or bull uttered prophetic sayings.[58]	A woman who drank the blood of a sacrificed lamb or bull uttered prophetic sayings.[fifty eight]	false	967.49	973.95	21.957449
6918_61317_000035_000000	But while most Babylonians appear to have believed that the life principle was in blood, some were apparently of opinion that it was in breath--the air of life.	But while most Babylonians appear to have believed that the life principle was in blood, some were apparently of opinion that it was in breath-the air of life.	true	973.95	983.32	22.3128
6918_61317_000035_000001	A man died when he ceased to breathe; his spirit, therefore, it was argued, was identical with the atmosphere--the moving wind--and was accordingly derived from the atmospheric or wind god.	A man died when he ceased to breathe; his spirit, therefore, it was argued, was identical with the atmosphere-the moving wind-and was accordingly derived from the atmospheric or wind god.	true	983.57	995.98	20.578894
6918_61317_000035_000002	When, in the Gilgamesh epic, the hero invokes the dead Ea-bani, the ghost rises up like a "breath of wind".	When, in the Gilgamesh epic, the hero invokes the dead Ea bani, the ghost rises up like a "breath of wind".	true	996.59	1004.95	26.360178
6918_61317_000035_000003	A Babylonian charm runs:	A Babylonian charm runs:	false	1005.59	1008.45	22.821247
6918_61317_000036_000000	The gods which seize on men Came forth from the grave; The evil wind gusts Have come forth from the grave, To demand payment of rites and the pouring out of libations They have come forth from the grave; All that is evil in their hosts, like a whirlwind, Hath come forth from the grave.[59]	The gods which seize on men Came forth from the grave; The evil wind gusts Have come forth from the grave, To demand payment of rites and the pouring out of libations They have come forth from the grave; All that is evil in their hosts, like a whirlwind, Hath come forth from the grave.[fifty nine]	false	1008.45	1030.8	18.891548
6918_61317_000037_000000	The Hebrew "nephesh ruach" and "neshamah" (in Arabic "ruh" and "nefs") pass from meaning "breath" to "spirit".[60] In Egypt the god Khnumu was "Kneph" in his character as an atmospheric deity.	The Hebrew "nephesh ruach" and "neshamah" (in Arabic "ruh" and "nefs") pass from meaning "breath" to "spirit".[sixty] In Egypt the god Khnumu was "Kneph" in his character as an atmospheric deity.	false	1030.8	1047.73	25.101967
6918_61317_000037_000001	The ascendancy of storm and wind gods in some Babylonian cities may have been due to the belief that they were the source of the "air of life".	The ascendancy of storm and wind gods in some Babylonian cities may have been due to the belief that they were the source of the "air of life".	false	1048.4	1056.7	17
6918_61317_000037_000002	It is possible that this conception was popularized by the Semites. Inspiration was perhaps derived from these deities by burning incense, which, if we follow evidence obtained elsewhere, induced a prophetic trance.	It is possible that this conception was popularized by the Semites. Inspiration was perhaps derived from these deities by burning incense, which, if we follow evidence obtained elsewhere, induced a prophetic trance.	true	1056.98	1071.88	21.564655
6918_61317_000037_000003	The gods were also invoked by incense.	The gods were also invoked by incense.	true	1072.58	1075	21
6918_61317_000037_000004	In the Flood legend the Babylonian Noah burned incense.	In the Flood legend the Babylonian Noah burned incense.	false	1075.31	1081.05	23.091417
6918_61317_000037_000005	"The gods smelled a sweet savour and gathered like flies over the sacrificer." In Egypt devotees who inhaled the breath of the Apis bull were enabled to prophesy.	"The gods smelled a sweet savour and gathered like flies over the sacrificer." In Egypt devotees who inhaled the breath of the Apis bull were enabled to prophesy.	false	1081.05	1093.51	22.260317
