3082_165428_000002_000000	THE LIFE, CAREER AND DEATH OF CAPTAIN THOMAS WHITE.	THE LIFE, CAREER AND DEATH OF CAPTAIN THOMAS WHITE.
3082_165428_000039_000001	At length part were for boarding, and advised it.	At length part were for boarding, and advised it.
3082_165428_000039_000004	The adventures of these pirates on this coast are already set down in Captain Bowen's life, to which I refer the reader, and shall only observe, that Captain White was all this time before the mast, being a forced man from the beginning.	The adventures of these pirates on this coast are already set down in Captain Bowen's life, to which I refer the reader, and shall only observe, that Captain White was all this time before the mast, being a forced man from the beginning.
3082_165428_000040_000001	They came on board in the night and surprised her, though not without resistance, in which the captain and chief mate were killed, and several others wounded.	They came on board in the night and surprised her, though not without resistance, in which the captain and chief mate were killed, and several others wounded.
3082_165428_000041_000000	Those who were ashore with Captain White, resolving to enter in this ship, determined him to go also, rather than be left alone with the natives, hoping, by some accident or other, to have an opportunity of returning home.	Those who were ashore with Captain White, resolving to enter in this ship, determined him to go also, rather than be left alone with the natives, hoping, by some accident or other, to have an opportunity of returning home.
3082_165428_000041_000004	They touched at Augustin, expecting the ship, but she not appearing in a week, the time they waited, the king ordered them to be gone, telling them they imposed on him with lies, for he did not believe they had any ship: however he gave them fresh provision: they took in water, and made for Methelage.	They touched at Augustin, expecting the ship, but she not appearing in a week, the time they waited, the king ordered them to be gone, telling them they imposed on him with lies, for he did not believe they had any ship: however he gave them fresh provision: they took in water, and made for Methelage.
3082_165428_000041_000005	Here as Captain White was known to the king, they were kindly received, and staid about a fortnight in expectation of the ship, but she not appearing they raised their boat a streak, salted the provision the king gave them, put water aboard, and stood for the north end of the island, designing to go round, believing their ship might be at the island of St. Mary.	Here as Captain White was known to the king, they were kindly received, and staid about a fortnight in expectation of the ship, but she not appearing they raised their boat a streak, salted the provision the king gave them, put water aboard, and stood for the north end of the island, designing to go round, believing their ship might be at the island of saint Mary.
3082_165428_000041_000007	Wherefore they got into a harbor, of which there are many for small vessels.	Wherefore they got into a harbor, of which there are many for small vessels.
3082_165428_000043_000002	At length, having fine weather, and the strength of the current abating, they got round; and after sailing about 40 miles on the east side, they went into a harbor, where they found a piece of a jacket, which they knew belonged to one of those men who had left them to go over land.	At length, having fine weather, and the strength of the current abating, they got round; and after sailing about forty miles on the east side, they went into a harbor, where they found a piece of a jacket, which they knew belonged to one of those men who had left them to go over land.
3082_165428_000043_000003	He had been a forced man, and a ship carpenter.	He had been a forced man, and a ship carpenter.
3082_165428_000043_000004	This they supposed he had torn to wrap round his feet; that part of the country being barren and rocky.	This they supposed he had torn to wrap round his feet; that part of the country being barren and rocky.
3082_165428_000043_000006	The latter was given them, but they could get no information of their companions.	The latter was given them, but they could get no information of their companions.
3082_165428_000044_000001	They knew it to be the hand of one of their former shipmates.	They knew it to be the hand of one of their former shipmates.
3082_165428_000046_000000	The rest of them were settled in small companies of about 12 or 14 together, more or less, up the said river, and along the coast, every nation by itself, as the English, French, Dutch, &c.	The rest of them were settled in small companies of about twelve or fourteen together, more or less, up the said river, and along the coast, every nation by itself, as the English, French, Dutch, and c.
3082_165428_000046_000003	But the others did not think it reasonable he should have the boat, but that it should be set to sale for the benefit of the company.	But the others did not think it reasonable he should have the boat, but that it should be set to sale for the benefit of the company.
3082_165428_000047_000000	Captain White, finding these men proposed joining him, and going round to Ambonavoula, to make up a company, it was agreed upon, and they unanimously chose him commander.	Captain White, finding these men proposed joining him, and going round to Ambonavoula, to make up a company, it was agreed upon, and they unanimously chose him commander.
3082_165428_000047_000001	They accordingly put to sea, and stood away round the south end of the island, and touched at Don Mascarenhas, where he took in a surgeon, and stretching over again to Madagascar, fell in with Ambonavoula, and made up his complement of 60 men.	They accordingly put to sea, and stood away round the south end of the island, and touched at Don Mascarenhas, where he took in a surgeon, and stretching over again to Madagascar, fell in with Ambonavoula, and made up his complement of sixty men.
3082_165428_000047_000002	From hence he shaped his course for the island of Mayotta, where he cleaned his ship, and waited for the season to go into the Red Sea.	From hence he shaped his course for the island of Mayotta, where he cleaned his ship, and waited for the season to go into the Red Sea.
3082_165428_000047_000003	His provisions being taken in, the time proper, and the ship well fitted, he steered for Babel-Mandeb, and running into a harbor, waited for the Mocha ships.	His provisions being taken in, the time proper, and the ship well fitted, he steered for Babel Mandeb, and running into a harbor, waited for the Mocha ships.
3082_165428_000048_000001	These he plundered of what was for his turn, kept them a fortnight by him, and let them go.	These he plundered of what was for his turn, kept them a fortnight by him, and let them go.
3082_165428_000048_000003	A few days after, they met with a large ship of about 1000 tons and 600 men, called the Malabar, which they chased, kept company with her all night, and took in the morning, with the loss of only their boatswain, and two or three men wounded.	A few days after, they met with a large ship of about one thousand tons and six hundred men, called the Malabar, which they chased, kept company with her all night, and took in the morning, with the loss of only their boatswain, and two or three men wounded.
3082_165428_000049_000004	They answered in the affirmative, but the captain could not believe them.	They answered in the affirmative, but the captain could not believe them.
3082_165428_000049_000005	However they took what they liked, and kept him with them.	However they took what they liked, and kept him with them.
3082_165428_000050_000000	After two days they met with the Dorothy, an English ship, Captain Penruddock, commander, coming from Mocha.	After two days they met with the Dorothy, an English ship, Captain Penruddock, commander, coming from Mocha.
3082_165428_000050_000002	On a vote, they gave Captain Penruddock (from whom they took a considerable quantity of money) the Portuguese ship and cargo, with what bale he pleased to take out of his own, bid him go about his business, and make what he could of her.	On a vote, they gave Captain Penruddock (from whom they took a considerable quantity of money) the Portuguese ship and cargo, with what bale he pleased to take out of his own, bid him go about his business, and make what he could of her.
3082_165428_000051_000005	Besides, they made a gathering among themselves, and made a present to Stacy's mate, and other of his inferior officers, and about 120 dollars to the children.	Besides, they made a gathering among themselves, and made a present to Stacy's mate, and other of his inferior officers, and about one hundred twenty dollars to the children.
3082_165428_000051_000006	They then discharged Stacy and his crew, and made the best of their way out of the Red Sea.	They then discharged Stacy and his crew, and made the best of their way out of the Red Sea.
3082_165428_000052_000000	They came into the bay of Defarr, where they found a ketch at anchor, which the people had made prize of, by seizing the master and boat's crew ashore.	They came into the bay of Defarr, where they found a ketch at anchor, which the people had made prize of, by seizing the master and boat's crew ashore.
3082_165428_000052_000001	They found a French gentleman, one Monsieur Berger, on board, whom they carried with them, took out about 2000 dollars, and sold the ketch to the chief ashore for provisions.	They found a French gentleman, one Monsieur Berger, on board, whom they carried with them, took out about two thousand dollars, and sold the ketch to the chief ashore for provisions.
3082_165428_000053_000001	Here taking in fresh provisions, White steered for Madagascar, and fell in with Hopeful Point where they shared their goods, and took up settlements ashore, where White built a house, bought cattle, took off the upper deck of ship, and was fitting her up for the next season.	Here taking in fresh provisions, White steered for Madagascar, and fell in with Hopeful Point where they shared their goods, and took up settlements ashore, where White built a house, bought cattle, took off the upper deck of ship, and was fitting her up for the next season.
