4425_14497_000000_000000	'I said she was not immoral.	'I said she was not immoral.	false	0	1.98	25.03429
4425_14497_000005_000002	She explained her enduring hatred for Dick, and made it clear to him that she only sat for the sake of his money.	She explained her enduring hatred for Dick, and made it clear to him that she only sat for the sake of his money.	true	76.49	83.23	27.245605
4425_14497_000005_000003	'And Mr. Torpenhow's ten times a better man than you,' she concluded.	'And mr Torpenhow's ten times a better man than you,' she concluded.	true	83.48	87.73	21.936747
4425_14497_000006_000000	'He is.	'He is.	true	88.34	89.29	19.767168
4425_14497_000006_000001	That's why he went away.	That's why he went away.	true	89.48	90.91	21.097084
4425_14497_000006_000002	I should have stayed and made love to you.'	I should have stayed and made love to you.'	true	91.16	93.46	19.30939
4425_14497_000007_000000	The girl sat with her chin on her hand, scowling.	The girl sat with her chin on her hand, scowling.	true	94.07	96.61	16
4425_14497_000007_000001	'To me!	'To me!	true	96.71	97.54	21.40295
4425_14497_000007_000002	I'd like to catch you!	I'd like to catch you!	true	97.67	99.1	28.944393
4425_14497_000007_000003	If I wasn't afraid o' being hung I'd kill you.	If I wasn't afraid o' being hung I'd kill you.	false	99.5	102.25	22.290697
4425_14497_000007_000004	That's what I'd do.	That's what I'd do.	false	102.35	103.41	22.910233
4425_14497_000008_000000	D'you believe me?'	D'you believe me?'	false	103.41	105.19	19.521198
4425_14497_000009_000000	Dick smiled wearily.	Dick smiled wearily.	true	106.07	107.53	23.256166
4425_14497_000009_000001	It is not pleasant to live in the company of a notion that will not work out, a fox-terrier that cannot talk, and a woman who talks too much.	It is not pleasant to live in the company of a notion that will not work out, a fox terrier that cannot talk, and a woman who talks too much.	true	107.78	116.47	29.062292
4425_14497_000009_000002	He would have answered, but at that moment there unrolled itself from one corner of the studio a veil, as it were, of the flimsiest gauze.	He would have answered, but at that moment there unrolled itself from one corner of the studio a veil, as it were, of the flimsiest gauze.	true	117.02	125.89	24.54185
4425_14497_000009_000003	He rubbed his eyes, but the gray haze would not go.	He rubbed his eyes, but the gray haze would not go.	true	125.99	129.34	20.370464
4425_14497_000010_000000	'This is disgraceful indigestion.	'This is disgraceful indigestion.	false	129.98	132.4	28.83097
4425_14497_000010_000001	Binkie, we will go to a medicine-man. We can't have our eyes interfered with, for by these we get our bread; also mutton-chop bones for little dogs.'	Binkie, we will go to a medicine man. We can't have our eyes interfered with, for by these we get our bread; also mutton chop bones for little dogs.'	true	132.41	142.54	21.353039
4425_14497_000011_000000	The doctor was an affable local practitioner with white hair, and he said nothing till Dick began to describe the gray film in the studio.	The doctor was an affable local practitioner with white hair, and he said nothing till Dick began to describe the gray film in the studio.	true	142.91	151.36	25.475815
4425_14497_000012_000000	'We all want a little patching and repairing from time to time,' he chirped.	'We all want a little patching and repairing from time to time,' he chirped.	true	151.85	155.68	26.374279
4425_14497_000012_000001	'Like a ship, my dear sir,--exactly like a ship.	'Like a ship, my dear sir,--exactly like a ship.	true	155.84	159.34	24.510601
4425_14497_000012_000002	Sometimes the hull is out of order, and we consult the surgeon; sometimes the rigging, and then I advise; sometimes the engines, and we go to the brain-specialist; sometimes the look-out on the bridge is tired, and then we see an oculist.	Sometimes the hull is out of order, and we consult the surgeon; sometimes the rigging, and then I advise; sometimes the engines, and we go to the brain specialist; sometimes the look out on the bridge is tired, and then we see an oculist.	false	159.56	174.43	22.510008
4425_14497_000012_000003	I should recommend you to see an oculist.	I should recommend you to see an oculist.	false	174.77	177.04	21.030289
4425_14497_000012_000004	A little patching and repairing from time to time is all we want.	A little patching and repairing from time to time is all we want.	true	177.08	180.7	25.728943
4425_14497_000012_000005	An oculist, by all means.'	An oculist, by all means.'	true	180.83	183.28	21.171743
4425_14497_000013_000000	Dick sought an oculist,--the best in London.	Dick sought an oculist,--the best in London.	true	183.83	186.6	26.528528
4425_14497_000013_000001	He was certain that the local practitioner did not know anything about his trade, and more certain that Maisie would laugh at him if he were forced to wear spectacles.	He was certain that the local practitioner did not know anything about his trade, and more certain that Maisie would laugh at him if he were forced to wear spectacles.	false	186.6	196.33	24.84551
4425_14497_000014_000000	'I've neglected the warnings of my lord the stomach too long.	'I've neglected the warnings of my lord the stomach too long.	true	196.7	200.02	23.631035
4425_14497_000014_000001	Hence these spots before the eyes, Binkie.	Hence these spots before the eyes, Binkie.	true	200.12	202.42	22.510384
4425_14497_000014_000002	I can see as well as I ever could.'	I can see as well as I ever could.'	true	202.49	204.79	23.853731
4425_14497_000015_000000	As he entered the dark hall that led to the consulting-room a man cannoned against him.	As he entered the dark hall that led to the consulting room a man cannoned against him.	true	205.28	210.13	25.252779
4425_14497_000015_000001	Dick saw the face as it hurried out into the street.	Dick saw the face as it hurried out into the street.	true	210.59	213.61	24.95384
4425_14497_000016_000000	'That's the writer-type.	'That's the writer type.	true	213.92	215.505	34.0393
4425_14497_000016_000001	He has the same modelling of the forehead as Torp.	He has the same modelling of the forehead as Torp.	true	215.505	218.52	25.51909
4425_14497_000016_000002	He looks very sick.	He looks very sick.	true	218.52	220.23	30.386911
4425_14497_000016_000003	Probably heard something he didn't like.'	Probably heard something he didn't like.'	true	220.23	222.7	24.259008
4425_14497_000017_000000	Even as he thought, a great fear came upon Dick, a fear that made him hold his breath as he walked into the oculist's waiting room, with the heavy carved furniture, the dark-green paper, and the sober-hued prints on the wall.	Even as he thought, a great fear came upon Dick, a fear that made him hold his breath as he walked into the oculist's waiting room, with the heavy carved furniture, the dark green paper, and the sober hued prints on the wall.	true	222.92	236.11	22.405869
4425_14497_000017_000001	He recognised a reproduction of one of his own sketches.	He recognised a reproduction of one of his own sketches.	true	236.24	239.77	21.983475
4425_14497_000018_000000	Many people were waiting their turn before him.	Many people were waiting their turn before him.	true	239.93	242.23	31.387695
4425_14497_000018_000001	His eye was caught by a flaming red-and-gold Christmas-carol book.	His eye was caught by a flaming red and gold Christmas carol book.	true	242.48	246.88	24.545807
4425_14497_000018_000002	Little children came to that eye-doctor, and they needed large-type amusement.	Little children came to that eye doctor, and they needed large type amusement.	true	247.07	251.89	23.966173
4425_14497_000019_000000	'That's idolatrous bad Art,' he said, drawing the book towards himself.	'That's idolatrous bad Art,' he said, drawing the book towards himself.	true	252.23	256.45	29.552113
4425_14497_000020_000000	'From the anatomy of the angels, it has been made in Germany.' He opened in mechanically, and there leaped to his eyes a verse printed in red ink--	'From the anatomy of the angels, it has been made in Germany.' He opened in mechanically, and there leaped to his eyes a verse printed in red ink-	false	256.49	265.48	20.85132
4425_14497_000021_000000	The next good joy that Mary had, It was the joy of three, To see her good Son Jesus Christ Making the blind to see; Making the blind to see, good Lord, And happy we may be.	The next good joy that Mary had, It was the joy of three, To see her good Son Jesus Christ Making the blind to see; Making the blind to see, good Lord, And happy we may be.	true	266.09	278.68	21.774757
4425_14497_000022_000000	Praise Father, Son, and Holy Ghost To all eternity! Dick read and re-read the verse till his turn came, and the doctor was bending above him seated in an arm-chair.	Praise Father, Son, and Holy Ghost To all eternity! Dick read and re read the verse till his turn came, and the doctor was bending above him seated in an arm chair.	true	278.87	290.92	22.037949
4425_14497_000022_000001	The blaze of the gas-microscope in his eyes made him wince.	The blaze of the gas microscope in his eyes made him wince.	true	291.23	294.64	19.844603
4425_14497_000022_000002	The doctor's hand touched the scar of the sword-cut on Dick's head, and Dick explained briefly how he had come by it.	The doctor's hand touched the scar of the sword cut on Dick's head, and Dick explained briefly how he had come by it.	true	295.01	301.63	24.647266
4425_14497_000022_000003	When the flame was removed, Dick saw the doctor's face, and the fear came upon him again.	When the flame was removed, Dick saw the doctor's face, and the fear came upon him again.	true	302.03	307.54	23.318598
4425_14497_000022_000004	The doctor wrapped himself in a mist of words.	The doctor wrapped himself in a mist of words.	true	307.67	310.3	27.619215
4425_14497_000022_000005	Dick caught allusions to 'scar,' 'frontal bone,' 'optic nerve,' 'extreme caution,' and the 'avoidance of mental anxiety.'	Dick caught allusions to 'scar,' 'frontal bone,' 'optic nerve,' 'extreme caution,' and the 'avoidance of mental anxiety.'	false	310.37	319.09	24.856697
4425_14497_000023_000000	'Verdict?' he said faintly.	'Verdict?' he said faintly.	true	319.82	322.18	31.384008
4425_14497_000023_000001	'My business is painting, and I daren't waste time.	'My business is painting, and I daren't waste time.	true	322.67	325.455	17
4425_14497_000023_000002	What do you make of it?'	What do you make of it?'	true	325.455	326.74	36.285976
4425_14497_000024_000000	Again the whirl of words, but this time they conveyed a meaning.	Again the whirl of words, but this time they conveyed a meaning.	true	327.23	330.88	20.770937
4425_14497_000025_000000	'Can you give me anything to drink?'	'Can you give me anything to drink?'	true	331.49	333.88	32.979187
4425_14497_000026_000000	Many sentences were pronounced in that darkened room, and the prisoners often needed cheering.	Many sentences were pronounced in that darkened room, and the prisoners often needed cheering.	true	334.4	340.18	21.380108
4425_14497_000026_000001	Dick found a glass of liqueur brandy in his hand.	Dick found a glass of liqueur brandy in his hand.	true	340.55	343.3	21.281275
4425_14497_000027_000000	'As far as I can gather,' he said, coughing above the spirit, 'you call it decay of the optic nerve, or something, and therefore hopeless.	'As far as I can gather,' he said, coughing above the spirit, 'you call it decay of the optic nerve, or something, and therefore hopeless.	true	344.06	352.57	23.255995
4425_14497_000027_000001	What is my time-limit, avoiding all strain and worry?'	What is my time limit, avoiding all strain and worry?'	true	353.12	356.71	22.092516
4425_14497_000028_000000	'Perhaps one year.'	'Perhaps one year.'	true	357.11	358.72	22.445974
4425_14497_000029_000000	'My God!	'My God!	true	359.12	360	19.674742
4425_14497_000029_000001	And if I don't take care of myself?'	And if I don't take care of myself?'	true	360	362.05	26.235645
4425_14497_000030_000000	'I really could not say.	'I really could not say.	true	362.39	364.15	26.275335
4425_14497_000030_000001	One cannot ascertain the exact amount of injury inflicted by the sword-cut.	One cannot ascertain the exact amount of injury inflicted by the sword cut.	true	364.37	368.56	29.243614
4425_14497_000030_000002	The scar is an old one, and--exposure to the strong light of the desert, did you say?--with excessive application to fine work?	The scar is an old one, and-exposure to the strong light of the desert, did you say?--with excessive application to fine work?	true	368.6	376.72	25.453314
4425_14497_000030_000003	I really could not say?'	I really could not say?'	true	376.91	378.82	22.691515
4425_14497_000031_000000	'I beg your pardon, but it has come without any warning.	'I beg your pardon, but it has come without any warning.	true	379.22	382.39	21.64381
4425_14497_000031_000001	If you will let me, I'll sit here for a minute, and then I'll go.	If you will let me, I'll sit here for a minute, and then I'll go.	true	382.73	386.94	21.473284
4425_14497_000031_000002	You have been very good in telling me the truth.	You have been very good in telling me the truth.	false	386.94	389.655	22.010305
4425_14497_000031_000003	Without any warning; without any warning.	Without any warning; without any warning.	false	389.655	393.36	24.806599
4425_14497_000032_000000	Thanks.'	Thanks.'	true	393.36	394.44	19.455519
4425_14497_000033_000000	Dick went into the street, and was rapturously received by Binkie.	Dick went into the street, and was rapturously received by Binkie.	false	394.44	398.86	22.64122
4425_14497_000034_000000	'We've got it very badly, little dog!	'We've got it very badly, little dog!	true	399.17	401.67	21.260672
4425_14497_000034_000001	Just as badly as we can get it. We'll go to the Park to think it out.'	Just as badly as we can get it. We'll go to the Park to think it out.'	true	401.67	406.06	31.86182
4425_14497_000035_000000	They headed for a certain tree that Dick knew well, and they sat down to thin, because his legs were trembling under him and there was cold fear at the pit of his stomach.	They headed for a certain tree that Dick knew well, and they sat down to thin, because his legs were trembling under him and there was cold fear at the pit of his stomach.	true	406.91	416.23	23.05276
4425_14497_000036_000000	'How could it have come without any warning?	'How could it have come without any warning?	true	416.99	419.83	22.010181
4425_14497_000036_000001	It's as sudden as being shot.	It's as sudden as being shot.	false	420.14	422.17	20.169912
4425_14497_000036_000002	It's the living death, Binkie.	It's the living death, Binkie.	true	422.42	424.02	25.259403
4425_14497_000036_000003	We're to be shut up in the dark in one year if we're careful, and we shan't see anybody, and we shall never have anything we want, not though we live to be a hundred!' Binkie wagged his tail joyously.	We're to be shut up in the dark in one year if we're careful, and we shan't see anybody, and we shall never have anything we want, not though we live to be a hundred!' Binkie wagged his tail joyously.	false	424.02	436.29	23.455296
4425_14497_000036_000004	'Binkie, we must think.	'Binkie, we must think.	true	436.29	438.46	30.631546
4425_14497_000036_000005	Let's see how it feels to be blind.' Dick shut his eyes, and flaming commas and Catherine-wheels floated inside the lids.	Let's see how it feels to be blind.' Dick shut his eyes, and flaming commas and Catherine wheels floated inside the lids.	true	438.65	447.07	21.415615
4425_14497_000036_000006	Yet when he looked across the Park the scope of his vision was not contracted.	Yet when he looked across the Park the scope of his vision was not contracted.	true	447.23	451.69	29.025146
4425_14497_000036_000007	He could see perfectly, until a procession of slow-wheeling fireworks defiled across his eyeballs.	He could see perfectly, until a procession of slow wheeling fireworks defiled across his eyeballs.	true	451.79	458.11	24.925611
4425_14497_000037_000000	'Little dorglums, we aren't at all well.	'Little dorglums, we aren't at all well.	true	458.33	460.9	20.6733
4425_14497_000037_000001	Let's go home.	Let's go home.	true	460.94	462.04	20.199348
4425_14497_000037_000002	If only Torp were back, now!'	If only Torp were back, now!'	true	462.29	464.68	25.212505
4425_14497_000038_000000	But Torpenhow was in the south of England, inspecting dockyards in the company of the Nilghai.	But Torpenhow was in the south of England, inspecting dockyards in the company of the Nilghai.	false	465.26	470.83	22.322638
4425_14497_000038_000001	His letters were brief and full of mystery.	His letters were brief and full of mystery.	true	470.93	473.44	21.719444
4425_14497_000039_000000	Dick had never asked anybody to help him in his joys or his sorrows.	Dick had never asked anybody to help him in his joys or his sorrows.	true	473.99	477.73	19
4425_14497_000039_000001	He argued, in the loneliness of his studio, henceforward to be decorated with a film of gray gauze in one corner, that, if his fate were blindness, all the Torpenhows in the world could not save him.	He argued, in the loneliness of his studio, henceforward to be decorated with a film of gray gauze in one corner, that, if his fate were blindness, all the Torpenhows in the world could not save him.	true	477.89	489.49	24.105143
4425_14497_000039_000002	'I can't call him off his trip to sit down and sympathise with me.	'I can't call him off his trip to sit down and sympathise with me.	true	489.86	493.24	21
4425_14497_000039_000003	I must pull through this business alone,' he said.	I must pull through this business alone,' he said.	true	493.64	496	21.234154
4425_14497_000039_000004	He was lying on the sofa, eating his moustache and wondering what the darkness of the night would be like.	He was lying on the sofa, eating his moustache and wondering what the darkness of the night would be like.	true	496.22	501.79	23.713175
4425_14497_000039_000005	Then came to his mind the memory of a quaint scene in the Soudan. A soldier had been nearly hacked in two by a broad-bladed Arab spear. For one instant the man felt no pain.	Then came to his mind the memory of a quaint scene in the Soudan. A soldier had been nearly hacked in two by a broad bladed Arab spear. For one instant the man felt no pain.	false	502.04	513.67	21.211494
4425_14497_000039_000006	Looking down, he saw that his life-blood was going from him.	Looking down, he saw that his life blood was going from him.	true	514.13	517.6	25.416073
4425_14497_000039_000007	The stupid bewilderment on his face was so intensely comic that both Dick and Torpenhow, still panting and unstrung from a fight for life, had roared with laughter, in which the man seemed as if he would join, but, as his lips parted in a sheepish grin, the agony of death came upon him, and he pitched grunting at their feet.	The stupid bewilderment on his face was so intensely comic that both Dick and Torpenhow, still panting and unstrung from a fight for life, had roared with laughter, in which the man seemed as if he would join, but, as his lips parted in a sheepish grin, the agony of death came upon him, and he pitched grunting at their feet.	true	517.94	539.47	22.886856
4425_14497_000039_000008	Dick laughed again, remembering the horror.	Dick laughed again, remembering the horror.	true	539.96	542.44	21.378307
4425_14497_000039_000009	It seemed so exactly like his own case.	It seemed so exactly like his own case.	true	542.78	545.74	26.04403
4425_14497_000040_000000	'But I have a little more time allowed me,' he said.	'But I have a little more time allowed me,' he said.	true	546.2	548.74	25.061163
4425_14497_000040_000001	He paced up and down the room, quietly at first, but afterwards with the hurried feet of fear.	He paced up and down the room, quietly at first, but afterwards with the hurried feet of fear.	true	548.99	555.07	20.771662
4425_14497_000040_000002	It was as though a black shadow stood at his elbow and urged him to go forward; and there were only weaving circles and floating pin-dots before his eyes.	It was as though a black shadow stood at his elbow and urged him to go forward; and there were only weaving circles and floating pin dots before his eyes.	true	555.53	565.21	20.511576
4425_14497_000041_000000	'We need to be calm, Binkie; we must be calm.' He talked aloud for the sake of distraction.	'We need to be calm, Binkie; we must be calm.' He talked aloud for the sake of distraction.	true	565.61	572.53	25.681852
4425_14497_000041_000001	'This isn't nice at all.	'This isn't nice at all.	true	572.63	573.825	18.617922
4425_14497_000041_000002	What shall we do?	What shall we do?	true	573.825	574.93	19.589045
4425_14497_000041_000003	We must do something.	We must do something.	true	575.15	576.225	24
4425_14497_000041_000004	Our time is short.	Our time is short.	true	576.225	577.47	29.338087
4425_14497_000041_000005	I shouldn't have believed that this morning; but now things are different.	I shouldn't have believed that this morning; but now things are different.	true	577.47	581.58	22.218401
4425_14497_000041_000006	Binkie, where was Moses when the light went out?'	Binkie, where was Moses when the light went out?'	true	581.58	585.07	19.518877
4425_14497_000042_000000	Binkie smiled from ear to ear, as a well-bred terrier should, but made no suggestion.	Binkie smiled from ear to ear, as a well bred terrier should, but made no suggestion.	true	585.56	591.06	21.603312
4425_14497_000043_000000	'"Were there but world enough and time, This coyness, Binkie, were not crime....	'"Were there but world enough and time, This coyness, Binkie, were not crime....	false	591.06	596.22	22.840794
4425_14497_000043_000001	But at my back I always hear----"' He wiped his forehead, which was unpleasantly damp.	But at my back I always hear----"' He wiped his forehead, which was unpleasantly damp.	false	596.22	602.5	23.238167
4425_14497_000043_000002	'What can I do?	'What can I do?	true	602.51	603.675	25
4425_14497_000043_000003	What can I do?	What can I do?	true	603.675	604.99	27.994717
4425_14497_000043_000004	I haven't any notions left, and I can't think connectedly, but I must do something, or I shall go off my head.'	I haven't any notions left, and I can't think connectedly, but I must do something, or I shall go off my head.'	false	605.39	612.67	23.479588
4425_14497_000044_000000	The hurried walk recommenced, Dick stopping every now and again to drag forth long-neglected canvases and old note-books; for he turned to his work by instinct, as a thing that could not fail.	The hurried walk recommenced, Dick stopping every now and again to drag forth long neglected canvases and old note books; for he turned to his work by instinct, as a thing that could not fail.	false	613.46	625.62	26.947672
4425_14497_000044_000001	'You won't do, and you won't do,' he said, at each inspection.	'You won't do, and you won't do,' he said, at each inspection.	true	625.62	629.13	23.437756
4425_14497_000044_000002	'No more soldiers.	'No more soldiers.	false	629.13	630.825	21.414299
4425_14497_000044_000003	I couldn't paint 'em.	I couldn't paint 'em.	false	630.825	632.49	32.630302
4425_14497_000044_000004	Sudden death comes home too nearly, and this is battle and murder for me.'	Sudden death comes home too nearly, and this is battle and murder for me.'	true	632.49	637.54	22.175207
4425_14497_000045_000000	The day was failing, and Dick thought for a moment that the twilight of the blind had come upon him unaware.	The day was failing, and Dick thought for a moment that the twilight of the blind had come upon him unaware.	false	638.18	643.75	23
4425_14497_000045_000001	'Allah Almighty!' he cried despairingly, 'help me through the time of waiting, and I won't whine when my punishment comes.	'Allah Almighty!' he cried despairingly, 'help me through the time of waiting, and I won't whine when my punishment comes.	true	643.94	650.65	20.538185
4425_14497_000045_000002	What can I do now, before the light goes?'	What can I do now, before the light goes?'	true	650.72	653.35	22.60868
4425_14497_000046_000000	There was no answer.	There was no answer.	true	653.48	654.79	23.700312
4425_14497_000046_000001	Dick waited till he could regain some sort of control over himself.	Dick waited till he could regain some sort of control over himself.	true	655.1	658.69	22.919495
4425_14497_000046_000002	His hands were shaking, and he prided himself on their steadiness; he could feel that his lips were quivering, and the sweat was running down his face.	His hands were shaking, and he prided himself on their steadiness; he could feel that his lips were quivering, and the sweat was running down his face.	true	658.76	667.45	25.550917
4425_14497_000046_000003	He was lashed by fear, driven forward by the desire to get to work at once and accomplish something, and maddened by the refusal of his brain to do more than repeat the news that he was about to go blind.	He was lashed by fear, driven forward by the desire to get to work at once and accomplish something, and maddened by the refusal of his brain to do more than repeat the news that he was about to go blind.	true	667.52	679.09	24.183676
4425_14497_000046_000004	'It's a humiliating exhibition,' he thought, 'and I'm glad Torp isn't here to see.	'It's a humiliating exhibition,' he thought, 'and I'm glad Torp isn't here to see.	true	679.34	683.8	24.630222
4425_14497_000046_000005	The doctor said I was to avoid mental worry.	The doctor said I was to avoid mental worry.	true	684.05	686.98	27.330153
4425_14497_000047_000000	Come here and let me pet you, Binkie.'	Come here and let me pet you, Binkie.'	true	687.11	688.9	33.771072
4425_14497_000048_000000	The little dog yelped because Dick nearly squeezed the bark out of him.	The little dog yelped because Dick nearly squeezed the bark out of him.	false	689.12	692.91	30.556473
4425_14497_000049_000000	Then he heard the man speaking in the twilight, and, doglike, understood that his trouble stood off from him--'Allah is good, Binkie.	Then he heard the man speaking in the twilight, and, doglike, understood that his trouble stood off from him-'Allah is good, Binkie.	false	692.91	700.66	24.090069
4425_14497_000049_000001	Not quite so gentle as we could wish, but we'll discuss that later.	Not quite so gentle as we could wish, but we'll discuss that later.	true	700.91	705.25	24.014368
4425_14497_000049_000002	I think I see my way to it now.	I think I see my way to it now.	true	705.44	707.44	29
4425_14497_000049_000003	All those studies of Bessie's head were nonsense, and they nearly brought your master into a scrape.	All those studies of Bessie's head were nonsense, and they nearly brought your master into a scrape.	true	707.81	713.35	22.689764
4425_14497_000049_000004	I hold the notion now as clear as crystal,--"the Melancolia that transcends all wit." There shall be Maisie in that head, because I shall never get Maisie; and Bess, of course, because she knows all about Melancolia, though she doesn't know she knows; and there shall be some drawing in it, and it shall all end up with a laugh.	I hold the notion now as clear as crystal,--"the Melancolia that transcends all wit." There shall be Maisie in that head, because I shall never get Maisie; and Bess, of course, because she knows all about Melancolia, though she doesn't know she knows; and there shall be some drawing in it, and it shall all end up with a laugh.	true	713.45	733.24	19.572626
4425_14497_000049_000005	That's for myself.	That's for myself.	true	733.31	734.68	26.463753
4425_14497_000049_000006	Shall she giggle or grin?	Shall she giggle or grin?	true	734.72	736.45	19.589376
4425_14497_000049_000007	No, she shall laugh right out of the canvas, and every man and woman that ever had a sorrow of their own shall--what is it the poem says?--	No, she shall laugh right out of the canvas, and every man and woman that ever had a sorrow of their own shall-what is it the poem says?--	false	736.85	744.315	22.298182
4425_14497_000050_000000	'Understand the speech and feel a stir Of fellowship in all disastrous fight. "In all disastrous fight"?	'Understand the speech and feel a stir Of fellowship in all disastrous fight. "In all disastrous fight"?	true	744.315	752.62	24.132334
4425_14497_000050_000001	That's better than painting the thing merely to pique Maisie.	That's better than painting the thing merely to pique Maisie.	true	752.87	755.71	31.337969
4425_14497_000050_000002	I can do it now because I have it inside me.	I can do it now because I have it inside me.	true	756.05	759.01	23.115017
4425_14497_000050_000003	Binkie, I'm going to hold you up by your tail.	Binkie, I'm going to hold you up by your tail.	false	759.14	761.715	24
4425_14497_000050_000004	You're an omen.	You're an omen.	true	761.715	762.585	19.76356
4425_14497_000050_000005	Come here.'	Come here.'	true	762.585	763.75	20.147005
4425_14497_000051_000000	Binkie swung head downward for a moment without speaking.	Binkie swung head downward for a moment without speaking.	true	764.06	767.35	29.402592
4425_14497_000052_000000	'Rather like holding a guinea-pig; but you're a brave little dog, and you don't yelp when you're hung up.	'Rather like holding a guinea pig; but you're a brave little dog, and you don't yelp when you're hung up.	true	767.48	772.84	24.738255
4425_14497_000052_000001	It is an omen.'	It is an omen.'	true	772.91	774.49	18.408112
4425_14497_000053_000000	Binkie went to his own chair, and as often as he looked saw Dick walking up and down, rubbing his hands and chuckling.	Binkie went to his own chair, and as often as he looked saw Dick walking up and down, rubbing his hands and chuckling.	true	775.34	781.87	24.129354
4425_14497_000053_000001	That night Dick wrote a letter to Maisie full of the tenderest regard for her health, but saying very little about his own, and dreamed of the Melancolia to be born.	That night Dick wrote a letter to Maisie full of the tenderest regard for her health, but saying very little about his own, and dreamed of the Melancolia to be born.	true	782	791.56	21.744799
4425_14497_000053_000002	Not till morning did he remember that something might happen to him in the future.	Not till morning did he remember that something might happen to him in the future.	true	791.69	795.79	25.155422
4425_14497_000054_000000	He fell to work, whistling softly, and was swallowed up in the clean, clear joy of creation, which does not come to man too often, lest he should consider himself the equal of his God, and so refuse to die at the appointed time.	He fell to work, whistling softly, and was swallowed up in the clean, clear joy of creation, which does not come to man too often, lest he should consider himself the equal of his God, and so refuse to die at the appointed time.	true	796.46	810.58	27.353981
4425_14497_000054_000001	He forgot Maisie, Torpenhow, and Binkie at his feet, but remembered to stir Bessie, who needed very little stirring, into a tremendous rage, that he might watch the smouldering lights in her eyes.	He forgot Maisie, Torpenhow, and Binkie at his feet, but remembered to stir Bessie, who needed very little stirring, into a tremendous rage, that he might watch the smouldering lights in her eyes.	true	810.68	823.24	21.464722
4425_14497_000055_000000	He threw himself without reservation into his work, and did not think of the doom that was to overtake him, for he was possessed with his notion, and the things of this world had no power upon him.	He threw himself without reservation into his work, and did not think of the doom that was to overtake him, for he was possessed with his notion, and the things of this world had no power upon him.	true	823.52	834.67	21.880371
4425_14497_000056_000000	'You're pleased to-day,' said Bessie.	'You're pleased to day,' said Bessie.	true	835.25	837.67	23.164606
4425_14497_000057_000000	Dick waved his mahl-stick in mystic circles and went to the sideboard for a drink.	Dick waved his mahl stick in mystic circles and went to the sideboard for a drink.	true	837.98	842.68	23.348457
4425_14497_000057_000001	In the evening, when the exaltation of the day had died down, he went to the sideboard again, and after some visits became convinced that the eye-doctor was a liar, since he could still see everything very clearly.	In the evening, when the exaltation of the day had died down, he went to the sideboard again, and after some visits became convinced that the eye doctor was a liar, since he could still see everything very clearly.	false	842.96	855.61	22.65907
4425_14497_000058_000000	He was of opinion that he would even make a home for Maisie, and that whether she liked it or not she should be his wife.	He was of opinion that he would even make a home for Maisie, and that whether she liked it or not she should be his wife.	false	855.71	862.36	23.775883
4425_14497_000058_000001	The mood passed next morning, but the sideboard and all upon it remained for his comfort.	The mood passed next morning, but the sideboard and all upon it remained for his comfort.	false	862.52	867.91	26.467216
