4425_14497_000001_000000	CHAPTER X	CHAPTER ten
4425_14497_000042_000000	Binkie smiled from ear to ear, as a well-bred terrier should, but made no suggestion.	Binkie smiled from ear to ear, as a well bred terrier should, but made no suggestion.
4425_14497_000043_000002	'What can I do?	'What can I do?
4425_14497_000043_000003	What can I do?	What can I do?
4425_14497_000044_000001	'You won't do, and you won't do,' he said, at each inspection.	'You won't do, and you won't do,' he said, at each inspection.
4425_14497_000044_000004	Sudden death comes home too nearly, and this is battle and murder for me.'	Sudden death comes home too nearly, and this is battle and murder for me.'
4425_14497_000045_000001	'Allah Almighty!' he cried despairingly, 'help me through the time of waiting, and I won't whine when my punishment comes.	'Allah Almighty!' he cried despairingly, 'help me through the time of waiting, and I won't whine when my punishment comes.
4425_14497_000045_000002	What can I do now, before the light goes?'	What can I do now, before the light goes?'
4425_14497_000046_000000	There was no answer.	There was no answer.
4425_14497_000046_000001	Dick waited till he could regain some sort of control over himself.	Dick waited till he could regain some sort of control over himself.
4425_14497_000046_000002	His hands were shaking, and he prided himself on their steadiness; he could feel that his lips were quivering, and the sweat was running down his face.	His hands were shaking, and he prided himself on their steadiness; he could feel that his lips were quivering, and the sweat was running down his face.
4425_14497_000046_000003	He was lashed by fear, driven forward by the desire to get to work at once and accomplish something, and maddened by the refusal of his brain to do more than repeat the news that he was about to go blind.	He was lashed by fear, driven forward by the desire to get to work at once and accomplish something, and maddened by the refusal of his brain to do more than repeat the news that he was about to go blind.
4425_14497_000046_000004	'It's a humiliating exhibition,' he thought, 'and I'm glad Torp isn't here to see.	'It's a humiliating exhibition,' he thought, 'and I'm glad Torp isn't here to see.
4425_14497_000046_000005	The doctor said I was to avoid mental worry.	The doctor said I was to avoid mental worry.
4425_14497_000047_000000	Come here and let me pet you, Binkie.'	Come here and let me pet you, Binkie.'
4425_14497_000049_000001	Not quite so gentle as we could wish, but we'll discuss that later.	Not quite so gentle as we could wish, but we'll discuss that later.
4425_14497_000049_000002	I think I see my way to it now.	I think I see my way to it now.
4425_14497_000049_000003	All those studies of Bessie's head were nonsense, and they nearly brought your master into a scrape.	All those studies of Bessie's head were nonsense, and they nearly brought your master into a scrape.
4425_14497_000049_000005	That's for myself.	That's for myself.
4425_14497_000050_000000	'Understand the speech and feel a stir Of fellowship in all disastrous fight. "In all disastrous fight"?	'Understand the speech and feel a stir Of fellowship in all disastrous fight. "In all disastrous fight"?
4425_14497_000050_000001	That's better than painting the thing merely to pique Maisie.	That's better than painting the thing merely to pique Maisie.
4425_14497_000050_000002	I can do it now because I have it inside me.	I can do it now because I have it inside me.
4425_14497_000050_000005	Come here.'	Come here.'
4425_14497_000051_000000	Binkie swung head downward for a moment without speaking.	Binkie swung head downward for a moment without speaking.
4425_14497_000052_000000	'Rather like holding a guinea-pig; but you're a brave little dog, and you don't yelp when you're hung up.	'Rather like holding a guinea pig; but you're a brave little dog, and you don't yelp when you're hung up.
4425_14497_000053_000000	Binkie went to his own chair, and as often as he looked saw Dick walking up and down, rubbing his hands and chuckling.	Binkie went to his own chair, and as often as he looked saw Dick walking up and down, rubbing his hands and chuckling.
4425_14497_000053_000001	That night Dick wrote a letter to Maisie full of the tenderest regard for her health, but saying very little about his own, and dreamed of the Melancolia to be born.	That night Dick wrote a letter to Maisie full of the tenderest regard for her health, but saying very little about his own, and dreamed of the Melancolia to be born.
4425_14497_000053_000002	Not till morning did he remember that something might happen to him in the future.	Not till morning did he remember that something might happen to him in the future.
4425_14497_000054_000000	He fell to work, whistling softly, and was swallowed up in the clean, clear joy of creation, which does not come to man too often, lest he should consider himself the equal of his God, and so refuse to die at the appointed time.	He fell to work, whistling softly, and was swallowed up in the clean, clear joy of creation, which does not come to man too often, lest he should consider himself the equal of his God, and so refuse to die at the appointed time.
4425_14497_000054_000001	He forgot Maisie, Torpenhow, and Binkie at his feet, but remembered to stir Bessie, who needed very little stirring, into a tremendous rage, that he might watch the smouldering lights in her eyes.	He forgot Maisie, Torpenhow, and Binkie at his feet, but remembered to stir Bessie, who needed very little stirring, into a tremendous rage, that he might watch the smouldering lights in her eyes.
4425_14497_000055_000000	He threw himself without reservation into his work, and did not think of the doom that was to overtake him, for he was possessed with his notion, and the things of this world had no power upon him.	He threw himself without reservation into his work, and did not think of the doom that was to overtake him, for he was possessed with his notion, and the things of this world had no power upon him.
4425_14497_000056_000000	'You're pleased to-day,' said Bessie.	'You're pleased to day,' said Bessie.
4425_14497_000057_000000	Dick waved his mahl-stick in mystic circles and went to the sideboard for a drink.	Dick waved his mahl stick in mystic circles and went to the sideboard for a drink.
4425_14497_000059_000001	There was a delightful sense of irresponsibility upon him, such as they feel who walking among their fellow-men know that the death-sentence of disease is upon them, and, seeing that fear is but waste of the little time left, are riotously happy.	There was a delightful sense of irresponsibility upon him, such as they feel who walking among their fellow men know that the death sentence of disease is upon them, and, seeing that fear is but waste of the little time left, are riotously happy.
4425_14497_000059_000002	The days passed without event.	The days passed without event.
4425_14497_000060_000001	The Melancolia began to flame on the canvas, in the likeness of a woman who had known all the sorrow in the world and was laughing at it.	The Melancolia began to flame on the canvas, in the likeness of a woman who had known all the sorrow in the world and was laughing at it.
4425_14497_000060_000002	It was true that the corners of the studio draped themselves in gray film and retired into the darkness, that the spots in his eyes and the pains across his head were very troublesome, and that Maisie's letters were hard to read and harder still to answer.	It was true that the corners of the studio draped themselves in gray film and retired into the darkness, that the spots in his eyes and the pains across his head were very troublesome, and that Maisie's letters were hard to read and harder still to answer.
4425_14497_000060_000003	He could not tell her of his trouble, and he could not laugh at her accounts of her own Melancolia which was always going to be finished.	He could not tell her of his trouble, and he could not laugh at her accounts of her own Melancolia which was always going to be finished.
4425_14497_000060_000004	But the furious days of toil and the nights of wild dreams made amends for all, and the sideboard was his best friend on earth.	But the furious days of toil and the nights of wild dreams made amends for all, and the sideboard was his best friend on earth.
4425_14497_000061_000001	She used to shriek with rage when Dick stared at her between half-closed eyes.	She used to shriek with rage when Dick stared at her between half closed eyes.
4425_14497_000062_000000	Torpenhow had been absent for six weeks.	Torpenhow had been absent for six weeks.
4425_14497_000062_000001	An incoherent note heralded his return.	An incoherent note heralded his return.
4425_14497_000062_000002	'News! great news!' he wrote.	'News! great news!' he wrote.
4425_14497_000062_000003	'The Nilghai knows, and so does the Keneu.	'The Nilghai knows, and so does the Keneu.
4425_14497_000062_000004	We're all back on Thursday.	We're all back on Thursday.
4425_14497_000062_000005	Get lunch and clean your accoutrements.'	Get lunch and clean your accoutrements.'
4425_14497_000063_000000	Dick showed Bessie the letter, and she abused him for that he had ever sent Torpenhow away and ruined her life.	Dick showed Bessie the letter, and she abused him for that he had ever sent Torpenhow away and ruined her life.
4425_14497_000064_000000	'Well,' said Dick, brutally, 'you're better as you are, instead of making love to some drunken beast in the street.' He felt that he had rescued Torpenhow from great temptation.	'Well,' said Dick, brutally, 'you're better as you are, instead of making love to some drunken beast in the street.' He felt that he had rescued Torpenhow from great temptation.
4425_14497_000065_000000	'I don't know if that's any worse than sitting to a drunken beast in a studio.	'I don't know if that's any worse than sitting to a drunken beast in a studio.
4425_14497_000065_000001	You haven't been sober for three weeks.	You haven't been sober for three weeks.
4425_14497_000066_000000	'What d'you mean?' said Dick.	'What d'you mean?' said Dick.
4425_14497_000067_000000	'Mean!	'Mean!
4425_14497_000067_000001	You'll see when Mr. Torpenhow comes back.'	You'll see when mr Torpenhow comes back.'
4425_14497_000068_000000	It was not long to wait.	It was not long to wait.
4425_14497_000068_000001	Torpenhow met Bessie on the staircase without a sign of feeling.	Torpenhow met Bessie on the staircase without a sign of feeling.
4425_14497_000069_000000	'Drinking like a fish,' Bessie whispered.	'Drinking like a fish,' Bessie whispered.
4425_14497_000069_000001	'He's been at it for nearly a month.' She followed the men stealthily to hear judgment done.	'He's been at it for nearly a month.' She followed the men stealthily to hear judgment done.
4425_14497_000070_000000	They came into the studio, rejoicing, to be welcomed over effusively by a drawn, lined, shrunken, haggard wreck,--unshaven, blue-white about the nostrils, stooping in the shoulders, and peering under his eyebrows nervously.	They came into the studio, rejoicing, to be welcomed over effusively by a drawn, lined, shrunken, haggard wreck,--unshaven, blue white about the nostrils, stooping in the shoulders, and peering under his eyebrows nervously.
4425_14497_000070_000001	The drink had been at work as steadily as Dick.	The drink had been at work as steadily as Dick.
4425_14497_000071_000000	'Is this you?' said Torpenhow.	'Is this you?' said Torpenhow.
4425_14497_000072_000000	'All that's left of me.	'All that's left of me.
4425_14497_000072_000001	Sit down.	Sit down.
4425_14497_000072_000002	Binkie's quite well, and I've been doing some good work.' He reeled where he stood.	Binkie's quite well, and I've been doing some good work.' He reeled where he stood.
4425_14497_000074_000000	Torpenhow turned to his companions appealingly, and they left the room to find lunch elsewhere.	Torpenhow turned to his companions appealingly, and they left the room to find lunch elsewhere.
4425_14497_000074_000002	After a time the culprit began to feel the need of a little self-respect.	After a time the culprit began to feel the need of a little self respect.
4425_14497_000074_000003	He was quite sure that he had not in any way departed from virtue, and there were reasons, too, of which Torpenhow knew nothing.	He was quite sure that he had not in any way departed from virtue, and there were reasons, too, of which Torpenhow knew nothing.
4425_14497_000074_000004	He would explain.	He would explain.
4425_14497_000075_000000	He rose, tried to straighten his shoulders, and spoke to the face he could hardly see.	He rose, tried to straighten his shoulders, and spoke to the face he could hardly see.
4425_14497_000076_000001	'But I am right, too.	'But I am right, too.
4425_14497_000076_000002	After you went away I had some trouble with my eyes.	After you went away I had some trouble with my eyes.
4425_14497_000076_000003	So I went to an oculist, and he turned a gasogene--I mean a gas-engine--into my eye.	So I went to an oculist, and he turned a gasogene-I mean a gas engine-into my eye.
4425_14497_000076_000005	He said, "Scar on the head,--sword-cut and optic nerve." Make a note of that.	He said, "Scar on the head,--sword cut and optic nerve." Make a note of that.
4425_14497_000076_000006	So I am going blind.	So I am going blind.
4425_14497_000076_000007	I have some work to do before I go blind, and I suppose that I must do it.	I have some work to do before I go blind, and I suppose that I must do it.
4425_14497_000076_000008	I cannot see much now, but I can see best when I am drunk.	I cannot see much now, but I can see best when I am drunk.
4425_14497_000076_000009	I did not know I was drunk till I was told, but I must go on with my work.	I did not know I was drunk till I was told, but I must go on with my work.
4425_14497_000077_000000	Torpenhow said nothing, and Dick began to whimper feebly, for joy at seeing Torpenhow again, for grief at misdeeds--if indeed they were misdeeds--that made Torpenhow remote and unsympathetic, and for childish vanity hurt, since Torpenhow had not given a word of praise to his wonderful picture.	Torpenhow said nothing, and Dick began to whimper feebly, for joy at seeing Torpenhow again, for grief at misdeeds-if indeed they were misdeeds-that made Torpenhow remote and unsympathetic, and for childish vanity hurt, since Torpenhow had not given a word of praise to his wonderful picture.
4425_14497_000078_000000	Bessie looked through the keyhole after a long pause, and saw the two walking up and down as usual, Torpenhow's hand on Dick's shoulder.	Bessie looked through the keyhole after a long pause, and saw the two walking up and down as usual, Torpenhow's hand on Dick's shoulder.
