7139_75360_000002_000000	[Sidenote: Primacy of nature over spirit.]	[Sidenote: Primacy of nature over spirit.]
7139_75360_000007_000000	Consciousness is not ideal merely in its highest phases; it is ideal through and through.	Consciousness is not ideal merely in its highest phases; it is ideal through and through.
7139_75360_000007_000002	It sees even nature from the point of view of ideal interests, and measures the flux of things by ideal standards.	It sees even nature from the point of view of ideal interests, and measures the flux of things by ideal standards.
7139_75360_000007_000003	It registers its own movement, like that of its objects, entirely in ideal terms, looking to fixed goals of its own imagining, and using nothing in the operation but concretions in discourse.	It registers its own movement, like that of its objects, entirely in ideal terms, looking to fixed goals of its own imagining, and using nothing in the operation but concretions in discourse.
7139_75360_000007_000004	Primary mathematical notions, for instance, are evidences of a successful reactive method attained in the organism and translated in consciousness into a stable grammar which has wide applicability and great persistence, so that it has come to be elaborated ideally into prodigious abstract systems of thought.	Primary mathematical notions, for instance, are evidences of a successful reactive method attained in the organism and translated in consciousness into a stable grammar which has wide applicability and great persistence, so that it has come to be elaborated ideally into prodigious abstract systems of thought.
7139_75360_000007_000005	Every experience of victory, eloquence, or beauty is a momentary success of the same kind, and if repeated and sustained becomes a spiritual possession.	Every experience of victory, eloquence, or beauty is a momentary success of the same kind, and if repeated and sustained becomes a spiritual possession.
7139_75360_000009_000001	At first it establishes affections between beings naturally conjoined in the world; later it grows sensitive to free and spiritual affinities, to oneness of mind and sympathetic purposes.	At first it establishes affections between beings naturally conjoined in the world; later it grows sensitive to free and spiritual affinities, to oneness of mind and sympathetic purposes.
7139_75360_000009_000002	These ideal affinities, although grounded like the others on material relations (for sympathy presupposes communication), do not have those relations for their theme but rest on them merely as on a pedestal from which they look away to their own realm, as music, while sustained by vibrating instruments, looks away from them to its own universe of sound.	These ideal affinities, although grounded like the others on material relations (for sympathy presupposes communication), do not have those relations for their theme but rest on them merely as on a pedestal from which they look away to their own realm, as music, while sustained by vibrating instruments, looks away from them to its own universe of sound.
7139_75360_000010_000000	[Sidenote: The self an ideal.]	[Sidenote: The self an ideal.]
7139_75360_000011_000000	Ideal society is a drama enacted exclusively in the imagination.	Ideal society is a drama enacted exclusively in the imagination.
7139_75360_000011_000001	Its personages are all mythical, beginning with that brave protagonist who calls himself I and speaks all the soliloquies.	Its personages are all mythical, beginning with that brave protagonist who calls himself I and speaks all the soliloquies.
7139_75360_000011_000002	When most nearly material these personages are human souls--the ideal life of particular bodies--or floating mortal reputations--echoes of those ideal lives in one another.	When most nearly material these personages are human souls-the ideal life of particular bodies-or floating mortal reputations-echoes of those ideal lives in one another.
7139_75360_000011_000003	From this relative substantiality they fade into notions of country, posterity, humanity, and the gods.	From this relative substantiality they fade into notions of country, posterity, humanity, and the gods.
7139_75360_000011_000004	These figures all represent some circle of events or forces in the real world; but such representation, besides being mythical, is usually most inadequate.	These figures all represent some circle of events or forces in the real world; but such representation, besides being mythical, is usually most inadequate.
7139_75360_000011_000005	The boundaries of that province which each spirit presides over are vaguely drawn, the spirit itself being correspondingly indefinite.	The boundaries of that province which each spirit presides over are vaguely drawn, the spirit itself being correspondingly indefinite.
7139_75360_000011_000006	This ambiguity is most conspicuous, perhaps, in the most absorbing of the personages which a man constructs in this imaginative fashion--his idea of himself.	This ambiguity is most conspicuous, perhaps, in the most absorbing of the personages which a man constructs in this imaginative fashion-his idea of himself.
7139_75360_000011_000007	"There is society where none intrudes;" and for most men sympathy with their imaginary selves is a powerful and dominant emotion. True memory offers but a meagre and interrupted vista of past experience, yet even that picture is far too rich a term for mental discourse to bandy about; a name with a few physical and social connotations is what must represent the man to his own thinkings.	"There is society where none intrudes;" and for most men sympathy with their imaginary selves is a powerful and dominant emotion. True memory offers but a meagre and interrupted vista of past experience, yet even that picture is far too rich a term for mental discourse to bandy about; a name with a few physical and social connotations is what must represent the man to his own thinkings.
7139_75360_000011_000008	Or rather it is no memory, however eviscerated, that fulfils that office.	Or rather it is no memory, however eviscerated, that fulfils that office.
7139_75360_000012_000000	[Sidenote: Romantic egotism.]	[Sidenote: Romantic egotism.]
7139_75360_000013_000000	The more reflective and self-conscious a man is the more completely will his experience be subsumed and absorbed in his perennial "I." If philosophy has come to reinforce this reflective egotism, he may even regard all nature as nothing but his half-voluntary dream and encourage himself thereby to give even to the physical world a dramatic and sentimental colour.	The more reflective and self conscious a man is the more completely will his experience be subsumed and absorbed in his perennial "I." If philosophy has come to reinforce this reflective egotism, he may even regard all nature as nothing but his half voluntary dream and encourage himself thereby to give even to the physical world a dramatic and sentimental colour.
7139_75360_000013_000001	But the more successful he is in stuffing everything into his self-consciousness, the more desolate will the void become which surrounds him.	But the more successful he is in stuffing everything into his self consciousness, the more desolate will the void become which surrounds him.
7139_75360_000013_000002	For self is, after all, but one term in a primitive dichotomy and would lose its specific and intimate character were it no longer contrasted with anything else.	For self is, after all, but one term in a primitive dichotomy and would lose its specific and intimate character were it no longer contrasted with anything else.
7139_75360_000013_000004	Sometimes, if his imagination is sensuous, his alter-egos are incarnate in the landscape, and he creates a poetic mythology; sometimes, when the inner life predominates, they are projected into his own forgotten past or infinite future.	Sometimes, if his imagination is sensuous, his alter egos are incarnate in the landscape, and he creates a poetic mythology; sometimes, when the inner life predominates, they are projected into his own forgotten past or infinite future.
7139_75360_000013_000005	He will then say that all experience is really his own and that some inexplicable illusion has momentarily raised opaque partitions in his omniscient mind.	He will then say that all experience is really his own and that some inexplicable illusion has momentarily raised opaque partitions in his omniscient mind.
7139_75360_000014_000000	[Sidenote: Vanity.]	[Sidenote: Vanity.]
7139_75360_000015_000000	Philosophers less pretentious and more worldly than these have sometimes felt, in their way, the absorbing force of self-consciousness.	Philosophers less pretentious and more worldly than these have sometimes felt, in their way, the absorbing force of self consciousness.
7139_75360_000015_000003	Interest in one's own social figure is to some extent a material interest, for other men's love or aversion is a principle read into their acts; and a social animal like man is dependent on other men's acts for his happiness.	Interest in one's own social figure is to some extent a material interest, for other men's love or aversion is a principle read into their acts; and a social animal like man is dependent on other men's acts for his happiness.
7139_75360_000015_000004	An individual's concern for the attitude society takes toward him is therefore in the first instance concern for his own practical welfare.	An individual's concern for the attitude society takes toward him is therefore in the first instance concern for his own practical welfare.
7139_75360_000015_000005	But imagination here refines upon worldly interest. What others think of us would be of little moment did it not, when known, so deeply tinge what we think of ourselves.	But imagination here refines upon worldly interest. What others think of us would be of little moment did it not, when known, so deeply tinge what we think of ourselves.
7139_75360_000016_000001	The passions grafted on wounded pride are the most inveterate; they are green and vigorous in old age.	The passions grafted on wounded pride are the most inveterate; they are green and vigorous in old age.
7139_75360_000016_000002	We crave support in vanity, as we do in religion, and never forgive contradictions in that sphere; for however persistent and passionate such prejudices may be, we know too well that they are woven of thin air.	We crave support in vanity, as we do in religion, and never forgive contradictions in that sphere; for however persistent and passionate such prejudices may be, we know too well that they are woven of thin air.
7139_75360_000016_000003	A hostile word, by starting a contrary imaginative current, buffets them rudely and threatens to dissolve their being.	A hostile word, by starting a contrary imaginative current, buffets them rudely and threatens to dissolve their being.
7139_75360_000018_000001	It is a passion easy to deride but hard to understand, and in men who live at all by imagination almost impossible to eradicate.	It is a passion easy to deride but hard to understand, and in men who live at all by imagination almost impossible to eradicate.
7139_75360_000018_000002	The good opinion of posterity can have no possible effect on our fortunes, and the practical value which reputation may temporarily have is quite absent in posthumous fame.	The good opinion of posterity can have no possible effect on our fortunes, and the practical value which reputation may temporarily have is quite absent in posthumous fame.
7139_75360_000018_000003	The direct object of this passion--that a name should survive in men's mouths to which no adequate idea of its original can be attached--seems a thin and fantastic satisfaction, especially when we consider how little we should probably sympathise with the creatures that are to remember us.	The direct object of this passion-that a name should survive in men's mouths to which no adequate idea of its original can be attached-seems a thin and fantastic satisfaction, especially when we consider how little we should probably sympathise with the creatures that are to remember us.
7139_75360_000018_000004	What comfort would it be to Virgil that boys still read him at school, or to Pindar that he is sometimes mentioned in a world from which everything he loved has departed?	What comfort would it be to Virgil that boys still read him at school, or to Pindar that he is sometimes mentioned in a world from which everything he loved has departed?
7139_75360_000018_000005	Yet, beneath this desire for nominal longevity, apparently so inane, there may lurk an ideal ambition of which the ancients cannot have been unconscious when they set so high a value on fame.	Yet, beneath this desire for nominal longevity, apparently so inane, there may lurk an ideal ambition of which the ancients cannot have been unconscious when they set so high a value on fame.
7139_75360_000018_000006	They often identified fame with immortality, a subject on which they had far more rational sentiments than have since prevailed.	They often identified fame with immortality, a subject on which they had far more rational sentiments than have since prevailed.
