1958_144503_000000_000000	'Oh, Agnes!	'Oh, Agnes!	false	0	1.02	12
1958_144503_000011_000000	'My dear madam,' returned Mr. Micawber, 'perhaps I cannot better express the conclusion at which Mrs. Micawber, your humble servant, and I may add our children, have jointly and severally arrived, than by borrowing the language of an illustrious poet, to reply that our Boat is on the shore, and our Bark is on the sea.'	'My dear madam,' returned mr Micawber, 'perhaps I cannot better express the conclusion at which mrs Micawber, your humble servant, and I may add our children, have jointly and severally arrived, than by borrowing the language of an illustrious poet, to reply that our Boat is on the shore, and our Bark is on the sea.'	true	243.38	263.92	18.183506
1958_144503_000012_000000	'That's right,' said my aunt.	'That's right,' said my aunt.	true	265.13	266.625	13
1958_144503_000012_000001	'I augur all sort of good from your sensible decision.'	'I augur all sort of good from your sensible decision.'	true	266.625	269.35	14
1958_144503_000013_000000	'Madam, you do us a great deal of honour,' he rejoined.	'Madam, you do us a great deal of honour,' he rejoined.	true	270.02	273.19	20.680523
1958_144503_000013_000001	He then referred to a memorandum.	He then referred to a memorandum.	true	273.38	275.35	18
1958_144503_000013_000002	'With respect to the pecuniary assistance enabling us to launch our frail canoe on the ocean of enterprise, I have reconsidered that important business-point; and would beg to propose my notes of hand--drawn, it is needless to stipulate, on stamps of the amounts respectively required by the various Acts of Parliament applying to such securities--at eighteen, twenty-four, and thirty months. The proposition I originally submitted, was twelve, eighteen, and twenty-four; but I am apprehensive that such an arrangement might not allow sufficient time for the requisite amount of--Something--to turn up.	'With respect to the pecuniary assistance enabling us to launch our frail canoe on the ocean of enterprise, I have reconsidered that important business point; and would beg to propose my notes of hand-drawn, it is needless to stipulate, on stamps of the amounts respectively required by the various Acts of Parliament applying to such securities-at eighteen, twenty four, and thirty months. The proposition I originally submitted, was twelve, eighteen, and twenty four; but I am apprehensive that such an arrangement might not allow sufficient time for the requisite amount of-Something-to turn up.	false	276.17	316.66	19
1958_144503_000013_000003	We might not,' said Mr. Micawber, looking round the room as if it represented several hundred acres of highly cultivated land, 'on the first responsibility becoming due, have been successful in our harvest, or we might not have got our harvest in.	We might not,' said mr Micawber, looking round the room as if it represented several hundred acres of highly cultivated land, 'on the first responsibility becoming due, have been successful in our harvest, or we might not have got our harvest in.	true	317.42	331.96	16
1958_144503_000013_000004	Labour, I believe, is sometimes difficult to obtain in that portion of our colonial possessions where it will be our lot to combat with the teeming soil.'	Labour, I believe, is sometimes difficult to obtain in that portion of our colonial possessions where it will be our lot to combat with the teeming soil.'	true	332.45	342.73	18.32904
1958_144503_000014_000000	'Arrange it in any way you please, sir,' said my aunt.	'Arrange it in any way you please, sir,' said my aunt.	false	343.76	346.63	16
1958_144503_000015_000000	'Madam,' he replied, 'Mrs.	'Madam,' he replied, 'mrs	true	347.87	349.98	21.169973
1958_144503_000015_000001	Micawber and myself are deeply sensible of the very considerate kindness of our friends and patrons.	Micawber and myself are deeply sensible of the very considerate kindness of our friends and patrons.	true	349.98	355.75	15
1958_144503_000015_000002	What I wish is, to be perfectly business-like, and perfectly punctual.	What I wish is, to be perfectly business like, and perfectly punctual.	false	356.75	360.88	18
1958_144503_000015_000003	Turning over, as we are about to turn over, an entirely new leaf; and falling back, as we are now in the act of falling back, for a Spring of no common magnitude; it is important to my sense of self-respect, besides being an example to my son, that these arrangements should be concluded as between man and man.'	Turning over, as we are about to turn over, an entirely new leaf; and falling back, as we are now in the act of falling back, for a Spring of no common magnitude; it is important to my sense of self respect, besides being an example to my son, that these arrangements should be concluded as between man and man.'	true	361.58	384.1	18.967733
1958_144503_000016_000000	I don't know that Mr. Micawber attached any meaning to this last phrase; I don't know that anybody ever does, or did; but he appeared to relish it uncommonly, and repeated, with an impressive cough, 'as between man and man'.	I don't know that mr Micawber attached any meaning to this last phrase; I don't know that anybody ever does, or did; but he appeared to relish it uncommonly, and repeated, with an impressive cough, 'as between man and man'.	false	385.04	400.27	19.182234
1958_144503_000017_000000	'I propose,' said Mr. Micawber, 'Bills--a convenience to the mercantile world, for which, I believe, we are originally indebted to the Jews, who appear to me to have had a devilish deal too much to do with them ever since--because they are negotiable.	'I propose,' said mr Micawber, 'Bills-a convenience to the mercantile world, for which, I believe, we are originally indebted to the Jews, who appear to me to have had a devilish deal too much to do with them ever since-because they are negotiable.	false	401.54	416.74	17
1958_144503_000017_000001	But if a Bond, or any other description of security, would be preferred, I should be happy to execute any such instrument.	But if a Bond, or any other description of security, would be preferred, I should be happy to execute any such instrument.	true	417.5	425.77	19
1958_144503_000017_000002	As between man and man.'	As between man and man.'	true	425.96	428.65	18
1958_144503_000018_000000	My aunt observed, that in a case where both parties were willing to agree to anything, she took it for granted there would be no difficulty in settling this point.	My aunt observed, that in a case where both parties were willing to agree to anything, she took it for granted there would be no difficulty in settling this point.	true	430.58	439.15	17
1958_144503_000018_000001	Mr. Micawber was of her opinion.	mr Micawber was of her opinion.	true	439.49	441.58	13
1958_144503_000019_000000	'In reference to our domestic preparations, madam,' said Mr. Micawber, with some pride, 'for meeting the destiny to which we are now understood to be self-devoted, I beg to report them.	'In reference to our domestic preparations, madam,' said mr Micawber, with some pride, 'for meeting the destiny to which we are now understood to be self devoted, I beg to report them.	true	443	454.06	19.308727
1958_144503_000019_000001	My eldest daughter attends at five every morning in a neighbouring establishment, to acquire the process--if process it may be called--of milking cows.	My eldest daughter attends at five every morning in a neighbouring establishment, to acquire the process-if process it may be called-of milking cows.	true	454.34	464.62	18
1958_144503_000019_000002	My younger children are instructed to observe, as closely as circumstances will permit, the habits of the pigs and poultry maintained in the poorer parts of this city: a pursuit from which they have, on two occasions, been brought home, within an inch of being run over.	My younger children are instructed to observe, as closely as circumstances will permit, the habits of the pigs and poultry maintained in the poorer parts of this city: a pursuit from which they have, on two occasions, been brought home, within an inch of being run over.	true	465.11	482.77	19
1958_144503_000019_000003	I have myself directed some attention, during the past week, to the art of baking; and my son Wilkins has issued forth with a walking-stick and driven cattle, when permitted, by the rugged hirelings who had them in charge, to render any voluntary service in that direction--which I regret to say, for the credit of our nature, was not often; he being generally warned, with imprecations, to desist.'	I have myself directed some attention, during the past week, to the art of baking; and my son Wilkins has issued forth with a walking stick and driven cattle, when permitted, by the rugged hirelings who had them in charge, to render any voluntary service in that direction-which I regret to say, for the credit of our nature, was not often; he being generally warned, with imprecations, to desist.'	true	483.65	510.7	19.70454
1958_144503_000020_000000	'All very right indeed,' said my aunt, encouragingly.	'All very right indeed,' said my aunt, encouragingly.	true	511.1	513.97	18.198593
1958_144503_000020_000001	'Mrs.	'mrs	true	514.64	515.07	34
1958_144503_000020_000002	Micawber has been busy, too, I have no doubt.'	Micawber has been busy, too, I have no doubt.'	true	515.07	517.39	14
1958_144503_000021_000000	'My dear madam,' returned Mrs. Micawber, with her business-like air. 'I am free to confess that I have not been actively engaged in pursuits immediately connected with cultivation or with stock, though well aware that both will claim my attention on a foreign shore.	'My dear madam,' returned mrs Micawber, with her business like air. 'I am free to confess that I have not been actively engaged in pursuits immediately connected with cultivation or with stock, though well aware that both will claim my attention on a foreign shore.	true	518.63	532.84	18.744976
1958_144503_000021_000001	Such opportunities as I have been enabled to alienate from my domestic duties, I have devoted to corresponding at some length with my family.	Such opportunities as I have been enabled to alienate from my domestic duties, I have devoted to corresponding at some length with my family.	true	533.75	542.86	18
1958_144503_000021_000002	For I own it seems to me, my dear Mr. Copperfield,' said Mrs. Micawber, who always fell back on me, I suppose from old habit, to whomsoever else she might address her discourse at starting, 'that the time is come when the past should be buried in oblivion; when my family should take Mr. Micawber by the hand, and Mr. Micawber should take my family by the hand; when the lion should lie down with the lamb, and my family be on terms with Mr. Micawber.'	For I own it seems to me, my dear mr Copperfield,' said mrs Micawber, who always fell back on me, I suppose from old habit, to whomsoever else she might address her discourse at starting, 'that the time is come when the past should be buried in oblivion; when my family should take mr Micawber by the hand, and mr Micawber should take my family by the hand; when the lion should lie down with the lamb, and my family be on terms with mr Micawber.'	true	543.92	572.65	20
1958_144503_000022_000000	I said I thought so too.	I said I thought so too.	false	574.04	576.81	18.888617
1958_144503_000023_000000	'This, at least, is the light, my dear Mr. Copperfield,' pursued Mrs. Micawber, 'in which I view the subject.	'This, at least, is the light, my dear mr Copperfield,' pursued mrs Micawber, 'in which I view the subject.	true	576.81	583.57	19
1958_144503_000023_000001	When I lived at home with my papa and mama, my papa was accustomed to ask, when any point was under discussion in our limited circle, "In what light does my Emma view the subject?" That my papa was too partial, I know; still, on such a point as the frigid coldness which has ever subsisted between Mr. Micawber and my family, I necessarily have formed an opinion, delusive though it may be.'	When I lived at home with my papa and mama, my papa was accustomed to ask, when any point was under discussion in our limited circle, "In what light does my Emma view the subject?" That my papa was too partial, I know; still, on such a point as the frigid coldness which has ever subsisted between mr Micawber and my family, I necessarily have formed an opinion, delusive though it may be.'	true	584.03	609.55	18
1958_144503_000024_000000	'No doubt.	'No doubt.	true	610.58	611.4	25.461271
1958_144503_000024_000001	Of course you have, ma'am,' said my aunt.	Of course you have, ma'am,' said my aunt.	true	611.4	613.57	11
1958_144503_000025_000000	'Precisely so,' assented Mrs. Micawber. 'Now, I may be wrong in my conclusions; it is very likely that I am, but my individual impression is, that the gulf between my family and Mr. Micawber may be traced to an apprehension, on the part of my family, that Mr. Micawber would require pecuniary accommodation.	'Precisely so,' assented mrs Micawber. 'Now, I may be wrong in my conclusions; it is very likely that I am, but my individual impression is, that the gulf between my family and mr Micawber may be traced to an apprehension, on the part of my family, that mr Micawber would require pecuniary accommodation.	true	614.69	634.75	19.821667
1958_144503_000025_000001	I cannot help thinking,' said Mrs. Micawber, with an air of deep sagacity, 'that there are members of my family who have been apprehensive that Mr. Micawber would solicit them for their names.---I do not mean to be conferred in Baptism upon our children, but to be inscribed on Bills of Exchange, and negotiated in the Money Market.'	I cannot help thinking,' said mrs Micawber, with an air of deep sagacity, 'that there are members of my family who have been apprehensive that mr Micawber would solicit them for their names.---I do not mean to be conferred in Baptism upon our children, but to be inscribed on Bills of Exchange, and negotiated in the Money Market.'	true	635.33	655.33	18
1958_144503_000026_000000	The look of penetration with which Mrs. Micawber announced this discovery, as if no one had ever thought of it before, seemed rather to astonish my aunt; who abruptly replied, 'Well, ma'am, upon the whole, I shouldn't wonder if you were right!'	The look of penetration with which mrs Micawber announced this discovery, as if no one had ever thought of it before, seemed rather to astonish my aunt; who abruptly replied, 'Well, ma'am, upon the whole, I shouldn't wonder if you were right!'	true	656.69	672.19	19.965076
1958_144503_000027_000000	'Mr.	'mr	true	673.04	673.44	26.65053
1958_144503_000027_000001	Micawber being now on the eve of casting off the pecuniary shackles that have so long enthralled him,' said Mrs. Micawber, 'and of commencing a new career in a country where there is sufficient range for his abilities,--which, in my opinion, is exceedingly important; Mr. Micawber's abilities peculiarly requiring space,--it seems to me that my family should signalize the occasion by coming forward.	Micawber being now on the eve of casting off the pecuniary shackles that have so long enthralled him,' said mrs Micawber, 'and of commencing a new career in a country where there is sufficient range for his abilities,--which, in my opinion, is exceedingly important; mr Micawber's abilities peculiarly requiring space,--it seems to me that my family should signalize the occasion by coming forward.	true	673.44	697.81	18
1958_144503_000027_000002	What I could wish to see, would be a meeting between Mr. Micawber and my family at a festive entertainment, to be given at my family's expense; where Mr. Micawber's health and prosperity being proposed, by some leading member of my family, Mr. Micawber might have an opportunity of developing his views.'	What I could wish to see, would be a meeting between mr Micawber and my family at a festive entertainment, to be given at my family's expense; where mr Micawber's health and prosperity being proposed, by some leading member of my family, mr Micawber might have an opportunity of developing his views.'	true	698.24	718.78	19.85995
1958_144503_000028_000000	'My dear,' said Mr. Micawber, with some heat, 'it may be better for me to state distinctly, at once, that if I were to develop my views to that assembled group, they would possibly be found of an offensive nature: my impression being that your family are, in the aggregate, impertinent Snobs; and, in detail, unmitigated Ruffians.'	'My dear,' said mr Micawber, with some heat, 'it may be better for me to state distinctly, at once, that if I were to develop my views to that assembled group, they would possibly be found of an offensive nature: my impression being that your family are, in the aggregate, impertinent Snobs; and, in detail, unmitigated Ruffians.'	false	719.36	740.89	19.58074
1958_144503_000029_000000	'Micawber,' said Mrs. Micawber, shaking her head, 'no!	'Micawber,' said mrs Micawber, shaking her head, 'no!	true	741.92	745.275	19.386896
1958_144503_000029_000001	You have never understood them, and they have never understood you.'	You have never understood them, and they have never understood you.'	false	745.275	748.9	14
1958_144503_000030_000000	Mr. Micawber coughed.	mr Micawber coughed.	true	749.51	751.18	17
1958_144503_000031_000000	'They have never understood you, Micawber,' said his wife.	'They have never understood you, Micawber,' said his wife.	true	752.48	755.26	17.795895
1958_144503_000031_000001	'They may be incapable of it.	'They may be incapable of it.	true	755.93	757.63	19.416788
1958_144503_000031_000002	If so, that is their misfortune.	If so, that is their misfortune.	true	757.67	760.27	20.455847
1958_144503_000031_000003	I can pity their misfortune.'	I can pity their misfortune.'	true	760.4	762.37	17
1958_144503_000032_000000	'I am extremely sorry, my dear Emma,' said Mr. Micawber, relenting, 'to have been betrayed into any expressions that might, even remotely, have the appearance of being strong expressions.	'I am extremely sorry, my dear Emma,' said mr Micawber, relenting, 'to have been betrayed into any expressions that might, even remotely, have the appearance of being strong expressions.	false	764.15	776.29	20.652874
1958_144503_000032_000001	All I would say is, that I can go abroad without your family coming forward to favour me,--in short, with a parting Shove of their cold shoulders; and that, upon the whole, I would rather leave England with such impetus as I possess, than derive any acceleration of it from that quarter.	All I would say is, that I can go abroad without your family coming forward to favour me,--in short, with a parting Shove of their cold shoulders; and that, upon the whole, I would rather leave England with such impetus as I possess, than derive any acceleration of it from that quarter.	true	776.69	794.74	20.51443
1958_144503_000032_000002	At the same time, my dear, if they should condescend to reply to your communications--which our joint experience renders most improbable--far be it from me to be a barrier to your wishes.'	At the same time, my dear, if they should condescend to reply to your communications-which our joint experience renders most improbable-far be it from me to be a barrier to your wishes.'	true	795.53	807.7	20.239504
1958_144503_000033_000000	The matter being thus amicably settled, Mr. Micawber gave Mrs. Micawber his arm, and glancing at the heap of books and papers lying before Traddles on the table, said they would leave us to ourselves; which they ceremoniously did.	The matter being thus amicably settled, mr Micawber gave mrs Micawber his arm, and glancing at the heap of books and papers lying before Traddles on the table, said they would leave us to ourselves; which they ceremoniously did.	true	809.51	823.54	19
1958_144503_000034_000000	'My dear Copperfield,' said Traddles, leaning back in his chair when they were gone, and looking at me with an affection that made his eyes red, and his hair all kinds of shapes, 'I don't make any excuse for troubling you with business, because I know you are deeply interested in it, and it may divert your thoughts.	'My dear Copperfield,' said Traddles, leaning back in his chair when they were gone, and looking at me with an affection that made his eyes red, and his hair all kinds of shapes, 'I don't make any excuse for troubling you with business, because I know you are deeply interested in it, and it may divert your thoughts.	true	824.93	842.35	20
1958_144503_000034_000001	My dear boy, I hope you are not worn out?'	My dear boy, I hope you are not worn out?'	true	842.69	845.02	16.726238
1958_144503_000035_000000	'I am quite myself,' said I, after a pause.	'I am quite myself,' said I, after a pause.	true	845.42	848.8	20.5611
1958_144503_000035_000001	'We have more cause to think of my aunt than of anyone.	'We have more cause to think of my aunt than of anyone.	true	849.14	851.89	19
1958_144503_000035_000002	You know how much she has done.'	You know how much she has done.'	true	851.9	853.69	18.27363
1958_144503_000036_000000	'Surely, surely,' answered Traddles.	'Surely, surely,' answered Traddles.	true	854.09	855.93	16.435953
1958_144503_000036_000001	'Who can forget it!'	'Who can forget it!'	true	855.93	857.14	14
1958_144503_000037_000000	'But even that is not all,' said I. 'During the last fortnight, some new trouble has vexed her; and she has been in and out of London every day. Several times she has gone out early, and been absent until evening. Last night, Traddles, with this journey before her, it was almost midnight before she came home.	'But even that is not all,' said i 'During the last fortnight, some new trouble has vexed her; and she has been in and out of London every day. Several times she has gone out early, and been absent until evening. Last night, Traddles, with this journey before her, it was almost midnight before she came home.	true	858.14	877.12	20.66804
1958_144503_000037_000001	You know what her consideration for others is.	You know what her consideration for others is.	true	877.79	880.12	15
1958_144503_000037_000002	She will not tell me what has happened to distress her.'	She will not tell me what has happened to distress her.'	true	880.58	883.84	17
1958_144503_000038_000000	My aunt, very pale, and with deep lines in her face, sat immovable until I had finished; when some stray tears found their way to her cheeks, and she put her hand on mine.	My aunt, very pale, and with deep lines in her face, sat immovable until I had finished; when some stray tears found their way to her cheeks, and she put her hand on mine.	true	884.99	895.39	17
1958_144503_000039_000000	'It's nothing, Trot; it's nothing.	'It's nothing, Trot; it's nothing.	true	896.33	898.21	17.887468
1958_144503_000039_000001	There will be no more of it.	There will be no more of it.	true	898.4	899.98	17
1958_144503_000039_000002	You shall know by and by.	You shall know by and by.	true	900.05	901.87	17
1958_144503_000039_000003	Now Agnes, my dear, let us attend to these affairs.'	Now Agnes, my dear, let us attend to these affairs.'	true	902.39	905.17	15
1958_144503_000040_000000	'I must do Mr. Micawber the justice to say,' Traddles began, 'that although he would appear not to have worked to any good account for himself, he is a most untiring man when he works for other people.	'I must do mr Micawber the justice to say,' Traddles began, 'that although he would appear not to have worked to any good account for himself, he is a most untiring man when he works for other people.	true	906.02	920.74	22.21223
1958_144503_000040_000001	I never saw such a fellow.	I never saw such a fellow.	true	921.29	922.96	20.591661
1958_144503_000040_000002	If he always goes on in the same way, he must be, virtually, about two hundred years old, at present.	If he always goes on in the same way, he must be, virtually, about two hundred years old, at present.	true	923.3	929.23	20
1958_144503_000040_000003	The heat into which he has been continually putting himself; and the distracted and impetuous manner in which he has been diving, day and night, among papers and books; to say nothing of the immense number of letters he has written me between this house and Mr. Wickfield's, and often across the table when he has been sitting opposite, and might much more easily have spoken; is quite extraordinary.'	The heat into which he has been continually putting himself; and the distracted and impetuous manner in which he has been diving, day and night, among papers and books; to say nothing of the immense number of letters he has written me between this house and mr Wickfield's, and often across the table when he has been sitting opposite, and might much more easily have spoken; is quite extraordinary.'	true	930.68	954.73	20.166958
1958_144503_000041_000000	'Letters!' cried my aunt.	'Letters!' cried my aunt.	true	955.37	956.95	19.311375
1958_144503_000041_000001	'I believe he dreams in letters!'	'I believe he dreams in letters!'	true	957.41	959.68	15
1958_144503_000042_000000	'There's Mr. Dick, too,' said Traddles, 'has been doing wonders!	'There's mr Dick, too,' said Traddles, 'has been doing wonders!	true	960.89	965.11	19
1958_144503_000042_000001	As soon as he was released from overlooking Uriah Heep, whom he kept in such charge as I never saw exceeded, he began to devote himself to Mr. Wickfield.	As soon as he was released from overlooking Uriah Heep, whom he kept in such charge as I never saw exceeded, he began to devote himself to mr Wickfield.	true	965.48	975.28	18
1958_144503_000042_000002	And really his anxiety to be of use in the investigations we have been making, and his real usefulness in extracting, and copying, and fetching, and carrying, have been quite stimulating to us.'	And really his anxiety to be of use in the investigations we have been making, and his real usefulness in extracting, and copying, and fetching, and carrying, have been quite stimulating to us.'	false	975.65	988.66	18.523466
1958_144503_000043_000000	'Dick is a very remarkable man,' exclaimed my aunt; 'and I always said he was.	'Dick is a very remarkable man,' exclaimed my aunt; 'and I always said he was.	false	990.14	994.81	19
1958_144503_000043_000001	Trot, you know it.'	Trot, you know it.'	true	994.97	996.28	21.57384
1958_144503_000044_000000	'I am happy to say, Miss Wickfield,' pursued Traddles, at once with great delicacy and with great earnestness, 'that in your absence Mr. Wickfield has considerably improved.	'I am happy to say, Miss Wickfield,' pursued Traddles, at once with great delicacy and with great earnestness, 'that in your absence mr Wickfield has considerably improved.	true	998.72	1010.38	20
1958_144503_000044_000001	Relieved of the incubus that had fastened upon him for so long a time, and of the dreadful apprehensions under which he had lived, he is hardly the same person.	Relieved of the incubus that had fastened upon him for so long a time, and of the dreadful apprehensions under which he had lived, he is hardly the same person.	true	1010.69	1020.91	19.337149
1958_144503_000044_000002	At times, even his impaired power of concentrating his memory and attention on particular points of business, has recovered itself very much; and he has been able to assist us in making some things clear, that we should have found very difficult indeed, if not hopeless, without him.	At times, even his impaired power of concentrating his memory and attention on particular points of business, has recovered itself very much; and he has been able to assist us in making some things clear, that we should have found very difficult indeed, if not hopeless, without him.	true	1021.52	1040.59	21
1958_144503_000044_000003	But what I have to do is to come to results; which are short enough; not to gossip on all the hopeful circumstances I have observed, or I shall never have done.' His natural manner and agreeable simplicity made it transparent that he said this to put us in good heart, and to enable Agnes to hear her father mentioned with greater confidence; but it was not the less pleasant for that.	But what I have to do is to come to results; which are short enough; not to gossip on all the hopeful circumstances I have observed, or I shall never have done.' His natural manner and agreeable simplicity made it transparent that he said this to put us in good heart, and to enable Agnes to hear her father mentioned with greater confidence; but it was not the less pleasant for that.	true	1041.65	1065.25	18.455708
1958_144503_000045_000000	'Now, let me see,' said Traddles, looking among the papers on the table.	'Now, let me see,' said Traddles, looking among the papers on the table.	false	1066.31	1070.02	17.497038
1958_144503_000045_000001	'Having counted our funds, and reduced to order a great mass of unintentional confusion in the first place, and of wilful confusion and falsification in the second, we take it to be clear that Mr. Wickfield might now wind up his business, and his agency-trust, and exhibit no deficiency or defalcation whatever.'	'Having counted our funds, and reduced to order a great mass of unintentional confusion in the first place, and of wilful confusion and falsification in the second, we take it to be clear that mr Wickfield might now wind up his business, and his agency trust, and exhibit no deficiency or defalcation whatever.'	true	1070.51	1092.13	19.705984
1958_144503_000046_000000	'Oh, thank Heaven!' cried Agnes, fervently.	'Oh, thank Heaven!' cried Agnes, fervently.	true	1092.74	1095.37	16
1958_144503_000047_000000	'But,' said Traddles, 'the surplus that would be left as his means of support--and I suppose the house to be sold, even in saying this--would be so small, not exceeding in all probability some hundreds of pounds, that perhaps, Miss Wickfield, it would be best to consider whether he might not retain his agency of the estate to which he has so long been receiver.	'But,' said Traddles, 'the surplus that would be left as his means of support-and I suppose the house to be sold, even in saying this-would be so small, not exceeding in all probability some hundreds of pounds, that perhaps, Miss Wickfield, it would be best to consider whether he might not retain his agency of the estate to which he has so long been receiver.	true	1096.19	1118.38	18
1958_144503_000047_000001	His friends might advise him, you know; now he is free.	His friends might advise him, you know; now he is free.	true	1118.96	1122.52	17.413357
1958_144503_000047_000002	You yourself, Miss Wickfield--Copperfield--I--'	You yourself, Miss Wickfield-Copperfield-I-'	true	1123.37	1126.84	19.874998
