8718_295197_000000_000000	MISS KATY-DID AND MISS CRICKET	MISS KATY DID AND MISS CRICKET
8718_295197_000030_000000	Just at this moment the conference was interrupted by a visitor, Miss Keziah Cricket, who came in with her work-bag on her arm to ask a subscription for a poor family of Ants who had just had their house hoed up in clearing the garden-walks.	Just at this moment the conference was interrupted by a visitor, Miss Keziah Cricket, who came in with her work bag on her arm to ask a subscription for a poor family of Ants who had just had their house hoed up in clearing the garden walks.
8718_295197_000031_000000	"How stupid of them," said Katy, "not to know better than to put their house in the garden-walk; that's just like those Ants."	"How stupid of them," said Katy, "not to know better than to put their house in the garden walk; that's just like those Ants."
8718_295197_000032_000000	"Well, they are in great trouble; all their stores destroyed, and their father killed--cut quite in two by a hoe."	"Well, they are in great trouble; all their stores destroyed, and their father killed-cut quite in two by a hoe."
8718_295197_000033_000001	I don't like to hear of such disagreeable things; it affects my nerves terribly.	I don't like to hear of such disagreeable things; it affects my nerves terribly.
8718_295197_000033_000002	Well, I'm sure I haven't anything to give.	Well, I'm sure I haven't anything to give.
8718_295197_000033_000003	Mamma said yesterday she was sure she didn't know how our bills were to be paid; and there's my green satin with point- lace yet to come home." And Miss Katy-did shrugged her shoulders and affected to be very busy with Colonel Katy-did, in just the way that young ladies sometimes do when they wish to signify to visitors that they had better leave.	Mamma said yesterday she was sure she didn't know how our bills were to be paid; and there's my green satin with point lace yet to come home." And Miss Katy did shrugged her shoulders and affected to be very busy with Colonel Katy did, in just the way that young ladies sometimes do when they wish to signify to visitors that they had better leave.
8718_295197_000034_000000	Little Miss Cricket perceived how the case stood, and so hopped briskly off, without giving herself even time to be offended.	Little Miss Cricket perceived how the case stood, and so hopped briskly off, without giving herself even time to be offended.
8718_295197_000035_000000	"Pray, shall you invite the Crickets?" said Colonel Katy-did.	"Pray, shall you invite the Crickets?" said Colonel Katy did.
8718_295197_000036_000000	"Who?	"Who?
8718_295197_000036_000001	I?	I?
8718_295197_000036_000002	Why, colonel, what a question!	Why, colonel, what a question!
8718_295197_000036_000003	Invite the Crickets?	Invite the Crickets?
8718_295197_000036_000004	Of what can you be thinking?"	Of what can you be thinking?"
8718_295197_000037_000000	"And shall you not ask the Locusts, and the Grasshoppers?"	"And shall you not ask the Locusts, and the Grasshoppers?"
8718_295197_000038_000000	"Certainly.	"Certainly.
8718_295197_000038_000001	The Locusts, of course,--a very old and distinguished family; and the Grasshoppers are pretty well, and ought to be asked. But we must draw a line somewhere,--and the Crickets! why, it's shocking even to think of!"	The Locusts, of course,--a very old and distinguished family; and the Grasshoppers are pretty well, and ought to be asked. But we must draw a line somewhere,--and the Crickets! why, it's shocking even to think of!"
8718_295197_000039_000000	"I thought they were nice, respectable people."	"I thought they were nice, respectable people."
8718_295197_000040_000001	But then you must see the difficulty."	But then you must see the difficulty."
8718_295197_000041_000000	"My dear cousin, I am afraid you must explain."	"My dear cousin, I am afraid you must explain."
8718_295197_000042_000000	"Why, their COLOUR, to be sure.	"Why, their COLOUR, to be sure.
8718_295197_000042_000001	Don't you see?"	Don't you see?"
8718_295197_000043_000000	"Oh!" said the colonel.	"Oh!" said the colonel.
8718_295197_000043_000001	"That's it, is it?	"That's it, is it?
8718_295197_000043_000002	Excuse me, but I have been living in France, where these distinctions are wholly unknown, and I have not yet got myself in the train of fashionable ideas here."	Excuse me, but I have been living in France, where these distinctions are wholly unknown, and I have not yet got myself in the train of fashionable ideas here."
8718_295197_000044_000000	"Well, then, let me teach you," said Miss Katy.	"Well, then, let me teach you," said Miss Katy.
8718_295197_000044_000001	"You know we republicans go for no distinctions except those created by Nature herself, and we found our rank upon COLOUR, because that is clearly a thing that none has any hand in but our Maker.	"You know we republicans go for no distinctions except those created by Nature herself, and we found our rank upon COLOUR, because that is clearly a thing that none has any hand in but our Maker.
8718_295197_000044_000002	You see?"	You see?"
8718_295197_000045_000000	"Yes; but who decides what colour shall be the reigning colour?"	"Yes; but who decides what colour shall be the reigning colour?"
8718_295197_000046_000000	"I'm surprised to hear the question!	"I'm surprised to hear the question!
8718_295197_000046_000001	The only true colour--the only proper one--is OUR colour, to be sure.	The only true colour-the only proper one-is OUR colour, to be sure.
8718_295197_000046_000002	A lovely pea-green is the precise shade on which to found aristocratic distinction.	A lovely pea green is the precise shade on which to found aristocratic distinction.
8718_295197_000046_000003	But then we are liberal;--we associate with the Moths, who are gray; with the Butterflies, who are blue-and-gold coloured; with the Grasshoppers, yellow and brown; and society would become dreadfully mixed if it were not fortunately ordered that the Crickets are black as jet.	But then we are liberal;--we associate with the Moths, who are gray; with the Butterflies, who are blue and gold coloured; with the Grasshoppers, yellow and brown; and society would become dreadfully mixed if it were not fortunately ordered that the Crickets are black as jet.
8718_295197_000046_000004	The fact is, that a class to be looked down upon is necessary to all elegant society; and if the Crickets were not black, we could not keep them down, because, as everybody knows, they are often a great deal cleverer than we are.	The fact is, that a class to be looked down upon is necessary to all elegant society; and if the Crickets were not black, we could not keep them down, because, as everybody knows, they are often a great deal cleverer than we are.
8718_295197_000046_000005	They have a vast talent for music and dancing; they are very quick at learning, and would be getting to the very top of the ladder if we once allowed them to climb.	They have a vast talent for music and dancing; they are very quick at learning, and would be getting to the very top of the ladder if we once allowed them to climb.
8718_295197_000046_000006	But their being black is a convenience; because, as long as we are green and they black, we have a superiority that can never be taken from us. Don't you see now?"	But their being black is a convenience; because, as long as we are green and they black, we have a superiority that can never be taken from us. Don't you see now?"
8718_295197_000047_000000	"Oh yes, I see exactly," said the colonel.	"Oh yes, I see exactly," said the colonel.
8718_295197_000048_000000	"Now that Keziah Cricket, who just came in here, is quite a musician, and her old father plays the violin beautifully;--by the way, we might engage him for our orchestra."	"Now that Keziah Cricket, who just came in here, is quite a musician, and her old father plays the violin beautifully;--by the way, we might engage him for our orchestra."
8718_295197_000049_000000	And so Miss Katy's ball came off, and the performers kept it up from sundown till daybreak, so that it seemed as if every leaf in the forest were alive.	And so Miss Katy's ball came off, and the performers kept it up from sundown till daybreak, so that it seemed as if every leaf in the forest were alive.
8718_295197_000049_000001	The Katy-dids and the Mosquitoes, and the Locusts, and a full orchestra of Crickets made the air perfectly vibrate, insomuch that old Parson Too-Whit, who was preaching a Thursday evening lecture to a very small audience, announced to his hearers that he should certainly write a discourse against dancing for the next weekly occasion.	The Katy dids and the Mosquitoes, and the Locusts, and a full orchestra of Crickets made the air perfectly vibrate, insomuch that old Parson Too Whit, who was preaching a Thursday evening lecture to a very small audience, announced to his hearers that he should certainly write a discourse against dancing for the next weekly occasion.
8718_295197_000050_000000	The good doctor was even with his word in the matter, and gave out some very sonorous discourses, without in the least stopping the round of gaieties kept up by these dissipated Katy-dids, which ran on, night after night, till the celebrated Jack Frost epidemic, which occurred somewhere about the first of September.	The good doctor was even with his word in the matter, and gave out some very sonorous discourses, without in the least stopping the round of gaieties kept up by these dissipated Katy dids, which ran on, night after night, till the celebrated Jack Frost epidemic, which occurred somewhere about the first of September.
8718_295197_000051_000000	Poor Miss Katy, with her flimsy green satin and point-lace, was one of the first victims, and fell from the bough in company with a sad shower of last year's leaves.	Poor Miss Katy, with her flimsy green satin and point lace, was one of the first victims, and fell from the bough in company with a sad shower of last year's leaves.
8718_295197_000051_000001	The worthy Cricket family, however, avoided Jack Frost by emigrating in time to the chimney-corner of a nice little cottage that had been built in the wood that summer.	The worthy Cricket family, however, avoided Jack Frost by emigrating in time to the chimney corner of a nice little cottage that had been built in the wood that summer.
8718_295197_000052_000000	There good old Mr. and Mrs. Cricket, with sprightly Miss Keziah and her brothers and sisters, found a warm and welcome home; and when the storm howled without, and lashed the poor naked trees, the Crickets on the warm hearth would chirp out cheery welcome to papa as he came in from the snowy path, or mamma as she sat at her work-basket.	There good old mr and mrs Cricket, with sprightly Miss Keziah and her brothers and sisters, found a warm and welcome home; and when the storm howled without, and lashed the poor naked trees, the Crickets on the warm hearth would chirp out cheery welcome to papa as he came in from the snowy path, or mamma as she sat at her work basket.
8718_295197_000053_000000	"Cheep, cheep, cheep!" little Freddy would say.	"Cheep, cheep, cheep!" little Freddy would say.
8718_295197_000053_000001	"Mamma, who is it says 'cheep'?"	"Mamma, who is it says 'cheep'?"
