8718_295197_000000_000000	MISS KATY-DID AND MISS CRICKET	MISS KATY DID AND MISS CRICKET	true	23.34	25.84	25.413202
8718_295197_000049_000000	And so Miss Katy's ball came off, and the performers kept it up from sundown till daybreak, so that it seemed as if every leaf in the forest were alive.	And so Miss Katy's ball came off, and the performers kept it up from sundown till daybreak, so that it seemed as if every leaf in the forest were alive.	true	572.87	582.28	25.605194
8718_295197_000049_000001	The Katy-dids and the Mosquitoes, and the Locusts, and a full orchestra of Crickets made the air perfectly vibrate, insomuch that old Parson Too-Whit, who was preaching a Thursday evening lecture to a very small audience, announced to his hearers that he should certainly write a discourse against dancing for the next weekly occasion.	The Katy dids and the Mosquitoes, and the Locusts, and a full orchestra of Crickets made the air perfectly vibrate, insomuch that old Parson Too Whit, who was preaching a Thursday evening lecture to a very small audience, announced to his hearers that he should certainly write a discourse against dancing for the next weekly occasion.	true	582.32	601.69	25.250364
8718_295197_000050_000000	The good doctor was even with his word in the matter, and gave out some very sonorous discourses, without in the least stopping the round of gaieties kept up by these dissipated Katy-dids, which ran on, night after night, till the celebrated Jack Frost epidemic, which occurred somewhere about the first of September.	The good doctor was even with his word in the matter, and gave out some very sonorous discourses, without in the least stopping the round of gaieties kept up by these dissipated Katy dids, which ran on, night after night, till the celebrated Jack Frost epidemic, which occurred somewhere about the first of September.	true	602.72	620.41	24.196669
8718_295197_000051_000000	Poor Miss Katy, with her flimsy green satin and point-lace, was one of the first victims, and fell from the bough in company with a sad shower of last year's leaves.	Poor Miss Katy, with her flimsy green satin and point lace, was one of the first victims, and fell from the bough in company with a sad shower of last year's leaves.	true	620.72	630.43	24.974047
8718_295197_000051_000001	The worthy Cricket family, however, avoided Jack Frost by emigrating in time to the chimney-corner of a nice little cottage that had been built in the wood that summer.	The worthy Cricket family, however, avoided Jack Frost by emigrating in time to the chimney corner of a nice little cottage that had been built in the wood that summer.	true	630.71	639.7	24
8718_295197_000052_000000	There good old Mr. and Mrs. Cricket, with sprightly Miss Keziah and her brothers and sisters, found a warm and welcome home; and when the storm howled without, and lashed the poor naked trees, the Crickets on the warm hearth would chirp out cheery welcome to papa as he came in from the snowy path, or mamma as she sat at her work-basket.	There good old mr and mrs Cricket, with sprightly Miss Keziah and her brothers and sisters, found a warm and welcome home; and when the storm howled without, and lashed the poor naked trees, the Crickets on the warm hearth would chirp out cheery welcome to papa as he came in from the snowy path, or mamma as she sat at her work basket.	true	640.1	659.53	23.606009
8718_295197_000053_000000	"Cheep, cheep, cheep!" little Freddy would say.	"Cheep, cheep, cheep!" little Freddy would say.	true	659.66	662.445	34.425713
8718_295197_000053_000001	"Mamma, who is it says 'cheep'?"	"Mamma, who is it says 'cheep'?"	true	662.445	665.08	26.107695
8718_295197_000054_000000	"Dear Freddy, it's our own dear little cricket, who loves us and comes to sing to us when the snow is on the ground."	"Dear Freddy, it's our own dear little cricket, who loves us and comes to sing to us when the snow is on the ground."	false	665.27	671.83	23.15083
8718_295197_000055_000000	So when poor Miss Katy-did's satin and lace were all swept away, the warm home-talents of the Crickets made for them a welcome refuge.	So when poor Miss Katy did's satin and lace were all swept away, the warm home talents of the Crickets made for them a welcome refuge.	false	671.99	679.8	23.440022
8718_295197_000056_000000	MOTHER MAGPIE'S MISCHIEF	MOTHER MAGPIE'S MISCHIEF	false	679.8	680.04	-20
8718_295197_000057_000000	Old Mother Magpie was about the busiest character in the forest.	Old Mother Magpie was about the busiest character in the forest.	false	680.04	681	100
8718_295197_000057_000001	But you must know that there is a great difference between being busy and being industrious.	But you must know that there is a great difference between being busy and being industrious.	false	681	683.28	25.750072
8718_295197_000057_000002	One may be very busy all the time, and yet not in the least industrious; and this was the case with Mother Magpie.	One may be very busy all the time, and yet not in the least industrious; and this was the case with Mother Magpie.	false	683.28	687.72	-20
