3448_5416_000001_000000	CHAPTER XI.	CHAPTER eleven.
3448_5416_000034_000001	"Take this and wear it for my sake," he added, unloosing a fine gold chain from his watch and tossing it around her neck, "and be punctual at that spot to-night after the last ray of twilight."	"Take this and wear it for my sake," he added, unloosing a fine gold chain from his watch and tossing it around her neck, "and be punctual at that spot to night after the last ray of twilight."
3448_5416_000035_000000	"I will," answered the Quadroon, as she regarded the fine workmanship of the chain for a moment with idle and childlike pleasure, then turning from the spot, they both returned, though by different paths, from the jungle towards the dwelling of her father.	"I will," answered the Quadroon, as she regarded the fine workmanship of the chain for a moment with idle and childlike pleasure, then turning from the spot, they both returned, though by different paths, from the jungle towards the dwelling of her father.
3448_5416_000036_000000	Captain Bramble dined with Don Leonardo that day, and his good spirits and pleasant converse were afterwards the subject of comment, exhibiting him in a fair more favorable light than he had appeared in since his arrival at the factory.	Captain Bramble dined with Don Leonardo that day, and his good spirits and pleasant converse were afterwards the subject of comment, exhibiting him in a fair more favorable light than he had appeared in since his arrival at the factory.
3448_5416_000037_000000	Captain Ratlin, on his part, was ever the same; he found that he must wait some weeks even yet before he could prosecute the purpose of his voyage, and indeed he seemed to have lost all interest in it.	Captain Ratlin, on his part, was ever the same; he found that he must wait some weeks even yet before he could prosecute the purpose of his voyage, and indeed he seemed to have lost all interest in it.
3448_5416_000038_000002	In the presence of that fair and pure-minded girl he was as a child, impressible, and ready to follow her simplest instructions.	In the presence of that fair and pure minded girl he was as a child, impressible, and ready to follow her simplest instructions.
3448_5416_000039_000001	I have done with this trade, never more to engage in it."	I have done with this trade, never more to engage in it."
3448_5416_000040_000000	"That is honorable, noble in you, Captain Ratlin, so promptly to relinquish all connection with a calling, which though it affords fortune and command, can never permit you self-respect."	"That is honorable, noble in you, Captain Ratlin, so promptly to relinquish all connection with a calling, which though it affords fortune and command, can never permit you self respect."
3448_5416_000041_000000	"The ship will probably be despatched within these two weeks, and then I will take any birth in legitimate commerce, where I may win an honorable name and reputation."	"The ship will probably be despatched within these two weeks, and then I will take any birth in legitimate commerce, where I may win an honorable name and reputation."
3448_5416_000043_000000	The young commander took the hand respectfully that waits extended to him, but when he raised his eyes to her face and detected that tear, a thought for a moment ran through his brain, a faint shadow of hope that perhaps she loved him, or might at some future time do so, and bending over the fair hand he held he pressed it gently to his lips.	The young commander took the hand respectfully that waits extended to him, but when he raised his eyes to her face and detected that tear, a thought for a moment ran through his brain, a faint shadow of hope that perhaps she loved him, or might at some future time do so, and bending over the fair hand he held he pressed it gently to his lips.
3448_5416_000043_000001	He was not repulsed, nor chided, but she delicately rose and turned to her mother's apartment.	He was not repulsed, nor chided, but she delicately rose and turned to her mother's apartment.
3448_5416_000044_000000	How small a things will affect the whole tenor of a life time; trifles lighter than straws are levers in the building up of destiny.	How small a things will affect the whole tenor of a life time; trifles lighter than straws are levers in the building up of destiny.
3448_5416_000044_000001	Captain Ratlin turned from that brief interview with a feeling he had never before experienced.	Captain Ratlin turned from that brief interview with a feeling he had never before experienced.
3448_5416_000044_000002	The idea that Miss Huntington really cared for him beyond the ordinary interest, that the circumstances of their acquaintances had caused, had not thus far been entertained by him; had this been otherwise he would doubtless have differently interpreted many agreeable tokens which she had granted him, and to which his mind now went back eagerly to recall and consider under the new phase of feeling which actuated him.	The idea that Miss Huntington really cared for him beyond the ordinary interest, that the circumstances of their acquaintances had caused, had not thus far been entertained by him; had this been otherwise he would doubtless have differently interpreted many agreeable tokens which she had granted him, and to which his mind now went back eagerly to recall and consider under the new phase of feeling which actuated him.
3448_5416_000045_000000	How else could he interpret that tear but as springing from a heart that was full of kindly feeling towards him.	How else could he interpret that tear but as springing from a heart that was full of kindly feeling towards him.
3448_5416_000046_000000	This was the bright tide of the picture which his imagination, aided by that gaudy painter and fancy colorer, Hope, had conjured up before his mind's eye, but the reverse side of the picture was at hand, and now he paused to ask himself seriously: "Can this be?	This was the bright tide of the picture which his imagination, aided by that gaudy painter and fancy colorer, Hope, had conjured up before his mind's eye, but the reverse side of the picture was at hand, and now he paused to ask himself seriously: "Can this be?
3448_5416_000046_000001	Who am I? a poor unknown sailor, fortuneless, friendless, nameless.	Who am I? a poor unknown sailor, fortuneless, friendless, nameless.
3448_5416_000046_000002	Who is she? a lady of refined cultivation, high family, wealth, and beauty.	Who is she? a lady of refined cultivation, high family, wealth, and beauty.
3448_5416_000046_000003	Is it likely that two such persons as I have considered should be joined by intimate friendship? can such barriers as these be broken down by love?	Is it likely that two such persons as I have considered should be joined by intimate friendship? can such barriers as these be broken down by love?
3448_5416_000046_000004	Alas, I am not so blind, so foolish, so unreasonable, as to believe it for a moment." So once more the heart of the young commander was heavy within his breast.	Alas, I am not so blind, so foolish, so unreasonable, as to believe it for a moment." So once more the heart of the young commander was heavy within his breast.
3448_5416_000047_000000	In the mean time Captain Bramble had found an opportunity that afternoon to see Maud, and to learn from her that Captain Ratlin almost always slept on board his ship, departing soon after dark for the spot through the jungle.	In the mean time Captain Bramble had found an opportunity that afternoon to see Maud, and to learn from her that Captain Ratlin almost always slept on board his ship, departing soon after dark for the spot through the jungle.
3448_5416_000047_000003	But all seemed now propitious, and he awaited the darkness with impatience, when he might disembark a couple of boat loads of sailors and marines, and with the Quadroon for guide follow the path through the jungle to where the "Sea Witch" lay.	But all seemed now propitious, and he awaited the darkness with impatience, when he might disembark a couple of boat loads of sailors and marines, and with the Quadroon for guide follow the path through the jungle to where the "Sea Witch" lay.
3448_5416_000050_000000	"Fortunate, my dear?	"Fortunate, my dear?
3448_5416_000050_000001	I don't exactly know about that.	I don't exactly know about that.
3448_5416_000050_000002	Here we have been confined at this slave factory, little better than the slaves themselves, these four weeks."	Here we have been confined at this slave factory, little better than the slaves themselves, these four weeks."
3448_5416_000051_000000	"Well, mother, Captain Bramble says he shall sail soon, and then we can go round to Sierra Leone, and from thence take passage direct for England."	"Well, mother, Captain Bramble says he shall sail soon, and then we can go round to Sierra Leone, and from thence take passage direct for England."
3448_5416_000053_000000	"He says that business and duty, which he cannot explain, detain him here, but that he will soon leave, of which he will give us due notice."	"He says that business and duty, which he cannot explain, detain him here, but that he will soon leave, of which he will give us due notice."
3448_5416_000055_000000	This conversation will explain to the reader in part, the reason why Mrs. Huntington and her daughter, English subjects and in distress upon the coast, had not at once gone on board the vessel of their sovereign which lay in the harbor, and been carried upon their destination.	This conversation will explain to the reader in part, the reason why mrs Huntington and her daughter, English subjects and in distress upon the coast, had not at once gone on board the vessel of their sovereign which lay in the harbor, and been carried upon their destination.
3448_5416_000057_000000	"Do I, mother?" she answered, vacantly.	"Do I, mother?" she answered, vacantly.
