8494_244431_000000_000000	"If you enlist, come with me," he said to Harry.	"If you enlist, come with me," he said to Harry.	false	0	4.71	21.498613
8494_244431_000006_000002	That's Fort Sumter.	That's Fort Sumter.	true	97.7	99.01	23.334614
8494_244431_000006_000003	Yesterday, while we were enjoying our Christmas dinner and talking of the things that we would do, Major Anderson, who commanded the United States garrison in Fort Moultrie, quietly moved it over to Sumter, which is far stronger.	Yesterday, while we were enjoying our Christmas dinner and talking of the things that we would do, Major Anderson, who commanded the United States garrison in Fort Moultrie, quietly moved it over to Sumter, which is far stronger.	true	99.35	112.48	20
8494_244431_000006_000004	The wives and children of the soldiers and officers have been landed in the city with the request that we send them to their homes in the states, which, of course, we will do. But Major Anderson, who holds the fort in the name of the United States, refuses to give it up to South Carolina, which claims it."	The wives and children of the soldiers and officers have been landed in the city with the request that we send them to their homes in the states, which, of course, we will do. But Major Anderson, who holds the fort in the name of the United States, refuses to give it up to South Carolina, which claims it."	true	112.73	130.03	20
8494_244431_000007_000000	Harry felt an extraordinary thrill, a thrill that was, in many ways, most painful.	Harry felt an extraordinary thrill, a thrill that was, in many ways, most painful.	true	131	136.54	20
8494_244431_000007_000001	Talk was one thing, action was another.	Talk was one thing, action was another.	true	136.82	139.69	21.340189
8494_244431_000007_000002	Here stood South Carolina and the Union face to face, looking at each other through the muzzles of cannon.	Here stood South Carolina and the Union face to face, looking at each other through the muzzles of cannon.	true	139.91	146.53	18
8494_244431_000007_000003	Sumter had one hundred and forty guns, most of which commanded the city, and the people of Charleston had thrown up great earthworks, mounting many cannon.	Sumter had one hundred and forty guns, most of which commanded the city, and the people of Charleston had thrown up great earthworks, mounting many cannon.	true	146.78	155.86	22.14208
8494_244431_000008_000000	Boy as he was, Harry was old enough to see that here were all the elements of a great conflagration.	Boy as he was, Harry was old enough to see that here were all the elements of a great conflagration.	true	156.05	162.31	16
8494_244431_000008_000001	It merely remained for somebody to touch fire to the tow.	It merely remained for somebody to touch fire to the tow.	true	162.59	166	19
8494_244431_000008_000002	He was not one to sentimentalize, but the sight of the defiant flag, the most beautiful in all the world, stirred him in every fiber.	He was not one to sentimentalize, but the sight of the defiant flag, the most beautiful in all the world, stirred him in every fiber.	true	166.4	174.7	21.601688
8494_244431_000008_000003	It was the flag under which both his father and Colonel Talbot had fought.	It was the flag under which both his father and Colonel Talbot had fought.	true	174.83	178.99	22.586384
8494_244431_000009_000000	"It has to be, Harry," said St. Clair, who was watching him closely. "If it comes to a crisis we must fire upon it.	"It has to be, Harry," said st Clair, who was watching him closely. "If it comes to a crisis we must fire upon it.	false	179.66	186.58	23.13571
8494_244431_000009_000001	If we don't, the South will be enslaved and black ignorance and savagery will be enthroned upon our necks."	If we don't, the South will be enslaved and black ignorance and savagery will be enthroned upon our necks."	true	186.62	192.97	17
8494_244431_000010_000000	"I suppose so," said Harry.	"I suppose so," said Harry.	true	193.64	195.55	22.103113
8494_244431_000010_000001	"But look how the people gather!"	"But look how the people gather!"	true	195.71	197.53	22.83332
8494_244431_000011_000000	The Battery and all the harbor were now lined with the men, women and children of Charleston.	The Battery and all the harbor were now lined with the men, women and children of Charleston.	true	198.44	203.95	14
8494_244431_000011_000001	Harry saw soldiers moving about Sumter, but no demonstration of any kind occurred there.	Harry saw soldiers moving about Sumter, but no demonstration of any kind occurred there.	true	204.23	209.53	19
8494_244431_000011_000002	He had not thought hitherto about the garrison of the forts in Charleston harbor.	He had not thought hitherto about the garrison of the forts in Charleston harbor.	false	209.87	214.42	22
8494_244431_000011_000003	He recognized for the first time that they might not share the opinions of Charleston, and this name of Anderson was full of significance for him.	He recognized for the first time that they might not share the opinions of Charleston, and this name of Anderson was full of significance for him.	true	214.7	223.06	23.038492
8494_244431_000011_000004	Major Anderson was a Kentuckian.	Major Anderson was a Kentuckian.	true	223.52	225.49	20.908592
8494_244431_000011_000005	He had heard his father speak of him; they had served together, but it was now evident to Harry that Anderson would not go with South Carolina.	He had heard his father speak of him; they had served together, but it was now evident to Harry that Anderson would not go with South Carolina.	true	225.86	233.74	21.610964
8494_244431_000012_000000	"You'll see a small boat coming soon from Sumter," said St. Clair. "Some of our people have gone over there to confer with Major Anderson and demand that he give up the fort."	"You'll see a small boat coming soon from Sumter," said st Clair. "Some of our people have gone over there to confer with Major Anderson and demand that he give up the fort."	false	234.23	243.88	22.205572
8494_244431_000013_000000	"I don't believe he'll do it," said Harry impulsively.	"I don't believe he'll do it," said Harry impulsively.	true	244.25	247.36	23.008286
8494_244431_000013_000001	Some one touched him upon the shoulder, and turning quickly he saw Colonel Leonidas Talbot.	Some one touched him upon the shoulder, and turning quickly he saw Colonel Leonidas Talbot.	true	247.49	253.09	23
8494_244431_000013_000002	He shook the colonel's hand with vigor, and introduced him to young St. Clair.	He shook the colonel's hand with vigor, and introduced him to young st Clair.	false	253.34	257.56	21.29212
8494_244431_000014_000000	"I have just come into the city," said the colonel, "and I heard only a few minutes ago that Major Anderson had removed his garrison from Moultrie to Sumter."	"I have just come into the city," said the colonel, "and I heard only a few minutes ago that Major Anderson had removed his garrison from Moultrie to Sumter."	true	258.26	266.53	20.275932
8494_244431_000015_000000	"It is true," said St. Clair.	"It is true," said st Clair.	false	267.5	269.44	25.998877
8494_244431_000015_000001	"He is defiant.	"He is defiant.	true	269.54	270.7	25.694689
8494_244431_000015_000002	He says that he will hold the fort for the Union."	He says that he will hold the fort for the Union."	true	270.8	273.34	19.883621
8494_244431_000016_000000	"I had hoped that he would give up," said Colonel Talbot.	"I had hoped that he would give up," said Colonel Talbot.	true	273.86	276.67	22.585907
8494_244431_000016_000001	"It might help the way to a composition."	"It might help the way to a composition."	true	276.77	279.19	22
8494_244431_000017_000000	He pulled his long mustache and looked somberly at the flag.	He pulled his long mustache and looked somberly at the flag.	true	279.74	283.14	22.478989
8494_244431_000017_000001	The wind had risen a little, and it whipped about the staff.	The wind had risen a little, and it whipped about the staff.	true	283.14	286.395	21.737537
8494_244431_000017_000002	Its fluttering motions seemed to Harry more significant than ever of defiance.	Its fluttering motions seemed to Harry more significant than ever of defiance.	true	286.395	291.01	21
8494_244431_000017_000003	He understood the melancholy ring in Colonel Talbot's voice.	He understood the melancholy ring in Colonel Talbot's voice.	true	291.35	294.76	16
8494_244431_000017_000004	He, too, like the boy's father, had fought under that flag, the same flag that had led him up the flame-swept slopes of Cerro Gordo and Chapultepec.	He, too, like the boy's father, had fought under that flag, the same flag that had led him up the flame swept slopes of Cerro Gordo and Chapultepec.	true	295.07	304.09	21.810877
8494_244431_000018_000000	"Here they come," exclaimed St. Clair, "and I know already the answer that they bring!"	"Here they come," exclaimed st Clair, "and I know already the answer that they bring!"	false	304.43	309.46	20.772907
8494_244431_000019_000000	The small boat that he had predicted put out from Sumter and quickly landed at the Battery.	The small boat that he had predicted put out from Sumter and quickly landed at the Battery.	true	309.8	314.65	22
8494_244431_000019_000001	It contained three commissioners, prominent men of Charleston who had been sent to treat with Major Anderson, and his answer was quickly known to all the crowd.	It contained three commissioners, prominent men of Charleston who had been sent to treat with Major Anderson, and his answer was quickly known to all the crowd.	true	314.69	322.99	20
8494_244431_000019_000002	Sumter was the property of the United States, not of South Carolina, and he would hold it for the Union.	Sumter was the property of the United States, not of South Carolina, and he would hold it for the Union.	true	323.15	328.99	22.340883
8494_244431_000019_000003	At that moment the wind strengthened, and the flag stood straight out over the lofty walls of Sumter.	At that moment the wind strengthened, and the flag stood straight out over the lofty walls of Sumter.	true	329.6	335.29	23.071579
8494_244431_000020_000000	"I knew it would be so," said Colonel Talbot, with a sigh.	"I knew it would be so," said Colonel Talbot, with a sigh.	true	335.66	339.13	20
8494_244431_000020_000001	"Anderson is that kind of a man.	"Anderson is that kind of a man.	false	339.32	341.17	22
8494_244431_000020_000002	Come, boys, we will go back into the city.	Come, boys, we will go back into the city.	true	341.42	343.695	16
8494_244431_000020_000003	I am to help in building the fortifications, and as I am about to make a tour of inspection I will take you with me."	I am to help in building the fortifications, and as I am about to make a tour of inspection I will take you with me."	true	343.695	350.17	22.505732
8494_244431_000021_000000	Harry found that, although secession was only a few days old, the work of offense and defense was already far advanced.	Harry found that, although secession was only a few days old, the work of offense and defense was already far advanced.	true	350.93	358.15	19
8494_244431_000021_000001	The planters were pouring into Charleston, bringing their slaves with them, and white and black labored together at the earthworks.	The planters were pouring into Charleston, bringing their slaves with them, and white and black labored together at the earthworks.	true	358.37	365.32	19
8494_244431_000021_000002	Rich men, who had never soiled their hands with toil before now, wielded pick and spade by the side of their black slaves.	Rich men, who had never soiled their hands with toil before now, wielded pick and spade by the side of their black slaves.	true	365.6	373.11	16
8494_244431_000021_000003	And it was rumored that Toutant Beauregard, a great engineer officer, now commander at the West Point Military Academy, would speedily resign, and come south to take command of the forces in Charleston.	And it was rumored that Toutant Beauregard, a great engineer officer, now commander at the West Point Military Academy, would speedily resign, and come south to take command of the forces in Charleston.	false	373.11	385.18	22
8494_244431_000022_000000	Strong works were going up along the mainland.	Strong works were going up along the mainland.	true	385.91	388.51	22.004213
8494_244431_000022_000001	The South Carolina forces had also seized Sullivan's Island, Morris Island, and James Island and were mounting guns upon them all.	The South Carolina forces had also seized Sullivan's Island, Morris Island, and james Island and were mounting guns upon them all.	true	388.67	396.85	19
8494_244431_000022_000002	Circling batteries would soon threaten Sumter, and, however defiantly the flag there might snap in the breeze, it must come down.	Circling batteries would soon threaten Sumter, and, however defiantly the flag there might snap in the breeze, it must come down.	true	397.07	405.13	20.926916
8494_244431_000023_000000	As they were leaving the last of the batteries Harry noticed the broad, strong back and erect figure of a young man who stood with his hands in his pockets.	As they were leaving the last of the batteries Harry noticed the broad, strong back and erect figure of a young man who stood with his hands in his pockets.	true	405.65	413.74	15
8494_244431_000023_000001	He knew by his rigid attitude that he was looking intently at the battery and he knew, moreover, that it was Shepard.	He knew by his rigid attitude that he was looking intently at the battery and he knew, moreover, that it was Shepard.	true	413.9	420.85	22.44774
8494_244431_000023_000002	He wished to avoid him, and he wished also that his companion would not see him. He started to draw Colonel Talbot away, but it was too late.	He wished to avoid him, and he wished also that his companion would not see him. He started to draw Colonel Talbot away, but it was too late.	true	421.13	429.55	22.96604
8494_244431_000023_000003	Shepard turned at that moment, and the colonel caught sight of his face.	Shepard turned at that moment, and the colonel caught sight of his face.	true	429.62	433.51	23.694275
8494_244431_000024_000000	"That man here among our batteries!" he exclaimed in a menacing tone.	"That man here among our batteries!" he exclaimed in a menacing tone.	true	434.15	438.73	17.718513
8494_244431_000025_000000	"Come away, colonel!" said Harry hastily.	"Come away, colonel!" said Harry hastily.	true	439.28	441.79	26.36299
8494_244431_000025_000001	"We don't know anything against him!"	"We don't know anything against him!"	true	441.89	443.74	20.36137
8494_244431_000026_000000	But Shepard himself acted first.	But Shepard himself acted first.	true	444.29	446.415	21.723269
8494_244431_000026_000001	He came forward quickly, his hand extended, and his eyes expressing pleasure.	He came forward quickly, his hand extended, and his eyes expressing pleasure.	true	446.415	451.03	21.444021
8494_244431_000027_000000	"I missed you this morning, Mr. Kenton," he said.	"I missed you this morning, mr Kenton," he said.	true	452.03	454.93	27.25915
8494_244431_000027_000001	"You were too early for me, but we meet, nevertheless, in a place of the greatest interest. And here is Colonel Talbot, too!"	"You were too early for me, but we meet, nevertheless, in a place of the greatest interest. And here is Colonel Talbot, too!"	false	455.09	463.17	21.707045
8494_244431_000028_000000	Harry took the outstretched hand--he could not keep from liking Shepard--but Colonel Talbot, by turning slightly, avoided it without giving the appearance of brusqueness.	Harry took the outstretched hand-he could not keep from liking Shepard-but Colonel Talbot, by turning slightly, avoided it without giving the appearance of brusqueness.	true	463.17	472.54	23
8494_244431_000028_000001	His courtesy, concerning which the South Carolinians of his type were so particular, would not fail him, and, while he avoided the hand, he promptly introduced Shepard and St. Clair.	His courtesy, concerning which the South Carolinians of his type were so particular, would not fail him, and, while he avoided the hand, he promptly introduced Shepard and st Clair.	false	472.76	483.01	22.63333
8494_244431_000029_000000	"I did not expect to find events so far advanced in Charleston," said Shepard.	"I did not expect to find events so far advanced in Charleston," said Shepard.	true	484.04	488.41	22.268913
8494_244431_000029_000001	"With the Federal garrison concentrated in Sumter and the batteries going up everywhere, matters begin to look dangerous."	"With the Federal garrison concentrated in Sumter and the batteries going up everywhere, matters begin to look dangerous."	true	488.57	495.52	20
8494_244431_000030_000000	"I suppose that you have made a careful examination of all the batteries," said Colonel Talbot dryly.	"I suppose that you have made a careful examination of all the batteries," said Colonel Talbot dryly.	true	496.49	501.94	19
8494_244431_000031_000000	"Casual, not careful," returned Shepard, in his usual cheerful tones. "It is impossible, at such a time, to keep from looking at Sumter, the batteries and all the other preparations.	"Casual, not careful," returned Shepard, in his usual cheerful tones. "It is impossible, at such a time, to keep from looking at Sumter, the batteries and all the other preparations.	true	502.58	513.49	21
8494_244431_000031_000001	We would not be human if we didn't do it, and I've seen enough to know that the Yankees will have a hot welcome if they undertake to interfere with Charleston."	We would not be human if we didn't do it, and I've seen enough to know that the Yankees will have a hot welcome if they undertake to interfere with Charleston."	true	513.71	521.68	18
8494_244431_000032_000000	"You see truly," said Colonel Talbot, with some emphasis.	"You see truly," said Colonel Talbot, with some emphasis.	true	522.65	526.27	21.208073
8494_244431_000033_000000	"A happy chance has put me at the same place as Mr. Kenton," continued Shepard easily.	"A happy chance has put me at the same place as mr Kenton," continued Shepard easily.	true	527.18	532.425	23
8494_244431_000033_000001	"I have letters which admitted me to the inn of Madame Delaunay, and I met him there last night.	"I have letters which admitted me to the inn of Madame Delaunay, and I met him there last night.	false	532.425	537.64	20
8494_244431_000033_000002	We are likely to see much of each other."	We are likely to see much of each other."	true	537.77	539.92	22.192749
8494_244431_000034_000000	Colonel Leonidas Talbot raised his eyebrows.	Colonel Leonidas Talbot raised his eyebrows.	false	541.01	543.79	20.730375
8494_244431_000034_000001	When they walked a little further he excused himself, saying that he was going to meet a committee of defense at St. Andrew's Hall, and Harry and Arthur, after talking a little longer with Shepard, left him near one of the batteries.	When they walked a little further he excused himself, saying that he was going to meet a committee of defense at saint Andrew's Hall, and Harry and Arthur, after talking a little longer with Shepard, left him near one of the batteries.	false	543.8	555.79	18
8494_244431_000035_000000	"I'm going to my bank," said St. Clair.	"I'm going to my bank," said st Clair.	false	556.79	559.24	17.332289
8494_244431_000035_000001	"I'm already long overdue, but it will be forgiven at such a time as this.	"I'm already long overdue, but it will be forgiven at such a time as this.	true	559.46	563.98	20.717045
8494_244431_000035_000002	And I must say, Harry, that Colonel Talbot does not seem to like your acquaintance, Mr. Shepard."	And I must say, Harry, that Colonel Talbot does not seem to like your acquaintance, mr Shepard."	true	564.2	569.5	18
8494_244431_000036_000000	"It is true, he doesn't, although I don't know just why," said Harry.	"It is true, he doesn't, although I don't know just why," said Harry.	true	569.99	574.27	22.365778
8494_244431_000037_000000	He saw Shepard at a distance three more times in the course of the day, but he sedulously avoided a meeting.	He saw Shepard at a distance three more times in the course of the day, but he sedulously avoided a meeting.	true	574.49	580.66	16
8494_244431_000037_000001	He noticed that Shepard was always near the batteries and earthworks, but hundreds of others were near them, too.	He noticed that Shepard was always near the batteries and earthworks, but hundreds of others were near them, too.	true	580.94	586.69	18
8494_244431_000037_000002	He did not return to Madame Delaunay's until evening, when it was time for dinner, where he found all the guests gathered, with the addition of Shepard.	He did not return to Madame Delaunay's until evening, when it was time for dinner, where he found all the guests gathered, with the addition of Shepard.	true	586.73	594.22	18
8494_244431_000038_000000	Madame Delaunay assigned the new man to a seat near the foot of the table and the talk ran on much as it had done at the Christmas dinner, Major St. Hilaire leading, which Harry surmised was his custom.	Madame Delaunay assigned the new man to a seat near the foot of the table and the talk ran on much as it had done at the Christmas dinner, Major st Hilaire leading, which Harry surmised was his custom.	false	594.41	606.1	19
8494_244431_000038_000001	Shepard, who had been introduced to the others by Madame Delaunay, did not have much to say, nor did the South Carolinians warm to him as they had to Harry.	Shepard, who had been introduced to the others by Madame Delaunay, did not have much to say, nor did the South Carolinians warm to him as they had to Harry.	true	606.26	614.77	16
8494_244431_000038_000002	A slight air of constraint appeared and Harry was glad when the dinner was over.	A slight air of constraint appeared and Harry was glad when the dinner was over.	true	615.02	619.62	20
8494_244431_000038_000003	Then he and St. Clair slipped away and spent the evening roaming about the city, looking at the old historic places, the fine churches, the homes of the wealthy and again at the earthworks and the harbor forts.	Then he and st Clair slipped away and spent the evening roaming about the city, looking at the old historic places, the fine churches, the homes of the wealthy and again at the earthworks and the harbor forts.	false	619.62	632.38	21.37298
8494_244431_000038_000004	The last thing Harry saw as he turned back toward Madame Delaunay's was that defiant flag of the Union, still waving above the dark and looming mass of old Sumter.	The last thing Harry saw as he turned back toward Madame Delaunay's was that defiant flag of the Union, still waving above the dark and looming mass of old Sumter.	true	632.51	642.19	20.724466
8494_244431_000039_000000	He was unlocking the door to his room when Shepard came briskly down the hall, carrying his candle in his hand.	He was unlocking the door to his room when Shepard came briskly down the hall, carrying his candle in his hand.	true	643.07	649.36	18
8494_244431_000040_000000	"I want to tell you good-bye, Mr. Kenton," he said, "I thought we were to be together here at the inn for some time, but it is not to be so."	"I want to tell you good bye, mr Kenton," he said, "I thought we were to be together here at the inn for some time, but it is not to be so."	true	650	657.82	21
8494_244431_000041_000000	"What has happened?"	"What has happened?"	true	658.34	659.38	25.56872
8494_244431_000042_000000	"It appears that my room had been engaged already by another man, beginning tomorrow morning.	"It appears that my room had been engaged already by another man, beginning tomorrow morning.	false	659.84	664.59	14
8494_244431_000042_000001	I was not informed of it when I came here, but Madame Delaunay has recalled the fact and I cannot doubt the word of a Charleston lady.	I was not informed of it when I came here, but Madame Delaunay has recalled the fact and I cannot doubt the word of a Charleston lady.	true	664.59	671.98	20
8494_244431_000042_000002	It appears also that no other room is vacant, owing to the great number of people who have come into the city in the last week or two.	It appears also that no other room is vacant, owing to the great number of people who have come into the city in the last week or two.	false	672.14	678.91	16
8494_244431_000042_000003	So, I go."	So, I go."	true	679.04	680.5	24.971838
8494_244431_000043_000000	He did not seem at all discouraged, his tone being as cheerful as ever, and he held out his hand.	He did not seem at all discouraged, his tone being as cheerful as ever, and he held out his hand.	true	680.54	686.32	22.848944
8494_244431_000043_000001	Harry liked this man, although it seemed that others did not, and when he released the hand he said:	Harry liked this man, although it seemed that others did not, and when he released the hand he said:	true	686.84	691.995	19
8494_244431_000044_000000	"Take good care of yourself, Mr. Shepard.	"Take good care of yourself, mr Shepard.	true	691.995	694.33	22.196772
8494_244431_000044_000001	As I see it, the people of Charleston are not taking to you, and we do not know what is going to happen."	As I see it, the people of Charleston are not taking to you, and we do not know what is going to happen."	true	694.34	700.24	24.888374
8494_244431_000045_000000	"Both statements are true," said Shepard with a laugh as he vanished down the hail.	"Both statements are true," said Shepard with a laugh as he vanished down the hail.	false	700.28	704.88	23
8494_244431_000045_000001	Nothing yet had been able to disturb his poise.	Nothing yet had been able to disturb his poise.	true	704.88	707.83	23.033806
8494_244431_000046_000000	Harry went into his own room, and, throwing open his front window to let in fresh air, he heard the hum of voices.	Harry went into his own room, and, throwing open his front window to let in fresh air, he heard the hum of voices.	true	707.87	714.37	18
8494_244431_000046_000001	He looked down into a piazza and he saw two figures there, a man and a woman.	He looked down into a piazza and he saw two figures there, a man and a woman.	true	714.77	719.59	21
8494_244431_000046_000002	They were Colonel Talbot and Madame Delaunay.	They were Colonel Talbot and Madame Delaunay.	true	720.05	722.8	23.175644
8494_244431_000046_000003	He closed the blind promptly, feeling that unconsciously he had touched upon something hallowed, the thread of an old romance, a thread which, though slender, was nevertheless yet strong.	He closed the blind promptly, feeling that unconsciously he had touched upon something hallowed, the thread of an old romance, a thread which, though slender, was nevertheless yet strong.	true	723.17	734.56	21.761845
8494_244431_000046_000004	Nor did he doubt that the suggestion of Colonel Leonidas Talbot had caused the speedy withdrawal of Shepard.	Nor did he doubt that the suggestion of Colonel Leonidas Talbot had caused the speedy withdrawal of Shepard.	true	734.72	740.71	18
8494_244431_000047_000000	Several more days passed.	Several more days passed.	true	741.29	743.07	24.643896
8494_244431_000047_000001	Harry found that he was taken into the city's heart, and its spell was very strong upon him.	Harry found that he was taken into the city's heart, and its spell was very strong upon him.	true	743.07	748.42	21
8494_244431_000047_000002	He knew that much of his welcome was due to the powerful influence of Colonel Leonidas Talbot and to the warm friendship of Arthur St. Clair, who apparently was related to everybody.	He knew that much of his welcome was due to the powerful influence of Colonel Leonidas Talbot and to the warm friendship of Arthur st Clair, who apparently was related to everybody.	false	748.82	759.61	19
8494_244431_000047_000003	A letter came from his father, to whom he had written at once of his purpose, giving his approval, and sending him more money. Colonel Kenton wrote that he would come South himself, but he was needed in Kentucky, where a powerful faction was opposing their plans.	A letter came from his father, to whom he had written at once of his purpose, giving his approval, and sending him more money. Colonel Kenton wrote that he would come South himself, but he was needed in Kentucky, where a powerful faction was opposing their plans.	true	759.68	774.375	21
8494_244431_000047_000004	He said that Harry's cousin, Dick Mason, had joined the home guards, raised in the interests of the old Union, and was drilling zealously.	He said that Harry's cousin, Dick Mason, had joined the home guards, raised in the interests of the old Union, and was drilling zealously.	true	774.375	783.52	23.112751
8494_244431_000048_000000	The letter made the boy very thoughtful.	The letter made the boy very thoughtful.	true	783.8	786.09	20.557014
8494_244431_000048_000001	The news about his cousin opened his eyes.	The news about his cousin opened his eyes.	true	786.09	788.8	21.128683
8494_244431_000048_000002	The line of cleavage between North and South was widening into a gulf.	The line of cleavage between North and South was widening into a gulf.	true	788.87	793.27	19.788784
8494_244431_000048_000003	But his spirits rose when he enlisted in the Palmetto Guards, and began to see active service.	But his spirits rose when he enlisted in the Palmetto Guards, and began to see active service.	true	793.55	798.7	19
8494_244431_000048_000004	His quickness and zeal caused him to be used as a messenger, and he was continually passing back and forth among the Confederate leaders in Charleston. He also came into contact with the Union officers in Fort Sumter.	His quickness and zeal caused him to be used as a messenger, and he was continually passing back and forth among the Confederate leaders in Charleston. He also came into contact with the Union officers in Fort Sumter.	true	799.04	810.88	20
8494_244431_000049_000000	The relations of the town and the garrison were yet on a friendly basis. Men were allowed to come ashore and to buy fresh meat, vegetables, and other provisions.	The relations of the town and the garrison were yet on a friendly basis. Men were allowed to come ashore and to buy fresh meat, vegetables, and other provisions.	true	811.28	820.48	19
8494_244431_000049_000001	Strict orders kept anyone from offering violence or insult to them.	Strict orders kept anyone from offering violence or insult to them.	true	820.76	824.83	21
8494_244431_000049_000002	Harry saw Anderson once, but he did not give him his name, deeming it best, because of the stand that he had taken, that no talk should pass between them.	Harry saw Anderson once, but he did not give him his name, deeming it best, because of the stand that he had taken, that no talk should pass between them.	false	825.05	833.95	21.506485
8494_244431_000050_000000	He picked up a copy of the Mercury one morning and saw that a steamer, the Star of the West, was on its way to Charleston from a northern port with supplies for the garrison in Fort Sumter.	He picked up a copy of the Mercury one morning and saw that a steamer, the Star of the West, was on its way to Charleston from a northern port with supplies for the garrison in Fort Sumter.	true	834.29	844.84	22
8494_244431_000050_000001	He read the brief account, threw down the paper and rushed out for his friend, St. Clair. He knew that the coming of this vessel would fire the Charleston heart, and he was eager to be upon the scene.	He read the brief account, threw down the paper and rushed out for his friend, st Clair. He knew that the coming of this vessel would fire the Charleston heart, and he was eager to be upon the scene.	false	845.33	862.32	21.768192
