7754_105383_000000_000000	CHAPTER IV THE LEAGUE OF THE SCARLET PIMPERNEL	CHAPTER four THE LEAGUE OF THE SCARLET PIMPERNEL	false	0.24	23.86	22.761251
7754_105383_000018_000005	I should not have left him . . .	I should not have left him . . .	true	288.12	289.96	20.271456
7754_105383_000018_000006	I should not have left him! . . ."	I should not have left him! . . ."	true	290.18	292.57	19.534618
7754_105383_000019_000000	The poor woman had completely broken down; fatigue, sorrow and emotion had overmastered her rigid, aristocratic bearing.	The poor woman had completely broken down; fatigue, sorrow and emotion had overmastered her rigid, aristocratic bearing.	true	293.54	301.57	18
7754_105383_000019_000001	She was crying gently to herself, whilst Suzanne ran up to her and tried to kiss away her tears.	She was crying gently to herself, whilst Suzanne ran up to her and tried to kiss away her tears.	true	301.82	308.56	24.187817
7754_105383_000020_000000	Lord Antony and Sir Andrew had said nothing to interrupt the Comtesse whilst she was speaking.	Lord Antony and Sir Andrew had said nothing to interrupt the Comtesse whilst she was speaking.	true	309.62	314.95	16
7754_105383_000020_000001	There was no doubt that they felt deeply for her; their very silence testified to that--but in every century, and ever since England has been what it is, an Englishman has always felt somewhat ashamed of his own emotion and of his own sympathy.	There was no doubt that they felt deeply for her; their very silence testified to that-but in every century, and ever since England has been what it is, an Englishman has always felt somewhat ashamed of his own emotion and of his own sympathy.	true	315.17	330.25	21.436644
7754_105383_000020_000002	And so the two young men said nothing, and busied themselves in trying to hide their feelings, only succeeding in looking immeasurably sheepish.	And so the two young men said nothing, and busied themselves in trying to hide their feelings, only succeeding in looking immeasurably sheepish.	false	330.35	339.31	21
7754_105383_000021_000000	"As for me, Monsieur," said Suzanne, suddenly, as she looked through a wealth of brown curls across at Sir Andrew, "I trust you absolutely, and I KNOW that you will bring my dear father safely to England, just as you brought us to-day."	"As for me, Monsieur," said Suzanne, suddenly, as she looked through a wealth of brown curls across at Sir Andrew, "I trust you absolutely, and I KNOW that you will bring my dear father safely to England, just as you brought us to day."	true	340.49	354.55	19.044876
7754_105383_000022_000000	This was said with so much confidence, such unuttered hope and belief, that it seemed as if by magic to dry the mother's eyes, and to bring a smile upon everybody's lips.	This was said with so much confidence, such unuttered hope and belief, that it seemed as if by magic to dry the mother's eyes, and to bring a smile upon everybody's lips.	true	355.55	366.22	22.356499
7754_105383_000023_000000	"Nay!	"Nay!	true	366.77	367.5	27
7754_105383_000023_000001	You shame me, Mademoiselle," replied Sir Andrew; "though my life is at your service, I have been but a humble tool in the hands of our great leader, who organised and effected your escape."	You shame me, Mademoiselle," replied Sir Andrew; "though my life is at your service, I have been but a humble tool in the hands of our great leader, who organised and effected your escape."	true	367.5	379.15	21.083899
7754_105383_000024_000000	He had spoken with so much warmth and vehemence that Suzanne's eyes fastened upon him in undisguised wonder.	He had spoken with so much warmth and vehemence that Suzanne's eyes fastened upon him in undisguised wonder.	true	379.61	386.02	21
7754_105383_000025_000000	"Your leader, Monsieur?" said the Comtesse, eagerly.	"Your leader, Monsieur?" said the Comtesse, eagerly.	true	386.81	390.13	20.898663
7754_105383_000025_000001	"Ah! of course, you must have a leader.	"Ah! of course, you must have a leader.	true	390.47	392.92	25
7754_105383_000025_000002	And I did not think of that before!	And I did not think of that before!	true	393.17	395.17	21.79531
7754_105383_000025_000003	But tell me where is he?	But tell me where is he?	true	395.18	396.82	20.286024
7754_105383_000025_000004	I must go to him at once, and I and my children must throw ourselves at his feet, and thank him for all that he has done for us."	I must go to him at once, and I and my children must throw ourselves at his feet, and thank him for all that he has done for us."	false	396.89	405.49	21.606234
7754_105383_000026_000000	"Alas, Madame!" said Lord Antony, "that is impossible."	"Alas, Madame!" said Lord Antony, "that is impossible."	true	406.4	410.22	22.6575
7754_105383_000027_000000	"Impossible?--Why?"	"Impossible?--Why?"	false	410.22	412.87	24.913689
7754_105383_000028_000000	"Because the Scarlet Pimpernel works in the dark, and his identity is only known under the solemn oath of secrecy to his immediate followers."	"Because the Scarlet Pimpernel works in the dark, and his identity is only known under the solemn oath of secrecy to his immediate followers."	false	413.81	422.38	16
7754_105383_000029_000000	"The Scarlet Pimpernel?" said Suzanne, with a merry laugh.	"The Scarlet Pimpernel?" said Suzanne, with a merry laugh.	true	423.26	426.945	20
7754_105383_000029_000001	"Why! what a droll name!	"Why! what a droll name!	true	426.945	429.045	18.848156
7754_105383_000029_000002	What is the Scarlet Pimpernel, Monsieur?"	What is the Scarlet Pimpernel, Monsieur?"	true	429.045	431.77	24.049696
7754_105383_000030_000000	She looked at Sir Andrew with eager curiosity.	She looked at Sir Andrew with eager curiosity.	true	432.38	435.67	23
7754_105383_000030_000001	The young man's face had become almost transfigured.	The young man's face had become almost transfigured.	true	435.8	439.03	21.21547
7754_105383_000030_000002	His eyes shone with enthusiasm; hero-worship, love, admiration for his leader seemed literally to glow upon his face.	His eyes shone with enthusiasm; hero worship, love, admiration for his leader seemed literally to glow upon his face.	true	439.4	448.45	22.38668
7754_105383_000030_000003	"The Scarlet Pimpernel, Mademoiselle," he said at last "is the name of a humble English wayside flower; but it is also the name chosen to hide the identity of the best and bravest man in all the world, so that he may better succeed in accomplishing the noble task he has set himself to do."	"The Scarlet Pimpernel, Mademoiselle," he said at last "is the name of a humble English wayside flower; but it is also the name chosen to hide the identity of the best and bravest man in all the world, so that he may better succeed in accomplishing the noble task he has set himself to do."	false	449.06	468.07	20
7754_105383_000031_000000	"Ah, yes," here interposed the young Vicomte, "I have heard speak of this Scarlet Pimpernel.	"Ah, yes," here interposed the young Vicomte, "I have heard speak of this Scarlet Pimpernel.	true	468.41	475.48	21.43548
7754_105383_000031_000001	A little flower--red?--yes!	A little flower-red?--yes!	true	475.61	478.18	24.22879
7754_105383_000031_000002	They say in Paris that every time a royalist escapes to England that devil, Foucquier-Tinville, the Public Prosecutor, receives a paper with that little flower designated in red upon it. . . .	They say in Paris that every time a royalist escapes to England that devil, Foucquier Tinville, the Public Prosecutor, receives a paper with that little flower designated in red upon it. . . .	false	478.82	492.16	23.823702
7754_105383_000031_000003	Yes?"	Yes?"	true	492.26	493.03	25.144533
7754_105383_000032_000000	"Yes, that is so," assented Lord Antony.	"Yes, that is so," assented Lord Antony.	true	493.79	496.93	25.70194
7754_105383_000033_000000	"Then he will have received one such paper to-day?"	"Then he will have received one such paper to day?"	true	497.3	501.01	22.910322
7754_105383_000034_000000	"Undoubtedly."	"Undoubtedly."	true	501.5	502.72	26.144894
7754_105383_000035_000000	"Oh!	"Oh!	true	503.93	504.585	23.746626
7754_105383_000035_000001	I wonder what he will say!" said Suzanne, merrily.	I wonder what he will say!" said Suzanne, merrily.	true	504.585	507.67	16.73884
7754_105383_000035_000002	"I have heard that the picture of that little red flower is the only thing that frightens him."	"I have heard that the picture of that little red flower is the only thing that frightens him."	true	507.86	512.44	19
7754_105383_000036_000000	"Faith, then," said Sir Andrew, "he will have many more opportunities of studying the shape of that small scarlet flower."	"Faith, then," said Sir Andrew, "he will have many more opportunities of studying the shape of that small scarlet flower."	false	513.23	520.86	21
7754_105383_000037_000000	"Ah, monsieur," sighed the Comtesse, "it all sounds like a romance, and I cannot understand it all."	"Ah, monsieur," sighed the Comtesse, "it all sounds like a romance, and I cannot understand it all."	false	520.86	528.46	20.214249
7754_105383_000038_000000	"Why should you try, Madame?"	"Why should you try, Madame?"	true	529.55	531.19	21.085575
7754_105383_000039_000000	"But, tell me, why should your leader--why should you all--spend your money and risk your lives--for it is your lives you risk, Messieurs, when you set foot in France--and all for us French men and women, who are nothing to you?"	"But, tell me, why should your leader-why should you all-spend your money and risk your lives-for it is your lives you risk, Messieurs, when you set foot in France-and all for us French men and women, who are nothing to you?"	true	532.25	546.42	22
7754_105383_000040_000000	"Sport, Madame la Comtesse, sport," asserted Lord Antony, with his jovial, loud and pleasant voice; "we are a nation of sportsmen, you know, and just now it is the fashion to pull the hare from between the teeth of the hound."	"Sport, Madame la Comtesse, sport," asserted Lord Antony, with his jovial, loud and pleasant voice; "we are a nation of sportsmen, you know, and just now it is the fashion to pull the hare from between the teeth of the hound."	false	546.42	562.17	22.053804
7754_105383_000041_000000	"Ah, no, no, not sport only, Monsieur . . . you have a more noble motive, I am sure for the good work you do."	"Ah, no, no, not sport only, Monsieur . . . you have a more noble motive, I am sure for the good work you do."	false	562.17	570.34	20.10948
7754_105383_000042_000000	"Faith, Madame, I would like you to find it then . . . as for me, I vow, I love the game, for this is the finest sport I have yet encountered.--Hair-breath escapes . . . the devil's own risks!--Tally ho!--and away we go!"	"Faith, Madame, I would like you to find it then . . . as for me, I vow, I love the game, for this is the finest sport I have yet encountered.--Hair breath escapes . . . the devil's own risks!--Tally ho!--and away we go!"	true	571.22	584.92	20.347794
7754_105383_000043_000000	But the Comtesse shook her head, still incredulously.	But the Comtesse shook her head, still incredulously.	true	585.83	588.91	23.381184
7754_105383_000043_000001	To her it seemed preposterous that these young men and their great leader, all of them rich, probably wellborn, and young, should for no other motive than sport, run the terrible risks, which she knew they were constantly doing.	To her it seemed preposterous that these young men and their great leader, all of them rich, probably wellborn, and young, should for no other motive than sport, run the terrible risks, which she knew they were constantly doing.	true	589.1	603.07	23
7754_105383_000043_000002	Their nationality, once they had set foot in France, would be no safeguard to them.	Their nationality, once they had set foot in France, would be no safeguard to them.	true	603.68	608.71	21.598576
7754_105383_000043_000003	Anyone found harbouring or assisting suspected royalists would be ruthlessly condemned and summarily executed, whatever his nationality might be.	Anyone found harbouring or assisting suspected royalists would be ruthlessly condemned and summarily executed, whatever his nationality might be.	true	608.87	618.55	20
7754_105383_000043_000004	And this band of young Englishmen had, to her own knowledge, bearded the implacable and bloodthirsty tribunal of the Revolution, within the very walls of Paris itself, and had snatched away condemned victims, almost from the very foot of the guillotine.	And this band of young Englishmen had, to her own knowledge, bearded the implacable and bloodthirsty tribunal of the Revolution, within the very walls of Paris itself, and had snatched away condemned victims, almost from the very foot of the guillotine.	false	619.01	634.3	21
7754_105383_000043_000005	With a shudder, she recalled the events of the last few days, her escape from Paris with her two children, all three of them hidden beneath the hood of a rickety cart, and lying amidst a heap of turnips and cabbages, not daring to breathe, whilst the mob howled, "A la lanterne les aristos!" at the awful West Barricade.	With a shudder, she recalled the events of the last few days, her escape from Paris with her two children, all three of them hidden beneath the hood of a rickety cart, and lying amidst a heap of turnips and cabbages, not daring to breathe, whilst the mob howled, "A la lanterne les aristos!" at the awful West Barricade.	false	634.82	655.03	23.628345
7754_105383_000044_000000	It had all occurred in such a miraculous way; she and her husband had understood that they had been placed on the list of "suspected persons," which meant that their trial and death were but a matter of days--of hours, perhaps.	It had all occurred in such a miraculous way; she and her husband had understood that they had been placed on the list of "suspected persons," which meant that their trial and death were but a matter of days-of hours, perhaps.	false	655.88	668.86	22
7754_105383_000045_000000	Then came the hope of salvation; the mysterious epistle, signed with the enigmatical scarlet device; the clear, peremptory directions; the parting from the Comte de Tournay, which had torn the poor wife's heart in two; the hope of reunion; the flight with her two children; the covered cart; that awful hag driving it, who looked like some horrible evil demon, with the ghastly trophy on her whip handle!	Then came the hope of salvation; the mysterious epistle, signed with the enigmatical scarlet device; the clear, peremptory directions; the parting from the Comte de Tournay, which had torn the poor wife's heart in two; the hope of reunion; the flight with her two children; the covered cart; that awful hag driving it, who looked like some horrible evil demon, with the ghastly trophy on her whip handle!	false	669.44	694.78	23.37087
7754_105383_000046_000000	The Comtesse looked round at the quaint, old-fashioned English inn, the peace of this land of civil and religious liberty, and she closed her eyes to shut out the haunting vision of that West Barricade, and of the mob retreating panic-stricken when the old hag spoke of the plague.	The Comtesse looked round at the quaint, old-fashioned English inn, the peace of this land of civil and religious liberty, and she closed her eyes to shut out the haunting vision of that West Barricade, and of the mob retreating panic stricken when the old hag spoke of the plague.	true	696.02	712.69	21
7754_105383_000047_000000	Every moment under that cart she expected recognition, arrest, herself and her children tried and condemned, and these young Englishmen, under the guidance of their brave and mysterious leader, had risked their lives to save them all, as they had already saved scores of other innocent people.	Every moment under that cart she expected recognition, arrest, herself and her children tried and condemned, and these young Englishmen, under the guidance of their brave and mysterious leader, had risked their lives to save them all, as they had already saved scores of other innocent people.	true	713.06	730.54	21
7754_105383_000048_000000	And all only for sport?	And all only for sport?	true	731.27	733.3	24.370033
7754_105383_000048_000001	Impossible!	Impossible!	true	733.55	734.68	23.797274
7754_105383_000048_000002	Suzanne's eyes as she sought those of Sir Andrew plainly told him that she thought that HE at any rate rescued his fellowmen from terrible and unmerited death, through a higher and nobler motive than his friend would have her believe.	Suzanne's eyes as she sought those of Sir Andrew plainly told him that she thought that HE at any rate rescued his fellowmen from terrible and unmerited death, through a higher and nobler motive than his friend would have her believe.	false	734.9	750.81	21.668907
7754_105383_000049_000000	"How many are there in your brave league, Monsieur?" she asked timidly.	"How many are there in your brave league, Monsieur?" she asked timidly.	true	750.81	755.5	19.312132
7754_105383_000050_000000	"Twenty all told, Mademoiselle," he replied, "one to command, and nineteen to obey.	"Twenty all told, Mademoiselle," he replied, "one to command, and nineteen to obey.	true	756.02	761.83	22.739
7754_105383_000050_000001	All of us Englishmen, and all pledged to the same cause--to obey our leader and to rescue the innocent."	All of us Englishmen, and all pledged to the same cause-to obey our leader and to rescue the innocent."	true	762.17	769.42	23.736628
7754_105383_000051_000000	"May God protect you all, Messieurs," said the Comtesse, fervently.	"May God protect you all, Messieurs," said the Comtesse, fervently.	false	770.51	775.3	21.562212
7754_105383_000052_000000	"He had done that so far, Madame."	"He had done that so far, Madame."	false	775.49	777.61	22.031109
7754_105383_000053_000000	"It is wonderful to me, wonderful!--That you should all be so brave, so devoted to your fellowmen--yet you are English!--and in France treachery is rife--all in the name of liberty and fraternity."	"It is wonderful to me, wonderful!--That you should all be so brave, so devoted to your fellowmen-yet you are English!--and in France treachery is rife-all in the name of liberty and fraternity."	true	778.88	792.13	20.707193
7754_105383_000054_000000	"The women even, in France, have been more bitter against us aristocrats than the men," said the Vicomte, with a sigh.	"The women even, in France, have been more bitter against us aristocrats than the men," said the Vicomte, with a sigh.	true	793.25	800.17	18.798407
7754_105383_000055_000000	"Ah, yes," added the Comtesse, while a look of haughty disdain and intense bitterness shot through her melancholy eyes, "There was that woman, Marguerite St. Just for instance.	"Ah, yes," added the Comtesse, while a look of haughty disdain and intense bitterness shot through her melancholy eyes, "There was that woman, Marguerite st Just for instance.	false	800.6	812.29	21.78259
7754_105383_000055_000001	She denounced the Marquis de St. Cyr and all his family to the awful tribunal of the Terror."	She denounced the Marquis de st Cyr and all his family to the awful tribunal of the Terror."	false	812.48	819.16	22.663496
7754_105383_000056_000000	"Marguerite St. Just?" said Lord Antony, as he shot a quick and apprehensive glance across at Sir Andrew.	"Marguerite st Just?" said Lord Antony, as he shot a quick and apprehensive glance across at Sir Andrew.	false	820.04	826.57	22.902925
7754_105383_000057_000000	"Marguerite St. Just?--Surely . . ."	"Marguerite st Just?--Surely . . ."	false	827.39	829.78	24.814957
7754_105383_000058_000000	"Yes!" replied the Comtesse, "surely you know her.	"Yes!" replied the Comtesse, "surely you know her.	true	830.21	833.71	20.313204
7754_105383_000058_000001	She was a leading actress of the Comedie Francaise, and she married an Englishman lately. You must know her--"	She was a leading actress of the Comedie Francaise, and she married an Englishman lately. You must know her-"	true	833.72	840.31	21
7754_105383_000059_000000	"Know her?" said Lord Antony.	"Know her?" said Lord Antony.	true	840.83	842.8	18.859608
7754_105383_000059_000001	"Know Lady Blakeney--the most fashionable woman in London--the wife of the richest man in England?	"Know Lady Blakeney-the most fashionable woman in London-the wife of the richest man in England?	false	842.84	849	17
7754_105383_000059_000002	Of course, we all know Lady Blakeney."	Of course, we all know Lady Blakeney."	true	849	851.44	23.118881
7754_105383_000060_000000	"She was a school-fellow of mine at the convent in Paris," interposed Suzanne, "and we came over to England together to learn your language. I was very fond of Marguerite, and I cannot believe that she ever did anything so wicked."	"She was a school fellow of mine at the convent in Paris," interposed Suzanne, "and we came over to England together to learn your language. I was very fond of Marguerite, and I cannot believe that she ever did anything so wicked."	false	852.47	867.01	22.283266
7754_105383_000061_000000	"It certainly seems incredible," said Sir Andrew.	"It certainly seems incredible," said Sir Andrew.	true	868.52	871.35	19.877287
7754_105383_000061_000001	"You say that she actually denounced the Marquis de St. Cyr?	"You say that she actually denounced the Marquis de st Cyr?	false	871.35	875.14	16
7754_105383_000061_000002	Why should she have done such a thing?	Why should she have done such a thing?	true	875.39	877.485	22.775291
7754_105383_000061_000003	Surely there must be some mistake--"	Surely there must be some mistake-"	true	877.485	879.46	23.122734
7754_105383_000062_000000	"No mistake is possible, Monsieur," rejoined the Comtesse, coldly. "Marguerite St. Just's brother is a noted republican.	"No mistake is possible, Monsieur," rejoined the Comtesse, coldly. "Marguerite st Just's brother is a noted republican.	false	879.8	887.68	22.637629
7754_105383_000062_000001	There was some talk of a family feud between him and my cousin, the Marquis de St. Cyr. The St. Justs are quite plebeian, and the republican government employs many spies.	There was some talk of a family feud between him and my cousin, the Marquis de st Cyr. The st Justs are quite plebeian, and the republican government employs many spies.	false	888.05	898.78	19
7754_105383_000062_000002	I assure you there is no mistake. . . .	I assure you there is no mistake. . . .	true	898.88	901.3	20.870771
7754_105383_000062_000003	You had not heard this story?"	You had not heard this story?"	true	901.31	903.07	22.19128
7754_105383_000063_000000	"Faith, Madame, I did hear some vague rumours of it, but in England no one would credit it. . . .	"Faith, Madame, I did hear some vague rumours of it, but in England no one would credit it. . . .	false	903.62	909.06	20.818598
7754_105383_000063_000001	Sir Percy Blakeney, her husband, is a very wealthy man, of high social position, the intimate friend of the Prince of Wales . . . and Lady Blakeney leads both fashion and society in London."	Sir Percy Blakeney, her husband, is a very wealthy man, of high social position, the intimate friend of the Prince of Wales . . . and Lady Blakeney leads both fashion and society in London."	true	909.06	920.53	20
7754_105383_000064_000000	"That may be, Monsieur, and we shall, of course, lead a very quiet life in England, but I pray God that while I remain in this beautiful country, I may never meet Marguerite St. Just."	"That may be, Monsieur, and we shall, of course, lead a very quiet life in England, but I pray God that while I remain in this beautiful country, I may never meet Marguerite st Just."	false	921.08	933.72	21.881033
7754_105383_000065_000000	The proverbial wet-blanket seemed to have fallen over the merry little company gathered round the table.	The proverbial wet blanket seemed to have fallen over the merry little company gathered round the table.	false	933.72	938.86	14
7754_105383_000065_000001	Suzanne looked sad and silent; Sir Andrew fidgeted uneasily with his fork, whilst the Comtesse, encased in the plate-armour of her aristocratic prejudices, sat, rigid and unbending, in her straight-backed chair.	Suzanne looked sad and silent; Sir Andrew fidgeted uneasily with his fork, whilst the Comtesse, encased in the plate armour of her aristocratic prejudices, sat, rigid and unbending, in her straight backed chair.	false	939.11	953.23	24.09461
7754_105383_000065_000002	As for Lord Antony, he looked extremely uncomfortable, and glanced once or twice apprehensively towards Jellyband, who looked just as uncomfortable as himself.	As for Lord Antony, he looked extremely uncomfortable, and glanced once or twice apprehensively towards Jellyband, who looked just as uncomfortable as himself.	true	953.93	963.16	21
7754_105383_000066_000000	"At what time do you expect Sir Percy and Lady Blakeney?" he contrived to whisper unobserved, to mine host.	"At what time do you expect Sir Percy and Lady Blakeney?" he contrived to whisper unobserved, to mine host.	true	963.83	969.88	21
7754_105383_000067_000000	"Any moment, my lord," whispered Jellyband in reply.	"Any moment, my lord," whispered Jellyband in reply.	true	970.61	974.56	23.531015
7754_105383_000068_000000	Even as he spoke, a distant clatter was heard of an approaching coach; louder and louder it grew, one or two shouts became distinguishable, then the rattle of horses' hoofs on the uneven cobble stones, and the next moment a stable boy had thrown open the coffee-room door and rushed in excitedly.	Even as he spoke, a distant clatter was heard of an approaching coach; louder and louder it grew, one or two shouts became distinguishable, then the rattle of horses' hoofs on the uneven cobble stones, and the next moment a stable boy had thrown open the coffee room door and rushed in excitedly.	true	975.47	992.71	23
7754_105383_000069_000000	"Sir Percy Blakeney and my lady," he shouted at the top of his voice, "they're just arriving."	"Sir Percy Blakeney and my lady," he shouted at the top of his voice, "they're just arriving."	true	993.14	998.5	22.972187
7754_105383_000070_000000	And with more shouting, jingling of harness, and iron hoofs upon the stones, a magnificent coach, drawn by four superb bays, had halted outside the porch of "The Fisherman's Rest."	And with more shouting, jingling of harness, and iron hoofs upon the stones, a magnificent coach, drawn by four superb bays, had halted outside the porch of "The Fisherman's Rest."	false	999.44	1010.7	20
7754_105383_000071_000000	CHAPTER V MARGUERITE	CHAPTER five MARGUERITE	false	1010.7	1011.12	-3
7754_105383_000072_000000	In a moment the pleasant oak-raftered coffee-room of the inn became the scene of hopeless confusion and discomfort.	In a moment the pleasant oak raftered coffee room of the inn became the scene of hopeless confusion and discomfort.	false	1011.12	1013.52	18.719713
