986_129388_000000_000000	EXTINCTION, n.	EXTINCTION, n.	false	1.68	3.96	21.815376
986_129388_000013_000000	Naramy Oof	Naramy Oof	false	199.8	201.9	16.642527
986_129388_000014_000000	FEAST, n.	FEAST, n.	false	201.9	205.59	18.407064
986_129388_000014_000001	A festival.	A festival.	true	205.59	206.62	21.216154
986_129388_000014_000002	A religious celebration usually signalized by gluttony and drunkenness, frequently in honor of some holy person distinguished for abstemiousness.	A religious celebration usually signalized by gluttony and drunkenness, frequently in honor of some holy person distinguished for abstemiousness.	false	206.72	219	20.054602
986_129388_000014_000003	In the Roman Catholic Church feasts are "movable" and "immovable," but the celebrants are uniformly immovable until they are full.	In the Roman Catholic Church feasts are "movable" and "immovable," but the celebrants are uniformly immovable until they are full.	false	219	229.06	20.163485
986_129388_000014_000004	In their earliest development these entertainments took the form of feasts for the dead; such were held by the Greeks, under the name _Nemeseia_, by the Aztecs and Peruvians, as in modern times they are popular with the Chinese; though it is believed that the ancient dead, like the modern, were light eaters. Among the many feasts of the Romans was the _Novemdiale_, which was held, according to Livy, whenever stones fell from heaven.	In their earliest development these entertainments took the form of feasts for the dead; such were held by the Greeks, under the name underscore Nemeseia underscore, by the Aztecs and Peruvians, as in modern times they are popular with the Chinese; though it is believed that the ancient dead, like the modern, were light eaters. Among the many feasts of the romans was the underscore Novemdiale underscore, which was held, according to Livy, whenever stones fell from heaven.	false	229.52	257.05	19.543398
986_129388_000015_000000	FELON, n.	FELON, n.	false	258.59	260.88	19.421883
986_129388_000015_000001	A person of greater enterprise than discretion, who in embracing an opportunity has formed an unfortunate attachment.	A person of greater enterprise than discretion, who in embracing an opportunity has formed an unfortunate attachment.	true	260.88	268.75	20.7456
986_129388_000016_000000	FEMALE, n.	FEMALE, n.	false	269.48	271.86	16.300657
986_129388_000016_000001	One of the opposing, or unfair, sex.	One of the opposing, or unfair, sex.	true	271.86	274.51	17
986_129388_000017_000000	The Maker, at Creation's birth, With living things had stocked the earth. From elephants to bats and snails, They all were good, for all were males. But when the Devil came and saw He said: "By Thine eternal law Of growth, maturity, decay, These all must quickly pass away And leave untenanted the earth Unless Thou dost establish birth"-- Then tucked his head beneath his wing To laugh--he had no sleeve--the thing With deviltry did so accord, That he'd suggested to the Lord. The Master pondered this advice, Then shook and threw the fateful dice Wherewith all matters here below Are ordered, and observed the throw; Then bent His head in awful state, Confirming the decree of Fate. From every part of earth anew The conscious dust consenting flew, While rivers from their courses rolled To make it plastic for the mould. Enough collected (but no more, For niggard Nature hoards her store) He kneaded it to flexible clay, While Nick unseen threw some away. And then the various forms He cast, Gross organs first and finer last; No one at once evolved, but all By even touches grew and small Degrees advanced, till, shade by shade, To match all living things He'd made Females, complete in all their parts Except (His clay gave out) the hearts. "No matter," Satan cried; "with speed I'll fetch the very hearts they need"-- So flew away and soon brought back The number needed, in a sack. That night earth rang with sounds of strife-- Ten million males each had a wife; That night sweet Peace her pinions spread O'er Hell--ten million devils dead!	The Maker, at Creation's birth, With living things had stocked the earth. From elephants to bats and snails, They all were good, for all were males. But when the Devil came and saw He said: "By Thine eternal law Of growth, maturity, decay, These all must quickly pass away And leave untenanted the earth Unless Thou dost establish birth"-- Then tucked his head beneath his wing To laugh-he had no sleeve-the thing With deviltry did so accord, That he'd suggested to the Lord. The Master pondered this advice, Then shook and threw the fateful dice Wherewith all matters here below Are ordered, and observed the throw; Then bent His head in awful state, Confirming the decree of Fate. From every part of earth anew The conscious dust consenting flew, While rivers from their courses rolled To make it plastic for the mould. Enough collected (but no more, For niggard Nature hoards her store) He kneaded it to flexible clay, While Nick unseen threw some away. And then the various forms He cast, Gross organs first and finer last; No one at once evolved, but all By even touches grew and small Degrees advanced, till, shade by shade, To match all living things He'd made Females, complete in all their parts Except (His clay gave out) the hearts. "No matter," Satan cried; "with speed I'll fetch the very hearts they need"-- So flew away and soon brought back The number needed, in a sack. That night earth rang with sounds of strife- Ten million males each had a wife; That night sweet Peace her pinions spread O'er Hell-ten million devils dead!	false	275.27	401.19	19.286835
986_129388_000018_000000	G.J.	g j	true	401.19	402.46	17
986_129388_000019_000000	FIB, n.	FIB, n.	false	403.7	405.99	17.886595
986_129388_000019_000001	A lie that has not cut its teeth.	A lie that has not cut its teeth.	true	405.99	408.24	24
986_129388_000019_000002	An habitual liar's nearest approach to truth: the perigee of his eccentric orbit.	An habitual liar's nearest approach to truth: the perigee of his eccentric orbit.	false	408.24	415.06	18.863491
986_129388_000020_000000	When David said: "All men are liars," Dave, Himself a liar, fibbed like any thief. Perhaps he thought to weaken disbelief By proof that even himself was not a slave To Truth; though I suspect the aged knave Had been of all her servitors the chief Had he but known a fig's reluctant leaf Is more than e'er she wore on land or wave. No, David served not Naked Truth when he Struck that sledge-hammer blow at all his race; Nor did he hit the nail upon the head: For reason shows that it could never be, And the facts contradict him to his face. Men are not liars all, for some are dead.	When David said: "All men are liars," Dave, Himself a liar, fibbed like any thief. Perhaps he thought to weaken disbelief By proof that even himself was not a slave To Truth; though I suspect the aged knave Had been of all her servitors the chief Had he but known a fig's reluctant leaf Is more than e'er she wore on land or wave. No, David served not Naked Truth when he Struck that sledge hammer blow at all his race; Nor did he hit the nail upon the head: For reason shows that it could never be, And the facts contradict him to his face. Men are not liars all, for some are dead.	false	416	457.8	19.401905
986_129388_000021_000000	Bartle Quinker	Bartle Quinker	false	457.8	460.14	16.675869
986_129388_000022_000000	FICKLENESS, n.	FICKLENESS, n.	false	460.14	462.33	19.444582
986_129388_000022_000001	The iterated satiety of an enterprising affection.	The iterated satiety of an enterprising affection.	true	462.33	465.91	20
986_129388_000023_000000	FIDDLE, n.	FIDDLE, n.	false	466.73	469.11	17.256327
986_129388_000023_000001	An instrument to tickle human ears by friction of a horse's tail on the entrails of a cat.	An instrument to tickle human ears by friction of a horse's tail on the entrails of a cat.	true	469.11	475.75	15
986_129388_000024_000000	To Rome said Nero: "If to smoke you turn I shall not cease to fiddle while you burn." To Nero Rome replied: "Pray do your worst, 'Tis my excuse that you were fiddling first."	To Rome said Nero: "If to smoke you turn I shall not cease to fiddle while you burn." To Nero Rome replied: "Pray do your worst, 'tis my excuse that you were fiddling first."	false	476.27	490.38	19.084414
986_129388_000025_000000	Orm Pludge	Orm Pludge	true	490.38	491.77	16
986_129388_000026_000000	FIDELITY, n.	FIDELITY, n.	false	492.56	495.27	17.769827
986_129388_000026_000001	A virtue peculiar to those who are about to be betrayed.	A virtue peculiar to those who are about to be betrayed.	true	495.27	499.12	20.857643
986_129388_000027_000000	FINANCE, n.	FINANCE, n.	false	500.57	503.1	17.431429
986_129388_000027_000001	The art or science of managing revenues and resources for the best advantage of the manager.	The art or science of managing revenues and resources for the best advantage of the manager.	true	503.1	509.05	18
986_129388_000027_000002	The pronunciation of this word with the i long and the accent on the first syllable is one of America's most precious discoveries and possessions.	The pronunciation of this word with the i long and the accent on the first syllable is one of America's most precious discoveries and possessions.	true	509.36	518.2	17
986_129388_000028_000000	FLAG, n.	FLAG, n.	false	519.59	521.91	19.007559
986_129388_000028_000001	A colored rag borne above troops and hoisted on forts and ships.	A colored rag borne above troops and hoisted on forts and ships.	true	521.91	526.3	16
986_129388_000028_000002	It appears to serve the same purpose as certain signs that one sees and vacant lots in London--"Rubbish may be shot here."	It appears to serve the same purpose as certain signs that one sees and vacant lots in London-"Rubbish may be shot here."	false	526.43	535.27	19.256626
986_129388_000029_000000	FLESH, n.	FLESH, n.	false	537.26	539.61	19.075603
986_129388_000029_000001	The Second Person of the secular Trinity.	The Second Person of the secular Trinity.	true	539.61	542.35	20
986_129388_000030_000000	FLOP, v.	FLOP, v.	false	543.92	546.42	20.011494
986_129388_000030_000001	Suddenly to change one's opinions and go over to another party.	Suddenly to change one's opinions and go over to another party.	true	546.42	550.21	16
986_129388_000030_000002	The most notable flop on record was that of Saul of Tarsus, who has been severely criticised as a turn-coat by some of our partisan journals.	The most notable flop on record was that of Saul of Tarsus, who has been severely criticised as a turn coat by some of our partisan journals.	false	550.52	559.54	17
986_129388_000031_000000	FLY-SPECK, n.	FLY SPECK, n.	false	560.72	563.19	18.96842
986_129388_000031_000001	The prototype of punctuation.	The prototype of punctuation.	true	563.19	565.24	19
986_129388_000031_000002	It is observed by Garvinus that the systems of punctuation in use by the various literary nations depended originally upon the social habits and general diet of the flies infesting the several countries.	It is observed by Garvinus that the systems of punctuation in use by the various literary nations depended originally upon the social habits and general diet of the flies infesting the several countries.	false	565.64	578.41	15
986_129388_000031_000003	These creatures, which have always been distinguished for a neighborly and companionable familiarity with authors, liberally or niggardly embellish the manuscripts in process of growth under the pen, according to their bodily habit, bringing out the sense of the work by a species of interpretation superior to, and independent of, the writer's powers.	These creatures, which have always been distinguished for a neighborly and companionable familiarity with authors, liberally or niggardly embellish the manuscripts in process of growth under the pen, according to their bodily habit, bringing out the sense of the work by a species of interpretation superior to, and independent of, the writer's powers.	false	579.47	601.41	18
986_129388_000031_000004	The "old masters" of literature--that is to say, the early writers whose work is so esteemed by later scribes and critics in the same language--never punctuated at all, but worked right along free-handed, without that abruption of the thought which comes from the use of points. (We observe the same thing in children to-day, whose usage in this particular is a striking and beautiful instance of the law that the infancy of individuals reproduces the methods and stages of development characterizing the infancy of races.) In the work of these primitive scribes all the punctuation is found, by the modern investigator with his optical instruments and chemical tests, to have been inserted by the writers' ingenious and serviceable collaborator, the common house-fly--_Musca maledicta_. In transcribing these ancient MSS, for the purpose of either making the work their own or preserving what they naturally regard as divine revelations, later writers reverently and accurately copy whatever marks they find upon the papyrus or parchment, to the unspeakable enhancement of the lucidity of the thought and value of the work. Writers contemporary with the copyists naturally avail themselves of the obvious advantages of these marks in their own work, and with such assistance as the flies of their own household may be willing to grant, frequently rival and sometimes surpass the older compositions, in respect at least of punctuation, which is no small glory.	The "old masters" of literature-that is to say, the early writers whose work is so esteemed by later scribes and critics in the same language-never punctuated at all, but worked right along free handed, without that abruption of the thought which comes from the use of points. (We observe the same thing in children to day, whose usage in this particular is a striking and beautiful instance of the law that the infancy of individuals reproduces the methods and stages of development characterizing the infancy of races.) In the work of these primitive scribes all the punctuation is found, by the modern investigator with his optical instruments and chemical tests, to have been inserted by the writers' ingenious and serviceable collaborator, the common house fly-underscore Musca maledicta underscore. In transcribing these ancient m s s, for the purpose of either making the work their own or preserving what they naturally regard as divine revelations, later writers reverently and accurately copy whatever marks they find upon the papyrus or parchment, to the unspeakable enhancement of the lucidity of the thought and value of the work. Writers contemporary with the copyists naturally avail themselves of the obvious advantages of these marks in their own work, and with such assistance as the flies of their own household may be willing to grant, frequently rival and sometimes surpass the older compositions, in respect at least of punctuation, which is no small glory.	false	601.41	695.14	18
986_129388_000031_000005	Fully to understand the important services that flies perform to literature it is only necessary to lay a page of some popular novelist alongside a saucer of cream-and-molasses in a sunny room and observe "how the wit brightens and the style refines" in accurate proportion to the duration of exposure.	Fully to understand the important services that flies perform to literature it is only necessary to lay a page of some popular novelist alongside a saucer of cream and molasses in a sunny room and observe "how the wit brightens and the style refines" in accurate proportion to the duration of exposure.	false	695.42	714.94	16
986_129388_000032_000000	FOLLY, n.	FOLLY, n.	false	715.4	717.36	19.90419
986_129388_000032_000001	That "gift and faculty divine" whose creative and controlling energy inspires Man's mind, guides his actions and adorns his life.	That "gift and faculty divine" whose creative and controlling energy inspires Man's mind, guides his actions and adorns his life.	true	717.36	727.27	19.109045
986_129388_000033_000000	Folly! although Erasmus praised thee once In a thick volume, and all authors known, If not thy glory yet thy power have shown, Deign to take homage from thy son who hunts Through all thy maze his brothers, fool and dunce, To mend their lives and to sustain his own, However feebly be his arrows thrown,	Folly! although Erasmus praised thee once In a thick volume, and all authors known, If not thy glory yet thy power have shown, Deign to take homage from thy son who hunts Through all thy maze his brothers, fool and dunce, To mend their lives and to sustain his own, However feebly be his arrows thrown,	false	727.43	750.3	19.102407
986_129388_000034_000000	Howe'er each hide the flying weapons blunts. All-Father Folly! be it mine to raise, With lusty lung, here on his western strand With all thine offspring thronged from every land, Thyself inspiring me, the song of praise. And if too weak, I'll hire, to help me bawl, Dick Watson Gilder, gravest of us all.	Howe'er each hide the flying weapons blunts. All Father Folly! be it mine to raise, With lusty lung, here on his western strand With all thine offspring thronged from every land, Thyself inspiring me, the song of praise. And if too weak, I'll hire, to help me bawl, Dick Watson Gilder, gravest of us all.	false	750.3	773.88	19.713205
986_129388_000035_000000	Aramis Loto Frope	Aramis Loto Frope	false	773.88	777.09	14.478365
986_129388_000036_000000	FOOL, n.	FOOL, n.	false	777.09	779.28	19.6497
986_129388_000036_000001	A person who pervades the domain of intellectual speculation and diffuses himself through the channels of moral activity.	A person who pervades the domain of intellectual speculation and diffuses himself through the channels of moral activity.	true	779.28	786.43	16
986_129388_000036_000002	He is omnific, omniform, omnipercipient, omniscient, omnipotent.	He is omnific, omniform, omnipercipient, omniscient, omnipotent.	true	786.59	791.98	19.712637
986_129388_000036_000003	He it was who invented letters, printing, the railroad, the steamboat, the telegraph, the platitude and the circle of the sciences.	He it was who invented letters, printing, the railroad, the steamboat, the telegraph, the platitude and the circle of the sciences.	true	792.08	800.8	18
986_129388_000036_000004	He created patriotism and taught the nations war--founded theology, philosophy, law, medicine and Chicago.	He created patriotism and taught the nations war-founded theology, philosophy, law, medicine and Chicago.	true	800.87	809.05	21
986_129388_000036_000005	He established monarchical and republican government.	He established monarchical and republican government.	true	809.3	812.56	19.394184
986_129388_000036_000006	He is from everlasting to everlasting--such as creation's dawn beheld he fooleth now.	He is from everlasting to everlasting-such as creation's dawn beheld he fooleth now.	true	812.69	818.71	16
986_129388_000036_000007	In the morning of time he sang upon primitive hills, and in the noonday of existence headed the procession of being.	In the morning of time he sang upon primitive hills, and in the noonday of existence headed the procession of being.	true	818.93	826.12	14
986_129388_000036_000008	His grandmotherly hand was warmly tucked-in the set sun of civilization, and in the twilight he prepares Man's evening meal of milk-and-morality and turns down the covers of the universal grave.	His grandmotherly hand was warmly tucked in the set sun of civilization, and in the twilight he prepares Man's evening meal of milk and morality and turns down the covers of the universal grave.	true	826.25	839.5	17
986_129388_000036_000009	And after the rest of us shall have retired for the night of eternal oblivion he will sit up to write a history of human civilization.	And after the rest of us shall have retired for the night of eternal oblivion he will sit up to write a history of human civilization.	false	839.69	848.8	17
986_129388_000037_000000	FORCE, n.	FORCE, n.	false	850.31	852.75	17.95756
986_129388_000038_000000	"Force is but might," the teacher said-- "That definition's just." The boy said naught but thought instead, Remembering his pounded head: "Force is not might but must!"	"Force is but might," the teacher said- "That definition's just." The boy said naught but thought instead, Remembering his pounded head: "Force is not might but must!"	false	852.75	867.28	19.820536
986_129388_000039_000000	FOREFINGER, n.	FOREFINGER, n.	false	868.79	871.35	17.937737
986_129388_000039_000001	The finger commonly used in pointing out two malefactors.	The finger commonly used in pointing out two malefactors.	true	871.35	875.7	15
986_129388_000040_000000	FOREORDINATION, n.	f o r e o r d i n a t i o n, n.	false	875.7	879.615	17.028437
986_129388_000040_000001	This looks like an easy word to define, but when I consider that pious and learned theologians have spent long lives in explaining it, and written libraries to explain their explanations; when I remember the nations have been divided and bloody battles caused by the difference between foreordination and predestination, and that millions of treasure have been expended in the effort to prove and disprove its compatibility with freedom of the will and the efficacy of prayer, praise, and a religious life,--recalling these awful facts in the history of the word, I stand appalled before the mighty problem of its signification, abase my spiritual eyes, fearing to contemplate its portentous magnitude, reverently uncover and humbly refer it to His Eminence Cardinal Gibbons and His Grace Bishop Potter.	This looks like an easy word to define, but when I consider that pious and learned theologians have spent long lives in explaining it, and written libraries to explain their explanations; when I remember the nations have been divided and bloody battles caused by the difference between foreordination and predestination, and that millions of treasure have been expended in the effort to prove and disprove its compatibility with freedom of the will and the efficacy of prayer, praise, and a religious life,--recalling these awful facts in the history of the word, I stand appalled before the mighty problem of its signification, abase my spiritual eyes, fearing to contemplate its portentous magnitude, reverently uncover and humbly refer it to His Eminence Cardinal Gibbons and His Grace Bishop Potter.	false	879.615	935.02	19
986_129388_000041_000000	FORGETFULNESS, n.	FORGETFULNESS, n.	false	936.68	939.36	20.580536
986_129388_000041_000001	A gift of God bestowed upon doctors in compensation for their destitution of conscience.	A gift of God bestowed upon doctors in compensation for their destitution of conscience.	false	939.36	945.55	20.888763
986_129388_000042_000000	FORK, n.	FORK, n.	false	946.73	949.77	17.27391
986_129388_000042_000001	An instrument used chiefly for the purpose of putting dead animals into the mouth.	An instrument used chiefly for the purpose of putting dead animals into the mouth.	true	949.77	954.25	16
986_129388_000042_000002	Formerly the knife was employed for this purpose, and by many worthy persons is still thought to have many advantages over the other tool, which, however, they do not altogether reject, but use to assist in charging the knife.	Formerly the knife was employed for this purpose, and by many worthy persons is still thought to have many advantages over the other tool, which, however, they do not altogether reject, but use to assist in charging the knife.	true	954.5	969.16	17
986_129388_000042_000003	The immunity of these persons from swift and awful death is one of the most striking proofs of God's mercy to those that hate Him.	The immunity of these persons from swift and awful death is one of the most striking proofs of God's mercy to those that hate Him.	false	969.44	977.41	17
986_129388_000043_000000	FORMA PAUPERIS. [Latin] In the character of a poor person--a method by which a litigant without money for lawyers is considerately permitted to lose his case.	FORMA PAUPERIS. [Latin] In the character of a poor person-a method by which a litigant without money for lawyers is considerately permitted to lose his case.	true	978.56	990.04	19.999601
986_129388_000044_000000	When Adam long ago in Cupid's awful court (For Cupid ruled ere Adam was invented) Sued for Eve's favor, says an ancient law report, He stood and pleaded unhabilimented.	When Adam long ago in Cupid's awful court (For Cupid ruled ere Adam was invented) Sued for Eve's favor, says an ancient law report, He stood and pleaded unhabilimented.	true	990.47	1004.8	19.496376
986_129388_000045_000000	"You sue _in forma pauperis_, I see," Eve cried; "Actions can't here be that way prosecuted." So all poor Adam's motions coldly were denied: He went away--as he had come--nonsuited.	"You sue underscore in forma pauperis underscore, I see," Eve cried; "Actions can't here be that way prosecuted." So all poor Adam's motions coldly were denied: He went away-as he had come-nonsuited.	false	1005.32	1022.16	20.05008
986_129388_000046_000000	G.J.	g j	true	1022.16	1022.94	13
986_129388_000047_000000	FRANKALMOIGNE, n.	f r a n k a l m o i g n e, n.	false	1022.94	1027.95	15.745227
986_129388_000047_000001	The tenure by which a religious corporation holds lands on condition of praying for the soul of the donor.	The tenure by which a religious corporation holds lands on condition of praying for the soul of the donor.	false	1027.95	1033.87	18
986_129388_000047_000002	In mediaeval times many of the wealthiest fraternities obtained their estates in this simple and cheap manner, and once when Henry VIII of England sent an officer to confiscate certain vast possessions which a fraternity of monks held by frankalmoigne, "What!" said the Prior, "would you master stay our benefactor's soul in Purgatory?" "Ay," said the officer, coldly, "an ye will not pray him thence for naught he must e'en roast." "But look you, my son," persisted the good man, "this act hath rank as robbery of God!" "Nay, nay, good father, my master the king doth but deliver him from the manifold temptations of too great wealth."	In mediaeval times many of the wealthiest fraternities obtained their estates in this simple and cheap manner, and once when Henry the eighth of England sent an officer to confiscate certain vast possessions which a fraternity of monks held by frankalmoigne, "What!" said the Prior, "would you master stay our benefactor's soul in Purgatory?" "Ay," said the officer, coldly, "an ye will not pray him thence for naught he must e'en roast." "But look you, my son," persisted the good man, "this act hath rank as robbery of God!" "Nay, nay, good father, my master the king doth but deliver him from the manifold temptations of too great wealth."	false	1034.63	1082.44	19.119379
986_129388_000048_000000	FREEBOOTER, n.	FREEBOOTER, n.	false	1084.91	1087.2	18.05861
986_129388_000048_000001	A conqueror in a small way of business, whose annexations lack of the sanctifying merit of magnitude.	A conqueror in a small way of business, whose annexations lack of the sanctifying merit of magnitude.	false	1087.2	1094.05	19
986_129388_000049_000000	FREEDOM, n.	FREEDOM, n.	false	1094.57	1096.68	18.43579
986_129388_000049_000001	Exemption from the stress of authority in a beggarly half dozen of restraint's infinite multitude of methods.	Exemption from the stress of authority in a beggarly half dozen of restraint's infinite multitude of methods.	true	1096.68	1104.37	17
986_129388_000049_000002	A political condition that every nation supposes itself to enjoy in virtual monopoly.	A political condition that every nation supposes itself to enjoy in virtual monopoly.	false	1104.62	1110.19	15
986_129388_000049_000003	Liberty.	Liberty.	true	1110.56	1111.2	19.383636
986_129388_000049_000004	The distinction between freedom and liberty is not accurately known; naturalists have never been able to find a living specimen of either.	The distinction between freedom and liberty is not accurately known; naturalists have never been able to find a living specimen of either.	false	1111.2	1119.94	18
986_129388_000050_000000	Freedom, as every schoolboy knows, Once shrieked as Kosciusko fell; On every wind, indeed, that blows I hear her yell.	Freedom, as every schoolboy knows, Once shrieked as Kosciusko fell; On every wind, indeed, that blows I hear her yell.	false	1120.4	1129.12	18
986_129388_000051_000000	She screams whenever monarchs meet, And parliaments as well, To bind the chains about her feet And toll her knell.	She screams whenever monarchs meet, And parliaments as well, To bind the chains about her feet And toll her knell.	false	1129.31	1138.32	18.054344
986_129388_000052_000000	And when the sovereign people cast The votes they cannot spell, Upon the pestilential blast Her clamors swell.	And when the sovereign people cast The votes they cannot spell, Upon the pestilential blast Her clamors swell.	false	1138.32	1145.59	20
986_129388_000053_000000	For all to whom the power's given To sway or to compel, Among themselves apportion Heaven And give her Hell.	For all to whom the power's given To sway or to compel, Among themselves apportion Heaven And give her Hell.	false	1145.84	1154.91	19.753304
986_129388_000054_000000	Blary O'Gary	Blary O'Gary	true	1154.91	1156.38	18
986_129388_000055_000000	FREEMASONS, n.	FREEMASONS, n.	false	1156.38	1160.46	16.818926
986_129388_000055_000001	An order with secret rites, grotesque ceremonies and fantastic costumes, which, originating in the reign of Charles II, among working artisans of London, has been joined successively by the dead of past centuries in unbroken retrogression until now it embraces all the generations of man on the hither side of Adam and is drumming up distinguished recruits among the pre-Creational inhabitants of Chaos and Formless Void.	An order with secret rites, grotesque ceremonies and fantastic costumes, which, originating in the reign of Charles the second, among working artisans of London, has been joined successively by the dead of past centuries in unbroken retrogression until now it embraces all the generations of man on the hither side of Adam and is drumming up distinguished recruits among the pre Creational inhabitants of Chaos and Formless Void.	false	1160.46	1189.75	17
986_129388_000055_000002	The order was founded at different times by Charlemagne, Julius Caesar, Cyrus, Solomon, Zoroaster, Confucious, Thothmes, and Buddha.	The order was founded at different times by Charlemagne, Julius Caesar, Cyrus, Solomon, Zoroaster, Confucious, Thothmes, and Buddha.	false	1189.94	1200.33	19.914492
986_129388_000055_000003	Its emblems and symbols have been found in the Catacombs of Paris and Rome, on the stones of the Parthenon and the Chinese Great Wall, among the temples of Karnak and Palmyra and in the Egyptian Pyramids--always by a Freemason.	Its emblems and symbols have been found in the Catacombs of Paris and Rome, on the stones of the Parthenon and the Chinese Great Wall, among the temples of Karnak and Palmyra and in the Egyptian Pyramids-always by a Freemason.	false	1200.33	1217.23	18.532892
986_129388_000056_000000	FRIENDLESS, adj.	FRIENDLESS, adj.	false	1218.71	1221.09	22.66221
986_129388_000056_000001	Having no favors to bestow.	Having no favors to bestow.	false	1221.09	1223.35	19.465084
