6206_14960_000001_000000	CHAPTER VIII	CHAPTER eight
6206_14960_000040_000000	Leslie's eyes danced with her dimples as Julia Cloud appealed to her to stop this extravagance.	Leslie's eyes danced with her dimples as Julia Cloud appealed to her to stop this extravagance.
6206_14960_000041_000000	"That's all right, Cloudy.	"That's all right, Cloudy.
6206_14960_000043_000000	"Now," said Leslie as the meal drew to a close, "we must get to work. It's half-past two, and the stores close at half-past five.	"Now," said Leslie as the meal drew to a close, "we must get to work. It's half past two, and the stores close at half past five.
6206_14960_000043_000002	How about you, Cloudy?"	How about you, Cloudy?"
6206_14960_000044_000000	"I must buy a trunk," said Julia Cloud thoughtfully, "and a hand-bag and some gloves.	"I must buy a trunk," said Julia Cloud thoughtfully, "and a hand bag and some gloves.
6206_14960_000046_000000	Allison landed them at a big department store, and guided his aunt to the trunk department with instructions to stay there until he and Leslie came back.	Allison landed them at a big department store, and guided his aunt to the trunk department with instructions to stay there until he and Leslie came back.
6206_14960_000046_000001	Then they went off with great glee and many whisperings.	Then they went off with great glee and many whisperings.
6206_14960_000047_000001	Allison and Leslie were back within the time they had set, looking very meek and satisfied.	Allison and Leslie were back within the time they had set, looking very meek and satisfied.
6206_14960_000047_000002	Leslie carried a small package, which she laid in Julia Cloud's lap.	Leslie carried a small package, which she laid in Julia Cloud's lap.
6206_14960_000048_000002	If you don't like it, we can give it to Aunt Ellen or some one."	If you don't like it, we can give it to Aunt Ellen or some one."
6206_14960_000049_000001	It seemed fit for a queen, yet was plain and quiet enough on the outside for a dove to carry.	It seemed fit for a queen, yet was plain and quiet enough on the outside for a dove to carry.
6206_14960_000050_000000	"O you dear children!	"O you dear children!
6206_14960_000050_000001	How you are going to spoil me!	How you are going to spoil me!
6206_14960_000051_000001	Then Allison thoughtfully suggested a handsome leather wallet for Uncle Herbert, and Julia Cloud lingered by the handkerchief-counter, and selected half a dozen new fine handkerchiefs.	Then Allison thoughtfully suggested a handsome leather wallet for Uncle Herbert, and Julia Cloud lingered by the handkerchief counter, and selected half a dozen new fine handkerchiefs.
6206_14960_000051_000002	It all seemed just like a play to her, it was so very long since she had been shopping herself.	It all seemed just like a play to her, it was so very long since she had been shopping herself.
6206_14960_000053_000002	I saw it as we came by.	I saw it as we came by.
6206_14960_000053_000003	Or don't you like movies?	Or don't you like movies?
6206_14960_000053_000005	I suppose you are maybe worn out.	I suppose you are maybe worn out.
6206_14960_000055_000002	"Why, how did it happen? Don't they have moving pictures in your town?"	"Why, how did it happen? Don't they have moving pictures in your town?"
6206_14960_000056_000001	But you know I've never been able to get away, even if they had been all about me. Besides, I suppose I should have been considered crazy if I had gone, me, an oldish woman!	But you know I've never been able to get away, even if they had been all about me. Besides, I suppose I should have been considered crazy if I had gone, me, an oldish woman!
6206_14960_000061_000000	Then after a good dinner they went up to their rooms, and there was Julia Cloud's shining new trunk that had to be looked over; and there on the floor beside it stood two packages, big boxes, both of them.	Then after a good dinner they went up to their rooms, and there was Julia Cloud's shining new trunk that had to be looked over; and there on the floor beside it stood two packages, big boxes, both of them.
6206_14960_000063_000000	Allison picked up the top package, a big, square box.	Allison picked up the top package, a big, square box.
6206_14960_000064_000002	Open it!"	Open it!"
6206_14960_000066_000000	"Open it, Cloudy.	"Open it, Cloudy.
6206_14960_000066_000001	I want to see what's in it."	I want to see what's in it."
6206_14960_000070_000000	The cover fell off at last, and the tissue-paper blew up in a great fluff; and out of it rolled a beautiful long, soft, thick gray cloak of finest texture and silken lining, with a great puffy collar and cuffs of deep, soft silver-gray fox.	The cover fell off at last, and the tissue paper blew up in a great fluff; and out of it rolled a beautiful long, soft, thick gray cloak of finest texture and silken lining, with a great puffy collar and cuffs of deep, soft silver gray fox.
6206_14960_000074_000000	"You don't mind, do you, Cloudy, dear?	"You don't mind, do you, Cloudy, dear?
6206_14960_000075_000000	"Like them!"	"Like them!"
6206_14960_000076_000001	Like them!	Like them!
6206_14960_000078_000003	It wasn't sensible for her to talk that way.	It wasn't sensible for her to talk that way.
6206_14960_000078_000004	That was being too humble.	That was being too humble.
6206_14960_000078_000005	And, besides, weren't these things quite sensible and practical?	And, besides, weren't these things quite sensible and practical?
6206_14960_000079_000000	And so at last they said "Good-night," and went to their beds; but long after the children were asleep Julia Cloud lay awake and thought it out.	And so at last they said "Good night," and went to their beds; but long after the children were asleep Julia Cloud lay awake and thought it out.
