2294_161707_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	3.795	5.625	13
2294_161707_000010_000001	And the occasion which produced that prosaic thought was a night well calculated to make one think of supper and fireside, though the one might be frugal and the other lonely, and as I, Gulliver Jones, the poor foresaid Navy lieutenant, with the honoured stars of our Republic on my collar, and an undeserved snub from those in authority rankling in my heart, picked my way homeward by a short cut through the dismalness of a New York slum I longed for steak and stout, slippers and a pipe, with all the pathetic keenness of a troubled soul.	And the occasion which produced that prosaic thought was a night well calculated to make one think of supper and fireside, though the one might be frugal and the other lonely, and as I, Gulliver Jones, the poor foresaid Navy lieutenant, with the honoured stars of our Republic on my collar, and an undeserved snub from those in authority rankling in my heart, picked my way homeward by a short cut through the dismalness of a New York slum I longed for steak and stout, slippers and a pipe, with all the pathetic keenness of a troubled soul.	false	91.8	120.43	22.218445
2294_161707_000011_000000	It was a wild, black kind of night, and the weirdness of it showed up as I passed from light to light or crossed the mouths of dim alleys leading Heaven knows to what infernal dens of mystery and crime even in this latter-day city of ours.	It was a wild, black kind of night, and the weirdness of it showed up as I passed from light to light or crossed the mouths of dim alleys leading Heaven knows to what infernal dens of mystery and crime even in this latter day city of ours.	false	120.86	132.85	19.732975
2294_161707_000011_000001	The moon was up as far as the church steeples; large vapoury clouds scudding across the sky between us and her, and a strong, gusty wind, laden with big raindrops snarled angrily round corners and sighed in the parapets like strange voices talking about things not of human interest.	The moon was up as far as the church steeples; large vapoury clouds scudding across the sky between us and her, and a strong, gusty wind, laden with big raindrops snarled angrily round corners and sighed in the parapets like strange voices talking about things not of human interest.	false	133.52	149.11	21.096472
2294_161707_000012_000000	It made no difference to me, of course.	It made no difference to me, of course.	true	149.51	151.54	22.337795
2294_161707_000012_000001	New York in this year of grace is not the place for the supernatural be the time never so fit for witch-riding and the night wind in the chimney-stacks sound never so much like the last gurgling cries of throttled men.	New York in this year of grace is not the place for the supernatural be the time never so fit for witch riding and the night wind in the chimney stacks sound never so much like the last gurgling cries of throttled men.	false	151.85	162.43	20.234472
2294_161707_000012_000002	No! the world was very matter-of-fact, and particularly so to me, a poor younger son with five dollars in my purse by way of fortune, a packet of unpaid bills in my breastpocket, and round my neck a locket with a portrait therein of that dear buxom, freckled, stub-nosed girl away in a little southern seaport town whom I thought I loved with a magnificent affection. Gods!	No! the world was very matter of fact, and particularly so to me, a poor younger son with five dollars in my purse by way of fortune, a packet of unpaid bills in my breastpocket, and round my neck a locket with a portrait therein of that dear buxom, freckled, stub nosed girl away in a little southern seaport town whom I thought I loved with a magnificent affection. Gods!	false	162.83	184.35	21.47494
2294_161707_000012_000003	I had not even touched the fringe of that affliction.	I had not even touched the fringe of that affliction.	false	184.35	187.41	22.4931
2294_161707_000013_000000	Thus sauntering along moodily, my chin on my chest and much too absorbed in reflection to have any nice appreciation of what was happening about me, I was crossing in front of a dilapidated block of houses, dating back nearly to the time of the Pilgrim Fathers, when I had a vague consciousness of something dark suddenly sweeping by me--a thing like a huge bat, or a solid shadow, if such a thing could be, and the next instant there was a thud and a bump, a bump again, a half-stifled cry, and then a hurried vision of some black carpeting that flapped and shook as though all the winds of Eblis were in its folds, and then apparently disgorged from its inmost recesses a little man.	Thus sauntering along moodily, my chin on my chest and much too absorbed in reflection to have any nice appreciation of what was happening about me, I was crossing in front of a dilapidated block of houses, dating back nearly to the time of the Pilgrim Fathers, when I had a vague consciousness of something dark suddenly sweeping by me-a thing like a huge bat, or a solid shadow, if such a thing could be, and the next instant there was a thud and a bump, a bump again, a half stifled cry, and then a hurried vision of some black carpeting that flapped and shook as though all the winds of Eblis were in its folds, and then apparently disgorged from its inmost recesses a little man.	false	187.41	224.32	20.840725
2294_161707_000014_000000	Before my first start of half-amused surprise was over I saw him by the flickering lamp-light clutch at space as he tried to steady himself, stumble on the slippery curb, and the next moment go down on the back of his head with a most ugly thud.	Before my first start of half amused surprise was over I saw him by the flickering lamp light clutch at space as he tried to steady himself, stumble on the slippery curb, and the next moment go down on the back of his head with a most ugly thud.	false	224.81	236.83	21.327229
2294_161707_000015_000000	Now I was not destitute of feeling, though it had been my lot to see men die in many ways, and I ran over to that motionless form without an idea that anything but an ordinary accident had occurred.	Now I was not destitute of feeling, though it had been my lot to see men die in many ways, and I ran over to that motionless form without an idea that anything but an ordinary accident had occurred.	false	237.08	247.08	19.907423
2294_161707_000015_000001	There he lay, silent and, as it turned out afterwards, dead as a door-nail, the strangest old fellow ever eyes looked upon, dressed in shabby sorrel-coloured clothes of antique cut, with a long grey beard upon his chin, pent-roof eyebrows, and a wizened complexion so puckered and tanned by exposure to Heaven only knew what weathers that it was impossible to guess his nationality.	There he lay, silent and, as it turned out afterwards, dead as a door nail, the strangest old fellow ever eyes looked upon, dressed in shabby sorrel coloured clothes of antique cut, with a long grey beard upon his chin, pent roof eyebrows, and a wizened complexion so puckered and tanned by exposure to Heaven only knew what weathers that it was impossible to guess his nationality.	false	247.08	268.39	21.717918
2294_161707_000016_000000	I lifted him up out of the puddle of black blood in which he was lying, and his head dropped back over my arm as though it had been fixed to his body with string alone.	I lifted him up out of the puddle of black blood in which he was lying, and his head dropped back over my arm as though it had been fixed to his body with string alone.	false	268.79	276.13	20.624329
2294_161707_000016_000001	There was neither heart-beat nor breath in him, and the last flicker of life faded out of that gaunt face even as I watched.	There was neither heart beat nor breath in him, and the last flicker of life faded out of that gaunt face even as I watched.	false	276.56	282.85	21.13998
2294_161707_000016_000002	It was not altogether a pleasant situation, and the only thing to do appeared to be to get the dead man into proper care (though little good it could do him now!) as speedily as possible.	It was not altogether a pleasant situation, and the only thing to do appeared to be to get the dead man into proper care (though little good it could do him now!) as speedily as possible.	false	282.95	292.78	21.877373
2294_161707_000016_000003	So, sending a chance passer-by into the main street for a cab, I placed him into it as soon as it came, and there being nobody else to go, got in with him myself, telling the driver at the same time to take us to the nearest hospital.	So, sending a chance passer by into the main street for a cab, I placed him into it as soon as it came, and there being nobody else to go, got in with him myself, telling the driver at the same time to take us to the nearest hospital.	false	292.88	305.11	22.415565
2294_161707_000017_000000	"Is this your rug, captain?" asked a bystander just as we were driving off.	"Is this your rug, captain?" asked a bystander just as we were driving off.	true	305.51	309.28	20.679998
2294_161707_000018_000000	"Not mine," I answered somewhat roughly.	"Not mine," I answered somewhat roughly.	true	309.38	311.56	23.016447
2294_161707_000018_000001	"You don't suppose I go about at this time of night with Turkey carpets under my arm, do you?	"You don't suppose I go about at this time of night with Turkey carpets under my arm, do you?	false	311.57	315.58	22.904251
2294_161707_000018_000002	It belongs to this old chap here who has just dropped out of the skies on to his head; chuck it on top and shut the door!" And that rug, the very mainspring of the startling things which followed, was thus carelessly thrown on to the carriage, and off we went.	It belongs to this old chap here who has just dropped out of the skies on to his head; chuck it on top and shut the door!" And that rug, the very mainspring of the startling things which followed, was thus carelessly thrown on to the carriage, and off we went.	true	315.83	329.74	21.616306
2294_161707_000019_000000	Well, to be brief, I handed in that stark old traveller from nowhere at the hospital, and as a matter of curiosity sat in the waiting-room while they examined him.	Well, to be brief, I handed in that stark old traveller from nowhere at the hospital, and as a matter of curiosity sat in the waiting room while they examined him.	false	330.41	339.03	20.202888
2294_161707_000019_000001	In five minutes the house-surgeon on duty came in to see me, and with a shake of his head said briefly--	In five minutes the house surgeon on duty came in to see me, and with a shake of his head said briefly-	true	339.03	344.01	20.85556
2294_161707_000020_000000	"Gone, sir--clean gone!	"Gone, sir-clean gone!	true	344.01	346.005	21.19299
2294_161707_000020_000001	Broke his neck like a pipe-stem.	Broke his neck like a pipe stem.	true	346.005	347.83	23.987944
2294_161707_000020_000002	Most strange-looking man, and none of us can even guess at his age.	Most strange looking man, and none of us can even guess at his age.	true	347.99	351.76	21.075558
2294_161707_000020_000003	Not a friend of yours, I suppose?"	Not a friend of yours, I suppose?"	true	351.89	353.77	20.981052
2294_161707_000021_000000	"Nothing whatever to do with me, sir.	"Nothing whatever to do with me, sir.	true	354.44	356.47	20.57702
2294_161707_000021_000001	He slipped on the pavement and fell in front of me just now, and as a matter of common charity I brought him in here.	He slipped on the pavement and fell in front of me just now, and as a matter of common charity I brought him in here.	true	356.51	362.04	22.591314
2294_161707_000021_000002	Were there any means of identification on him?"	Were there any means of identification on him?"	true	362.04	364.15	21.3315
2294_161707_000022_000000	"None whatever," answered the doctor, taking out his notebook and, as a matter of form, writing down my name and address and a few brief particulars, "nothing whatever except this curious-looking bead hung round his neck by a blackened thong of leather," and he handed me a thing about as big as a filbert nut with a loop for suspension and apparently of rock crystal, though so begrimed and dull its nature was difficult to speak of with certainty.	"None whatever," answered the doctor, taking out his notebook and, as a matter of form, writing down my name and address and a few brief particulars, "nothing whatever except this curious looking bead hung round his neck by a blackened thong of leather," and he handed me a thing about as big as a filbert nut with a loop for suspension and apparently of rock crystal, though so begrimed and dull its nature was difficult to speak of with certainty.	false	364.61	386.59	20.844215
2294_161707_000022_000001	The bead was of no seeming value and slipped unintentionally into my waistcoat pocket as I chatted for a few minutes more with the doctor, and then, shaking hands, I said goodbye, and went back to the cab which was still waiting outside.	The bead was of no seeming value and slipped unintentionally into my waistcoat pocket as I chatted for a few minutes more with the doctor, and then, shaking hands, I said goodbye, and went back to the cab which was still waiting outside.	true	386.99	398.71	20.291332
2294_161707_000023_000000	It was only on reaching home I noticed the hospital porters had omitted to take the dead man's carpet from the roof of the cab when they carried him in, and as the cabman did not care about driving back to the hospital with it, and it could not well be left in the street, I somewhat reluctantly carried it indoors with me.	It was only on reaching home I noticed the hospital porters had omitted to take the dead man's carpet from the roof of the cab when they carried him in, and as the cabman did not care about driving back to the hospital with it, and it could not well be left in the street, I somewhat reluctantly carried it indoors with me.	true	399.14	414.55	21.212095
2294_161707_000024_000000	Once in the shine of my own lamp and a cigar in my mouth I had a closer look at that ancient piece of art work from heaven, or the other place, only knows what ancient loom.	Once in the shine of my own lamp and a cigar in my mouth I had a closer look at that ancient piece of art work from heaven, or the other place, only knows what ancient loom.	true	414.77	422.92	19
2294_161707_000025_000000	A big, strong rug of faded Oriental colouring, it covered half the floor of my sitting-room, the substance being of a material more like camel's hair than anything else, and running across, when examined closely, were some dark fibres so long and fine that surely they must have come from the tail of Solomon's favourite black stallion itself. But the strangest thing about that carpet was its pattern.	A big, strong rug of faded Oriental colouring, it covered half the floor of my sitting room, the substance being of a material more like camel's hair than anything else, and running across, when examined closely, were some dark fibres so long and fine that surely they must have come from the tail of Solomon's favourite black stallion itself. But the strangest thing about that carpet was its pattern.	false	423.38	443.47	21.354744
2294_161707_000025_000001	It was threadbare enough to all conscience in places, yet the design still lived in solemn, age-wasted hues, and, as I dragged it to my stove-front and spread it out, it seemed to me that it was as much like a star map done by a scribe who had lately recovered from delirium tremens as anything else.	It was threadbare enough to all conscience in places, yet the design still lived in solemn, age wasted hues, and, as I dragged it to my stove front and spread it out, it seemed to me that it was as much like a star map done by a scribe who had lately recovered from delirium tremens as anything else.	false	443.57	459.84	21.926645
2294_161707_000025_000002	In the centre appeared a round such as might be taken for the sun, while here and there, "in the field," as heralds say, were lesser orbs which from their size and position could represent smaller worlds circling about it.	In the centre appeared a round such as might be taken for the sun, while here and there, "in the field," as heralds say, were lesser orbs which from their size and position could represent smaller worlds circling about it.	true	459.84	470.95	20.791573
2294_161707_000025_000003	Between these orbs were dotted lines and arrow-heads of the oldest form pointing in all directions, while all the intervening spaces were filled up with woven characters half-way in appearance between Runes and Cryptic-Sanskrit. Round the borders these characters ran into a wild maze, a perfect jungle of an alphabet through which none but a wizard could have forced a way in search of meaning.	Between these orbs were dotted lines and arrow heads of the oldest form pointing in all directions, while all the intervening spaces were filled up with woven characters half-way in appearance between Runes and Cryptic Sanskrit. Round the borders these characters ran into a wild maze, a perfect jungle of an alphabet through which none but a wizard could have forced a way in search of meaning.	false	471.38	491.38	20.757286
2294_161707_000026_000000	Altogether, I thought as I kicked it out straight upon my floor, it was a strange and not unhandsome article of furniture--it would do nicely for the mess-room on the Carolina, and if any representatives of yonder poor old fellow turned up tomorrow, why, I would give them a couple of dollars for it.	Altogether, I thought as I kicked it out straight upon my floor, it was a strange and not unhandsome article of furniture-it would do nicely for the mess room on the Carolina, and if any representatives of yonder poor old fellow turned up tomorrow, why, I would give them a couple of dollars for it.	true	491.81	507.07	21.910267
2294_161707_000026_000001	Little did I guess how dear it would be at any price!	Little did I guess how dear it would be at any price!	true	507.62	510.67	21.856989
2294_161707_000027_000000	Meanwhile that steak was late, and now that the temporary excitement of the evening was wearing off I fell dull again.	Meanwhile that steak was late, and now that the temporary excitement of the evening was wearing off I fell dull again.	false	511.01	517.06	21.388
2294_161707_000027_000001	What a dark, sodden world it was that frowned in on me as I moved over to the window and opened it for the benefit of the cool air, and how the wind howled about the roof tops.	What a dark, sodden world it was that frowned in on me as I moved over to the window and opened it for the benefit of the cool air, and how the wind howled about the roof tops.	true	517.37	526.3	19.833927
2294_161707_000027_000002	How lonely I was!	How lonely I was!	true	526.34	527.77	20.067642
2294_161707_000027_000003	What a fool I had been to ask for long leave and come ashore like this, to curry favour with a set of stubborn dunderheads who cared nothing for me--or Polly, and could not or would not understand how important it was to the best interests of the Service that I should get that promotion which alone would send me back to her an eligible wooer!	What a fool I had been to ask for long leave and come ashore like this, to curry favour with a set of stubborn dunderheads who cared nothing for me-or Polly, and could not or would not understand how important it was to the best interests of the Service that I should get that promotion which alone would send me back to her an eligible wooer!	false	528.35	545.77	21.044651
2294_161707_000027_000004	What a fool I was not to have volunteered for some desperate service instead of wasting time like this!	What a fool I was not to have volunteered for some desperate service instead of wasting time like this!	false	545.96	550.96	21.492575
2294_161707_000027_000005	Then at least life would have been interesting; now it was dull as ditch-water, with wretched vistas of stagnant waiting between now and that joyful day when I could claim that dear, rosy-checked girl for my own.	Then at least life would have been interesting; now it was dull as ditch water, with wretched vistas of stagnant waiting between now and that joyful day when I could claim that dear, rosy checked girl for my own.	false	551.24	562.24	20.009823
2294_161707_000027_000006	What a fool I had been!	What a fool I had been!	true	562.64	564.22	20.773405
2294_161707_000028_000000	"I wish, I wish," I exclaimed, walking round the little room, "I wish I were--"	"I wish, I wish," I exclaimed, walking round the little room, "I wish I were-"	true	564.62	569.71	19.980766
2294_161707_000029_000000	While these unfinished exclamations were actually passing my lips I chanced to cross that infernal mat, and it is no more startling than true, but at my word a quiver of expectation ran through that gaunt web--a rustle of anticipation filled its ancient fabric, and one frayed corner surged up, and as I passed off its surface in my stride, the sentence still unfinished on my lips, wrapped itself about my left leg with extraordinary swiftness and so effectively that I nearly fell into the arms of my landlady, who opened the door at the moment and came in with a tray and the steak and tomatoes mentioned more than once already.	While these unfinished exclamations were actually passing my lips I chanced to cross that infernal mat, and it is no more startling than true, but at my word a quiver of expectation ran through that gaunt web-a rustle of anticipation filled its ancient fabric, and one frayed corner surged up, and as I passed off its surface in my stride, the sentence still unfinished on my lips, wrapped itself about my left leg with extraordinary swiftness and so effectively that I nearly fell into the arms of my landlady, who opened the door at the moment and came in with a tray and the steak and tomatoes mentioned more than once already.	false	570.17	604.6	21.680359
2294_161707_000030_000000	It was the draught caused by the opening door, of course, that had made the dead man's rug lift so strangely--what else could it have been?	It was the draught caused by the opening door, of course, that had made the dead man's rug lift so strangely-what else could it have been?	false	605.15	611.71	21.42385
2294_161707_000030_000001	I made this apology to the good woman, and when she had set the table and closed the door took another turn or two about my den, continuing as I did so my angry thoughts.	I made this apology to the good woman, and when she had set the table and closed the door took another turn or two about my den, continuing as I did so my angry thoughts.	true	612.11	621.58	21.505266
2294_161707_000031_000000	"Yes, yes," I said at last, returning to the stove and taking my stand, hands in pockets, in front of it, "anything were better than this, any enterprise however wild, any adventure however desperate.	"Yes, yes," I said at last, returning to the stove and taking my stand, hands in pockets, in front of it, "anything were better than this, any enterprise however wild, any adventure however desperate.	true	622.16	633.9	21.295568
2294_161707_000031_000001	Oh, I wish I were anywhere but here, anywhere out of this redtape-ridden world of ours!	Oh, I wish I were anywhere but here, anywhere out of this redtape ridden world of ours!	false	633.9	639.91	19.504808
2294_161707_000031_000002	I WISH I WERE IN THE PLANET MARS!"	I WISH I WERE IN THE PLANET MARS!"	true	640.4	643.24	23.867542
2294_161707_000032_000000	How can I describe what followed those luckless words?	How can I describe what followed those luckless words?	true	643.88	646.72	21.914728
2294_161707_000032_000001	Even as I spoke the magic carpet quivered responsively under my feet, and an undulation went all round the fringe as though a sudden wind were shaking it.	Even as I spoke the magic carpet quivered responsively under my feet, and an undulation went all round the fringe as though a sudden wind were shaking it.	true	646.94	655.12	21.745987
2294_161707_000032_000002	It humped up in the middle so abruptly that I came down sitting with a shock that numbed me for the moment.	It humped up in the middle so abruptly that I came down sitting with a shock that numbed me for the moment.	true	655.4	660.13	20.102499
2294_161707_000032_000003	It threw me on my back and billowed up round me as though I were in the trough of a stormy sea. Quicker than I can write it lapped a corner over and rolled me in its folds like a chrysalis in a cocoon.	It threw me on my back and billowed up round me as though I were in the trough of a stormy sea. Quicker than I can write it lapped a corner over and rolled me in its folds like a chrysalis in a cocoon.	false	660.41	671.62	21.570372
2294_161707_000032_000004	I gave a wild yell and made one frantic struggle, but it was too late.	I gave a wild yell and made one frantic struggle, but it was too late.	true	671.9	675.82	21.657484
2294_161707_000032_000005	With the leathery strength of a giant and the swiftness of an accomplished cigar-roller covering a "core" with leaf, it swamped my efforts, straightened my limbs, rolled me over, lapped me in fold after fold till head and feet and everything were gone--crushed life and breath back into my innermost being, and then, with the last particle of consciousness, I felt myself lifted from the floor, pass once round the room, and finally shoot out, point foremost, into space through the open window, and go up and up and up with a sound of rending atmospheres that seemed to tear like riven silk in one prolonged shriek under my head, and to close up in thunder astern until my reeling senses could stand it no longer, and time and space and circumstances all lost their meaning to me.	With the leathery strength of a giant and the swiftness of an accomplished cigar roller covering a "core" with leaf, it swamped my efforts, straightened my limbs, rolled me over, lapped me in fold after fold till head and feet and everything were gone-crushed life and breath back into my innermost being, and then, with the last particle of consciousness, I felt myself lifted from the floor, pass once round the room, and finally shoot out, point foremost, into space through the open window, and go up and up and up with a sound of rending atmospheres that seemed to tear like riven silk in one prolonged shriek under my head, and to close up in thunder astern until my reeling senses could stand it no longer, and time and space and circumstances all lost their meaning to me.	false	676.28	732.99	20.796091
