1121_132777_000000_000000	Both Danby and Compton were desirous to secure the assistance of Nottingham.	Both Danby and Compton were desirous to secure the assistance of Nottingham.	false	0	2.16	1.9603184
1121_132777_000004_000007	[425] From the day on which it had become clear that she and her husband were determined not to be parties to the subversion of the English constitution, one chief object of the politics of James had been to injure them both.	[four hundred twenty five] From the day on which it had become clear that she and her husband were determined not to be parties to the subversion of the English constitution, one chief object of the politics of james had been to injure them both.	false	320.22	333.01	20.900766
1121_132777_000004_000008	He had recalled the British regiments from Holland.	He had recalled the British regiments from Holland.	true	333.41	336.22	18.469147
1121_132777_000004_000009	He had conspired with Tyrconnel and with France against Mary's rights, and had made arrangements for depriving her of one at least of the three crowns to which, at his death, she would have been entitled.	He had conspired with Tyrconnel and with France against Mary's rights, and had made arrangements for depriving her of one at least of the three crowns to which, at his death, she would have been entitled.	true	336.77	349.18	22.157831
1121_132777_000004_000010	It was now believed by the great body of his people, and by many persons high in rank and distinguished by abilities, that he had introduced a supposititious Prince of Wales into the royal family, in order to deprive her of a magnificent inheritance; and there is no reason to doubt that she partook of the prevailing suspicion.	It was now believed by the great body of his people, and by many persons high in rank and distinguished by abilities, that he had introduced a supposititious Prince of Wales into the royal family, in order to deprive her of a magnificent inheritance; and there is no reason to doubt that she partook of the prevailing suspicion.	false	349.97	370.09	21.48642
1121_132777_000004_000011	That she should love such a father was impossible. Her religious principles, indeed, were so strict that she would probably have tried to perform what she considered as her duty, even to a father whom she did not love.	That she should love such a father was impossible. Her religious principles, indeed, were so strict that she would probably have tried to perform what she considered as her duty, even to a father whom she did not love.	true	370.85	384.28	21.61827
1121_132777_000004_000012	On the present occasion, however, she judged that the claim of James to her obedience ought to yield to a claim more sacred.	On the present occasion, however, she judged that the claim of james to her obedience ought to yield to a claim more sacred.	true	384.8	392.86	20
1121_132777_000004_000013	And indeed all divines and publicists agree in this, that, when the daughter of a prince of one country is married to a prince of another country, she is bound to forget her own people and her father's house, and, in the event of a rupture between her husband and her parents, to side with her husband.	And indeed all divines and publicists agree in this, that, when the daughter of a prince of one country is married to a prince of another country, she is bound to forget her own people and her father's house, and, in the event of a rupture between her husband and her parents, to side with her husband.	false	393.02	411.82	20.124866
1121_132777_000004_000014	This is the undoubted rule even when the husband is in the wrong; and to Mary the enterprise which William meditated appeared not only just, but holy.	This is the undoubted rule even when the husband is in the wrong; and to Mary the enterprise which William meditated appeared not only just, but holy.	true	412.34	423.49	21.114763
1121_132777_000005_000000	But, though she carefully abstained from doing or saying anything that could add to his difficulties, those difficulties were serious indeed. They were in truth but imperfectly understood even by some of those who invited him over, and have been but imperfectly described by some of those who have written the history of his expedition.	But, though she carefully abstained from doing or saying anything that could add to his difficulties, those difficulties were serious indeed. They were in truth but imperfectly understood even by some of those who invited him over, and have been but imperfectly described by some of those who have written the history of his expedition.	true	424.1	442.69	20
1121_132777_000006_000000	The obstacles which he might expect to encounter on English ground, though the least formidable of the obstacles which stood in the way of his design, were yet serious.	The obstacles which he might expect to encounter on English ground, though the least formidable of the obstacles which stood in the way of his design, were yet serious.	true	443.45	452.77	21
1121_132777_000006_000001	He felt that it would be madness in him to imitate the example of Monmouth, to cross the sea with a few British adventurers, and to trust to a general rising of the population.	He felt that it would be madness in him to imitate the example of Monmouth, to cross the sea with a few British adventurers, and to trust to a general rising of the population.	true	453.11	463.57	20.147459
1121_132777_000006_000002	It was necessary, and it was pronounced necessary by all those who invited him over, that he should carry an army with him.	It was necessary, and it was pronounced necessary by all those who invited him over, that he should carry an army with him.	true	464.06	471.49	20.494595
1121_132777_000006_000003	Yet who could answer for the effect which the appearance of such an army might produce?	Yet who could answer for the effect which the appearance of such an army might produce?	true	471.77	475.99	20.502514
1121_132777_000006_000004	The government was indeed justly odious.	The government was indeed justly odious.	true	476.27	479.23	22
1121_132777_000006_000005	But would the English people, altogether unaccustomed to the interference of continental powers in English disputes, be inclined to look with favour on a deliverer who was surrounded by foreign soldiers?	But would the English people, altogether unaccustomed to the interference of continental powers in English disputes, be inclined to look with favour on a deliverer who was surrounded by foreign soldiers?	true	479.39	491.71	22
1121_132777_000006_000006	If any part of the royal forces resolutely withstood the invaders, would not that part soon have on its side the patriotic sympathy of millions?	If any part of the royal forces resolutely withstood the invaders, would not that part soon have on its side the patriotic sympathy of millions?	true	492.26	501.31	21
1121_132777_000006_000007	A defeat would be fatal to the whole undertaking.	A defeat would be fatal to the whole undertaking.	true	501.77	504.58	21.892393
1121_132777_000006_000008	A bloody victory gained in the heart of the island by the mercenaries of the States General over the Coldstream Guards and the Buffs would be almost as great a calamity as a defeat.	A bloody victory gained in the heart of the island by the mercenaries of the States General over the Coldstream Guards and the Buffs would be almost as great a calamity as a defeat.	true	504.65	514.15	19.488785
1121_132777_000006_000009	Such a victory would be the most cruel wound ever inflicted on the national pride of one of the proudest of nations.	Such a victory would be the most cruel wound ever inflicted on the national pride of one of the proudest of nations.	true	514.34	520.75	17
1121_132777_000006_000010	The crown so won would never be worn in peace or security: The hatred with which the High Commission and the Jesuits were regarded would give place to the more intense hatred which would be inspired by the alien conquerors; and many, who had hitherto contemplated the power of France with dread and loathing, would say that, if a foreign yoke must be borne, there was less ignominy in submitting to France than in submitting to Holland.	The crown so won would never be worn in peace or security: The hatred with which the High Commission and the Jesuits were regarded would give place to the more intense hatred which would be inspired by the alien conquerors; and many, who had hitherto contemplated the power of France with dread and loathing, would say that, if a foreign yoke must be borne, there was less ignominy in submitting to France than in submitting to Holland.	false	520.97	546.37	21.7028
1121_132777_000007_000000	These considerations might well have made William uneasy; even if all the military means of the United Provinces had been at his absolute disposal.	These considerations might well have made William uneasy; even if all the military means of the United Provinces had been at his absolute disposal.	true	547.16	557.02	20.199648
1121_132777_000007_000001	But in truth it seemed very doubtful whether he would be able to obtain the assistance of a single battalion.	But in truth it seemed very doubtful whether he would be able to obtain the assistance of a single battalion.	true	557.24	562.9	14
1121_132777_000007_000002	Of all the difficulties with which he had to struggle, the greatest, though little noticed by English historians, arose from the constitution of the Batavian republic.	Of all the difficulties with which he had to struggle, the greatest, though little noticed by English historians, arose from the constitution of the Batavian republic.	false	563.36	573.25	19.72387
1121_132777_000007_000003	No great society has ever existed during a long course of years under a polity so inconvenient.	No great society has ever existed during a long course of years under a polity so inconvenient.	true	573.59	580.21	18
1121_132777_000007_000004	The States General could not make war or peace, could not conclude any alliance or levy any tax, without the consent of the States of every province.	The States General could not make war or peace, could not conclude any alliance or levy any tax, without the consent of the States of every province.	true	580.55	590.38	22.92568
1121_132777_000007_000005	The States of a province could not give such consent without the consent of every municipality which had a share in the representation.	The States of a province could not give such consent without the consent of every municipality which had a share in the representation.	true	590.75	599.2	21.985138
1121_132777_000007_000006	Every municipality was, in some sense, a sovereign state, and, as such, claimed the right of communicating directly with foreign ambassadors, and of concerting with them the means of defeating schemes on which other municipalities were intent.	Every municipality was, in some sense, a sovereign state, and, as such, claimed the right of communicating directly with foreign ambassadors, and of concerting with them the means of defeating schemes on which other municipalities were intent.	true	599.78	614.77	21.682278
1121_132777_000007_000007	In some town councils the party which had, during several generations, regarded the influence of the Stadtholders with jealousy had great power.	In some town councils the party which had, during several generations, regarded the influence of the Stadtholders with jealousy had great power.	true	615.38	625.15	20.547878
1121_132777_000007_000008	At the head of this party were the magistrates of the noble city of Amsterdam, which was then at the height of prosperity. They had, ever since the peace of Nimeguen, kept up a friendly correspondence with Lewis through the instrumentality of his able and active envoy the Count of Avaux.	At the head of this party were the magistrates of the noble city of Amsterdam, which was then at the height of prosperity. They had, ever since the peace of Nimeguen, kept up a friendly correspondence with Lewis through the instrumentality of his able and active envoy the Count of Avaux.	false	625.52	645.04	22.533386
1121_132777_000007_000009	Propositions brought forward by the Stadtholder as indispensable to the security of the commonwealth, sanctioned by all the provinces except Holland, and sanctioned by seventeen of the eighteen town councils of Holland, had repeatedly been negatived by the single voice of Amsterdam.	Propositions brought forward by the Stadtholder as indispensable to the security of the commonwealth, sanctioned by all the provinces except Holland, and sanctioned by seventeen of the eighteen town councils of Holland, had repeatedly been negatived by the single voice of Amsterdam.	true	645.68	664.27	21.315899
1121_132777_000007_000010	The only constitutional remedy in such cases was that deputies from the cities which were agreed should pay a visit to the city which dissented, for the purpose of expostulation.	The only constitutional remedy in such cases was that deputies from the cities which were agreed should pay a visit to the city which dissented, for the purpose of expostulation.	true	664.4	674.8	20
1121_132777_000007_000011	The number of deputies was unlimited: they might continue to expostulate as long as they thought fit; and meanwhile all their expenses were defrayed by the obstinate community which refused to yield to their arguments.	The number of deputies was unlimited: they might continue to expostulate as long as they thought fit; and meanwhile all their expenses were defrayed by the obstinate community which refused to yield to their arguments.	true	675.26	687.64	21.217432
1121_132777_000007_000012	This absurd mode of coercion had once been tried with success on the little town of Gorkum, but was not likely to produce much effect on the mighty and opulent Amsterdam, renowned throughout the world for its haven bristling with innumerable masts, its canals bordered by stately mansions, its gorgeous hall of state, walled, roofed, and floored with polished marble, its warehouses filled with the most costly productions of Ceylon and Surinam, and its Exchange resounding with the endless hubbub of all the languages spoken by civilised men.	This absurd mode of coercion had once been tried with success on the little town of Gorkum, but was not likely to produce much effect on the mighty and opulent Amsterdam, renowned throughout the world for its haven bristling with innumerable masts, its canals bordered by stately mansions, its gorgeous hall of state, walled, roofed, and floored with polished marble, its warehouses filled with the most costly productions of Ceylon and Surinam, and its Exchange resounding with the endless hubbub of all the languages spoken by civilised men.	true	687.92	722.76	20.070623
1121_132777_000007_000013	[426]	[four hundred twenty six]	false	722.76	725.61	21.259235
